Store Number,Power Outage Risk Evaluation,Phoen Gen Proj Status,Generator Qualification,Projected Install Complete Date,Actual Install Complete Date
266,,Complete,Completed,3/31/2022,3/31/2022
267,,,Does Not Currently Qualify,,
268,,,Does Not Currently Qualify,,
269,,,Does Not Currently Qualify,,
271,,,Approved,,
272,,,Does Not Currently Qualify,,
273,,,Does Not Currently Qualify,,
274,,,Does Not Currently Qualify,,
275,,,Approved,,
276,,,Approved,,
277,,,Approved,,
278,,,Does Not Currently Qualify,,
279,,,Approved,,
280,,,Does Not Currently Qualify,,
281,,,Does Not Currently Qualify,,
282,,,Approved,,
283,,,Approved,,
284,,Complete,Completed,10/8/2021,10/8/2021
285,,,Approved,,
286,,,Does Not Currently Qualify,,
287,,,Approved,,
288,,,Does Not Currently Qualify,,
289,,,Approved,,
290,,,Does Not Currently Qualify,,
292,,,Does Not Currently Qualify,,
293,,,Approved,,
294,,,Approved,,
295,,On Hold,Already Approved,9/28/2023,
296,,Complete,Completed,6/27/2019,6/27/2019
297,,,Does Not Currently Qualify,,
298,,,Does Not Currently Qualify,,
299,,,Does Not Currently Qualify,,
300,,,Does Not Currently Qualify,,
301,,,Does Not Currently Qualify,,
302,,,Approved,,
303,,,Approved,,
304,,,Does Not Currently Qualify,,
1342,,Scheduled,Already Approved,11/5/2024,
306,,,Approved,,
307,,,Does Not Currently Qualify,,
308,,,Does Not Currently Qualify,,
309,,Complete,Completed,1/24/2023,1/24/2023
5479,,Scheduled,Already Approved,10/28/2024,
311,,,Does Not Currently Qualify,,
3585,,Scheduled,Already Approved,10/18/2024,
313,,,Approved,,
314,,,Does Not Currently Qualify,,
315,,,Does Not Currently Qualify,,
316,,,Does Not Currently Qualify,,
317,,,Approved,,
318,,Complete,Completed,9/12/2019,9/12/2019
319,,,Approved,,
320,,,Approved,,
321,,,Approved,,
322,,,Approved,,
323,,,Does Not Currently Qualify,,
324,,,Approved,,
325,,,Approved,,
326,,,Does Not Currently Qualify,,
328,,,Does Not Currently Qualify,,
329,,,Does Not Currently Qualify,,
330,,,Does Not Currently Qualify,,
521,,Scheduled,Already Approved,10/15/2024,
332,,,Approved,,
333,,,Approved,,
334,,,Does Not Currently Qualify,,
335,,,Does Not Currently Qualify,,
336,,Complete,Completed,9/1/2022,9/1/2022
3579,,Scheduled,Already Approved,10/8/2024,
338,,,Approved,,
339,,,Approved,,
340,,Complete,Completed,6/20/2022,6/20/2022
341,,,Does Not Currently Qualify,,
342,,,Approved,,
343,,,Approved,,
344,,Complete,Completed,4/21/2022,4/21/2022
345,,,Approved,,
346,,,Does Not Currently Qualify,,
347,,,Does Not Currently Qualify,,
348,,Complete,Completed,6/26/2019,6/26/2019
350,,,Does Not Currently Qualify,,
351,,On Hold,Already Approved,,
352,,,Does Not Currently Qualify,,
353,,,Approved,,
354,,,Does Not Currently Qualify,,
355,,,Approved,,
356,,,Does Not Currently Qualify,,
357,,,Does Not Currently Qualify,,
358,,,Does Not Currently Qualify,,
359,,,Does Not Currently Qualify,,
360,,,Does Not Currently Qualify,,
361,,Complete,Completed,12/16/2022,12/16/2022
362,,,Does Not Currently Qualify,,
363,,,Does Not Currently Qualify,,
537,,Scheduled,Already Approved,10/4/2024,
365,,,Approved,,
366,,,Does Not Currently Qualify,,
368,,,Approved,,
369,,,Does Not Currently Qualify,,
370,,,Approved,,
371,,,Approved,,
372,,,Does Not Currently Qualify,,
373,,,Does Not Currently Qualify,,
374,,,Does Not Currently Qualify,,
375,,,Does Not Currently Qualify,,
376,,,Approved,,
377,,On Hold,Already Approved,,
378,,,Approved,,
379,,,Does Not Currently Qualify,,
381,,,Approved,,
382,,,Approved,,
383,,Complete,Completed,4/5/2023,4/5/2023
1353,,Scheduled,Already Approved,9/10/2024,
385,,,Does Not Currently Qualify,,
3616,,Scheduled,Already Approved,9/9/2024,
387,,,Does Not Currently Qualify,,
388,,,Approved,,
389,,,Does Not Currently Qualify,,
390,,Complete,Completed,5/5/2022,5/5/2022
391,,,Does Not Currently Qualify,,
392,,,Approved,,
393,,,Approved,,
394,,,Approved,,
395,,On Hold,Already Approved,,
396,,,Approved,,
397,,,Approved,,
398,,,Approved,,
2991,,Scheduled,Already Approved,9/2/2024,
400,,,Approved,,
401,,Complete,Completed,2/15/2023,2/15/2023
402,,,Approved,,
403,,,Does Not Currently Qualify,,
404,,,Approved,,
442,,Scheduled,Already Approved,8/26/2024,
406,,,Does Not Currently Qualify,,
407,,Complete,Completed,5/10/2022,5/10/2022
469,,Scheduled,Already Approved,8/20/2024,
409,,,Does Not Currently Qualify,,
410,,,Approved,,
411,,,Does Not Currently Qualify,,
412,,,Does Not Currently Qualify,,
413,,Delayed,Already Approved,,
414,,Complete,Completed,4/21/2021,4/21/2021
415,,,Approved,,
416,,,Does Not Currently Qualify,,
417,,,Does Not Currently Qualify,,
418,,,Does Not Currently Qualify,,
419,,,Does Not Currently Qualify,,
420,,,Approved,,
421,,,Does Not Currently Qualify,,
422,,,Approved,,
423,,,Does Not Currently Qualify,,
424,,,Approved,,
425,,,Approved,,
426,,,Does Not Currently Qualify,,
595,,Scheduled,Already Approved,8/12/2024,
428,,On Hold,Already Approved,,
2105,,Scheduled,Already Approved,8/6/2024,
430,,,Approved,,
431,,,Does Not Currently Qualify,,
432,,,Approved,,
433,,,Does Not Currently Qualify,,
434,,,Does Not Currently Qualify,,
435,,,Does Not Currently Qualify,,
436,,,Approved,,
408,,Scheduled,Already Approved,7/16/2024,
438,,,Approved,,
527,,Scheduled,Already Approved,6/28/2024,
6579,,Scheduled,Already Approved,6/28/2024,
443,,,Does Not Currently Qualify,,
444,,,Approved,,
445,,,Does Not Currently Qualify,,
446,,,Does Not Currently Qualify,,
447,,Complete,Completed,10/28/2021,10/28/2021
448,,Complete,Completed,10/31/2022,10/31/2022
331,,Scheduled,Already Approved,6/11/2024,
450,,,Does Not Currently Qualify,,
451,,,Does Not Currently Qualify,,
452,,Complete,Completed,2/10/2022,2/10/2022
453,,,Does Not Currently Qualify,,
454,,,Does Not Currently Qualify,,
456,,Complete,Completed,3/25/2022,3/25/2022
457,,Complete,Completed,10/25/2022,10/25/2022
1016,,Scheduled,Already Approved,5/31/2024,
459,,,Does Not Currently Qualify,,
461,,Complete,Completed,12/23/2021,12/23/2021
462,,Complete,Completed,10/17/2019,10/17/2019
463,,Complete,Completed,12/16/2021,12/16/2021
464,,,Does Not Currently Qualify,,
465,,,Does Not Currently Qualify,,
466,,,Does Not Currently Qualify,,
467,,,Does Not Currently Qualify,,
468,,,Does Not Currently Qualify,,
7301,,Scheduled,Already Approved,5/28/2024,
470,,Complete,Completed,1/19/2023,1/19/2023
471,,,Does Not Currently Qualify,,
472,,,Does Not Currently Qualify,,
473,,,Does Not Currently Qualify,,
475,,,Approved,,
476,,,Approved,,
477,,,Does Not Currently Qualify,,
478,,,Does Not Currently Qualify,,
479,,,Does Not Currently Qualify,,
480,,,Does Not Currently Qualify,,
481,,,Does Not Currently Qualify,,
482,,,Does Not Currently Qualify,,
483,,,Does Not Currently Qualify,,
484,,,Approved,,
485,,Complete,Completed,1/27/2022,1/27/2022
486,,,Approved,,
488,,,Does Not Currently Qualify,,
3591,,Scheduled,Already Approved,5/24/2024,
490,,Complete,Completed,5/20/2022,5/20/2022
491,,,Does Not Currently Qualify,,
492,,,Approved,,
493,,,Does Not Currently Qualify,,
494,,,Does Not Currently Qualify,,
495,,Complete,Completed,10/5/2022,10/5/2022
497,,,Does Not Currently Qualify,,
498,,Pending,Already Approved,,
499,,,Does Not Currently Qualify,,
500,,,Approved,,
501,,Complete,Completed,6/3/2022,6/3/2022
2913,,Scheduled,Already Approved,5/23/2024,
503,,,Does Not Currently Qualify,,
504,,Complete,Completed,6/1/2022,6/1/2022
505,,Complete,Completed,9/30/2022,9/30/2022
506,,,Does Not Currently Qualify,,
507,,,Does Not Currently Qualify,,
508,,,Approved,,
510,,,Does Not Currently Qualify,,
511,,,Does Not Currently Qualify,,
512,,,Does Not Currently Qualify,,
513,,Complete,Completed,10/1/2021,10/1/2021
5328,,Scheduled,Already Approved,5/22/2024,
515,,,Approved,,
516,,,Does Not Currently Qualify,,
517,,,Approved,,
518,,,Does Not Currently Qualify,,
519,,,Does Not Currently Qualify,,
520,,,Does Not Currently Qualify,,
386,,Scheduled,Already Approved,5/21/2024,
522,,Complete,Completed,10/29/2020,10/29/2020
1098,,Scheduled,Already Approved,5/17/2024,
5894,,Scheduled,Already Approved,5/15/2024,
525,,,Does Not Currently Qualify,,
526,,,Does Not Currently Qualify,,
1687,,Scheduled,Already Approved,5/12/2024,
528,,Complete,Completed,8/31/2017,8/31/2017
529,,Complete,Completed,10/23/2019,10/23/2019
530,,Complete,Completed,6/11/2019,6/11/2019
531,,,Does Not Currently Qualify,,
532,,,Approved,,
489,,Scheduled,Already Approved,5/7/2024,
535,,,Approved,,
536,,Complete,Completed,11/3/2021,11/3/2021
2822,,Scheduled,Already Approved,5/7/2024,
703,,Scheduled,Already Approved,5/3/2024,
539,,,Does Not Currently Qualify,,
540,,,Approved,,
541,,Complete,Completed,5/11/2023,5/11/2023
542,,Pending,Already Approved,,
543,,Complete,Completed,5/24/2023,5/24/2023
544,,,Approved,,
545,,,Does Not Currently Qualify,,
546,,Complete,Completed,11/10/2020,11/10/2020
1137,,Scheduled,Already Approved,5/3/2024,
548,,,Does Not Currently Qualify,,
549,,,Does Not Currently Qualify,,
550,,,Does Not Currently Qualify,,
551,,Complete,Completed,10/1/2011,10/1/2011
552,,,Does Not Currently Qualify,,
553,,Complete,Completed,5/9/2023,5/9/2023
554,,,Does Not Currently Qualify,,
555,,,Does Not Currently Qualify,,
556,,,Does Not Currently Qualify,,
557,,,Does Not Currently Qualify,,
558,,,Approved,,
559,,,Does Not Currently Qualify,,
560,,,Approved,,
561,,Complete,Completed,6/3/2022,6/3/2022
562,,,Does Not Currently Qualify,,
563,,Complete,Completed,3/15/2018,3/15/2018
564,,,Does Not Currently Qualify,,
565,,Complete,Completed,3/25/2022,3/25/2022
566,,,Does Not Currently Qualify,,
567,,,Approved,,
568,,,Does Not Currently Qualify,,
569,,,Does Not Currently Qualify,,
571,,,Approved,,
572,,,Approved,,
573,,,Does Not Currently Qualify,,
574,,,Does Not Currently Qualify,,
575,,,Approved,,
576,,,Approved,,
577,,,Does Not Currently Qualify,,
578,,,Does Not Currently Qualify,,
579,,Complete,Completed,4/17/2018,4/17/2018
458,,Scheduled,Already Approved,4/26/2024,
581,,,Approved,,
582,,Complete,Completed,8/15/2017,8/15/2017
583,,,Approved,,
584,,,Approved,,
585,,,Does Not Currently Qualify,,
586,,,Does Not Currently Qualify,,
587,,,Approved,,
588,,,Does Not Currently Qualify,,
589,,,Does Not Currently Qualify,,
590,,,Does Not Currently Qualify,,
591,,,Does Not Currently Qualify,,
592,,,Approved,,
593,,,Does Not Currently Qualify,,
594,,,Approved,,
4378,,Scheduled,Already Approved,4/24/2024,
596,,,Does Not Currently Qualify,,
598,,,Does Not Currently Qualify,,
599,,,Does Not Currently Qualify,,
600,,,Does Not Currently Qualify,,
601,,Complete,Completed,1/27/2021,1/27/2021
602,,Complete,Completed,6/12/2020,6/12/2020
603,,,Does Not Currently Qualify,,
604,,,Approved,,
605,,,Does Not Currently Qualify,,
606,,,Does Not Currently Qualify,,
607,,,Does Not Currently Qualify,,
608,,Complete,Completed,5/12/2021,5/12/2021
609,,,Does Not Currently Qualify,,
610,,,Does Not Currently Qualify,,
611,,,Does Not Currently Qualify,,
612,,,Does Not Currently Qualify,,
613,,Complete,Completed,4/19/2018,4/19/2018
614,,,Does Not Currently Qualify,,
615,,,Does Not Currently Qualify,,
616,,Complete,Completed,11/9/2022,11/9/2022
617,,,Does Not Currently Qualify,,
618,,Complete,Completed,6/9/2022,6/9/2022
619,,,Does Not Currently Qualify,,
620,,,Does Not Currently Qualify,,
621,,,Approved,,
622,,,Does Not Currently Qualify,,
1206,,Scheduled,Already Approved,4/18/2024,
624,,,Approved,,
625,,,Does Not Currently Qualify,,
626,,,Does Not Currently Qualify,,
627,,,Does Not Currently Qualify,,
628,,,Approved,,
629,,,Does Not Currently Qualify,,
630,,,Does Not Currently Qualify,,
631,,,Does Not Currently Qualify,,
2237,,Scheduled,Already Approved,4/18/2024,
633,,,Does Not Currently Qualify,,
634,,,Approved,,
635,,,Does Not Currently Qualify,,
636,,,Does Not Currently Qualify,,
637,,,Does Not Currently Qualify,,
638,,,Approved,,
1245,,Scheduled,Already Approved,4/16/2024,
640,,,Does Not Currently Qualify,,
641,,,Does Not Currently Qualify,,
3703,,Scheduled,Already Approved,4/16/2024,
643,,,Does Not Currently Qualify,,
644,,,Does Not Currently Qualify,,
645,,,Does Not Currently Qualify,,
646,,,Approved,,
647,,,Approved,,
648,,,Does Not Currently Qualify,,
649,,Complete,Completed,7/25/2017,7/25/2017
1223,,Scheduled,Already Approved,4/11/2024,
652,,,Does Not Currently Qualify,,
653,,,Approved,,
655,,,Approved,,
656,,,Does Not Currently Qualify,,
657,,,Does Not Currently Qualify,,
658,,,Does Not Currently Qualify,,
659,,,Does Not Currently Qualify,,
660,,,Does Not Currently Qualify,,
661,,,Does Not Currently Qualify,,
662,,,Does Not Currently Qualify,,
663,,,Does Not Currently Qualify,,
664,,,Does Not Currently Qualify,,
665,,,Does Not Currently Qualify,,
666,,Complete,Completed,4/23/2018,4/23/2018
667,,,Does Not Currently Qualify,,
668,,,Does Not Currently Qualify,,
669,,,Does Not Currently Qualify,,
670,,,Does Not Currently Qualify,,
5871,,Scheduled,Already Approved,4/10/2024,
672,,,Does Not Currently Qualify,,
673,,,Approved,,
674,,,Does Not Currently Qualify,,
675,,,Does Not Currently Qualify,,
676,,,Does Not Currently Qualify,,
677,,,Does Not Currently Qualify,,
678,,,Approved,,
680,,,Does Not Currently Qualify,,
681,,,Does Not Currently Qualify,,
682,,,Does Not Currently Qualify,,
683,,,Does Not Currently Qualify,,
684,,,Approved,,
685,,,Does Not Currently Qualify,,
686,,,Does Not Currently Qualify,,
687,,,Approved,,
688,,Complete,Completed,2/21/2023,2/21/2023
689,,,Does Not Currently Qualify,,
690,,,Does Not Currently Qualify,,
691,,,Does Not Currently Qualify,,
692,,,Approved,,
693,,,Does Not Currently Qualify,,
694,,,Does Not Currently Qualify,,
695,,,Does Not Currently Qualify,,
696,,,Does Not Currently Qualify,,
697,,,Does Not Currently Qualify,,
698,,,Approved,,
699,,,Approved,,
700,,,Approved,,
701,,,Does Not Currently Qualify,,
702,,,Approved,,
1029,,Scheduled,Already Approved,4/9/2024,
705,,Complete,Completed,2/1/2018,2/1/2018
706,,Complete,Completed,4/9/2018,4/9/2018
5731,,Scheduled,Already Approved,4/4/2024,
708,,,Approved,,
709,,,Does Not Currently Qualify,,
710,,,Approved,,
711,,,Approved,,
712,,,Does Not Currently Qualify,,
713,,,Does Not Currently Qualify,,
714,,,Does Not Currently Qualify,,
715,,,Does Not Currently Qualify,,
716,,,Does Not Currently Qualify,,
3307,,Scheduled,Already Approved,4/3/2024,
719,,,Does Not Currently Qualify,,
720,,,Does Not Currently Qualify,,
721,,Complete,Completed,8/29/2017,8/29/2017
722,,,Does Not Currently Qualify,,
723,,,Does Not Currently Qualify,,
724,,,Does Not Currently Qualify,,
725,,Complete,Completed,1/10/2018,1/10/2018
726,,,Does Not Currently Qualify,,
727,,,Does Not Currently Qualify,,
728,,,Does Not Currently Qualify,,
729,,,Does Not Currently Qualify,,
730,,,Approved,,
731,,,Does Not Currently Qualify,,
733,,,Approved,,
734,,,Does Not Currently Qualify,,
735,,,Does Not Currently Qualify,,
736,,,Does Not Currently Qualify,,
737,,,Does Not Currently Qualify,,
738,,,Does Not Currently Qualify,,
739,,,Does Not Currently Qualify,,
740,,,Does Not Currently Qualify,,
741,,,Does Not Currently Qualify,,
742,,,Does Not Currently Qualify,,
743,,Complete,Completed,12/30/2022,12/30/2022
744,,Complete,Completed,11/25/2020,11/25/2020
745,,,Does Not Currently Qualify,,
746,,,Does Not Currently Qualify,,
748,,,Approved,,
749,,,Approved,,
750,,,Does Not Currently Qualify,,
751,,,Does Not Currently Qualify,,
752,,Complete,Completed,7/27/2020,7/27/2020
753,,,Does Not Currently Qualify,,
754,,,Does Not Currently Qualify,,
755,,,Does Not Currently Qualify,,
756,,,Does Not Currently Qualify,,
757,,,Does Not Currently Qualify,,
758,,,Does Not Currently Qualify,,
759,,,Does Not Currently Qualify,,
760,,,Does Not Currently Qualify,,
1852,,Scheduled,Already Approved,4/2/2024,
762,,,Does Not Currently Qualify,,
764,,,Approved,,
765,,,Approved,,
766,,,Does Not Currently Qualify,,
767,,Complete,Completed,5/23/2017,5/23/2017
768,,Complete,Completed,7/1/2019,7/1/2019
769,,Complete,Completed,3/20/2018,3/20/2018
770,,,Approved,,
771,,Complete,Completed,3/10/2020,3/10/2020
772,,Complete,Completed,1/5/2022,1/5/2022
773,,,Approved,,
774,,,Does Not Currently Qualify,,
775,,,Does Not Currently Qualify,,
776,,,Does Not Currently Qualify,,
777,,Complete,Completed,5/2/2023,5/2/2023
778,,Complete,Completed,3/15/2018,3/15/2018
808,,Scheduled,Already Approved,3/29/2024,
780,,,Does Not Currently Qualify,,
781,,,Does Not Currently Qualify,,
782,,,Does Not Currently Qualify,,
783,,,Does Not Currently Qualify,,
784,,,Does Not Currently Qualify,,
785,,,Does Not Currently Qualify,,
786,,,Does Not Currently Qualify,,
787,,,Does Not Currently Qualify,,
788,,,Does Not Currently Qualify,,
789,,,Does Not Currently Qualify,,
790,,,Does Not Currently Qualify,,
791,,Complete,Completed,6/30/2022,6/30/2022
792,,,Does Not Currently Qualify,,
793,,,Does Not Currently Qualify,,
794,,,Approved,,
795,,,Does Not Currently Qualify,,
796,,,Approved,,
797,,,Does Not Currently Qualify,,
798,,,Approved,,
799,,,Does Not Currently Qualify,,
800,,,Does Not Currently Qualify,,
801,,,Does Not Currently Qualify,,
802,,,Does Not Currently Qualify,,
803,,,Does Not Currently Qualify,,
804,,,Does Not Currently Qualify,,
805,,,Does Not Currently Qualify,,
806,,,Does Not Currently Qualify,,
807,,,Approved,,
1134,,Scheduled,Already Approved,3/29/2024,
809,,,Approved,,
810,,,Does Not Currently Qualify,,
811,,Complete,Completed,3/13/2018,3/13/2018
812,,,Approved,,
813,,,Does Not Currently Qualify,,
814,,Complete,Completed,2/19/2018,2/19/2018
815,,,Does Not Currently Qualify,,
816,,,Does Not Currently Qualify,,
817,,,Approved,,
818,,,Approved,,
3066,,Scheduled,Already Approved,3/29/2024,
820,,,Does Not Currently Qualify,,
821,,,Approved,,
822,,,Approved,,
823,,,Does Not Currently Qualify,,
824,,,Does Not Currently Qualify,,
825,,,Approved,,
826,,,Does Not Currently Qualify,,
827,,,Approved,,
828,,,Does Not Currently Qualify,,
829,,,Does Not Currently Qualify,,
830,,,Does Not Currently Qualify,,
833,,,Approved,,
834,,,Does Not Currently Qualify,,
835,,,Approved,,
836,,,Does Not Currently Qualify,,
837,,,Approved,,
838,,,Does Not Currently Qualify,,
839,,,Does Not Currently Qualify,,
840,,,Does Not Currently Qualify,,
841,,,Does Not Currently Qualify,,
842,,,Does Not Currently Qualify,,
843,,,Does Not Currently Qualify,,
844,,,Approved,,
845,,,Does Not Currently Qualify,,
846,,,Does Not Currently Qualify,,
847,,,Does Not Currently Qualify,,
848,,,Does Not Currently Qualify,,
849,,Complete,Completed,8/3/2020,8/3/2020
850,,,Does Not Currently Qualify,,
851,,,Does Not Currently Qualify,,
852,,,Approved,,
853,,Complete,Completed,4/28/2022,4/28/2022
854,,,Does Not Currently Qualify,,
855,,Pending,Already Approved,,
856,,,Approved,,
857,,Complete,Completed,2/13/2018,2/13/2018
