Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago,,,,,,,,
1,14,1212,POINTPICKUP,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202225,78.97%,64.66%,21.2,80.00%,74.50%,73.40%,86.10%,,,,,,,,
1,14,1212,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202225,81.33%,66.36%,20.6,79.40%,86.50%,73.60%,85.20%,,,,,,,,
1,14,2748,DOORDASH,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,202225,80.00%,75.56%,26.6,44.40%,100.00%,92.90%,80.00%,,,,,,,,
1,14,2748,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202225,82.61%,80.81%,8.7,64.70%,84.20%,95.80%,81.30%,,,,,,,,
1,14,4333,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202225,81.58%,81.69%,15,65.50%,83.90%,83.30%,86.00%,,,,,,,,
1,14,4333,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202225,83.43%,78.54%,17.7,64.50%,88.80%,89.30%,92.40%,,,,,,,,
1,14,6173,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202225,87.92%,95.74%,12.1,93.80%,88.90%,84.90%,88.70%,,,,,,,,
2,14,562,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202225,86.54%,77.36%,16.6,75.00%,92.00%,92.90%,85.20%,,,,,,,,
2,14,562,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202225,92.96%,85.06%,15.3,94.60%,96.60%,89.20%,92.40%,,,,,,,,
2,14,1158,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202225,80.50%,94.40%,12.3,76.80%,80.70%,77.80%,86.60%,,,,,,,,
2,14,1711,DOORDASH,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202225,71.96%,66.14%,44.8,82.90%,29.20%,77.20%,90.90%,,,,,,,,
2,14,1711,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202225,70.19%,70.84%,29.5,75.50%,23.90%,79.00%,90.60%,,,,,,,,
3,14,301,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202225,88.24%,91.95%,11.9,84.60%,87.50%,82.90%,91.10%,,,,,,,,
3,14,1201,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202225,85.71%,65.45%,27,100.00%,72.20%,88.20%,100.00%,,,,,,,,
3,14,2713,POINTPICKUP,Scheduled Standard Delivery,35,Executive Review,Degrading,Store Focus,202225,78.26%,82.61%,16,50.00%,100.00%,100.00%,50.00%,,,,,,,,
3,14,2713,SPARK,Scheduled Standard Delivery,29,Executive Review,Degrading,Store Focus,202225,89.80%,75.70%,15.4,88.80%,88.70%,91.30%,90.40%,,,,,,,,
7,14,1134,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202225,83.12%,99.15%,8.9,84.20%,82.10%,86.20%,81.30%,,,,,,,,
10,14,730,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202225,76.50%,63.46%,21.1,86.70%,90.50%,87.70%,59.50%,,,,,,,,
10,14,733,DOORDASH,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202225,77.84%,89.43%,24,54.50%,79.30%,87.70%,72.10%,,,,,,,,
11,14,764,UBER,Scheduled Express Delivery ,3,Active Monitoring,Recovering,Driver Supply Focus,202225,88.89%,94.74%,6.8,100.00%,60.00%,100.00%,100.00%,,,,,,,,
11,14,764,UBER,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202225,69.23%,79.71%,14.8,46.70%,68.80%,73.30%,84.20%,,,,,,,,
11,14,2306,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202225,90.77%,94.78%,11,85.40%,96.60%,87.10%,91.30%,,,,,,,,
13,14,1229,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202225,84.62%,73.08%,12.8,87.50%,83.30%,83.30%,83.30%,,,,,,,,
13,14,1481,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Store Focus,202225,81.84%,83.66%,14.5,93.50%,84.20%,74.50%,81.10%,,,,,,,,
13,14,1481,UBER,Scheduled Standard Delivery,41,Executive Review,Degrading,Store Focus,202225,78.48%,70.73%,25.4,85.70%,58.30%,88.50%,76.50%,,,,,,,,
13,14,4497,POINTPICKUP,Scheduled Standard Delivery,39,Executive Review,Degrading,Store Focus,202225,86.22%,81.18%,14.8,88.50%,94.60%,82.40%,86.30%,,,,,,,,
13,14,4497,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202225,88.36%,80.19%,13.8,86.00%,94.60%,88.30%,85.60%,,,,,,,,
13,14,5262,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,78.84%,72.62%,23.6,36.00%,75.00%,86.70%,92.60%,,,,,,,,
13,14,5262,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,82.88%,76.29%,13.7,57.60%,80.70%,86.50%,94.70%,,,,,,,,
14,14,990,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202225,75.45%,78.60%,17.6,61.90%,77.30%,80.40%,77.80%,,,,,,,,
14,14,990,UBER,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202225,83.01%,79.62%,16.7,86.00%,82.90%,85.20%,80.00%,,,,,,,,
14,14,1224,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202225,81.71%,72.15%,15.1,65.00%,86.80%,88.70%,84.90%,,,,,,,,
14,14,1224,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,87.75%,73.32%,15.6,72.70%,87.50%,93.30%,89.00%,,,,,,,,
14,14,3484,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,82.69%,90.76%,13.7,69.30%,90.20%,84.50%,86.80%,,,,,,,,
14,14,3484,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,84.47%,87.79%,17.5,89.90%,80.60%,80.00%,87.90%,,,,,,,,
14,14,3785,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202225,79.33%,77.49%,14.8,83.20%,84.00%,67.30%,85.80%,,,,,,,,
14,14,3785,UBER,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202225,80.48%,72.43%,21,91.70%,82.60%,67.40%,85.30%,,,,,,,,
15,14,818,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202225,88.57%,93.31%,7.7,83.50%,89.20%,87.80%,92.50%,,,,,,,,
15,14,919,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202225,90.39%,91.51%,10.6,85.00%,89.70%,96.00%,90.90%,,,,,,,,
15,14,919,UBER,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202225,72.22%,92.11%,9.8,75.00%,76.00%,59.30%,78.60%,,,,,,,,
15,14,944,UBER,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202225,74.80%,90.08%,15.8,73.30%,74.70%,79.40%,70.60%,,,,,,,,
15,14,1032,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,88.75%,86.27%,10.8,81.60%,92.10%,84.70%,95.10%,,,,,,,,
15,14,1362,DOORDASH,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202225,76.81%,96.77%,18.5,75.50%,74.40%,75.80%,81.50%,,,,,,,,
15,14,1362,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202225,80.70%,98.08%,11.7,68.10%,87.10%,72.70%,93.80%,,,,,,,,
15,14,3075,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202225,88.55%,97.61%,9.5,85.90%,92.50%,83.10%,93.40%,,,,,,,,
15,14,3075,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202225,94.05%,96.54%,10.1,97.30%,95.80%,88.80%,93.50%,,,,,,,,
15,14,3119,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202225,89.00%,96.98%,7.8,85.10%,89.90%,90.20%,90.00%,,,,,,,,
15,14,5845,UBER,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202225,85.78%,93.88%,11.8,80.40%,78.90%,88.70%,93.00%,,,,,,,,
15,14,5872,DOORDASH,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202225,73.26%,85.47%,11.4,62.50%,69.40%,80.80%,77.30%,,,,,,,,
15,14,5872,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202225,83.58%,96.13%,8,80.00%,88.60%,80.20%,84.50%,,,,,,,,
138,14,495,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202225,84.57%,85.55%,15.6,72.20%,88.40%,83.80%,87.90%,,,,,,,,
544,72,4504,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202225,72.27%,76.21%,18.1,77.40%,55.10%,58.40%,89.10%,,,,,,,,
545,72,5623,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202225,77.29%,84.08%,10.9,63.70%,80.10%,84.50%,80.60%,,,,,,,,
545,72,5740,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202225,88.91%,85.30%,13,85.80%,91.70%,85.50%,92.90%,,,,,,,,
545,72,5744,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202225,72.73%,78.26%,20.9,50.00%,,66.70%,80.00%,,,,,,,,
44,5,1801,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Store Focus,202225,87.50%,78.52%,17.3,90.20%,84.80%,84.70%,90.60%,,,,,,,,
44,5,5147,SPARK,Scheduled Standard Delivery,36,Executive Review,Recovering,Store Focus,202225,91.36%,89.49%,12.4,92.30%,84.00%,93.20%,95.70%,,,,,,,,
45,5,3764,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,76.67%,98.41%,9.8,72.40%,90.60%,65.40%,75.80%,,,,,,,,
46,5,3828,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202225,91.45%,92.33%,10.3,95.00%,95.60%,83.50%,91.90%,,,,,,,,
49,5,471,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202225,87.41%,89.31%,13.8,86.10%,78.40%,92.90%,95.40%,,,,,,,,
49,5,4503,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202225,81.32%,75.74%,21.3,70.30%,72.80%,90.70%,93.00%,,,,,,,,
49,5,5810,SPARK,Scheduled Standard Delivery,27,Executive Review,Recovering,Store Focus,202225,92.82%,96.14%,9.5,92.80%,89.00%,92.40%,97.70%,,,,,,,,
50,5,2649,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202225,78.82%,70.89%,21.8,78.90%,67.50%,79.10%,90.40%,,,,,,,,
51,5,2918,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202225,73.07%,52.15%,15.4,67.50%,68.00%,70.20%,83.60%,,,,,,,,
52,5,206,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202225,81.73%,89.27%,14,100.00%,85.70%,68.30%,71.20%,,,,,,,,
52,5,2427,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Store Focus,202225,70.23%,66.85%,21.1,62.40%,57.20%,76.10%,82.70%,,,,,,,,
53,5,426,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202225,80.91%,62.80%,13.4,85.20%,75.50%,80.40%,82.20%,,,,,,,,
53,5,2105,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202225,90.07%,71.83%,19.7,95.20%,87.60%,85.50%,91.50%,,,,,,,,
53,5,2996,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202225,76.72%,65.80%,20,86.10%,61.90%,84.00%,71.90%,,,,,,,,
53,5,5889,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202225,89.34%,89.29%,9.4,89.70%,85.50%,90.40%,92.10%,,,,,,,,
74,5,535,POINTPICKUP,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202225,65.85%,58.70%,40,60.00%,53.30%,75.00%,83.30%,,,,,,,,
74,5,3381,POINTPICKUP,Scheduled Express Delivery ,7,Executive Review,Recovering,Driver Supply Focus,202225,81.82%,94.29%,7.9,100.00%,88.90%,42.90%,88.90%,,,,,,,,
81,5,781,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202225,86.14%,82.08%,10.6,95.60%,84.60%,82.60%,80.60%,,,,,,,,
81,5,813,POINTPICKUP,Scheduled Express Delivery ,7,Executive Review,Degrading,Driver Supply Focus,202225,76.60%,96.92%,8.6,71.40%,70.00%,66.70%,81.50%,,,,,,,,
81,5,1303,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202225,85.25%,81.68%,20.4,70.20%,94.50%,90.70%,80.40%,,,,,,,,
81,5,1303,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202225,84.05%,81.84%,13.9,66.90%,93.30%,87.30%,85.90%,,,,,,,,
82,5,1129,DOORDASH,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202225,87.94%,83.13%,14.5,68.60%,89.50%,88.60%,93.20%,,,,,,,,
82,5,1129,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202225,91.18%,85.77%,12.5,94.00%,91.80%,87.30%,90.90%,,,,,,,,
82,5,1253,SPARK,Scheduled Standard Delivery,38,Executive Review,Degrading,Store Focus,202225,85.71%,75.34%,10.6,84.70%,81.80%,91.90%,84.50%,,,,,,,,
82,5,2133,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202225,85.29%,88.57%,9.8,95.20%,88.20%,81.00%,66.70%,,,,,,,,
82,5,2991,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202225,84.79%,71.71%,14.2,89.80%,76.80%,85.30%,89.10%,,,,,,,,
82,5,4130,UBER,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202225,76.26%,69.86%,14.5,71.40%,66.70%,70.90%,85.50%,,,,,,,,
82,5,4163,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202225,76.47%,59.02%,19.1,100.00%,64.00%,75.30%,85.70%,,,,,,,,
82,5,4163,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202225,80.83%,63.73%,14.8,85.00%,80.00%,79.40%,81.10%,,,,,,,,
82,5,4219,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202225,59.62%,60.91%,22.1,45.50%,49.20%,59.70%,71.40%,,,,,,,,
82,5,4554,SPARK,Scheduled Standard Delivery,26,Executive Review,Degrading,Store Focus,202225,80.93%,77.02%,10.2,82.10%,74.90%,86.40%,81.40%,,,,,,,,
83,5,475,DOORDASH,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,202225,91.97%,83.98%,10.5,93.80%,84.80%,93.70%,97.30%,,,,,,,,
83,5,1185,DOORDASH,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202225,61.60%,52.91%,36.1,54.80%,32.80%,78.10%,91.10%,,,,,,,,
83,5,1185,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202225,62.45%,62.62%,27.3,58.60%,44.90%,68.90%,79.90%,,,,,,,,
83,5,3169,POINTPICKUP,Scheduled Standard Delivery,29,Executive Review,Degrading,Store Focus,202225,69.85%,63.99%,25.6,86.10%,64.40%,37.50%,86.90%,,,,,,,,
83,5,3170,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202225,71.05%,56.11%,15.1,85.40%,76.70%,64.40%,66.30%,,,,,,,,
83,5,3569,DOORDASH,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202225,66.67%,56.64%,23.5,50.00%,60.30%,75.30%,66.00%,,,,,,,,
83,5,5479,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202225,87.86%,76.35%,13,91.00%,86.60%,86.00%,88.60%,,,,,,,,
83,5,5480,DOORDASH,Scheduled Standard Delivery,19,Executive Review,Recovering,Store Focus,202225,90.99%,71.86%,10.5,93.10%,81.80%,91.00%,95.10%,,,,,,,,
479,5,940,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202225,91.32%,76.39%,11.9,89.40%,94.50%,86.70%,93.80%,,,,,,,,
561,64,3198,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202225,79.38%,56.95%,16.9,71.80%,73.60%,92.90%,79.70%,,,,,,,,
561,64,3341,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Store Focus,202225,78.54%,79.95%,11,78.10%,70.40%,79.50%,88.60%,,,,,,,,
561,64,7224,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202225,89.99%,80.30%,14.5,91.00%,86.70%,93.70%,89.00%,,,,,,,,
154,16,1967,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202225,89.28%,89.09%,15.7,93.70%,90.40%,79.60%,95.80%,,,,,,,,
154,16,1967,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202225,88.27%,90.45%,12.8,91.40%,92.10%,77.10%,93.60%,,,,,,,,
154,16,2174,UBER,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202225,78.87%,86.13%,16.2,81.10%,67.50%,73.30%,93.10%,,,,,,,,
154,16,2228,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Driver Supply Focus,202225,88.89%,88.89%,8.6,100.00%,83.30%,100.00%,75.00%,,,,,,,,
154,16,2386,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202225,90.78%,91.03%,10.7,94.50%,93.20%,81.20%,96.40%,,,,,,,,
154,16,2386,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202225,75.62%,91.95%,9.5,91.00%,75.20%,67.10%,67.30%,,,,,,,,
154,16,5278,DOORDASH,Scheduled Standard Delivery,26,Executive Review,Degrading,Store Focus,202225,73.09%,75.11%,31.3,80.10%,66.40%,50.30%,88.10%,,,,,,,,
154,16,5278,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202225,71.98%,74.07%,24.6,71.80%,70.30%,53.00%,87.80%,,,,,,,,
156,16,2012,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202225,91.91%,90.09%,9.9,91.90%,88.60%,92.00%,94.50%,,,,,,,,
156,16,2158,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202225,85.58%,82.76%,16.7,92.30%,69.60%,90.30%,88.90%,,,,,,,,
156,16,2629,POINTPICKUP,Scheduled Express Delivery ,27,Executive Review,Degrading,Store Focus,202225,82.14%,80.20%,12.2,81.00%,90.50%,78.90%,78.30%,,,,,,,,
156,16,3409,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202225,88.09%,77.72%,12,93.80%,95.80%,79.40%,84.50%,,,,,,,,
156,16,4387,DOORDASH,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202225,88.12%,76.02%,14.3,82.80%,100.00%,84.70%,85.40%,,,,,,,,
157,16,1762,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Store Focus,202225,83.83%,67.72%,12.1,90.60%,79.70%,87.10%,76.40%,,,,,,,,
157,16,2222,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202225,76.30%,76.33%,15.3,71.60%,85.40%,72.90%,73.00%,,,,,,,,
157,16,3114,SPARK,Scheduled Standard Delivery,33,Executive Review,Degrading,Store Focus,202225,69.60%,62.20%,22.7,68.90%,64.80%,68.00%,75.80%,,,,,,,,
157,16,3535,DOORDASH,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202225,86.81%,73.86%,12.5,73.80%,92.90%,89.70%,85.50%,,,,,,,,
157,16,3535,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202225,91.15%,80.71%,10.3,92.90%,94.50%,83.30%,95.00%,,,,,,,,
159,16,1970,DOORDASH,Scheduled Standard Delivery,42,Executive Review,Degrading,Store Focus,202225,86.26%,63.50%,14.7,83.20%,85.80%,81.30%,95.70%,,,,,,,,
159,16,1970,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202225,87.09%,70.60%,13.8,81.80%,92.10%,85.40%,89.10%,,,,,,,,
159,16,2103,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202225,82.05%,66.62%,17.9,81.90%,80.00%,77.40%,88.50%,,,,,,,,
159,16,2128,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202225,77.13%,84.38%,11.9,78.70%,75.00%,81.50%,73.80%,,,,,,,,
159,16,2128,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202225,91.06%,84.77%,12.2,91.10%,86.60%,90.70%,95.60%,,,,,,,,
