Facility,Outage Type,Status,Walmart Week,Outage Start Date,Outage Time,Outage Duration,Outage Time Zone,Building Type,Day of Month,Comms Notes,,
7017,GLS 22.3,Scheduled,16,May 17,11:00 p.m.,Three hours,Central,GDC,,,,
7021,Systems Outage Cancelled,Cancelled,16,May 17,1:00 a.m.,-,Central,GDC,Third Tuesday,,,
7047,Systems Outage Cancelled,Cancelled,16,May 17,3:00 a.m.,-,Central,GDC,,,,
7084,GLS 22.3 and Load Planner,Scheduled,16,May 17,2:30 a.m.,Four hours,Central,GDC,,,,
6040,Systems Outage Cancelled,Cancelled,16,May 18,12:30 a.m,-,Central,RDC,First Monday,,,
6068,Systems Outage Cancelled,Cancelled,16,May 18,2:00 a.m.,-,Central,RDC,,,,
6091,GLS 22.3,Scheduled,16,May 18,12:00 a.m.,Three hours,Central,GDC,,,,
7015,Systems Outage Cancelled,Cancelled,16,May 18,10:00 p.m.,-,Central,GDC,Third Wednesday,,,
7024,Systems Outage Cancelled,Cancelled,16,May 18,11:00 p.m.,-,Central,GDC,,,,
7045,YMS 1.4 and DB Decoupling,Scheduled,16,May 18,1:00 a.m.,Three hours,Central,RDC,,,,
7095,Systems Outage Cancelled,Cancelled,16,May 18,4:00 a.m.,-,Central,IMP,,,,
6037,YMS 1.4 and DB Decoupling,Scheduled,16,May 19,2:00 a.m.,Three hours,Central,RDC,Third Thursday,,,
6054,Systems Outage Cancelled,Cancelled,16,May 19,1:00 a.m.,-,Central,RDC,Third Thirsday,,,
6065,GLS 22.3 and Load Planner,Scheduled,16,May 19,12:30 a.m.,Four hours,Central,GDC,Third Tuesday,,,
6083,GLS 22.3,Scheduled,16,May 19,12:30 a.m.,Three hours,Central,GDC,,,,
7030,Systems Outage Cancelled,Cancelled,16,May 19,12:00 a.m.,-,Central,GDC,,,,
6018,Systems Outage Cancelled,Cancelled,16,May 20,3:00 a.m.,-,Central,RDC,Third Friday,,,
6024,Systems Outage Cancelled,Cancelled,16,May 20,1:00 a.m.,-,Central,RDC,Third Friday,,,
6048,YMS 1.4 and DB Decoupling,Scheduled,16,May 20,12:00 a.m.,Three hours,Central,RDC,Third Friday,,,
6060,GLS 22.3 Pilot,Scheduled,17,May 21,11:00 p.m.,Four hours,Central,GDC,Third Saturday,,,
6036,Systems Outage Cancelled,Cancelled,17,May 22,12:00 a.m.,-,Central,RDC,Fourth Saturday,,,
6055,GLS 22.3,Scheduled,17,May 22,11:00 p.m.,Three hours,Central,GDC,Second Sunday,,,
6097,GLS 22.3,Scheduled,17,May 22,11:00 p.m.,Three hours,Central,GDC,,,,
6030,Systems Outage Cancelled,Cancelled,17,May 23,11:00 p.m.,-,Central,RDC,Fourth Monday,,,
6082,Systems Outage Cancelled,Cancelled,17,May 23,12:30 a.m.,-,Central,GDC,,,,
6858,GLS 22.3,Scheduled,17,May 23,11:30 p.m.,Three hours,Central,GDC,,,,
4013,GLS 22.3,Scheduled,17,May 24,1:00 a.m.,Three hours,Central,RDC,,,,
6038,Systems Outage Cancelled,Cancelled,17,May 24,11:00 p.m.,-,Central,RDC,Fourth Tuesday,,,
6056,GLS 22.3 and Load Planner,Scheduled,17,May 24,11:00 p.m.,Four hours,Central,GDC,Fourth Tuesday,,,
6099,Systems Outage Cancelled,Cancelled,17,May 24,11:30 a.m.,-,Central,GDC,,,,
7019,Systems Outage Cancelled,Cancelled,17,May 24,12:30 a.m.,-,Central,GDC,,,,
6017,Systems Outage Cancelled,Cancelled,17,May 25,12:30 a.m.,-,Central,RDC,Fourth Wednesday,,,
6025,YMS 1.4 and DB Decoupling,Scheduled,17,May 25,1:00 a.m.,Three hours,Central,RDC,Fourth Wednesday,,,
6071,GLS 22.3,Scheduled,17,May 25,12:00 a.m.,Three hours,Central,GDC,,,,
6066,Systems Outage Cancelled,Cancelled,17,May 26,1:30 a.m.,-,Central,RDC,Fourth Thursday,,,
6016,Systems Outage Cancelled,Cancelled,18,June 01,1:30 a.m.,-,Central,RDC,First Wednesday,,,
6035,Systems Outage Cancelled,Cancelled,18,June 01,1:30 a.m.,-,Central,RDC,First Wednesday,,,
7034,Systems Outage Cancelled,Cancelled,18,June 01,2:00 a.m.,-,Central,RDC,First Wednesday,,,
6012,Systems Outage Cancelled,Cancelled,18,June 02,12:00 a.m.,-,Central,RDC,First Thursday,,,
6031,Systems Outage Cancelled,Cancelled,18,June 02,3:00 a.m.,-,Central,RDC,First Thursday,,,
6019,Systems Outage Cancelled,Cancelled,19,June 04,2:00 a.m.,-,Central,RDC,First Saturday,,,
7018,Systems Outage Cancelled,Cancelled,19,June 04,12:00 a.m.,-,Central,GDC,,,,
7026,Systems Outage Cancelled,Cancelled,19,June 04,9:00 p.m.,-,Central,RDC,First Saturday,,,
6005,YMS 2.0 Upgrade,Scheduled,19,June 05,9:00 p.m.,Four hours,Central,RDC,,,,
6022,YMS 2.0 Upgrade,Scheduled,19,June 05,9:00 p.m.,Four hours,Central,RDC,,,,
6084,GLS 22.1 and Load Planner,Scheduled,19,June 05,12:00 a.m.,Four hours,Central,GDC,changed to 3rd Wed ,,,
7014,GLS 22.3,Scheduled,19,June 05,11:00 p.m.,Three hours,Central,GDC,,,,
7035,Systems Outage Cancelled,Cancelled,19,June 05,12:30 a.m.,-,Central,RDC,First Sunday,,,
7055,GLS 22.3,Scheduled,19,June 05,10:30 p.m.,Three hours,Central,GDC,,,,
6039,Systems Outage Cancelled,Cancelled,19,June 06,6:00 p.m.,-,Central,RDC,First Monday,,,
6040,YMS 1.4 and DB Decoupling,Scheduled,19,June 06,11:30 p.m.,Three hours,Central,RDC,First Monday,,,
6043,Systems Outage Cancelled,Cancelled,19,June 06,12:00 a.m.,-,Central,RDC,First Monday,,,
6064,YMS 1.4 and GLS 22.3,Scheduled,19,June 06,12:30 a.m.,Four hours,Central,GDC,Third Tuesday,,,
6082,GLS 22.3,Scheduled,19,June 06,12:30 a.m.,Three hours,Central,GDC,,,,
7033,Systems Outage Cancelled,Cancelled,19,June 06,3:00 a.m.,-,Central,RDC,,,,
6057,GLS 22.3,Scheduled,19,June 07,11:00 p.m.,Three hours,Central,GDC,Second Tuesday,,,
7036,Systems Outage Cancelled,Cancelled,19,June 07,1:00 a.m.,-,Central,RDC,First Tuesday,,,
7038,Systems Outage Cancelled,Cancelled,19,June 07,1:30 a.m.,-,Central,RDC,,,,
7078,Systems Outage Cancelled,Cancelled,19,June 07,2:00 a.m.,-,Central,IMP,,,,
8851,GLS 22.3 and Load Planner,Scheduled,19,June 07,8:00 p.m.,Four hours,Central,GDC,,,,
6059,Systems Outage Cancelled,Cancelled,19,June 08,12:30 a.m.,-,Central,GDC,Second Wednesday,,,
6085,Systems Outage Cancelled,Cancelled,19,June 08,12:00 a.m.,-,Central,GDC,,,,
6090,GLS 22.3,Scheduled,19,June 08,2:00 a.m.,Three hours,Central,GDC,,,,
6092,Systems Outage Cancelled,Cancelled,19,June 08,1:00 a.m.,-,Central,RDC,Second Wednesday,,,
7023,GLS 22.3,Scheduled,19,June 08,11:30 p.m.,Three hours,Central,GDC,,,,
7048,GLS 22.3,Scheduled,19,June 08,1:00 a.m.,Three hours,Central,GDC,,,,
6061,YMS 1.4,Scheduled,19,June 09,12:30 a.m.,Three hours,Central,IDC,First Thursday,,,
6083,Systems Outage Cancelled,Cancelled,19,June 09,12:30 a.m.,-,Central,GDC,,,,
7039,Systems Outage Cancelled,Cancelled,19,June 09,2:00 a.m.,-,Central,RDC,,,,
8397,GLS 22.3 and Load Planner,Scheduled,19,June 09,3:00 a.m.,Four hours,Central,GDC,,,,
6009,Systems Outage Cancelled,Cancelled,19,June 10,12:30 a.m.,-,Central,RDC,Second Friday,,,
6094,YMS 1.4 and DB Decoupling,Scheduled,19,June 10,1:00 a.m.,Three hours,Central,RDC,,,,
6070,Systems Outage Cancelled,Cancelled,20,June 11,1:00 a.m.,-,Central,RDC,Second Saturday,,,
6088,Systems Outage Cancelled,Cancelled,20,June 11,12:30 a.m.,-,Central,,,,,
6010,Systems Outage Cancelled,Cancelled,20,June 12,8:00 p.m.,-,Central,RDC,second Sunday,,,
6023,Systems Outage Cancelled,Cancelled,20,June 12,1:00 a.m.,-,Central,RDC,Second Sunday,,,
6055,Systems Outage Cancelled,Cancelled,20,June 12,11:30 p.m.,-,Central,GDC,Second Sunday,,,
6011,Systems Outage Cancelled,Cancelled,20,June 13,12:00 a.m.,-,Central,RDC,Third Monday,,,
6021,YMS 1.4 and DB Decoupling,Scheduled,20,June 13,4:30 a.m.,Three hours,Central,RDC,Second Monday,,,
6069,Systems Outage Cancelled,Cancelled,20,June 13,1:00 a.m.,-,Central,RDC,Second Monday,,,
6072,GLS 22.3,Scheduled,20,June 13,12:30 a.m.,Three hours,Central,GDC,,,,
7012,Systems Outage Cancelled,Cancelled,20,June 13,11:30 p.m.,-,Central,GDC,,,,
6006,Systems Outage Cancelled,Cancelled,20,June 14,12:00 a.m.,-,Central,RDC,second Tuesday,,,
6020,Systems Outage Cancelled,Cancelled,20,June 14,1:00 a.m.,-,Central,RDC,Second Tuesday,,,
6026,Systems Outage Cancelled,Cancelled,20,June 14,5:00 a.m.,-,Central,RDC,Second Tuesday,,,
6047,Systems Outage Cancelled,Cancelled,20,June 14,10:30 p.m.,-,Central,GDC,Third tuesday,,,
6065,Systems Outage Cancelled,Cancelled,20,June 14,12:30 a.m.,-,Central,GDC,Third Tuesday,,,
6073,Systems Outage Cancelled,Cancelled,20,June 14,11:30 p.m.,-,Central,GDC,,,,
6077,GLS 22.3,Scheduled,20,June 14,12:30 a.m.,Three hours,Central,GDC,,,,
6095,Systems Outage Cancelled,Cancelled,20,June 14,1:00 a.m.,-,Central,GDC,,,,
7013,Systems Outage Cancelled,Cancelled,20,June 14,2:30 a.m.,-,Central,GDC,,,,
7019,GLS 22.3,Scheduled,20,June 14,12:30 a.m.,Three hours,Central,GDC,,,,
7077,GLS 22.3,Scheduled,20,June 14,11:00 p.m.,Three hours,Central,GDC,,,,
6068,Systems Outage Cancelled,Cancelled,20,June 15,2:00 a.m.,-,Central,RDC,,,,
6091,Systems Outage Cancelled,Cancelled,20,June 15,12:00 a.m.,-,Central,GDC,,,,
7015,GLS 22.3,Scheduled,20,June 15,10:00 p.m.,Three hours,Central,GDC,Third Wednesday,,,
7024,GLS 22.3,Scheduled,20,June 15,11:00 p.m.,Three hours,Central,GDC,,,,
7045,Systems Outage Cancelled,Cancelled,20,June 15,1:00 a.m.,-,Central,RDC,,,,
7095,Systems Outage Cancelled,Cancelled,20,June 15,4:00 a.m.,-,Central,IMP,,,,
6037,Systems Outage Cancelled,Cancelled,20,June 16,2:00 a.m.,-,Central,RDC,Third Thursday,,,
6054,Systems Outage Cancelled,Cancelled,20,June 16,1:00 a.m.,-,Central,RDC,Third Thirsday,,,
7030,GLS 22.3,Scheduled,20,June 16,12:00 a.m.,Three hours,Central,GDC,,,,
6018,YMS 1.4 and DB Decoupling,Scheduled,20,June 17,3:00 a.m.,Three hours,Central,RDC,Third Friday,,,
6024,Systems Outage Cancelled,Cancelled,20,June 17,2:00 a.m.,-,Central,RDC,Third Friday,,,
6048,Systems Outage Cancelled,Cancelled,20,June 17,12:00 a.m.,-,Central,RDC,Third Friday,,,
6027,Systems Outage Cancelled,Cancelled,21,June 18,6:00 p.m.,-,Central,RDC,Third Saturday,,,
6060,Systems Outage Cancelled,Cancelled,21,June 18,11:00 p.m.,-,Central,GDC,Third Saturday,,,
6080,Systems Outage Cancelled,Cancelled,21,June 18,10:30 p.m.,-,Central,RDC,Third Saturday,,,
6041,YMS 2.0 Upgrade,Scheduled,21,June 19,9:00 p.m.,Four hours,Central,WPM,,,,
7079,GLS 22.3,Scheduled,21,June 19,1:30 a.m.,Three hours,Central,GDC,,,,
7842,YMS 2.0 Upgrade,Scheduled,21,June 19,9:00 p.m.,Four hours,Central,WPM,,,,
6011,Systems Outage Cancelled,Cancelled,21,June 20,12:00 a.m.,-,Central,RDC,Third Monday,,,
6062,GLS 22.3,Scheduled,21,June 20,12:30 a.m.,Three hours,Central,GDC,Third Monday,,,
7010,GLS 22.3,Scheduled,21,June 20,1:00 a.m.,Three hours,Central,GDC,,,,
7042,Systems Outage Cancelled,Cancelled,21,June 20,12:00 a.m.,-,Central,IDC,,,,
6042,Systems Outage Cancelled,Cancelled,21,June 21,12:30 a.m.,-,Central,GDC,third Tuesday,,,
6064,Systems Outage Cancelled,Cancelled,21,June 21,12:30 a.m.,-,Central,GDC,Third Tuesday,,,
6074,GLS 22.3,Scheduled,21,June 21,10:00 a.m.,Three hours,Central,GDC,,,,
6096,Systems Outage Cancelled,Cancelled,21,June 21,11:30 p.m.,-,Central,GDC,,,,
6099,GLS 22.3 and Load Planner,Scheduled,21,June 21,11:30 p.m.,Four hours,Central,GDC,,,,
7016,Systems Outage Cancelled,Cancelled,21,June 21,10:00 a.m.,-,Central,GDC,,,,
7017,Systems Outage Cancelled,Cancelled,21,June 21,11:00 p.m.,-,Central,GDC,,,,
7021,GLS 22.3 and Load Planner,Scheduled,21,June 21,12:00 a.m.,Four hours,Central,GDC,Third Tuesday,,,
7047,Systems Outage Cancelled,Cancelled,21,June 21,3:00 a.m.,-,Central,GDC,,,,
7084,Systems Outage Cancelled,Cancelled,21,June 21,2:30 a.m.,-,Central,GDC,,,,
6017,Systems Outage Cancelled,Cancelled,21,June 22,11:00 p.m.,-,Central,RDC,Fourth Wednesday,,,
6025,Systems Outage Cancelled,Cancelled,21,June 22,12:00 a.m.,-,Central,RDC,Fourth Wednesday,,,
6071,Systems Outage Cancelled,Cancelled,21,June 22,12:00 a.m.,-,Central,GDC,,,,
6066,Systems Outage Cancelled,Cancelled,21,June 23,1:30 a.m.,-,Central,RDC,Fourth Thursday,,,
6036,Systems Outage Cancelled,Cancelled,22,June 25,6:00 p.m.,-,Central,RDC,Fourth Saturday,,,
7067,Systems Outage Cancelled,Cancelled,22,June 25,12:30 a.m.,-,Central,IDC,,,,
6097,Systems Outage Cancelled,Cancelled,22,June 26,11:00 p.m.,-,Central,GDC,,,,
6030,Systems Outage Cancelled,Cancelled,22,June 27,11:00 p.m.,-,Central,RDC,Fourth Monday,,,
6082,Systems Outage Cancelled,Cancelled,22,June 27,12:30 a.m.,-,Central,GDC,,,,
6858,Systems Outage Cancelled,Cancelled,22,June 27,11:30 p.m.,-,Central,GDC,,,,
6056,Systems Outage Cancelled,Cancelled,22,June 28,11:00 p.m.,-,Central,GDC,Fourth Tuesday,,,
7033,Systems Outage Cancelled,Cancelled,22,July 01,3:00 a.m.,-,Central,RDC,,,,
6019,Systems Outage Cancelled,Cancelled,23,July 02,2:00 a.m.,-,Central,RDC,First Saturday,,,
7014,Systems Outage Cancelled,Cancelled,23,July 03,11:00 p.m.,-,Central,GDC,,,,
7035,Systems Outage Cancelled,Cancelled,23,July 03,12:30 a.m.,-,Central,RDC,First Sunday,,,
7055,Systems Outage Cancelled,Cancelled,23,July 03,10:30 p.m.,-,Central,GDC,,,,
