Market,Store,SC BI LY Ship,SC BI LY Sold,SC BI TY Ship
53,2996,4,3,3
53,4240,6,5,5
53,5092,6,4,5
53,5889,3,3,2
55,260,10,9,10
55,286,7,7,7
55,565,9,8,8
55,1118,14,10,10
55,2667,11,10,10
55,4164,10,10,10
55,4215,9,8,8
55,5191,12,11,12
56,2086,2,2,1
56,2463,4,3,3
56,2883,5,5,5
56,2926,2,2,1
56,3777,6,5,5
56,5866,1,1,1
56,6300,6,5,5
56,7178,7,6,6
58,2979,3,3,2
58,2981,3,2,1
58,3043,2,2,1
58,3135,4,3,2
58,3341,3,2,2
58,3392,2,2,1
58,3419,2,2,1
58,3594,3,3,2
58,3653,2,2,1
58,5613,3,3,2
58,5614,2,2,1
58,5624,3,2,2
58,6578,3,2,2
58,7251,3,2,1
58,7347,4,3,2
59,297,7,6,6
59,744,10,8,9
59,849,7,6,5
59,1103,6,5,5
59,1279,7,6,5
59,1837,9,7,6
59,4298,11,9,9
59,6579,10,9,9
60,194,7,6,6
60,522,9,7,7
60,1137,7,6,6
60,1186,9,8,8
60,2439,8,7,7
60,3298,5,4,3
60,3500,16,13,13
60,5116,9,7,7
61,462,13,8,8
61,504,7,6,5
61,527,4,4,3
61,529,9,8,7
61,808,7,7,6
61,1405,3,3,2
61,5388,4,4,3
62,546,6,5,5
62,872,4,4,3
62,915,5,4,5
62,2505,4,3,3
62,2993,4,3,2
62,3510,5,4,5
62,3572,6,5,5
62,5449,4,3,3
63,752,6,5,5
63,1062,6,4,5
63,2724,7,6,6
63,3425,6,5,5
63,4526,9,8,7
63,5612,7,5,5
63,5959,5,4,3
64,772,4,3,2
64,2066,3,2,1
64,3296,4,3,3
64,3302,3,2,2
64,3584,3,3,2
64,3827,3,3,2
65,344,2,1,1
65,768,4,4,3
65,1040,7,9,7
65,1409,2,2,1
65,3226,5,5,5
65,3640,3,2,1
65,4111,3,2,2
65,4512,6,5,5
65,5246,1,1,1
66,331,7,7,6
66,383,9,8,8
66,384,9,8,8
66,408,9,6,6
66,449,4,4,5
66,457,15,11,11
66,469,7,5,5
66,521,7,5,5
66,651,8,6,5
66,777,13,9,9
66,1204,8,7,7
67,703,6,5,5
67,2257,4,4,3
67,3297,5,4,4
67,4416,7,6,5
67,4538,6,4,5
67,5045,6,5,5
67,5091,7,5,4
68,351,2,2,1
68,400,7,6,6
68,602,3,3,2
68,3213,6,5,5
68,3390,3,3,2
68,3585,4,3,3
68,3591,7,6,6
68,5287,6,4,5
70,600,6,5,5
70,755,13,11,11
70,793,7,5,5
70,812,5,4,5
70,822,11,7,7
70,900,3,3,2
70,1516,6,5,5
70,3383,11,8,8
70,3384,8,6,5
70,5216,13,10,10
71,549,21,18,19
71,821,10,9,10
71,861,9,6,5
71,927,9,7,7
71,945,9,7,7
71,1051,4,4,5
71,2653,8,6,4
71,3826,5,4,3
71,4299,9,7,7
71,6898,6,5,5
73,513,7,5,5
73,537,15,13,13
73,608,12,11,11
73,897,9,6,6
73,2891,9,7,7
73,3645,12,10,10
74,438,3,3,2
74,535,12,10,11
74,536,8,7,7
74,601,8,6,6
74,1249,9,6,6
74,1257,6,5,5
74,1272,5,4,5
74,3381,9,5,5
74,7281,5,4,3
76,211,7,6,6
76,248,5,5,5
76,561,5,5,5
76,610,8,8,8
76,746,5,4,5
76,939,4,4,3
76,1254,7,6,6
76,5389,5,5,5
76,6929,7,6,6
76,7156,5,4,3
77,290,2,2,1
77,465,3,2,2
77,757,3,3,3
77,901,5,5,5
77,1313,3,3,2
77,3112,4,4,3
77,3279,4,3,3
77,4103,4,3,2
77,5144,5,4,3
77,5245,3,3,2
78,440,3,2,2
78,442,4,3,2
78,458,3,2,2
78,464,7,6,6
78,470,3,3,2
78,490,2,2,1
78,791,5,4,3
78,1494,3,2,2
78,5460,2,2,1
78,5898,4,3,2
80,395,3,2,2
80,397,3,2,2
80,429,3,3,2
80,452,3,2,1
80,1958,2,1,1
80,3320,3,2,1
80,3567,2,2,1
80,3886,5,4,5
80,4508,2,1,1
80,5165,3,2,1
80,5809,4,3,3
81,381,8,8,7
81,407,7,6,6
81,476,4,3,3
81,781,5,4,5
81,813,12,10,10
81,917,5,4,3
81,1073,3,3,2
81,1232,5,4,5
81,1303,4,4,3
81,3319,7,6,6
81,6286,6,5,5
82,1129,2,2,1
82,1253,2,2,1
82,2133,2,2,1
82,2991,4,3,3
82,4130,4,3,3
82,4163,2,2,1
82,4219,2,2,1
82,4554,1,1,1
82,5317,2,2,1
83,77,3,2,2
83,280,4,3,3
83,475,2,2,1
83,1185,2,2,1
83,3169,2,2,1
83,3170,2,2,1
83,3569,3,2,1
83,5479,3,3,2
83,5480,4,3,2
84,330,5,4,5
84,437,6,5,5
84,463,3,3,2
84,524,1,1,1
84,1098,2,2,2
84,4194,3,2,2
85,321,3,3,3
85,322,8,6,6
85,846,4,3,3
85,1042,5,4,5
85,1150,5,4,5
85,4183,2,2,2
86,999,4,3,3
86,1235,2,2,1
86,2239,4,3,2
86,2599,2,2,1
86,3058,4,3,3
86,3106,5,4,5
86,3888,7,5,5
86,4102,3,3,2
86,5145,2,2,1
87,292,2,2,1
87,404,4,3,3
87,765,4,4,3
87,865,6,5,5
87,1347,2,2,1
87,1803,2,2,1
87,2404,2,2,1
87,2769,3,2,2
87,3391,3,3,2
87,4055,4,3,3
87,4115,7,5,5
88,443,2,2,1
88,447,8,5,5
88,461,4,3,3
88,554,0,0,1
88,782,7,4,3
88,3518,4,3,2
88,3623,2,1,1
88,5713,3,2,1
89,110,6,6,5
89,705,13,12,13
89,800,12,11,11
89,942,10,9,9
89,959,7,7,7
89,2695,12,11,11
89,2843,7,7,7
89,4262,8,8,8
89,5299,8,8,8
90,817,5,5,5
90,908,4,4,3
90,1086,8,8,8
90,1220,9,6,5
90,2881,8,7,7
90,4332,3,3,2
90,4365,4,4,5
90,5214,4,4,5
90,5250,13,12,12
90,5420,3,3,2
91,890,12,11,10
91,943,12,10,10
91,955,11,11,11
91,3782,5,5,5
91,4588,8,6,6
91,5871,3,3,2
91,5894,5,5,5
92,174,9,8,8
92,649,12,11,12
92,771,5,4,5
92,931,8,8,8
92,973,11,10,10
92,974,10,9,9
92,1068,7,6,6
92,1702,10,8,8
92,3538,9,8,7
92,5455,14,13,13
93,538,9,9,9
93,551,14,14,16
93,697,17,14,14
93,960,9,9,9
93,1081,9,8,8
93,1283,9,8,8
93,1297,14,14,14
93,1847,13,13,13
93,3877,6,6,5
93,4368,9,7,6
93,5326,14,14,14
94,563,12,10,10
94,579,6,6,6
94,582,8,7,7
94,613,8,8,8
94,857,8,7,7
94,860,12,11,12
94,1079,9,7,7
94,1182,9,8,9
94,1391,8,7,7
94,3207,8,8,8
94,3310,12,10,10
96,2499,2,2,1
96,3162,6,4,5
96,4142,4,3,3
96,4160,5,4,5
96,4197,3,3,2
96,4211,3,3,3
96,4425,3,3,2
96,5106,2,2,1
96,5132,2,2,1
96,5179,3,3,2
96,5365,3,3,2
96,5366,2,2,2
96,6894,4,4,3
97,488,4,4,5
97,858,4,4,3
97,1077,7,6,6
97,1223,5,5,5
97,1375,11,10,11
97,1408,9,8,8
97,3307,9,8,8
97,4427,6,5,5
97,4520,4,4,5
97,5172,5,5,5
97,5422,7,6,6
98,928,8,7,7
98,1082,5,5,5
98,1172,5,5,5
98,1173,5,5,5
98,1444,9,8,9
98,3309,4,4,3
98,3702,12,11,12
98,4444,5,5,5
98,5037,10,9,10
98,5054,6,6,6
101,767,15,14,14
101,1083,12,11,12
101,1090,5,5,5
101,1205,8,8,8
101,1219,12,11,11
101,1225,7,7,7
101,2626,11,10,10
101,2920,8,8,9
101,3308,12,12,12
101,6978,10,9,9
102,2392,2,2,1
102,3066,2,2,1
102,4354,1,1,1
102,5321,2,2,2
102,5451,2,2,1
102,5453,2,2,2
102,5622,3,3,2
102,5826,3,3,2
102,6937,2,2,2
102,6941,2,2,1
102,6968,5,4,5
102,7221,3,3,2
102,7298,1,1,1
102,7307,2,1,1
103,2907,5,4,5
103,2930,1,1,1
103,3183,3,2,2
103,3935,2,2,2
103,4140,2,2,1
103,4498,1,1,1
103,4563,2,2,1
103,4595,2,2,1
103,4617,2,2,1
103,4826,2,2,1
103,5615,2,1,1
103,5719,2,2,2
103,5945,2,2,1
104,967,9,9,9
104,988,10,8,8
104,994,9,8,8
104,1029,12,10,10
104,1085,8,8,8
104,1104,9,9,10
104,1213,11,10,11
104,3415,5,4,5
104,3526,7,7,7
104,5266,11,10,10
104,5772,8,8,9
105,819,8,7,7
105,987,4,4,3
105,1957,2,1,1
105,3417,3,3,2
105,4063,2,2,1
105,5034,6,5,5
105,5055,3,3,2
105,5347,5,4,5
105,5391,4,4,3
107,814,7,7,7
107,929,9,8,9
107,1087,6,6,6
107,1436,4,4,3
107,1541,9,9,10
107,2176,3,3,2
107,3348,9,7,7
107,3527,9,8,9
107,4260,11,9,10
107,4446,8,7,7
107,5301,11,7,6
108,1387,5,5,5
108,1398,5,4,3
108,1517,3,2,2
108,1589,3,2,2
108,1916,4,3,3
108,2789,5,5,5
108,2962,4,5,5
108,2963,4,4,3
108,3858,2,2,1
108,5882,2,2,1
108,5911,2,2,2
109,1349,5,4,5
109,1845,3,3,3
109,1851,5,5,5
109,2151,3,2,2
109,2591,7,7,7
109,2946,7,7,7
109,2987,6,6,6
109,3625,5,4,5
109,5325,3,3,2
109,5932,5,5,5
110,1680,3,3,2
110,2091,6,5,5
110,2727,10,9,9
110,2814,7,7,7
110,4161,3,2,2
110,5671,8,7,7
110,5854,3,3,2
110,5912,8,6,6
110,6397,6,6,7
111,1390,9,8,8
111,1513,4,4,3
111,1536,9,8,8
111,1712,6,5,5
111,2081,4,5,5
111,2796,5,4,5
111,3372,5,5,5
111,4690,6,5,5
111,5218,11,9,9
112,1960,6,6,6
112,2627,5,4,5
112,2740,6,6,6
112,3197,6,6,5
112,3418,9,8,8
112,4681,6,5,5
112,5036,7,7,7
112,5220,3,3,2
112,5964,9,9,9
114,547,8,7,7
114,706,15,14,14
114,718,13,12,13
114,725,9,8,9
114,779,6,6,6
114,1245,13,12,13
114,2387,11,10,10
114,3463,15,14,14
115,528,6,6,6
115,666,9,9,9
115,769,4,4,5
115,1004,6,6,6
115,1171,4,4,5
115,2459,3,3,2
115,3370,10,8,8
115,3474,6,6,6
115,3887,7,7,7
115,5264,2,2,2
115,5727,3,3,3
116,580,11,10,10
116,759,4,4,3
116,859,8,8,8
116,941,8,7,7
116,968,9,9,9
116,1203,10,9,10
116,3347,10,9,9
116,5035,15,14,14
116,5300,9,9,9
118,623,7,7,8
118,721,7,7,7
118,778,5,5,5
118,811,6,6,6
118,1874,4,4,5
118,2237,6,6,6
118,2484,7,6,6
118,3349,5,5,5
118,3387,7,7,7
118,6190,6,6,6
119,477,9,8,9
119,619,12,11,11
119,663,15,15,16
119,698,14,13,14
119,1089,10,9,10
119,1606,9,8,8
119,3659,6,6,6
119,3835,9,8,8
119,4226,13,12,12
119,5263,12,11,12
120,658,12,11,11
120,669,11,10,11
120,756,7,7,7
120,1215,12,12,13
120,1458,15,14,14
120,1469,8,7,7
120,2988,11,10,10
120,3660,6,6,5
120,5151,11,10,10
120,5173,15,13,14
120,5251,7,6,6
121,366,9,9,10
121,583,10,8,8
121,676,12,11,11
121,687,15,13,14
121,741,9,10,10
121,1466,20,18,19
121,1467,8,8,9
121,4166,9,9,9
121,4635,12,12,13
122,672,11,11,12
122,1194,10,9,9
122,1318,9,9,9
122,1319,11,11,11
122,1320,10,9,10
122,2065,6,6,7
122,2932,5,5,5
122,4223,12,11,12
123,578,7,6,6
123,678,13,13,14
123,680,13,12,12
123,685,13,12,13
123,724,10,10,10
123,2310,9,8,8
123,3234,8,8,9
123,6370,9,9,9
124,599,15,14,14
124,620,8,8,8
124,690,16,14,14
124,742,14,14,16
124,1080,8,8,8
124,1694,12,11,11
124,2496,5,5,5
124,2749,11,11,11
124,3289,7,6,6
124,3829,10,10,10
124,3852,4,5,5
125,553,11,10,10
125,909,13,12,12
125,912,13,10,10
125,1163,10,10,10
125,2665,11,11,11
125,2706,15,11,11
125,3167,6,5,5
125,5022,7,7,7
127,87,9,8,9
127,278,10,8,8
127,323,5,4,3
127,376,10,9,9
127,448,9,8,8
127,450,9,8,8
127,876,10,8,8
127,1169,4,4,5
127,3868,6,5,5
127,6932,10,9,8
128,489,13,11,12
128,541,13,11,11
128,803,10,9,9
128,911,25,12,13
128,989,11,10,10
128,1342,9,8,8
128,1353,14,12,12
128,3616,11,11,11
128,4129,13,12,12
129,485,4,4,3
129,502,6,5,5
129,540,7,7,7
129,542,6,5,5
129,761,5,5,5
129,961,9,8,8
129,1016,7,5,5
129,2913,9,8,8
129,3483,7,6,6
130,428,9,8,8
130,532,10,10,10
130,839,13,12,12
130,935,10,9,9
130,1102,8,8,8
130,1206,9,8,8
130,1266,7,6,6
130,4683,5,4,3
131,401,5,4,3
131,1136,6,6,5
131,1196,6,5,5
131,2132,6,5,5
131,2822,11,10,10
131,3288,10,9,9
131,4679,10,9,10
131,5056,7,7,7
132,309,9,8,8
132,310,9,8,8
132,386,10,9,9
132,402,8,7,6
132,415,7,6,6
132,531,9,8,8
132,533,9,8,8
132,543,9,8,9
132,2938,8,6,6
132,7301,11,9,9
134,75,9,7,7
134,170,7,6,6
134,312,7,6,6
134,405,13,11,12
134,498,7,5,5
134,505,13,12,13
134,539,9,7,7
134,773,10,9,9
134,1107,5,5,5
134,1128,10,8,8
134,4295,8,7,7
135,23,8,7,7
135,98,6,5,5
135,149,4,4,5
135,244,4,4,3
135,307,9,8,8
135,976,8,7,7
135,1108,5,4,5
135,1109,6,6,5
135,1110,5,4,5
135,1193,2,2,1
136,155,13,13,14
136,182,13,11,12
136,347,6,5,5
136,699,8,7,7
136,707,8,8,9
136,716,8,7,7
136,1074,11,10,11
136,1468,8,7,7
136,1530,8,7,7
137,394,10,9,10
137,403,8,7,7
137,409,5,5,5
137,660,10,9,10
137,661,14,12,13
137,662,9,8,8
137,766,11,11,11
137,1100,5,5,5
137,1124,9,8,8
137,2690,6,5,5
137,4187,9,8,8
137,5703,10,8,8
138,112,10,8,8
138,115,5,4,5
138,183,9,7,6
138,205,10,9,10
138,239,8,9,9
138,305,7,7,7
138,495,16,12,13
138,981,17,13,14
138,1059,8,7,7
138,1069,5,5,5
138,1271,4,4,3
140,365,13,12,13
140,708,12,11,13
140,875,6,5,5
140,903,9,8,8
140,1710,11,8,8
140,2720,11,11,11
140,2755,12,9,9
140,2939,9,8,9
140,3059,8,7,7
140,3060,8,8,8
140,6469,10,9,10
141,501,17,15,16
141,785,13,11,11
141,816,19,16,17
141,874,10,10,10
141,887,12,9,9
141,916,15,11,12
141,954,8,7,7
141,1025,20,18,20
141,1106,8,7,7
141,1168,15,12,13
141,1192,11,9,10
141,2717,10,8,7
143,969,11,10,11
143,970,18,17,18
143,1066,13,12,13
143,1088,7,6,6
143,1195,11,9,9
143,1260,12,11,11
143,1346,12,12,12
143,2715,11,11,13
143,3528,8,8,8
143,5079,8,8,8
144,175,9,9,9
144,848,14,11,11
144,1248,11,8,8
144,2846,13,12,13
144,5196,6,6,6
144,5419,10,10,10
144,6964,13,12,12
145,94,26,19,20
145,950,10,9,9
145,1561,8,7,7
145,2322,6,6,5
145,4533,9,8,8
145,6807,7,6,6
146,64,5,5,5
146,93,9,9,9
146,97,7,7,7
146,104,9,9,9
146,106,6,6,6
146,107,9,8,8
146,120,9,8,8
146,177,14,10,10
146,335,11,10,10
146,410,11,11,11
146,675,9,9,9
146,677,16,15,14
147,161,7,7,7
147,218,6,6,6
147,238,10,9,9
147,268,12,11,12
147,393,12,11,12
147,466,5,5,5
147,683,13,12,12
147,684,12,11,12
147,738,9,7,7
147,1115,9,7,7
149,264,17,15,16
149,304,14,12,12
149,390,6,6,6
149,673,13,12,13
149,695,9,6,6
149,1075,12,11,12
149,1226,7,6,6
149,3137,8,7,7
149,3495,14,13,14
149,4435,5,5,5
149,4483,8,7,7
151,192,15,13,14
151,406,9,8,9
151,416,8,7,8
151,656,13,11,12
151,667,10,9,9
151,682,8,7,7
151,735,13,12,13
151,737,8,8,8
151,2757,9,8,8
151,3017,7,6,6
151,5057,10,9,9
152,308,11,10,11
152,568,11,10,8
152,587,9,8,7
152,657,17,12,12
152,668,14,12,13
152,671,13,12,12
152,674,14,11,10
152,879,10,9,9
152,1376,9,7,7
152,4414,7,6,6
152,5175,12,11,11
153,272,5,5,5
153,659,6,4,3
153,688,6,5,5
153,710,8,7,7
153,3717,1,1,1
153,4482,9,8,7
153,5058,5,4,5
153,5616,2,2,1
153,7020,8,7,6
154,1967,4,4,3
154,1984,5,5,5
154,2174,5,4,5
154,2289,5,4,5
154,2386,6,5,5
154,5278,8,7,7
156,2012,4,4,3
156,2155,3,3,3
156,2158,2,2,1
156,2329,2,2,1
156,2629,4,4,3
156,2964,3,3,2
156,3409,6,5,5
156,4387,4,4,3
157,1762,3,3,2
157,2222,2,1,1
157,3114,3,2,1
157,3535,3,3,2
159,1970,2,1,1
159,2103,3,3,2
159,2122,5,5,5
159,2128,3,3,`1
159,2336,3,3,3
160,2021,6,5,5
160,2095,4,4,5
160,2157,6,6,5
160,2184,0,0,1
160,2366,7,6,6
160,2953,6,5,5
160,3560,8,8,8
160,5448,4,3,3
161,1873,6,5,5
161,1964,3,3,3
161,2225,8,7,7
161,2261,3,3,2
161,2283,6,5,5
162,1891,5,4,5
162,1980,4,4,5
162,2022,5,5,5
162,2282,8,7,7
162,2331,6,5,5
162,2854,7,7,7
162,5777,7,6,6
163,2299,4,4,3
163,2371,6,5,5
163,5095,4,3,3
163,5439,6,5,5
164,1810,3,3,2
164,1959,6,5,5
164,2104,5,5,5
164,2547,3,3,3
164,2637,4,3,2
164,4570,3,3,2
165,1742,5,5,5
165,2108,2,1,1
165,3212,1,1,1
165,3337,3,2,1
165,3339,6,5,5
165,3774,4,4,5
165,5476,8,7,7
166,2141,5,4,5
166,2830,0,0,2
166,3252,0,0,1
166,5229,0,0,1
166,5881,4,3,2
166,5891,1,1,1
167,2263,3,3,2
167,2945,5,5,5
167,3475,2,2,1
167,3501,4,4,3
167,3541,2,2,1
167,4687,1,1,1
167,5239,4,4,3
168,1670,0,0,1
168,1777,3,3,2
168,2145,8,5,5
