STORE,D31 Footage Cat 2702,GM Footage Cat 2400,Mesh Traited,Clear Traited,,
96,24,12,No,No,,
97,16,12,No,Yes,,
98,16,12,Yes,Yes,,
99,16,4,No,Yes,,
100,24,12,Yes,No,,
101,16,12,No,No,,
102,16,12,Yes,No,,
103,20,28,Yes,Yes,,
104,12,8,No,No,,
105,24,8,No,Yes,,
106,8,12,No,No,,
107,16,12,No,No,,
108,24,12,No,No,,
109,16,12,No,No,,
110,8,16,No,No,,
111,24,16,No,No,,
112,20,16,No,Yes,,
113,20,24,No,No,,
114,16,12,Yes,Yes,,
115,16,12,No,No,,
116,4,0,No,No,,
117,8,12,No,Yes,,
118,16,12,No,No,,
119,20,24,No,No,,
120,12,12,No,No,,
121,16,24,No,Yes,,
122,12,0,No,Yes,,
123,8,12,Yes,Yes,,
124,16,12,Yes,Yes,,
125,32,28,Yes,No,,
126,32,12,Yes,No,,
127,0,12,No,No,,
128,16,8,No,No,,
129,32,28,Yes,No,,
130,24,36,Yes,No,,
131,24,28,No,Yes,,
132,0,8,No,No,,
133,4,8,No,No,,
134,16,24,No,Yes,,
135,8,12,No,No,,
137,12,12,Yes,No,,
138,12,12,No,No,,
139,16,12,No,No,,
140,8,16,Yes,No,,
141,16,8,No,No,,
143,16,4,Yes,Yes,,
144,16,20,No,Yes,,
145,16,8,No,Yes,,
146,16,0,No,Yes,,
147,24,0,No,No,,
148,16,0,No,No,,
149,20,12,Yes,Yes,,
150,16,8,Yes,No,,
151,16,24,Yes,Yes,,
152,20,20,No,No,,
153,8,0,No,No,,
154,24,16,No,No,,
155,16,12,No,No,,
157,16,8,Yes,Yes,,
158,8,0,No,No,,
159,24,20,No,No,,
160,16,12,No,No,,
161,12,12,No,No,,
162,12,12,No,No,,
163,12,20,No,Yes,,
164,0,20,No,No,,
165,8,12,No,Yes,,
166,12,12,No,No,,
167,0,16,Yes,No,,
168,24,12,Yes,Yes,,
169,0,12,No,No,,
170,12,20,Yes,Yes,,
171,12,20,No,No,,
172,24,8,No,No,,
173,12,12,No,No,,
174,20,24,No,Yes,,
175,8,12,Yes,Yes,,
177,8,12,No,No,,
178,16,8,No,No,,
179,24,8,No,No,,
180,12,28,No,No,,
181,0,16,No,No,,
182,20,12,Yes,Yes,,
183,16,12,No,Yes,,
184,12,28,Yes,No,,
185,32,12,No,No,,
186,16,20,No,No,,
188,16,0,Yes,Yes,,
189,24,20,No,No,,
190,0,8,Yes,Yes,,
192,24,12,No,No,,
194,24,16,Yes,Yes,,
195,24,16,No,No,,
196,20,12,Yes,No,,
197,24,16,No,No,,
198,20,16,No,No,,
199,16,8,No,No,,
200,24,12,No,No,,
201,24,8,No,No,,
202,24,20,No,No,,
204,8,16,No,No,,
205,16,20,Yes,No,,
206,16,16,Yes,No,,
207,4,8,No,No,,
210,4,0,No,No,,
211,16,24,No,Yes,,
212,24,8,Yes,No,,
213,16,16,No,Yes,,
214,16,12,Yes,Yes,,
216,32,16,Yes,Yes,,
217,4,32,No,No,,
218,8,12,No,No,,
219,24,8,Yes,Yes,,
220,36,32,Yes,Yes,,
221,24,12,No,No,,
222,28,16,No,No,,
224,12,24,Yes,No,,
225,4,8,No,No,,
226,16,8,No,No,,
227,28,24,No,Yes,,
228,28,24,Yes,No,,
229,12,12,No,No,,
231,16,28,Yes,No,,
232,0,0,No,Yes,,
233,12,12,No,No,,
234,24,16,Yes,No,,
236,16,8,No,Yes,,
237,16,20,No,No,,
238,16,8,No,No,,
239,8,16,No,No,,
240,20,12,No,No,,
242,16,12,No,No,,
243,16,4,No,No,,
244,8,0,Yes,Yes,,
246,4,12,Yes,No,,
247,12,0,No,Yes,,
248,24,8,No,No,,
249,12,8,Yes,No,,
250,24,12,No,No,,
251,16,12,No,No,,
252,16,0,No,No,,
253,24,16,No,No,,
254,12,16,No,No,,
256,16,8,No,No,,
257,12,0,Yes,No,,
258,28,28,No,Yes,,
259,24,12,Yes,Yes,,
260,16,12,Yes,Yes,,
261,20,20,Yes,No,,
262,20,16,No,No,,
264,20,8,Yes,No,,
265,32,8,Yes,Yes,,
266,28,8,No,Yes,,
267,20,8,No,No,,
268,12,24,Yes,No,,
269,12,20,Yes,Yes,,
271,16,12,No,No,,
272,16,20,No,Yes,,
273,16,12,No,No,,
274,16,0,No,No,,
275,16,24,Yes,No,,
276,4,12,No,No,,
277,16,16,Yes,No,,
278,20,8,Yes,Yes,,
279,8,12,No,No,,
280,4,12,No,No,,
281,12,12,Yes,Yes,,
282,16,12,No,No,,
283,8,0,No,No,,
284,24,24,No,Yes,,
285,16,16,Yes,Yes,,
286,16,28,No,Yes,,
287,20,16,Yes,Yes,,
288,12,0,Yes,Yes,,
289,16,0,Yes,No,,
290,8,12,No,Yes,,
292,16,16,Yes,No,,
293,4,0,No,No,,
294,8,16,No,No,,
295,24,16,No,Yes,,
296,8,12,No,No,,
297,16,12,Yes,No,,
298,24,24,Yes,Yes,,
299,36,16,Yes,Yes,,
300,0,16,Yes,Yes,,
301,16,8,Yes,Yes,,
302,16,12,No,No,,
303,16,12,No,No,,
304,16,8,Yes,No,,
305,4,12,No,Yes,,
306,4,16,Yes,No,,
307,8,8,Yes,Yes,,
308,16,12,No,No,,
309,8,16,Yes,No,,
310,16,16,Yes,Yes,,
311,4,0,Yes,Yes,,
312,4,0,Yes,Yes,,
313,16,16,No,No,,
314,24,24,No,No,,
315,12,12,No,Yes,,
316,12,20,Yes,Yes,,
317,8,16,No,Yes,,
318,28,8,No,No,,
319,24,28,Yes,No,,
320,4,0,No,Yes,,
321,12,12,Yes,Yes,,
322,16,20,No,Yes,,
323,8,8,Yes,Yes,,
324,8,12,No,No,,
325,20,12,No,No,,
328,8,8,No,No,,
329,12,24,Yes,Yes,,
330,20,16,Yes,No,,
331,20,12,Yes,No,,
332,12,12,Yes,No,,
333,16,12,No,No,,
334,4,8,No,No,,
335,8,16,No,Yes,,
336,0,8,Yes,No,,
337,8,12,No,No,,
338,8,8,No,Yes,,
339,4,0,No,No,,
340,12,12,No,No,,
341,8,8,No,No,,
343,16,16,No,No,,
344,16,12,No,Yes,,
345,28,20,No,No,,
346,12,12,No,No,,
347,16,12,No,No,,
348,24,24,Yes,Yes,,
350,12,0,No,No,,
351,24,16,No,No,,
352,12,0,No,No,,
353,16,16,Yes,No,,
354,12,0,No,No,,
355,24,8,Yes,Yes,,
356,12,8,Yes,Yes,,
357,4,8,No,No,,
358,12,12,No,No,,
359,24,12,No,Yes,,
360,12,12,No,No,,
361,24,12,No,No,,
362,8,12,No,Yes,,
363,16,16,No,Yes,,
364,12,16,No,No,,
365,16,24,Yes,Yes,,
366,16,8,No,No,,
368,8,12,No,No,,
369,16,12,No,No,,
370,8,4,No,No,,
371,12,12,No,No,,
372,8,40,Yes,No,,
373,8,0,Yes,Yes,,
374,32,12,No,No,,
375,24,16,No,No,,
376,24,12,Yes,No,,
378,12,4,No,Yes,,
379,24,16,No,No,,
381,24,12,Yes,Yes,,
382,28,24,No,No,,
383,12,16,Yes,Yes,,
384,0,8,Yes,No,,
385,8,0,No,No,,
386,24,24,No,No,,
387,16,8,No,No,,
388,32,12,No,No,,
389,20,8,No,No,,
390,12,8,No,No,,
391,16,20,No,No,,
392,12,28,Yes,No,,
393,16,24,No,No,,
394,16,12,No,No,,
395,16,12,Yes,Yes,,
396,16,20,Yes,No,,
397,16,12,Yes,Yes,,
398,28,16,Yes,No,,
399,20,16,Yes,Yes,,
400,24,16,Yes,Yes,,
401,12,0,No,No,,
402,20,8,Yes,Yes,,
403,8,8,No,No,,
404,12,8,Yes,Yes,,
405,16,16,Yes,Yes,,
406,12,20,Yes,No,,
407,8,40,Yes,No,,
408,24,24,Yes,Yes,,
409,8,12,No,No,,
410,36,24,Yes,Yes,,
411,4,0,No,Yes,,
412,16,8,Yes,Yes,,
413,12,24,Yes,Yes,,
414,12,8,No,No,,
415,8,16,Yes,Yes,,
416,24,12,No,Yes,,
417,24,12,Yes,Yes,,
419,16,8,No,No,,
420,24,24,Yes,No,,
421,16,16,No,No,,
422,12,12,No,No,,
423,16,8,Yes,Yes,,
424,12,8,No,Yes,,
425,8,8,Yes,No,,
426,16,20,No,Yes,,
427,36,12,Yes,Yes,,
428,28,12,Yes,Yes,,
429,16,16,Yes,Yes,,
430,16,8,No,No,,
431,20,16,No,No,,
432,12,12,Yes,Yes,,
433,32,24,No,Yes,,
434,16,12,No,Yes,,
435,16,12,No,No,,
436,24,8,No,No,,
437,36,12,Yes,Yes,,
438,0,8,No,No,,
440,24,12,No,No,,
442,8,4,Yes,No,,
443,24,12,No,No,,
444,32,0,No,No,,
445,16,32,Yes,No,,
446,12,0,No,No,,
447,16,32,Yes,Yes,,
448,24,32,Yes,Yes,,
449,20,16,Yes,Yes,,
450,20,20,Yes,Yes,,
451,12,0,No,Yes,,
452,40,12,Yes,Yes,,
453,8,0,No,No,,
454,16,8,No,No,,
456,12,8,Yes,Yes,,
457,16,8,No,No,,
458,12,16,No,No,,
459,16,8,Yes,Yes,,
461,24,40,Yes,No,,
462,16,8,Yes,Yes,,
463,16,8,Yes,Yes,,
464,16,12,Yes,No,,
465,20,8,Yes,Yes,,
466,16,0,No,No,,
467,8,8,No,No,,
468,16,16,No,Yes,,
469,12,16,Yes,Yes,,
470,20,12,Yes,No,,
471,20,36,Yes,Yes,,
472,16,16,No,Yes,,
473,16,0,Yes,Yes,,
475,24,20,Yes,No,,
476,8,12,No,Yes,,
477,12,8,Yes,No,,
478,4,0,No,No,,
479,32,16,No,No,,
480,12,0,No,No,,
481,20,24,No,No,,
482,8,0,No,No,,
483,24,16,Yes,No,,
484,24,12,No,No,,
485,8,12,No,No,,
486,24,20,No,No,,
488,16,12,Yes,Yes,,
489,16,8,No,Yes,,
490,8,16,Yes,No,,
491,40,0,Yes,No,,
492,16,20,Yes,Yes,,
493,40,12,No,No,,
494,24,12,No,No,,
495,20,8,Yes,Yes,,
497,8,28,No,No,,
498,4,8,Yes,Yes,,
499,24,40,No,No,,
500,16,24,Yes,Yes,,
501,20,28,Yes,Yes,,
502,16,8,Yes,Yes,,
503,8,0,No,No,,
504,16,28,Yes,Yes,,
505,12,8,Yes,No,,
506,8,8,No,No,,
507,16,16,No,No,,
508,24,24,No,Yes,,
510,12,12,No,Yes,,
511,16,32,Yes,No,,
512,20,24,Yes,No,,
513,20,8,Yes,No,,
514,12,28,No,No,,
515,24,16,No,No,,
516,12,16,No,No,,
517,16,12,No,No,,
518,36,16,No,No,,
519,20,12,No,No,,
520,20,8,No,No,,
521,24,24,No,No,,
522,16,16,Yes,Yes,,
523,4,12,No,Yes,,
524,4,12,No,Yes,,
526,8,24,No,Yes,,
527,12,12,Yes,Yes,,
528,20,8,No,No,,
529,8,12,Yes,Yes,,
530,24,24,No,Yes,,
531,32,8,Yes,Yes,,
532,24,32,Yes,Yes,,
533,20,12,Yes,Yes,,
535,16,16,Yes,No,,
536,20,12,Yes,Yes,,
537,12,12,Yes,Yes,,
538,24,16,No,No,,
539,16,12,Yes,Yes,,
540,16,8,Yes,Yes,,
541,12,8,Yes,No,,
542,16,16,Yes,Yes,,
543,24,20,Yes,Yes,,
544,24,12,Yes,Yes,,
546,20,20,Yes,No,,
547,28,12,No,No,,
548,12,12,No,No,,
549,36,20,Yes,Yes,,
550,4,0,No,No,,
551,12,36,No,No,,
552,8,8,No,No,,
553,20,24,No,No,,
554,16,0,Yes,Yes,,
555,20,8,Yes,Yes,,
556,20,20,Yes,Yes,,
557,16,20,No,No,,
558,12,8,No,No,,
559,20,20,No,No,,
560,24,8,No,Yes,,
561,8,12,No,No,,
562,16,8,Yes,Yes,,
563,20,8,No,No,,
564,28,20,Yes,No,,
565,8,32,No,Yes,,
566,16,12,No,No,,
567,8,0,No,No,,
568,4,12,No,Yes,,
569,20,12,No,No,,
571,8,4,No,No,,
572,24,24,Yes,No,,
573,24,20,No,Yes,,
574,16,32,Yes,No,,
575,20,16,No,No,,
576,8,28,Yes,Yes,,
577,32,20,No,No,,
578,20,32,Yes,Yes,,
579,24,12,No,No,,
580,12,8,No,Yes,,
581,20,12,No,No,,
582,8,12,No,Yes,,
583,20,12,No,Yes,,
584,16,12,No,No,,
585,40,16,Yes,Yes,,
586,16,32,Yes,No,,
587,16,16,No,No,,
588,16,16,Yes,Yes,,
589,20,16,No,No,,
590,36,24,No,No,,
591,20,12,Yes,No,,
592,16,8,No,No,,
593,24,8,Yes,Yes,,
594,32,16,Yes,No,,
595,16,28,Yes,Yes,,
596,0,0,No,Yes,,
598,12,16,No,No,,
599,12,20,No,Yes,,
600,16,20,No,No,,
601,12,16,Yes,No,,
602,16,12,Yes,Yes,,
603,24,24,No,No,,
604,12,28,No,Yes,,
605,12,24,Yes,Yes,,
606,20,8,Yes,Yes,,
608,24,8,Yes,Yes,,
609,12,8,No,No,,
610,16,16,Yes,No,,
611,12,24,Yes,No,,
612,24,12,No,Yes,,
613,16,12,Yes,Yes,,
614,24,36,Yes,Yes,,
615,8,16,No,Yes,,
616,20,8,Yes,No,,
617,8,0,No,No,,
618,20,40,No,Yes,,
619,12,20,Yes,Yes,,
620,20,20,No,Yes,,
621,16,24,No,Yes,,
622,20,16,Yes,Yes,,
623,8,32,No,No,,
624,16,8,Yes,No,,
625,12,24,Yes,Yes,,
626,4,0,No,No,,
627,12,12,Yes,No,,
628,12,16,No,Yes,,
629,12,16,No,No,,
630,12,12,Yes,No,,
631,8,12,No,No,,
632,20,12,No,No,,
633,16,0,No,No,,
634,12,8,No,No,,
635,16,12,Yes,Yes,,
636,12,12,No,No,,
637,16,16,Yes,Yes,,
638,16,8,No,No,,
639,12,16,Yes,Yes,,
640,16,24,Yes,Yes,,
641,24,16,Yes,Yes,,
642,16,12,No,Yes,,
643,24,8,No,No,,
644,20,12,No,No,,
645,36,8,Yes,Yes,,
646,4,0,No,No,,
647,4,12,No,No,,
648,20,16,No,No,,
649,12,24,No,No,,
651,8,24,Yes,Yes,,
652,32,16,No,Yes,,
653,20,8,No,No,,
655,24,24,No,Yes,,
656,12,20,No,No,,
657,16,16,Yes,No,,
658,16,32,No,No,,
659,8,20,Yes,No,,
660,24,12,No,No,,
661,12,20,No,No,,
662,12,0,No,No,,
663,20,16,Yes,No,,
664,20,20,No,No,,
665,16,16,No,No,,
666,16,36,No,No,,
667,20,8,No,No,,
668,16,8,No,No,,
669,32,8,No,No,,
670,24,0,Yes,Yes,,
671,16,16,Yes,No,,
672,20,16,No,No,,
673,24,28,Yes,No,,
674,8,8,No,No,,
675,24,16,No,Yes,,
676,24,24,No,No,,
677,16,16,No,No,,
678,24,12,No,Yes,,
680,32,8,No,No,,
681,16,8,Yes,Yes,,
682,8,36,Yes,No,,
683,16,8,No,No,,
684,20,20,Yes,Yes,,
685,40,0,Yes,Yes,,
686,20,24,Yes,Yes,,
687,24,8,No,No,,
688,20,12,No,No,,
689,36,24,Yes,No,,
690,24,8,Yes,Yes,,
691,40,24,Yes,No,,
692,16,24,No,Yes,,
693,8,12,No,No,,
694,16,16,Yes,Yes,,
695,24,28,Yes,Yes,,
696,16,0,No,No,,
697,24,12,Yes,Yes,,
698,16,12,Yes,Yes,,
699,16,8,Yes,No,,
700,28,4,Yes,Yes,,
701,20,20,Yes,No,,
702,16,24,Yes,Yes,,
703,16,24,No,Yes,,
705,16,16,Yes,Yes,,
706,24,12,No,No,,
707,16,16,Yes,Yes,,
708,16,36,Yes,Yes,,
709,16,16,No,No,,
710,16,16,No,No,,
711,16,8,Yes,No,,
712,24,12,No,Yes,,
713,8,0,No,No,,
714,16,0,No,Yes,,
715,12,0,Yes,Yes,,
716,28,8,Yes,Yes,,
718,28,8,Yes,Yes,,
719,12,12,Yes,Yes,,
720,20,16,Yes,No,,
721,8,16,No,No,,
722,24,8,Yes,No,,
723,32,12,Yes,Yes,,
724,12,12,No,Yes,,
725,32,24,Yes,Yes,,
726,20,24,Yes,No,,
727,32,16,No,No,,
728,16,16,Yes,No,,
729,20,20,No,Yes,,
730,8,24,Yes,Yes,,
731,8,24,Yes,Yes,,
733,8,24,Yes,Yes,,
734,24,8,Yes,No,,
735,12,8,No,No,,
736,8,16,No,No,,
737,12,12,No,Yes,,
738,8,8,Yes,Yes,,
739,12,4,No,No,,
740,12,12,Yes,Yes,,
741,12,24,No,No,,
742,12,20,Yes,Yes,,
743,16,16,Yes,Yes,,
744,20,8,Yes,Yes,,
745,24,24,Yes,No,,
746,16,8,No,No,,
747,8,12,No,Yes,,
748,4,8,No,No,,
749,16,12,No,No,,
751,12,8,No,No,,
752,24,12,Yes,Yes,,
753,16,20,No,No,,
754,16,12,Yes,Yes,,
755,20,16,No,No,,
756,20,12,No,No,,
757,20,16,No,Yes,,
758,12,16,Yes,Yes,,
759,8,0,No,No,,
761,12,0,Yes,Yes,,
762,24,24,Yes,Yes,,
764,16,16,Yes,Yes,,
765,20,0,Yes,Yes,,
766,24,16,No,No,,
767,24,12,Yes,No,,
768,16,20,Yes,Yes,,
769,16,16,No,No,,
770,16,24,No,Yes,,
771,16,16,No,No,,
772,12,24,Yes,Yes,,
773,12,8,Yes,Yes,,
774,28,32,No,No,,
775,24,8,No,No,,
776,16,24,No,Yes,,
777,20,12,No,Yes,,
778,20,16,No,No,,
779,8,16,No,No,,
780,16,24,No,No,,
781,16,20,Yes,No,,
782,32,8,No,No,,
783,4,8,No,No,,
784,16,12,No,No,,
785,12,12,Yes,Yes,,
786,16,8,Yes,No,,
787,24,24,Yes,Yes,,
788,24,12,No,No,,
789,16,24,Yes,No,,
790,12,20,No,No,,
791,16,16,Yes,Yes,,
792,4,0,No,No,,
793,8,12,No,No,,
794,16,8,No,No,,
795,8,16,No,No,,
796,24,24,No,No,,
797,16,24,No,No,,
798,0,8,No,No,,
799,16,16,No,No,,
800,8,16,Yes,Yes,,
801,16,8,No,No,,
802,16,24,No,No,,
803,8,16,No,Yes,,
804,16,8,No,No,,
805,16,12,No,Yes,,
806,16,12,No,No,,
807,28,24,Yes,Yes,,
808,16,16,No,Yes,,
809,16,16,Yes,Yes,,
810,16,0,No,No,,
811,20,24,Yes,Yes,,
812,28,12,No,No,,
813,16,16,Yes,Yes,,
814,8,24,No,Yes,,
815,32,12,No,No,,
816,16,16,Yes,No,,
817,28,16,Yes,Yes,,
818,20,8,Yes,Yes,,
819,24,8,No,No,,
820,8,12,No,No,,
821,16,16,Yes,No,,
822,16,16,Yes,No,,
823,16,16,No,No,,
824,12,12,Yes,No,,
825,16,4,No,No,,
826,12,16,No,No,,
827,16,8,No,No,,
828,20,16,No,Yes,,
829,16,8,No,No,,
830,16,0,No,No,,
831,20,32,No,Yes,,
833,12,8,No,No,,
835,24,12,No,Yes,,
836,20,8,Yes,Yes,,
837,4,0,No,No,,
838,12,32,No,Yes,,
839,20,20,Yes,Yes,,
842,12,28,No,Yes,,
843,4,4,Yes,Yes,,
844,20,28,No,Yes,,
845,0,0,No,Yes,,
846,20,12,No,No,,
847,20,12,No,No,,
848,8,24,Yes,Yes,,
849,16,20,Yes,Yes,,
850,24,28,Yes,No,,
851,12,20,No,No,,
852,16,8,Yes,No,,
853,16,12,Yes,Yes,,
854,8,16,No,No,,
855,20,20,Yes,Yes,,
856,24,24,No,No,,
857,32,12,Yes,Yes,,
858,16,16,No,No,,
859,12,16,Yes,No,,
860,16,24,Yes,No,,
861,8,20,Yes,No,,
862,24,12,Yes,Yes,,
863,20,12,No,No,,
864,16,24,Yes,No,,
865,20,28,Yes,Yes,,
866,20,36,Yes,Yes,,
867,20,28,No,No,,
868,8,16,No,No,,
869,20,24,No,No,,
870,20,20,No,No,,
871,8,0,No,No,,
872,24,8,Yes,Yes,,
873,12,0,No,No,,
874,24,8,Yes,Yes,,
875,8,20,No,Yes,,
876,8,12,Yes,Yes,,
877,16,32,No,No,,
878,16,24,No,Yes,,
879,16,8,No,No,,
880,16,16,Yes,Yes,,
881,12,16,Yes,Yes,,
882,16,16,No,No,,
884,8,24,No,No,,
885,12,0,No,No,,
886,20,32,No,No,,
887,12,12,No,No,,
888,12,8,No,No,,
889,24,16,No,No,,
890,24,28,Yes,No,,
891,12,24,Yes,No,,
892,24,24,Yes,No,,
894,24,20,Yes,No,,
895,4,0,No,No,,
896,8,24,Yes,Yes,,
897,0,12,No,No,,
898,0,12,No,Yes,,
899,28,28,Yes,No,,
900,12,8,No,No,,
901,4,12,No,Yes,,
902,12,16,No,No,,
903,16,32,Yes,Yes,,
904,12,12,No,Yes,,
905,16,24,No,No,,
906,20,20,Yes,Yes,,
907,28,16,No,Yes,,
908,20,24,Yes,Yes,,
909,20,28,Yes,Yes,,
910,20,24,No,No,,
911,12,16,Yes,Yes,,
912,16,36,Yes,Yes,,
913,12,12,No,No,,
914,16,12,No,No,,
915,24,32,Yes,No,,
916,16,12,No,No,,
917,4,8,No,No,,
918,20,20,Yes,Yes,,
919,16,8,Yes,No,,
921,12,4,No,No,,
922,24,8,Yes,No,,
923,24,8,Yes,Yes,,
924,24,24,No,No,,
925,16,0,Yes,No,,
927,40,16,No,No,,
928,12,12,No,No,,
929,12,28,Yes,Yes,,
930,24,24,Yes,Yes,,
931,12,16,No,Yes,,
932,32,24,Yes,Yes,,
933,4,12,No,No,,
934,16,12,No,No,,
935,28,16,Yes,No,,
936,32,20,Yes,No,,
937,32,16,Yes,No,,
938,16,24,Yes,Yes,,
939,12,12,Yes,Yes,,
940,24,12,Yes,Yes,,
941,20,12,No,Yes,,
942,24,12,Yes,Yes,,
943,36,12,Yes,No,,
944,8,12,No,No,,
945,16,12,Yes,No,,
947,16,24,Yes,No,,
948,12,20,No,No,,
950,20,8,Yes,Yes,,
951,16,4,No,No,,
952,16,12,Yes,No,,
953,12,12,No,No,,
954,16,16,Yes,No,,
955,12,16,Yes,Yes,,
956,16,12,No,No,,
957,4,0,No,No,,
958,24,8,No,No,,
959,16,16,No,No,,
960,12,12,No,No,,
961,8,24,Yes,Yes,,
962,12,0,No,Yes,,
963,36,8,No,No,,
964,16,36,Yes,Yes,,
965,16,8,No,No,,
966,12,24,Yes,No,,
967,16,28,No,No,,
968,16,16,Yes,No,,
969,8,28,Yes,Yes,,
970,16,24,Yes,Yes,,
971,16,12,No,No,,
972,16,16,Yes,No,,
973,20,16,Yes,No,,
974,8,12,No,No,,
975,16,16,Yes,Yes,,
976,12,24,Yes,Yes,,
977,16,12,No,Yes,,
978,0,12,No,No,,
979,16,12,No,No,,
980,16,12,No,No,,
981,32,8,Yes,Yes,,
982,20,12,No,Yes,,
984,16,24,No,No,,
985,8,12,No,No,,
986,4,12,No,No,,
987,16,16,No,Yes,,
988,12,16,No,No,,
989,20,20,Yes,Yes,,
990,16,24,No,Yes,,
991,12,12,Yes,Yes,,
992,24,28,Yes,No,,
993,20,16,No,No,,
994,16,20,No,No,,
995,16,16,Yes,No,,
999,20,28,Yes,No,,
1000,20,0,Yes,Yes,,
1001,12,16,No,No,,
1002,12,16,No,No,,
1003,24,16,No,No,,
1004,20,12,Yes,No,,
1005,8,24,No,No,,
1006,8,24,Yes,Yes,,
1007,24,8,No,No,,
1008,28,24,No,No,,
1009,28,20,No,No,,
1010,20,28,Yes,Yes,,
1011,12,12,Yes,Yes,,
1012,20,12,No,No,,
1013,12,12,No,No,,
1014,16,28,Yes,Yes,,
1015,16,16,Yes,No,,
1016,20,16,Yes,Yes,,
1017,16,12,No,Yes,,
1018,20,16,No,Yes,,
1019,24,16,No,No,,
1020,8,12,Yes,Yes,,
1021,24,20,No,Yes,,
1022,16,12,No,Yes,,
1023,8,12,Yes,No,,
1024,20,12,Yes,Yes,,
1025,24,12,Yes,No,,
1026,12,20,No,Yes,,
1027,20,28,Yes,No,,
1028,24,12,No,No,,
1029,8,16,No,No,,
1030,20,8,Yes,No,,
1032,12,24,Yes,Yes,,
1033,12,12,No,No,,
1034,20,16,No,No,,
1035,20,12,Yes,No,,
1036,24,24,No,No,,
1037,16,12,Yes,Yes,,
1038,16,12,No,No,,
1039,16,16,No,No,,
1040,32,24,Yes,Yes,,
1041,16,24,Yes,Yes,,
1042,12,24,No,No,,
1043,4,12,No,No,,
1044,12,8,No,No,,
1045,24,8,No,No,,
1046,8,0,No,No,,
1047,12,20,Yes,Yes,,
1048,0,24,Yes,No,,
1051,12,12,No,No,,
1052,8,12,No,No,,
1053,16,24,No,No,,
1054,20,12,No,No,,
1055,8,28,Yes,No,,
1056,24,16,No,Yes,,
1057,4,0,Yes,No,,
1058,24,20,No,No,,
1059,12,12,No,No,,
1060,16,20,No,No,,
1061,8,0,Yes,No,,
1062,20,8,Yes,Yes,,
1063,8,0,No,No,,
1064,20,24,No,No,,
1065,20,16,No,No,,
1066,16,32,Yes,Yes,,
1067,8,0,No,No,,
1068,8,8,No,No,,
1069,8,0,No,Yes,,
1070,16,16,No,No,,
1071,32,12,Yes,No,,
1072,12,12,Yes,Yes,,
1073,12,12,No,No,,
1074,16,20,Yes,Yes,,
1075,16,28,Yes,No,,
1076,20,8,Yes,Yes,,
1077,16,28,Yes,Yes,,
1078,4,0,No,Yes,,
1079,12,16,No,Yes,,
1080,32,16,No,Yes,,
1081,20,12,No,No,,
1082,24,12,Yes,Yes,,
1083,24,20,Yes,Yes,,
1084,16,8,Yes,Yes,,
1085,20,24,No,No,,
1086,32,8,No,No,,
