Region,Store # ,First Carrier Assigned,Fulfillment Type,Week with Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
20,2603,SPARK,Scheduled Standard Delivery,23,Executive Review,Recovering,Driver Supply Focus,202311,85.20%,99.10%,5.6,93.90%,77.40%,91.50%,79.70%
20,5040,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202311,82.30%,93.90%,8.1,83.10%,82.90%,81.10%,81.90%
20,5088,SPARK,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202311,87.80%,94.80%,9.7,90.30%,85.70%,90.80%,84.60%
20,2287,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202311,90.50%,96.30%,9.7,88.20%,90.60%,93.10%,90.10%
20,3270,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202311,86.40%,99.40%,7.2,87.60%,84.80%,86.70%,86.70%
20,1351,POINTPICKUP,Scheduled Standard Delivery,30,Executive Review,Degrading,Driver Supply Focus,202311,80.00%,100.00%,9.3,88.90%,50.00%,100.00%,100.00%
20,4278,SPARK,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202311,90.50%,99.50%,7.1,95.60%,88.60%,88.10%,89.50%
40,37,POINTPICKUP,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202311,81.50%,92.60%,9.2,75.00%,77.80%,100.00%,80.00%
40,60,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202311,86.50%,89.30%,9.6,91.30%,81.20%,85.70%,88.30%
53,2417,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Driver Supply Focus,202311,93.40%,96.30%,7,97.50%,93.80%,96.20%,86.80%
53,982,ROADIE,Scheduled Standard Delivery,27,Executive Review,Recovering,Driver Supply Focus,202311,84.60%,92.30%,6.8,100.00%,66.70%,100.00%,85.70%
53,1365,SPARK,Scheduled Standard Delivery,29,Executive Review,Recovering,Driver Supply Focus,202311,92.30%,100.00%,6.4,100.00%,85.70%,90.30%,95.50%
53,1982,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202311,94.90%,98.20%,7.9,97.80%,99.60%,87.20%,95.90%
53,1274,SPARK,Scheduled Standard Delivery,29,Executive Review,Degrading,Driver Supply Focus,202311,89.80%,98.60%,7.2,86.60%,87.80%,87.20%,97.10%
53,3505,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202311,92.00%,95.00%,7.2,93.00%,90.80%,89.50%,95.00%
53,1515,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202311,90.40%,95.70%,9.9,93.40%,88.60%,89.00%,90.80%
53,1515,UBER,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202311,85.00%,94.90%,9.5,81.10%,87.50%,87.70%,82.10%
53,1012,POINTPICKUP,Scheduled Standard Delivery,31,Executive Review,-,Driver Supply Focus,202311,0.00%,100.00%,7.2,,,,0.00%
53,1012,ROADIE,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202311,65.00%,95.50%,8.6,58.80%,73.70%,70.00%,25.00%
21,1595,ROADIE,Scheduled Standard Delivery,29,Executive Review,-,Driver Supply Focus,202311,80.00%,96.70%,7.3,,,71.40%,82.60%
21,3641,ROADIE,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202311,73.30%,93.30%,5,80.00%,85.70%,77.80%,55.60%
21,2275,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202311,86.60%,93.20%,6.6,86.60%,86.00%,85.00%,88.80%
21,1425,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202311,87.10%,98.20%,6.4,92.50%,83.10%,87.10%,86.30%
14,670,POINTPICKUP,Scheduled Standard Delivery,34,Executive Review,Degrading,Driver Supply Focus,202311,87.60%,100.00%,7.3,83.70%,89.80%,90.50%,86.00%
72,5653,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202311,93.50%,98.90%,6.4,95.20%,86.10%,94.30%,96.60%
3,843,SPARK,Scheduled Standard Delivery,10,At Risk,Degrading,Driver Supply Focus,202311,90.60%,94.60%,9.8,88.40%,85.10%,92.60%,96.30%
3,538,UBER,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202311,89.00%,99.50%,9.1,86.50%,88.40%,87.60%,94.00%
3,3877,SPARK,Scheduled Standard Delivery,46,Executive Review,Degrading,Driver Supply Focus,202311,88.70%,88.40%,9.4,89.20%,91.70%,89.60%,84.60%
3,3877,UBER,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202311,89.10%,89.00%,9.2,90.30%,86.70%,89.80%,89.50%
3,488,SPARK,Scheduled Standard Delivery,27,Executive Review,Recovering,Driver Supply Focus,202311,88.50%,91.20%,7.9,94.60%,89.30%,85.70%,84.20%
72,2840,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202311,90.90%,96.90%,8.6,92.20%,84.10%,94.80%,92.80%
12,192,SPARK,Scheduled Standard Delivery,45,Executive Review,Recovering,Driver Supply Focus,202311,92.10%,92.70%,9.8,97.40%,87.90%,95.80%,88.00%
12,393,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Driver Supply Focus,202311,89.30%,94.20%,9.1,90.50%,90.50%,90.80%,85.40%
12,264,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202311,33.30%,100.00%,6.7,16.70%,25.00%,66.70%,37.50%
12,695,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202311,86.80%,88.50%,8.4,88.70%,83.40%,92.10%,83.50%
12,1075,POINTPICKUP,Scheduled Standard Delivery,35,Executive Review,Degrading,Driver Supply Focus,202311,90.90%,95.90%,8.2,83.80%,93.10%,94.70%,92.30%
12,3017,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202311,73.00%,89.20%,9.2,87.50%,58.30%,87.50%,57.90%
2,1070,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202311,91.80%,95.10%,6.9,90.50%,91.90%,95.40%,89.70%
2,2753,SPARK,Scheduled Standard Delivery,36,Executive Review,Degrading,Driver Supply Focus,202311,90.80%,99.30%,4.7,85.30%,93.60%,94.60%,89.70%
2,5812,SPARK,Scheduled Standard Delivery,36,Executive Review,Degrading,Driver Supply Focus,202311,85.40%,98.10%,7.2,80.30%,87.30%,87.60%,86.70%
2,6998,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202311,88.30%,97.50%,8.5,92.70%,91.00%,89.90%,80.40%
2,4409,POINTPICKUP,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202311,77.90%,89.30%,7,60.50%,84.10%,75.60%,86.20%
2,1123,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Driver Supply Focus,202311,93.00%,88.40%,9.9,89.60%,93.60%,95.80%,93.30%
2,1130,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202311,82.00%,95.50%,9.9,75.10%,81.80%,87.60%,84.00%
2,366,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202311,88.70%,98.70%,7.1,89.40%,82.80%,93.10%,89.80%
2,1159,SPARK,Scheduled Standard Delivery,35,Executive Review,Recovering,Driver Supply Focus,202311,93.00%,100.00%,4.6,91.40%,84.10%,97.80%,98.10%
2,1795,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202311,80.40%,97.70%,7.4,80.50%,83.70%,75.00%,81.10%
2,4428,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202311,89.90%,98.00%,8.5,92.70%,89.20%,87.20%,89.90%
59,5267,SPARK,Scheduled Standard Delivery,33,Executive Review,Recovering,Driver Supply Focus,202311,90.60%,89.30%,6.3,96.90%,92.40%,95.80%,80.60%
42,373,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202311,88.90%,99.00%,8.5,97.80%,89.00%,91.30%,79.80%
42,5261,POINTPICKUP,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202311,83.00%,89.30%,10,81.60%,76.90%,89.90%,83.30%
42,119,UBER,Scheduled Standard Delivery,12,Executive Review,-,Driver Supply Focus,202311,78.90%,98.90%,6,,,84.00%,76.50%
72,5365,POINTPICKUP,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202311,66.70%,100.00%,7.1,100.00%,,,50.00%
60,5861,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202311,85.30%,94.10%,6.7,96.10%,83.10%,80.80%,81.50%
60,2121,ROADIE,Scheduled Standard Delivery,29,Executive Review,Degrading,Driver Supply Focus,202311,89.60%,99.30%,7.7,87.70%,84.20%,94.20%,93.40%
60,2121,SPARK,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202311,89.80%,98.50%,6.9,91.80%,90.10%,87.10%,90.10%
60,1876,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Driver Supply Focus,202311,77.10%,96.00%,5,67.90%,74.10%,94.10%,79.20%
52,1723,POINTPICKUP,Scheduled Standard Delivery,26,Executive Review,Degrading,Driver Supply Focus,202311,86.90%,98.40%,9.4,81.90%,87.90%,87.90%,88.50%
52,892,POINTPICKUP,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202311,86.60%,92.70%,9.4,89.20%,85.70%,88.40%,83.80%
52,1447,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202311,81.00%,97.90%,8.8,72.90%,87.20%,80.50%,83.60%
52,3233,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202311,91.50%,96.90%,6.3,94.20%,85.70%,95.50%,89.20%
52,1473,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202311,90.10%,89.60%,7.5,85.30%,92.30%,96.40%,87.80%
52,3404,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202311,92.20%,96.80%,9.7,91.40%,86.30%,93.60%,96.20%
52,3498,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202311,62.60%,98.60%,7.2,35.50%,50.00%,74.20%,83.80%
52,1855,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202311,92.50%,93.40%,7.7,92.70%,87.90%,93.00%,95.30%
52,2352,ROADIE,Scheduled Standard Delivery,23,Executive Review,-,Driver Supply Focus,202311,89.40%,100.00%,4.3,,,95.70%,83.30%
52,3102,ROADIE,Scheduled Standard Delivery,21,Executive Review,-,Driver Supply Focus,202311,66.70%,100.00%,5.6,,,55.60%,70.40%
52,3102,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202311,78.60%,97.10%,5.7,77.50%,76.60%,80.60%,80.30%
57,5701,ROADIE,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202311,89.90%,97.30%,10,89.10%,87.20%,89.80%,93.30%
57,2494,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,-,Driver Supply Focus,202311,0.00%,100.00%,3,,,,0.00%
61,5659,POINTPICKUP,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202311,88.90%,99.10%,7.3,96.80%,96.20%,80.40%,79.10%
57,5859,POINTPICKUP,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202311,82.20%,100.00%,6.1,71.90%,76.90%,90.00%,89.90%
54,1461,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202311,93.10%,99.20%,6.7,98.20%,87.10%,97.00%,89.00%
54,921,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202311,82.20%,97.40%,5.1,71.90%,84.80%,85.50%,84.90%
54,986,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Driver Supply Focus,202311,56.90%,93.80%,7.6,50.00%,72.70%,46.20%,46.70%
54,1199,SPARK,Scheduled Standard Delivery,26,Executive Review,Recovering,Driver Supply Focus,202311,70.60%,96.20%,7.3,93.30%,78.60%,62.90%,58.50%
54,1827,UBER,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202311,88.70%,98.00%,8.8,100.00%,73.70%,85.70%,92.70%
47,2293,SPARK,Scheduled Standard Delivery,45,Executive Review,Degrading,Driver Supply Focus,202311,83.10%,98.60%,7.1,81.80%,77.60%,82.60%,92.20%
54,1485,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202311,92.30%,99.10%,7.6,95.10%,81.90%,93.20%,96.00%
54,2084,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202311,92.30%,88.60%,6.4,97.80%,92.60%,82.90%,97.70%
54,1872,UBER,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202311,93.00%,94.30%,7.5,97.30%,92.30%,100.00%,81.60%
54,1695,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202311,93.90%,97.20%,5.9,90.90%,86.70%,99.00%,98.20%
47,774,SPARK,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,202311,90.10%,91.10%,9.3,98.90%,86.20%,81.30%,94.60%
16,2174,UBER,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202311,87.70%,97.90%,9.7,83.70%,89.50%,77.40%,91.50%
16,2964,POINTPICKUP,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202311,90.20%,98.20%,9.3,83.30%,88.90%,92.20%,96.60%
16,2660,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202311,81.70%,95.90%,7.4,84.50%,72.60%,84.80%,89.20%
16,2903,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202311,91.20%,96.70%,7.8,87.10%,94.70%,97.40%,84.90%
16,2902,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202311,87.00%,97.00%,8.6,84.90%,82.00%,88.60%,93.10%
16,3561,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202311,79.80%,97.70%,7.9,80.00%,75.00%,78.40%,86.50%
16,2885,SPARK,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202311,91.50%,95.00%,7.2,96.20%,87.00%,86.50%,97.80%
16,2885,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202311,80.90%,93.90%,7.5,83.30%,87.50%,77.80%,75.00%
16,2138,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202311,90.80%,99.60%,5,93.40%,89.90%,87.70%,92.30%
16,2224,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202311,92.20%,94.80%,8.5,90.60%,88.00%,95.20%,96.50%
16,2682,SPARK,Scheduled Standard Delivery,23,Executive Review,Recovering,Driver Supply Focus,202311,89.70%,95.50%,7.5,96.40%,80.50%,91.80%,91.50%
16,1796,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202311,90.10%,95.00%,8.7,85.20%,87.50%,94.90%,93.50%
16,1930,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202311,87.50%,91.50%,7.1,91.80%,88.80%,90.30%,79.90%
26,3182,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202311,92.50%,94.70%,8.2,93.80%,88.00%,92.00%,96.50%
26,1816,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202311,93.20%,93.80%,6.5,91.20%,95.80%,95.80%,88.90%
26,2772,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Driver Supply Focus,202311,83.90%,89.80%,9,85.20%,79.90%,85.90%,85.10%
26,2000,SPARK,Scheduled Standard Delivery,31,Executive Review,Recovering,Driver Supply Focus,202311,79.50%,95.00%,7.7,90.70%,83.60%,66.30%,78.70%
26,2730,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202311,92.80%,96.40%,9.5,95.00%,89.20%,91.80%,95.30%
26,1452,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202311,90.40%,96.10%,8.1,88.00%,82.50%,97.00%,94.10%
59,6828,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202311,92.80%,97.30%,9,93.90%,85.80%,96.50%,95.70%
17,2854,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202311,94.60%,92.90%,8.8,91.80%,89.10%,97.70%,98.30%
22,2830,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202311,88.20%,88.70%,9.9,87.60%,85.70%,90.60%,89.40%
22,2167,UBER,Scheduled Standard Delivery,31,Executive Review,Recovering,Driver Supply Focus,202311,92.60%,91.40%,6.8,96.60%,92.40%,92.30%,78.30%
22,3252,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202311,87.60%,94.30%,9.2,84.50%,85.60%,88.40%,92.00%
22,4687,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202311,88.20%,92.40%,9.4,85.40%,90.40%,92.50%,84.80%
17,5294,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Driver Supply Focus,202311,89.50%,91.70%,7,84.30%,87.50%,95.50%,91.10%
22,3830,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202311,84.60%,98.60%,6.5,81.60%,82.00%,84.90%,89.80%
17,1673,SPARK,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,202311,91.90%,92.20%,9.8,94.20%,93.50%,90.80%,88.70%
17,1966,ROADIE,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202311,88.20%,98.60%,7.3,75.00%,84.80%,86.10%,93.30%
17,3253,SPARK,Scheduled Standard Delivery,33,Executive Review,Recovering,Driver Supply Focus,202311,89.50%,98.00%,5.9,96.40%,85.30%,94.20%,81.60%
17,3429,POINTPICKUP,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202311,82.40%,100.00%,5.9,81.30%,83.70%,88.50%,73.90%
22,2059,UBER,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202311,87.20%,100.00%,8.6,90.70%,62.50%,86.10%,97.80%
22,1644,POINTPICKUP,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202311,85.50%,90.90%,7.1,76.30%,84.90%,83.90%,93.60%
22,2169,UBER,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202311,89.80%,93.70%,9.4,95.20%,87.10%,98.10%,78.80%
22,5047,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202311,89.20%,97.20%,7.8,92.00%,87.30%,87.30%,91.40%
17,5077,SPARK,Scheduled Standard Delivery,29,Executive Review,Recovering,Driver Supply Focus,202311,92.70%,88.70%,8.8,97.30%,86.70%,90.60%,96.90%
75,2566,POINTPICKUP,Scheduled Standard Delivery,26,Executive Review,Degrading,Driver Supply Focus,202311,69.70%,95.30%,9.5,64.30%,88.20%,62.50%,56.50%
75,5344,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202311,87.80%,88.10%,9.8,86.40%,90.10%,89.40%,85.50%
75,3035,ROADIE,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202311,70.00%,93.80%,9.2,81.30%,84.20%,71.40%,27.30%
75,5753,SPARK,Scheduled Standard Delivery,23,Executive Review,Recovering,Driver Supply Focus,202311,88.00%,97.00%,8.7,92.20%,79.60%,89.60%,91.00%
75,5105,POINTPICKUP,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202311,78.40%,88.50%,9.7,76.60%,78.70%,79.20%,79.10%
75,1759,ROADIE,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202311,87.10%,96.50%,8.9,92.60%,90.50%,79.30%,90.50%
75,2136,POINTPICKUP,Scheduled Standard Delivery,47,Executive Review,Degrading,Driver Supply Focus,202311,91.20%,98.60%,8.5,87.60%,90.30%,95.70%,91.60%
75,3639,POINTPICKUP,Scheduled Standard Delivery,36,Executive Review,Degrading,Driver Supply Focus,202311,85.50%,97.40%,7.1,63.20%,84.00%,100.00%,86.80%
75,1652,POINTPICKUP,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202311,84.80%,90.80%,8.9,93.10%,84.10%,76.00%,85.40%
