Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max WM WK ID,OTD*,OTP*,Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
157,16,3114,SPARK,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,,69.20%,71%,11.5,69.50%,69.90%,65.60%,71.90%
159,16,1970,DOORDASH,Scheduled Standard Delivery,41,Executive Review,Degrading,Store Focus,,89.90%,71%,10.5,87.00%,89.20%,90.30%,92.90%
159,16,2122,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,,85.50%,87%,6.7,82.60%,91.60%,85.30%,82.10%
159,16,2336,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,,89.30%,81%,7.8,91.80%,93.20%,90.50%,80.60%
159,16,2341,DOORDASH,Scheduled Express Delivery ,5,At Risk,Degrading,Driver Supply Focus,,84.50%,94%,8.6,81.60%,90.20%,88.90%,78.50%
159,16,2341,DOORDASH,Scheduled Standard Delivery,48,Executive Review,Degrading,Store Focus,,62.30%,83%,10.6,79.90%,63.90%,60.80%,49.50%
160,16,5448,POINTPICKUP,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,,90.80%,90%,7.8,89.70%,93.50%,90.80%,88.80%
161,16,2225,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,,87.70%,85%,7,87.50%,88.30%,85.20%,90.10%
161,16,2261,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,,91.30%,90%,4.5,89.10%,87.60%,97.30%,88.80%
161,16,2283,DOORDASH,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,,92.50%,90%,6.3,96.40%,88.70%,93.90%,91.10%
179,16,2013,POINTPICKUP,Scheduled Express Delivery ,4,At Risk,Recovering,Driver Supply Focus,,93.30%,97%,7.3,96.80%,87.30%,91.40%,96.10%
180,16,1939,POINTPICKUP,Scheduled Express Delivery ,4,At Risk,Degrading,Driver Supply Focus,,89.50%,95%,6.5,86.40%,93.10%,95.00%,83.30%
180,16,1939,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,,91.10%,90%,6.8,93.30%,93.90%,84.90%,91.40%
180,16,2046,POINTPICKUP,Scheduled Express Delivery ,8,Executive Review,Recovering,Driver Supply Focus,,87.00%,93%,6.3,93.90%,88.90%,68.40%,90.00%
180,16,2046,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,,91.60%,98%,5.8,92.00%,87.20%,92.70%,94.20%
180,16,2202,UBER,Scheduled Express Delivery ,5,At Risk,Recovering,Store Focus,,91.40%,100%,12.7,94.10%,100.00%,81.00%,93.80%
180,16,2202,UBER,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,,81.90%,97%,7.5,71.70%,82.60%,79.60%,86.40%
181,16,2682,DOORDASH,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,,80.70%,85%,8.4,79.20%,86.70%,69.90%,86.90%
183,16,1698,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Recovering,Store Focus,,88.70%,82%,6.8,92.80%,93.50%,90.20%,83.10%
183,16,1788,POINTPICKUP,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Driver Supply Focus,,76.50%,92%,7.6,81.80%,75.90%,74.10%,75.70%
183,16,1788,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,,89.50%,97%,5.1,86.90%,88.40%,89.20%,92.20%
183,16,2055,DOORDASH,Scheduled Standard Delivery,15,Executive Review,Recovering,Store Focus,,91.40%,78%,9.9,95.40%,82.10%,89.60%,95.70%
183,16,2055,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Store Focus,,86.60%,88%,6.9,91.60%,85.20%,85.20%,85.70%
183,16,2130,POINTPICKUP,Scheduled Express Delivery ,30,Executive Review,Degrading,Store Focus,,85.20%,83%,5.7,70.00%,100.00%,100.00%,85.70%
183,16,2130,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,,81.40%,89%,5.1,96.60%,60.50%,84.20%,91.70%
183,16,2130,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,,81.00%,94%,5.7,78.00%,88.10%,88.00%,70.10%
