DC,BANNER ,ITEM,TYPE,03/20/2024,03/21/2024,03/22/2024,03/23/2024,3/3/2024,3/4/2024,3/5/2024,3/6/2024,3/9/2024,3/10/2024,3/11/2024,3/12/2024,3/13/2024,3/14/2024,3/15/2024,3/16/2024,3/17/2024,3/18/2024,3/19/2024,3/20/2024,3/21/2024,3/22/2024,3/23/2024,3/24/2024,3/25/2024,3/26/2024,3/27/2024
6055,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,602,0,0,216,0,1357,0,0,0,0
6055,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
6056,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,82,0
6056,SAMS,LIVE PLANTS,CASE,0,0,0,0,65,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6056,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,35,35,35,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0
6056,WM,CUT FLORAL,CASE,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6056,WM,CUT FLORAL,PALLET,0,5,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6056,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,378,284,0,0,582,0,618,0,0,0,0
6056,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
6057,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,20,0,0
6057,SAMS,LIVE PLANTS,CASE,0,0,0,0,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6057,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,26,26,26,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0
6057,WM,CUT FLORAL,CASE,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6057,WM,CUT FLORAL,PALLET,4,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6057,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,690,663,0,126,858,0,1468,0,0,0,0
6057,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
6059,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,85,0,0
6059,SAMS,LIVE PLANTS,CASE,0,0,0,0,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6059,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,31,31,31,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0
6059,WM,CUT FLORAL,CASE,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6059,WM,CUT FLORAL,PALLET,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6059,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,665,0,0,0,0,0,0,79,0,856,557,0,774,0,0,0,0,0,0
6059,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
6062,WM,CUT FLORAL,CASE,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6062,WM,CUT FLORAL,PALLET,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6062,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,228,0,306,0,0,0,0,0,0,2107,210,0,900,0,3098,0,0,0,0
6062,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,28,54,0,0,0,0,0,0,0,0,0,0,0,0
6064,WM,CUT FLORAL,CASE,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6064,WM,CUT FLORAL,PALLET,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6064,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,138,360,0,0,0,0,0,756,547,0,120,882,0,1186,0,0,0,0
6064,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,22,68,0,0,0,0,0,0,0,0,0,0,0,0
6065,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,86,0
6065,SAMS,LIVE PLANTS,CASE,0,0,0,0,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6065,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,27,27,27,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
6065,WM,CUT FLORAL,CASE,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6065,WM,CUT FLORAL,PALLET,0,5,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6065,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,750,0,0,0,1044,0,0,0,0,0,0
6065,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
6071,WM,CUT FLORAL,CASE,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6071,WM,CUT FLORAL,PALLET,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6071,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,0,0,0,0,3041,0,0,0,0
6071,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,0,0,0,0,0,0,0,0,0,0,0,0
6072,WM,CUT FLORAL,CASE,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6072,WM,CUT FLORAL,PALLET,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6072,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,1970,0,252,852,0,2633,0,0,0,0
6072,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,28,54,0,0,0,0,0,0,0,0,0,0,0,0
6073,WM,CUT FLORAL,CASE,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,WM,CUT FLORAL,PALLET,0,13,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,792,0,0,0,0,972,684,0,0,0
6073,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
6074,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,64,0
6074,SAMS,LIVE PLANTS,CASE,0,0,0,0,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6074,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,23,23,23,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
6074,WM,CUT FLORAL,CASE,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6074,WM,CUT FLORAL,PALLET,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6074,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,1776,0,0,0,0,0,0,2718,0,546,3462,0,0,0,0,0,0
6074,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
6077,WM,CUT FLORAL,CASE,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6077,WM,CUT FLORAL,PALLET,0,6,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6077,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,37,0,930,0,0,0,636,5,0,860,355,0,1848,0,0,0,0,0,0
6077,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,0,0,0,0,0,0,0,0,0,0,0,0
6082,WM,CUT FLORAL,CASE,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6082,WM,CUT FLORAL,PALLET,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6082,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,318,2480,0,1020,780,0,3604,0,0,0,0
6082,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,12,104,0,0,0,0,0,0,0,0,0,0,0,0
6083,WM,CUT FLORAL,CASE,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083,WM,CUT FLORAL,PALLET,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,72,840,0,0,0,0,0,0,2624,0,0,2232,0,2388,0,0,0,0
6083,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
6084,WM,CUT FLORAL,CASE,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084,WM,CUT FLORAL,PALLET,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,1611,1157,0,0,0,2059,394,0,0,0,17,0,0,0,0
6084,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,54,32,0,0,0,0,0,0,0,0,0,0,0,0
6085,WM,CUT FLORAL,CASE,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6085,WM,CUT FLORAL,PALLET,20,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6085,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,1926,0,0,0,0,0,0,3000,0,0,4278,0,0,0,0,0,0
6085,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
6090,WM,CUT FLORAL,CASE,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6090,WM,CUT FLORAL,PALLET,0,24,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6090,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,1120,2211,222,0,0,2688,847,0,0,0,0,0,0,0,0
6090,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,66,28,0,0,0,0,0,0,0,0,0,0,0,0
6091,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,52,0
6091,SAMS,LIVE PLANTS,CASE,0,0,0,0,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6091,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,26,26,26,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
6091,WM,CUT FLORAL,CASE,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6091,WM,CUT FLORAL,PALLET,0,14,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6091,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,360,0,0,0,0,648,864,0,0,0
6091,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,54,8,0,0,0,0,0,0,0,0,0,0,0,0
6095,WM,CUT FLORAL,CASE,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6095,WM,CUT FLORAL,PALLET,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6095,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,0,2793,0,0,0,0
6095,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
6096,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,53,0
6096,SAMS,LIVE PLANTS,CASE,0,0,0,0,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6096,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,18,18,18,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0
6096,WM,CUT FLORAL,CASE,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6096,WM,CUT FLORAL,PALLET,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6096,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,1302,0,84,1818,0,0,0,0,0,0
6096,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,46,47,0,0,0,0,0,0,0,0,0,0,0,0
6097,WM,CUT FLORAL,CASE,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6097,WM,CUT FLORAL,PALLET,0,1,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6097,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,1429,0,0,1168,0,529,0,0,0,0
6097,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0
6099,WM,CUT FLORAL,CASE,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6099,WM,CUT FLORAL,PALLET,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6099,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,0,0,0,180,3594,0,0,0,0
6099,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
6858,WM,CUT FLORAL,CASE,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6858,WM,CUT FLORAL,PALLET,0,9,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6858,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,900,0,0,792,1008,0,0,0,0,0
6858,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,100,19,0,0,0,0,0,0,0,0,0,0,0,0
7010,WM,CUT FLORAL,CASE,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7010,WM,CUT FLORAL,PALLET,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7010,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,1876,0,0,1500,0,1889,0,0,0,0
7010,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,65,54,0,0,0,0,0,0,0,0,0,0,0,0
7012,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,60,0
7012,SAMS,LIVE PLANTS,CASE,0,0,0,0,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7012,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,24,24,24,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
7012,WM,CUT FLORAL,CASE,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7012,WM,CUT FLORAL,PALLET,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7012,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,846,0,0,0,0,0,0,336,876,0,1080,756,0,0,0,0,0,0
7012,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
7013,WM,CUT FLORAL,CASE,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7013,WM,CUT FLORAL,PALLET,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7013,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,1120,1306,388,0,0,1496,1225,0,0,0,0,0,0,0,0
7013,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
7014,WM,CUT FLORAL,CASE,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7014,WM,CUT FLORAL,PALLET,0,22,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7014,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,1458,0,0,2184,0,0,0,0,0,0
7014,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
7015,WM,CUT FLORAL,CASE,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7015,WM,CUT FLORAL,PALLET,0,13,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7015,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,108,0,912,0,0,0,0,0,0,1628,0,0,2166,0,249,0,0,0,0
7015,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0
7016,WM,CUT FLORAL,CASE,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7016,WM,CUT FLORAL,PALLET,5,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7016,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,684,744,0,0,186,0,720,720,0,0,0
7016,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
7017,WM,CUT FLORAL,CASE,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7017,WM,CUT FLORAL,PALLET,0,14,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7017,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,810,0,768,0,0,0,0,0,414,1962,0,648,2856,0,0,0,0,0,0
7017,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,54,17,0,0,0,0,0,0,0,0,0,0,0,0
7018,WM,CUT FLORAL,CASE,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7018,WM,CUT FLORAL,PALLET,0,6,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7018,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,324,792,0,840,792,0,0,0,0,0,0
7018,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
7019,WM,CUT FLORAL,CASE,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7019,WM,CUT FLORAL,PALLET,0,15,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7019,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,0,0,0,0,3072,0,0,0,0
7019,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
7021,WM,CUT FLORAL,CASE,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7021,WM,CUT FLORAL,PALLET,24,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7021,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,3224,2688,784,0,0,2454,1568,0,0,0,0,0,0,0,0
7021,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
7023,WM,CUT FLORAL,CASE,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7023,WM,CUT FLORAL,PALLET,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7023,WM,LIVE PLANTS,CASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,0,0,0,0,2658,0,0,0,0
7023,WM,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,0,0,0,0,0,0,0,0,0,0,0,0
7024,SAMS,CUT FLORAL,PALLET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,56,0
7024,SAMS,LIVE PLANTS,CASE,0,0,0,0,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7024,SAMS,LIVE PLANTS,PALLET,0,0,0,0,0,0,0,0,0,24,24,24,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0
7024,WM,CUT FLORAL,CASE,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
