STORE #,CLUSTER BEFORE,CLUSTER ,Total Bins,Mod Drop for Produce
963,CLUSTER 1,CLUSTER 1,22,202437
964,CLUSTER 1,CLUSTER 1,20,202437
972,CLUSTER 1,CLUSTER 1,22,202437
978,CLUSTER 1,CLUSTER 1,8,202437
980,CLUSTER 1,CLUSTER 1,24,202437
982,CLUSTER 1,CLUSTER 1,18,202437
992,CLUSTER 1,CLUSTER 1,22,202437
999,CLUSTER 1,CLUSTER 1,20,202437
1000,CLUSTER 1,CLUSTER 1,16,202437
1001,CLUSTER 1,CLUSTER 1,22,202437
1014,CLUSTER 1,CLUSTER 1,16,202437
1015,CLUSTER 1,CLUSTER 1,24,202437
1020,CLUSTER 1,CLUSTER 1,20,202437
1022,CLUSTER 1,CLUSTER 1,24,202437
1040,CLUSTER 1,CLUSTER 1,22,202437
1041,CLUSTER 1,CLUSTER 1,18,202437
1042,CLUSTER 1,CLUSTER 1,16,202437
1044,CLUSTER 1,CLUSTER 1,24,202437
1045,CLUSTER 1,CLUSTER 1,16,202437
1051,CLUSTER 1,CLUSTER 1,16,202437
1055,CLUSTER 1,CLUSTER 1,24,202437
1062,CLUSTER 1,CLUSTER 1,22,202437
1073,CLUSTER 1,CLUSTER 1,2,202437
1075,CLUSTER 1,CLUSTER 1,24,202437
1098,CLUSTER 1,CLUSTER 1,4,202437
1099,CLUSTER 1,CLUSTER 1,24,202437
1117,CLUSTER 1,CLUSTER 1,22,202437
1118,CLUSTER 1,CLUSTER 1,24,202437
1120,CLUSTER 1,CLUSTER 1,16,202437
1125,CLUSTER 1,CLUSTER 1,22,202437
1129,CLUSTER 1,CLUSTER 1,16,202437
1137,CLUSTER 1,CLUSTER 1,20,202437
1148,CLUSTER 1,CLUSTER 1,24,202437
1150,CLUSTER 1,CLUSTER 1,16,202437
1151,CLUSTER 1,CLUSTER 1,24,202437
1152,CLUSTER 1,CLUSTER 1,20,202437
1161,CLUSTER 1,CLUSTER 1,24,202437
1167,CLUSTER 1,CLUSTER 1,20,202437
1177,CLUSTER 1,CLUSTER 1,24,202437
1178,CLUSTER 1,CLUSTER 1,24,202437
1185,CLUSTER 1,CLUSTER 1,22,202437
1198,CLUSTER 1,CLUSTER 1,16,202437
1199,CLUSTER 1,CLUSTER 1,22,202437
1200,CLUSTER 1,CLUSTER 1,24,202437
1211,CLUSTER 1,CLUSTER 1,16,202437
1216,CLUSTER 1,CLUSTER 1,22,202437
1221,CLUSTER 1,CLUSTER 1,16,202437
1228,CLUSTER 1,CLUSTER 1,24,202437
1231,CLUSTER 1,CLUSTER 1,24,202437
1232,CLUSTER 1,CLUSTER 1,16,202437
1235,CLUSTER 1,CLUSTER 1,14,202437
1241,CLUSTER 1,CLUSTER 1,22,202437
1249,CLUSTER 1,CLUSTER 1,22,202437
1253,CLUSTER 1,CLUSTER 1,20,202437
1256,CLUSTER 1,CLUSTER 1,24,202437
1257,CLUSTER 1,CLUSTER 1,#N/A,202437
1272,CLUSTER 1,CLUSTER 1,14,202437
1279,CLUSTER 1,CLUSTER 1,24,202437
1285,CLUSTER 1,CLUSTER 1,16,202437
1296,CLUSTER 1,CLUSTER 1,16,202437
1303,CLUSTER 1,CLUSTER 1,22,202437
1313,CLUSTER 1,CLUSTER 1,16,202437
1326,CLUSTER 1,CLUSTER 1,24,202437
1332,CLUSTER 1,CLUSTER 1,22,202437
1342,CLUSTER 1,CLUSTER 1,24,202437
1347,CLUSTER 1,CLUSTER 1,4,202437
1361,CLUSTER 1,CLUSTER 1,20,202437
1401,CLUSTER 1,CLUSTER 1,24,202437
1405,CLUSTER 1,CLUSTER 1,4,202437
1409,CLUSTER 1,CLUSTER 1,16,202437
1420,CLUSTER 1,CLUSTER 1,20,202437
1435,CLUSTER 1,CLUSTER 1,#N/A,202437
1437,CLUSTER 1,CLUSTER 1,18,202437
1451,CLUSTER 1,CLUSTER 1,16,202437
1469,CLUSTER 1,CLUSTER 1,24,202437
1470,CLUSTER 1,CLUSTER 1,22,202437
1473,CLUSTER 1,CLUSTER 1,22,202437
1475,CLUSTER 1,CLUSTER 1,16,202437
1483,CLUSTER 1,CLUSTER 1,16,202437
1490,CLUSTER 1,CLUSTER 1,22,202437
1492,CLUSTER 1,CLUSTER 1,20,202437
1494,CLUSTER 1,CLUSTER 1,16,202437
1496,CLUSTER 1,CLUSTER 1,24,202437
1500,CLUSTER 1,CLUSTER 1,20,202437
1510,CLUSTER 1,CLUSTER 1,20,202437
1516,CLUSTER 1,CLUSTER 1,16,202437
1526,CLUSTER 1,CLUSTER 1,20,202437
1528,CLUSTER 1,CLUSTER 1,24,202437
1531,CLUSTER 1,CLUSTER 1,16,202437
1534,CLUSTER 1,CLUSTER 1,18,202437
1535,CLUSTER 1,CLUSTER 1,22,202437
1538,CLUSTER 1,CLUSTER 1,22,202437
1545,CLUSTER 1,CLUSTER 1,24,202437
1549,CLUSTER 1,CLUSTER 1,24,202437
1551,CLUSTER 1,CLUSTER 1,20,202437
1553,CLUSTER 1,CLUSTER 1,16,202437
1555,CLUSTER 1,CLUSTER 1,20,202437
1560,CLUSTER 1,CLUSTER 1,22,202437
1565,CLUSTER 1,CLUSTER 1,24,202437
1566,CLUSTER 1,CLUSTER 1,20,202437
1567,CLUSTER 1,CLUSTER 1,26,202437
1574,CLUSTER 1,CLUSTER 1,20,202437
1575,CLUSTER 1,CLUSTER 1,24,202437
1581,CLUSTER 1,CLUSTER 1,24,202437
1596,CLUSTER 1,CLUSTER 1,16,202437
1599,CLUSTER 1,CLUSTER 1,14,202437
1604,CLUSTER 1,CLUSTER 1,24,202437
1608,CLUSTER 1,CLUSTER 1,22,202437
1624,CLUSTER 1,CLUSTER 1,20,202437
1627,CLUSTER 1,CLUSTER 1,24,202437
1637,CLUSTER 1,CLUSTER 1,20,202437
1657,CLUSTER 1,CLUSTER 1,16,202437
1659,CLUSTER 1,CLUSTER 1,22,202437
1660,CLUSTER 1,CLUSTER 1,24,202437
1668,CLUSTER 1,CLUSTER 1,22,202437
1671,CLUSTER 1,CLUSTER 1,22,202437
1689,CLUSTER 1,CLUSTER 1,22,202437
1692,CLUSTER 1,CLUSTER 1,18,202437
1721,CLUSTER 1,CLUSTER 1,24,202437
1722,CLUSTER 1,CLUSTER 1,20,202437
1723,CLUSTER 1,CLUSTER 1,24,202437
1732,CLUSTER 1,CLUSTER 1,14,202437
1737,CLUSTER 1,CLUSTER 1,20,202437
1747,CLUSTER 1,CLUSTER 1,20,202437
1764,CLUSTER 1,CLUSTER 1,24,202437
1771,CLUSTER 1,CLUSTER 1,14,202437
1800,CLUSTER 1,CLUSTER 1,22,202437
1801,CLUSTER 1,CLUSTER 1,24,202437
1803,CLUSTER 1,CLUSTER 1,20,202437
1814,CLUSTER 1,CLUSTER 1,22,202437
1826,CLUSTER 1,CLUSTER 1,22,202437
1837,CLUSTER 1,CLUSTER 1,24,202437
1853,CLUSTER 1,CLUSTER 1,20,202437
1855,CLUSTER 1,CLUSTER 1,20,202437
1858,CLUSTER 1,CLUSTER 1,16,202437
1859,CLUSTER 1,CLUSTER 1,18,202437
1862,CLUSTER 1,CLUSTER 1,20,202437
1892,CLUSTER 1,CLUSTER 1,24,202437
1898,CLUSTER 1,CLUSTER 1,16,202437
1903,CLUSTER 1,CLUSTER 1,22,202437
1908,CLUSTER 1,CLUSTER 1,24,202437
1923,CLUSTER 1,CLUSTER 1,22,202437
1938,CLUSTER 1,CLUSTER 1,16,202437
1942,CLUSTER 1,CLUSTER 1,20,202437
1943,CLUSTER 1,CLUSTER 1,20,202437
1952,CLUSTER 1,CLUSTER 1,20,202437
1955,CLUSTER 1,CLUSTER 1,20,202437
1958,CLUSTER 1,CLUSTER 1,4,202437
1965,CLUSTER 1,CLUSTER 1,22,202437
1983,CLUSTER 1,CLUSTER 1,22,202437
1988,CLUSTER 1,CLUSTER 1,32,202437
2028,CLUSTER 1,CLUSTER 1,20,202437
2086,CLUSTER 1,CLUSTER 1,22,202437
2087,CLUSTER 1,CLUSTER 1,20,202437
2105,CLUSTER 1,CLUSTER 1,24,202437
2117,CLUSTER 1,CLUSTER 1,26,202437
2123,CLUSTER 1,CLUSTER 1,22,202437
2133,CLUSTER 1,CLUSTER 1,16,202437
2181,CLUSTER 1,CLUSTER 1,20,202437
2201,CLUSTER 1,CLUSTER 1,22,202437
2223,CLUSTER 1,CLUSTER 1,24,202437
2231,CLUSTER 1,CLUSTER 1,24,202437
2239,CLUSTER 1,CLUSTER 1,18,202437
2242,CLUSTER 1,CLUSTER 1,20,202437
2245,CLUSTER 1,CLUSTER 1,24,202437
2335,CLUSTER 1,CLUSTER 1,16,202437
2394,CLUSTER 1,CLUSTER 1,18,202437
2404,CLUSTER 1,CLUSTER 1,8,202437
2432,CLUSTER 1,CLUSTER 1,14,202437
2433,CLUSTER 1,CLUSTER 1,14,202437
2439,CLUSTER 1,CLUSTER 1,16,202437
2442,CLUSTER 1,CLUSTER 1,12,202437
2463,CLUSTER 1,CLUSTER 1,24,202437
2515,CLUSTER 1,CLUSTER 1,22,202437
2532,CLUSTER 1,CLUSTER 1,22,202437
2537,CLUSTER 1,CLUSTER 1,22,202437
2562,CLUSTER 1,CLUSTER 1,14,202437
2599,CLUSTER 1,CLUSTER 1,20,202437
2612,CLUSTER 1,CLUSTER 1,24,202437
2642,CLUSTER 1,CLUSTER 1,24,202437
2643,CLUSTER 1,CLUSTER 1,18,202437
2649,CLUSTER 1,CLUSTER 1,24,202437
2653,CLUSTER 1,CLUSTER 1,16,202437
2667,CLUSTER 1,CLUSTER 1,22,202437
2668,CLUSTER 1,CLUSTER 1,24,202437
2672,CLUSTER 1,CLUSTER 1,14,202437
2678,CLUSTER 1,CLUSTER 1,20,202437
2679,CLUSTER 1,CLUSTER 1,20,202437
2688,CLUSTER 1,CLUSTER 1,24,202437
2690,CLUSTER 1,CLUSTER 1,20,202437
2697,CLUSTER 1,CLUSTER 1,22,202437
2716,CLUSTER 1,CLUSTER 1,24,202437
2724,CLUSTER 1,CLUSTER 1,22,202437
2729,CLUSTER 1,CLUSTER 1,24,202437
2734,CLUSTER 1,CLUSTER 1,18,202437
2742,CLUSTER 1,CLUSTER 1,18,202437
2751,CLUSTER 1,CLUSTER 1,16,202437
2752,CLUSTER 1,CLUSTER 1,16,202437
2763,CLUSTER 1,CLUSTER 1,16,202437
2764,CLUSTER 1,CLUSTER 1,16,202437
2765,CLUSTER 1,CLUSTER 1,18,202437
2769,CLUSTER 1,CLUSTER 1,16,202437
2820,CLUSTER 1,CLUSTER 1,20,202437
2826,CLUSTER 1,CLUSTER 1,16,202437
2827,CLUSTER 1,CLUSTER 1,24,202437
2828,CLUSTER 1,CLUSTER 1,20,202437
2834,CLUSTER 1,CLUSTER 1,20,202437
2835,CLUSTER 1,CLUSTER 1,14,202437
2847,CLUSTER 1,CLUSTER 1,22,202437
2857,CLUSTER 1,CLUSTER 1,22,202437
2864,CLUSTER 1,CLUSTER 1,18,202437
2869,CLUSTER 1,CLUSTER 1,16,202437
2882,CLUSTER 1,CLUSTER 1,22,202437
2883,CLUSTER 1,CLUSTER 1,22,202437
2886,CLUSTER 1,CLUSTER 1,20,202437
2891,CLUSTER 1,CLUSTER 1,24,202437
2918,CLUSTER 1,CLUSTER 1,24,202437
2924,CLUSTER 1,CLUSTER 1,24,202437
2926,CLUSTER 1,CLUSTER 1,18,202437
2948,CLUSTER 1,CLUSTER 1,20,202437
2951,CLUSTER 1,CLUSTER 1,22,202437
2955,CLUSTER 1,CLUSTER 1,28,202437
2973,CLUSTER 1,CLUSTER 1,24,202437
2974,CLUSTER 1,CLUSTER 1,14,202437
2975,CLUSTER 1,CLUSTER 1,16,202437
2976,CLUSTER 1,CLUSTER 1,16,202437
2978,CLUSTER 1,CLUSTER 1,20,202437
2979,CLUSTER 1,CLUSTER 1,16,202437
2980,CLUSTER 1,CLUSTER 1,24,202437
2991,CLUSTER 1,CLUSTER 1,16,202437
2993,CLUSTER 1,CLUSTER 1,22,202437
2996,CLUSTER 1,CLUSTER 1,22,202437
3004,CLUSTER 1,CLUSTER 1,16,202437
3014,CLUSTER 1,CLUSTER 1,20,202437
3015,CLUSTER 1,CLUSTER 1,14,202437
3019,CLUSTER 1,CLUSTER 1,19,202437
3043,CLUSTER 1,CLUSTER 1,16,202437
3044,CLUSTER 1,CLUSTER 1,22,202437
3057,CLUSTER 1,CLUSTER 1,18,202437
3058,CLUSTER 1,CLUSTER 1,16,202437
3088,CLUSTER 1,CLUSTER 1,24,202437
3106,CLUSTER 1,CLUSTER 1,16,202437
3107,CLUSTER 1,CLUSTER 1,12,202437
3112,CLUSTER 1,CLUSTER 1,16,202437
3127,CLUSTER 1,CLUSTER 1,14,202437
3131,CLUSTER 1,CLUSTER 1,12,202437
3135,CLUSTER 1,CLUSTER 1,14,202437
3136,CLUSTER 1,CLUSTER 1,24,202437
3140,CLUSTER 1,CLUSTER 1,12,202437
3169,CLUSTER 1,CLUSTER 1,18,202437
3170,CLUSTER 1,CLUSTER 1,#N/A,202437
3172,CLUSTER 1,CLUSTER 1,14,202437
3180,CLUSTER 1,CLUSTER 1,22,202437
3198,CLUSTER 1,CLUSTER 1,16,202437
3199,CLUSTER 1,CLUSTER 1,14,202437
3202,CLUSTER 1,CLUSTER 1,16,202437
3204,CLUSTER 1,CLUSTER 1,16,202437
3213,CLUSTER 1,CLUSTER 1,22,202437
3224,CLUSTER 1,CLUSTER 1,22,202437
3225,CLUSTER 1,CLUSTER 1,24,202437
3226,CLUSTER 1,CLUSTER 1,22,202437
3229,CLUSTER 1,CLUSTER 1,4,202437
3237,CLUSTER 1,CLUSTER 1,20,202437
3279,CLUSTER 1,CLUSTER 1,16,202437
3284,CLUSTER 1,CLUSTER 1,22,202437
3285,CLUSTER 1,CLUSTER 1,22,202437
3286,CLUSTER 1,CLUSTER 1,22,202437
3297,CLUSTER 1,CLUSTER 1,24,202437
3298,CLUSTER 1,CLUSTER 1,16,202437
3314,CLUSTER 1,CLUSTER 1,16,202437
3320,CLUSTER 1,CLUSTER 1,22,202437
3355,CLUSTER 1,CLUSTER 1,16,202437
3362,CLUSTER 1,CLUSTER 1,20,202437
3364,CLUSTER 1,CLUSTER 1,20,202437
3381,CLUSTER 1,CLUSTER 1,16,202437
3384,CLUSTER 1,CLUSTER 1,18,202437
3390,CLUSTER 1,CLUSTER 1,16,202437
3391,CLUSTER 1,CLUSTER 1,16,202437
3392,CLUSTER 1,CLUSTER 1,16,202437
3395,CLUSTER 1,CLUSTER 1,20,202437
3400,CLUSTER 1,CLUSTER 1,20,202437
3406,CLUSTER 1,CLUSTER 1,22,202437
3419,CLUSTER 1,CLUSTER 1,16,202437
3425,CLUSTER 1,CLUSTER 1,22,202437
3427,CLUSTER 1,CLUSTER 1,20,202437
3432,CLUSTER 1,CLUSTER 1,16,202437
3433,CLUSTER 1,CLUSTER 1,22,202437
3435,CLUSTER 1,CLUSTER 1,20,202437
3452,CLUSTER 1,CLUSTER 1,16,202437
3457,CLUSTER 1,CLUSTER 1,16,202437
3459,CLUSTER 1,CLUSTER 1,20,202437
3465,CLUSTER 1,CLUSTER 1,25,202437
3479,CLUSTER 1,CLUSTER 1,16,202437
3482,CLUSTER 1,CLUSTER 1,22,202437
3492,CLUSTER 1,CLUSTER 1,24,202437
3500,CLUSTER 1,CLUSTER 1,20,202437
3509,CLUSTER 1,CLUSTER 1,16,202437
3510,CLUSTER 1,CLUSTER 1,22,202437
3513,CLUSTER 1,CLUSTER 1,24,202437
3516,CLUSTER 1,CLUSTER 1,30,202437
3518,CLUSTER 1,CLUSTER 1,22,202437
3533,CLUSTER 1,CLUSTER 1,24,202437
3567,CLUSTER 1,CLUSTER 1,16,202437
3569,CLUSTER 1,CLUSTER 1,20,202437
3585,CLUSTER 1,CLUSTER 1,16,202437
3590,CLUSTER 1,CLUSTER 1,22,202437
3594,CLUSTER 1,CLUSTER 1,16,202437
3597,CLUSTER 1,CLUSTER 1,22,202437
3601,CLUSTER 1,CLUSTER 1,24,202437
3615,CLUSTER 1,CLUSTER 1,14,202437
3623,CLUSTER 1,CLUSTER 1,16,202437
3631,CLUSTER 1,CLUSTER 1,24,202437
3640,CLUSTER 1,CLUSTER 1,20,202437
3645,CLUSTER 1,CLUSTER 1,20,202437
3654,CLUSTER 1,CLUSTER 1,20,202437
3661,CLUSTER 1,CLUSTER 1,18,202437
3725,CLUSTER 1,CLUSTER 1,20,202437
3760,CLUSTER 1,CLUSTER 1,16,202437
3762,CLUSTER 1,CLUSTER 1,22,202437
3763,CLUSTER 1,CLUSTER 1,24,202437
3771,CLUSTER 1,CLUSTER 1,20,202437
3773,CLUSTER 1,CLUSTER 1,24,202437
3777,CLUSTER 1,CLUSTER 1,24,202437
3796,CLUSTER 1,CLUSTER 1,18,202437
3806,CLUSTER 1,CLUSTER 1,16,202437
3823,CLUSTER 1,CLUSTER 1,16,202437
3824,CLUSTER 1,CLUSTER 1,24,202437
3827,CLUSTER 1,CLUSTER 1,24,202437
3828,CLUSTER 1,CLUSTER 1,16,202437
3853,CLUSTER 1,CLUSTER 1,20,202437
3857,CLUSTER 1,CLUSTER 1,24,202437
3867,CLUSTER 1,CLUSTER 1,22,202437
3868,CLUSTER 1,CLUSTER 1,16,202437
3870,CLUSTER 1,CLUSTER 1,16,202437
3886,CLUSTER 1,CLUSTER 1,12,202437
3888,CLUSTER 1,CLUSTER 1,20,202437
3891,CLUSTER 1,CLUSTER 1,22,202437
3893,CLUSTER 1,CLUSTER 1,20,202437
4046,CLUSTER 1,CLUSTER 1,16,202437
4055,CLUSTER 1,CLUSTER 1,16,202437
4056,CLUSTER 1,CLUSTER 1,20,202437
4102,CLUSTER 1,CLUSTER 1,20,202437
4103,CLUSTER 1,CLUSTER 1,#N/A,202437
4105,CLUSTER 1,CLUSTER 1,19,202437
4108,CLUSTER 1,CLUSTER 1,22,202437
