,Count,12,28,130,48,52,23,11,39
MKT,Store #,Disruptive/External Events,Real Estate Project,Pricing Test,SFS,Bagless Test,Holiday Hours Plus-up,Store Closures,Presub
448,5686,No,No,Yes,No,No,No,No,No
448,1660,No,No,No,Yes,No,No,No,No
448,2950,No,No,No,No,No,No,No,Yes
449,5632,No,No,Yes,No,No,No,No,No
449,5701,No,No,Yes,Yes,No,No,No,No
450,1587,No,No,Yes,No,No,Yes,No,No
451,2002,No,No,Yes,No,No,No,No,No
452,1554,No,No,Yes,No,No,No,No,No
452,1789,No,No,Yes,No,No,No,No,No
452,3352,No,No,Yes,No,No,No,No,No
452,3493,No,No,Yes,No,No,No,No,No
452,5231,No,No,Yes,No,No,No,No,No
453,1651,No,No,Yes,No,No,No,No,No
453,2048,No,No,Yes,No,No,No,No,No
453,2190,No,No,Yes,No,No,No,No,No
453,5139,No,No,Yes,No,No,No,No,No
454,1697,No,No,Yes,No,No,No,No,No
454,2464,No,No,Yes,No,No,No,No,No
454,3081,No,No,Yes,No,No,No,No,No
454,3652,No,No,No,Yes,No,No,No,No
455,2418,No,No,Yes,No,No,Yes,No,No
455,1903,No,No,Yes,No,No,No,No,No
455,3712,No,No,Yes,No,No,No,No,No
455,5136,No,No,Yes,No,No,No,No,No
457,1575,No,No,Yes,No,No,No,No,No
457,2053,No,No,Yes,No,No,No,No,No
457,2537,No,No,Yes,No,No,Yes,No,No
457,5133,No,No,Yes,No,No,No,No,No
457,5629,No,No,Yes,No,No,No,No,No
458,2291,No,No,Yes,No,No,No,No,No
458,3516,No,No,Yes,No,No,No,No,No
458,3947,No,No,Yes,No,No,No,No,No
459,1917,No,No,Yes,No,No,No,No,No
459,2479,No,No,Yes,No,No,No,No,No
459,3494,No,No,Yes,No,No,No,No,No
459,5140,No,No,Yes,No,No,No,No,No
459,5338,No,No,Yes,No,No,No,No,No
459,5996,No,No,Yes,No,No,No,No,No
460,2245,No,No,Yes,No,No,No,No,No
460,2708,No,No,Yes,No,No,No,No,No
460,2952,No,No,Yes,No,No,No,No,No
461,1853,No,No,Yes,No,No,No,No,No
461,1899,No,No,Yes,No,No,No,No,No
461,1912,No,Yes,Yes,No,No,No,No,No
461,2028,No,No,Yes,No,No,No,No,No
461,2842,No,No,Yes,No,No,No,No,No
461,5425,No,No,Yes,No,No,No,No,No
462,1922,No,No,Yes,No,No,No,No,No
462,3464,No,No,Yes,No,No,No,No,No
462,2288,No,No,Yes,No,No,No,No,No
462,3796,No,No,Yes,Yes,No,No,No,No
463,1555,No,No,Yes,No,No,No,No,No
463,1805,No,No,Yes,No,No,No,No,No
463,1832,No,No,Yes,No,No,No,No,No
463,1915,No,No,Yes,No,No,No,No,No
463,2181,No,No,Yes,No,No,No,No,No
463,5156,No,No,Yes,No,No,No,No,No
463,5335,No,No,Yes,Yes,No,No,No,No
464,2523,No,No,Yes,No,No,No,No,No
464,3248,No,No,Yes,No,No,No,No,No
464,5032,No,No,Yes,No,No,No,No,No
464,5930,No,No,Yes,No,No,No,No,No
465,2110,No,No,Yes,No,No,No,No,No
465,4132,No,No,Yes,No,No,No,No,No
465,5072,No,No,Yes,No,No,No,No,No
465,5874,No,No,Yes,No,No,No,No,No
466,2218,No,No,Yes,No,No,No,No,No
466,2517,No,No,Yes,No,No,No,No,No
467,3218,No,No,No,Yes,No,No,No,No
467,3705,No,No,No,Yes,No,No,No,No
468,1772,No,No,No,No,Yes,No,No,No
468,2477,No,No,No,No,Yes,No,No,No
468,5839,No,No,No,No,Yes,No,No,No
468,5424,No,No,No,Yes,Yes,No,No,No
468,1834,No,No,No,Yes,No,No,No,No
470,3290,No,No,No,No,No,No,No,Yes
472,2196,No,No,No,Yes,No,No,No,No
473,3754,No,No,No,No,No,No,No,Yes
475,1817,No,No,No,No,Yes,No,No,No
475,1889,No,No,No,Yes,No,No,No,No
477,1793,No,Yes,No,No,No,No,No,No
477,5935,No,Yes,No,No,No,No,No,No
477,1920,No,No,No,No,Yes,No,No,No
477,5368,No,No,No,No,Yes,No,No,No
478,5396,No,No,No,No,Yes,No,No,No
479,5312,No,No,No,Yes,No,No,No,No
48,590,No,No,No,Yes,No,No,No,No
481,3141,No,No,Yes,No,No,No,No,No
481,3147,No,No,Yes,No,No,No,No,No
481,5602,No,No,Yes,No,No,No,No,No
481,5605,No,No,Yes,No,No,No,No,No
481,5658,No,No,Yes,No,No,No,No,No
481,5664,No,No,Yes,No,No,No,No,No
482,1518,No,Yes,No,No,No,No,No,No
484,2292,No,Yes,Yes,No,No,No,No,No
484,2886,No,No,Yes,No,No,No,No,No
484,5154,No,No,Yes,No,No,No,No,No
485,3110,No,No,Yes,No,No,No,No,No
49,3432,No,No,No,Yes,No,No,No,No
490,3019,No,No,No,No,Yes,No,No,No
490,3082,No,No,No,No,Yes,No,No,No
490,3126,No,No,No,No,Yes,No,No,No
490,3127,No,No,No,No,Yes,No,No,No
490,3128,No,No,No,No,Yes,No,No,No
490,3175,No,No,No,No,Yes,No,No,No
490,4196,No,No,No,No,Yes,No,No,No
490,4747,No,No,No,No,Yes,No,No,No
490,5828,No,No,No,No,Yes,No,No,No
496,7218,No,No,No,No,No,No,No,Yes
50,266,No,Yes,No,No,No,No,No,No
50,2649,No,No,No,No,No,Yes,No,No
500,3600,No,No,No,No,No,No,No,No
507,4655,No,No,No,No,No,No,No,Yes
511,2025,No,No,Yes,No,No,No,No,No
511,5426,No,No,Yes,No,No,No,No,No
511,5843,No,No,Yes,No,No,No,No,No
512,3022,No,No,Yes,No,No,No,No,No
512,3023,No,No,Yes,No,No,No,No,No
512,3047,No,No,Yes,No,No,No,No,No
512,3123,No,No,Yes,No,No,No,No,No
512,4174,No,No,Yes,No,No,No,No,No
512,5610,No,No,Yes,No,No,No,No,No
512,5611,No,No,Yes,No,No,No,No,No
512,5633,No,No,Yes,No,No,No,No,No
515,3131,No,No,Yes,No,No,No,No,No
515,3132,No,No,Yes,No,No,No,No,No
515,4762,No,No,Yes,No,No,No,No,No
515,8958,No,No,Yes,No,No,No,No,No
53,2105,No,No,No,No,No,Yes,No,No
537,2744,No,No,No,No,No,No,No,No
541,7233,No,No,No,No,No,Yes,No,No
542,4193,No,Yes,No,No,No,No,No,No
543,3703,No,Yes,No,No,No,No,No,No
544,4673,No,No,No,No,No,Yes,No,No
545,4648,No,No,No,No,No,No,No,No
550,4178,No,No,No,No,Yes,No,No,No
551,4134,No,Yes,Yes,No,No,No,No,No
551,4169,No,No,Yes,No,No,No,No,No
551,5684,No,No,Yes,No,No,No,No,No
552,3090,No,No,Yes,No,No,No,No,No
552,5007,No,No,Yes,No,No,No,No,No
552,5606,No,No,Yes,No,No,No,No,No
552,5979,No,No,Yes,No,No,No,No,No
552,5980,No,No,Yes,No,No,No,No,No
552,5982,No,No,Yes,No,No,No,No,No
553,3163,Yes,No,No,No,No,No,No,No
581,1877,No,No,Yes,No,No,No,No,No
581,5215,No,No,Yes,No,No,No,No,No
581,5859,No,No,Yes,No,No,No,No,No
581,5956,No,No,Yes,No,No,No,No,No
585,2752,No,No,No,No,Yes,No,No,No
585,3533,No,No,No,No,Yes,No,No,No
585,5957,No,No,No,No,Yes,No,No,No
585,2223,No,No,No,Yes,Yes,No,No,No
59,849,No,No,No,Yes,No,No,No,No
61,504,No,No,No,No,No,Yes,No,No
61,529,No,No,No,No,No,Yes,No,No
63,1062,No,No,No,Yes,No,No,No,No
64,3302,No,No,No,No,No,No,No,No
64,3827,No,No,No,Yes,No,No,No,No
65,3640,No,No,No,Yes,No,No,No,No
68,3390,No,No,No,Yes,No,No,No,No
7,1091,No,No,No,No,No,No,No,Yes
71,821,Yes,No,No,No,No,No,No,No
76,746,No,No,No,Yes,No,No,No,No
78,470,No,No,No,No,No,No,No,Yes
80,3320,No,No,No,No,No,No,No,Yes
80,5809,No,No,No,No,No,No,No,Yes
82,4219,No,No,No,Yes,No,No,No,No
83,1185,No,No,No,No,No,Yes,No,No
88,782,No,No,No,Yes,No,No,No,No
88,3623,No,No,No,No,No,No,No,Yes
93,697,No,No,No,No,No,No,No,Yes
96,2499,No,Yes,No,No,No,No,No,No
96,4142,No,Yes,No,No,No,No,No,No
