Store,Commodity,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Total Delivery Days
4249,HVDC,1,1,1,0,1,1,1,6
4259,HVDC,0,1,1,1,1,1,1,6
4317,HVDC,1,1,1,1,1,1,1,7
4322,HVDC,1,0,1,1,1,1,1,6
4413,GM,1,1,0,1,1,0,1,5
4428,HVDC,1,0,1,1,1,0,1,5
4434,GM,1,1,1,1,1,1,1,7
4457,HVDC,1,1,1,0,1,1,1,6
4470,HVDC,1,1,1,1,1,1,1,7
4554,HVDC,1,1,1,1,1,1,0,6
4556,FDD,0,1,1,1,0,1,1,5
,HVDC,1,1,1,1,1,1,1,7
4605,GM,0,1,1,1,1,1,1,6
4657,HVDC,1,1,0,1,1,1,1,6
4686,HVDC,1,1,1,1,1,1,1,7
4689,FDD,1,1,1,1,1,1,0,6
,HVDC,1,1,1,1,1,0,1,6
4696,HVDC,0,1,1,1,1,1,1,6
4699,HVDC,1,1,1,0,1,1,1,6
4757,HVDC,1,1,1,1,1,1,1,7
5003,HVDC,1,1,1,0,1,1,1,6
5073,HVDC,1,1,1,1,1,1,1,7
5152,Freezer,1,1,1,1,1,1,1,7
5165,FDD,1,0,1,1,1,1,1,6
5219,HVDC,1,1,1,1,1,1,1,7
5245,FDD,1,1,1,1,1,1,0,6
5294,HVDC,1,1,1,1,1,1,1,7
5321,GM,0,1,1,1,0,1,1,5
5386,FDD,1,1,1,1,1,1,0,6
,HVDC,1,1,1,1,1,0,1,6
5411,FDD,1,1,1,1,1,1,0,6
,HVDC,1,1,1,1,1,1,1,7
5479,FDD,1,1,1,1,1,1,1,7
5499,FDD,1,1,1,0,1,1,1,6
,HVDC,1,1,1,1,1,1,1,7
5609,GM,1,1,1,1,1,1,1,7
5689,HVDC,1,1,1,1,1,1,1,7
5769,GM,1,1,1,1,1,1,1,7
5776,GM,0,1,1,1,1,1,1,6
5780,HVDC,1,1,1,1,1,1,1,7
5797,FDD,1,0,1,1,1,1,1,6
5806,FDD,1,1,1,1,1,1,1,7
5808,HVDC,1,1,1,1,1,1,1,7
5816,HVDC,1,1,1,1,1,1,1,7
5837,HVDC,1,1,1,1,1,1,1,7
5886,HVDC,1,1,1,1,1,0,1,6
5890,Freezer,1,1,1,1,1,1,1,7
5925,GM,0,1,1,1,1,1,1,6
5963,HVDC,0,1,1,1,1,1,1,6
5996,FDD,1,1,1,1,1,1,1,7
6263,HVDC,1,1,1,1,1,1,1,7
6953,HVDC,1,1,1,1,1,1,1,7
6971,GM,0,1,1,1,1,1,1,6
7162,GM,0,1,0,1,0,1,1,4
7251,HVDC,1,1,1,1,1,1,1,7
7339,GM,1,1,0,1,1,0,1,5
7349,GM,0,1,1,1,1,1,1,6
