Store,System Modular Capacity,Total Inventory,Total Replenishable Inventory,Tires on Demand ,Non Modular Tires,L52 Avg Units,4 Tire Instock,Total Valid,Total Traited,
2924,915,990,953,10,25, 107 ,90.4%,132,132,
2927,1320,1205,1138,35,30, 107 ,89.6%,160,160,
2928,1320,1313,1238,38,35, 168 ,81.7%,167,167,
2929,1320,1126,1035,39,50, 116 ,89.5%,169,169,
2931,1120,987,920,41,24, 83 ,92.2%,151,151,
2932,1320,963,856,37,68, 64 ,86.7%,162,162,
2933,1320,1559,1496,49,12, 228 ,92.0%,172,172,
2937,1320,1079,924,73,80, 86 ,85.3%,153,153,
2938,1120,1064,964,50,48, 112 ,92.1%,148,148,
2939,1320,1101,992,58,49, 94 ,90.1%,157,157,
2941,855,790,687,25,76, 45 ,91.1%,111,111,
2945,1200,1106,985,36,83, 73 ,96.7%,150,150,
2946,1000,1086,1045,14,25, 191 ,91.7%,142,142,
2947,855,859,737,70,50, 58 ,88.7%,130,130,
2948,915,700,624,36,38, 93 ,77.1%,117,117,
2950,855,900,639,156,103, 62 ,86.2%,115,115,
2951,780,626,525,21,78, 34 ,81.4%,101,101,
2952,1120,1069,1016,20,31, 138 ,93.9%,144,144,
2955,1200,1043,939,72,30, 59 ,89.4%,159,159,
2956,855,834,703,58,71, 27 ,91.5%,117,117,
2957,1000,1029,924,82,21, 102 ,80.4%,144,144,
2958,1120,965,939,3,21, 100 ,91.0%,141,141,
2962,1320,1371,1181,120,68, 274 ,80.8%,170,170,
2965,1120,1141,960,82,97, 157 ,89.8%,146,146,
2966,1320,1030,974,35,19, 119 ,87.3%,164,164,
2967,1200,1134,1070,30,32, 127 ,88.1%,155,155,
2978,855,789,753,12,22, 53 ,92.7%,123,123,
2985,1320,1116,1086,21,7, 117 ,91.7%,166,166,
2986,1320,956,906,11,37, 65 ,91.8%,146,146,
2988,1120,904,842,21,39, 85 ,89.1%,153,153,
2989,1320,986,906,27,51, 97 ,85.9%,155,155,
2990,1320,1110,1053,34,21, 102 ,89.6%,160,160,
2991,1320,1275,1130,47,96, 114 ,85.4%,160,160,
2992,1000,973,905,40,26, 185 ,78.8%,152,152,
2993,1320,1079,996,56,25, 166 ,85.9%,155,155,
2994,1320,1106,1000,79,25, 107 ,86.6%,168,168,
2996,662,603,539,15,47, 54 ,88.5%,95,95,
3018,1120,1017,879,80,56, 97 ,82.9%,149,149,
3056,1000,829,705,58,64, 36 ,91.5%,114,114,
3057,700,785,605,88,90, 37 ,94.0%,97,97,
3058,1000,770,706,28,34, 97 ,66.7%,134,134,
3059,400,564,509,30,23, 66 ,93.2%,71,71,
3060,1000,1021,965,32,22, 119 ,92.1%,139,139,
3093,616,682,561,84,35, 35 ,89.9%,95,95,
3106,400,474,442,14,16, 72 ,77.0%,73,73,
3112,700,633,517,53,61, 44 ,80.6%,92,92,
3136,616,609,570,22,15, 70 ,91.8%,97,97,
3137,700,757,664,23,68, 81 ,79.1%,108,108,
3201,1320,954,818,45,89, 61 ,92.8%,150,150,
3205,1320,1328,1109,86,131, 80 ,91.3%,148,148,
3206,1320,945,910,20,13, 70 ,81.9%,153,153,
3207,1320,944,903,6,33, 117 ,85.8%,161,161,
3208,1320,1022,970,11,39, 68 ,87.7%,158,158,
3209,1320,1324,1211,39,72, 111 ,86.3%,164,164,
3210,1000,1038,1003,12,21, 90 ,95.3%,144,144,
3213,1320,901,874,17,8, 106 ,81.5%,159,159,
3214,780,903,888,10,3, 110 ,91.9%,123,123,
3215,1320,1238,1126,76,34, 142 ,93.4%,164,164,
3216,915,1072,979,37,54, 100 ,92.6%,144,144,
3218,855,728,683,14,29, 55 ,79.4%,122,122,
