Market,Store,FZ Turkey LY Ship,FZ Turkey LY Sold,FZ Turkey TY Ship
14,1493,10,9,10
14,1605,22,25,28
14,1620,15,13,15
14,2533,14,14,15
14,2739,16,15,15
14,2760,6,5,5
14,3484,18,16,18
14,3785,12,11,10
14,7247,6,6,6
15,818,12,10,11
15,919,18,19,19
15,944,19,20,21
15,1032,22,22,21
15,1207,19,20,18
15,1362,12,12,12
15,3075,15,17,16
15,3119,8,9,9
15,3439,20,15,14
15,5845,15,15,17
15,5872,7,6,7
16,494,19,16,18
16,614,16,15,16
16,932,18,16,19
16,1112,13,12,11
16,1284,18,19,22
16,1311,18,17,17
16,1338,13,11,12
16,3461,15,16,17
16,4200,14,14,14
16,4283,13,14,14
16,5363,16,12,12
18,515,21,22,25
18,1070,13,13,14
18,1122,17,17,17
18,1403,14,15,16
18,2513,10,11,12
18,2753,10,10,11
18,3485,17,16,17
18,3874,13,14,14
18,4616,11,12,12
18,5786,13,14,13
18,5812,12,13,15
18,7185,11,10,12
19,594,27,24,21
19,745,17,18,20
19,787,17,14,14
19,3201,19,17,21
19,3402,10,11,13
19,3609,18,13,13
19,5709,14,14,14
20,855,19,15,18
20,1047,9,9,12
20,3118,9,6,5
20,3401,39,24,17
20,3709,14,10,11
20,3710,7,10,11
20,6998,17,9,11
21,3,14,15,16
21,510,10,11,12
21,520,16,17,19
21,780,13,14,14
21,1111,12,12,13
21,1121,16,15,17
21,1363,8,9,10
21,1400,14,12,14
21,2811,12,13,15
21,3627,13,14,14
21,5482,11,10,11
22,615,12,11,11
22,722,13,15,15
22,727,11,11,12
22,856,13,15,15
22,1488,18,18,18
22,2732,16,17,19
22,3205,18,16,16
22,3741,13,11,11
22,4409,11,11,12
23,1184,14,14,14
23,1373,11,12,14
23,2360,5,6,7
23,2584,7,7,6
23,3067,5,6,7
23,3188,9,8,8
23,3621,8,10,10
24,518,14,16,18
24,878,7,7,8
24,1314,9,9,10
24,1578,10,7,7
24,1766,8,5,5
24,2154,12,14,15
24,2941,6,6,7
24,3462,12,11,11
24,4185,9,9,9
24,4436,9,9,10
24,5814,11,11,11
25,459,15,18,19
25,548,14,15,16
25,1340,16,11,9
25,1720,20,22,23
25,2475,13,17,20
25,3388,9,11,12
25,3389,12,13,14
25,3786,13,14,16
25,4472,10,9,10
25,4558,15,14,16
25,5252,17,18,19
26,575,12,12,14
26,618,14,17,18
26,937,8,8,7
26,1181,10,11,10
26,1586,8,11,12
26,3403,19,19,20
26,3471,8,8,8
26,3611,15,14,13
26,3748,13,14,15
26,5275,18,18,19
26,5390,16,11,10
27,588,19,14,13
27,843,6,5,6
27,889,13,10,10
27,899,14,9,10
27,952,11,12,12
27,1006,12,15,14
27,1072,18,15,14
27,2615,16,14,15
27,5797,10,27,22
27,7194,13,13,13
27,7245,8,8,8
28,556,20,23,22
28,593,19,20,22
28,639,20,18,19
28,686,13,14,15
28,836,14,16,15
28,862,25,25,28
28,864,24,24,25
28,1018,11,9,10
28,1061,11,12,13
28,2630,19,18,21
28,5392,11,11,11
29,605,19,20,21
29,635,12,14,16
29,728,9,6,6
29,1011,16,16,17
29,1383,17,17,17
29,2832,10,9,9
29,2860,20,20,21
29,4556,9,10,10
29,6395,10,8,9
29,7181,13,12,12
30,754,18,20,22
30,1024,17,16,16
30,1143,11,8,9
30,1227,16,18,19
30,1293,11,12,11
30,1658,13,15,15
30,2754,9,10,12
30,3570,17,19,20
30,4144,30,11,12
30,5735,13,13,14
32,555,18,19,18
32,758,13,12,11
32,907,14,13,15
32,1076,15,16,18
32,1153,11,12,15
32,1367,19,18,18
32,2733,12,10,12
32,2890,11,7,8
32,3750,16,19,22
32,7246,6,7,7
35,631,16,17,17
35,640,12,14,15
35,641,10,10,11
35,1123,17,18,19
35,1244,11,12,13
35,2265,15,17,17
35,2687,18,19,18
35,3191,11,11,12
35,3192,12,12,13
35,3222,9,9,10
35,4583,9,10,10
35,5487,16,14,16
36,628,22,20,20
36,632,9,9,8
36,1037,17,19,20
36,1146,28,31,30
36,1358,14,15,16
36,1359,14,13,16
36,1748,13,13,13
36,2348,4,4,3
36,2928,18,18,19
36,3367,8,9,10
36,4384,14,13,14
37,574,18,17,17
37,586,21,20,23
37,621,24,27,29
37,625,18,18,21
37,643,15,13,15
37,1829,13,13,15
37,2712,13,13,13
37,4664,14,14,15
37,5087,18,18,18
37,5705,16,15,15
38,511,24,25,29
38,616,14,15,15
38,627,11,11,12
38,630,19,18,18
38,634,20,23,23
38,642,15,17,17
38,1017,23,24,24
38,1030,18,16,19
38,1135,19,21,21
38,2703,15,17,17
38,4457,10,11,11
38,7188,12,13,13
39,396,16,17,17
39,514,12,14,16
39,624,12,12,12
39,644,15,16,17
39,795,12,10,12
39,1130,10,13,15
39,1270,15,16,17
39,1382,14,15,16
39,4487,16,17,18
39,6576,9,9,10
39,6887,9,10,11
41,881,16,18,18
41,1164,9,11,11
41,1183,14,15,16
41,1286,13,12,13
41,1339,33,21,21
41,2214,23,22,27
41,4420,17,19,18
41,4440,18,19,21
41,4506,10,9,8
41,4521,19,21,21
42,585,13,14,14
42,629,15,16,18
42,638,15,15,17
42,1035,19,19,20
42,1144,11,9,9
42,1281,14,14,15
42,1603,11,36,30
42,2806,16,15,16
42,3733,15,14,16
42,4237,12,11,11
42,4593,14,14,16
44,1455,18,20,21
44,1801,23,25,25
44,2978,17,21,23
44,3284,14,16,16
44,3285,22,21,22
44,3631,16,18,19
44,4279,20,17,19
44,4503,20,22,25
44,5147,29,29,33
45,251,19,21,24
45,265,16,17,16
45,412,19,21,23
45,516,19,21,24
45,827,16,18,19
45,1022,13,14,16
45,1044,14,14,14
45,2688,15,15,15
45,3764,14,14,14
45,6467,10,11,12
46,146,9,12,12
46,165,10,11,12
46,180,13,15,15
46,345,21,20,21
46,398,21,25,24
46,399,15,18,19
46,523,5,8,8
46,572,14,16,17
46,918,10,12,13
46,3828,11,12,13
47,38,12,11,13
47,49,12,11,13
47,131,13,12,13
47,148,19,21,22
47,181,10,12,14
47,226,10,10,11
47,240,9,8,9
47,417,18,18,21
47,427,23,22,23
47,468,13,13,14
47,2123,19,20,23
48,220,22,24,25
48,228,22,20,21
48,353,11,12,12
48,371,18,19,18
48,590,14,16,16
48,804,19,20,21
48,963,12,14,16
48,3431,21,24,25
48,4509,17,19,18
48,5359,26,27,29
49,284,29,32,31
49,471,22,24,27
49,896,34,36,39
49,3014,23,22,21
49,3432,15,16,15
49,3433,17,19,20
49,5288,19,20,23
49,5810,13,15,14
50,266,17,19,20
50,807,18,18,19
50,880,26,29,31
50,1178,15,15,18
50,2649,20,17,18
50,2834,18,19,21
50,3044,19,16,14
50,3274,16,14,15
50,5080,16,16,17
50,5416,19,18,19
51,202,5,6,6
51,1117,12,13,14
51,2918,12,11,12
51,2973,12,13,13
51,3406,8,8,7
51,3482,11,13,12
51,5210,15,18,18
51,5672,13,11,11
51,5673,13,15,16
52,206,12,13,14
52,467,12,14,16
52,3286,16,16,17
52,4627,20,21,22
52,5211,7,8,9
52,5311,13,12,14
52,5707,17,18,18
52,6963,17,18,21
53,217,8,11,13
53,426,9,9,10
53,1216,11,10,11
53,2105,19,21,22
53,2427,13,10,11
53,2996,7,6,7
53,4240,22,22,23
53,5092,11,13,12
53,5889,10,11,11
55,260,20,23,23
55,286,31,20,18
55,565,15,13,14
55,1118,22,25,26
55,2667,20,21,22
55,4164,15,18,20
55,4215,14,14,15
55,5191,16,18,17
56,2086,8,9,9
56,2463,7,8,8
56,2883,8,10,8
56,2926,7,6,6
56,3777,15,11,11
56,5866,8,8,8
56,6300,14,13,11
56,7178,14,15,17
58,2979,10,10,10
58,2981,5,6,7
58,3043,6,5,6
58,3135,11,12,12
58,3341,6,6,7
58,3392,5,4,4
58,3419,5,4,5
58,3594,8,8,8
58,3653,5,6,6
58,5613,3,3,3
58,5614,6,7,7
58,5624,8,8,8
58,6578,6,6,7
58,7251,7,6,6
58,7347,6,6,7
59,297,16,16,16
59,744,20,22,24
59,849,13,14,15
59,1103,18,18,20
59,1279,14,14,14
59,1837,18,20,21
59,4298,21,22,24
59,6579,24,26,26
60,194,16,19,19
60,522,18,19,18
60,1137,31,29,29
60,1186,15,16,17
60,2439,15,15,16
60,3298,9,12,13
60,3500,26,27,27
60,5116,25,24,24
61,462,28,27,30
61,504,18,18,20
61,527,10,10,11
61,529,27,30,28
61,808,23,18,18
61,1405,11,8,8
61,5388,16,17,16
62,546,16,18,18
62,872,12,13,13
62,915,21,19,19
62,2505,13,14,14
62,2993,11,12,13
62,3510,15,12,13
62,3572,17,14,14
62,5449,9,36,28
63,752,17,19,20
63,1062,22,15,15
63,2724,20,21,22
63,3425,11,11,12
63,4526,24,19,18
63,5612,22,19,19
63,5959,39,23,21
64,772,22,17,16
64,2066,14,12,11
64,3296,12,15,14
64,3302,12,12,10
64,3584,19,19,23
64,3827,12,18,15
65,344,6,5,4
65,768,11,14,12
65,1040,11,17,19
65,1409,5,7,7
65,3226,17,10,9
65,3640,11,9,9
65,4111,7,8,9
65,4512,17,19,17
65,5246,6,4,4
66,331,15,16,17
66,383,19,20,18
66,384,16,15,15
66,408,17,18,19
66,449,10,9,10
66,457,15,16,15
66,469,13,14,12
66,521,11,11,12
66,651,11,11,10
66,777,17,15,15
66,1204,13,17,16
67,703,15,14,16
67,2257,13,14,14
67,3297,15,15,16
67,4416,23,25,26
67,4538,18,17,17
67,5045,19,18,17
67,5091,15,14,14
68,351,8,7,7
68,400,13,13,15
68,602,5,6,7
68,3213,17,19,16
68,3390,9,10,9
68,3585,5,8,8
68,3591,14,15,15
68,5287,18,15,17
70,600,13,13,15
70,755,24,24,24
70,793,22,16,15
70,812,15,14,15
70,822,15,18,19
70,900,6,6,7
70,1516,11,12,12
70,3383,16,16,17
70,3384,17,19,17
70,5216,22,20,23
71,549,30,32,33
71,821,16,18,19
71,861,14,12,13
71,927,18,21,22
71,945,11,15,16
71,1051,12,13,13
71,2653,18,16,18
71,3826,10,11,13
71,4299,15,16,18
71,6898,10,12,11
73,513,15,15,15
73,537,28,29,31
73,608,33,37,35
73,897,16,17,18
73,2891,19,20,21
73,3645,15,16,17
74,438,6,7,7
74,535,25,27,32
74,536,15,17,19
74,601,19,18,19
74,1078,1,1,1
74,1249,14,15,15
74,1257,9,9,8
74,1272,10,10,11
74,3381,12,12,12
74,7281,11,12,13
76,211,14,15,16
76,248,17,18,19
76,320,0.5,0.5,0.5
76,561,12,11,12
76,610,18,19,20
76,746,14,16,17
76,939,14,14,16
76,1254,14,14,14
76,5389,10,10,11
76,6929,15,16,18
76,7156,12,12,14
77,290,4,6,6
77,465,7,7,8
77,757,11,10,10
77,901,14,16,16
77,1313,16,17,19
77,3112,9,10,9
77,3279,12,10,11
77,4103,13,12,12
77,5144,15,15,15
77,5245,12,11,13
78,440,8,9,9
78,442,18,16,15
78,458,10,10,12
78,464,21,18,20
78,470,20,20,24
78,490,12,11,10
78,791,16,17,17
78,1494,20,21,22
78,5460,8,9,10
78,5898,17,15,18
80,395,46,52,53
80,397,28,31,31
80,429,23,24,27
80,452,27,30,35
80,1958,26,28,30
80,3320,38,38,46
80,3567,20,19,20
80,3886,30,34,36
80,4508,24,21,23
80,5165,23,27,27
80,5809,25,27,30
81,381,16,17,19
81,407,17,18,20
81,476,9,10,11
81,781,14,15,16
81,813,22,24,26
81,917,7,8,9
81,1073,7,8,9
81,1232,14,13,15
81,1303,13,13,14
81,3319,18,19,20
81,6286,15,14,14
82,1129,6,6,6
82,1253,8,7,7
82,2133,9,9,9
82,2991,13,11,12
82,4130,10,11,12
82,4163,8,7,8
82,4219,7,9,10
82,4554,5,4,4
82,5317,7,7,8
83,77,8,9,9
83,280,12,14,12
83,475,7,7,7
83,1185,5,5,5
83,3169,8,9,9
83,3170,7,7,8
83,3569,7,7,8
83,5479,8,8,9
83,5480,11,12,12
84,330,14,14,15
84,385,0.5,0.5,0.5
84,437,16,17,19
84,463,13,12,12
84,524,4,3,4
84,1098,8,9,8
84,4194,9,8,9
85,321,10,10,10
85,322,15,14,16
85,846,13,12,13
85,1042,20,21,22
85,1150,11,12,13
85,4183,6,7,7
86,999,12,11,12
86,1235,7,8,9
86,2239,9,10,10
86,2599,8,8,9
86,3058,11,12,13
86,3106,16,16,18
86,3888,13,14,15
86,4102,11,10,11
86,5145,10,11,12
87,292,11,9,9
87,404,11,11,11
87,765,9,10,11
87,865,20,20,24
87,1347,6,7,7
87,1803,3,7,8
87,2404,5,5,6
87,2769,8,7,7
87,3391,11,12,12
87,4055,13,13,13
87,4115,14,16,15
88,443,5,6,5
88,447,36,39,41
88,461,46,46,47
88,554,9,10,13
88,782,11,10,9
88,3518,50,53,57
88,3623,17,20,21
88,5713,25,27,29
89,110,15,17,19
89,705,27,29,30
89,800,15,16,18
89,942,25,25,28
89,959,17,18,21
89,2695,22,21,22
89,2843,20,20,20
89,4262,20,22,23
89,5299,16,17,19
90,817,28,31,33
90,908,15,15,17
90,1086,23,19,20
90,1220,19,20,19
90,2881,18,18,18
90,4332,11,8,8
90,4365,22,24,25
90,5214,12,12,12
90,5250,28,30,34
90,5420,9,9,9
91,890,24,26,28
91,943,16,18,20
91,955,22,23,23
91,1374,1,1,1
91,3782,19,20,22
91,4588,12,14,16
91,5871,10,10,10
91,5894,12,11,12
92,174,20,20,20
92,649,21,24,26
92,771,12,10,10
92,931,30,33,36
92,973,19,16,17
92,974,24,25,26
92,1068,16,17,18
92,1702,18,22,18
92,3538,19,21,22
92,5455,23,23,24
93,538,12,12,13
93,551,25,27,29
93,697,28,30,32
93,960,20,21,20
93,1081,13,12,12
93,1283,21,23,22
93,1297,29,31,30
93,1847,21,23,25
93,3877,11,11,11
93,4368,26,25,26
93,5326,25,27,26
94,563,19,19,19
94,579,20,20,22
94,582,20,18,19
94,613,16,16,17
94,857,15,16,16
94,860,24,26,28
94,1079,20,22,23
94,1182,32,36,31
94,1391,13,13,15
94,3207,22,24,26
94,3310,24,25,27
96,2499,7,7,7
96,3162,6,7,8
96,4142,10,9,10
96,4160,4,5,6
96,4197,6,5,5
96,4211,5,3,3
96,4425,7,6,6
96,5106,5,5,5
96,5132,7,7,7
96,5179,14,12,13
96,5365,7,7,7
96,5366,10,10,8
96,6894,9,11,11
97,488,10,12,12
97,858,10,10,10
97,1077,12,9,10
97,1223,12,11,12
97,1375,23,22,23
97,1408,13,11,11
97,3307,15,15,16
97,4427,13,12,14
97,4520,13,9,10
97,5172,13,12,13
97,5422,14,15,16
98,928,21,18,19
98,1082,10,11,10
98,1172,16,16,17
98,1173,9,10,11
98,1444,16,16,18
98,3309,8,9,9
98,3702,17,18,18
98,4444,12,13,14
98,5037,17,19,20
98,5054,14,15,17
101,767,25,25,28
101,1083,22,23,25
101,1090,17,13,13
101,1205,18,19,18
101,1219,13,13,14
101,1225,19,21,23
101,2626,15,16,17
101,2920,18,19,20
101,3308,21,23,25
101,6978,18,17,18
102,2392,7,6,6
102,3066,5,5,5
102,4354,8,7,7
102,5321,7,6,7
102,5451,11,12,13
102,5453,11,11,12
102,5622,6,7,7
102,5826,5,5,6
102,6937,6,5,6
102,6941,10,10,11
102,6968,10,11,12
102,7221,9,7,7
102,7298,5,5,5
102,7307,5,5,4
103,2907,13,13,13
103,2930,5,4,4
103,3183,8,6,5
103,3935,12,11,11
103,4140,9,10,11
103,4498,6,4,4
103,4563,10,11,12
103,4595,5,2,2
103,4617,10,9,10
103,4826,11,12,13
103,5615,10,10,11
103,5719,9,9,10
103,5945,8,8,8
104,967,23,25,28
104,988,20,19,20
104,994,25,26,27
104,1029,14,16,18
104,1085,18,18,20
104,1104,23,23,26
104,1213,21,23,26
104,3415,9,10,11
104,3526,18,18,19
104,5266,24,26,30
104,5772,20,20,20
105,819,21,20,22
105,987,15,15,16
105,1957,11,10,11
105,3417,17,15,14
105,4063,9,9,9
105,5034,14,16,18
105,5055,19,19,21
105,5347,19,21,22
105,5391,16,17,16
107,814,16,18,20
107,929,19,20,19
107,1087,18,17,18
107,1436,14,12,13
107,1541,18,18,19
107,2176,17,17,17
107,3348,18,17,18
107,3527,18,16,16
107,4260,26,26,28
107,4446,24,19,21
107,5301,20,24,26
108,1387,15,17,18
108,1398,18,20,23
108,1517,12,13,14
108,1589,22,25,24
108,1916,18,20,20
108,2789,21,22,24
108,2962,17,19,20
108,2963,18,20,22
108,3858,12,13,14
108,5882,14,15,16
108,5911,6,6,6
109,1349,11,13,15
109,1845,14,14,16
109,1851,14,16,18
109,2151,16,15,14
109,2591,14,16,17
109,2946,16,16,18
109,2987,17,18,22
109,3625,17,19,20
109,5325,8,9,9
109,5932,9,10,10
110,1680,36,32,35
110,2091,33,36,37
110,2727,17,20,20
110,2814,25,26,28
110,4161,22,24,25
110,5671,9,10,11
110,5854,11,10,9
110,5912,10,10,12
110,6397,15,17,19
111,1390,24,18,19
111,1513,11,13,13
111,1536,21,23,24
111,1712,12,12,13
111,2081,13,11,11
111,2796,19,20,23
111,3372,9,9,10
111,4690,8,8,9
111,5218,15,14,14
112,1960,16,15,16
112,2627,9,10,10
112,2740,18,15,17
112,3197,11,12,13
112,3418,27,28,32
112,4681,13,15,14
112,5036,16,17,18
112,5220,15,18,19
112,5964,16,18,18
114,547,12,15,16
114,706,29,32,32
114,718,21,24,25
114,725,32,35,39
114,779,13,11,13
114,1245,30,26,28
114,2387,26,24,25
114,3463,25,28,31
115,528,13,14,14
115,666,25,28,31
115,769,19,20,20
115,1004,18,21,22
115,1171,11,11,13
115,2459,14,13,13
115,3370,20,18,18
115,3474,15,16,15
115,3887,19,21,23
115,5264,13,11,12
115,5727,15,16,16
116,580,18,20,22
116,759,10,10,11
116,859,17,18,20
116,941,15,16,16
116,968,25,27,29
116,1203,21,22,24
116,3347,20,20,21
116,5035,23,24,24
116,5300,15,16,17
118,623,20,17,17
118,721,21,21,22
118,778,16,16,17
118,811,13,15,13
118,1874,17,18,21
118,2237,23,25,25
118,2484,18,17,18
118,3349,19,21,18
118,3387,18,20,20
118,6190,16,16,19
119,477,20,19,20
119,619,24,22,22
119,663,23,25,27
119,698,28,26,29
119,1089,22,22,23
119,1606,16,16,17
119,3659,12,10,9
119,3835,22,20,21
119,4226,18,15,17
119,5263,25,24,25
120,658,13,14,15
120,669,12,13,14
120,756,7,9,9
120,1215,15,16,16
120,1458,23,21,21
120,1469,36,20,16
120,2988,18,17,17
120,3660,14,13,13
120,5151,14,17,17
120,5173,22,21,23
120,5251,10,11,12
121,366,17,18,19
121,583,22,23,24
121,676,22,21,21
121,687,39,41,46
121,741,16,18,19
121,1466,21,23,25
121,1467,22,23,25
121,4166,16,17,17
121,4635,19,21,19
122,672,18,65,53
122,1194,16,17,17
122,1318,15,15,15
122,1319,17,19,20
122,1320,18,18,17
122,2065,12,13,14
122,2932,11,12,12
122,4223,16,16,17
123,578,8,9,10
123,678,21,23,25
123,680,18,19,22
123,685,17,16,17
123,724,20,22,24
123,2310,15,15,16
123,3234,20,22,23
123,6370,16,17,18
124,599,19,21,23
124,620,16,17,19
124,690,30,33,35
124,742,15,18,19
124,1080,18,18,20
124,1694,14,14,17
124,2496,8,8,8
124,2749,15,17,17
124,3289,13,13,16
124,3829,16,17,19
124,3852,11,11,11
125,553,14,17,19
125,909,22,22,26
125,912,15,17,18
125,1163,15,16,18
125,2665,22,21,24
125,2706,19,17,17
125,3167,10,11,13
125,5022,14,16,18
127,87,13,14,15
127,116,1,1,1
127,278,20,15,15
127,323,6,7,7
127,376,20,20,22
127,448,14,14,16
127,450,14,13,15
127,876,13,13,13
127,1169,11,5,5
127,3868,14,8,9
127,6932,14,14,16
128,489,19,20,24
128,541,22,23,24
128,803,17,18,20
128,911,21,25,26
128,989,18,18,21
128,1342,34,26,28
128,1353,19,21,22
128,3616,21,23,24
128,4129,23,24,25
129,485,12,13,14
129,502,11,10,11
129,540,11,14,15
129,542,9,8,8
129,761,11,12,13
129,961,19,21,19
129,1016,13,14,16
129,2913,17,18,19
129,3483,12,14,16
130,428,12,13,13
130,532,19,21,23
130,839,19,21,23
130,935,17,19,20
130,1102,19,21,24
130,1206,17,15,17
130,1266,9,13,15
130,4683,9,9,10
131,401,6,7,7
131,1136,12,13,15
131,1196,12,11,12
131,2132,11,10,11
131,2822,21,21,23
131,3288,21,21,24
131,4679,17,16,19
131,5056,10,7,7
132,309,11,10,11
132,310,12,12,12
132,386,15,17,17
132,402,11,10,10
132,415,10,12,13
132,531,19,19,21
132,533,13,13,14
132,543,13,14,14
132,2938,14,15,17
132,7301,22,21,20
134,75,14,14,15
134,170,16,17,19
134,312,10,11,11
134,405,19,18,19
134,498,10,10,11
134,505,26,26,28
134,539,12,10,11
134,773,15,16,15
134,1107,7,8,8
134,1128,19,18,19
134,4295,11,12,11
135,23,11,10,10
135,98,7,7,8
135,149,5,6,6
135,244,10,8,8
135,307,15,16,16
135,976,11,10,12
135,1108,9,9,10
135,1109,8,8,9
135,1110,6,6,7
135,1193,18,21,19
136,155,30,29,27
136,182,17,19,21
136,347,7,6,8
136,699,11,12,13
136,707,14,14,14
136,716,7,7,7
136,1074,13,14,16
136,1468,10,10,11
136,1530,11,10,11
137,394,18,16,18
137,403,12,14,16
137,409,8,10,10
137,660,17,19,20
137,661,16,14,16
137,662,17,11,13
137,766,20,21,22
137,1100,10,10,11
137,1124,11,8,9
137,2690,14,11,11
137,4187,12,13,13
137,5703,16,14,15
138,112,10,12,13
138,115,7,8,8
138,183,6,6,7
138,205,10,11,11
138,239,8,9,9
138,305,8,8,9
138,495,26,26,29
138,981,38,42,40
138,1059,12,13,13
138,1069,5,11,9
138,1271,16,17,17
140,365,20,19,22
140,708,11,12,14
140,875,8,9,10
140,903,9,9,11
140,1710,6,8,7
140,2720,21,21,22
140,2755,14,16,18
140,2939,12,14,14
140,3059,7,7,7
140,3060,10,7,7
140,6469,14,17,18
141,501,20,20,21
141,785,13,13,16
141,816,20,22,22
141,874,6,12,11
141,887,17,18,20
141,916,19,21,24
141,954,11,9,11
141,1025,23,24,26
141,1106,14,13,14
141,1168,25,26,26
141,1192,17,14,17
141,2717,20,21,21
143,969,18,22,24
143,970,32,33,36
143,1066,24,23,26
143,1088,11,11,12
143,1195,22,25,27
143,1260,21,22,21
143,1346,22,23,23
143,2715,16,17,18
143,3528,17,18,19
143,5079,19,21,22
144,175,17,19,20
144,848,25,26,30
144,1248,16,15,16
144,2846,20,23,23
144,5196,6,5,5
144,5419,21,24,22
144,6964,14,16,16
145,94,24,25,30
145,950,6,9,9
145,1561,6,6,7
145,2322,16,18,19
145,4533,12,11,12
145,6807,14,13,11
146,64,10,11,10
146,93,15,17,18
146,97,11,13,12
146,104,12,14,14
146,106,13,14,15
146,107,18,19,22
146,120,12,13,13
146,177,26,27,30
146,335,24,27,29
146,410,27,31,34
146,675,17,16,18
146,677,26,29,28
147,161,10,13,14
147,218,9,10,10
147,238,23,21,23
147,268,23,27,25
147,393,22,24,26
147,466,8,9,10
147,683,26,26,30
147,684,20,24,25
147,738,19,18,20
147,1115,17,15,17
149,264,31,27,28
149,304,19,18,17
149,390,17,16,17
149,673,12,13,14
149,695,19,11,12
149,1075,18,16,18
149,1226,14,14,15
149,3137,13,14,14
149,3495,35,29,31
149,4435,13,10,11
149,4483,17,14,14
151,192,18,15,16
151,406,19,12,11
151,416,16,14,15
151,656,115,19,18
151,667,16,17,17
151,682,18,14,13
151,735,19,16,17
151,737,15,11,12
151,2757,17,14,15
151,3017,23,16,15
151,5057,20,20,21
152,308,19,17,18
152,568,18,17,16
152,587,23,19,21
152,657,19,20,22
152,668,27,27,24
152,671,27,26,29
152,674,23,21,18
152,879,114,17,18
152,1376,18,16,17
152,4414,20,17,17
152,5175,28,28,29
153,272,17,15,15
153,659,10,9,10
153,688,8,10,8
153,710,23,17,16
153,3717,15,15,14
153,4482,13,10,10
153,5058,13,9,9
153,5616,134,4,4
153,7020,13,11,11
154,1967,15,14,16
154,1984,16,17,18
154,2174,22,23,23
154,2289,17,17,17
154,2386,22,20,20
154,5278,27,26,28
156,2012,23,20,19
156,2155,10,11,13
156,2158,12,12,12
156,2329,6,7,7
156,2629,15,16,17
156,2964,11,11,11
156,3409,20,22,23
156,4387,19,21,21
157,1762,10,10,11
157,2222,6,7,7
157,3114,7,8,9
157,3535,9,10,10
159,1970,5,5,6
159,2103,10,9,9
159,2122,15,16,18
159,2128,11,11,11
159,2336,11,11,12
160,2021,15,16,17
160,2095,14,15,15
160,2157,12,14,15
160,2184,0.5,0.5,0.5
160,2366,20,23,24
160,2953,17,17,16
160,3560,21,23,21
160,5448,11,12,14
161,1873,17,18,19
161,1964,13,15,16
161,2225,15,17,18
161,2261,13,14,15
161,2283,19,18,19
162,1891,20,22,20
162,1980,14,15,15
162,2022,18,20,20
162,2282,18,19,19
162,2331,16,17,19
162,2854,22,21,21
162,5777,18,18,18
163,2299,15,17,17
163,2371,18,19,19
163,5095,11,11,12
163,5439,14,11,13
164,1810,19,19,19
164,1959,18,17,17
164,2104,18,17,19
164,2547,9,8,8
164,2637,16,12,14
164,4570,7,7,7
165,1742,17,18,20
165,2108,15,14,15
165,3212,12,13,14
165,3337,9,8,9
165,3339,17,19,23
165,3774,13,12,13
165,5476,8,9,11
166,2141,21,22,26
166,2830,2,2,2
166,3252,2,2,2
166,5103,2,2,2
166,5229,2,2,2
166,5495,1,1,1
166,5881,9,11,12
166,5891,10,11,12
