Store,Program,Wk,Pallet Count
47,Intimates, 20 ,1 
47,Intimates, 20 ,1 
47,Kids,22,1
47,Kids,22,1
47,Kids,22,1
47,Kids,22,1
48,Intimates, 32 ,1 
48,Kids,22,1
48,Kids,22,1
49,Intimates, 20 ,1 
49,Intimates, 20 ,1 
49,Kids,22,1
49,Kids,22,1
49,Kids,22,1
50,Intimates, 20 ,1 
50,Intimates, 20 ,1 
51,Intimates, 20 ,1 
51,Intimates, 20 ,1 
52,Mens,18,1 
52,Mens,26,1 
52,Intimates, 20 ,2 
52,Intimates, 20 ,1 
52,Intimates, 20 ,1 
52,Kids,22,1
52,Kids,22,1
52,Kids,22,1
52,Kids,22,1
52,Kids,23,1
52,Kids,22,1
52,Kids,22,1
54,Mens,18,1 
54,Intimates, 20 ,2 
54,Intimates, 20 ,1 
54,Intimates, 20 ,1 
54,Kids,22,1
54,Kids,23,1
54,Kids,22,1
54,Kids,23,1
54,Kids,22,1
54,Kids,22,1
54,Kids,22,1
54,Kids,23,1
54,Kids,22,1
54,Kids,22,1
54,Kids,22,1
54,Kids,22,1
54,Kids,22,1
54,Kids,23,1
54,Kids,25,1
55,Intimates, 20 ,1 
55,Intimates, 20 ,1 
56,Intimates, 20 ,1 
56,Intimates, 20 ,1 
58,Mens,18,1 
58,Mens,26,1 
58,Intimates, 20 ,2 
58,Intimates, 20 ,1 
58,Intimates, 24 ,1 
58,Intimates, 20 ,1 
58,Intimates, 20 ,2 
58,Kids,22,1
58,Kids,22,1
58,Kids,23,1
58,Kids,22,1
58,Kids,23,1
58,Kids,22,1
58,Kids,22,1
58,Kids,22,1
58,Kids,23,1
58,Kids,25,1
58,Kids,27,1
58,Kids,22,1
58,Kids,22,1
58,Kids,22,1
58,Kids,22,1
58,Kids,22,1
59,Mens,18,1 
59,Intimates, 20 ,1 
59,Intimates, 20 ,1 
59,Intimates, 20 ,1 
59,Intimates, 19 ,1 
59,Kids,22,1
59,Kids,22,1
59,Kids,23,1
59,Kids,22,1
59,Kids,23,1
59,Kids,22,1
59,Kids,22,1
59,Kids,22,1
59,Kids,23,1
59,Kids,22,1
59,Kids,22,1
59,Kids,22,1
59,Kids,23,2
60,Mens,23,1 
60,Mens,28,1 
60,Mens,19,2 
60,Mens,23,1 
60,Mens,28,2 
60,Mens,19,2 
60,Mens,23,2 
60,Mens,28,2 
60,Mens,29,2 
60,Mens,19,2 
60,Mens,23,1 
60,Mens,28,2 
60,Mens,19,2 
60,Mens,23,1 
60,Intimates, 19 ,1 
60,Intimates, 20 ,2 
60,Intimates, 20 ,1 
60,Intimates, 28 ,1 
60,Intimates, 28 ,1 
60,Intimates, 28 ,1 
60,Intimates, 32 ,1 
60,Kids,22,1
60,Kids,22,1
60,Kids,22,1
60,Kids,22,1
60,Kids,22,1
60,Kids,23,1
61,Mens,18,1 
61,Intimates, 20 ,1 
61,Intimates, 20 ,1 
61,Intimates, 24 ,1 
61,Intimates, 20 ,1 
61,Kids,22,1
61,Kids,23,1
61,Kids,22,1
61,Kids,23,1
61,Kids,22,1
61,Kids,22,1
61,Kids,23,1
61,Kids,22,1
61,Kids,22,1
62,Mens,18,1 
62,Mens,26,1 
62,Intimates, 20 ,1 
62,Intimates, 20 ,1 
62,Intimates, 20 ,1 
62,Kids,22,1
62,Kids,22,1
62,Kids,22,1
62,Kids,22,1
62,Kids,22,1
63,Intimates, 20 ,1 
64,Mens,19,1 
64,Mens,19,1 
64,Mens,28,1 
64,Mens,28,1 
64,Mens,29,1 
64,Mens,19,1 
64,Mens,28,1 
64,Intimates, 19 ,1 
64,Intimates, 20 ,1 
64,Intimates, 20 ,1 
64,Intimates, 19 ,1 
64,Kids,22,1
65,Mens,28,1 
65,Mens,29,1 
65,Mens,18,1 
65,Intimates, 20 ,2 
65,Intimates, 20 ,1 
65,Intimates, 20 ,1 
65,Kids,22,1
66,Intimates, 20 ,1 
66,Intimates, 20 ,1 
66,Kids,22,1
66,Kids,22,1
67,Mens,18,1 
67,Intimates, 20 ,1 
67,Kids,22,1
67,Kids,22,1
68,Intimates, 20 ,1 
68,Intimates, 20 ,1 
68,Kids,22,1
69,Mens,18,1 
69,Intimates, 20 ,2 
69,Intimates, 20 ,1 
69,Intimates, 24 ,1 
69,Intimates, 20 ,1 
69,Kids,22,1
69,Kids,23,1
69,Kids,22,1
69,Kids,23,1
69,Kids,22,1
69,Kids,22,1
69,Kids,23,1
69,Kids,22,1
69,Kids,22,1
69,Kids,22,1
69,Kids,22,1
69,Kids,23,1
70,Mens,18,1 
70,Mens,26,1 
70,Mens,18,1 
70,Mens,26,1 
70,Intimates, 20 ,2 
70,Intimates, 20 ,1 
70,Intimates, 24 ,1 
