Market #,REGION,Store #,Status,Trend,First_Carrier_Assigned,Service_Type,Weeks With Status,Max_WM_WK_ID,OTD - Last 4 Weeks,OTP - Last 4 Weeks,OWT - Last 4 weeks,Express_Cancel-Rate -Last 4 Weeks,OTD The Latest Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
48,5,353,Active Monitoring,Degrading,POINTPICKUP,Express Only,1,202150,85.40%,99%,5.59,3.40%,82.40%,85.70%,86.40%,89.50%
49,5,896,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,71.90%,58%,12.4,3.00%,87.80%,43.10%,70.00%,68.90%
83,5,3569,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,89.70%,89%,5.17,5.70%,82.50%,93.10%,94.70%,88.20%
83,5,3569,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,91.00%,87%,5.17,,84.00%,96.30%,95.70%,89.40%
83,5,5480,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,77.60%,58%,7.1,3.60%,77.00%,77.30%,80.10%,76.50%
179,16,2013,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,78.10%,75%,6.43,22.00%,64.10%,83.70%,86.50%,77.00%
179,16,2013,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,87.40%,73%,6.43,,74.90%,95.20%,94.30%,86.80%
179,16,1856,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,81.50%,86%,5.02,5.20%,83.10%,83.10%,81.00%,77.60%
179,16,5076,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,77.70%,78%,6.17,5.20%,86.50%,78.80%,78.50%,69.90%
183,16,1698,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,88.00%,77%,5.51,1.60%,80.80%,88.40%,93.40%,92.80%
154,16,5278,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,82.20%,78%,6.48,3.90%,81.80%,78.90%,90.90%,77.40%
181,16,2682,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,82.80%,67%,8.62,6.10%,77.90%,91.10%,88.90%,74.20%
157,16,2222,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,60.50%,72%,10.45,,66.40%,47.50%,47.70%,78.10%
184,16,2399,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,80.50%,72%,8.29,5.10%,79.80%,69.10%,98.20%,77.30%
184,16,2399,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,78.80%,75%,8.29,,85.60%,74.00%,88.10%,69.00%
156,16,2629,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,2,202150,88.50%,79%,5.68,6.80%,82.40%,83.60%,93.10%,93.50%
302,26,1236,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,100.00%,100%,11.47,,100.00%,,,
302,26,1236,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,82.10%,76%,11.47,5.40%,89.30%,71.00%,87.90%,80.30%
509,59,6176,Active Monitoring,Degrading,POSTMATES,Standard & Express,2,202150,100.00%,25%,9.01,,100.00%,,,
509,59,6176,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,78.60%,60%,9.01,2.10%,82.10%,79.90%,75.70%,76.20%
310,26,1774,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,87.40%,74%,5.96,2.00%,86.30%,95.50%,87.30%,81.30%
300,26,1268,Active Monitoring,Degrading,POSTMATES,Express Only,2,202150,88.40%,91%,5.96,5.30%,84.00%,95.80%,85.00%,88.20%
298,26,1498,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,73.10%,51%,9.79,8.90%,79.90%,72.70%,71.40%,68.40%
298,26,1498,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,63.40%,55%,9.79,,63.40%,,,
298,26,1558,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,81.80%,61%,10.49,2.30%,86.40%,81.10%,86.90%,73.60%
411,47,484,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,83.90%,64%,7.72,1.60%,88.00%,82.90%,80.10%,84.50%
376,47,3313,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,82.20%,73%,5.5,5.20%,83.90%,68.30%,90.60%,91.20%
433,47,1671,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,74.10%,51%,11.01,4.10%,64.90%,65.90%,90.20%,84.60%
379,47,905,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,81.20%,73%,5.81,2.90%,83.30%,70.40%,89.70%,84.20%
379,47,1231,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,77.50%,71%,6.81,2.90%,83.20%,47.00%,85.70%,82.70%
380,47,3566,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,69.40%,68%,6.98,6.50%,73.60%,45.80%,76.90%,81.80%
585,47,2752,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,84.30%,80%,5.12,,88.30%,69.70%,86.80%,91.90%
585,47,3533,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,80.20%,80%,6.3,10.30%,80.00%,65.90%,92.10%,86.40%
93,3,1297,Active Monitoring,Degrading,POINTPICKUP,Express Only,3,202150,76.90%,95%,2.75,6.10%,85.20%,79.30%,84.60%,54.50%
27,3,899,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,84.50%,88%,6.69,16.00%,80.00%,90.90%,81.40%,85.20%
27,3,899,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,82.60%,77%,6.69,,82.10%,86.10%,80.60%,81.20%
30,3,3570,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,77.30%,51%,12.79,2.90%,76.60%,67.80%,83.60%,80.50%
94,3,3207,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,64.30%,49%,11.89,6.70%,61.60%,75.20%,67.50%,57.00%
32,3,1076,Active Monitoring,Degrading,ROADIE,Standard & Express,1,202150,77.50%,68%,8.52,4.80%,86.20%,70.80%,77.50%,75.10%
16,3,3461,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,90.40%,70%,6.79,3.30%,91.60%,94.00%,90.40%,86.10%
16,3,3461,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,81.40%,71%,6.79,,83.20%,85.10%,68.30%,86.90%
97,3,4520,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,85.60%,78%,4.93,1.90%,88.00%,87.30%,85.70%,80.10%
97,3,4520,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,85.40%,72%,4.93,,78.90%,87.90%,93.00%,84.50%
201,19,5280,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,78.70%,63%,10.14,10.10%,85.10%,64.00%,87.30%,80.70%
205,19,1928,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,80.10%,72%,6.95,3.60%,85.00%,88.50%,76.60%,69.20%
207,19,5030,Active Monitoring,Degrading,ROADIE,Standard & Express,1,202150,89.90%,82%,7.19,5.60%,93.00%,94.50%,87.70%,85.30%
207,19,5030,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,88.30%,81%,7.19,,83.10%,93.00%,88.80%,89.90%
197,19,1790,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,87.60%,72%,5.68,1.40%,84.50%,89.10%,98.00%,78.50%
533,64,3202,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,77.10%,70%,8.57,1.90%,85.20%,71.70%,78.90%,74.60%
349,44,271,Active Monitoring,Degrading,DOORDASH,Express Only,1,202150,83.80%,99%,2.39,5.40%,75.00%,90.00%,84.60%,86.70%
141,13,916,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,79.90%,59%,10.18,5.70%,75.20%,81.40%,94.70%,69.90%
131,13,1136,Active Monitoring,Degrading,ROADIE,Standard & Express,2,202150,80.60%,61%,9.02,6.80%,81.60%,82.00%,84.70%,74.50%
130,13,1102,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,70.50%,52%,11.22,7.50%,73.90%,97.00%,58.60%,75.10%
130,13,4683,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,77.60%,49%,12.88,8.10%,85.60%,73.30%,68.50%,83.00%
125,13,3167,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,67.60%,51%,10.64,,85.20%,47.80%,77.20%,65.60%
128,13,1342,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,66.00%,44%,12.65,5.40%,56.20%,64.70%,66.70%,78.30%
492,72,5043,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,77.50%,71%,6.5,5.20%,40.00%,79.90%,77.20%,81.00%
146,41,97,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,75.60%,69%,7.98,,53.40%,82.60%,91.10%,77.40%
4,12,662,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,79.30%,64%,10.64,9.60%,75.50%,70.40%,83.80%,84.00%
153,12,3717,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,88.20%,76%,6.17,,90.90%,85.70%,75.00%,100.00%
153,12,3717,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,79.60%,78%,6.17,6.70%,80.50%,73.70%,80.60%,81.60%
329,12,45,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,73.70%,60%,11.41,11.30%,57.00%,80.90%,86.70%,79.70%
476,60,5929,Active Monitoring,Degrading,ROADIE,Standard & Express,1,202150,85.30%,76%,6.26,4.80%,86.60%,89.50%,77.30%,85.80%
477,60,4176,Active Monitoring,Degrading,ROADIE,Standard & Express,2,202150,76.20%,68%,6.14,,62.40%,83.80%,72.10%,81.60%
467,60,3531,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,73.10%,85%,3.87,6.50%,86.90%,25.00%,23.40%,79.50%
467,60,4137,Active Monitoring,Degrading,ROADIE,Standard & Express,1,202150,78.90%,75%,6.09,7.00%,81.60%,69.00%,71.30%,88.40%
472,60,5272,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,2,202150,71.00%,83%,5.65,4.30%,87.40%,55.20%,31.40%,77.40%
474,60,4395,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,2,202150,73.40%,83%,4.92,20.30%,74.20%,85.20%,70.40%,63.50%
474,60,2539,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,70.40%,78%,5.34,4.80%,78.90%,64.10%,73.60%,56.50%
474,60,4394,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,55.90%,86%,5.77,10.60%,70.30%,53.50%,48.40%,44.70%
474,60,5883,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,63.00%,85%,3.82,4.30%,71.20%,63.20%,68.00%,41.00%
270,25,5060,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,90.50%,83%,6.27,4.10%,86.30%,86.20%,96.50%,92.40%
270,25,5060,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,89.30%,79%,6.27,,89.20%,85.10%,86.40%,96.60%
266,25,1497,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,62.30%,60%,10.77,6.60%,55.00%,48.70%,64.00%,78.00%
275,25,1454,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,88.80%,76%,6.4,5.80%,86.80%,89.20%,93.30%,84.60%
275,25,1454,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,89.70%,73%,6.4,,92.40%,87.80%,90.30%,86.70%
251,25,1629,Active Monitoring,Degrading,POINTPICKUP,Express Only,1,202150,85.30%,100%,4.28,7.90%,77.80%,90.90%,100.00%,71.40%
234,22,2574,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,81.80%,61%,12.14,2.00%,78.60%,82.00%,86.90%,80.30%
166,22,2830,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,85.50%,81%,7.27,10.00%,89.60%,78.20%,90.50%,82.90%
233,22,1529,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,87.50%,76%,9.02,5.20%,87.60%,88.60%,85.70%,87.60%
170,22,2068,Active Monitoring,Degrading,ROADIE,Standard & Express,3,202150,88.50%,77%,8.77,4.10%,91.30%,83.80%,92.90%,86.10%
170,22,2068,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,78.20%,77%,8.77,,79.80%,71.00%,81.20%,80.60%
170,22,2096,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,71.70%,66%,8.2,6.40%,59.70%,82.80%,82.40%,64.80%
165,22,3339,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,85.70%,71%,7.97,4.20%,83.10%,81.90%,91.40%,84.30%
178,22,2195,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,92.10%,87%,5.52,5.20%,88.60%,92.40%,93.20%,94.10%
178,22,2195,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,82.00%,90%,5.52,,82.40%,82.70%,79.70%,83.20%
178,22,3236,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,88.20%,84%,5.87,2.60%,86.10%,88.40%,95.60%,83.00%
178,22,3236,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,71.90%,87%,5.87,,81.60%,64.90%,79.80%,62.10%
231,22,5241,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,83.40%,78%,6.54,14.70%,75.50%,80.20%,90.70%,88.50%
291,75,3588,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,80.30%,68%,7.64,,76.50%,50.00%,88.90%,85.00%
291,75,3588,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,80.20%,75%,7.64,4.00%,80.10%,70.90%,89.60%,74.20%
283,75,2357,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,59.10%,44%,8.72,,66.70%,83.30%,50.00%,45.50%
283,75,2357,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,73.10%,71%,8.72,5.70%,71.40%,72.40%,86.60%,59.20%
320,75,2083,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,88.30%,83%,4.84,22.20%,86.90%,83.90%,99.30%,85.70%
287,75,2795,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,2,202150,80.50%,64%,8.32,11.40%,78.10%,81.90%,81.80%,80.70%
286,75,4514,Active Monitoring,Degrading,POSTMATES,Standard & Express,1,202150,87.00%,88%,5.01,7.40%,83.60%,88.60%,90.20%,86.90%
286,75,4514,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,88.50%,88%,5.01,,86.80%,96.00%,89.10%,84.90%
424,52,1577,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,84.90%,92%,3.45,15.50%,89.70%,87.20%,79.50%,82.80%
424,52,2274,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,81.80%,95%,3.1,11.30%,81.50%,88.40%,75.40%,79.80%
424,52,3624,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,86.30%,89%,3.71,2.90%,85.40%,86.50%,90.40%,83.30%
419,52,2937,Active Monitoring,Degrading,POINTPICKUP,Express Only,3,202150,84.20%,98%,5.58,20.70%,80.00%,89.70%,92.30%,77.80%
419,52,4849,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,73.40%,95%,4,25.00%,58.70%,70.50%,82.20%,85.40%
414,52,749,Active Monitoring,Degrading,ROADIE,Standard & Express,1,202150,95.70%,93%,2.96,6.10%,96.10%,100.00%,95.80%,90.40%
414,52,749,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,73.80%,59%,2.96,,66.70%,77.60%,76.50%,76.50%
414,52,4256,Active Monitoring,Degrading,ROADIE,Standard & Express,1,202150,93.00%,91%,4.22,5.40%,98.20%,94.70%,86.60%,93.10%
414,52,4256,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,70.30%,65%,4.22,,69.60%,70.70%,64.10%,75.80%
415,52,2004,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,95.30%,94%,2.46,2.70%,94.30%,95.70%,93.70%,97.20%
415,52,2004,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,63.80%,92%,2.46,,66.70%,72.20%,71.10%,40.00%
422,52,1864,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,89.90%,88%,5.3,3.30%,89.10%,84.60%,91.50%,93.20%
422,52,1864,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,74.90%,63%,5.3,,65.10%,73.40%,83.20%,78.10%
422,52,2643,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,71.80%,51%,9.69,5.20%,88.90%,81.00%,57.10%,65.50%
422,52,2643,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,75.60%,63%,9.69,,73.80%,63.00%,76.50%,82.70%
422,52,3404,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,75.80%,74%,7.49,5.30%,82.10%,75.10%,76.40%,70.00%
304,4,4410,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,82.50%,75%,5.72,2.20%,81.40%,87.20%,88.30%,73.00%
36,4,1037,Active Monitoring,Degrading,POSTMATES,Standard & Express,3,202150,79.50%,68%,11.77,9.30%,70.00%,87.80%,90.80%,72.30%
29,4,728,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,79.90%,74%,7.7,26.20%,76.90%,81.00%,79.20%,81.60%
124,4,690,Active Monitoring,Degrading,ASSOCIATE DELIVERY BY WALMART,Standard Only,1,202150,86.30%,82%,,,82.80%,91.10%,95.30%,80.40%
496,59,3638,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,86.20%,77%,12.17,3.40%,89.10%,82.50%,85.80%,88.20%
497,59,5371,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,75.70%,52%,10.37,5.60%,80.60%,52.10%,88.00%,79.90%
357,40,86,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,82.10%,71%,7.03,,85.80%,83.90%,87.70%,72.00%
485,59,2442,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,81.90%,65%,9.34,2.90%,81.30%,82.80%,89.00%,74.70%
485,59,2442,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,75.60%,71%,9.34,,75.20%,70.00%,79.40%,78.30%
485,59,6172,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,68.30%,57%,7.32,1.10%,83.30%,44.10%,81.40%,49.90%
339,40,1021,Active Monitoring,Degrading,ROADIE,Express Only,3,202150,74.30%,90%,6.14,37.70%,81.80%,87.50%,70.00%,50.00%
333,40,444,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,76.50%,63%,9.99,6.40%,74.70%,66.00%,83.40%,85.10%
333,40,2221,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,81.00%,74%,7.91,4.90%,87.90%,72.50%,85.10%,79.20%
73,46,608,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,51.50%,52%,9.56,9.40%,39.50%,30.00%,77.90%,45.60%
73,46,3645,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,68.40%,61%,7.5,6.00%,67.40%,54.70%,86.60%,60.30%
71,46,861,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,70.70%,50%,12.01,9.20%,61.30%,59.10%,87.90%,69.90%
369,46,5189,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,78.40%,74%,7.14,4.80%,72.30%,64.50%,88.40%,85.90%
510,61,3604,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,80.60%,64%,8.65,4.10%,85.30%,84.60%,77.90%,75.40%
188,17,1940,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,3,202150,87.80%,73%,6.64,1.90%,82.80%,86.40%,91.80%,86.80%
188,17,2351,Active Monitoring,Degrading,SPARK,Standard Only,2,202150,64.10%,76%,6.36,,43.50%,75.80%,80.60%,63.20%
190,17,1835,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,2,202150,91.30%,93%,5.97,5.50%,85.70%,92.00%,95.70%,87.60%
190,17,1835,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,90.40%,84%,5.97,,88.20%,89.30%,93.60%,91.30%
226,17,2365,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,86.50%,86%,5.32,1.30%,86.40%,82.00%,88.40%,88.60%
226,17,1623,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,89.30%,85%,5.95,,81.00%,95.10%,92.20%,82.70%
194,17,2859,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,85.00%,85%,6.44,,83.30%,86.50%,89.80%,80.20%
175,17,2497,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,82.80%,66%,8.03,5.90%,75.10%,75.70%,84.60%,88.40%
175,17,2825,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,83.00%,70%,6.85,,78.10%,87.20%,81.30%,86.40%
176,17,5867,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,66.50%,94%,4.14,1.40%,74.60%,66.50%,59.10%,69.10%
172,17,5293,Active Monitoring,Degrading,DOORDASH,Express Only,2,202150,90.00%,84%,7.44,10.50%,89.90%,91.90%,92.80%,85.60%
191,17,1831,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,86.30%,75%,8.92,4.10%,80.50%,89.00%,95.20%,80.10%
191,17,2166,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,84.00%,90%,5.46,3.10%,75.10%,80.50%,95.30%,87.40%
24,2,878,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,75.20%,57%,8.9,2.20%,73.60%,77.60%,90.90%,58.30%
24,2,3462,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,83.00%,64%,6.99,2.10%,82.40%,91.80%,97.40%,67.20%
26,2,3471,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,90.50%,70%,4.97,,89.80%,94.70%,90.90%,86.90%
26,2,3471,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,88.20%,61%,4.97,,88.20%,,,
120,2,1469,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,88.00%,64%,8.84,2.90%,89.60%,82.90%,97.30%,82.60%
120,2,1469,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,89.20%,73%,8.84,,89.10%,91.00%,82.20%,94.20%
21,2,510,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,80.40%,69%,7.17,6.70%,79.00%,75.70%,83.10%,84.20%
21,2,1121,Active Monitoring,Degrading,ROADIE,Standard & Express,1,202150,84.60%,84%,4.85,11.50%,81.80%,88.90%,86.60%,80.90%
20,2,1184,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,81.30%,71%,5.63,5.40%,76.80%,80.60%,86.40%,83.40%
23,2,2360,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,68.10%,62%,7.33,7.40%,79.40%,44.70%,75.90%,72.90%
23,2,3008,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,56.30%,73%,9.02,5.10%,66.10%,57.40%,61.90%,40.00%
23,2,3621,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,78.00%,76%,6.43,10.10%,78.40%,79.20%,77.00%,77.30%
294,2,4334,Active Monitoring,Degrading,ROADIE,Standard & Express,3,202150,87.50%,80%,7.24,0.80%,89.10%,85.70%,86.60%,87.80%
123,2,578,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,69.60%,54%,11.62,14.80%,84.80%,76.20%,59.30%,60.60%
22,2,3205,Active Monitoring,Degrading,DOORDASH,Standard & Express,1,202150,75.30%,56%,9.42,6.80%,76.40%,45.20%,85.60%,81.30%
25,2,548,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,71.00%,46%,9.15,2.80%,58.50%,82.60%,71.20%,67.30%
25,2,548,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,62.10%,46%,9.15,5.90%,62.10%,,,
77,6,5245,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,85.80%,70%,7.02,3.60%,78.20%,88.70%,89.60%,88.10%
59,6,744,Active Monitoring,Degrading,SPARK,Standard & Express,3,202150,75.80%,77%,9.98,3.20%,68.00%,88.30%,82.90%,56.50%
59,6,1837,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,75.50%,70%,8.06,4.40%,55.80%,83.00%,88.10%,73.90%
326,42,1105,Active Monitoring,Degrading,DOORDASH,Standard & Express,2,202150,71.60%,52%,8.83,3.80%,57.20%,50.50%,93.70%,83.80%
127,42,278,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,63.20%,50%,11.59,,71.40%,60.00%,0.00%,80.00%
127,42,278,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,72.60%,64%,11.59,7.10%,77.20%,70.30%,83.90%,56.30%
127,42,376,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,75.00%,58%,11.58,,75.00%,42.90%,100.00%,88.90%
127,42,376,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,76.60%,63%,11.58,6.90%,80.20%,70.60%,83.70%,72.60%
127,42,3868,Active Monitoring,Degrading,POINTPICKUP,Standard & Express,1,202150,70.00%,45%,8.9,,33.30%,80.00%,83.30%,66.70%
127,42,3868,Active Monitoring,Degrading,SPARK,Standard & Express,1,202150,81.00%,58%,8.9,6.10%,83.70%,87.80%,80.90%,68.80%
323,42,1,Active Monitoring,Degrading,DOORDASH,Standard & Express,3,202150,82.60%,57%,8.38,2.80%,82.20%,94.00%,92.70%,57.70%
135,42,1193,Active Monitoring,Degrading,SPARK,Standard & Express,2,202150,79.20%,62%,8.18,2.70%,66.50%,87.30%,89.00%,79.50%
