Store,BU,Region,Market,City,State,StrType
610,B,5,76,STEPHENVILLE,TX,SUP
615,A,2,22,CARTERSVILLE,GA,SUP
618,A,2,26,HIRAM,GA,SUP
622,B,44,344,OKLAHOMA CITY,OK,SUP
626,B,7,73,SEMINOLE,TX,W/M
652,M,47,406,GARDEN CITY,KS,SUP
653,E,41,253,HOPKINSVILLE,KY,SUP
658,A,12,120,ROME,GA,SUP
659,A,12,153,NASHVILLE,TN,SUP
669,A,12,120,DALTON,GA,SUP
673,A,12,149,CLARKSVILLE,TN,SUP
683,A,11,147,LAWRENCEBURG,TN,SUP
688,A,12,153,NASHVILLE,TN,SUP
695,A,12,149,MADISON,TN,SUP
709,E,41,256,ELIZABETHTOWN,KY,SUP
722,A,2,22,CARROLLTON,GA,SUP
723,A,14,7,TROY,AL,SUP
727,A,2,22,CEDARTOWN,GA,SUP
729,E,41,256,BARDSTOWN,KY,SUP
734,A,14,7,ENTERPRISE,AL,SUP
739,E,20,258,MIDDLESBORO,KY,SUP
740,A,14,7,OZARK,AL,SUP
755,B,7,70,AMARILLO,TX,SUP
758,A,2,32,AMERICUS,GA,SUP
774,M,47,433,COLUMBUS,NE,SUP
776,M,47,432,FREMONT,NE,SUP
780,A,2,21,MONROE,GA,SUP
787,A,2,19,RIVERDALE,GA,SUP
789,B,5,583,MESQUITE,TX,SUP
801,E,40,360,MARYVILLE,MO,SUP
804,B,5,48,MINERAL WELLS,TX,SUP
805,E,40,340,FENTON,MO,SUP
806,B,46,387,LAS CRUCES,NM,SUP
812,B,7,70,DUMAS,TX,SUP
836,A,3,28,SAINT MARYS,GA,SUP
840,O,59,546,WARNER ROBINS,GA,WNM
844,E,25,262,MORRIS,IL,SUP
856,A,2,22,BREMEN,GA,SUP
865,B,7,87,NEW BRAUNFELS,TX,SUP
866,A,14,1,MOBILE,AL,SUP
867,M,47,429,SCOTTSBLUFF,NE,SUP
868,B,46,387,CARLSBAD,NM,SUP
870,E,41,580,JASPER,IN,SUP
878,A,2,24,CUMMING,GA,SUP
879,A,12,152,LAFAYETTE,TN,SUP
880,B,5,50,IRVING,TX,SUP
885,M,47,433,SEWARD,NE,SUP
887,B,13,141,PETAL,MS,SUP
890,A,9,91,ORLANDO,FL,SUP
899,A,3,27,VALDOSTA,GA,SUP
906,B,46,384,GALLUP,NM,SUP
914,A,42,322,CASSVILLE,MO,SUP
924,M,54,378,STERLING,CO,SUP
927,B,7,71,PLAINVIEW,TX,SUP
932,A,14,16,GRIFFIN,GA,SUP
933,E,53,263,ROCHELLE,IL,SUP
941,A,9,116,VALRICO,FL,SUP
942,A,3,89,OCOEE,FL,SUP
945,B,7,71,LUBBOCK,TX,SUP
947,B,44,350,SHERMAN,TX,SUP
955,A,9,91,APOPKA,FL,SUP
963,B,5,48,WEATHERFORD,TX,SUP
969,B,13,143,GULFPORT,MS,SUP
972,B,5,479,LAKE WORTH,TX,SUP
978,M,47,406,ARKANSAS CITY,KS,SUP
988,A,3,104,LUTZ,FL,SUP
991,A,14,1,MOBILE,AL,SUP
992,B,44,356,TULSA,OK,SUP
995,E,41,251,FRANKLIN,IN,SUP
1009,E,40,333,REPUBLIC,MO,SUP
1024,A,2,30,SWAINSBORO,GA,SUP
1033,E,41,243,SEYMOUR,IN,SUP
1037,F,4,36,SUMMERVILLE,SC,SUP
1042,B,6,85,BASTROP,TX,SUP
1043,B,44,350,PAULS VALLEY,OK,SUP
1053,E,41,242,LA GRANGE,KY,SUP
1059,A,11,138,FOREST,MS,SUP
1065,A,42,325,HOPE,AR,SUP
1076,A,2,32,MACON,GA,SUP
1084,A,9,91,ORLANDO,FL,W/M
1088,B,13,143,BILOXI,MS,SUP
1093,E,25,273,RANTOUL,IL,SUP
1117,B,5,51,PLANO,TX,SUP
1125,E,25,278,NORMAL,IL,SUP
1129,B,7,82,AUSTIN,TX,SUP
1136,B,13,131,PORT ALLEN,LA,SUP
1138,E,53,441,MADISON,WI,W/M
1139,E,21,259,MOREHEAD,KY,SUP
1146,F,4,36,MONCKS CORNER,SC,SUP
1148,B,44,349,WICHITA FALLS,TX,SUP
1153,A,2,32,MACON,GA,SUP
1156,F,26,306,MOORESVILLE,NC,SUP
1157,E,41,243,NORTH VERNON,IN,SUP
1167,E,53,435,KENOSHA,WI,SUP
1175,M,58,364,FLAGSTAFF,AZ,W/M
1177,E,40,340,MANCHESTER,MO,SUP
1178,B,5,50,BEDFORD,TX,SUP
1180,E,41,243,GREENSBURG,IN,SUP
1181,A,2,26,MARIETTA,GA,SUP
1190,E,41,257,BEREA,KY,SUP
1205,A,3,101,MACCLENNY,FL,SUP
1206,B,13,130,BATON ROUGE,LA,SUP
1215,A,12,120,CALHOUN,GA,SUP
1228,E,25,269,ROUND LAKE BEACH,IL,SUP
1241,M,52,418,DAVENPORT,IA,SUP
1253,B,7,82,AUSTIN,TX,SUP
1255,F,26,309,LAURINBURG,NC,SUP
1259,E,20,258,CORBIN,KY,SUP
1272,B,7,74,SNYDER,TX,SUP
1274,E,53,441,WHITEWATER,WI,SUP
1284,A,14,16,PHENIX CITY,AL,SUP
1298,F,26,302,JACKSONVILLE,NC,SUP
1314,A,2,24,BUFORD,GA,SUP
1330,E,21,222,LIMA,OH,SUP
1332,M,52,426,SOUTH SIOUX CITY,NE,SUP
1335,F,75,315,LEXINGTON,VA,SUP
1350,F,75,315,LYNCHBURG,VA,SUP
1365,E,53,436,HUDSON,WI,W/M
1372,F,26,299,RALEIGH,NC,SUP
1373,A,2,23,LILBURN,GA,SUP
1374,A,9,91,ALTAMONTE SPRINGS,FL,W/M
1388,E,21,248,KENDALLVILLE,IN,SUP
1398,A,9,108,LAKE WORTH,FL,SUP
1400,A,2,21,ATHENS,GA,SUP
1401,E,25,265,NAPERVILLE,IL,SUP
1418,E,40,341,O FALLON,IL,SUP
1420,E,25,264,STREAMWOOD,IL,SUP
1437,M,47,406,GUYMON,OK,SUP
1438,M,57,405,CEDAR CITY,UT,SUP
1439,M,57,405,WASHINGTON,UT,SUP
1442,M,57,405,PAGE,AZ,SUP
1444,A,3,98,JACKSONVILLE,FL,SUP
1455,B,5,44,FORT WORTH,TX,SUP
1456,M,47,381,EVANSTON,WY,SUP
1459,E,41,249,INDIANAPOLIS,IN,SUP
1476,E,41,243,CLARKSVILLE,IN,SUP
1486,F,75,314,FARMVILLE,VA,SUP
1488,A,2,22,DOUGLASVILLE,GA,SUP
1489,E,25,269,VERNON HILLS,IL,W/M
1494,B,6,78,CORPUS CHRISTI,TX,SUP
1514,E,40,340,ARNOLD,MO,SUP
1516,B,7,70,BORGER,TX,SUP
1518,E,41,482,INDIANAPOLIS,IN,SUP
1526,M,52,426,STORM LAKE,IA,SUP
1530,A,11,136,CLEVELAND,MS,SUP
1533,B,46,369,PEORIA,AZ,SUP
1538,M,47,430,BROOKINGS,SD,SUP
1547,E,21,246,LAFAYETTE,IN,SUP
1550,M,54,388,GUNNISON,CO,W/M
1553,E,25,264,BLOOMINGDALE,IL,SUP
1563,M,57,448,LANCASTER,CA,SUP
1572,M,54,582,VERNAL,UT,SUP
1577,M,52,424,BUFFALO,MN,SUP
1580,E,41,249,INDIANAPOLIS,IN,SUP
1586,A,2,26,AUSTELL,GA,SUP
1587,M,56,450,MODESTO,CA,W/M
1604,M,47,430,RAPID CITY,SD,SUP
1617,M,47,381,CASPER,WY,SUP
1625,M,52,426,LE MARS,IA,SUP
1626,B,44,352,OKLAHOMA CITY,OK,SUP
1640,F,22,237,STATE COLLEGE,PA,SUP
1645,M,57,581,HANFORD,CA,SUP
1647,E,21,248,DECATUR,IN,SUP
1651,M,56,452,AMERICAN CANYON,CA,SUP
1660,M,57,448,PALMDALE,CA,SUP
1668,E,25,269,GURNEE,IL,SUP
1679,E,53,438,ONALASKA,WI,SUP
1691,E,40,362,OVERLAND PARK,KS,W/M
1695,M,47,427,DEVILS LAKE,ND,SUP
1723,M,52,413,DES MOINES,IA,SUP
1724,E,20,216,MILLERSBURG,OH,SUP
1732,M,52,414,DENISON,IA,SUP
1742,F,22,165,TURNERSVILLE,NJ,SUP
1800,B,5,583,GARLAND,TX,SUP
1801,B,5,44,ARLINGTON,TX,SUP
1803,B,7,87,SAN ANTONIO,TX,SUP
1804,E,21,248,FORT WAYNE,IN,SUP
1814,E,25,264,ELGIN,IL,SUP
1833,F,75,291,FREDERICKSBURG,VA,SUP
1837,B,6,59,HUMBLE,TX,SUP
1852,F,75,291,WOODBRIDGE,VA,SUP
1856,F,16,179,BANGOR,ME,SUP
1882,M,57,581,SELMA,CA,SUP
1889,M,60,475,ISLAND CITY,OR,SUP
1890,F,22,285,SALISBURY,MD,SUP
1898,E,25,264,SAINT CHARLES,IL,SUP
1900,M,56,400,BURLEY,ID,SUP
1908,E,53,440,GREEN BAY,WI,SUP
1913,E,19,207,BOWLING GREEN,OH,SUP
1915,M,58,463,YUCCA VALLEY,CA,SUP
1917,M,58,459,SANTEE,CA,W/M
1933,E,25,267,NORTHLAKE,IL,W/M
1942,E,19,200,HOLLAND,MI,SUP
1951,M,56,399,ONTARIO,OR,SUP
1952,M,52,422,FRIDLEY,MN,SUP
1959,F,17,164,MIDDLETOWN,NY,SUP
1965,M,47,432,COUNCIL BLUFFS,IA,SUP
1991,E,41,251,BLOOMINGTON,IN,SUP
1995,M,56,400,CHUBBUCK,ID,SUP
1998,E,25,267,SKOKIE,IL,SUP
2007,M,60,473,MOSES LAKE,WA,SUP
2038,F,76,292,STERLING,VA,SUP
2050,M,57,396,HENDERSON,NV,SUP
2086,B,5,56,PLANO,TX,SUP
2105,B,5,53,DALLAS,TX,SUP
2125,M,54,380,LAKEWOOD,CO,SUP
2133,B,7,82,AUSTIN,TX,SUP
2136,F,75,291,CULPEPER,VA,SUP
2161,M,56,511,PLEASANTON,CA,W/M
2192,E,53,436,HOUGHTON,MI,SUP
2194,F,76,283,ALEXANDRIA,VA,W/M
2204,E,25,267,FOREST PARK,IL,SUP
2214,F,4,41,COLUMBIA,SC,SUP
2248,F,75,293,CATONSVILLE,MD,W/M
2258,F,76,283,ALEXANDRIA,VA,W/M
2279,F,75,282,GLEN BURNIE,MD,SUP
2307,M,54,403,SOUTH JORDAN,UT,SUP
2326,F,76,194,HORNELL,NY,W/M
2360,A,2,23,DUNWOODYT,GA,SUP
2362,E,20,209,SOUTH EUCLID,OH,SUP
2370,F,16,188,TROY,NY,SUP
2403,M,60,514,PUYALLUP,WA,SUP
2433,O,64,561,GARLAND,TX,WNM
2452,E,53,444,MILWAUKEE,WI,SUP
2506,E,20,208,RAVENNA,OH,SUP
2508,M,56,399,BOISE,ID,SUP
2532,E,53,263,BELOIT,WI,SUP
2536,M,57,581,TULARE,CA,W/M
2542,E,21,222,OTTAWA,OH,SUP
2571,M,60,514,FEDERAL WAY,WA,W/M
2575,A,42,326,CONWAY,AR,SUP
2580,F,4,300,CLINTON,NC,SUP
2584,A,2,23,TUCKER,GA,SUP
2587,A,42,326,CABOT,AR,SUP
2621,M,57,446,SIMI VALLEY,CA,W/M
2652,B,46,384,GRANTS,NM,SUP
2668,E,53,435,STURTEVANT,WI,SUP
2671,B,46,373,CHANDLER,AZ,SUP
2683,F,16,154,HADLEY,MA,W/M
2686,O,72,534,BENTONVILLE,AR,WNM
2690,A,11,137,MADISON,AL,SUP
2691,E,41,243,NEW ALBANY,IN,SUP
2708,M,58,460,TEMECULA,CA,SUP
2713,A,14,3,BIRMINGHAM,AL,SUP
2718,B,6,64,HOUSTON,TX,W/M
2729,M,54,378,FORT COLLINS,CO,SUP
2732,A,2,22,VILLA RICA,GA,SUP
2733,A,2,32,PERRY,GA,SUP
2734,B,44,353,NORMAN,OK,SUP
2740,A,3,112,TAMPA,FL,SUP
2742,O,72,534,SPRINGDALE,AR,WNM
2757,A,12,151,MURFREESBORO,TN,SUP
2762,F,75,312,FAIRLAWN,VA,SUP
2764,M,52,414,ALTOONA,IA,SUP
2780,M,56,399,CALDWELL,ID,SUP
2783,E,41,260,LEXINGTON,KY,SUP
2811,A,2,21,ATHENS,GA,SUP
2815,E,25,268,ROLLING MEADOWS,IL,W/M
2818,E,19,238,HAMMOND,IN,SUP
2820,M,52,421,WORTHINGTON,MN,SUP
2831,M,56,400,JEROME,ID,SUP
2834,B,5,50,FORT WORTH,TX,SUP
2838,M,57,396,HENDERSON,NV,SUP
2847,M,47,433,BELLEVUE,NE,SUP
2862,M,56,399,MERIDIAN,ID,SUP
2866,E,19,203,OKEMOS,MI,W/M
2884,M,57,394,LAS VEGAS,NV,SUP
2902,F,16,159,FRAMINGHAM,MA,W/M
2905,F,17,164,SUFFERN,NY,W/M
2912,E,19,197,TAYLOR,MI,SUP
2938,B,13,132,LAFAYETTE,LA,SUP
2945,F,22,167,PARKESBURG,PA,SUP
2956,E,25,262,SHOREWOOD,IL,SUP
2968,E,41,243,CARROLLTON,KY,SUP
2973,B,5,51,MURPHY,TX,SUP
2978,B,5,44,FORT WORTH,TX,SUP
2980,B,5,479,FORT WORTH,TX,SUP
2996,B,5,53,DALLAS,TX,SUP
3018,M,54,389,FOUNTAIN,CO,SUP
3053,M,60,471,EVERETT,WA,SUP
3055,B,44,345,CATOOSA,OK,SUP
3059,A,11,140,CANTON,MS,SUP
3118,A,2,20,DECATUR,GA,SUP
3150,M,47,432,COUNCIL BLUFFS,IA,SUP
3192,F,4,35,GREENVILLE,SC,SUP
3197,A,3,112,TAMPA,FL,SUP
3206,E,21,222,LIMA,OH,SUP
3207,A,3,94,SANFORD,FL,SUP
3225,B,5,583,ROWLETT,TX,SUP
3226,B,6,65,KATY,TX,SUP
3230,A,42,324,BRYANT,AR,SUP
3252,F,22,166,BOOTHWYN,PA,W/M
3259,M,47,383,MISSOULA,MT,SUP
3261,M,60,475,RICHLAND,WA,SUP
3267,M,47,432,OMAHA,NE,SUP
3278,M,47,433,LINCOLN,NE,SUP
3284,B,5,44,ARLINGTON,TX,SUP
3292,F,17,176,UNION,NJ,W/M
3294,E,41,242,LOUISVILLE,KY,SUP
3295,B,44,356,BROKEN ARROW,OK,SUP
3298,B,6,60,KEMAH,TX,SUP
3350,M,57,394,LAS VEGAS,NV,SUP
3351,M,57,394,LAS VEGAS,NV,SUP
3355,O,61,397,LAS VEGAS,NV,WNM
3363,E,41,254,OWENSBORO,KY,SUP
3380,M,60,475,PASCO,WA,SUP
3389,A,2,25,SNELLVILLE,GA,SUP
3400,E,25,265,OSWEGO,IL,SUP
3402,A,2,19,STOCKBRIDGE,GA,SUP
3403,A,2,26,DALLAS,GA,SUP
3406,B,5,51,DALLAS,TX,SUP
3419,O,64,58,FORT WORTH,TX,WNM
3430,B,44,352,OKLAHOMA CITY,OK,SUP
3433,B,5,49,RED OAK,TX,SUP
3439,A,14,15,NAVARRE,FL,SUP
3447,E,21,219,WHITEHALL,OH,SUP
3457,O,64,507,TULSA,OK,WNM
3460,E,25,278,PEORIA,IL,SUP
3461,A,14,16,PEACHTREE CITY,GA,SUP
3471,A,2,26,KENNESAW,GA,SUP
3473,M,57,394,LAS VEGAS,NV,SUP
3486,E,21,218,ATHENS,OH,SUP
3492,B,44,409,WICHITA,KS,SUP
3495,A,12,149,CLARKSVILLE,TN,SUP
3510,B,6,62,PEARLAND,TX,SUP
3528,B,13,143,WIGGINS,MS,SUP
3569,B,7,83,AUSTIN,TX,SUP
3570,A,2,30,EVANS,GA,SUP
3573,F,76,286,MANASSAS,VA,SUP
3597,E,25,270,BELVIDERE,IL,SUP
3601,E,25,266,CRESTWOOD,IL,SUP
3602,E,25,275,SPRINGFIELD,IL,SUP
3611,A,2,26,MARIETTA,GA,SUP
3612,F,26,296,BURLINGTON,NC,SUP
3620,M,54,403,RIVERTON,UT,SUP
3621,A,2,23,CHAMBLEE,GA,SUP
3631,B,5,44,CROWLEY,TX,SUP
3639,F,76,292,DULLES,VA,SUP
3652,M,56,453,WEST SACRAMENTO,CA,SUP
3654,O,72,534,ROGERS,AR,WNM
3658,F,26,298,GREENSBORO,NC,SUP
3659,A,12,119,CHATTANOOGA,TN,SUP
3702,A,3,98,JACKSONVILLE,FL,SUP
3710,A,2,20,DECATUR,GA,SUP
3729,M,56,392,SPARKS,NV,SUP
3734,M,47,430,VERMILLION,SD,SUP
3739,M,56,399,NAMPA,ID,SUP
3748,A,2,26,ACWORTH,GA,SUP
3773,B,5,479,FORT WORTH,TX,SUP
3777,B,5,56,FRISCO,TX,SUP
3786,A,2,25,BUFORD,GA,SUP
3789,M,54,401,OGDEN,UT,SUP
3790,E,25,265,LOCKPORT,IL,SUP
3794,M,60,514,FEDERAL WAY,WA,SUP
3803,F,17,173,WEST HAVEN,CT,W/M
3817,O,72,559,ORLANDO,FL,WNM
3823,M,47,433,LINCOLN,NE,SUP
3826,B,7,71,LUBBOCK,TX,SUP
3827,B,6,64,RICHMOND,TX,SUP
3828,B,13,46,LONGVIEW,TX,SUP
3829,A,12,124,JOHNSON CITY,TN,SUP
3840,E,21,222,FINDLAY,OH,SUP
3853,M,47,430,HURON,SD,SUP
3864,F,26,302,JACKSONVILLE,NC,SUP
3875,M,47,427,WAHPETON,ND,SUP
3877,A,3,93,GAINESVILLE,FL,SUP
3884,B,46,367,TUCSON,AZ,SUP
3891,E,25,269,WAUKEGAN,IL,SUP
3893,E,25,269,ZION,IL,SUP
3894,E,21,259,LEXINGTON,KY,SUP
3897,M,56,400,TWIN FALLS,ID,SUP
3988,O,61,557,SPANISH FORK,UT,WNM
4064,F,75,289,VIRGINIA BEACH,VA,SUP
4068,M,54,582,SPANISH FORK,UT,SUP
4103,B,7,77,DEVINE,TX,SUP
4108,A,42,323,SPRINGDALE,AR,SUP
4130,B,7,82,KYLE,TX,SUP
4137,M,60,467,TACOMA,WA,SUP
4163,B,7,82,CEDAR PARK,TX,SUP
4168,A,42,326,BEEBE,AR,SUP
4183,B,6,85,BRYAN,TX,SUP
4185,A,2,24,CUMMING,GA,SUP
4216,E,41,580,COLUMBUS,IN,SUP
4241,B,44,352,STILLWATER,OK,SUP
4252,M,58,364,FLAGSTAFF,AZ,SUP
4256,M,52,414,AMES,IA,SUP
4272,M,54,401,LOGAN,UT,SUP
4358,M,47,432,OMAHA,NE,SUP
5022,B,13,125,NEW ORLEANS,LA,SUP
5095,F,17,163,HARTFORD,CT,SUP
5104,E,21,223,MORAINE,OH,SUP
5390,A,2,26,MARIETTA,GA,SUP
5439,F,17,163,NEW HAVEN,CT,SUP
5626,B,46,367,TUCSON,AZ,SUP
5823,B,5,583,DALLAS,TX,SUP
5851,F,26,301,GREENVILLE,NC,SUP
5880,F,76,292,FAIRFAX,VA,SUP
