Store,Received as a PDQ IDFEATWK50,Received as a Sidekick SKFEATWK51,Sum of Total Cost Charged,Sum of Total Retail charged
457,,1,-259.51,-659.46
458,,1,-259.51,-659.46
459,1,1,-375.85,-1019.1
461,,1,-259.51,-659.46
462,1,,-116.34,-359.64
463,,1,-259.51,-659.46
464,1,,-116.34,-359.64
465,1,1,-375.85,-1019.1
466,,1,-259.51,-659.46
467,,1,-259.51,-659.46
468,,1,-259.51,-659.46
469,,1,-259.51,-659.46
470,,1,-259.51,-659.46
471,,1,-259.51,-659.46
472,,1,-259.51,-659.46
473,1,,-116.34,-359.64
475,,1,-259.51,-659.46
476,,1,-259.51,-659.46
477,,1,-259.51,-659.46
479,1,,-116.34,-359.64
482,1,,-116.34,-359.64
483,1,1,-375.85,-1019.1
484,1,1,-375.85,-1019.1
485,,1,-259.51,-659.46
486,1,1,-375.85,-1019.1
488,,1,-259.51,-659.46
489,1,1,-375.85,-1019.1
490,,1,-259.51,-659.46
491,,1,-259.51,-659.46
492,1,1,-375.85,-1019.1
493,1,,-116.34,-359.64
494,,1,-259.51,-659.46
495,1,1,-375.85,-1019.1
500,,1,-259.51,-659.46
501,1,1,-375.85,-1019.1
502,1,1,-375.85,-1019.1
504,1,1,-375.85,-1019.1
505,,1,-259.51,-659.46
507,,1,-259.51,-659.46
510,1,1,-375.85,-1019.1
511,1,1,-375.85,-1019.1
512,,1,-259.51,-659.46
513,1,1,-375.85,-1019.1
514,1,1,-375.85,-1019.1
515,1,1,-375.85,-1019.1
516,1,,-116.34,-359.64
517,,1,-259.51,-659.46
518,,1,-259.51,-659.46
519,,1,-259.51,-659.46
520,1,1,-375.85,-1019.1
521,,1,-259.51,-659.46
522,1,1,-375.85,-1019.1
524,1,1,-375.85,-1019.1
527,1,1,-375.85,-1019.1
528,,2,-519.02,-1318.92
529,,1,-259.51,-659.46
530,1,1,-375.85,-1019.1
531,1,,-116.34,-359.64
532,,1,-259.51,-659.46
533,1,1,-375.85,-1019.1
535,,1,-259.51,-659.46
536,1,,-116.34,-359.64
538,,1,-259.51,-659.46
539,,1,-259.51,-659.46
540,1,1,-375.85,-1019.1
541,1,1,-375.85,-1019.1
543,,1,-259.51,-659.46
544,1,1,-375.85,-1019.1
547,1,2,-635.36,-1678.56
548,,1,-259.51,-659.46
549,1,,-116.34,-359.64
550,1,1,-375.85,-1019.1
552,1,,-116.34,-359.64
553,,1,-259.51,-659.46
554,,1,-259.51,-659.46
555,,1,-259.51,-659.46
556,,1,-259.51,-659.46
558,1,1,-375.85,-1019.1
560,1,1,-375.85,-1019.1
561,,1,-259.51,-659.46
562,,1,-259.51,-659.46
563,,1,-259.51,-659.46
564,1,1,-375.85,-1019.1
566,1,,-116.34,-359.64
568,,1,-259.51,-659.46
569,,1,-259.51,-659.46
572,,1,-259.51,-659.46
573,1,1,-375.85,-1019.1
574,1,1,-375.85,-1019.1
576,1,1,-375.85,-1019.1
577,1,1,-375.85,-1019.1
578,1,1,-375.85,-1019.1
579,,1,-259.51,-659.46
580,,2,-519.02,-1318.92
581,,1,-259.51,-659.46
583,,1,-259.51,-659.46
585,1,,-116.34,-359.64
586,1,,-116.34,-359.64
587,1,1,-375.85,-1019.1
588,,1,-259.51,-659.46
590,1,1,-375.85,-1019.1
592,1,,-116.34,-359.64
593,,1,-259.51,-659.46
594,,1,-259.51,-659.46
598,1,1,-375.85,-1019.1
599,1,,-116.34,-359.64
601,1,,-116.34,-359.64
603,,1,-259.51,-659.46
604,,1,-259.51,-659.46
605,,1,-259.51,-659.46
606,1,1,-375.85,-1019.1
608,,1,-259.51,-659.46
609,2,1,-492.19,-1378.74
610,,1,-259.51,-659.46
611,,1,-259.51,-659.46
612,,1,-259.51,-659.46
613,1,1,-375.85,-1019.1
614,,1,-259.51,-659.46
615,,1,-259.51,-659.46
616,,1,-259.51,-659.46
619,1,1,-375.85,-1019.1
620,1,,-116.34,-359.64
621,1,1,-375.85,-1019.1
622,,1,-259.51,-659.46
623,,1,-259.51,-659.46
624,,1,-259.51,-659.46
625,1,1,-375.85,-1019.1
627,1,1,-375.85,-1019.1
628,1,1,-375.85,-1019.1
629,1,1,-375.85,-1019.1
630,1,,-116.34,-359.64
631,1,,-116.34,-359.64
632,1,,-116.34,-359.64
633,,1,-259.51,-659.46
634,1,1,-375.85,-1019.1
635,1,1,-375.85,-1019.1
636,,1,-259.51,-659.46
637,1,,-116.34,-359.64
638,,1,-259.51,-659.46
639,,1,-259.51,-659.46
640,1,1,-375.85,-1019.1
641,,1,-259.51,-659.46
642,,1,-259.51,-659.46
643,1,1,-375.85,-1019.1
644,,1,-259.51,-659.46
645,1,1,-375.85,-1019.1
646,,1,-259.51,-659.46
648,2,,-340.2,-719.28
651,1,,-116.34,-359.64
652,1,1,-375.85,-1019.1
655,,1,-259.51,-659.46
656,1,1,-375.85,-1019.1
657,1,,-116.34,-359.64
658,1,,-116.34,-359.64
659,1,,-116.34,-359.64
661,1,,-116.34,-359.64
662,,1,-259.51,-659.46
663,1,,-116.34,-359.64
666,,1,-259.51,-659.46
667,,1,-259.51,-659.46
668,1,1,-375.85,-1019.1
669,,1,-259.51,-659.46
671,1,1,-375.85,-1019.1
672,1,,-116.34,-359.64
673,1,1,-375.85,-1019.1
674,1,1,-375.85,-1019.1
675,1,,-116.34,-359.64
676,1,1,-375.85,-1019.1
677,1,,-116.34,-359.64
678,1,,-116.34,-359.64
681,,1,-259.51,-659.46
682,1,1,-375.85,-1019.1
683,,1,-259.51,-659.46
684,1,,-116.34,-359.64
685,,1,-259.51,-659.46
687,1,1,-375.85,-1019.1
688,1,1,-375.85,-1019.1
690,1,,-116.34,-359.64
691,1,,-116.34,-359.64
692,,1,-259.51,-659.46
693,,1,-259.51,-659.46
694,,1,-259.51,-659.46
695,1,1,-375.85,-1019.1
697,,1,-259.51,-659.46
698,1,,-116.34,-359.64
699,,1,-259.51,-659.46
703,,1,-259.51,-659.46
705,,1,-259.51,-659.46
706,,1,-259.51,-659.46
707,,1,-259.51,-659.46
710,1,1,-375.85,-1019.1
712,1,,-116.34,-359.64
713,,1,-259.51,-659.46
716,1,1,-375.85,-1019.1
718,,1,-259.51,-659.46
721,,1,-259.51,-659.46
722,1,1,-375.85,-1019.1
723,1,1,-375.85,-1019.1
724,1,,-116.34,-359.64
725,1,1,-375.85,-1019.1
726,,1,-259.51,-659.46
727,1,1,-375.85,-1019.1
728,,1,-259.51,-659.46
729,,1,-259.51,-659.46
730,1,,-116.34,-359.64
731,1,1,-375.85,-1019.1
734,1,1,-375.85,-1019.1
736,,1,-259.51,-659.46
737,,1,-259.51,-659.46
738,1,1,-375.85,-1019.1
739,,1,-259.51,-659.46
740,,1,-259.51,-659.46
741,1,,-116.34,-359.64
742,,1,-259.51,-659.46
743,,1,-259.51,-659.46
744,,1,-259.51,-659.46
745,,1,-259.51,-659.46
746,,1,-259.51,-659.46
747,2,,-340.2,-719.28
748,1,1,-375.85,-1019.1
749,,1,-259.51,-659.46
751,,1,-259.51,-659.46
752,1,1,-375.85,-1019.1
753,,1,-259.51,-659.46
754,1,1,-375.85,-1019.1
755,,1,-259.51,-659.46
757,,1,-259.51,-659.46
758,1,1,-375.85,-1019.1
759,,1,-259.51,-659.46
761,,1,-259.51,-659.46
762,1,1,-375.85,-1019.1
764,,1,-259.51,-659.46
765,,1,-259.51,-659.46
766,1,1,-375.85,-1019.1
767,1,1,-375.85,-1019.1
768,,1,-259.51,-659.46
770,1,1,-375.85,-1019.1
771,,1,-259.51,-659.46
773,1,1,-375.85,-1019.1
774,1,1,-375.85,-1019.1
775,1,1,-375.85,-1019.1
776,1,,-116.34,-359.64
777,,1,-259.51,-659.46
778,,1,-259.51,-659.46
779,,1,-259.51,-659.46
780,,1,-259.51,-659.46
782,,1,-259.51,-659.46
785,,1,-259.51,-659.46
786,,1,-259.51,-659.46
787,,1,-259.51,-659.46
790,5,1,-1163.77,-2457.66
791,1,,-116.34,-359.64
793,1,1,-375.85,-1019.1
794,,1,-259.51,-659.46
795,1,1,-375.85,-1019.1
796,,1,-259.51,-659.46
797,,1,-259.51,-659.46
799,1,1,-375.85,-1019.1
800,1,1,-375.85,-1019.1
801,,1,-259.51,-659.46
802,1,,-116.34,-359.64
803,,1,-259.51,-659.46
804,,1,-259.51,-659.46
805,2,,-340.2,-719.28
806,1,,-116.34,-359.64
807,,1,-259.51,-659.46
809,1,1,-375.85,-1019.1
810,1,,-116.34,-359.64
812,1,1,-375.85,-1019.1
813,1,,-116.34,-359.64
814,,1,-259.51,-659.46
815,2,,-340.2,-719.28
817,,1,-259.51,-659.46
818,1,1,-375.85,-1019.1
819,,1,-259.51,-659.46
820,2,,-340.2,-719.28
821,1,,-116.34,-359.64
822,1,1,-375.85,-1019.1
823,1,1,-375.85,-1019.1
824,,1,-259.51,-659.46
825,,1,-259.51,-659.46
826,,1,-259.51,-659.46
827,,1,-259.51,-659.46
828,1,,-116.34,-359.64
829,1,2,-622.38,-1678.56
831,,1,-259.51,-659.46
833,,1,-259.51,-659.46
834,,1,-259.51,-659.46
835,,1,-259.51,-659.46
836,,1,-259.51,-659.46
838,,1,-259.51,-659.46
841,1,,-116.34,-359.64
842,5,2,-1423.28,-3117.12
846,,1,-259.51,-659.46
847,1,1,-375.85,-1019.1
849,,1,-259.51,-659.46
852,,1,-259.51,-659.46
853,,1,-259.51,-659.46
854,2,,-340.2,-719.28
855,1,1,-375.85,-1019.1
856,,1,-259.51,-659.46
857,1,1,-375.85,-1019.1
858,,1,-259.51,-659.46
859,1,1,-375.85,-1019.1
860,,1,-259.51,-659.46
861,,1,-259.51,-659.46
862,,1,-259.51,-659.46
864,,1,-259.51,-659.46
866,,1,-259.51,-659.46
867,,1,-259.51,-659.46
868,1,1,-375.85,-1019.1
869,4,2,-1199.42,-2757.48
870,1,,-223.86,-359.64
872,,1,-259.51,-659.46
873,,1,-259.51,-659.46
874,,1,-259.51,-659.46
875,,1,-259.51,-659.46
876,1,1,-375.85,-1019.1
877,1,1,-375.85,-1019.1
878,,1,-259.51,-659.46
879,,1,-259.51,-659.46
880,1,1,-375.85,-1019.1
881,1,1,-375.85,-1019.1
882,1,1,-375.85,-1019.1
884,1,,-223.86,-359.64
889,,1,-259.51,-659.46
890,1,1,-375.85,-1019.1
891,,1,-259.51,-659.46
892,,1,-259.51,-659.46
894,,1,-259.51,-659.46
897,,1,-259.51,-659.46
898,,1,-259.51,-659.46
899,,1,-259.51,-659.46
902,1,,-223.86,-359.64
903,,1,-259.51,-659.46
904,,1,-259.51,-659.46
905,4,,-680.4,-1438.56
906,1,,-116.34,-359.64
907,,1,-259.51,-659.46
908,1,1,-375.85,-1019.1
910,1,1,-375.85,-1019.1
912,,1,-259.51,-659.46
913,,1,-259.51,-659.46
914,1,1,-375.85,-1019.1
915,,1,-259.51,-659.46
916,1,,-116.34,-359.64
917,,1,-259.51,-659.46
918,,1,-259.51,-659.46
919,,1,-259.51,-659.46
923,2,,-340.2,-719.28
924,3,,-564.06,-1078.92
925,,1,-259.51,-659.46
927,1,1,-375.85,-1019.1
928,1,1,-375.85,-1019.1
929,,1,-259.51,-659.46
930,,1,-259.51,-659.46
931,,1,-259.51,-659.46
932,,1,-259.51,-659.46
934,,1,-259.51,-659.46
935,,1,-259.51,-659.46
936,2,,-340.2,-719.28
937,,1,-259.51,-659.46
939,1,1,-375.85,-1019.1
940,,1,-259.51,-659.46
941,,1,-259.51,-659.46
942,,1,-259.51,-659.46
943,,1,-259.51,-659.46
944,,1,-259.51,-659.46
945,1,1,-375.85,-1019.1
948,1,1,-375.85,-1019.1
950,1,1,-375.85,-1019.1
951,,1,-259.51,-659.46
952,,1,-259.51,-659.46
953,3,1,-823.57,-1738.38
954,,1,-259.51,-659.46
955,,1,-259.51,-659.46
956,1,1,-375.85,-1019.1
958,1,1,-375.85,-1019.1
959,,1,-259.51,-659.46
960,1,1,-375.85,-1019.1
961,,1,-259.51,-659.46
962,3,1,-823.57,-1738.38
963,1,1,-375.85,-1019.1
964,,1,-259.51,-659.46
965,1,1,-375.85,-1019.1
966,1,1,-375.85,-1019.1
967,,1,-259.51,-659.46
968,1,1,-375.85,-1019.1
969,,1,-259.51,-659.46
970,,1,-259.51,-659.46
971,1,1,-375.85,-1019.1
973,,1,-259.51,-659.46
974,,1,-259.51,-659.46
975,,1,-259.51,-659.46
977,,1,-259.51,-659.46
978,1,1,-375.85,-1019.1
979,1,,-116.34,-359.64
980,3,1,-823.57,-1738.38
981,,1,-259.51,-659.46
984,3,1,-823.57,-1738.38
986,3,1,-823.57,-1738.38
987,,1,-259.51,-659.46
988,,1,-259.51,-659.46
989,1,1,-375.85,-1019.1
990,1,1,-375.85,-1019.1
991,,1,-259.51,-659.46
992,,1,-259.51,-659.46
993,1,1,-375.85,-1019.1
994,,1,-259.51,-659.46
995,1,,-223.86,-359.64
996,2,,-340.2,-719.28
999,1,1,-375.85,-1019.1
1000,,1,-259.51,-659.46
1001,3,1,-823.57,-1738.38
1002,1,,-223.86,-359.64
1005,,1,-259.51,-659.46
1006,1,,-116.34,-359.64
1007,1,1,-375.85,-1019.1
1008,3,,-564.06,-1078.92
1009,1,,-116.34,-359.64
1010,1,1,-375.85,-1019.1
1011,1,,-116.34,-359.64
1012,1,1,-375.85,-1019.1
1014,1,1,-375.85,-1019.1
1016,,1,-259.51,-659.46
1017,,1,-259.51,-659.46
1019,3,,-564.06,-1078.92
1020,1,,-116.34,-359.64
1021,2,,-340.2,-719.28
1022,1,1,-375.85,-1019.1
1023,1,1,-375.85,-1019.1
1024,1,1,-375.85,-1019.1
1025,1,1,-375.85,-1019.1
1026,2,1,-599.71,-1378.74
1027,1,,-116.34,-359.64
1028,,1,-259.51,-659.46
1030,,1,-259.51,-659.46
1033,1,,-223.86,-359.64
1034,1,1,-375.85,-1019.1
1035,1,1,-375.85,-1019.1
1036,1,1,-375.85,-1019.1
1037,,1,-259.51,-659.46
1038,,1,-259.51,-659.46
1039,1,1,-375.85,-1019.1
1040,,1,-259.51,-659.46
1041,,1,-259.51,-659.46
1042,,1,-259.51,-659.46
1043,,1,-259.51,-659.46
1044,,1,-259.51,-659.46
1045,3,1,-823.57,-1738.38
1047,1,1,-375.85,-1019.1
1051,,1,-259.51,-659.46
1052,,1,-259.51,-659.46
1054,1,1,-375.85,-1019.1
1055,,1,-259.51,-659.46
1056,,1,-259.51,-659.46
1058,3,,-564.06,-1078.92
1059,,1,-259.51,-659.46
1060,1,1,-375.85,-1019.1
1061,,1,-259.51,-659.46
1063,,1,-259.51,-659.46
1064,1,1,-375.85,-1019.1
1065,1,1,-375.85,-1019.1
1066,,1,-259.51,-659.46
1068,,1,-259.51,-659.46
1069,,1,-259.51,-659.46
1070,,1,-259.51,-659.46
1071,2,,-340.2,-719.28
1072,1,1,-375.85,-1019.1
1073,,1,-259.51,-659.46
1074,,1,-259.51,-659.46
1075,1,1,-375.85,-1019.1
1076,1,1,-375.85,-1019.1
1077,,1,-259.51,-659.46
1079,,1,-259.51,-659.46
1080,1,,-116.34,-359.64
1081,,1,-259.51,-659.46
1082,1,1,-375.85,-1019.1
1083,1,1,-375.85,-1019.1
1084,,1,-259.51,-659.46
1085,,1,-259.51,-659.46
1086,,1,-259.51,-659.46
1087,,1,-259.51,-659.46
1088,1,1,-375.85,-1019.1
1089,1,1,-375.85,-1019.1
1090,,1,-259.51,-659.46
1091,1,1,-375.85,-1019.1
1094,1,,-116.34,-359.64
1095,3,,-564.06,-1078.92
1096,1,1,-375.85,-1019.1
1097,1,,-116.34,-359.64
1099,1,1,-375.85,-1019.1
1102,,1,-259.51,-659.46
1103,,1,-259.51,-659.46
1104,,1,-259.51,-659.46
1105,1,1,-375.85,-1019.1
1106,,1,-259.51,-659.46
1107,,1,-259.51,-659.46
1109,,1,-259.51,-659.46
1111,,1,-259.51,-659.46
1112,,1,-259.51,-659.46
1113,1,,-116.34,-359.64
1114,,1,-259.51,-659.46
1115,1,1,-375.85,-1019.1
1118,,1,-259.51,-659.46
1119,,1,-259.51,-659.46
1120,1,,-116.34,-359.64
1121,,1,-259.51,-659.46
1122,,1,-259.51,-659.46
1123,,1,-259.51,-659.46
1124,1,,-116.34,-359.64
1125,,1,-259.51,-659.46
