Region,Market,Store Number,Fashion Op Model Tier,Fashion Coach?,Coach Action,Total TL Headcount,Go-Live Week,Fashion Stocking Team Hours
17,175,2633,2,YES,MOVE EXISTING,4,WK 37,120
17,175,2651,1,YES,MOVE EXISTING,4,WK 37,140
17,175,2825,1,YES,HIRE,4,WK 37,140
17,175,3078,2,YES,MOVE EXISTING,4,WK 37,120
17,175,3469,1,YES,MOVE EXISTING,4,WK 37,140
17,175,4153,2,YES,HIRE,4,WK 37,120
17,175,5201,2,YES,MOVE EXISTING,4,WK 37,120
17,175,5281,1,YES,HIRE,4,WK 37,140
17,176,3292,1,YES,MOVE EXISTING,4,WK 37,140
17,176,3598,2,YES,MOVE EXISTING,4,WK 37,120
17,176,3912,2,YES,HIRE,4,WK 37,120
17,176,5111,1,YES,HIRE,4,WK 37,140
17,176,5178,2,YES,MOVE EXISTING,4,WK 37,120
17,176,5447,1,YES,MOVE EXISTING,4,WK 37,140
17,176,5867,2,YES,MOVE EXISTING,4,WK 37,120
17,190,1781,2,YES,MOVE EXISTING,4,WK 37,120
17,190,1835,1,YES,MOVE EXISTING,4,WK 37,140
17,190,1976,1,YES,MOVE EXISTING,4,WK 37,140
17,190,2120,2,YES,HIRE,4,WK 37,120
17,190,2135,3,NO,-,4,WK 37,80
17,190,2262,2,YES,MOVE EXISTING,4,WK 37,120
17,190,2992,2,YES,MOVE EXISTING,4,WK 37,120
17,190,3221,3,NO,-,4,WK 37,80
17,190,5240,3,NO,-,4,WK 37,80
17,190,5732,2,YES,HIRE,4,WK 37,120
17,226,1623,1,YES,MOVE EXISTING,4,WK 37,140
17,226,1884,1,YES,MOVE EXISTING,4,WK 37,140
17,226,1945,3,NO,-,4,WK 37,80
17,226,2024,2,YES,HIRE,4,WK 37,120
17,226,2208,2,YES,MOVE EXISTING,4,WK 37,120
17,226,2480,2,YES,HIRE,4,WK 37,120
17,226,2543,2,YES,HIRE,4,WK 37,120
17,226,4276,2,YES,HIRE,4,WK 37,120
26,296,1191,2,YES,HIRE,4,WK 37,120
26,296,1287,2,YES,MOVE EXISTING,4,WK 37,120
26,296,1288,3,NO,-,4,WK 37,80
26,296,1579,3,NO,-,4,WK 37,80
26,296,2137,2,YES,MOVE EXISTING,4,WK 37,120
26,296,2256,2,YES,HIRE,4,WK 37,120
26,296,2845,3,NO,-,4,WK 37,80
26,296,3182,3,NO,-,4,WK 37,80
26,296,3612,2,YES,MOVE EXISTING,4,WK 37,120
26,296,5346,2,YES,MOVE EXISTING,4,WK 37,120
26,297,1614,2,YES,MOVE EXISTING,4,WK 37,120
26,297,1751,3,NO,-,3,WK 37,80
26,297,1816,3,NO,-,3,WK 37,80
26,297,1953,3,NO,-,3,WK 37,80
26,297,2058,2,YES,HIRE,4,WK 37,120
26,297,4250,2,YES,HIRE,4,WK 37,120
26,297,4484,2,YES,MOVE EXISTING,4,WK 37,120
26,297,5118,2,YES,MOVE EXISTING,4,WK 37,120
26,297,5254,2,YES,MOVE EXISTING,4,WK 37,120
26,297,5292,2,YES,MOVE EXISTING,4,WK 37,120
26,299,1237,2,YES,HIRE,4,WK 37,120
26,299,1321,1,YES,MOVE EXISTING,4,WK 37,140
26,299,1372,2,YES,MOVE EXISTING,4,WK 37,120
26,299,1664,1,YES,HIRE,4,WK 37,140
26,299,2247,2,YES,HIRE,4,WK 37,120
26,299,2836,2,YES,MOVE EXISTING,4,WK 37,120
26,299,3889,3,NO,-,4,WK 37,80
26,299,4458,3,NO,-,4,WK 37,80
26,299,4499,2,YES,HIRE,4,WK 37,120
26,299,4564,3,NO,-,4,WK 37,80
26,299,5046,2,YES,MOVE EXISTING,4,WK 37,120
26,299,5743,2,YES,HIRE,4,WK 37,120
26,301,1197,2,YES,MOVE EXISTING,4,WK 37,120
26,301,1354,2,YES,HIRE,4,WK 37,120
26,301,1379,2,YES,MOVE EXISTING,4,WK 37,120
26,301,1502,2,YES,MOVE EXISTING,4,WK 37,120
26,301,1527,1,YES,MOVE EXISTING,4,WK 37,140
26,301,1641,2,YES,HIRE,4,WK 37,120
26,301,1950,3,NO,-,3,WK 37,80
26,301,2000,2,YES,MOVE EXISTING,4,WK 37,120
26,301,2730,3,NO,-,3,WK 37,80
26,301,4459,3,NO,-,3,WK 37,80
26,301,5851,2,YES,HIRE,4,WK 37,120
26,302,1236,2,YES,MOVE EXISTING,4,WK 37,120
26,302,1298,1,YES,MOVE EXISTING,4,WK 37,140
26,302,1300,2,YES,MOVE EXISTING,4,WK 37,120
26,302,1355,2,YES,MOVE EXISTING,4,WK 37,120
26,302,1661,2,YES,HIRE,4,WK 37,120
26,302,3701,3,NO,-,3,WK 37,80
26,302,3825,2,YES,HIRE,4,WK 37,120
26,302,3864,2,YES,MOVE EXISTING,4,WK 37,120
26,302,7009,3,NO,-,4,WK 37,80
26,302,7179,2,YES,HIRE,4,WK 37,120
26,302,7238,3,NO,-,3,WK 37,80
26,304,948,2,YES,MOVE EXISTING,4,WK 37,120
26,304,1039,2,YES,MOVE EXISTING,4,WK 37,120
26,304,1060,2,YES,MOVE EXISTING,4,WK 37,120
26,304,1064,2,YES,MOVE EXISTING,4,WK 37,120
26,304,1096,2,YES,HIRE,4,WK 37,120
26,304,1131,3,NO,-,3,WK 37,80
26,304,1290,2,YES,HIRE,4,WK 37,120
26,304,1337,2,YES,HIRE,4,WK 37,120
26,304,1662,2,YES,MOVE EXISTING,4,WK 37,120
26,304,4224,2,YES,HIRE,4,WK 37,120
26,304,4410,2,YES,MOVE EXISTING,4,WK 37,120
26,305,1034,1,YES,MOVE EXISTING,4,WK 37,140
26,305,1209,2,YES,MOVE EXISTING,4,WK 37,120
26,305,1385,2,YES,MOVE EXISTING,4,WK 37,120
26,305,1464,1,YES,MOVE EXISTING,4,WK 37,140
26,305,4274,2,YES,MOVE EXISTING,4,WK 37,120
26,305,4594,3,NO,-,4,WK 37,80
26,305,5085,2,YES,MOVE EXISTING,4,WK 37,120
26,305,5298,2,YES,MOVE EXISTING,4,WK 37,120
26,305,5481,3,NO,-,4,WK 37,80
26,305,5745,2,YES,MOVE EXISTING,4,WK 37,120
26,306,1027,2,YES,HIRE,4,WK 37,120
26,306,1133,2,YES,MOVE EXISTING,4,WK 37,120
26,306,1156,1,YES,MOVE EXISTING,4,WK 37,140
26,306,1821,2,YES,HIRE,4,WK 37,120
26,306,2005,1,YES,MOVE EXISTING,4,WK 37,140
26,306,2134,2,YES,MOVE EXISTING,4,WK 37,120
26,306,4574,2,YES,HIRE,4,WK 37,120
26,306,5747,2,YES,HIRE,4,WK 37,120
26,306,5879,3,NO,-,4,WK 37,80
26,308,1322,2,YES,HIRE,4,WK 37,120
26,308,1552,2,YES,MOVE EXISTING,4,WK 37,120
26,308,1613,2,YES,HIRE,4,WK 37,120
26,308,1849,2,YES,MOVE EXISTING,4,WK 37,120
26,308,2472,2,YES,MOVE EXISTING,4,WK 37,120
26,308,2793,2,YES,MOVE EXISTING,4,WK 37,120
26,308,3503,2,YES,MOVE EXISTING,4,WK 37,120
26,308,3626,2,YES,MOVE EXISTING,4,WK 37,120
26,308,4477,2,YES,MOVE EXISTING,4,WK 37,120
26,308,6789,2,YES,HIRE,4,WK 37,120
26,309,877,1,YES,MOVE EXISTING,4,WK 37,140
26,309,1010,2,YES,MOVE EXISTING,4,WK 37,120
26,309,1097,2,YES,MOVE EXISTING,4,WK 37,120
26,309,1255,2,YES,HIRE,4,WK 37,120
26,309,1452,3,NO,-,3,WK 37,80
26,309,1666,2,YES,MOVE EXISTING,4,WK 37,120
26,309,2908,3,NO,-,3,WK 37,80
26,309,3371,2,YES,MOVE EXISTING,4,WK 37,120
26,309,3700,2,YES,HIRE,4,WK 37,120
26,309,5063,2,YES,MOVE EXISTING,4,WK 37,120
75,281,1968,2,YES,HIRE,4,WK 37,120
75,281,2009,3,NO,-,3,WK 37,80
75,281,2045,2,YES,MOVE EXISTING,4,WK 37,120
75,281,2577,2,YES,MOVE EXISTING,4,WK 37,120
75,281,3489,2,YES,HIRE,4,WK 37,120
75,281,3780,2,YES,MOVE EXISTING,4,WK 37,120
75,281,5450,2,YES,HIRE,4,WK 37,120
75,282,1875,1,YES,MOVE EXISTING,4,WK 37,140
75,282,2279,1,YES,MOVE EXISTING,4,WK 37,140
75,282,2435,1,YES,MOVE EXISTING,4,WK 37,140
75,282,3481,2,YES,HIRE,4,WK 37,120
75,282,3490,2,YES,HIRE,4,WK 37,120
75,282,5228,2,YES,HIRE,4,WK 37,120
75,282,5382,2,YES,MOVE EXISTING,4,WK 37,120
75,287,1525,2,YES,MOVE EXISTING,4,WK 37,120
75,287,1730,3,NO,-,4,WK 37,80
75,287,2295,2,YES,MOVE EXISTING,4,WK 37,120
75,287,2795,3,NO,-,4,WK 37,80
75,287,3219,2,YES,MOVE EXISTING,4,WK 37,120
75,287,3869,3,NO,-,3,WK 37,80
75,287,4191,3,NO,-,3,WK 37,80
75,287,4350,3,NO,-,3,WK 37,80
75,287,7032,2,YES,MOVE EXISTING,4,WK 37,120
75,288,1631,2,YES,MOVE EXISTING,4,WK 37,120
75,288,1682,2,YES,HIRE,4,WK 37,120
75,288,1687,2,YES,MOVE EXISTING,4,WK 37,120
75,288,1759,2,YES,HIRE,4,WK 37,120
75,288,1773,2,YES,MOVE EXISTING,4,WK 37,120
75,288,3214,2,YES,MOVE EXISTING,4,WK 37,120
75,288,3265,1,YES,HIRE,4,WK 37,140
75,288,3831,2,YES,MOVE EXISTING,4,WK 37,120
75,288,4623,3,NO,-,3,WK 37,80
75,289,1688,2,YES,HIRE,4,WK 37,120
75,289,1811,2,YES,MOVE EXISTING,4,WK 37,120
75,289,1841,1,YES,MOVE EXISTING,4,WK 37,140
75,289,2529,2,YES,MOVE EXISTING,4,WK 37,120
75,289,3216,2,YES,MOVE EXISTING,4,WK 37,120
75,289,3644,3,NO,-,4,WK 37,80
75,289,4064,2,YES,HIRE,4,WK 37,120
75,289,5253,2,YES,MOVE EXISTING,4,WK 37,120
75,289,5488,1,YES,MOVE EXISTING,4,WK 37,140
75,289,5922,3,NO,-,4,WK 37,80
75,290,1424,1,YES,MOVE EXISTING,4,WK 37,140
75,290,1523,2,YES,MOVE EXISTING,4,WK 37,120
75,290,1524,2,YES,MOVE EXISTING,4,WK 37,120
75,290,1969,2,YES,MOVE EXISTING,4,WK 37,120
75,290,2160,3,NO,-,4,WK 37,80
75,290,2808,2,YES,MOVE EXISTING,4,WK 37,120
75,290,2821,2,YES,MOVE EXISTING,4,WK 37,120
75,290,4476,2,YES,HIRE,4,WK 37,120
75,290,5847,3,NO,-,4,WK 37,80
75,291,1833,2,YES,MOVE EXISTING,4,WK 37,120
75,291,1852,1,YES,MOVE EXISTING,4,WK 37,140
75,291,2136,2,YES,MOVE EXISTING,4,WK 37,120
75,291,2438,2,YES,MOVE EXISTING,4,WK 37,120
75,291,2520,3,NO,-,4,WK 37,80
75,291,3588,2,YES,HIRE,4,WK 37,120
75,291,4258,3,NO,-,4,WK 37,80
75,291,4638,3,NO,-,4,WK 37,80
75,291,5343,1,YES,MOVE EXISTING,4,WK 37,140
75,291,5731,3,NO,-,4,WK 37,80
75,293,1867,2,YES,MOVE EXISTING,4,WK 37,120
75,293,2248,1,YES,MOVE EXISTING,4,WK 37,140
75,293,2412,2,YES,MOVE EXISTING,4,WK 37,120
75,293,2436,2,YES,HIRE,4,WK 37,120
75,293,2850,3,NO,-,4,WK 37,80
75,293,3720,1,YES,MOVE EXISTING,4,WK 37,140
75,293,3804,2,YES,MOVE EXISTING,4,WK 37,120
75,312,1243,2,YES,MOVE EXISTING,4,WK 37,120
75,312,1292,2,YES,MOVE EXISTING,4,WK 37,120
