Store,Market,Store Type,Prep By Location,InHome Prep and Loading ,,
65,336,SUP,5/9/2023,Not Applicable,,
66,321,SUP,5/9/2023,Not Applicable,,
67,321,SUP,5/9/2023,Not Applicable,,
68,329,SUP,5/9/2023,Not Applicable,,
69,335,SUP,5/9/2023,Not Applicable,,
70,329,SUP,5/9/2023,Not Applicable,,
71,328,SUP,5/9/2023,Not Applicable,,
72,410,SUP,5/9/2023,Not Applicable,,
73,356,SUP,5/9/2023,Not Applicable,,
74,329,SUP,5/9/2023,Not Applicable,,
76,322,SUP,5/9/2023,Not Applicable,,
77,83,SUP,5/9/2023,Not Applicable,,
78,357,SUP,5/9/2023,Not Applicable,,
79,334,SUP,5/2/2023,Not Applicable,,
80,359,SUP,5/9/2023,Not Applicable,,
81,347,SUP,5/9/2023,Not Applicable,,
82,335,SUP,5/9/2023,Not Applicable,,
83,327,SUP,5/9/2023,Not Applicable,,
85,324,SUP,5/9/2023,Not Applicable,,
86,357,SUP,5/9/2023,Not Applicable,,
88,357,SUP,5/9/2023,Not Applicable,,
89,336,SUP,5/9/2023,Not Applicable,,
90,347,SUP,5/9/2023,Not Applicable,,
91,329,SUP,5/9/2023,Not Applicable,,
92,334,SUP,5/9/2023,Not Applicable,,
93,145,SUP,5/9/2023,Not Applicable,,
94,145,SUP,5/9/2023,Not Applicable,,
95,335,SUP,5/9/2023,Not Applicable,,
96,361,SUP,5/9/2023,Not Applicable,,
97,146,SUP,5/9/2023,Not Applicable,,
98,135,SUP,5/9/2023,Not Applicable,,
99,336,SUP,5/9/2023,Not Applicable,,
100,323,SUP,5/2/2023,5/2/2023,,
101,336,SUP,5/9/2023,Not Applicable,,
102,327,SUP,5/9/2023,Not Applicable,,
103,351,SUP,5/9/2023,Not Applicable,,
104,146,SUP,5/9/2023,Not Applicable,,
105,4,SUP,5/9/2023,Not Applicable,,
106,146,SUP,5/9/2023,Not Applicable,,
107,146,SUP,5/9/2023,Not Applicable,,
108,344,SUP,5/9/2023,Not Applicable,,
109,360,SUP,5/9/2023,Not Applicable,,
110,89,SUP,5/11/2023,Not Applicable,,
111,410,SUP,5/9/2023,Not Applicable,,
112,138,SUP,5/9/2023,Not Applicable,,
113,349,SUP,5/9/2023,Not Applicable,,
114,4,SUP,5/9/2023,Not Applicable,,
115,138,SUP,5/9/2023,Not Applicable,,
117,47,W/M,5/9/2023,Not Applicable,,
118,4,SUP,5/9/2023,Not Applicable,,
119,328,SUP,5/9/2023,Not Applicable,,
120,146,SUP,5/9/2023,Not Applicable,,
121,351,SUP,5/9/2023,Not Applicable,,
122,335,SUP,5/9/2023,Not Applicable,,
123,351,SUP,5/9/2023,Not Applicable,,
124,324,SUP,5/9/2023,Not Applicable,,
125,321,SUP,5/9/2023,Not Applicable,,
126,324,SUP,5/9/2023,Not Applicable,,
127,325,SUP,5/9/2023,Not Applicable,,
128,329,SUP,5/9/2023,Not Applicable,,
129,350,SUP,5/9/2023,Not Applicable,,
130,347,SUP,5/9/2023,Not Applicable,,
131,47,SUP,5/9/2023,Not Applicable,,
132,344,SUP,5/9/2023,Not Applicable,,
133,325,SUP,5/9/2023,Not Applicable,,
134,344,SUP,5/9/2023,Not Applicable,,
135,360,SUP,5/9/2023,Not Applicable,,
136,345,W/M,5/9/2023,Not Applicable,,
137,352,SUP,5/9/2023,Not Applicable,,
138,357,SUP,5/9/2023,Not Applicable,,
139,353,SUP,5/9/2023,Not Applicable,,
140,503,SUP,5/9/2023,Not Applicable,,
141,321,SUP,5/9/2023,Not Applicable,,
143,253,SUP,5/9/2023,Not Applicable,,
144,322,SUP,5/9/2023,5/9/2023,,
145,339,SUP,5/9/2023,Not Applicable,,
146,46,SUP,5/9/2023,Not Applicable,,
147,350,SUP,5/9/2023,Not Applicable,,
148,47,SUP,5/9/2023,Not Applicable,,
149,135,SUP,5/9/2023,Not Applicable,,
150,344,SUP,5/9/2023,Not Applicable,,
151,350,SUP,5/9/2023,Not Applicable,,
152,335,SUP,5/9/2023,Not Applicable,,
153,4,SUP,5/9/2023,Not Applicable,,
154,311,SUP,5/4/2023,Not Applicable,,
155,136,SUP,5/9/2023,Not Applicable,,
157,328,SUP,5/9/2023,Not Applicable,,
158,350,SUP,5/9/2023,Not Applicable,,
159,359,SUP,5/9/2023,Not Applicable,,
160,328,SUP,5/9/2023,Not Applicable,,
161,147,SUP,5/9/2023,Not Applicable,,
162,349,SUP,5/9/2023,Not Applicable,,
163,503,SUP,5/9/2023,Not Applicable,,
164,4,SUP,5/9/2023,Not Applicable,,
165,46,SUP,5/9/2023,Not Applicable,,
166,357,SUP,5/9/2023,Not Applicable,,
167,327,SUP,5/9/2023,Not Applicable,,
168,345,SUP,5/9/2023,Not Applicable,,
169,326,SUP,5/9/2023,Not Applicable,,
170,134,SUP,5/9/2023,Not Applicable,,
171,327,SUP,5/9/2023,Not Applicable,,
172,336,SUP,5/9/2023,Not Applicable,,
173,357,SUP,5/9/2023,Not Applicable,,
174,92,SUP,5/11/2023,Not Applicable,,
175,144,SUP,5/9/2023,Not Applicable,,
176,4,W/M,5/9/2023,Not Applicable,,
177,146,SUP,5/9/2023,Not Applicable,,
178,344,SUP,5/9/2023,Not Applicable,,
179,357,SUP,5/9/2023,Not Applicable,,
180,46,SUP,5/9/2023,Not Applicable,,
181,47,SUP,5/9/2023,Not Applicable,,
182,136,SUP,5/9/2023,Not Applicable,,
183,138,SUP,5/9/2023,Not Applicable,,
184,361,SUP,5/9/2023,5/9/2023,,
185,350,SUP,5/9/2023,Not Applicable,,
186,409,SUP,5/9/2023,Not Applicable,,
188,335,SUP,5/9/2023,Not Applicable,,
189,359,SUP,5/9/2023,Not Applicable,,
190,329,SUP,5/9/2023,Not Applicable,,
192,147,SUP,5/9/2023,Not Applicable,,
194,60,SUP,5/9/2023,5/9/2023,,
195,360,SUP,5/9/2023,Not Applicable,,
196,271,SUP,5/9/2023,Not Applicable,,
197,278,SUP,5/9/2023,Not Applicable,,
198,272,SUP,5/9/2023,Not Applicable,,
199,278,SUP,5/9/2023,Not Applicable,,
200,275,SUP,5/9/2023,Not Applicable,,
201,341,SUP,5/9/2023,5/9/2023,,
202,51,SUP,5/9/2023,5/9/2023,,
203,359,SUP,5/9/2023,Not Applicable,,
204,253,SUP,5/9/2023,Not Applicable,,
205,138,SUP,5/9/2023,Not Applicable,,
206,52,SUP,5/9/2023,5/9/2023,,
207,345,SUP,5/9/2023,Not Applicable,,
209,321,W/M,5/9/2023,Not Applicable,,
210,351,W/M,5/9/2023,Not Applicable,,
211,76,SUP,5/9/2023,Not Applicable,,
212,353,SUP,5/2/2023,5/2/2023,,
213,272,SUP,5/9/2023,Not Applicable,,
214,503,SUP,5/9/2023,Not Applicable,,
216,271,SUP,5/9/2023,Not Applicable,,
217,53,SUP,5/9/2023,5/9/2023,,
218,147,SUP,5/9/2023,Not Applicable,,
219,359,SUP,5/9/2023,Not Applicable,,
220,48,SUP,5/9/2023,5/9/2023,,
221,344,SUP,5/9/2023,Not Applicable,,
222,271,SUP,5/9/2023,Not Applicable,,
224,272,SUP,5/9/2023,Not Applicable,,
225,350,SUP,5/9/2023,Not Applicable,,
226,47,SUP,5/9/2023,Not Applicable,,
227,344,SUP,5/9/2023,Not Applicable,,
228,48,SUP,5/9/2023,Not Applicable,,
229,329,SUP,5/9/2023,Not Applicable,,
230,321,W/M,5/9/2023,Not Applicable,,
231,351,SUP,5/9/2023,Not Applicable,,
232,350,W/M,5/9/2023,Not Applicable,,
233,271,SUP,5/9/2023,Not Applicable,,
234,360,SUP,5/9/2023,5/9/2023,,
236,503,SUP,5/9/2023,Not Applicable,,
237,271,SUP,5/9/2023,Not Applicable,,
238,147,SUP,5/9/2023,Not Applicable,,
239,138,SUP,5/9/2023,Not Applicable,,
240,47,SUP,5/9/2023,Not Applicable,,
242,410,SUP,5/9/2023,Not Applicable,,
243,339,SUP,5/9/2023,Not Applicable,,
244,135,SUP,5/9/2023,Not Applicable,,
246,345,SUP,5/9/2023,Not Applicable,,
247,351,W/M,5/9/2023,Not Applicable,,
248,76,SUP,5/9/2023,Not Applicable,,
249,503,SUP,5/9/2023,Not Applicable,,
250,336,SUP,5/9/2023,Not Applicable,,
251,45,SUP,5/9/2023,Not Applicable,,
252,271,SUP,5/9/2023,Not Applicable,,
253,272,SUP,5/9/2023,Not Applicable,,
254,273,SUP,5/9/2023,Not Applicable,,
256,341,SUP,5/9/2023,5/9/2023,,
257,254,SUP,5/9/2023,Not Applicable,,
258,4,SUP,5/9/2023,Not Applicable,,
259,583,SUP,5/9/2023,Not Applicable,,
260,55,SUP,5/9/2023,Not Applicable,,
261,325,SUP,5/9/2023,Not Applicable,,
262,271,SUP,5/9/2023,Not Applicable,,
264,149,SUP,5/9/2023,Not Applicable,,
265,45,SUP,5/9/2023,Not Applicable,,
266,50,SUP,5/2/2023,5/2/2023,,
267,334,SUP,5/9/2023,Not Applicable,,
268,147,SUP,5/9/2023,Not Applicable,,
269,349,SUP,5/9/2023,Not Applicable,,
271,349,SUP,5/9/2023,Not Applicable,,
272,153,SUP,5/9/2023,5/9/2023,,
273,4,SUP,5/9/2023,Not Applicable,,
274,4,W/M,5/9/2023,Not Applicable,,
275,503,SUP,5/9/2023,Not Applicable,,
276,351,SUP,5/9/2023,Not Applicable,,
277,353,SUP,5/9/2023,5/9/2023,,
278,127,SUP,5/9/2023,Not Applicable,,
279,321,SUP,5/9/2023,Not Applicable,,
280,83,SUP,5/9/2023,Not Applicable,,
281,328,SUP,5/9/2023,Not Applicable,,
282,253,SUP,5/9/2023,Not Applicable,,
283,66,W/M,5/9/2023,Not Applicable,,
284,49,SUP,5/9/2023,5/9/2023,,
285,503,SUP,5/9/2023,Not Applicable,,
286,55,SUP,5/9/2023,Not Applicable,,
287,11,SUP,5/9/2023,Not Applicable,,
288,503,SUP,5/9/2023,Not Applicable,,
289,327,W/M,5/9/2023,Not Applicable,,
290,77,SUP,5/9/2023,Not Applicable,,
292,87,SUP,5/9/2023,Not Applicable,,
293,85,W/M,5/9/2023,Not Applicable,,
294,253,SUP,5/9/2023,Not Applicable,,
295,340,SUP,5/9/2023,Not Applicable,,
296,325,SUP,5/9/2023,Not Applicable,,
297,59,SUP,5/9/2023,5/9/2023,,
298,5,SUP,5/9/2023,Not Applicable,,
299,254,SUP,5/9/2023,Not Applicable,,
300,3,SUP,5/9/2023,Not Applicable,,
301,3,SUP,5/9/2023,Not Applicable,,
302,271,SUP,5/9/2023,Not Applicable,,
303,4,SUP,5/9/2023,Not Applicable,,
304,149,SUP,5/9/2023,Not Applicable,,
305,138,SUP,5/9/2023,Not Applicable,,
306,5,SUP,5/9/2023,Not Applicable,,
307,135,SUP,5/9/2023,Not Applicable,,
308,152,SUP,5/9/2023,Not Applicable,,
309,132,SUP,5/9/2023,Not Applicable,,
310,132,SUP,5/9/2023,Not Applicable,,
311,129,W/M,5/9/2023,Not Applicable,,
312,134,SUP,5/9/2023,Not Applicable,,
313,335,SUP,5/9/2023,Not Applicable,,
314,5,SUP,5/9/2023,Not Applicable,,
315,3,SUP,5/9/2023,Not Applicable,,
316,3,SUP,5/9/2023,Not Applicable,,
317,272,SUP,5/9/2023,Not Applicable,,
318,325,SUP,5/9/2023,Not Applicable,,
319,361,SUP,5/9/2023,5/9/2023,,
320,76,W/M,5/9/2023,Not Applicable,,
321,85,SUP,5/9/2023,Not Applicable,,
322,85,SUP,5/9/2023,Not Applicable,,
323,127,SUP,5/9/2023,Not Applicable,,
324,356,SUP,5/9/2023,Not Applicable,,
325,360,SUP,5/9/2023,Not Applicable,,
326,361,W/M,5/9/2023,Not Applicable,,
328,341,SUP,5/9/2023,Not Applicable,,
329,10,SUP,5/9/2023,Not Applicable,,
330,84,SUP,5/9/2023,Not Applicable,,
331,66,SUP,5/9/2023,Not Applicable,,
332,5,SUP,5/9/2023,Not Applicable,,
333,254,SUP,5/9/2023,Not Applicable,,
334,275,SUP,5/9/2023,Not Applicable,,
335,146,SUP,5/9/2023,Not Applicable,,
336,325,SUP,5/9/2023,Not Applicable,,
337,335,SUP,5/9/2023,Not Applicable,,
338,334,SUP,5/9/2023,Not Applicable,,
339,327,W/M,5/9/2023,Not Applicable,,
340,351,SUP,5/9/2023,Not Applicable,,
341,407,SUP,5/9/2023,Not Applicable,,
342,411,SUP,5/9/2023,Not Applicable,,
343,275,SUP,5/9/2023,Not Applicable,,
344,65,SUP,5/9/2023,Not Applicable,,
345,46,SUP,5/9/2023,Not Applicable,,
346,409,SUP,5/9/2023,Not Applicable,,
347,136,SUP,5/9/2023,Not Applicable,,
348,327,SUP,5/9/2023,Not Applicable,,
350,433,SUP,5/9/2023,Not Applicable,,
351,68,SUP,5/9/2023,5/9/2023,,
352,271,W/M,5/9/2023,Not Applicable,,
353,48,SUP,5/9/2023,Not Applicable,,
354,336,SUP,5/9/2023,Not Applicable,,
355,10,SUP,5/9/2023,Not Applicable,,
356,10,SUP,5/9/2023,Not Applicable,,
357,336,SUP,5/9/2023,Not Applicable,,
358,321,SUP,5/9/2023,Not Applicable,,
359,322,SUP,5/9/2023,5/9/2023,,
360,352,SUP,5/9/2023,Not Applicable,,
361,341,SUP,5/9/2023,5/9/2023,,
362,11,SUP,5/9/2023,Not Applicable,,
363,361,SUP,5/9/2023,Not Applicable,,
364,503,SUP,5/9/2023,Not Applicable,,
365,140,SUP,5/9/2023,Not Applicable,,
366,121,SUP,5/11/2023,Not Applicable,,
368,410,SUP,5/9/2023,Not Applicable,,
369,406,SUP,5/9/2023,Not Applicable,,
370,406,SUP,5/9/2023,Not Applicable,,
371,48,SUP,5/9/2023,Not Applicable,,
372,406,SUP,5/9/2023,Not Applicable,,
373,322,SUP,5/9/2023,Not Applicable,,
374,347,SUP,5/9/2023,Not Applicable,,
375,5,SUP,5/9/2023,Not Applicable,,
376,127,SUP,5/9/2023,Not Applicable,,
377,497,WNM,5/11/2023,Not Applicable,,
378,411,SUP,5/9/2023,Not Applicable,,
379,333,SUP,5/9/2023,Not Applicable,,
381,81,SUP,5/9/2023,Not Applicable,,
382,410,SUP,5/9/2023,Not Applicable,,
383,66,SUP,5/9/2023,Not Applicable,,
384,66,SUP,5/9/2023,Not Applicable,,
385,84,W/M,5/9/2023,Not Applicable,,
386,132,SUP,5/9/2023,Not Applicable,,
387,352,SUP,5/9/2023,Not Applicable,,
388,321,SUP,5/9/2023,Not Applicable,,
389,352,SUP,5/9/2023,5/9/2023,,
390,149,SUP,5/9/2023,Not Applicable,,
391,4,SUP,5/9/2023,Not Applicable,,
392,344,SUP,5/9/2023,Not Applicable,,
393,147,SUP,5/9/2023,Not Applicable,,
394,137,SUP,5/9/2023,Not Applicable,,
395,80,SUP,5/9/2023,Not Applicable,,
396,39,SUP,5/11/2023,Not Applicable,,
397,80,SUP,5/9/2023,Not Applicable,,
398,46,SUP,5/9/2023,Not Applicable,,
399,46,SUP,5/9/2023,Not Applicable,,
400,68,SUP,5/9/2023,Not Applicable,,
401,131,SUP,5/9/2023,Not Applicable,,
403,137,SUP,5/9/2023,Not Applicable,,
404,87,SUP,5/9/2023,Not Applicable,,
405,134,SUP,5/9/2023,Not Applicable,,
406,151,SUP,5/9/2023,5/9/2023,,
407,81,SUP,5/9/2023,Not Applicable,,
408,66,SUP,5/9/2023,Not Applicable,,
409,137,SUP,5/9/2023,Not Applicable,,
410,146,SUP,5/9/2023,Not Applicable,,
411,138,W/M,5/9/2023,Not Applicable,,
412,45,SUP,5/9/2023,Not Applicable,,
413,569,SUP,5/9/2023,Not Applicable,,
414,349,SUP,5/9/2023,Not Applicable,,
415,132,SUP,5/9/2023,Not Applicable,,
416,151,SUP,5/9/2023,Not Applicable,,
417,47,SUP,5/9/2023,Not Applicable,,
418,407,SUP,5/9/2023,Not Applicable,,
419,406,SUP,5/9/2023,Not Applicable,,
420,349,SUP,5/9/2023,Not Applicable,,
421,479,SUP,5/9/2023,Not Applicable,,
422,273,SUP,5/9/2023,Not Applicable,,
423,13,SUP,5/9/2023,Not Applicable,,
424,8,SUP,5/9/2023,Not Applicable,,
425,11,SUP,5/9/2023,Not Applicable,,
426,53,SUP,5/2/2023,5/2/2023,,
427,47,SUP,5/9/2023,Not Applicable,,
428,130,SUP,5/9/2023,Not Applicable,,
429,80,SUP,5/9/2023,Not Applicable,,
430,253,SUP,5/9/2023,Not Applicable,,
431,253,SUP,5/9/2023,Not Applicable,,
432,10,SUP,5/9/2023,Not Applicable,,
433,5,SUP,5/9/2023,Not Applicable,,
434,5,SUP,5/9/2023,Not Applicable,,
435,272,SUP,5/9/2023,Not Applicable,,
436,272,SUP,5/9/2023,Not Applicable,,
437,84,SUP,5/9/2023,Not Applicable,,
438,74,SUP,5/9/2023,Not Applicable,,
440,78,SUP,5/9/2023,Not Applicable,,
442,78,SUP,5/9/2023,Not Applicable,,
443,88,SUP,5/9/2023,Not Applicable,,
444,333,SUP,5/9/2023,Not Applicable,,
445,256,SUP,5/9/2023,Not Applicable,,
446,85,W/M,5/9/2023,Not Applicable,,
447,88,SUP,5/9/2023,Not Applicable,,
449,66,SUP,5/9/2023,Not Applicable,,
450,127,SUP,5/9/2023,Not Applicable,,
451,359,SUP,5/9/2023,Not Applicable,,
452,80,SUP,5/9/2023,Not Applicable,,
453,329,W/M,5/9/2023,Not Applicable,,
454,273,SUP,5/9/2023,Not Applicable,,
456,569,SUP,5/9/2023,Not Applicable,,
457,66,SUP,5/9/2023,Not Applicable,,
458,78,SUP,5/9/2023,Not Applicable,,
459,25,SUP,5/11/2023,Not Applicable,,
461,88,SUP,5/9/2023,Not Applicable,,
462,61,SUP,5/9/2023,Not Applicable,,
463,84,SUP,5/9/2023,Not Applicable,,
464,78,SUP,5/9/2023,Not Applicable,,
465,77,SUP,5/9/2023,Not Applicable,,
466,145,SUP,5/9/2023,Not Applicable,,
467,52,SUP,5/9/2023,5/9/2023,,
468,47,SUP,5/9/2023,Not Applicable,,
469,66,SUP,5/9/2023,Not Applicable,,
470,78,SUP,5/9/2023,Not Applicable,,
471,49,SUP,5/9/2023,5/9/2023,,
472,356,SUP,5/9/2023,5/9/2023,,
473,85,W/M,5/9/2023,Not Applicable,,
475,83,SUP,5/9/2023,5/9/2023,,
476,81,SUP,5/9/2023,Not Applicable,,
477,119,SUP,5/11/2023,Not Applicable,,
478,77,W/M,5/9/2023,Not Applicable,,
479,349,SUP,5/9/2023,Not Applicable,,
480,275,W/M,5/9/2023,Not Applicable,,
481,273,SUP,5/9/2023,Not Applicable,,
482,61,W/M,5/9/2023,Not Applicable,,
483,8,SUP,5/9/2023,Not Applicable,,
484,411,SUP,5/9/2023,Not Applicable,,
485,129,SUP,5/9/2023,Not Applicable,,
486,362,SUP,5/9/2023,Not Applicable,,
488,97,SUP,5/11/2023,Not Applicable,,
489,128,SUP,5/9/2023,Not Applicable,,
490,78,SUP,5/9/2023,Not Applicable,,
491,253,SUP,5/9/2023,Not Applicable,,
492,273,SUP,5/11/2023,Not Applicable,,
493,260,SUP,5/11/2023,Not Applicable,,
494,16,SUP,5/11/2023,Not Applicable,,
495,138,SUP,5/9/2023,Not Applicable,,
497,242,SUP,5/11/2023,Not Applicable,,
498,134,SUP,5/9/2023,Not Applicable,,
499,344,SUP,5/9/2023,Not Applicable,,
500,505,SUP,5/11/2023,5/11/2023,,
501,141,SUP,5/9/2023,Not Applicable,,
502,129,SUP,5/9/2023,Not Applicable,,
503,84,W/M,5/9/2023,Not Applicable,,
504,61,SUP,5/9/2023,Not Applicable,,
506,273,SUP,5/9/2023,Not Applicable,,
507,260,SUP,5/11/2023,Not Applicable,,
508,506,SUP,5/9/2023,Not Applicable,,
510,21,SUP,5/11/2023,Not Applicable,,
511,38,SUP,5/11/2023,Not Applicable,,
512,505,SUP,5/11/2023,5/11/2023,,
513,73,SUP,5/9/2023,Not Applicable,,
514,39,SUP,5/11/2023,Not Applicable,,
515,18,SUP,5/11/2023,Not Applicable,,
516,45,SUP,5/9/2023,Not Applicable,,
517,353,SUP,5/9/2023,Not Applicable,,
518,26,SUP,5/11/2023,Not Applicable,,
519,260,SUP,5/11/2023,Not Applicable,,
520,25,SUP,5/11/2023,Not Applicable,,
521,66,SUP,5/9/2023,Not Applicable,,
522,60,SUP,5/9/2023,Not Applicable,,
523,46,SUP,5/9/2023,Not Applicable,,
524,84,SUP,5/9/2023,Not Applicable,,
525,549,WNM,5/11/2023,Not Applicable,,
526,242,SUP,5/11/2023,5/11/2023,,
527,61,SUP,5/9/2023,Not Applicable,,
528,115,SUP,5/11/2023,5/11/2023,,
529,61,SUP,5/9/2023,5/9/2023,,
530,327,SUP,5/9/2023,Not Applicable,,
532,130,SUP,5/9/2023,Not Applicable,,
533,132,SUP,5/9/2023,Not Applicable,,
535,74,SUP,5/9/2023,Not Applicable,,
536,74,SUP,5/9/2023,Not Applicable,,
537,73,SUP,5/9/2023,Not Applicable,,
538,93,SUP,5/11/2023,Not Applicable,,
539,134,SUP,5/9/2023,Not Applicable,,
540,129,SUP,5/9/2023,Not Applicable,,
541,128,SUP,5/9/2023,5/9/2023,,
542,129,SUP,5/9/2023,Not Applicable,,
543,132,SUP,5/9/2023,Not Applicable,,
544,353,SUP,5/9/2023,5/9/2023,,
545,258,W/M,5/11/2023,Not Applicable,,
546,62,SUP,5/9/2023,5/9/2023,,
547,114,SUP,5/11/2023,Not Applicable,,
548,25,SUP,5/11/2023,5/11/2023,,
549,71,SUP,5/11/2023,Not Applicable,,
550,273,SUP,5/9/2023,Not Applicable,,
551,93,SUP,5/11/2023,Not Applicable,,
552,258,W/M,5/11/2023,Not Applicable,,
553,125,SUP,5/9/2023,5/9/2023,,
554,88,W/M,5/9/2023,Not Applicable,,
555,32,SUP,5/11/2023,Not Applicable,,
556,28,SUP,5/11/2023,Not Applicable,,
557,407,SUP,5/9/2023,Not Applicable,,
558,407,SUP,5/9/2023,Not Applicable,,
559,418,SUP,5/9/2023,Not Applicable,,
560,360,SUP,5/9/2023,Not Applicable,,
561,76,SUP,5/9/2023,Not Applicable,,
562,2,SUP,5/9/2023,Not Applicable,,
563,94,SUP,5/11/2023,Not Applicable,,
564,344,SUP,5/9/2023,5/9/2023,,
565,55,SUP,5/9/2023,Not Applicable,,
566,580,SUP,5/9/2023,Not Applicable,,
567,85,W/M,5/9/2023,Not Applicable,,
568,152,SUP,5/9/2023,Not Applicable,,
569,257,SUP,5/9/2023,Not Applicable,,
571,260,SUP,5/11/2023,Not Applicable,,
572,46,SUP,5/9/2023,Not Applicable,,
573,361,SUP,5/9/2023,5/9/2023,,
574,37,SUP,5/11/2023,Not Applicable,,
575,24,SUP,5/11/2023,5/11/2023,,
576,345,SUP,5/9/2023,5/9/2023,,
577,362,SUP,5/9/2023,5/9/2023,,
578,123,SUP,5/11/2023,Not Applicable,,
579,94,SUP,5/11/2023,Not Applicable,,
580,116,SUP,5/11/2023,Not Applicable,,
581,414,SUP,5/9/2023,Not Applicable,,
582,94,SUP,5/11/2023,Not Applicable,,
583,121,SUP,5/11/2023,Not Applicable,,
584,260,SUP,5/11/2023,Not Applicable,,
585,42,SUP,5/11/2023,5/11/2023,,
586,37,SUP,5/11/2023,Not Applicable,,
587,152,SUP,5/9/2023,Not Applicable,,
588,27,SUP,5/11/2023,Not Applicable,,
589,256,SUP,5/11/2023,5/11/2023,,
590,48,SUP,5/9/2023,5/9/2023,,
591,259,SUP,5/11/2023,Not Applicable,,
592,406,SUP,5/9/2023,5/9/2023,,
593,28,SUP,5/11/2023,Not Applicable,,
594,22,SUP,5/11/2023,5/11/2023,,
595,569,SUP,5/9/2023,Not Applicable,,
596,271,W/M,5/9/2023,Not Applicable,,
598,429,SUP,5/9/2023,Not Applicable,,
599,124,SUP,5/11/2023,Not Applicable,,
600,70,SUP,5/9/2023,Not Applicable,,
601,74,SUP,5/9/2023,Not Applicable,,
602,68,SUP,5/9/2023,5/9/2023,,
603,278,SUP,5/9/2023,Not Applicable,,
604,7,SUP,5/9/2023,Not Applicable,,
605,29,SUP,5/11/2023,Not Applicable,,
606,29,W/M,5/11/2023,Not Applicable,,
607,349,W/M,5/9/2023,Not Applicable,,
608,73,SUP,5/9/2023,Not Applicable,,
609,275,SUP,5/9/2023,Not Applicable,,
610,76,SUP,5/9/2023,Not Applicable,,
611,387,SUP,5/11/2023,Not Applicable,,
612,273,SUP,5/9/2023,Not Applicable,,
613,94,SUP,5/11/2023,Not Applicable,,
614,16,SUP,5/11/2023,Not Applicable,,
615,26,SUP,5/11/2023,Not Applicable,,
616,38,SUP,5/11/2023,Not Applicable,,
617,580,W/M,5/11/2023,Not Applicable,,
618,26,SUP,5/11/2023,5/11/2023,,
619,119,SUP,5/11/2023,Not Applicable,,
620,124,SUP,5/11/2023,Not Applicable,,
