Store Nbr,Will receive Summer Seasonal placements?
2009,Yes
2010,Yes
2012,Yes
2015,Yes
2022,Yes
2024,Yes
2025,Yes
2027,Yes
2028,Yes
2031,Yes
2032,Yes
2043,Yes
2044,Yes
2048,Yes
2053,Yes
2054,Yes
2055,Yes
2061,Yes
2078,Yes
2080,Yes
2087,Yes
2089,Yes
2091,Yes
2094,Yes
2095,Yes
2096,Yes
2097,Yes
2103,Yes
2104,Yes
2107,Yes
2117,Yes
2119,Yes
2122,Yes
2126,Yes
2127,Yes
2128,Yes
2134,Yes
2138,Yes
2139,Yes
2140,Yes
2146,Yes
2147,Yes
2150,Yes
2151,Yes
2152,Yes
2153,Yes
2155,Yes
2156,Yes
2159,Yes
2161,Yes
2163,Yes
2167,Yes
2169,Yes
2170,Yes
2174,Yes
2176,Yes
2177,Yes
2180,Yes
2183,Yes
2185,Yes
2187,Yes
2190,Yes
2196,Yes
2198,Yes
2200,Yes
2202,Yes
2205,Yes
2207,Yes
2209,Yes
2210,Yes
2211,Yes
2222,Yes
2223,Yes
2227,Yes
2230,Yes
2232,Yes
2236,Yes
2239,Yes
2244,Yes
2245,Yes
2247,Yes
2248,Yes
2253,Yes
2258,Yes
2259,Yes
2261,Yes
2263,Yes
2264,Yes
2267,Yes
2275,Yes
2279,Yes
2280,Yes
2282,Yes
2284,Yes
2289,Yes
2293,Yes
2294,Yes
2295,Yes
2297,Yes
2299,Yes
2300,Yes
2307,Yes
2308,Yes
2309,Yes
2312,Yes
2315,Yes
2317,Yes
2319,Yes
2320,Yes
2329,Yes
2330,Yes
2331,Yes
2336,Yes
2337,Yes
2338,Yes
2340,Yes
2341,Yes
2350,Yes
2352,Yes
2355,Yes
2358,Yes
2366,Yes
2367,Yes
2368,Yes
2369,Yes
2373,Yes
2386,Yes
2398,Yes
2399,Yes
2400,Yes
2401,Yes
2403,Yes
2405,Yes
2418,Yes
2421,Yes
2422,Yes
2427,Yes
2428,Yes
2436,Yes
2437,Yes
2439,Yes
2441,Yes
2444,Yes
2445,Yes
2448,Yes
2453,Yes
2459,Yes
2464,Yes
2472,Yes
2474,Yes
2477,Yes
2479,Yes
2482,Yes
2491,Yes
2492,Yes
2496,Yes
2507,Yes
2512,Yes
2514,Yes
2518,Yes
2519,Yes
2522,Yes
2523,Yes
2528,Yes
2529,Yes
2531,Yes
2536,Yes
2538,Yes
2546,Yes
2547,Yes
2548,Yes
2555,Yes
2556,Yes
2565,Yes
2568,Yes
2571,Yes
2577,Yes
2583,Yes
2586,Yes
2591,Yes
2594,Yes
2598,Yes
2599,Yes
2604,Yes
2607,Yes
2610,Yes
2614,Yes
2617,Yes
2618,Yes
2627,Yes
2631,Yes
2637,Yes
2639,Yes
2641,Yes
2642,Yes
2648,Yes
2664,Yes
2666,Yes
2674,Yes
2678,Yes
2697,Yes
2700,Yes
2704,Yes
2706,Yes
2711,Yes
2715,Yes
2716,Yes
2718,Yes
2719,Yes
2724,Yes
2725,Yes
2726,Yes
2735,Yes
2756,Yes
2758,Yes
2761,Yes
2763,Yes
2765,Yes
2768,Yes
2769,Yes
2772,Yes
2787,Yes
2795,Yes
2797,Yes
2806,Yes
2809,Yes
2812,Yes
2820,Yes
2825,Yes
2830,Yes
2841,Yes
2850,Yes
2853,Yes
2856,Yes
2860,Yes
2866,Yes
2871,Yes
2873,Yes
2882,Yes
2888,Yes
2893,Yes
2894,Yes
2898,Yes
2899,Yes
2901,Yes
2904,Yes
2905,Yes
2906,Yes
2909,Yes
2911,Yes
2916,Yes
2917,Yes
2923,Yes
2925,Yes
2929,Yes
2933,Yes
2934,Yes
2939,Yes
2946,Yes
2954,Yes
2964,Yes
2967,Yes
2987,Yes
2989,Yes
3055,Yes
3056,Yes
3059,Yes
3060,Yes
3081,Yes
3102,Yes
3112,Yes
3163,Yes
3167,Yes
3177,Yes
3192,Yes
3200,Yes
3209,Yes
3212,Yes
3213,Yes
3218,Yes
3221,Yes
3229,Yes
3234,Yes
3243,Yes
3245,Yes
3248,Yes
3252,Yes
3260,Yes
3262,Yes
3282,Yes
3286,Yes
3289,Yes
3291,Yes
3292,Yes
3296,Yes
3302,Yes
3304,Yes
3307,Yes
3310,Yes
3328,Yes
3332,Yes
3337,Yes
3342,Yes
3360,Yes
3362,Yes
3367,Yes
3381,Yes
3388,Yes
3391,Yes
3404,Yes
3409,Yes
3412,Yes
3422,Yes
3425,Yes
3429,Yes
3436,Yes
3443,Yes
3447,Yes
3455,Yes
3458,Yes
3465,Yes
3474,Yes
3475,Yes
3481,Yes
3483,Yes
3485,Yes
3486,Yes
3487,Yes
3489,Yes
3490,Yes
3493,Yes
3494,Yes
3498,Yes
3501,Yes
3502,Yes
3513,Yes
3515,Yes
3522,Yes
3523,Yes
3524,Yes
3527,Yes
3531,Yes
3534,Yes
3535,Yes
3537,Yes
3543,Yes
3546,Yes
3548,Yes
3549,Yes
3563,Yes
3567,Yes
3568,Yes
3571,Yes
3580,Yes
3583,Yes
3591,Yes
3607,Yes
3624,Yes
3625,Yes
3626,Yes
3634,Yes
3643,Yes
3658,Yes
3708,Yes
3720,Yes
3733,Yes
3738,Yes
3751,Yes
3758,Yes
3760,Yes
3761,Yes
3768,Yes
3771,Yes
3774,Yes
3784,Yes
3791,Yes
3802,Yes
3805,Yes
3806,Yes
3809,Yes
3810,Yes
3824,Yes
3830,Yes
3831,Yes
3833,Yes
3842,Yes
3843,Yes
3848,Yes
3850,Yes
3852,Yes
3858,Yes
3868,Yes
3872,Yes
3875,Yes
3876,Yes
3887,Yes
3896,Yes
4055,Yes
4065,Yes
4068,Yes
4111,Yes
4112,Yes
4115,Yes
4118,Yes
4144,Yes
4153,Yes
4156,Yes
4161,Yes
4202,Yes
4203,Yes
4215,Yes
4221,Yes
4224,Yes
4235,Yes
4244,Yes
4246,Yes
4253,Yes
4257,Yes
4260,Yes
4276,Yes
4278,Yes
4288,Yes
4295,Yes
4332,Yes
4341,Yes
4348,Yes
4350,Yes
4352,Yes
4355,Yes
4370,Yes
4374,Yes
4377,Yes
4378,Yes
4384,Yes
4393,Yes
4399,Yes
4404,Yes
4410,Yes
4414,Yes
4420,Yes
4427,Yes
4430,Yes
4439,Yes
4440,Yes
4456,Yes
4457,Yes
4459,Yes
4461,Yes
4471,Yes
4479,Yes
4499,Yes
4506,Yes
4512,Yes
4540,Yes
4543,Yes
4553,Yes
4556,Yes
4564,Yes
4569,Yes
4570,Yes
4593,Yes
4594,Yes
4597,Yes
4599,Yes
4606,Yes
4609,Yes
4612,Yes
4623,Yes
4627,Yes
4635,Yes
4637,Yes
4639,Yes
4664,Yes
4682,Yes
4734,Yes
4849,Yes
5003,Yes
5012,Yes
5027,Yes
5028,Yes
5033,Yes
5039,Yes
5040,Yes
5047,Yes
5048,Yes
5049,Yes
5072,Yes
5073,Yes
5075,Yes
5077,Yes
5085,Yes
5103,Yes
5116,Yes
5117,Yes
5123,Yes
5130,Yes
5131,Yes
5136,Yes
5139,Yes
5142,Yes
5144,Yes
5145,Yes
5146,Yes
5152,Yes
5160,Yes
5165,Yes
5166,Yes
5178,Yes
5184,Yes
5186,Yes
5190,Yes
5193,Yes
5197,Yes
5201,Yes
5203,Yes
5215,Yes
5228,Yes
5229,Yes
5231,Yes
5241,Yes
5245,Yes
5246,Yes
5252,Yes
5253,Yes
5254,Yes
5272,Yes
5276,Yes
5280,Yes
5282,Yes
5287,Yes
5293,Yes
5305,Yes
5312,Yes
5317,Yes
5325,Yes
5329,Yes
5335,Yes
5338,Yes
5341,Yes
5344,Yes
5347,Yes
5356,Yes
5358,Yes
5369,Yes
5382,Yes
5384,Yes
5386,Yes
5388,Yes
5391,Yes
5414,Yes
5422,Yes
5426,Yes
5432,Yes
5434,Yes
5439,Yes
5440,Yes
5443,Yes
5446,Yes
5448,Yes
5450,Yes
5461,Yes
5466,Yes
5476,Yes
5477,Yes
5481,Yes
5489,Yes
5628,Yes
5632,Yes
5644,Yes
5649,Yes
5669,Yes
5671,Yes
5701,Yes
5705,Yes
5713,Yes
5732,Yes
5735,Yes
5743,Yes
5747,Yes
5766,Yes
5768,Yes
5777,Yes
5797,Yes
5806,Yes
5808,Yes
5809,Yes
5839,Yes
5842,Yes
5843,Yes
5847,Yes
5848,Yes
5854,Yes
5857,Yes
5859,Yes
5861,Yes
5864,Yes
5869,Yes
5871,Yes
5874,Yes
5884,Yes
5886,Yes
5888,Yes
5898,Yes
5911,Yes
5944,Yes
5954,Yes
5957,Yes
5968,Yes
5977,Yes
5992,Yes
6173,Yes
6190,Yes
6370,Yes
6392,Yes
6395,Yes
6397,Yes
6467,Yes
6469,Yes
6477,Yes
6576,Yes
6579,Yes
6879,Yes
6887,Yes
6932,Yes
6951,Yes
6958,Yes
7020,Yes
7129,Yes
7179,Yes
7181,Yes
7188,Yes
7199,Yes
7238,Yes
7245,Yes
7247,Yes
7281,Yes
7301,Yes
