Store,Market,Region,BU,City,State,2023 Tier
149,135,42,SOUTHEAST BU,JONESBORO,LA,2
150,344,44,SOUTHWEST BU,WOODWARD,OK,2
151,350,44,SOUTHWEST BU,MCALESTER,OK,2
152,335,40, NORTH BU,DE SOTO,MO,2
153,4,11,SOUTHEAST BU,NEW ALBANY,MS,2
154,311,20, NORTH BU,ABINGDON,VA,2
155,136,11,SOUTHEAST BU,SENATOBIA,MS,2
157,328,42,SOUTHEAST BU,SEARCY,AR,2
158,350,44,SOUTHWEST BU,BONHAM,TX,2
159,359,40, NORTH BU,COLUMBIA,MO,2
160,328,42,SOUTHEAST BU,ASH FLAT,AR,2
161,147,11,SOUTHEAST BU,HUNTINGDON,TN,2
162,349,44,SOUTHWEST BU,ANADARKO,OK,2
163,503,13,SOUTHWEST BU,NACOGDOCHES,TX,2
164,4,11,SOUTHEAST BU,PONTOTOC,MS,2
165,46,13,SOUTHWEST BU,HENDERSON,TX,2
166,357,40, NORTH BU,HOUSTON,MO,2
167,327,42,SOUTHEAST BU,CROSSETT,AR,2
168,345,44,SOUTHWEST BU,OWASSO,OK,2
169,326,42,SOUTHEAST BU,LONOKE,AR,2
170,134,13,SOUTHWEST BU,NATCHITOCHES,LA,2
171,327,42,SOUTHEAST BU,CAMDEN,AR,2
172,340,40, NORTH BU,WASHINGTON,MO,2
173,357,40, NORTH BU,POTOSI,MO,2
174,92,9,SOUTHEAST BU,COCOA,FL,2
175,144,11,SOUTHEAST BU,COLLIERVILLE,TN,2
176,4,11,SOUTHEAST BU,RIPLEY,MS,2
177,146,11,SOUTHEAST BU,PARIS,TN,2
178,344,44,SOUTHWEST BU,ALVA,OK,2
179,357,40, NORTH BU,SPRINGFIELD,MO,2
180,46,13,SOUTHWEST BU,JACKSONVILLE,TX,2
181,47,44,SOUTHWEST BU,NEW BOSTON,TX,2
182,136,11,SOUTHEAST BU,GREENVILLE,MS,2
183,138,11,SOUTHEAST BU,LOUISVILLE,MS,2
184,361,40, NORTH BU,BLUE SPRINGS,MO,2
185,350,44,SOUTHWEST BU,GAINESVILLE,TX,2
186,409,44,SOUTHWEST BU,EL DORADO,KS,2
188,335,40, NORTH BU,CAPE GIRARDEAU,MO,1
189,359,40, NORTH BU,KIRKSVILLE,MO,2
190,329,11,SOUTHEAST BU,KENNETT,MO,2
192,147,11,SOUTHEAST BU,COLUMBIA,TN,2
194,60,6,SOUTHWEST BU,BAYTOWN,TX,2
195,360,40, NORTH BU,EXCELSIOR SPRINGS,MO,2
196,271,41, NORTH BU,CARBONDALE,IL,2
197,278,25, NORTH BU,MACOMB,IL,2
198,272,40, NORTH BU,SALEM,IL,2
199,278,25, NORTH BU,LINCOLN,IL,2
200,275,25, NORTH BU,JACKSONVILLE,IL,2
201,341,40, NORTH BU,BELLEVILLE,IL,2
202,51,5,SOUTHWEST BU,FRISCO,TX,2
203,359,40, NORTH BU,BROOKFIELD,MO,2
204,253,41, NORTH BU,PRINCETON,KY,2
205,138,11,SOUTHEAST BU,PHILADELPHIA,MS,2
206,52,5,SOUTHWEST BU,MCKINNEY,TX,2
207,345,44,SOUTHWEST BU,CLEVELAND,OK,2
209,321,42,SOUTHEAST BU,OZARK,AR,2
210,351,44,SOUTHWEST BU,HOLDENVILLE,OK,2
211,76,5,SOUTHWEST BU,HILLSBORO,TX,2
212,353,44,SOUTHWEST BU,NORMAN,OK,2
213,272,40, NORTH BU,LITCHFIELD,IL,2
214,503,13,SOUTHWEST BU,JASPER,TX,2
216,271,41, NORTH BU,MARION,IL,2
217,53,5,SOUTHWEST BU,LEWISVILLE,TX,2
218,147,11,SOUTHEAST BU,SELMER,TN,2
219,336,40, NORTH BU,SEDALIA,MO,2
220,48,5,SOUTHWEST BU,BURLESON,TX,2
221,344,44,SOUTHWEST BU,YUKON,OK,2
222,271,41, NORTH BU,SPARTA,IL,2
224,272,40, NORTH BU,MOUNT VERNON,IL,2
225,350,44,SOUTHWEST BU,SULPHUR,OK,2
226,47,44,SOUTHWEST BU,ATLANTA,TX,2
227,344,44,SOUTHWEST BU,EL RENO,OK,2
228,48,5,SOUTHWEST BU,CLEBURNE,TX,2
229,329,11,SOUTHEAST BU,TRUMANN,AR,2
230,321,42,SOUTHEAST BU,PARIS,AR,2
231,351,44,SOUTHWEST BU,ADA,OK,2
232,350,44,SOUTHWEST BU,ATOKA,OK,2
233,271,41, NORTH BU,ANNA,IL,2
234,360,40, NORTH BU,KANSAS CITY,MO,2
236,503,13,SOUTHWEST BU,CROCKETT,TX,2
237,271,41, NORTH BU,HARRISBURG,IL,2
238,147,11,SOUTHEAST BU,PULASKI,TN,2
239,138,11,SOUTHEAST BU,KOSCIUSKO,MS,2
240,47,44,SOUTHWEST BU,COMMERCE,TX,2
241,323,42,SOUTHEAST BU,ROGERS,AR,2
242,410,44,SOUTHWEST BU,PAOLA,KS,2
243,339,40, NORTH BU,WENTZVILLE,MO,2
244,135,42,SOUTHEAST BU,WINNFIELD,LA,2
245,44,5,SOUTHWEST BU,CROWLEY,TX,2
246,345,44,SOUTHWEST BU,SKIATOOK,OK,2
247,351,44,SOUTHWEST BU,HENRYETTA,OK,2
248,76,5,SOUTHWEST BU,MEXIA,TX,2
249,503,13,SOUTHWEST BU,CLEVELAND,TX,2
250,357,40, NORTH BU,WARSAW,MO,2
251,45,5,SOUTHWEST BU,MINEOLA,TX,2
252,271,41, NORTH BU,DU QUOIN,IL,2
253,341,40, NORTH BU,JERSEYVILLE,IL,2
254,273,25, NORTH BU,OLNEY,IL,2
256,341,40, NORTH BU,GLEN CARBON,IL,2
257,254,41, NORTH BU,MORGANFIELD,KY,2
258,4,11,SOUTHEAST BU,TUPELO,MS,2
259,583,5,SOUTHWEST BU,ROCKWALL,TX,2
260,55,5,SOUTHWEST BU,WAXAHACHIE,TX,2
261,325,42,SOUTHEAST BU,HOT SPRINGS,AR,2
262,271,41, NORTH BU,BENTON,IL,2
264,149,12,SOUTHEAST BU,DICKSON,TN,2
265,45,5,SOUTHWEST BU,TERRELL,TX,2
266,50,5,SOUTHWEST BU,GRAPEVINE,TX,2
267,334,42,SOUTHEAST BU,WEBB CITY,MO,2
268,147,11,SOUTHEAST BU,SAVANNAH,TN,2
269,349,44,SOUTHWEST BU,LAWTON,OK,2
271,349,44,SOUTHWEST BU,BOWIE,TX,2
272,153,12,SOUTHEAST BU,FRANKLIN,TN,2
273,4,11,SOUTHEAST BU,FULTON,MS,2
274,4,11,SOUTHEAST BU,IUKA,MS,2
275,503,13,SOUTHWEST BU,LIVINGSTON,TX,2
276,351,44,SOUTHWEST BU,STIGLER,OK,2
277,353,44,SOUTHWEST BU,MOORE,OK,2
278,127,42,SOUTHEAST BU,SHREVEPORT,LA,2
279,321,42,SOUTHEAST BU,DE QUEEN,AR,2
280,83,6,SOUTHWEST BU,ROCKDALE,TX,2
281,328,42,SOUTHEAST BU,HEBER SPGS,AR,2
282,253,41, NORTH BU,FRANKLIN,KY,2
283,66,13,SOUTHWEST BU,BRIDGE CITY,TX,2
284,49,5,SOUTHWEST BU,MANSFIELD,TX,2
285,503,13,SOUTHWEST BU,HUNTSVILLE,TX,2
286,55,5,SOUTHWEST BU,ENNIS,TX,2
287,11,11,SOUTHEAST BU,JASPER,AL,2
288,503,13,SOUTHWEST BU,WOODVILLE,TX,2
289,327,42,SOUTHEAST BU,MCGEHEE,AR,2
290,77,7,SOUTHWEST BU,GONZALES,TX,2
292,87,6,SOUTHWEST BU,LOCKHART,TX,2
293,85,6,SOUTHWEST BU,NAVASOTA,TX,2
294,253,41, NORTH BU,CENTRAL CITY,KY,2
295,340,40, NORTH BU,EUREKA,MO,2
296,325,42,SOUTHEAST BU,DARDANELLE,AR,2
297,59,6,SOUTHWEST BU,PORTER,TX,2
298,5,12,SOUTHEAST BU,BOAZ,AL,2
299,254,41, NORTH BU,BOWLING GREEN,KY,2
300,3,14,SOUTHEAST BU,JACKSONVILLE,AL,2
301,3,14,SOUTHEAST BU,GADSDEN,AL,2
302,271,41, NORTH BU,MURPHYSBORO,IL,2
303,4,11,SOUTHEAST BU,HOLLY SPRINGS,MS,2
304,149,12,SOUTHEAST BU,SPRINGFIELD,TN,2
305,138,11,SOUTHEAST BU,CARTHAGE,MS,2
306,5,12,SOUTHEAST BU,ARAB,AL,2
307,135,42,SOUTHEAST BU,WEST MONROE,LA,2
308,152,12,SOUTHEAST BU,MANCHESTER,TN,2
309,132,13,SOUTHWEST BU,ABBEVILLE,LA,2
310,132,13,SOUTHWEST BU,CROWLEY,LA,2
311,129,13,SOUTHWEST BU,FRANKLIN,LA,2
312,134,13,SOUTHWEST BU,VILLE PLATTE,LA,2
313,340,40, NORTH BU,HIGH RIDGE,MO,2
314,5,12,SOUTHEAST BU,FAYETTEVILLE,TN,2
315,3,14,SOUTHEAST BU,ONEONTA,AL,2
316,3,14,SOUTHEAST BU,ATTALLA,AL,2
317,272,40, NORTH BU,VANDALIA,IL,2
318,325,42,SOUTHEAST BU,ARKADELPHIA,AR,2
319,361,40, NORTH BU,RAYMORE,MO,2
320,76,5,SOUTHWEST BU,MARLIN,TX,2
321,85,6,SOUTHWEST BU,BRENHAM,TX,2
322,85,6,SOUTHWEST BU,BRYAN,TX,2
323,127,42,SOUTHEAST BU,MANSFIELD,LA,2
324,356,44,SOUTHWEST BU,BRISTOW,OK,2
325,360,40, NORTH BU,RICHMOND,MO,2
326,361,40, NORTH BU,HIGGINSVILLE,MO,2
328,341,40, NORTH BU,WATERLOO,IL,2
329,10,14,SOUTHEAST BU,ANNISTON,AL,2
330,84,6,SOUTHWEST BU,VICTORIA,TX,2
331,66,13,SOUTHWEST BU,SULPHUR,LA,2
332,5,12,SOUTHEAST BU,HUNTSVILLE,AL,2
333,254,41, NORTH BU,BEAVER DAM,KY,2
334,275,25, NORTH BU,CARLINVILLE,IL,2
335,146,11,SOUTHEAST BU,JACKSON,TN,2
336,325,42,SOUTHEAST BU,SHERIDAN,AR,2
337,335,40, NORTH BU,FREDERICKTOWN,MO,2
338,334,42,SOUTHEAST BU,LAMAR,MO,2
339,327,42,SOUTHEAST BU,FORDYCE,AR,2
340,351,44,SOUTHWEST BU,CHECOTAH,OK,2
341,407,47,WEST BU,MARYSVILLE,KS,2
342,411,47,WEST BU,HIAWATHA,KS,2
343,275,25, NORTH BU,TAYLORVILLE,IL,2
344,65,6,SOUTHWEST BU,EL CAMPO,TX,2
345,46,13,SOUTHWEST BU,PALESTINE,TX,2
346,409,44,SOUTHWEST BU,AUGUSTA,KS,2
347,136,11,SOUTHEAST BU,INDIANOLA,MS,2
348,327,42,SOUTHEAST BU,MONTICELLO,AR,2
350,433,47,WEST BU,YORK,NE,2
351,68,13,SOUTHWEST BU,TOMBALL,TX,2
352,271,41, NORTH BU,CHESTER,IL,2
353,48,5,SOUTHWEST BU,GRAHAM,TX,2
354,336,40, NORTH BU,OWENSVILLE,MO,2
355,10,14,SOUTHEAST BU,OPELIKA,AL,2
356,10,14,SOUTHEAST BU,AUBURN,AL,2
357,336,40, NORTH BU,VERSAILLES,MO,2
358,321,42,SOUTHEAST BU,ALMA,AR,2
359,322,42,SOUTHEAST BU,FAYETTEVILLE,AR,2
360,352,44,SOUTHWEST BU,CUSHING,OK,2
361,341,40, NORTH BU,COLLINSVILLE,IL,2
362,11,11,SOUTHEAST BU,WINFIELD,AL,2
363,359,40, NORTH BU,MARSHALL,MO,2
364,503,13,SOUTHWEST BU,CENTER,TX,2
365,140,11,SOUTHEAST BU,PEARL,MS,2
366,121,12,SOUTHEAST BU,MADISONVILLE,TN,2
368,410,44,SOUTHWEST BU,PARSONS,KS,2
369,406,47,WEST BU,WINFIELD,KS,2
370,406,47,WEST BU,WELLINGTON,KS,2
371,48,5,SOUTHWEST BU,GRANBURY,TX,2
372,406,47,WEST BU,DODGE CITY,KS,2
373,322,42,SOUTHEAST BU,HUNTSVILLE,AR,2
374,347,44,SOUTHWEST BU,COWETA,OK,2
375,5,12,SOUTHEAST BU,HUNTSVILLE,AL,2
376,127,42,SOUTHEAST BU,BOSSIER CITY,LA,2
377,497,59, NHM BU,SUMTER,SC,2
378,411,47,WEST BU,HOLTON,KS,2
379,333,40, NORTH BU,OZARK,MO,2
381,81,7,SOUTHWEST BU,COPPERAS COVE,TX,2
382,410,44,SOUTHWEST BU,OTTAWA,KS,2
383,66,13,SOUTHWEST BU,SILSBEE,TX,2
384,66,13,SOUTHWEST BU,LUMBERTON,TX,2
385,84,6,SOUTHWEST BU,CUERO,TX,2
386,132,13,SOUTHWEST BU,JENNINGS,LA,2
387,352,44,SOUTHWEST BU,CHANDLER,OK,2
388,321,42,SOUTHEAST BU,FORT SMITH,AR,2
389,352,44,SOUTHWEST BU,EDMOND,OK,2
390,149,12,SOUTHEAST BU,WAVERLY,TN,2
391,4,11,SOUTHEAST BU,TUPELO,MS,2
392,344,44,SOUTHWEST BU,WEATHERFORD,OK,2
393,147,11,SOUTHEAST BU,JACKSON,TN,2
394,137,11,SOUTHEAST BU,MOULTON,AL,2
395,80,7,SOUTHWEST BU,MISSION,TX,2
396,39,4, EAST BU,ANDERSON,SC,2
397,80,7,SOUTHWEST BU,MCALLEN,TX,2
398,46,13,SOUTHWEST BU,LONGVIEW,TX,2
399,46,13,SOUTHWEST BU,LONGVIEW,TX,2
400,68,13,SOUTHWEST BU,CONROE,TX,2
401,131,13,SOUTHWEST BU,PLAQUEMINE,LA,2
402,132,13,SOUTHWEST BU,BREAUX BRIDGE,LA,2
403,137,11,SOUTHEAST BU,RUSSELLVILLE,AL,2
404,87,6,SOUTHWEST BU,SAN MARCOS,TX,2
405,134,13,SOUTHWEST BU,LEESVILLE,LA,2
406,151,12,SOUTHEAST BU,SMYRNA,TN,2
407,81,7,SOUTHWEST BU,KILLEEN,TX,2
408,66,13,SOUTHWEST BU,PORT ARTHUR,TX,2
409,137,11,SOUTHEAST BU,HALEYVILLE,AL,2
410,146,11,SOUTHEAST BU,MURRAY,KY,2
411,138,11,SOUTHEAST BU,HOUSTON,MS,2
412,45,5,SOUTHWEST BU,ATHENS,TX,2
413,569,7,SOUTHWEST BU,PORT ISABEL,TX,2
414,349,44,SOUTHWEST BU,WICHITA FALLS,TX,2
415,132,13,SOUTHWEST BU,BROUSSARD,LA,2
416,151,12,SOUTHEAST BU,MURFREESBORO,TN,2
417,47,44,SOUTHWEST BU,SULPHUR SPRINGS,TX,2
418,407,47,WEST BU,FAIRBURY,NE,2
419,406,47,WEST BU,PRATT,KS,2
420,349,44,SOUTHWEST BU,WICHITA FALLS,TX,2
421,479,5,SOUTHWEST BU,DECATUR,TX,2
422,273,25, NORTH BU,ROBINSON,IL,2
423,13,14,SOUTHEAST BU,ALABASTER,AL,2
424,8,14,SOUTHEAST BU,CLANTON,AL,2
425,11,11,SOUTHEAST BU,BRENT,AL,2
426,53,5,SOUTHWEST BU,COLONY,TX,2
427,47,44,SOUTHWEST BU,GREENVILLE,TX,2
428,130,13,SOUTHWEST BU,ZACHARY,LA,2
429,80,7,SOUTHWEST BU,EDINBURG,TX,2
430,253,41, NORTH BU,MAYFIELD,KY,2
431,253,41, NORTH BU,PADUCAH,KY,2
432,10,14,SOUTHEAST BU,TALLADEGA,AL,2
433,5,12,SOUTHEAST BU,HUNTSVILLE,AL,2
434,5,12,SOUTHEAST BU,HUNTSVILLE,AL,2
435,272,40, NORTH BU,HIGHLAND,IL,2
436,272,40, NORTH BU,CARLYLE,IL,2
437,84,6,SOUTHWEST BU,SEALY,TX,2
438,74,7,SOUTHWEST BU,BRECKENRIDGE,TX,2
440,78,7,SOUTHWEST BU,ROCKPORT,TX,2
442,78,7,SOUTHWEST BU,KINGSVILLE,TX,2
443,88,7,SOUTHWEST BU,HONDO,TX,2
444,333,40, NORTH BU,SPRINGFIELD,MO,2
445,256,41, NORTH BU,LEITCHFIELD,KY,2
446,85,6,SOUTHWEST BU,MADISONVILLE,TX,2
447,88,7,SOUTHWEST BU,DEL RIO,TX,2
448,127,42,SOUTHEAST BU,SHREVEPORT,LA,2
449,66,13,SOUTHWEST BU,PORT ARTHUR,TX,2
450,127,42,SOUTHEAST BU,SHREVEPORT,LA,2
451,359,40, NORTH BU,COLUMBIA,MO,2
452,80,7,SOUTHWEST BU,MCALLEN,TX,2
453,329,11,SOUTHEAST BU,MALDEN,MO,2
454,272,40, NORTH BU,FAIRFIELD,IL,2
456,569,7,SOUTHWEST BU,BROWNSVILLE,TX,1
457,66,13,SOUTHWEST BU,VIDOR,TX,2
458,78,7,SOUTHWEST BU,ARANSAS PASS,TX,2
459,25,2,SOUTHEAST BU,COVINGTON,GA,2
461,88,7,SOUTHWEST BU,EAGLE PASS,TX,2
462,61,6,SOUTHWEST BU,ALVIN,TX,2
463,84,6,SOUTHWEST BU,BEEVILLE,TX,2
464,78,7,SOUTHWEST BU,CORPUS CHRISTI,TX,2
465,77,7,SOUTHWEST BU,FLORESVILLE,TX,2
466,145,11,SOUTHEAST BU,BOLIVAR,TN,2
467,52,5,SOUTHWEST BU,DENTON,TX,2
468,47,44,SOUTHWEST BU,TEXARKANA,AR,2
469,66,13,SOUTHWEST BU,LAKE CHARLES,LA,2
470,78,7,SOUTHWEST BU,CORPUS CHRISTI,TX,2
471,49,5,SOUTHWEST BU,LANCASTER,TX,2
472,356,44,SOUTHWEST BU,BROKEN ARROW,OK,2
473,85,6,SOUTHWEST BU,GIDDINGS,TX,2
475,83,6,SOUTHWEST BU,ROUND ROCK,TX,2
476,81,7,SOUTHWEST BU,GATESVILLE,TX,2
477,119,12,SOUTHEAST BU,SODDY DAISY,TN,2
478,77,7,SOUTHWEST BU,PEARSALL,TX,2
479,349,44,SOUTHWEST BU,ALTUS,OK,2
480,275,25, NORTH BU,PITTSFIELD,IL,2
481,273,25, NORTH BU,MATTOON,IL,2
482,61,6,SOUTHWEST BU,WEST COLUMBIA,TX,2
483,8,14,SOUTHEAST BU,PRATTVILLE,AL,2
484,411,47,WEST BU,LAWRENCE,KS,2
485,129,13,SOUTHWEST BU,DONALDSONVILLE,LA,2
486,362,40, NORTH BU,BONNER SPRINGS,KS,2
488,97,14,SOUTHEAST BU,QUINCY,FL,2
489,128,13,SOUTHWEST BU,HAMMOND,LA,2
490,78,7,SOUTHWEST BU,CORPUS CHRISTI,TX,2
491,253,41, NORTH BU,PADUCAH,KY,2
492,580,41, NORTH BU,VINCENNES,IN,2
493,260,41, NORTH BU,PARIS,KY,2
494,16,14,SOUTHEAST BU,NEWNAN,GA,2
495,138,11,SOUTHEAST BU,COLUMBUS,MS,2
497,242,41, NORTH BU,SHELBYVILLE,KY,2
498,134,13,SOUTHWEST BU,JENA,LA,2
499,344,44,SOUTHWEST BU,ENID,OK,2
500,505,7,SOUTHWEST BU,EL PASO,TX,2
501,141,13,SOUTHWEST BU,LAUREL,MS,2
502,129,13,SOUTHWEST BU,GALLIANO,LA,2
503,84,6,SOUTHWEST BU,COLUMBUS,TX,2
504,61,6,SOUTHWEST BU,GALVESTON,TX,2
505,134,13,SOUTHWEST BU,DERIDDER,LA,2
506,272,40, NORTH BU,FLORA,IL,2
507,260,41, NORTH BU,LAWRENCEBURG,KY,2
508,506,7,SOUTHWEST BU,KERRVILLE,TX,2
510,21,2,SOUTHEAST BU,GAINESVILLE,GA,2
511,38,4, EAST BU,SUMTER,SC,2
512,505,7,SOUTHWEST BU,EL PASO,TX,2
513,73,7,SOUTHWEST BU,BIG SPRING,TX,2
514,39,4, EAST BU,AIKEN,SC,2
515,18,2,SOUTHEAST BU,MURPHY,NC,2
516,45,5,SOUTHWEST BU,GUN BARREL CITY,TX,2
