0,1,2,3,4,5,6,7,8,9,10
2181,SUP,INDIO,CA,Full Fleet,10/13/2023,N/A,654,WM21-ORDINANCE,654,Precision
1914,SUP,HIGHLAND,CA,Full Fleet,10/13/2023,N/A,800,WM21-CC-ORDINANCE,800,Precision
2137,SUP,DURHAM,NC,Full Fleet,10/10/2023,N/A,497,WM21,497,TECHNIBILT
3749,SUP,CINCINNATI,OH,Full Fleet,10/09/2023,N/A,581,EXT-90-FW,581,TECHNIBILT
2058,SUP,RALEIGH,NC,Full Fleet,10/09/2023,N/A,593,WM21,593,TECHNIBILT
7308,NHM,NORMAN,OK,Full Fleet,10/06/2023,25,175,EXT-90-FW,175,UNARCO
5722,NHM,HARVEY,LA,Full Fleet,10/06/2023,25,175,WM21,200,Precision
5394,SUP,DINUBA,CA,Full Fleet,10/06/2023,N/A,771,WM21,771,Precision
5056,SUP,PRAIRIEVILLE,LA,Full Fleet,10/06/2023,N/A,726,WM21,726,Precision
4683,SUP,BATON ROUGE,LA,Full Fleet,10/06/2023,N/A,736,WM21,736,Precision
4340,SUP,HESPERIA,CA,Full Fleet,10/06/2023,N/A,609,WM21-ORDINANCE,609,Precision
3271,SUP,CALERA,AL,Full Fleet,10/06/2023,N/A,562,EXT-90-FW,562,TECHNIBILT
2557,SUP,BAKERSFIELD,CA,Full Fleet,10/06/2023,N/A,614,WM21-ORDINANCE,614,Precision
2110,SUP,PARAMOUNT,CA,Full Fleet,10/06/2023,N/A,498,WM21-CC-ORDINANCE,498,Precision
1613,SUP,HIGH POINT,NC,Full Fleet,10/06/2023,N/A,620,WM21,620,TECHNIBILT
1004,SUP,BRADENTON,FL,Full Fleet,10/06/2023,N/A,786,WM21,786,TECHNIBILT
2074,SUP,WASILLA,AK,Full Fleet,10/04/2023,N/A,707,EXT-90-FW,707,UNARCO
967,SUP,Spring Hill,FL,Full Fleet,10/04/2023,N/A,741,WM21,741,TECHNIBILT
5759,NHM,LAKE WORTH,FL,Full Fleet,10/02/2023,25,175,WM21,200,TECHNIBILT
1994,SUP,PLATTSBURGH,NY,Full Fleet,10/02/2023,N/A,951,WM21,951,TECHNIBILT
2310,SUP,KNOXVILLE,TN,Full Fleet,09/29/2023,N/A,668,EXT-90-FW,668,TECHNIBILT
1564,SUP,New Boston,OH,Full Fleet,09/29/2023,N/A,738,EXT-90-FW,738,TECHNIBILT
1102,SUP,BAKER,LA,Full Fleet,09/29/2023,N/A,569,WM21,569,Precision
505,SUP,DERIDDER,LA,Full Fleet,09/29/2023,N/A,740,WM21,740,Precision
190,SUP,KENNETT,MO,Full Fleet,09/29/2023,N/A,535,WM21,535,Precision
122,SUP,JACKSON,MO,Full Fleet,09/29/2023,N/A,518,WM21,518,Precision
25,SUP,MEXICO,MO,Full Fleet,09/29/2023,N/A,568,WM21,568,Precision
15,SUP,WEST PLAINS,MO,Full Fleet,09/29/2023,N/A,842,WM21,842,Precision
2265,SUP,SIMPSONVILLE,SC,Full Fleet,09/28/2023,N/A,765,WM21,765,TECHNIBILT
1996,SUP,HALLANDALE BEACH,FL,Full Fleet,09/28/2023,N/A,683,WM21-CC,683,TECHNIBILT
307,SUP,WEST MONROE,LA,Full Fleet,09/28/2023,N/A,777,EXT-90-FW,777,UNARCO
94,SUP,MILLINGTON,TN,Full Fleet,09/28/2023,N/A,722,EXT-90-FW,722,UNARCO
942,SUP,Ocoee,FL,Full Fleet,09/27/2023,N/A,861,WM21-CC,861,TECHNIBILT
2195,SUP,HOWELL,NJ,Full Fleet,09/27/2023,N/A,632,WM21,632,TECHNIBILT
688,SUP,NASHVILLE,TN,Full Fleet,09/27/2023,N/A,599,EXT-90-FW,599,UNARCO
7032,SUP,Henrico,VA,Full Fleet,09/26/2023,N/A,635,RECOAT/EXT-90-FW-CC,635,UNARCO
118,SUP,AMORY,MS,Full Fleet,09/26/2023,N/A,536,WM21,536,TECHNIBILT
1874,SUP,ENGLEWOOD,FL,Full Fleet,09/25/2023,N/A,704,WM21,704,TECHNIBILT
724,SUP,JEFFERSON CITY,TN,Full Fleet,09/25/2023,N/A,647,EXT-90-FW,647,UNARCO
515,SUP,MURPHY,NC,Full Fleet,09/25/2023,N/A,617,WM21,617,TECHNIBILT
5185,SUP,COLUMBUS,OH,Full Fleet,09/22/2023,N/A,700,RECOAT/EXT-90-FW,700,UNARCO
5119,NHM,NASHVILLE,TN,Full Fleet,09/22/2023,25,175,EXT-90-FW,200,TECHNIBILT
2653,SUP,Portales,NM,Full Fleet,09/22/2023,N/A,290,WM21,290,Precision
2424,SUP,TICONDEROGA,NY,Full Fleet,09/22/2023,N/A,497,RECOAT/95-FW,497,UNARCO
2100,SUP,CHEBOYGAN,MI,Full Fleet,09/22/2023,N/A,523,EXT-90-FW,523,TECHNIBILT
1919,W/M,Lincoln,ME,Full Fleet,09/22/2023,N/A,358,RECOAT/95-FW,358,UNARCO
1793,SUP,WOODBURN,OR,Full Fleet,09/22/2023,N/A,641,WM21-ORDINANCE,641,Precision
1783,SUP,PRINCETON,IN,Full Fleet,09/22/2023,N/A,609,WM21,609,TECHNIBILT
1629,W/M,BRAZIL,IN,Full Fleet,09/22/2023,N/A,302,RECOAT/95-FW,302,UNARCO
1320,SUP,KNOXVILLE,TN,Full Fleet,09/22/2023,N/A,676,EXT-90-FW,676,UNARCO
1306,SUP,ALAMOGORDO,NM,Full Fleet,09/22/2023,N/A,807,WM21,807,Precision
851,SUP,RUIDOSO DOWNS,NM,Full Fleet,09/22/2023,N/A,537,WM21,537,Precision
495,SUP,Columbus,MS,Full Fleet,09/22/2023,N/A,775,EXT-90-FW,775,UNARCO
269,SUP,LAWTON,OK,Full Fleet,09/22/2023,N/A,786,WM21,786,Precision
129,SUP,ARDMORE,OK,Full Fleet,09/22/2023,N/A,778,WM21,778,Precision
30,SUP,DEXTER,MO,Full Fleet,09/22/2023,N/A,526,WM21,526,Precision
1581,SUP,FARGO,ND,Full Fleet,09/21/2023,N/A,900,EXT-90-FW,900,UNARCO
2438,SUP,STAFFORD,VA,Full Fleet,09/20/2023,N/A,760,RECOAT/EXT-90-FW,760,UNARCO
1695,SUP,Devils Lake,ND,Full Fleet,09/20/2023,N/A,392,EXT-90-FW,392,UNARCO
1302,SUP,NORTON,VA,Full Fleet,09/20/2023,N/A,666,RECOAT/EXT-90-FW,666,UNARCO
2471,SUP,DUBLIN,OH,Full Fleet,09/19/2023,N/A,526,RECOAT/EXT-90-FW,526,UNARCO
2121,SUP,Shelton,WA,Full Fleet,09/19/2023,N/A,652,EXT-90-FW-ORDINANCE,652,UNARCO
745,SUP,STOCKBRIDGE,GA,Full Fleet,09/19/2023,N/A,635,WM21,635,TECHNIBILT
4383,SUP,Dearborn,MI,Full Fleet,09/18/2023,N/A,738,RECOAT/EXT-90-FW,738,UNARCO
2499,NHM,ORLANDO,FL,Full Fleet,09/18/2023,25,175,EXT-90-FW,175,UNARCO
2241,SUP,Sunnyside,WA,Full Fleet,09/18/2023,N/A,564,EXT-90-FW-ORDINANCE,564,UNARCO
5389,SUP,WACO,TX,Full Fleet,09/15/2023,N/A,787,WM21,787,Precision
5029,SUP,OREGON,OH,Full Fleet,09/15/2023,N/A,620,RECOAT/EXT-90-FW,620,UNARCO
3053,SUP,EVERETT,WA,Full Fleet,09/15/2023,N/A,608,EXT-90-FW-ORDINANCE,608,UNARCO
3044,SUP,FORT WORTH,TX,Full Fleet,09/15/2023,N/A,545,WM21,545,Precision
3014,SUP,DALLAS,TX,Full Fleet,09/15/2023,N/A,973,WM21-CC-ORDINANCE,973,Precision
2831,SUP,Jerome,ID,Full Fleet,09/15/2023,N/A,511,EXT-90-FW,511,UNARCO
2427,SUP,DALLAS,TX,Full Fleet,09/15/2023,N/A,654,WM21-CC-ORDINANCE,654,Precision
1422,SUP,ALMA,MI,Full Fleet,09/15/2023,N/A,600,EXT-90-FW,600,TECHNIBILT
1405,SUP,BAY CITY,TX,Full Fleet,09/15/2023,N/A,482,WM21,482,Precision
1186,SUP,LIBERTY,TX,Full Fleet,09/15/2023,N/A,622,WM21,622,Precision
1144,SUP,YORK,SC,Full Fleet,09/14/2023,N/A,520,WM21,520,TECHNIBILT
2977,NHM,ARLINGTON,TX,Full Fleet,09/13/2023,25,175,EXT-90-FW,175,UNARCO
1521,SUP,CINCINNATI,OH,Full Fleet,09/13/2023,N/A,600,RECOAT/EXT-90-FW,600,UNARCO
4137,SUP,Tacoma,WA,Full Fleet,09/12/2023,N/A,615,EXT-90-FW-ORDINANCE,615,UNARCO
1344,SUP,Staunton,VA,Full Fleet,09/12/2023,N/A,663,RECOAT/EXT-90-FW,663,UNARCO
1037,SUP,SUMMERVILLE,SC,Full Fleet,09/12/2023,N/A,792,WM21,792,TECHNIBILT
6226,NHM,VIRGINIA BEACH,VA,Full Fleet,09/11/2023,25,175,WM21,200,TECHNIBILT
5664,NHM,CAMARILLO,CA,Full Fleet,09/11/2023,25,175,EXT-90-FW-ORDINANCE,175,UNARCO
5470,SUP,HUNTINGDON,PA,Full Fleet,09/11/2023,N/A,514,WM21,514,TECHNIBILT
3560,SUP,FALL RIVER,MA,Full Fleet,09/11/2023,N/A,767,RECOAT/EXT-90-FW-CC,767,UNARCO
641,SUP,Greenville,SC,Full Fleet,09/11/2023,N/A,525,WM21,525,TECHNIBILT
4501,SUP,WEST BROWNSVILLE,PA,Full Fleet,09/09/2023,N/A,418,WM21,418,TECHNIBILT
5824,NHM,MESQUITE ( PEACHTREE),TX,Full Fleet,09/08/2023,25,175,EXT-90-FW-CC,175,UNARCO
7309,NHM,HUMBLE,TX,Full Fleet,09/08/2023,25,175,EXT-90-FW,175,UNARCO
7168,NHM,Herriman,UT,Full Fleet,09/08/2023,25,175,EXT-90-FW,175,UNARCO
6941,NHM,CAPE CORAL,FL,Full Fleet,09/08/2023,25,175,EXT-90-FW,175,UNARCO
6850,NHM,MISSION,TX,Full Fleet,09/08/2023,25,175,EXT-90-FW,175,UNARCO
5763,SUP,SOUTH JORDAN,UT,Full Fleet,09/08/2023,N/A,616,WM21,616,Precision
5637,NHM,OCEANSIDE,CA,Full Fleet,09/08/2023,25,175,EXT-90-FW-CC-ORDINANCE,175,UNARCO
5205,NHM,LAYTON,UT,Full Fleet,09/08/2023,25,175,EXT-90-FW,175,UNARCO
5179,NHM,ORLANDO,FL,Full Fleet,09/08/2023,25,175,EXT-90-FW-CC,175,UNARCO
3703,NHM,KENNER,LA,Full Fleet,09/08/2023,25,175,EXT-90-FW-CC,175,UNARCO
3432,SUP,DESOTO,TX,Full Fleet,09/08/2023,N/A,620,WM21,620,Precision
3414,NHM,PALM HARBOR,FL,Full Fleet,09/08/2023,25,175,EXT-90-FW,175,UNARCO
3270,SUP,WYTHEVILLE,VA,Full Fleet,09/08/2023,N/A,596,EXT-90-FW,596,UNARCO
1800,SUP,Garland,TX,Full Fleet,09/08/2023,N/A,749,WM21,749,Precision
1440,SUP,Tooele,UT,Full Fleet,09/08/2023,N/A,846,WM21,846,Precision
977,W/M,Fernandina Beach,FL,Full Fleet,09/08/2023,N/A,276,95-FW,276,UNARCO
952,SUP,MOULTRIE,GA,Full Fleet,09/08/2023,N/A,667,WM21,667,TECHNIBILT
861,SUP,Lubbock,TX,Full Fleet,09/08/2023,N/A,771,WM21,771,Precision
275,SUP,LIVINGSTON,TX,Full Fleet,09/08/2023,N/A,703,WM21,703,Precision
3644,SUP,CHESAPEAKE,VA,Full Fleet,09/07/2023,N/A,624,RECOAT/EXT-90-FW,624,UNARCO
5875,NHM,ORLANDO,FL,Full Fleet,09/07/2023,25,175,EXT-90-FW-CC,200,TECHNIBILT
3869,SUP,RICHMOND,VA,Full Fleet,09/06/2023,N/A,489,RECOAT/EXT-90-FW,489,UNARCO
272,SUP,Franklin,TN,Full Fleet,09/06/2023,N/A,717,EXT-90-FW,717,TECHNIBILT
3717,SUP,NASHVILLE,TN,Full Fleet,09/05/2023,N/A,631,EXT-90-FW-CC,631,TECHNIBILT
1655,SUP,CRAWFORDSVILLE,IN,Full Fleet,09/04/2023,N/A,594,WM21,594,TECHNIBILT
5819,NHM,FRUIT COVE,FL,Full Fleet,09/04/2023,25,175,EXT-90-FW,200,TECHNIBILT
5331,SUP,PHOENIX,AZ,Full Fleet,09/01/2023,N/A,632,WM21-ORDINANCE,632,Precision
4387,SUP,WORCESTER,MA,Full Fleet,09/01/2023,N/A,1000,RECOAT/EXT-90-FW-CC,1000,UNARCO
3533,SUP,DENVER,CO,Full Fleet,09/01/2023,N/A,740,WM21,740,Precision
2976,NHM,MESQUITE,TX,Full Fleet,09/01/2023,25,175,EXT-90-FW,175,UNARCO
2948,SUP,SANTA FE SPRINGS,CA,Full Fleet,09/01/2023,N/A,560,WM21-ORDINANCE,560,Precision
2778,SUP,COOLIDGE,AZ,Full Fleet,09/01/2023,N/A,388,WM21-ORDINANCE,388,Precision
2039,W/M,MERCED,CA,Full Fleet,09/01/2023,N/A,511,WM21-ORDINANCE,511,Precision
1941,W/M,GLENDORA,CA,Full Fleet,09/01/2023,N/A,507,WM21-ORDINANCE,507,Precision
659,SUP,NASHVILLE,TN,Full Fleet,09/01/2023,N/A,653,EXT-90-FW,653,UNARCO
530,SUP,EL DORADO,AR,Full Fleet,09/01/2023,N/A,762,WM21,762,Precision
5616,SUP,Nashville,TN,Full Fleet,08/31/2023,N/A,364,EXT-90-FW,364,TECHNIBILT
3235,SUP,NORTH MIAMI BEACH,FL,Full Fleet,08/31/2023,N/A,800,WM21-CC-ORDINANCE,800,TECHNIBILT
1579,SUP,Oxford,NC,Full Fleet,08/31/2023,N/A,488,WM21,488,TECHNIBILT
571,SUP,GEORGETOWN,KY,Full Fleet,08/31/2023,N/A,722,EXT-90-FW,722,TECHNIBILT
4372,SUP,KINGWOOD,WV,Full Fleet,08/30/2023,N/A,450,RECOAT/EXT-90-FW,450,UNARCO
3445,SUP,HOLLAND,OH,Full Fleet,08/30/2023,N/A,640,RECOAT/EXT-90-FW,640,UNARCO
2198,SUP,BLOOMINGTON,MN,Full Fleet,08/30/2023,N/A,599,EXT-90-FW-CC,599,UNARCO
1385,SUP,Gastonia,NC,Full Fleet,08/30/2023,N/A,701,WM21,701,TECHNIBILT
874,SUP,NATCHEZ,MS,Full Fleet,08/30/2023,N/A,622,EXT-90-FW,622,UNARCO
675,SUP,UNION CITY,TN,Full Fleet,08/30/2023,N/A,602,EXT-90-FW,602,TECHNIBILT
362,SUP,WINFIELD,AL,Full Fleet,08/30/2023,N/A,405,RECOAT/EXT-90-FW,405,UNARCO
1023,SUP,Galax,VA,Full Fleet,08/29/2023,N/A,800,RECOAT/EXT-90-FW,800,UNARCO
5132,NHM,WINTER SPRINGS,FL,Full Fleet,08/28/2023,25,175,EXT-90-FW-CC,175,UNARCO
4134,NHM,STANTON,CA,Full Fleet,08/28/2023,50,175,EXT-90-FW-CC-ORDINANCE,175,UNARCO
3140,NHM,Bakersfield,CA,Full Fleet,08/28/2023,25,175,EXT-90-FW-CC-ORDINANCE,175,UNARCO
3133,NHM,LA PUENTE,CA,Full Fleet,08/28/2023,25,175,EXT-90-FW-ORDINANCE,175,UNARCO
1027,SUP,CONCORD,NC,Full Fleet,08/28/2023,N/A,720,WM21,720,TECHNIBILT
775,SUP,GALESBURG,IL,Full Fleet,08/28/2023,N/A,698,WM21,698,TECHNIBILT
5032,W/M,Buena Park,CA,Full Fleet,08/28/2023,N/A,607,95-FW-CC-ORDINANCE,607,UNARCO
5844,SUP,Livonia,MI,Full Fleet,08/25/2023,N/A,592,EXT-90-FW,592,UNARCO
5334,SUP,Aurora,CO,Full Fleet,08/25/2023,N/A,736,WM21,736,Precision
4284,SUP,LAKEWOOD,CO,Full Fleet,08/25/2023,N/A,638,WM21,638,Precision
4193,NHM,TYLER,TX,Full Fleet,08/25/2023,25,175,EXT-90-FW,175,UNARCO
3593,NHM,HORN LAKE,MS,Full Fleet,08/25/2023,25,175,EXT-90-FW,175,UNARCO
2751,SUP,ENGLEWOOD,CO,Full Fleet,08/25/2023,N/A,562,WM21,562,Precision
2370,SUP,TROY,NY,Full Fleet,08/25/2023,N/A,682,WM21,682,TECHNIBILT
544,SUP,OKLAHOMA CITY,OK,Full Fleet,08/25/2023,N/A,843,WM21,843,Precision
450,SUP,SHREVEPORT,LA,Full Fleet,08/25/2023,N/A,745,WM21,745,Precision
49,SUP,HUGO,OK,Full Fleet,08/25/2023,N/A,474,WM21,474,Precision
2918,SUP,ALLEN,TX,Full Fleet,08/24/2023,N/A,612,WM21,612,Precision
5311,SUP,MCKINNEY,TX,Full Fleet,08/24/2023,N/A,808,WM21,808,Precision
202,SUP,FRISCO (Custer & 121),TX,Full Fleet,08/24/2023,N/A,635,WM21,635,Precision
6323,NHM,GULFPORT,MS,Full Fleet,08/24/2023,25,175,WM21,200,TECHNIBILT
5025,SUP,FORT WAYNE,IN,Full Fleet,08/24/2023,N/A,643,WM21,643,TECHNIBILT
2807,SUP,HARRISONBURG,VA,Full Fleet,08/24/2023,N/A,636,RECOAT/EXT-90-FW,636,TECHNIBILT
