Store #,Half-Pallet Feature,Half-Pallet Feature Set Date,Endcap Feature,Endcap Feature Set Date,Modular,Modular Set Date,Modular End Week
36,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",No,N/A,N/A
37,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
38,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
39,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
40,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
41,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",No,N/A,N/A
42,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
43,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
44,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
45,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
46,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
47,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
48,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
49,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
50,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
51,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
52,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
54,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
55,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
56,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
57,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
58,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
59,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
60,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
61,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
62,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
63,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
64,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
65,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
66,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
67,No,N/A,No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
68,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
69,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
70,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
71,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
72,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
73,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",No,N/A,N/A
74,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
75,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
76,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
77,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
78,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
79,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",No,N/A,N/A
80,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
81,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
82,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
83,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
85,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
86,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
87,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
88,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
89,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
90,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
91,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
92,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
93,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
94,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
95,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
96,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
97,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
98,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,No,N/A,N/A
99,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
100,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",No,N/A,N/A
101,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
102,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
103,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
104,661238059 - Walmart Half 2023 ,"Monday, Oct. 9",No,N/A,C107 D67 Gifts/Ornaments,"Wednesday, Nov. 1","Monday, Dec. 25"
105,661238059 - Walmart Half 2023 ,"Monday, Oct. 9","595524210 - The Elf on the Shelf: Scout Elves at Play
595524320 - The Elf on the Shelf 9"" Elf Pets: An Arctic Fox Tradition Plush Toy
595524331 - Elf Pets: A Saint Bernard Tradition
595524209 - Elf Pets: A Reindeer Tradition","Monday, Oct. 9",No,N/A,N/A
