Store NBR,LY,TY,YOY Case QTY,Feature Wave WK27,SET Wave WK31,Replen Wave WK33,Replen Wave WK35,Replen Wave WK36
181,1376,967,-30%,3%,74%,22%,2%,0%
182,1744,1951,12%,2%,68%,28%,2%,0%
183,639,553,-13%,3%,70%,26%,1%,0%
184,9301,4898,-47%,1%,63%,33%,2%,0%
185,6174,2474,-60%,3%,60%,34%,3%,0%
186,4324,1455,-66%,2%,71%,26%,1%,0%
188,3134,3300,5%,2%,56%,39%,2%,0%
189,5497,2180,-60%,1%,70%,27%,2%,0%
190,1611,1766,10%,3%,74%,22%,2%,0%
192,4243,3190,-25%,2%,57%,38%,3%,0%
194,6474,3676,-43%,1%,55%,40%,4%,0%
195,5001,1309,-74%,4%,59%,36%,1%,0%
196,4410,1674,-62%,1%,62%,36%,1%,0%
197,5950,2493,-58%,2%,75%,22%,1%,0%
198,5046,1677,-67%,2%,73%,23%,1%,0%
199,1557,1495,-4%,2%,73%,24%,1%,0%
200,5991,2368,-60%,4%,59%,35%,2%,0%
201,6943,3298,-52%,2%,63%,32%,2%,0%
202,4813,1633,-66%,0%,71%,28%,1%,0%
203,127,478,276%,2%,72%,23%,3%,0%
204,1794,1365,-24%,3%,68%,28%,1%,0%
205,2187,1374,-37%,2%,58%,37%,3%,0%
206,5408,1690,-69%,1%,55%,41%,3%,0%
207,767,921,20%,1%,78%,21%,1%,0%
209,230,184,-20%,4%,60%,30%,5%,0%
210,316,432,37%,3%,72%,23%,2%,0%
211,1717,1227,-29%,1%,65%,32%,2%,0%
212,6390,3265,-49%,2%,65%,32%,2%,0%
213,5553,2118,-62%,3%,62%,33%,2%,0%
214,2289,1497,-35%,2%,64%,31%,3%,0%
216,6753,2941,-56%,2%,61%,35%,2%,0%
217,5060,1952,-61%,1%,61%,35%,3%,0%
218,490,1100,124%,1%,82%,17%,0%,0%
219,2200,1845,-16%,4%,62%,32%,2%,0%
220,10395,6064,-42%,1%,54%,41%,3%,0%
221,3450,2520,-27%,2%,63%,32%,2%,0%
222,5121,1863,-64%,2%,78%,20%,1%,0%
224,5533,2093,-62%,2%,63%,33%,2%,0%
225,850,749,-12%,6%,67%,25%,1%,0%
226,622,846,36%,3%,70%,26%,2%,0%
227,4485,1267,-72%,2%,65%,32%,1%,0%
228,7767,3595,-54%,3%,55%,38%,4%,0%
229,496,537,8%,1%,73%,24%,1%,0%
230,221,234,6%,3%,62%,30%,4%,0%
231,6116,2562,-58%,2%,57%,37%,4%,0%
232,398,423,6%,3%,64%,30%,3%,0%
233,1006,683,-32%,1%,74%,25%,1%,0%
234,7852,4188,-47%,1%,63%,35%,2%,0%
236,535,709,33%,2%,71%,26%,1%,0%
237,6055,1849,-69%,4%,60%,34%,2%,0%
238,954,1078,13%,1%,65%,31%,2%,0%
239,1226,683,-44%,4%,65%,29%,2%,0%
240,988,848,-14%,1%,75%,22%,1%,0%
242,1359,1186,-13%,2%,68%,29%,1%,0%
243,6601,2983,-55%,2%,58%,38%,2%,0%
244,476,729,53%,2%,77%,20%,1%,0%
246,967,581,-40%,1%,60%,36%,2%,0%
247,226,222,-2%,1%,65%,30%,4%,0%
248,1588,1196,-25%,3%,54%,39%,4%,0%
249,2441,1883,-23%,2%,61%,35%,3%,0%
250,663,876,32%,3%,73%,23%,1%,0%
251,2383,1622,-32%,3%,64%,31%,1%,0%
252,277,429,55%,2%,72%,24%,2%,0%
253,5591,1820,-67%,3%,67%,29%,1%,0%
254,4572,1399,-69%,2%,74%,22%,1%,0%
256,9029,4293,-52%,2%,62%,34%,2%,0%
257,581,750,29%,2%,72%,25%,1%,0%
258,6456,2499,-61%,2%,60%,34%,3%,0%
259,7135,3941,-45%,2%,54%,42%,3%,0%
260,4929,3075,-38%,4%,52%,40%,4%,0%
261,3540,2807,-21%,2%,66%,30%,2%,0%
262,5662,2256,-60%,2%,72%,25%,1%,0%
263,1,1709,170800%,0%,58%,39%,3%,0%
264,7014,3152,-55%,2%,55%,39%,3%,0%
265,2218,2019,-9%,1%,68%,28%,3%,0%
266,4960,1844,-63%,2%,60%,36%,2%,0%
267,4469,1884,-58%,3%,70%,25%,1%,0%
268,2886,1940,-33%,2%,66%,30%,2%,0%
269,6559,3616,-45%,1%,61%,35%,3%,0%
271,4475,1373,-69%,4%,67%,28%,1%,0%
272,9745,4810,-51%,2%,61%,35%,2%,0%
273,1099,912,-17%,1%,71%,26%,1%,0%
274,241,290,20%,3%,61%,33%,3%,0%
275,3528,2619,-26%,4%,57%,37%,2%,0%
276,459,609,33%,3%,70%,25%,1%,0%
277,7448,3736,-50%,1%,59%,38%,2%,0%
278,5701,2720,-52%,2%,58%,37%,3%,0%
279,876,751,-14%,1%,71%,27%,1%,0%
280,746,613,-18%,3%,67%,28%,1%,0%
281,1466,1096,-25%,3%,67%,29%,1%,0%
282,1177,1196,2%,3%,63%,31%,2%,0%
283,433,426,-2%,2%,59%,37%,2%,0%
284,7064,3986,-44%,2%,56%,40%,2%,0%
285,6456,2822,-56%,1%,61%,35%,3%,0%
286,6027,2287,-62%,3%,60%,34%,2%,0%
287,7494,2910,-61%,3%,55%,39%,3%,0%
288,490,500,2%,1%,65%,32%,1%,0%
289,252,289,15%,3%,66%,27%,4%,0%
290,1765,1068,-39%,2%,70%,28%,1%,0%
292,4481,1512,-66%,4%,62%,32%,2%,0%
293,237,303,28%,3%,63%,32%,3%,0%
294,2502,1585,-37%,3%,65%,30%,3%,0%
295,6094,2266,-63%,3%,67%,30%,1%,0%
296,509,591,16%,2%,68%,29%,1%,0%
297,7711,3580,-54%,1%,56%,39%,3%,0%
298,6164,1618,-74%,5%,53%,38%,4%,0%
299,4209,3335,-21%,2%,62%,33%,2%,0%
300,4900,1473,-70%,2%,65%,31%,2%,0%
301,5609,2264,-60%,2%,60%,34%,3%,0%
302,1258,1138,-10%,1%,75%,23%,1%,0%
303,471,712,51%,1%,76%,22%,1%,0%
304,2210,1751,-21%,4%,57%,37%,2%,0%
305,441,677,54%,1%,74%,24%,2%,0%
306,2350,2128,-9%,2%,67%,28%,2%,0%
307,3526,3104,-12%,2%,68%,28%,2%,0%
308,2732,1679,-39%,2%,58%,37%,3%,0%
309,4958,1947,-61%,1%,68%,30%,2%,0%
310,1556,1462,-6%,1%,69%,28%,2%,0%
