Store NBR,LY,TY,YOY Case QTY,Feature Wave WK27,SET Wave WK31,Replen Wave WK33,Replen Wave WK35,Replen Wave WK36
1090,1962,1921,-2%,1%,67%,30%,3%,0%
1091,3233,2272,-30%,2%,67%,29%,2%,0%
1093,454,1286,183%,1%,81%,18%,0%,0%
1094,2092,1705,-18%,1%,71%,26%,2%,0%
1095,4819,1629,-66%,1%,69%,28%,1%,0%
1096,5650,2111,-63%,2%,63%,34%,2%,0%
1097,7977,3649,-54%,2%,56%,39%,3%,0%
1098,4311,1265,-71%,1%,67%,29%,3%,0%
1099,5481,2375,-57%,1%,65%,31%,3%,0%
1100,176,593,237%,5%,60%,33%,2%,0%
1101,5272,1773,-66%,3%,60%,35%,2%,0%
1102,1211,1425,18%,1%,77%,20%,1%,0%
1103,6426,2933,-54%,1%,60%,36%,3%,0%
1104,7677,4560,-41%,2%,61%,34%,2%,0%
1105,5280,2182,-59%,1%,68%,28%,2%,0%
1106,593,712,20%,1%,74%,24%,1%,0%
1107,518,750,45%,2%,73%,23%,1%,0%
1108,566,623,10%,1%,73%,25%,1%,0%
1109,450,462,3%,3%,69%,27%,1%,0%
1110,455,529,16%,1%,70%,27%,2%,0%
1111,2264,1576,-30%,2%,62%,34%,2%,0%
1112,2512,2691,7%,2%,61%,34%,3%,0%
1113,6799,3600,-47%,2%,59%,36%,3%,0%
1114,433,638,47%,3%,76%,20%,1%,0%
1115,510,462,-9%,1%,65%,31%,2%,0%
1116,3437,2915,-15%,2%,69%,27%,2%,0%
1117,5657,1948,-66%,1%,65%,32%,3%,0%
1118,6416,2578,-60%,2%,59%,35%,4%,0%
1119,476,735,54%,1%,76%,22%,1%,0%
1120,6569,3181,-52%,1%,65%,32%,2%,0%
1121,4180,3883,-7%,2%,60%,35%,3%,0%
1122,2954,3190,8%,3%,64%,31%,2%,0%
1123,2734,2177,-20%,2%,63%,32%,3%,0%
1124,5009,1920,-62%,3%,69%,27%,1%,0%
1125,5800,2419,-58%,2%,60%,36%,2%,0%
1126,7439,3137,-58%,3%,57%,39%,1%,0%
1128,5053,1688,-67%,2%,68%,28%,2%,0%
1129,6894,2724,-60%,2%,55%,41%,2%,0%
1130,2312,1851,-20%,2%,68%,28%,2%,0%
1131,885,751,-15%,3%,69%,26%,2%,0%
1132,6594,2865,-57%,1%,59%,36%,3%,0%
1133,2798,2145,-23%,2%,58%,37%,3%,0%
1134,1713,1400,-18%,4%,55%,37%,3%,0%
1135,1236,1644,33%,1%,73%,25%,2%,0%
1136,1227,1093,-11%,2%,70%,27%,1%,0%
1137,5159,1198,-77%,1%,73%,24%,2%,0%
1138,1059,934,-12%,5%,65%,29%,1%,0%
1139,3990,2829,-29%,2%,57%,37%,3%,1%
1140,4283,2884,-33%,3%,63%,33%,2%,0%
1141,6385,2869,-55%,5%,53%,40%,2%,0%
1142,4861,1398,-71%,3%,61%,34%,2%,0%
1143,1070,1518,42%,0%,75%,23%,1%,0%
1144,5083,2200,-57%,2%,76%,21%,1%,0%
1146,2781,2478,-11%,2%,57%,38%,2%,0%
1147,324,410,27%,1%,74%,24%,1%,0%
1148,7437,3859,-48%,2%,55%,40%,3%,0%
1149,7841,4171,-47%,1%,60%,36%,3%,0%
1150,7788,3822,-51%,2%,50%,44%,3%,0%
1151,5949,3028,-49%,1%,70%,28%,2%,0%
1152,1251,1457,16%,2%,81%,17%,0%,0%
1153,1656,1935,17%,0%,67%,30%,3%,0%
1154,1854,1505,-19%,4%,59%,35%,1%,0%
1155,3077,2273,-26%,2%,58%,36%,3%,0%
1156,8164,4406,-46%,2%,52%,44%,2%,0%
1157,1415,1367,-3%,3%,73%,24%,1%,0%
1158,1107,1319,19%,1%,78%,20%,2%,0%
1159,214,257,20%,0%,61%,38%,2%,0%
1160,4040,2842,-30%,4%,55%,39%,2%,0%
1161,6824,3063,-55%,2%,64%,33%,2%,0%
1162,5181,1720,-67%,2%,67%,30%,1%,0%
1163,4913,2097,-57%,1%,74%,23%,1%,0%
1164,2001,2484,24%,1%,75%,23%,1%,0%
1165,7011,2939,-58%,2%,60%,36%,2%,0%
1166,104,163,57%,3%,49%,42%,6%,0%
1167,5992,2915,-51%,1%,59%,38%,2%,0%
1168,2288,1727,-25%,3%,65%,30%,2%,0%
1169,788,848,8%,1%,81%,17%,1%,0%
1170,4720,2112,-55%,1%,63%,34%,2%,0%
1171,4617,2381,-48%,1%,67%,30%,2%,0%
1172,6975,3453,-50%,2%,50%,44%,3%,0%
1173,5343,2863,-46%,1%,65%,31%,3%,0%
1174,788,1261,60%,0%,79%,20%,1%,0%
1175,6348,2801,-56%,0%,56%,39%,4%,0%
1176,4543,1655,-64%,2%,75%,22%,1%,0%
1177,6426,3001,-53%,2%,63%,33%,1%,0%
1178,5750,2049,-64%,2%,63%,33%,3%,0%
1179,6103,2698,-56%,2%,56%,38%,3%,0%
1180,3974,2946,-26%,2%,64%,32%,1%,0%
1181,4474,1951,-56%,1%,73%,24%,2%,0%
1182,6450,3943,-39%,2%,56%,39%,3%,0%
1183,6271,3262,-48%,2%,67%,29%,2%,0%
1184,4834,1406,-71%,0%,67%,31%,1%,0%
1185,5711,2317,-59%,0%,65%,32%,3%,0%
1186,2853,2259,-21%,2%,66%,30%,2%,0%
1187,419,661,58%,3%,71%,25%,1%,0%
1188,4637,1699,-63%,0%,73%,26%,1%,0%
1189,117,165,41%,2%,57%,37%,4%,1%
1190,2040,1758,-14%,2%,67%,29%,2%,0%
1191,5625,2355,-58%,3%,65%,30%,1%,0%
1192,1346,1265,-6%,4%,61%,33%,2%,0%
1193,6400,3148,-51%,2%,66%,30%,2%,0%
1194,3351,2771,-17%,2%,63%,33%,3%,0%
1195,5977,2784,-53%,1%,65%,32%,2%,0%
1196,891,1484,67%,1%,75%,22%,1%,0%
1197,2449,1749,-29%,2%,65%,31%,2%,0%
1198,8809,4438,-50%,1%,54%,43%,2%,0%
1199,5234,1894,-64%,1%,66%,32%,1%,0%
1200,5971,2617,-56%,1%,63%,33%,2%,0%
1201,6377,2661,-58%,1%,66%,31%,2%,0%
1202,3184,2711,-15%,1%,72%,25%,1%,0%
1203,8126,4995,-39%,3%,52%,42%,3%,0%
1204,5254,2325,-56%,2%,63%,33%,2%,0%
1205,2857,2615,-8%,3%,50%,43%,4%,0%
1206,6382,3152,-51%,1%,62%,35%,2%,0%
1207,2279,2187,-4%,2%,64%,31%,3%,0%
1209,6685,2889,-57%,3%,60%,35%,2%,0%
1210,829,1133,37%,3%,80%,17%,1%,0%
1211,638,1032,62%,3%,80%,17%,0%,0%
1212,5736,2213,-61%,2%,60%,35%,3%,0%
1213,8023,4814,-40%,1%,53%,42%,3%,0%
1214,389,567,46%,2%,70%,26%,1%,0%
1215,6420,2732,-57%,3%,58%,36%,3%,0%
1216,5450,2453,-55%,0%,64%,33%,2%,0%
1217,2719,1973,-27%,4%,53%,41%,3%,0%
1218,8043,4018,-50%,2%,54%,40%,4%,0%
1219,1984,2286,15%,0%,65%,31%,3%,0%
1220,5074,2182,-57%,1%,58%,37%,4%,0%
1221,6527,3916,-40%,1%,61%,35%,2%,0%
1222,8403,3382,-60%,2%,56%,39%,3%,0%
1223,6540,2883,-56%,2%,59%,37%,2%,0%
1224,7377,3722,-50%,1%,58%,38%,2%,0%
1225,6171,3651,-41%,2%,62%,34%,2%,0%
1226,4586,1940,-58%,2%,73%,24%,1%,0%
1227,5646,2348,-58%,3%,49%,43%,4%,0%
1228,6352,2580,-59%,2%,59%,37%,2%,0%
1229,5747,2473,-57%,2%,63%,33%,2%,0%
1230,7803,3435,-56%,2%,59%,36%,3%,0%
1231,6930,3423,-51%,0%,56%,40%,3%,0%
1232,6381,2825,-56%,2%,61%,35%,2%,0%
1233,7795,3497,-55%,1%,67%,29%,2%,0%
1234,1499,1089,-27%,3%,71%,25%,1%,0%
1235,6079,2014,-67%,0%,58%,37%,4%,0%
1236,5221,1992,-62%,3%,68%,27%,2%,0%
1237,2742,2011,-27%,3%,63%,31%,2%,0%
1238,5944,2389,-60%,1%,61%,35%,2%,0%
1239,2023,2058,2%,2%,76%,22%,1%,0%
1240,7484,3400,-55%,1%,54%,41%,3%,0%
1241,7225,3593,-50%,2%,61%,36%,2%,0%
1242,3410,2954,-13%,2%,55%,39%,3%,0%
1243,1902,1779,-6%,1%,66%,30%,2%,0%
1244,5359,2609,-51%,1%,72%,25%,1%,0%
1245,7914,5008,-37%,1%,61%,35%,3%,0%
1247,8491,2403,-72%,3%,51%,42%,3%,0%
1248,3365,2796,-17%,0%,68%,28%,3%,0%
1249,4929,2148,-56%,2%,70%,25%,2%,0%
1250,1,294,29300%,0%,54%,45%,1%,0%
1252,6211,2923,-53%,1%,62%,36%,1%,0%
1253,6581,2705,-59%,2%,58%,37%,3%,0%
1254,3104,2009,-35%,3%,56%,37%,4%,0%
1255,2342,1651,-30%,1%,73%,24%,1%,0%
1256,6409,3148,-51%,3%,64%,31%,2%,0%
1257,400,582,46%,1%,73%,25%,1%,0%
1259,6028,1577,-74%,3%,54%,39%,3%,0%
1260,2452,1675,-32%,3%,65%,30%,2%,0%
1261,5506,2061,-63%,2%,62%,33%,2%,0%
1263,5769,2133,-63%,3%,56%,39%,2%,0%
1264,6221,2456,-61%,2%,67%,29%,2%,0%
1265,978,944,-3%,1%,60%,35%,4%,0%
1266,4432,1539,-65%,2%,71%,26%,1%,0%
1267,4888,1840,-62%,2%,70%,27%,1%,0%
1268,5923,2209,-63%,2%,64%,31%,2%,0%
1270,5510,2119,-62%,2%,61%,34%,2%,0%
1271,1147,1680,46%,2%,78%,19%,1%,0%
1272,4704,1650,-65%,3%,66%,29%,2%,0%
1273,7845,4074,-48%,1%,60%,38%,2%,0%
1274,871,757,-13%,3%,74%,22%,1%,0%
1275,4458,1319,-70%,1%,70%,27%,2%,0%
1276,5415,2073,-62%,1%,70%,28%,1%,0%
1277,1525,1509,-1%,1%,78%,20%,0%,0%
1279,6425,3740,-42%,1%,57%,37%,4%,0%
1280,6288,2443,-61%,1%,59%,38%,3%,0%
1281,5403,2197,-59%,2%,67%,29%,2%,0%
1282,1013,937,-8%,1%,78%,21%,1%,0%
1283,2962,2620,-12%,2%,61%,34%,3%,0%
1284,7000,3269,-53%,1%,63%,33%,3%,0%
1285,5527,2275,-59%,2%,65%,29%,3%,0%
1286,4218,1898,-55%,0%,71%,27%,2%,0%
1287,6011,2559,-57%,2%,56%,39%,3%,0%
1288,811,1277,57%,4%,63%,31%,1%,0%
1289,6385,2677,-58%,4%,68%,26%,2%,0%
1290,6046,2591,-57%,3%,63%,32%,2%,0%
1291,7106,3533,-50%,1%,63%,33%,3%,0%
1292,3814,2803,-27%,2%,66%,30%,2%,0%
1293,1784,1945,9%,0%,57%,39%,3%,0%
1294,5646,2232,-60%,2%,64%,31%,3%,0%
1295,749,622,-17%,2%,68%,28%,1%,0%
1296,2944,2167,-26%,2%,57%,35%,5%,0%
1297,2778,2928,5%,2%,58%,37%,3%,0%
1298,6965,2997,-57%,2%,52%,44%,2%,0%
1299,6590,2969,-55%,2%,62%,34%,2%,0%
1300,6247,2539,-59%,3%,62%,33%,2%,0%
1301,7635,3625,-53%,2%,62%,34%,1%,0%
1302,4883,3254,-33%,2%,64%,31%,3%,0%
1303,8504,4310,-49%,2%,55%,40%,2%,0%
1304,3275,2244,-31%,2%,62%,34%,2%,0%
1305,6730,2972,-56%,1%,65%,32%,2%,0%
1306,7759,3560,-54%,1%,66%,30%,2%,0%
1307,6348,3228,-49%,1%,65%,32%,2%,0%
1308,5149,2439,-53%,0%,61%,38%,1%,0%
1309,5451,2006,-63%,4%,60%,33%,2%,0%
1310,6919,3157,-54%,2%,69%,28%,2%,0%
1311,6145,3929,-36%,1%,61%,36%,2%,0%
1312,5113,1994,-61%,1%,69%,28%,2%,0%
1313,8041,4076,-49%,1%,54%,40%,4%,0%
1314,5909,2694,-54%,1%,61%,35%,2%,0%
1315,6496,3023,-53%,2%,59%,38%,2%,0%
1316,545,828,52%,4%,68%,27%,1%,0%
1317,5484,1765,-68%,0%,88%,12%,0%,0%
1318,6281,2903,-54%,3%,60%,35%,2%,0%
1319,7129,2984,-58%,2%,58%,37%,2%,0%
1320,6923,3077,-56%,2%,69%,28%,2%,0%
1321,3047,2400,-21%,2%,65%,31%,2%,0%
1322,3273,2860,-13%,2%,65%,31%,2%,0%
1323,858,917,7%,1%,75%,22%,2%,0%
1324,4230,3126,-26%,1%,63%,32%,4%,0%
1325,532,496,-7%,2%,62%,34%,2%,0%
1326,5496,2906,-47%,2%,62%,34%,2%,0%
1327,5126,1867,-64%,2%,73%,24%,1%,0%
1328,1229,1222,-1%,1%,59%,36%,3%,0%
1329,4978,2049,-59%,2%,71%,25%,2%,0%
1330,3072,2335,-24%,2%,65%,31%,2%,0%
1331,6300,2652,-58%,2%,75%,22%,1%,0%
1332,4501,1578,-65%,1%,73%,24%,2%,0%
1333,1861,1842,-1%,2%,78%,20%,1%,0%
1334,5146,1949,-62%,1%,66%,31%,2%,0%
1335,5940,2120,-64%,2%,65%,31%,1%,0%
1336,1695,1227,-28%,1%,72%,26%,1%,0%
1337,3787,2414,-36%,3%,64%,31%,2%,0%
1338,1483,1538,4%,1%,61%,34%,4%,0%
1339,5161,2388,-54%,1%,59%,37%,2%,0%
1340,1587,1393,-12%,0%,72%,25%,2%,0%
1341,7425,3252,-56%,2%,57%,38%,2%,0%
1342,4975,1943,-61%,3%,55%,39%,3%,0%
1344,3300,2963,-10%,2%,68%,28%,2%,0%
1345,2301,2127,-8%,3%,69%,27%,1%,0%
1346,6580,3059,-54%,2%,62%,34%,2%,0%
1347,5825,2591,-56%,3%,63%,32%,2%,0%
1348,7625,4686,-39%,1%,57%,40%,2%,0%
1349,4221,1454,-66%,1%,74%,24%,2%,0%
1350,6291,3272,-48%,1%,60%,36%,2%,0%
1351,7150,3663,-49%,3%,56%,39%,2%,0%
1352,1554,1142,-27%,2%,73%,23%,1%,0%
1353,8041,5258,-35%,1%,63%,34%,2%,0%
1354,3071,2276,-26%,2%,74%,23%,1%,0%
1355,6468,2614,-60%,1%,60%,36%,2%,0%
1356,2894,1894,-35%,3%,64%,32%,2%,0%
1357,5315,2310,-57%,1%,69%,29%,2%,0%
1358,2225,2255,1%,2%,68%,28%,2%,0%
1359,5071,2407,-53%,1%,64%,33%,2%,0%
1360,2260,1830,-19%,1%,72%,25%,1%,0%
1361,5457,2485,-54%,3%,59%,35%,2%,0%
1362,4786,1631,-66%,0%,68%,30%,2%,0%
1363,2159,2137,-1%,3%,61%,34%,1%,0%
1364,4599,1448,-69%,2%,63%,34%,2%,0%
1365,364,593,63%,2%,67%,30%,2%,0%
1366,1301,1332,2%,2%,78%,18%,1%,0%
1367,7071,4401,-38%,1%,59%,37%,3%,0%
1368,1927,1352,-30%,2%,68%,29%,1%,0%
1369,4303,1258,-71%,2%,64%,32%,2%,0%
1370,5414,2259,-58%,1%,73%,25%,1%,0%
1371,1995,1885,-6%,3%,60%,35%,2%,0%
1372,4330,1372,-68%,1%,71%,26%,2%,0%
1373,5059,1845,-64%,0%,65%,31%,3%,0%
1374,5783,3074,-47%,1%,61%,36%,2%,0%
1375,5844,2239,-62%,2%,63%,33%,2%,0%
1376,7425,3618,-51%,2%,57%,39%,2%,0%
1377,7343,3189,-57%,3%,66%,30%,1%,0%
1378,5495,2099,-62%,2%,75%,22%,2%,0%
1379,5757,2382,-59%,1%,69%,28%,2%,0%
1380,4874,2088,-57%,1%,71%,26%,2%,0%
1381,4489,2139,-52%,1%,70%,28%,2%,0%
1382,6619,2689,-59%,2%,71%,26%,1%,0%
1383,5454,1532,-72%,0%,54%,42%,3%,0%
1384,1355,1685,24%,1%,71%,26%,2%,0%
1385,6346,2941,-54%,2%,67%,29%,2%,0%
1386,4786,1748,-63%,2%,73%,24%,1%,0%
1387,5627,2213,-61%,1%,66%,31%,2%,0%
1388,2295,1533,-33%,2%,62%,34%,2%,0%
1389,919,842,-8%,1%,75%,23%,1%,0%
1390,7221,3387,-53%,2%,56%,39%,3%,0%
1391,4560,2194,-52%,1%,67%,30%,2%,0%
1392,6282,3652,-42%,1%,61%,36%,2%,0%
1393,4401,1539,-65%,2%,73%,23%,1%,0%
1394,5250,2220,-58%,0%,56%,41%,2%,0%
1395,1785,1693,-5%,2%,74%,22%,1%,0%
1396,5894,2370,-60%,2%,71%,25%,1%,0%
1397,9347,6023,-36%,1%,58%,38%,2%,0%
1398,4399,1532,-65%,1%,72%,26%,1%,0%
1399,2401,1681,-30%,4%,65%,30%,1%,0%
1400,7243,3916,-46%,2%,51%,45%,2%,0%
1401,6358,3438,-46%,2%,57%,38%,2%,0%
1403,2813,2317,-18%,4%,49%,44%,3%,0%
1404,5563,2208,-60%,3%,62%,35%,1%,0%
1405,2756,1654,-40%,2%,59%,36%,2%,0%
1406,6458,2462,-62%,1%,68%,29%,2%,0%
1407,2500,1824,-27%,4%,64%,30%,2%,0%
1408,5000,2401,-52%,0%,60%,37%,3%,0%
1409,5973,2459,-59%,1%,60%,36%,3%,0%
1410,6870,2859,-58%,2%,66%,30%,1%,0%
1411,6853,3132,-54%,1%,60%,37%,2%,0%
1412,6532,2743,-58%,1%,67%,31%,1%,0%
1413,7057,3388,-52%,2%,65%,32%,1%,0%
1414,2412,2460,2%,1%,77%,20%,2%,0%
1415,4266,1250,-71%,3%,67%,29%,1%,0%
1416,1209,1136,-6%,1%,77%,21%,1%,0%
1417,5314,2054,-61%,1%,65%,32%,2%,0%
1418,6176,2501,-60%,2%,59%,37%,2%,0%
1419,5720,2695,-53%,1%,60%,36%,2%,0%
1420,6312,2710,-57%,1%,67%,30%,2%,0%
1421,5645,2195,-61%,2%,71%,26%,1%,0%
1422,4573,1740,-62%,2%,76%,21%,1%,0%
1423,4898,1643,-66%,2%,73%,24%,1%,0%
1424,5939,2486,-58%,2%,59%,37%,3%,0%
1425,4757,1403,-71%,3%,65%,30%,1%,0%
1426,4605,2497,-46%,3%,52%,40%,5%,0%
1427,2930,2005,-32%,3%,60%,35%,2%,0%
1428,2936,2182,-26%,2%,60%,35%,3%,0%
1429,6925,3062,-56%,2%,67%,29%,2%,0%
1430,5302,2393,-55%,1%,61%,37%,1%,0%
1431,4881,1682,-66%,3%,70%,26%,2%,0%
1432,2909,2316,-20%,1%,69%,28%,2%,0%
1433,6390,2528,-60%,3%,70%,26%,2%,0%
1434,7067,3310,-53%,1%,68%,30%,1%,0%
1435,4580,1474,-68%,2%,72%,25%,1%,0%
1436,4203,1398,-67%,1%,75%,23%,2%,0%
1437,1174,1007,-14%,2%,67%,29%,2%,0%
1438,10775,5584,-48%,2%,58%,37%,3%,0%
1439,9764,5347,-45%,2%,60%,36%,2%,0%
1440,11554,6443,-44%,1%,59%,37%,3%,0%
1441,6261,2958,-53%,1%,59%,38%,2%,0%
1442,1930,1696,-12%,1%,67%,31%,2%,0%
1443,7440,3869,-48%,1%,57%,40%,2%,0%
1444,6334,3376,-47%,0%,55%,41%,3%,0%
1445,4873,1665,-66%,4%,70%,26%,1%,0%
1446,5176,1974,-62%,2%,68%,27%,2%,0%
1447,6540,2826,-57%,2%,62%,34%,2%,0%
1448,6739,3059,-55%,2%,68%,28%,1%,0%
1449,6317,2832,-55%,1%,73%,25%,1%,0%
1450,2473,1611,-35%,5%,62%,31%,2%,0%
1451,516,839,63%,1%,79%,19%,1%,0%
1452,1661,1480,-11%,1%,50%,46%,3%,0%
1453,6104,3316,-46%,1%,59%,37%,3%,0%
1454,5917,2291,-61%,2%,59%,37%,2%,0%
1455,5832,2073,-64%,1%,66%,30%,3%,0%
1456,5471,2295,-58%,1%,65%,32%,2%,0%
1457,2685,2691,0%,1%,70%,26%,2%,0%
1458,5459,3786,-31%,3%,59%,34%,3%,0%
1459,6098,3092,-49%,0%,61%,36%,2%,0%
1460,5518,2352,-57%,2%,66%,31%,2%,0%
1461,7188,3330,-54%,1%,60%,37%,3%,0%
1462,1671,1304,-22%,1%,78%,19%,1%,0%
1463,6556,2859,-56%,2%,68%,28%,1%,0%
1464,2035,1599,-21%,1%,59%,36%,3%,0%
1465,6469,2582,-60%,2%,62%,33%,2%,0%
1466,2372,2003,-16%,1%,66%,30%,2%,0%
1467,260,178,-32%,2%,52%,39%,7%,1%
1468,2483,1798,-28%,3%,63%,32%,2%,0%
1469,6564,3145,-52%,1%,63%,33%,3%,0%
1470,2399,1973,-18%,2%,73%,23%,2%,0%
1471,620,729,18%,3%,70%,27%,1%,0%
1472,4606,1522,-67%,2%,70%,27%,1%,0%
1473,5995,3407,-43%,2%,63%,33%,2%,0%
1474,6347,2980,-53%,2%,60%,35%,3%,0%
1475,514,1157,125%,2%,81%,16%,1%,0%
1476,7051,3633,-48%,2%,56%,40%,3%,0%
1477,5360,1971,-63%,2%,70%,26%,2%,0%
1478,7000,2941,-58%,3%,61%,34%,2%,0%
1479,7967,4177,-48%,3%,63%,33%,2%,0%
1480,638,805,26%,3%,74%,23%,1%,0%
1481,5238,2108,-60%,1%,65%,31%,3%,0%
1482,1022,969,-5%,4%,56%,37%,4%,0%
1483,6251,2425,-61%,3%,64%,32%,2%,0%
1484,1,1639,163800%,0%,61%,37%,3%,0%
1485,7587,3359,-56%,1%,61%,35%,3%,0%
1486,6061,1309,-78%,3%,56%,37%,3%,0%
1487,4982,2136,-57%,1%,70%,27%,2%,0%
1488,5907,2879,-51%,1%,64%,33%,3%,0%
1489,4220,1524,-64%,1%,65%,34%,1%,0%
1490,6291,3099,-51%,2%,65%,31%,2%,0%
1491,4930,2006,-59%,2%,70%,27%,1%,0%
1492,4635,1733,-63%,1%,60%,35%,4%,0%
1493,1624,1647,1%,2%,81%,16%,1%,0%
1494,7635,4228,-45%,1%,51%,45%,3%,0%
1495,7047,3603,-49%,1%,65%,32%,2%,0%
1496,5057,2369,-53%,1%,68%,30%,2%,0%
1497,1844,1601,-13%,2%,76%,21%,1%,0%
1498,2047,1975,-4%,2%,63%,34%,1%,0%
1499,1975,1173,-41%,3%,56%,38%,3%,0%
1500,2931,2345,-20%,1%,68%,28%,2%,0%
1501,4567,1856,-59%,1%,61%,37%,1%,0%
1502,5420,2056,-62%,1%,67%,30%,2%,0%
1503,8188,4330,-47%,1%,63%,34%,1%,0%
1504,5840,2206,-62%,2%,64%,32%,2%,0%
1505,9202,4638,-50%,2%,62%,33%,2%,0%
1506,483,765,58%,4%,76%,19%,1%,0%
1507,2186,2253,3%,1%,61%,37%,2%,0%
1508,5450,2363,-57%,1%,61%,36%,2%,0%
1509,620,803,30%,3%,74%,23%,1%,0%
1510,8069,4609,-43%,2%,55%,41%,2%,0%
1511,4453,1236,-72%,1%,66%,30%,3%,0%
1512,6478,2990,-54%,1%,66%,31%,2%,0%
1513,5013,2052,-59%,1%,55%,42%,2%,0%
1514,9623,4983,-48%,2%,62%,35%,2%,0%
1515,5214,2154,-59%,2%,71%,25%,2%,0%
1516,2144,1434,-33%,3%,61%,34%,2%,0%
1517,943,796,-16%,1%,65%,32%,2%,0%
1518,5212,2688,-48%,0%,68%,30%,2%,0%
1519,6092,2402,-61%,2%,61%,35%,2%,0%
1520,5372,1947,-64%,2%,71%,25%,2%,0%
1521,2043,2116,4%,1%,77%,20%,2%,0%
1522,6155,2263,-63%,2%,62%,33%,2%,0%
1523,6579,2833,-57%,1%,61%,35%,2%,0%
1524,5908,2357,-60%,2%,63%,32%,2%,0%
1525,6883,2874,-58%,2%,58%,38%,2%,0%
1526,2107,1762,-16%,2%,75%,22%,1%,0%
1527,3681,2632,-28%,3%,57%,37%,2%,0%
1528,6003,2512,-58%,2%,64%,32%,2%,0%
1529,7378,4340,-41%,2%,57%,40%,2%,0%
1530,2094,1871,-11%,2%,73%,24%,2%,0%
1531,1966,1795,-9%,2%,75%,21%,2%,0%
1532,8999,5612,-38%,1%,60%,37%,2%,0%
1533,7154,3824,-47%,2%,59%,36%,3%,0%
1534,6159,3330,-46%,1%,68%,29%,2%,0%
1535,5973,2633,-56%,2%,62%,33%,3%,0%
1536,7925,3744,-53%,1%,58%,38%,2%,0%
1537,1494,994,-33%,2%,59%,38%,2%,0%
1538,3193,2217,-31%,3%,65%,30%,2%,0%
1539,6257,2549,-59%,2%,60%,36%,2%,0%
1540,1399,1995,43%,0%,82%,16%,1%,0%
1541,8141,4391,-46%,2%,56%,40%,3%,0%
1542,6512,3101,-52%,2%,70%,27%,2%,0%
1543,6938,3064,-56%,3%,61%,35%,1%,0%
1544,7272,3457,-52%,2%,57%,39%,2%,0%
1545,5612,2793,-50%,1%,67%,31%,1%,0%
1546,270,586,117%,2%,77%,19%,2%,0%
1547,1872,2132,14%,1%,66%,31%,2%,0%
1548,1596,1174,-26%,3%,72%,24%,1%,0%
1549,6598,3739,-43%,1%,53%,41%,5%,0%
1550,342,418,22%,2%,65%,31%,2%,0%
1551,4872,1739,-64%,5%,61%,32%,2%,0%
1552,5987,2555,-57%,2%,62%,33%,3%,0%
1553,6314,3143,-50%,1%,64%,34%,2%,0%
1554,8171,3960,-52%,1%,53%,41%,5%,0%
1555,9646,5685,-41%,1%,58%,38%,3%,0%
1556,8151,3852,-53%,2%,61%,35%,2%,0%
1557,6687,3497,-48%,2%,63%,33%,2%,0%
1558,1498,1471,-2%,2%,75%,21%,1%,0%
1559,2440,1806,-26%,2%,52%,40%,6%,0%
1560,6231,3466,-44%,1%,57%,40%,2%,0%
1561,1875,1431,-24%,1%,57%,37%,6%,0%
1562,902,802,-11%,1%,72%,26%,1%,0%
1563,7924,5181,-35%,1%,59%,37%,3%,0%
1564,4942,4024,-19%,2%,65%,30%,3%,0%
1565,10913,5423,-50%,2%,58%,38%,2%,0%
1566,4969,1746,-65%,2%,67%,28%,3%,0%
1567,4313,4039,-6%,3%,64%,31%,2%,0%
1568,7037,3052,-57%,2%,56%,40%,2%,0%
1569,6691,1930,-71%,3%,56%,38%,3%,0%
1570,5775,2155,-63%,3%,60%,34%,3%,0%
1571,5974,2737,-54%,2%,73%,24%,1%,0%
1572,7348,3775,-49%,2%,53%,41%,4%,0%
1573,7318,3561,-51%,2%,63%,33%,2%,0%
1574,8079,3902,-52%,1%,59%,36%,5%,0%
1575,6349,2785,-56%,1%,61%,35%,3%,0%
1576,6050,2309,-62%,3%,56%,39%,2%,0%
1577,5064,2025,-60%,3%,69%,27%,2%,0%
1578,6038,2823,-53%,1%,71%,27%,1%,0%
1579,5005,1777,-64%,2%,75%,21%,1%,0%
1580,5855,2948,-50%,1%,61%,35%,3%,0%
1581,6009,3197,-47%,0%,69%,29%,2%,0%
1583,2905,2563,-12%,2%,53%,39%,6%,0%
1584,7435,3641,-51%,1%,67%,31%,2%,0%
1585,6404,2795,-56%,1%,66%,31%,2%,0%
1586,4551,2292,-50%,1%,63%,34%,2%,0%
1587,6467,3512,-46%,1%,58%,37%,4%,0%
1588,7716,4492,-42%,1%,51%,43%,5%,0%
1589,4568,887,-81%,1%,63%,35%,1%,0%
1590,7252,3614,-50%,1%,54%,40%,4%,0%
1591,5302,2253,-58%,1%,57%,39%,2%,0%
1592,5149,1647,-68%,3%,70%,26%,1%,0%
1593,5326,2241,-58%,1%,75%,22%,2%,0%
1594,6465,3184,-51%,2%,58%,38%,2%,0%
1595,2710,2376,-12%,3%,63%,33%,2%,0%
1596,1424,1753,23%,1%,73%,25%,1%,0%
1597,6292,3483,-45%,2%,53%,42%,3%,0%
1598,5446,2546,-53%,1%,55%,42%,2%,0%
1599,4040,1341,-67%,1%,71%,27%,1%,0%
1600,5871,2236,-62%,1%,61%,35%,3%,0%
1601,6863,3524,-49%,3%,58%,38%,1%,0%
1602,5216,2142,-59%,1%,60%,37%,2%,0%
1603,437,554,27%,2%,68%,28%,2%,0%
1604,8083,3903,-52%,1%,61%,34%,3%,0%
