Store,City and State,Launch Date
1233,"Paintsville, KY",Wed 08 31 2022
1239,"Urbana, OH",Wed 08 17 2022
1247,"Hazard, KY",Wed 08 31 2022
1264,"Bellefontaine, OH",Wed 08 17 2022
1299,"Cottonwood, AZ",Wed 08 31 2022
1356,"Martinsville, IN",Wed 08 24 2022
1365,"Hudson, WI",Wed 08 17 2022
1395,"Centralia, IL",Wed 08 24 2022
1422,"Alma, MI",Wed 08 10 2022
1423,"Saint Johns, MI",Wed 08 10 2022
1425,"Columbia City, IN",Wed 08 17 2022
1432,"Cadillac, MI",Wed 08 10 2022
1433,"Celina, OH",Wed 08 17 2022
1445,"Port Clinton, OH",Wed 08 10 2022
1489,"Vernon Hills, IL",Wed 08 10 2022
1519,"Jackson, OH",Wed 08 17 2022
1520,"Aberdeen, SD",Wed 08 31 2022
1538,"Brookings, SD",Wed 08 31 2022
1576,"Schererville, IN",Wed 08 24 2022
1579,"Oxford, NC",Wed 08 24 2022
1593,"Coldwater, MI",Wed 08 10 2022
1607,"Lewistown, PA",Wed 08 17 2022
1610,"Greece, NY",Wed 08 10 2022
1642,"Charlotte, MI",Wed 08 10 2022
1771,"Sturgis, MI",Wed 08 10 2022
1792,"Saint Marys, PA",Wed 08 17 2022
1797,"Thomaston, ME",Wed 08 10 2022
1809,"Jonesville, MI",Wed 08 10 2022
1857,"Mentor, OH",Wed 08 10 2022
1867,"Westminster, MD",Wed 08 10 2022
1895,"Fairlawn, OH",Wed 08 10 2022
1906,"Fairhaven, MA",Wed 08 24 2022
1907,"Hinsdale, NH",Wed 08 10 2022
1921,"Manahawkin, NJ",Wed 08 24 2022
1937,"Coshocton, OH",Wed 08 17 2022
1953,"Louisburg, NC",Wed 08 24 2022
1966,"Geneseo, NY",Wed 08 10 2022
1975,"Claremont, NH",Wed 08 10 2022
1984,"North Adams, MA",Wed 08 10 2022
1990,"Delaware, OH",Wed 08 17 2022
2000,"Kitty Hawk, NC",Wed 08 24 2022
2008,"Grove City, PA",Wed 08 17 2022
2035,"Greenville, OH",Wed 08 17 2022
2109,"Millville, NJ",Wed 08 10 2022
2114,"Chipley, FL",Wed 08 10 2022
2118,"Lunenburg, MA",Wed 08 17 2022
2126,"Mililani, HI",Wed 08 24 2022
2138,"West Lebanon, NH",Wed 08 10 2022
2159,"Olean, NY",Wed 08 10 2022
2163,"Shelton, CT",Wed 08 24 2022
2286,"Centereach, NY",Wed 08 24 2022
2289,"Bennington, VT",Wed 08 10 2022
2314,"Waipahu, HI",Wed 08 24 2022
2329,"Orange, MA",Wed 08 10 2022
2332,"Saint Albans, VT",Wed 08 10 2022
2350,"Wauseon, OH",Wed 08 10 2022
2373,"Warwick, RI",Wed 08 10 2022
2434,"Iron Mountain, MI",Wed 08 10 2022
2435,"Dundalk, MD",Wed 08 10 2022
2480,"Honesdale, PA",Wed 08 10 2022
2491,"Danville, IL",Wed 08 17 2022
2555,"New Castle, DE",Wed 08 17 2022
2571,"Federal Way, WA",Wed 08 24 2022
2582,"Clinton, NJ",Wed 08 24 2022
2583,"Uniondale, NY",Wed 08 10 2022
2585,"Stratford, CT",Wed 08 10 2022
2605,"Gallipolis, OH",Wed 08 17 2022
2610,"Logan, WV",Wed 08 17 2022
2613,"Bucyrus, OH",Wed 08 10 2022
2656,"Espanola, NM",Wed 08 31 2022
2663,"Ebensburg, PA",Wed 08 17 2022
2723,"Sumiton, AL",Wed 08 10 2022
2761,"Pounding Mill, VA",Wed 08 17 2022
2849,"Mason, WV",Wed 08 17 2022
2867,"Lansing, MI",Wed 08 17 2022
2899,"Avon, CT",Wed 08 17 2022
2915,"East Setauket, NY",Wed 08 10 2022
2916,"East Meadow, NY",Wed 08 10 2022
2917,"Islandia, NY",Wed 08 17 2022
2933,"Princeton, WV",Wed 08 17 2022
2992,"Painted Post, NY",Wed 08 10 2022
3137,"Fairview, TN",Wed 08 10 2022
3149,"Honolulu, HI",Wed 08 10 2022
3200,"Weymouth, MA",Wed 08 24 2022
3253,"Edinboro, PA",Wed 08 10 2022
3266,"East Windsor, NJ",Wed 08 17 2022
3270,"Wytheville, VA",Wed 08 17 2022
3292,"Union, NJ",Wed 08 17 2022
3305,"Mayodan, NC",Wed 08 24 2022
3328,"Greenville, MI",Wed 08 10 2022
3329,"Potsdam, NY",Wed 08 10 2022
3420,"Westbury, NY",Wed 08 17 2022
3514,"Bradford, PA",Wed 08 10 2022
3515,"Hillsboro, OH",Wed 08 17 2022
3548,"Waterbury, CT",Wed 08 10 2022
3598,"Cedar Knolls, NJ",Wed 08 17 2022
3607,"Albion, NY",Wed 08 10 2022
3791,"Three Rivers, MI",Wed 08 10 2022
3803,"West Haven, CT",Wed 08 24 2022
4278,"Quincy, WV",Wed 08 17 2022
4540,"Fowlerville, MI",Wed 08 10 2022
4612,"Hamburg, PA",Wed 08 17 2022
4699,"Streator, IL",Wed 08 24 2022
5073,"Covington, WA",Wed 08 17 2022
5077,"Boonton, NJ",Wed 08 24 2022
5088,"Triadelphia, WV",Wed 08 17 2022
5111,"Watchung, NJ",Wed 08 17 2022
5129,"Landover Hills, MD",Wed 08 10 2022
5178,"Rockaway, NJ",Wed 08 17 2022
5201,"Edison, NJ",Wed 08 10 2022
5202,"Commack, NY",Wed 08 17 2022
5228,"Columbia, MD",Wed 08 10 2022
5281,"Woodbridge, NJ",Wed 08 24 2022
5294,"Milford, CT",Wed 08 24 2022
5374,"Eaton, OH",Wed 08 17 2022
5385,"Defiance, OH",Wed 08 10 2022
5387,"Middlefield, OH",Wed 08 10 2022
5399,"Dixon, IL",Wed 08 24 2022
5411,"Ionia, MI",Wed 08 10 2022
5433,"Hot Springs Village, AR",Wed 08 31 2022
5436,"Wilmington, DE",Wed 08 24 2022
5446,"Waynesburg, PA",Wed 08 17 2022
5495,"Glenolden, PA",Wed 08 10 2022
7009,"Richlands, NC",Wed 08 24 2022
