4750,289750446165,SAMS CLUB #4750 - CUYAHOGA FALLS
4755,289750447264,SAMS CLUB #4755 - HONOLULU
4761,289750449256,SAMS CLUB #4761 - NORMAN
4763,289750453270,SAMS CLUB #4763 - HOUSTON
4764,289750454829,SAMS CLUB #4764 - KATY (FRY)
4767,289750456660,SAMS CLUB #4767 - PALMDALE
4768,289750458283,SAMS CLUB #4768 - RENO
4769,289750462128,SAMS CLUB #4769 - HOUSTON
4770,289750463374,SAMS CLUB #4770 - EVANS
4771,289750467266,SAMS CLUB #4771 - SEVERN
4772,289750471085,SAMS CLUB #4772 - SARASOTA
4774,289750472232,SAMS CLUB #4774 - SECAUCUS
4775,289750475507,SAMS CLUB #4775 - METAIRIE
4776,289750477109,SAMS CLUB #4776 - HUNTSVILLE
4777,289750478080,SAMS CLUB #4777 - DENVER
4778,289750480686,SAMS CLUB #4778 - AUBURN HILLS
4780,289750484534,SAMS CLUB #4780 - BUFORD
4781,289750485688,SAMS CLUB #4781 - LANSING
4782,289750489422,SAMS CLUB #4782 - KISSIMMEE
4783,289750493480,SAMS CLUB #4783 - GARLAND (NE)
4784,289750497199,SAMS CLUB #4784 - LAS CRUCES
4785,289750497291,SAMS CLUB #4785 - SANFORD
4786,289750501335,SAMS CLUB #4786 - LOGAN
4787,289750501655,SAMS CLUB #4787 - MINNEAPOLIS
4789,289750507355,SAMS CLUB #4789 - SHARPSBURG
4790,289750510064,SAMS CLUB #4790 - PEARL
4791,289750512755,SAMS CLUB #4791 - GARDEN CITY
4794,289750513214,SAMS CLUB #4794 - LAKELAND (S)
4795,289750514427,SAMS CLUB #4795 - GRAPEVINE
4797,289750521418,SAMS CLUB #4797 - KANNAPOLIS
4798,289750523443,SAMS CLUB #4798 - WINSTON-SALEM
4799,289750522447,SAMS CLUB #4799 - CITRUS HEIGHTS
4801,289750528732,SAMS CLUB #4801 - RIVERVIEW
4802,289750529202,SAMS CLUB #4802 - HIRAM
4804,289750532584,SAMS CLUB #4804 - MCDONOUGH
4805,289750532437,SAMS CLUB #4805 - BILLINGS
4808,289750535344,SAMS CLUB #4808 SPRINGDALE
4815,289750538181,SAMS CLUB #4815 - NORMAL
4816,289750540354,SAMS CLUB #4816 - AURORA
4817,289750545920,SAMS CLUB #4817 - BIRMINGHAM
