Store Number,Footage,"
16"" Shelves"," 
1x48 Snap Rail","
Snap Rail Pegs 8"""
2767,36FT,6,10,87
2780,36FT,6,10,87
2793,36FT,6,10,87
2796,36FT,6,10,87
2811,36FT,6,10,87
2813,36FT,6,10,87
2823,36FT,6,10,87
2850,36FT,6,10,87
2872,36FT,6,10,87
2881,36FT,6,10,87
2885,36FT,6,10,87
2889,36FT,6,10,87
2914,36FT,6,10,87
2918,36FT,6,10,87
2939,36FT,6,10,87
2946,36FT,6,10,87
2951,36FT,6,10,87
2952,36FT,6,10,87
2958,36FT,6,10,87
2963,36FT,6,10,87
2964,36FT,6,10,87
2986,36FT,6,10,87
2991,36FT,6,10,87
3056,36FT,6,10,87
3088,36FT,6,10,87
3136,36FT,6,10,87
3159,36FT,6,10,87
3163,36FT,6,10,87
3213,36FT,6,10,87
3224,36FT,6,10,87
3226,36FT,6,10,87
3236,36FT,6,10,87
3237,36FT,6,10,87
3243,36FT,6,10,87
3247,36FT,6,10,87
3248,36FT,6,10,87
3255,36FT,6,10,87
3259,36FT,6,10,87
3261,36FT,6,10,87
3266,36FT,6,10,87
3277,36FT,6,10,87
3284,36FT,6,10,87
3293,36FT,6,10,87
3300,36FT,6,10,87
3308,36FT,6,10,87
3310,36FT,6,10,87
3313,36FT,6,10,87
3332,36FT,6,10,87
3339,36FT,6,10,87
3370,36FT,6,10,87
3403,36FT,6,10,87
3408,36FT,6,10,87
3428,36FT,6,10,87
3431,36FT,6,10,87
3432,36FT,6,10,87
3436,36FT,6,10,87
3447,36FT,6,10,87
3454,36FT,6,10,87
3471,36FT,6,10,87
3482,36FT,6,10,87
3483,36FT,6,10,87
3492,36FT,6,10,87
3499,36FT,6,10,87
3513,36FT,6,10,87
3523,36FT,6,10,87
3525,36FT,6,10,87
3527,36FT,6,10,87
3538,36FT,6,10,87
3541,36FT,6,10,87
3546,36FT,6,10,87
3568,36FT,6,10,87
3570,36FT,6,10,87
3595,36FT,6,10,87
3623,36FT,6,10,87
3625,36FT,6,10,87
3630,36FT,6,10,87
3645,36FT,6,10,87
3659,36FT,6,10,87
3748,36FT,6,10,87
3761,36FT,6,10,87
3762,36FT,6,10,87
3763,36FT,6,10,87
3768,36FT,6,10,87
3775,36FT,6,10,87
3777,36FT,6,10,87
3778,36FT,6,10,87
3782,36FT,6,10,87
3786,36FT,6,10,87
3806,36FT,6,10,87
3810,36FT,6,10,87
3829,36FT,6,10,87
3830,36FT,6,10,87
3838,36FT,6,10,87
3851,36FT,6,10,87
3887,36FT,6,10,87
3891,36FT,6,10,87
3896,36FT,6,10,87
4055,36FT,6,10,87
4065,36FT,6,10,87
4144,36FT,6,10,87
4200,36FT,6,10,87
4219,36FT,6,10,87
4235,36FT,6,10,87
4239,36FT,6,10,87
4241,36FT,6,10,87
4273,36FT,6,10,87
4298,36FT,6,10,87
4333,36FT,6,10,87
4336,36FT,6,10,87
4359,36FT,6,10,87
4395,36FT,6,10,87
4407,36FT,6,10,87
4430,36FT,6,10,87
4436,36FT,6,10,87
4451,36FT,6,10,87
4503,36FT,6,10,87
4512,36FT,6,10,87
4529,36FT,6,10,87
4531,36FT,6,10,87
4538,36FT,6,10,87
4553,36FT,6,10,87
4567,36FT,6,10,87
4599,36FT,6,10,87
4615,36FT,6,10,87
4623,36FT,6,10,87
4660,36FT,6,10,87
4683,36FT,6,10,87
5025,36FT,6,10,87
5047,36FT,6,10,87
5057,36FT,6,10,87
5071,36FT,6,10,87
5075,36FT,6,10,87
5090,36FT,6,10,87
5095,36FT,6,10,87
5097,36FT,6,10,87
5124,36FT,6,10,87
5151,36FT,6,10,87
5157,36FT,6,10,87
5162,36FT,6,10,87
5211,36FT,6,10,87
5235,36FT,6,10,87
5239,36FT,6,10,87
5245,36FT,6,10,87
5254,36FT,6,10,87
5273,36FT,6,10,87
5281,36FT,6,10,87
5287,36FT,6,10,87
5292,36FT,6,10,87
5307,36FT,6,10,87
5313,36FT,6,10,87
5319,36FT,6,10,87
5329,36FT,6,10,87
5330,36FT,6,10,87
5343,36FT,6,10,87
5352,36FT,6,10,87
5359,36FT,6,10,87
5361,36FT,6,10,87
5370,36FT,6,10,87
5373,36FT,6,10,87
5376,36FT,6,10,87
5388,36FT,6,10,87
5391,36FT,6,10,87
5398,36FT,6,10,87
5399,36FT,6,10,87
5426,36FT,6,10,87
5430,36FT,6,10,87
5463,36FT,6,10,87
5481,36FT,6,10,87
5487,36FT,6,10,87
5748,36FT,6,10,87
5763,36FT,6,10,87
5772,36FT,6,10,87
5795,36FT,6,10,87
5809,36FT,6,10,87
5810,36FT,6,10,87
5853,36FT,6,10,87
5879,36FT,6,10,87
5977,36FT,6,10,87
6579,36FT,6,10,87
6879,36FT,6,10,87
6963,36FT,6,10,87
7009,36FT,6,10,87
7290,36FT,6,10,87
1,40FT,7,10,87
10,40FT,7,10,87
15,40FT,7,10,87
23,40FT,7,10,87
35,40FT,7,10,87
41,40FT,7,10,87
47,40FT,7,10,87
59,40FT,7,10,87
79,40FT,7,10,87
85,40FT,7,10,87
94,40FT,7,10,87
95,40FT,7,10,87
125,40FT,7,10,87
137,40FT,7,10,87
167,40FT,7,10,87
175,40FT,7,10,87
181,40FT,7,10,87
182,40FT,7,10,87
189,40FT,7,10,87
195,40FT,7,10,87
202,40FT,7,10,87
212,40FT,7,10,87
216,40FT,7,10,87
249,40FT,7,10,87
253,40FT,7,10,87
254,40FT,7,10,87
257,40FT,7,10,87
259,40FT,7,10,87
285,40FT,7,10,87
313,40FT,7,10,87
344,40FT,7,10,87
356,40FT,7,10,87
370,40FT,7,10,87
379,40FT,7,10,87
398,40FT,7,10,87
399,40FT,7,10,87
400,40FT,7,10,87
415,40FT,7,10,87
445,40FT,7,10,87
490,40FT,7,10,87
500,40FT,7,10,87
529,40FT,7,10,87
537,40FT,7,10,87
539,40FT,7,10,87
540,40FT,7,10,87
557,40FT,7,10,87
560,40FT,7,10,87
577,40FT,7,10,87
582,40FT,7,10,87
585,40FT,7,10,87
