Market Number,Store Number,Total Season Pallets Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
28,686,17,14,12
28,836,21,19,17
28,862,33,29,25
28,864,30,27,25
28,1018,12,12,10
28,1061,17,13,12
28,2630,26,25,23
28,5392,16,15,13
29,605,29,28,27
29,635,20,15,13
29,728,12,9,6
29,1011,28,27,25
29,1383,21,15,12
29,2832,15,11,9
29,2860,21,17,15
29,4556,15,9,7
29,6395,13,12,11
29,7181,17,14,12
30,754,37,34,31
30,1024,21,21,19
30,1143,14,12,10
30,1227,32,30,28
30,1293,16,16,14
30,1658,30,24,22
30,2754,19,18,16
30,3570,32,29,27
30,4144,19,18,16
30,5735,16,16,15
32,555,33,26,20
32,758,17,16,16
32,907,18,17,14
32,1076,26,24,23
32,1153,16,15,14
32,1367,24,21,21
32,2733,19,17,14
32,2890,18,15,16
32,3750,28,23,20
32,7246,13,9,7
35,631,16,15,16
35,640,15,14,14
35,641,10,9,8
35,1123,25,23,20
35,1244,11,10,10
35,2265,23,20,20
35,2687,27,26,23
35,3191,12,11,11
35,3192,13,13,13
35,3222,11,11,11
35,4583,14,12,13
35,5487,16,30,28
36,628,31,23,19
36,632,13,10,8
36,1037,29,23,19
36,1146,46,44,40
36,1358,22,20,18
36,1359,26,17,15
36,1748,20,18,15
36,2348,4,4,3
36,2928,25,23,21
36,3367,15,12,9
36,4384,17,12,11
37,574,24,21,19
37,586,40,35,33
37,621,47,38,32
37,625,36,33,34
37,643,15,14,13
37,1829,24,19,17
37,2712,18,17,15
37,4664,28,33,30
37,5087,30,26,23
37,5705,23,21,20
38,511,37,34,31
38,616,23,22,22
38,627,17,16,15
38,630,38,33,31
38,634,27,26,24
38,642,24,21,19
38,1017,39,30,25
38,1030,29,27,24
38,1135,37,28,25
38,2703,19,18,17
38,4457,15,13,13
38,7188,22,15,13
39,396,18,17,18
39,514,23,22,21
39,624,12,11,10
39,644,18,17,16
39,795,12,11,9
39,1130,11,10,10
39,1270,28,26,24
39,1382,15,13,13
39,4487,36,34,30
39,6576,19,18,16
39,6887,14,14,14
41,881,22,21,19
41,1164,25,16,13
41,1183,20,18,16
41,1286,22,16,13
41,1339,30,22,17
41,2214,36,26,21
41,4420,29,26,21
41,4440,29,22,18
41,4506,14,12,10
41,4521,28,28,27
42,585,15,15,14
42,629,14,13,12
42,638,16,15,12
42,1035,29,27,24
42,1144,14,14,10
42,1281,17,16,15
42,1603,41,24,16
42,2806,15,13,11
42,3733,17,13,11
42,4237,9,10,9
42,4593,10,8,8
44,1455,28,25,23
44,1801,29,27,27
44,2978,26,22,20
44,3284,21,20,20
44,3285,28,28,26
44,3631,20,19,18
44,4279,19,22,20
44,4503,29,29,27
44,5147,42,41,35
45,251,30,29,28
45,265,19,18,16
45,412,31,28,23
45,516,26,24,23
45,827,25,24,22
45,1022,17,16,15
45,1044,19,17,15
45,2688,23,21,18
45,3764,17,16,15
45,6467,15,14,13
46,146,14,13,12
46,165,13,12,11
46,180,15,14,13
46,345,28,24,20
46,398,27,25,23
46,399,18,18,16
46,523,9,9,8
46,572,19,15,13
46,918,17,16,13
46,3828,13,12,10
47,38,15,16,15
47,49,15,14,13
47,131,18,18,17
47,148,23,24,22
47,181,17,16,15
47,226,12,12,11
47,240,12,11,10
47,417,28,27,22
47,427,26,25,22
47,468,15,14,14
47,2123,33,31,29
48,220,28,27,26
48,228,22,21,20
48,353,13,12,12
48,371,22,21,21
48,590,19,17,17
48,804,26,24,22
48,963,20,19,18
48,3431,27,23,20
48,4509,19,15,12
48,5359,34,29,26
49,284,33,31,27
49,471,28,22,18
49,896,41,37,35
49,3014,32,24,20
49,3432,18,18,17
49,3433,23,23,20
49,5288,26,25,23
49,5810,18,16,14
50,266,23,22,21
50,807,16,12,10
50,880,33,29,27
50,1178,21,21,20
50,2649,16,15,14
50,2834,24,22,21
50,3044,10,8,6
50,3274,12,15,15
50,5080,17,16,15
50,5416,21,20,19
51,202,6,6,5
51,1117,15,15,14
51,2918,11,12,10
51,2973,14,13,12
51,3406,8,9,7
51,3482,14,13,11
51,5210,22,21,19
51,5672,12,11,11
51,5673,18,18,15
52,206,18,16,14
52,467,18,17,16
52,3286,19,18,16
52,4627,28,27,25
52,5211,14,12,11
52,5311,11,12,11
52,5707,20,18,17
52,6963,29,21,18
53,217,15,15,15
53,426,11,11,10
53,1216,15,15,14
53,2105,23,22,18
53,2427,12,10,9
53,2996,5,6,6
53,4240,29,29,26
53,5092,15,15,15
53,5889,4,4,5
55,260,22,22,21
55,286,21,21,18
55,565,18,15,13
55,1118,34,26,22
55,2667,21,21,20
55,4164,27,26,24
55,4215,19,19,17
55,5191,25,22,19
56,2086,10,9,7
56,2463,12,11,10
56,2883,8,9,8
56,2926,5,6,5
56,3777,14,13,12
56,5866,9,9,8
56,6300,16,15,13
56,7178,22,19,16
58,2979,11,10,10
58,2981,8,7,6
58,3043,3,3,3
58,3135,17,16,14
58,3341,8,8,7
58,3392,3,4,3
58,3419,5,4,4
58,3594,9,8,8
58,3653,7,6,6
58,5613,3,4,3
58,5614,9,9,8
58,5624,9,9,8
58,6578,7,7,6
58,7251,7,6,5
58,7347,7,6,6
59,297,17,16,14
59,744,19,19,17
59,849,21,17,15
59,1103,21,20,18
59,1279,20,18,15
59,1837,24,20,17
59,4298,30,18,13
59,6579,32,28,27
60,194,29,22,18
60,522,30,23,17
60,1137,33,30,25
60,1186,25,22,19
60,2439,16,14,13
60,3298,17,16,13
60,3500,37,35,34
60,5116,25,16,14
61,462,41,36,37
61,504,21,16,14
61,527,12,11,11
61,529,30,23,19
61,808,27,18,17
61,1405,10,11,10
61,5388,18,16,12
62,546,17,18,16
62,872,19,14,11
62,915,11,13,11
62,2505,15,15,14
62,2993,16,15,15
62,3510,11,10,9
62,3572,15,15,14
62,5449,7,7,6
63,752,25,23,20
63,1062,15,18,16
63,2724,38,37,35
63,3425,15,13,12
63,4526,24,21,18
63,5612,27,19,15
63,5959,23,18,15
64,772,20,15,12
64,2066,12,14,14
64,3296,14,13,13
64,3302,13,13,11
64,3584,26,24,22
64,3827,16,13,12
65,344,5,5,4
65,768,12,12,11
65,1040,15,15,14
65,1409,9,7,7
65,3226,14,13,11
65,3640,12,9,8
65,4111,13,11,10
65,4512,18,15,13
65,5246,5,6,5
66,331,18,16,15
66,383,24,22,19
66,384,20,19,18
66,408,25,15,12
66,449,14,12,10
66,457,18,17,16
66,469,17,12,10
66,521,13,12,11
66,651,18,14,10
66,777,21,20,19
66,1204,17,15,13
67,703,18,16,15
67,2257,19,18,16
67,3297,19,14,12
67,4416,25,24,24
67,4538,21,19,16
67,5045,16,16,15
67,5091,14,14,12
67,6930,,,#N/A
68,351,8,8,7
68,400,19,18,17
68,602,10,8,7
68,3213,20,15,11
68,3390,11,10,10
68,3585,11,11,10
68,3591,20,18,16
68,5287,17,14,11
70,600,19,18,16
70,755,27,27,24
70,793,11,15,14
70,812,18,17,16
70,822,23,20,18
70,900,9,8,6
70,1516,15,14,13
70,3383,20,19,17
70,3384,24,21,17
70,5216,29,22,20
71,549,42,39,34
71,821,41,40,36
71,861,16,16,15
71,927,27,24,20
71,945,18,17,15
71,1051,14,12,11
71,2653,18,18,16
71,3826,16,15,12
71,4299,23,21,19
71,6898,12,12,12
73,513,16,15,14
73,537,38,33,29
73,608,40,37,31
73,897,26,23,20
73,898,-   ,0,0
73,2891,31,29,25
73,3645,20,18,16
74,438,6,6,5
74,535,34,32,31
74,536,19,18,18
74,601,22,19,16
74,1249,19,18,16
74,1257,10,8,8
74,1272,18,18,14
74,3381,15,13,12
74,7281,17,15,12
76,211,18,17,16
76,248,17,12,10
76,320,-   , -   ,0
76,561,16,14,13
76,610,21,20,18
76,746,19,16,15
76,939,19,18,15
76,1254,17,15,13
76,5389,13,11,9
76,6929,20,17,16
76,7156,15,13,13
77,290,7,6,6
77,465,8,7,6
77,757,11,11,9
77,901,22,19,16
77,1313,24,21,19
77,3112,10,11,10
77,3279,14,15,13
77,4103,9,10,11
77,5144,17,15,13
77,5245,17,14,11
78,440,10,9,7
78,442,20,14,12
78,458,12,11,10
78,464,30,24,22
78,470,26,23,23
78,490,10,10,9
78,791,20,20,18
78,1494,23,18,15
78,5460,10,10,8
78,5898,18,16,13
80,395,62,58,58
80,397,35,34,29
80,429,31,28,25
80,452,42,38,35
80,1958,44,38,34
80,3320,57,43,41
80,3567,48,34,27
80,3886,51,49,41
80,4508,32,32,29
80,5165,31,28,26
80,5809,34,32,29
81,381,21,18,17
81,407,23,21,19
81,476,11,10,9
81,781,18,15,14
81,813,33,33,29
81,917,11,10,9
81,1073,8,7,6
81,1232,17,17,14
81,1303,19,17,14
81,3319,26,22,19
81,6286,15,14,12
82,1129,6,5,5
82,1253,7,8,7
82,2133,10,8,7
82,2991,14,12,10
82,4130,17,15,12
82,4163,11,10,9
82,4219,15,14,11
82,4554,5,5,4
82,5317,7,8,7
83,77,13,10,9
83,280,16,15,12
83,475,9,9,9
83,1185,5,4,4
83,3169,12,11,10
83,3170,9,8,7
83,3569,11,10,10
83,5479,11,9,8
83,5480,12,11,10
84,330,16,14,13
84,437,18,15,13
84,463,15,15,14
84,524,5,4,4
84,1067,-   ,0,0
84,1098,10,8,7
84,4194,10,9,8
85,321,8,8,7
85,322,15,15,13
85,846,16,14,12
85,1042,27,20,16
85,1150,14,13,11
85,4183,7,7,7
86,999,13,14,12
86,1235,9,9,7
86,2239,12,12,10
86,2599,10,9,8
86,3058,17,16,13
86,3106,27,26,24
86,3888,19,18,16
86,4102,12,13,12
86,5145,15,13,11
87,292,3,8,6
87,404,12,12,12
87,765,13,13,11
87,865,24,24,21
87,1347,8,7,7
87,1803,10,9,7
87,2404,7,7,6
87,2769,8,9,8
87,3391,16,11,10
87,4055,15,14,13
87,4115,12,14,12
88,443,8,7,6
88,447,44,37,33
88,461,74,62,48
88,554,15,16,17
88,782,6,10,10
88,3518,75,67,61
88,3623,22,20,19
88,5713,32,27,23
89,110,30,28,24
89,705,44,38,35
89,800,22,19,18
89,942,32,30,26
89,959,26,24,22
89,2695,34,30,27
89,2843,30,29,26
89,4262,34,31,29
89,5299,29,26,23
90,817,35,32,31
90,908,24,22,19
90,1086,34,24,19
90,1220,26,23,21
90,2881,31,25,21
90,4332,11,11,10
90,4365,35,31,27
90,5214,16,13,11
90,5250,52,48,42
90,5420,14,11,9
91,890,35,35,27
91,943,24,23,20
91,955,31,30,27
91,1084,-   , -   ,0
91,3782,28,25,21
91,4588,22,20,18
91,5871,17,15,13
91,5894,18,17,14
92,174,22,21,18
92,649,35,32,30
92,771,15,13,11
92,931,41,34,30
92,956,-   , -   ,0
92,973,25,23,22
92,974,40,33,28
92,1068,28,23,21
92,1702,22,20,17
92,3538,35,28,23
92,5455,42,38,33
93,538,16,14,12
93,551,35,30,27
93,697,38,35,32
93,960,29,27,24
93,1081,21,16,14
93,1283,23,22,19
93,1297,43,39,36
93,1847,34,31,28
93,3877,16,14,12
93,4368,35,32,29
93,5326,35,33,30
94,563,27,26,22
94,579,22,20,19
94,582,25,24,23
94,613,24,20,17
94,857,20,18,15
94,860,37,33,31
94,1079,27,23,21
94,1182,43,37,30
94,1391,21,19,16
94,3207,35,31,29
94,3310,39,37,31
96,2499,11,10,9
96,3162,11,10,9
96,4142,15,10,8
96,4160,9,8,7
96,4197,11,8,6
96,4211,7,6,5
96,4425,11,10,9
96,5106,10,8,7
96,5132,13,10,9
96,5179,19,17,14
96,5365,13,7,6
96,5366,15,8,6
96,6894,16,14,13
97,488,16,11,10
97,858,11,10,10
97,1077,17,14,10
97,1223,17,17,14
97,1375,39,37,34
97,1408,17,12,12
97,3307,16,15,14
97,4427,14,10,7
97,4520,15,9,8
97,5172,14,14,13
97,5422,22,20,19
98,928,27,25,21
98,977,-   ,0,0
98,1082,13,12,11
98,1172,20,16,13
98,1173,13,12,12
98,1444,20,19,17
98,3309,16,15,13
98,3702,21,20,18
98,4444,16,18,17
98,5037,29,26,25
98,5054,18,17,16
101,767,45,37,33
101,1083,33,31,28
101,1090,17,21,18
101,1205,22,20,19
101,1219,28,24,23
101,1225,27,25,24
101,2626,23,21,19
101,2920,23,22,21
101,3308,25,24,22
101,6978,22,21,19
102,2392,5,2,2
102,3066,10,5,4
102,4354,12,9,7
102,5321,12,9,7
102,5451,16,15,14
102,5453,16,14,13
102,5622,11,10,9
102,5826,11,8,7
102,6937,12,7,7
102,6941,18,16,14
102,6968,17,15,13
102,7221,12,9,8
102,7298,12,8,8
102,7307,11,6,5
103,2907,23,18,15
103,2930,9,5,4
103,3183,11,9,7
103,3935,18,14,11
103,4140,19,16,13
103,4498,9,6,4
103,4563,18,14,13
103,4595,5,4,4
103,4617,7,6,5
103,4826,17,14,12
103,5615,19,11,8
103,5719,18,14,11
103,5945,16,13,10
104,967,38,35,32
104,988,33,31,26
104,994,34,32,30
104,1029,27,26,23
104,1085,38,35,32
104,1104,37,32,29
104,1213,44,41,35
104,3415,18,16,15
104,3526,28,22,19
104,5266,39,36,33
104,5772,34,25,21
105,819,32,30,27
105,987,19,16,15
105,1957,17,14,13
105,3417,22,20,18
105,4063,16,15,13
105,5034,25,23,21
105,5055,31,28,25
105,5347,36,29,22
105,5391,24,22,19
107,814,24,21,19
107,929,29,24,21
107,1087,26,25,23
107,1436,15,18,17
107,1541,23,21,19
107,2176,21,19,17
107,3348,27,26,25
107,3527,31,27,24
107,4260,40,33,28
107,4446,18,15,13
107,5301,45,41,37
108,1387,24,23,21
108,1398,27,21,16
108,1517,18,17,16
108,1589,29,26,22
108,1916,24,17,14
108,2789,34,31,27
108,2962,27,25,22
108,2963,30,25,23
108,3858,20,15,13
108,5882,21,19,17
108,5911,12,11,10
109,1349,17,15,14
109,1845,21,16,13
109,1851,27,23,20
109,2151,20,18,17
109,2591,24,21,18
109,2946,29,25,22
109,2987,28,16,11
109,3625,27,23,19
109,5325,15,13,12
109,5932,16,15,14
110,1680,39,21,18
110,2091,65,57,50
110,2727,32,27,24
110,2814,56,48,46
110,4161,35,32,29
110,5671,20,17,15
110,5854,17,14,12
110,5912,22,16,13
110,6397,31,26,23
111,1390,37,30,26
111,1513,17,15,14
111,1536,33,26,23
111,1712,18,16,15
111,2081,22,16,12
111,2796,30,24,20
111,3372,16,15,14
111,4690,15,12,11
111,5218,23,18,16
112,1482,-   ,0,0
112,1501,0, -   ,0
112,1960,29,16,12
112,2627,15,14,13
112,2740,24,18,15
112,3197,20,17,16
112,3418,41,38,36
112,4681,17,15,14
112,5036,36,31,27
112,5220,33,24,21
112,5964,25,23,21
114,547,24,22,19
114,706,42,37,33
114,718,41,32,27
114,725,50,47,43
114,779,23,20,19
114,1245,47,39,34
114,2387,36,29,24
114,3463,36,27,24
115,528,17,16,15
115,666,39,36,34
115,769,24,22,21
115,1004,31,29,27
115,1171,20,16,13
115,2459,18,14,12
115,3370,23,19,16
115,3474,23,21,18
115,3887,28,26,24
115,5264,15,14,13
115,5727,26,19,17
116,580,30,27,25
116,759,16,11,9
116,859,38,27,21
116,941,25,22,20
116,968,40,36,33
116,1203,37,33,30
116,3347,32,29,26
116,5035,38,35,34
116,5300,29,26,23
118,623,22,18,15
118,721,24,24,21
118,778,23,22,20
118,811,17,15,14
118,1874,30,26,24
118,2237,35,31,28
118,2484,22,15,12
118,3349,26,24,21
118,3387,33,28,25
118,6190,24,22,20
119,477,27,24,21
119,619,35,33,30
119,663,39,37,32
119,698,35,32,31
119,1089,32,30,25
119,1606,25,23,21
119,3659,10,10,9
119,3835,27,25,22
119,4226,21,19,18
119,5263,31,30,26
120,658,19,18,18
120,669,21,18,15
120,756,15,16,14
120,1215,23,22,21
120,1458,29,26,24
120,1469,19,14,11
120,2988,20,18,16
120,3660,17,15,14
120,5151,25,22,19
120,5173,29,26,23
120,5251,15,13,12
121,366,23,23,21
121,583,31,27,24
121,676,31,26,21
121,687,52,47,44
121,741,26,22,19
121,1466,33,32,29
121,1467,34,26,22
121,4166,21,20,18
121,4635,27,24,21
122,672,29,27,24
122,1194,29,28,24
122,1318,22,21,19
122,1319,30,29,25
122,1320,28,24,21
122,2065,17,20,17
122,2932,16,15,13
122,4223,21,20,18
123,578,16,14,13
123,678,37,34,31
123,680,26,21,18
123,685,23,22,19
123,724,27,24,22
123,2310,23,24,22
123,3234,31,25,21
123,6370,25,23,21
124,599,28,25,23
124,620,23,20,18
124,690,37,34,32
124,742,27,26,22
124,1080,25,24,21
124,1694,24,23,20
124,2749,25,19,16
124,3289,34,30,31
124,3829,25,23,21
124,3852,11,11,10
125,553,25,23,19
125,909,28,27,23
125,912,28,20,15
125,1163,22,20,18
125,2665,37,31,27
125,2706,20,21,17
125,3167,15,14,11
125,5022,23,19,16
127,87,21,17,16
127,278,19,15,12
127,323,9,8,7
127,376,28,26,23
127,448,19,18,16
127,450,15,17,17
127,876,19,15,11
127,1169,8,5,4
127,3868,12,12,11
127,6932,18,17,16
128,489,35,32,28
128,541,38,34,29
128,803,24,23,20
128,911,44,42,36
128,989,27,25,22
128,1342,53,53,56
128,1353,37,35,29
128,3616,33,27,22
128,4129,31,30,24
129,485,18,16,15
129,502,10,11,10
129,540,19,17,15
129,542,11,10,8
129,761,15,16,15
129,961,27,25,21
129,1016,20,17,15
129,2913,22,19,17
129,3483,26,22,18
130,428,20,19,18
130,532,31,30,26
130,839,25,20,17
130,935,32,27,23
130,1102,30,20,18
130,1206,22,19,15
130,1266,17,16,14
130,4683,18,12,8
131,401,13,10,7
131,1136,17,14,12
131,1196,15,14,12
131,2132,18,20,18
131,2822,28,25,21
131,3288,38,30,24
131,4679,21,20,17
131,5056,10,10,8
132,309,11,10,8
132,310,15,14,14
132,386,21,17,15
132,402,13,12,10
132,415,12,12,10
132,531,25,19,17
132,533,17,16,13
132,543,15,14,13
132,2938,23,14,11
132,7301,26,22,18
134,75,22,22,20
134,170,18,16,14
134,312,12,11,9
134,405,22,20,19
134,498,14,12,11
134,505,34,32,27
134,539,12,14,13
134,773,19,14,12
134,1107,8,8,7
134,1128,24,21,18
134,4295,13,13,12
135,23,16,13,11
135,98,10,9,9
135,149,9,8,8
135,244,6,5,5
135,307,23,21,19
135,976,16,16,14
135,1108,12,11,11
135,1109,9,9,9
135,1110,4,5,5
135,1193,24,22,19
136,155,28,19,16
136,182,31,29,27
136,347,2,4,4
136,699,16,15,14
136,707,25,25,24
136,716,10,9,7
136,1074,20,17,15
136,1468,14,13,12
136,1530,12,11,11
137,394,26,24,21
137,403,18,17,15
137,409,14,13,11
137,660,23,22,19
137,661,26,27,24
137,662,18,19,16
137,766,37,29,24
137,1100,14,14,13
137,1124,8,7,6
137,2690,14,14,12
137,4187,18,16,15
137,5703,21,20,18
138,112,21,20,18
138,115,13,11,9
138,183,8,8,7
138,205,15,14,13
138,239,12,12,10
138,305,15,12,11
138,495,46,42,36
138,981,50,35,27
138,1059,14,14,13
138,1069,2,5,5
138,1271,21,20,18
140,365,27,27,26
140,708,12,12,12
140,875,19,17,16
140,903,16,15,13
140,1710,11,11,10
140,2720,33,31,29
140,2755,24,23,20
140,2939,20,15,14
140,3059,8,8,9
140,3060,13,12,11
140,6469,30,22,18
141,501,35,30,27
141,785,19,17,16
141,816,32,28,24
141,874,19,18,16
141,887,20,19,16
141,916,33,30,26
141,954,15,11,10
141,1025,40,31,24
141,1106,16,16,14
141,1168,39,32,27
141,1192,22,17,14
141,2717,19,18,16
143,969,32,29,26
143,970,49,37,29
143,1066,29,26,23
143,1088,17,16,14
143,1195,34,32,29
143,1260,20,21,19
143,1346,22,25,21
143,2715,26,25,23
143,3528,26,24,21
143,5079,32,29,26
144,175,32,29,25
144,848,41,40,36
144,1248,29,25,23
144,2846,35,23,19
144,5196,10,10,9
144,5419,27,25,24
144,6964,23,19,16
145,94,30,28,26
145,950,21,20,17
145,1561,11,11,10
145,2322,30,24,21
145,4533,14,14,12
145,6807,14,14,12
146,64,13,13,11
146,93,30,27,24
146,97,16,12,11
146,104,24,23,21
146,106,19,16,14
146,107,26,16,13
146,120,15,14,13
146,177,36,33,29
146,335,36,30,25
146,410,59,45,36
146,675,24,23,21
146,677,39,37,33
147,161,17,14,13
147,218,14,13,12
147,238,37,34,28
147,268,37,35,31
147,393,33,30,28
147,466,14,13,12
147,683,37,34,33
147,684,35,35,33
147,738,24,19,18
147,1115,22,20,19
149,264,39,33,28
149,304,22,18,15
149,390,19,18,16
149,673,18,17,15
149,695,14,13,11
149,1075,23,20,17
149,1226,18,16,15
149,3137,21,18,18
149,3495,36,33,29
149,4435,14,12,11
149,4483,16,14,12
151,192,23,21,19
151,406,16,15,14
151,416,17,16,15
151,656,22,20,18
151,667,19,17,15
151,682,12,12,11
151,735,17,18,17
151,737,12,14,13
151,2757,25,17,15
151,3017,14,12,11
151,5057,21,19,17
152,308,24,22,19
152,568,19,17,15
152,587,29,29,28
152,657,29,27,25
152,668,27,26,23
152,671,30,26,22
152,674,22,21,18
152,879,22,21,20
152,1376,15,14,13
152,4414,18,17,15
152,5175,30,26,24
153,272,15,17,17
153,659,13,12,11
153,688,11,10,10
153,710,17,14,13
153,3717,16,15,13
153,4482,10,10,9
153,5058,14,13,12
153,5616,5,5,5
153,7020,11,11,11
154,1967,22,19,16
154,1984,30,27,24
154,2174,30,28,26
154,2289,21,20,19
154,2386,37,35,31
154,5278,44,41,36
156,1918,-   ,0,0
156,2012,32,30,26
156,2155,15,12,11
156,2158,14,14,14
156,2329,10,9,7
156,2629,25,22,20
156,2964,16,15,13
156,3409,33,29,25
156,4387,24,23,23
157,1762,16,14,12
157,2222,12,11,10
157,3114,9,9,9
157,3535,17,16,14
159,1970,8,8,8
159,2103,16,16,13
159,2122,23,22,20
159,2128,8,8,7
159,2336,18,15,13
159,2902,-   , -   ,0
160,1906,-   ,0,0
160,2021,27,26,24
160,2095,27,25,23
160,2157,19,19,17
160,2366,27,26,25
160,2953,31,29,26
160,3560,27,23,20
160,5448,16,15,14
161,1873,28,25,23
161,1964,23,22,20
161,2225,29,28,26
161,2261,22,20,18
161,2283,23,22,21
161,2747,-   ,0,0
162,1891,29,24,20
162,1980,21,20,19
162,2022,29,27,25
162,2200,-   , -   ,0
162,2282,34,29,25
162,2331,28,26,24
162,2854,32,32,30
162,2898,-   , -   ,0
162,5777,28,27,25
163,2299,26,25,23
163,2371,39,29,25
163,5095,19,19,17
163,5439,20,13,10
164,1810,29,25,23
164,1959,23,21,20
164,2104,27,24,22
164,2547,14,13,13
164,2637,17,18,16
164,2905,-   ,0,0
164,4570,10,11,10
165,1742,24,22,19
165,2108,20,18,16
165,2109,-   ,0,0
165,3212,22,21,19
