Region ,Market ,Goal ,,,,,,
9,90,52.0%,,,,,,
9,91,60.0%,,,,,,
9,92,72.2%,,,,,,
9,105,54.9%,,,,,,
9,107,76.8%,,,,,,
9,108,52.2%,,,,,,
9,109,50.5%,,,,,,
9,110,57.8%,,,,,,
9,115,66.0%,,,,,,
9,116,66.5%,,,,,,
9,118,58.4%,,,,,,
9,553,47.0%,,,,,,
11,Region Total,84.5%,,,,,,
11,4,80.3%,,,,,,
11,11,96.2%,,,,,,
11,136,81.9%,,,,,,
11,137,78.1%,,,,,,
11,138,84.5%,,,,,,
11,140,84.5%,,,,,,
11,144,110.9%,,,,,,
11,145,85.6%,,,,,,
11,146,81.7%,,,,,,
11,147,72.7%,,,,,,
11,329,81.4%,,,,,,
12,Region Total,76.5%,,,,,,
12,5,89.6%,,,,,,
12,119,78.6%,,,,,,
12,120,71.9%,,,,,,
12,121,67.3%,,,,,,
12,122,87.5%,,,,,,
12,123,71.1%,,,,,,
12,124,70.3%,,,,,,
12,149,76.0%,,,,,,
12,151,73.5%,,,,,,
12,152,72.0%,,,,,,
12,153,81.7%,,,,,,
13,Region Total,79.9%,,,,,,
13,46,60.5%,,,,,,
13,66,77.6%,,,,,,
13,68,65.6%,,,,,,
13,125,99.8%,,,,,,
13,128,88.2%,,,,,,
13,129,84.6%,,,,,,
13,130,101.1%,,,,,,
13,131,93.9%,,,,,,
13,132,58.5%,,,,,,
13,134,90.2%,,,,,,
13,141,86.8%,,,,,,
13,143,68.0%,,,,,,
13,503,74.0%,,,,,,
14,Region Total,87.1%,,,,,,
14,1,87.0%,,,,,,
14,2,96.1%,,,,,,
14,3,86.5%,,,,,,
14,7,77.8%,,,,,,
14,8,111.3%,,,,,,
14,10,92.4%,,,,,,
14,13,88.0%,,,,,,
14,14,86.5%,,,,,,
14,15,62.3%,,,,,,
14,16,90.5%,,,,,,
14,97,89.8%,,,,,,
16,Region Total,83.0%,,,,,,
16,154,85.0%,,,,,,
16,156,71.3%,,,,,,
16,157,74.4%,,,,,,
16,159,71.5%,,,,,,
16,160,93.4%,,,,,,
16,179,74.1%,,,,,,
16,180,74.6%,,,,,,
16,181,88.5%,,,,,,
16,183,86.8%,,,,,,
16,184,86.3%,,,,,,
16,187,78.4%,,,,,,
16,188,101.3%,,,,,,
17,Region Total,64.5%,,,,,,
17,161,73.7%,,,,,,
17,162,65.3%,,,,,,
17,163,65.9%,,,,,,
17,164,69.4%,,,,,,
17,171,77.0%,,,,,,
17,172,67.1%,,,,,,
17,173,78.4%,,,,,,
17,174,61.2%,,,,,,
17,175,53.7%,,,,,,
17,176,58.3%,,,,,,
17,190,74.9%,,,,,,
17,226,60.6%,,,,,,
17,577,30.1%,,,,,,
19,Region Total,80.8%,,,,,,
19,197,62.5%,,,,,,
19,200,99.8%,,,,,,
19,201,95.9%,,,,,,
19,202,81.9%,,,,,,
19,203,81.2%,,,,,,
19,204,80.4%,,,,,,
19,205,66.0%,,,,,,
19,206,85.9%,,,,,,
19,207,90.8%,,,,,,
19,213,78.1%,,,,,,
19,238,68.2%,,,,,,
20,Region Total,85.4%,,,,,,
20,208,84.5%,,,,,,
20,209,95.5%,,,,,,
20,214,94.1%,,,,,,
20,215,101.5%,,,,,,
20,216,83.7%,,,,,,
20,227,77.5%,,,,,,
20,229,88.5%,,,,,,
20,235,80.1%,,,,,,
20,258,64.6%,,,,,,
20,311,78.5%,,,,,,
20,316,79.0%,,,,,,
20,317,91.2%,,,,,,
21,Region Total,81.5%,,,,,,
21,217,69.5%,,,,,,
21,218,72.9%,,,,,,
21,219,75.4%,,,,,,
21,221,69.6%,,,,,,
21,222,95.3%,,,,,,
21,223,83.9%,,,,,,
21,225,76.4%,,,,,,
21,239,69.5%,,,,,,
21,246,82.8%,,,,,,
21,247,94.9%,,,,,,
21,248,88.6%,,,,,,
21,259,92.4%,,,,,,
22,Region Total,74.9%,,,,,,
22,165,72.3%,,,,,,
22,166,63.5%,,,,,,
22,167,66.9%,,,,,,
22,168,69.8%,,,,,,
22,170,80.4%,,,,,,
22,178,71.5%,,,,,,
22,232,75.2%,,,,,,
22,233,84.5%,,,,,,
22,234,82.1%,,,,,,
22,237,73.4%,,,,,,
22,284,85.2%,,,,,,
22,285,72.2%,,,,,,
22,558,64.7%,,,,,,
25,Region Total,76.1%,,,,,,
25,262,66.9%,,,,,,
25,264,58.1%,,,,,,
25,265,63.4%,,,,,,
25,266,83.4%,,,,,,
25,267,55.6%,,,,,,
25,268,71.7%,,,,,,
25,269,46.6%,,,,,,
25,270,70.2%,,,,,,
25,272,81.6%,,,,,,
25,273,103.0%,,,,,,
25,275,98.5%,,,,,,
25,278,103.3%,,,,,,
25,279,68.2%,,,,,,
26,Region Total,80.4%,,,,,,
26,296,84.7%,,,,,,
26,297,109.4%,,,,,,
26,298,69.4%,,,,,,
26,299,85.8%,,,,,,
26,301,66.5%,,,,,,
26,302,77.5%,,,,,,
26,304,59.4%,,,,,,
26,305,73.4%,,,,,,
26,306,73.0%,,,,,,
26,308,96.3%,,,,,,
26,309,96.6%,,,,,,
40,Region Total,83.1%,,,,,,
40,333,61.4%,,,,,,
40,335,78.7%,,,,,,
40,336,86.2%,,,,,,
40,339,95.2%,,,,,,
40,340,86.9%,,,,,,
40,341,77.6%,,,,,,
40,357,63.4%,,,,,,
40,359,84.0%,,,,,,
40,360,97.1%,,,,,,
40,361,91.4%,,,,,,
40,362,86.3%,,,,,,
41,Region Total,81.3%,,,,,,
41,242,60.8%,,,,,,
41,243,76.8%,,,,,,
41,249,90.2%,,,,,,
41,251,77.5%,,,,,,
41,253,88.2%,,,,,,
41,254,96.8%,,,,,,
41,256,71.9%,,,,,,
41,257,86.9%,,,,,,
41,260,82.8%,,,,,,
41,271,84.5%,,,,,,
41,482,78.9%,,,,,,
41,580,66.3%,,,,,,
42,Region Total,69.7%,,,,,,
42,127,100.6%,,,,,,
42,135,82.5%,,,,,,
42,321,58.6%,,,,,,
