Store Number,FOTL 6-PK Underwear,FOTL 6-PK Sock,Hanes 10-PK Underwear
697,Y,Y,Y
698,Y,Y,Y
699,,Y,Y
700,,Y,Y
701,,Y,Y
702,,Y,Y
703,,Y,Y
705,,Y,Y
706,Y,Y,Y
707,,,Y
708,,Y,Y
709,Y,Y,Y
710,,Y,Y
711,Y,Y,Y
712,,Y,Y
714,,Y,
715,,Y,Y
716,,Y,Y
718,Y,Y,Y
719,Y,Y,Y
720,Y,Y,Y
721,Y,Y,Y
722,,Y,Y
723,,Y,Y
724,,Y,Y
725,Y,Y,Y
726,,Y,Y
727,,Y,Y
729,Y,Y,Y
730,,Y,Y
731,,Y,Y
733,,Y,Y
734,Y,Y,Y
735,,,Y
738,,Y,
739,,Y,Y
740,,Y,Y
741,,Y,Y
742,Y,Y,Y
743,Y,Y,Y
744,Y,Y,Y
746,Y,Y,Y
749,,Y,
752,Y,Y,Y
753,Y,Y,Y
754,Y,,Y
755,Y,Y,Y
756,,Y,
757,,Y,Y
758,,Y,Y
761,,Y,
762,,Y,Y
764,,,Y
765,,Y,Y
766,,Y,Y
767,Y,Y,Y
768,Y,Y,Y
769,,Y,Y
770,,Y,
771,Y,,Y
772,,Y,Y
773,,Y,Y
774,Y,Y,Y
775,,Y,Y
776,Y,Y,Y
777,,Y,Y
778,,Y,Y
779,,Y,Y
780,,Y,Y
781,Y,Y,Y
782,,Y,Y
784,,Y,
785,,Y,
786,,Y,Y
788,,Y,
789,Y,Y,Y
790,,Y,
791,,Y,
792,,Y,
794,Y,Y,Y
796,,Y,Y
797,,Y,Y
798,,Y,
799,,Y,Y
800,Y,Y,Y
801,,,Y
802,,Y,Y
803,,,Y
804,,Y,
805,,Y,Y
806,,Y,Y
807,,Y,Y
808,Y,Y,Y
809,,Y,Y
810,Y,Y,Y
813,Y,Y,Y
814,Y,Y,Y
815,,Y,
816,,Y,Y
818,Y,Y,
819,Y,Y,Y
820,,Y,
821,,Y,
822,,Y,Y
823,,Y,Y
824,,Y,Y
825,,Y,Y
826,Y,Y,Y
827,,,Y
828,,Y,Y
829,,Y,Y
833,,Y,
836,Y,Y,Y
838,Y,Y,Y
839,,Y,Y
842,,Y,Y
843,,,Y
844,,Y,Y
846,,Y,
848,,Y,Y
849,Y,Y,Y
851,,,Y
852,,Y,
853,Y,Y,Y
854,,Y,
856,,,Y
857,,Y,Y
858,,,Y
859,,Y,Y
860,,Y,Y
861,,Y,Y
862,Y,Y,Y
864,,Y,Y
865,,Y,Y
866,,Y,Y
867,,Y,Y
868,,Y,Y
869,,Y,Y
870,Y,Y,Y
872,,Y,Y
873,,Y,Y
874,,Y,Y
875,,,Y
877,Y,Y,Y
878,,Y,Y
879,,Y,
881,Y,Y,Y
882,,Y,Y
884,Y,Y,Y
886,,Y,Y
887,,Y,Y
889,,Y,Y
890,Y,Y,Y
891,,Y,Y
892,Y,Y,Y
894,Y,Y,Y
896,,Y,Y
899,Y,Y,Y
900,,Y,
901,,Y,Y
902,,Y,Y
903,,Y,
904,Y,Y,Y
905,,Y,Y
906,Y,Y,Y
907,,Y,Y
908,Y,Y,Y
909,,Y,Y
910,,Y,Y
911,Y,Y,Y
913,,Y,Y
914,,Y,
915,,Y,Y
916,,Y,Y
918,,Y,Y
919,Y,Y,
921,,Y,
922,,Y,Y
923,Y,Y,Y
924,,Y,
925,,,Y
927,,Y,Y
928,,Y,Y
929,,,Y
930,,Y,Y
931,Y,Y,Y
932,Y,Y,Y
934,,Y,Y
935,,Y,
936,Y,Y,Y
938,,Y,Y
939,Y,Y,Y
940,,Y,Y
941,Y,Y,Y
942,Y,Y,Y
943,Y,Y,Y
944,Y,Y,Y
945,,Y,Y
947,Y,Y,Y
948,,Y,Y
950,Y,Y,Y
952,,,Y
953,Y,Y,Y
954,,Y,Y
955,,Y,Y
956,,,Y
958,,Y,Y
959,,,Y
960,,Y,Y
961,,Y,Y
963,,Y,
964,Y,Y,Y
965,,Y,Y
966,,Y,Y
967,,Y,Y
968,,Y,Y
969,,Y,Y
970,,Y,Y
971,,Y,Y
972,,Y,Y
973,,Y,Y
974,Y,Y,Y
975,,Y,Y
976,,Y,Y
977,,Y,
978,,Y,
979,,Y,
980,,,Y
981,,Y,Y
984,,,Y
987,,Y,Y
988,Y,Y,Y
989,Y,Y,Y
990,Y,Y,Y
991,,Y,Y
992,,Y,Y
993,,Y,
994,Y,Y,Y
995,,Y,Y
999,Y,Y,
1000,Y,Y,Y
1001,Y,Y,Y
1002,,Y,Y
1003,,Y,Y
1004,,Y,Y
1005,,,Y
1006,,Y,Y
1007,,Y,Y
1008,,Y,Y
1009,,Y,Y
1010,,Y,Y
1011,,Y,Y
1012,,Y,Y
1014,Y,,Y
1015,Y,Y,Y
1016,Y,Y,Y
1017,,,Y
1018,,Y,
1019,,Y,Y
1020,,Y,Y
1021,,Y,Y
1022,,Y,Y
1023,,Y,Y
1024,,Y,Y
1025,,Y,Y
1026,Y,Y,Y
1027,,Y,Y
1028,,Y,
1029,,,Y
1030,Y,Y,Y
1032,Y,Y,Y
1033,,Y,Y
1034,,Y,Y
1035,Y,Y,Y
1036,Y,Y,Y
1039,Y,Y,Y
1040,Y,Y,Y
1041,Y,Y,Y
1042,,Y,Y
1043,,Y,
1044,,Y,Y
1045,,Y,
1048,,Y,Y
1053,,,Y
1054,,Y,
1055,Y,Y,Y
1056,,Y,
1058,,Y,Y
1059,,Y,
1060,Y,Y,Y
1061,,Y,
1062,Y,Y,Y
1064,,Y,Y
1065,,Y,
1066,,Y,Y
1068,,,Y
1069,,Y,
1070,,Y,Y
1071,,Y,Y
1072,Y,Y,Y
1074,,Y,Y
1075,,Y,Y
1076,,Y,Y
1077,,Y,Y
1079,,Y,Y
1080,Y,Y,Y
1081,Y,Y,Y
1082,,Y,Y
1083,,Y,Y
1084,,Y,Y
1085,,Y,Y
1086,Y,Y,Y
1087,Y,Y,Y
1088,,Y,Y
1089,,Y,Y
1090,,Y,Y
1091,,Y,Y
1093,,Y,Y
1094,,Y,Y
1095,,Y,
1096,,Y,Y
1097,,Y,Y
1099,,Y,Y
1101,Y,Y,Y
1102,,Y,
1103,,Y,Y
1104,Y,Y,Y
1105,,Y,Y
1106,,Y,
1107,,Y,
1109,,,Y
1111,,,Y
1112,,Y,Y
1113,Y,Y,Y
1115,,,Y
1116,,Y,Y
1117,,Y,Y
1118,,Y,Y
1119,,Y,
1120,,,Y
1121,,Y,Y
1122,,Y,Y
1123,Y,Y,Y
1124,,Y,
1125,Y,Y,Y
1126,,Y,
1128,,Y,Y
1130,,Y,Y
1132,,,Y
1133,,Y,Y
1134,,,Y
1135,,Y,Y
1136,,Y,
1137,,Y,Y
1138,,Y,Y
1139,,Y,Y
1140,,Y,Y
1141,Y,Y,Y
1142,,Y,
1143,,Y,
1144,,Y,Y
1146,Y,Y,Y
1148,,Y,Y
1149,,Y,Y
1150,,Y,Y
1151,,,Y
1154,,Y,Y
1155,Y,Y,Y
1156,,Y,Y
1157,,Y,
1158,,Y,Y
1160,Y,Y,Y
1161,,Y,Y
1162,,Y,Y
1163,,Y,Y
1164,,,Y
1165,,Y,Y
1167,Y,Y,Y
1168,,Y,Y
1169,,Y,
1170,,,Y
1171,,Y,Y
1172,,Y,Y
1173,,Y,Y
1174,,Y,Y
1175,,Y,Y
1176,,Y,Y
1177,Y,Y,Y
1178,,Y,Y
1179,,Y,Y
1180,,Y,Y
1182,Y,,Y
1183,Y,Y,Y
1186,,,Y
1187,,Y,
1190,,Y,Y
1191,,Y,Y
1193,,Y,Y
1194,Y,Y,Y
1195,,Y,Y
1196,,Y,
1197,,Y,Y
1198,Y,Y,Y
1199,,Y,
1201,Y,Y,Y
1202,,Y,Y
1203,Y,Y,Y
1204,Y,Y,Y
1205,,Y,Y
1206,Y,Y,Y
1207,,Y,Y
1209,Y,Y,Y
1210,,Y,Y
1211,,Y,
1212,,Y,Y
1213,Y,Y,Y
1214,,Y,
1215,Y,Y,Y
1216,,Y,Y
1217,Y,Y,Y
1218,,Y,Y
1219,,Y,Y
1220,,Y,Y
1221,,Y,Y
1222,Y,Y,Y
1223,,Y,Y
1224,Y,Y,Y
1225,,Y,Y
1226,,Y,
1227,,Y,Y
1228,,Y,Y
1229,,Y,Y
1230,Y,Y,Y
1232,,Y,Y
1233,,Y,Y
1236,,Y,Y
1237,Y,Y,Y
1238,,Y,Y
1239,,Y,
1240,,Y,Y
1241,Y,Y,Y
1242,Y,Y,Y
1243,,Y,Y
1245,Y,Y,Y
1247,Y,Y,Y
1248,,Y,Y
1249,,Y,Y
1252,,Y,Y
1254,Y,Y,Y
1255,,Y,Y
1256,,Y,Y
1259,,Y,Y
1260,,Y,Y
1261,,Y,Y
1263,Y,Y,Y
1264,Y,Y,Y
1266,,Y,Y
1267,Y,,Y
1268,,Y,Y
1270,,Y,Y
1271,,Y,Y
1273,,Y,Y
1275,,Y,Y
1276,,Y,Y
1279,Y,Y,
1280,,Y,Y
1281,,Y,Y
1283,,Y,Y
1284,Y,Y,Y
1285,Y,Y,Y
1286,,Y,Y
1287,,Y,Y
1288,,,Y
1289,,Y,Y
1290,Y,Y,Y
1291,,Y,Y
1292,,Y,Y
1293,,Y,Y
1294,,Y,Y
1295,,Y,
1296,Y,Y,Y
1297,Y,Y,Y
1298,,Y,Y
1299,Y,Y,Y
1300,Y,Y,Y
1301,Y,Y,Y
1302,Y,Y,Y
1303,Y,Y,Y
1304,,Y,Y
1305,Y,Y,Y
1306,,Y,Y
1307,,Y,Y
1308,,,Y
1309,,Y,Y
1310,,Y,Y
1311,Y,Y,Y
1312,,Y,
1313,Y,Y,Y
1314,,Y,Y
1315,,Y,Y
1316,,,Y
1318,,Y,Y
1319,Y,Y,Y
1320,,Y,Y
1321,,Y,Y
1322,,Y,Y
1324,Y,Y,Y
1325,,Y,Y
1326,Y,Y,Y
1327,,Y,Y
1328,,,Y
1329,,Y,Y
1330,,Y,Y
1331,,Y,Y
1332,,Y,Y
1333,,Y,Y
1335,,Y,Y
1336,,,Y
1337,Y,Y,Y
1338,,Y,Y
1339,Y,Y,Y
1341,Y,Y,Y
1342,,Y,Y
1344,Y,Y,Y
1345,,Y,Y
1346,Y,Y,Y
1347,,Y,Y
1348,Y,Y,Y
1349,,Y,Y
1350,Y,Y,Y
1351,,Y,Y
1352,,,Y
1353,Y,Y,Y
1354,,Y,Y
1355,Y,Y,Y
1356,,Y,Y
1357,,Y,Y
1358,,Y,Y
1359,,Y,Y
1360,,Y,Y
1361,Y,Y,Y
1362,,Y,
1363,,Y,
1364,,Y,Y
1365,,Y,Y
1367,Y,Y,Y
1368,,Y,
1369,,Y,Y
1370,,Y,Y
1371,,Y,Y
1372,,Y,Y
1373,,Y,
1375,,Y,Y
1376,Y,Y,Y
1377,,Y,Y
1378,Y,Y,Y
1379,,Y,Y
1380,,Y,Y
1381,,Y,Y
1382,,Y,Y
1383,,Y,
1384,,Y,
1385,,Y,Y
1386,,Y,
1387,,Y,Y
1388,Y,Y,Y
1390,Y,Y,Y
1392,,Y,Y
1394,,Y,Y
1395,,Y,
1396,Y,Y,Y
1397,Y,Y,Y
1398,,,Y
1399,,,Y
1400,Y,Y,Y
1401,,Y,Y
1403,Y,Y,Y
1404,,Y,Y
1406,,Y,Y
1407,,Y,Y
1408,,Y,Y
1409,,Y,Y
1410,,Y,Y
1411,Y,Y,Y
1412,,Y,Y
1413,,Y,Y
1414,,Y,
1415,,Y,
1417,,Y,Y
1419,,Y,Y
1420,,Y,Y
1421,,Y,Y
1422,,,Y
1423,,Y,
1424,Y,Y,Y
1425,,Y,Y
1426,Y,Y,Y
1427,,Y,Y
1428,Y,Y,Y
1429,,Y,Y
1430,Y,Y,Y
1431,,Y,Y
1432,,Y,Y
1433,Y,Y,Y
1434,,Y,Y
1435,,Y,Y
1436,,,Y
1438,,Y,Y
1439,,Y,
1440,,Y,Y
1444,,Y,Y
1445,,Y,Y
1446,Y,Y,Y
1447,,Y,Y
1448,,Y,Y
1449,Y,Y,Y
1450,,Y,Y
1453,Y,Y,Y
1454,Y,Y,Y
1455,,Y,Y
1456,,Y,
1457,,Y,Y
1458,Y,Y,Y
1460,,Y,Y
1461,,Y,Y
1462,,,Y
1463,,Y,Y
1464,,Y,Y
1465,Y,Y,Y
1466,,Y,Y
1468,,,Y
1469,,Y,Y
1470,,Y,Y
1472,,Y,Y
1473,Y,Y,Y
1474,,Y,Y
1475,,Y,
1476,Y,Y,Y
1477,,Y,Y
1478,,Y,Y
1479,Y,Y,Y
1481,,Y,Y
1482,,Y,Y
1483,,Y,Y
1485,Y,Y,Y
1486,,Y,Y
1487,,Y,Y
1488,Y,Y,Y
1489,,Y,Y
1490,,Y,Y
1491,,Y,
1493,,Y,
1494,Y,Y,Y
1495,,Y,Y
1496,Y,Y,Y
1497,,Y,Y
1498,Y,Y,Y
1499,,Y,Y
1500,Y,Y,Y
1501,,Y,Y
1502,,Y,Y
1503,,Y,Y
1504,,Y,Y
1505,Y,Y,Y
1507,,Y,Y
1508,,Y,Y
1510,Y,Y,Y
1511,,Y,Y
1512,,Y,Y
1513,,Y,Y
1514,Y,Y,Y
1515,,Y,Y
1516,,Y,
1517,,,Y
1519,,Y,Y
1520,,Y,Y
1522,Y,Y,Y
1523,,,Y
1524,,,Y
1525,Y,Y,Y
1526,,,Y
1527,Y,Y,Y
1528,Y,Y,Y
1529,Y,Y,Y
1530,,Y,Y
1531,,Y,Y
1532,Y,Y,Y
1533,Y,Y,Y
1534,Y,Y,Y
1535,,,Y
1536,Y,Y,Y
1537,,,Y
1538,,Y,Y
1539,Y,Y,Y
1540,,Y,Y
1541,Y,Y,Y
1542,,Y,Y
1543,Y,Y,Y
1544,,Y,Y
1545,Y,Y,Y
1547,Y,Y,Y
1549,,Y,Y
1551,,Y,Y
1552,,,Y
1553,,Y,Y
1554,Y,Y,Y
1555,Y,Y,Y
1556,Y,Y,Y
1558,,Y,Y
1559,Y,Y,Y
1560,,Y,Y
1562,,Y,
1564,Y,Y,Y
1565,Y,Y,Y
1566,,Y,Y
1567,,Y,Y
1568,Y,Y,Y
1569,Y,Y,Y
1570,,Y,Y
1571,,Y,Y
1572,,Y,
1573,,,Y
1575,,Y,Y
1576,Y,Y,Y
1577,,Y,Y
1578,,Y,Y
1579,,Y,Y
1580,,Y,Y
1581,,Y,Y
1583,Y,Y,Y
1585,,Y,Y
1587,,Y,Y
1588,Y,Y,Y
1590,Y,Y,Y
1591,Y,Y,Y
1592,,Y,Y
1593,,Y,Y
1594,,Y,Y
1595,,Y,Y
1596,,Y,Y
1597,,Y,Y
1598,,Y,Y
1600,,,Y
1601,,,Y
1602,,,Y
1603,,,Y
1604,Y,Y,Y
1605,,Y,Y
1606,Y,Y,Y
1607,Y,Y,Y
1608,,Y,Y
1609,,Y,Y
1610,,Y,Y
1611,Y,Y,Y
1612,Y,Y,Y
1613,,Y,Y
1614,,Y,Y
1615,,Y,Y
1616,,Y,Y
1617,,Y,Y
1620,,Y,Y
1621,,Y,Y
1622,,Y,Y
1623,,Y,Y
1624,,Y,Y
1626,,Y,Y
1627,,Y,Y
1628,,Y,Y
1630,,Y,Y
1631,Y,Y,Y
1632,Y,Y,Y
1633,,Y,Y
1634,,Y,Y
1635,,,Y
1636,Y,Y,Y
1637,,Y,Y
1638,,,Y
1640,,Y,Y
1641,,Y,Y
1642,,Y,
1643,,Y,Y
1644,Y,Y,Y
1645,Y,Y,Y
1646,,Y,Y
1647,,Y,Y
1648,,Y,Y
1649,,Y,Y
1650,,Y,
1651,,Y,Y
1654,Y,Y,Y
1655,,Y,Y
1656,,Y,Y
1657,,Y,
1658,,,Y
1659,,Y,Y
1661,,Y,Y
1662,,,Y
1663,,Y,Y
1664,Y,Y,Y
1665,,Y,Y
1666,,Y,Y
1667,,Y,Y
1669,Y,Y,Y
1670,Y,Y,Y
1671,Y,Y,Y
1672,,Y,Y
1673,Y,Y,Y
1676,,Y,
1677,Y,Y,Y
1679,Y,Y,Y
1680,,,Y
1682,,Y,Y
1684,,,Y
1685,Y,Y,Y
1686,,Y,Y
1687,Y,Y,Y
1690,,Y,Y
1691,,Y,Y
1692,,,Y
1693,Y,Y,Y
1694,,Y,Y
1695,,,Y
1696,,,Y
1697,,Y,Y
1698,,Y,Y
1699,,Y,Y
1700,,Y,Y
1702,,Y,Y
1703,,Y,Y
1705,,Y,Y
1707,,,Y
1708,Y,Y,Y
1709,,Y,Y
1710,,Y,Y
1711,,Y,Y
1712,,Y,
1713,,Y,Y
1714,,Y,Y
1715,,Y,Y
1716,Y,Y,Y
1717,Y,Y,
1718,,Y,Y
1719,,,Y
1720,Y,Y,Y
1721,,Y,Y
1722,,Y,Y
1723,,Y,Y
1724,Y,,Y
1726,,Y,Y
1727,,Y,Y
1728,,Y,Y
1729,,Y,Y
1730,,Y,
1731,,Y,Y
1733,,Y,Y
1734,,Y,Y
1735,,Y,Y
1736,Y,Y,Y
1737,,Y,
1738,,Y,Y
1739,Y,Y,Y
1740,,Y,Y
1741,Y,Y,Y
1742,,Y,Y
1743,,Y,Y
1744,,,Y
1745,,Y,Y
1746,Y,Y,Y
1748,,Y,Y
1749,,Y,
1750,Y,Y,Y
1752,,Y,Y
1753,Y,Y,Y
1754,,Y,Y
1755,Y,Y,Y
1756,Y,Y,Y
1757,Y,Y,Y
1758,,Y,Y
1759,Y,Y,Y
1760,,Y,Y
1762,Y,Y,Y
1763,Y,Y,Y
1764,,Y,Y
1765,,Y,Y
1767,Y,Y,Y
1768,,Y,Y
1769,,Y,Y
1770,,Y,Y
1771,,Y,Y
1773,,Y,Y
1774,Y,Y,Y
1775,,Y,Y
1776,,Y,Y
1777,,Y,Y
1778,,Y,Y
1779,,Y,Y
1780,,,Y
1781,Y,Y,Y
1782,Y,Y,Y
1783,,Y,Y
1785,Y,Y,Y
1786,,,Y
1788,Y,Y,Y
1789,Y,Y,Y
1790,,Y,Y
1791,,Y,Y
1793,,,Y
1794,Y,Y,Y
1796,Y,Y,Y
1797,,Y,Y
1798,,,Y
1799,,Y,Y
1800,,Y,Y
1801,Y,Y,Y
1802,Y,Y,Y
1803,,,Y
1804,,Y,Y
1805,,Y,Y
1806,,Y,Y
1807,,Y,Y
1809,,Y,Y
1810,Y,Y,Y
1811,,Y,Y
1812,Y,Y,Y
1813,,Y,Y
1814,,Y,Y
1815,,Y,Y
1816,,Y,
1817,,,Y
