Region Nbr,Market Nbr,Facility,OKM Tracking ,OKM Delivery Date,OKM Install Date,Digital Lock Tracking,Carrier,Digital Lock Install Week,Digital Lock Installation Date,Total lock count,Length of install
6,61,529,,,,,,Live,9/24/24,,
13,134,539,,,,,,Live,1/9/25,,
44,353,544,,,,,,Live,12/9/24,,
6,62,546,,,,,,Live,9/18/24,,
47,407,557,,,,,,Live,1/7/25,,
52,418,559,,,,,,Live,1/14/25,,
40,360,560,,,,,,Live,12/2/24,,
5,55,565,,,,,,Live,10/10/23,,
44,345,576,,,,,,Live,1/6/25,,
40,362,577,,,,,,Live,1/9/25,,
52,414,581,,,,,,Live,1/28/25,,
41,256,589,,,,,,Live,12/9/24,,
5,48,590,,,,,,Live,10/23/24,,
47,406,592,,,,,,Live,12/13/24,,
4,29,605,,,,,,Live,12/6/24,,
4,41,616,,,,,,Live,10/16/24,,
44,344,622,,,,,,Live,12/6/24,,
4,33,628,,,,,,Live,10/15/24,,
4,38,630,,,,,,Live,1/20/25,,
4,35,631,,,,,,Live,11/7/24,,
4,36,632,,,,,,Live,10/8/24,,
4,38,634,,,,,,Live,10/25/24,,
4,29,635,,,,,,Live,12/10/24,,
4,42,638,,,,,,Live,10/4/24,,
4,35,640,,,,,,Live,2/5/25,,
4,35,641,,,,,,Live,1/17/25,,
52,415,646,,,,,,Live,11/4/24,,
13,66,651,,,,,,Live,10/10/24,,
47,406,652,,,,,,Live,12/5/24,,
12,153,688,,,,,,Live,1/7/25,,
12,152,695,,,,,,Live,1/10/25,,
4,29,728,,,,,,Live,12/11/24,,
6,59,744,,,,,,Live,8/30/22,,
2,19,745,,,,,,Live,10/29/24,,
52,414,748,,,,,,Live,1/10/25,,
52,414,749,,,,,,Live,11/12/24,,
52,415,750,,,,,,Live,1/21/25,,
52,415,753,,,,,,Live,1/22/25,,
2,30,754,,,,,,Live,12/17/24,,
3,101,767,,,,,,Live,11/4/24,,
6,65,768,,,,,,Live,9/20/24,,
6,64,772,,,,,,Live,9/9/24,,
47,433,776,,,,,,Live,1/14/25,,
2,19,787,,,,,,Live,11/6/24,,
5,583,789,,,,,,Live,10/12/23,,
40,340,805,,,,,,Live,10/23/24,,
46,387,806,,,,,,Live,12/10/24,,
52,426,810,,,,,,Live,1/27/25,,
9,90,817,,,,,,Live,11/7/24,,
14,15,818,,,,,,Live,11/5/24,,
46,385,824,,,,,,Live,9/11/24,,
46,385,829,,,,,,Live,11/12/24,,
46,385,835,,,,,,Live,1/12/23,,
13,130,839,,,,,,Live,1/15/25,,
54,389,842,,,,,,Live,10/11/24,,
6,59,849,,,,,,Live,9/16/24,,
46,385,850,,,,,,Live,1/10/23,,
2,20,855,,,,,,Live,8/8/24,,
26,309,877,,,,,,Live,9/26/24,,
5,50,880,,,,,,Live,10/9/23,,
52,426,886,,,,,,Live,12/9/24,,
52,414,892,,,,,,Live,1/9/25,,
44,356,894,,,,,,Live,9/2/22,,
5,49,896,,,,,,Live,10/16/24,,
54,379,905,,,,,,Live,10/15/24,,
9,90,908,,,,,,Live,10/14/24,,
13,125,912,,,,,,Live,9/24/24,,
6,62,915,,,,,,Live,9/10/24,,
14,8,930,,,,,,Live,1/23/25,,
13,130,935,,,,,,Live,1/27/25,,
2,26,937,,,,,,Live,11/5/24,,
5,479,940,,,,,,Live,10/25/24,,
26,304,948,,,,,,Live,10/18/24,,
5,479,972,,,,,,Live,10/30/24,,
14,1,991,,,,,,Live,1/16/25,,
47,407,993,,,,,,Live,12/11/24,,
26,309,1010,,,,,,Live,9/27/24,,
4,29,1011,,,,,,Live,12/16/24,,
40,361,1014,,,,,,Live,10/25/24,,
26,306,1027,,,,,,Live,9/30/24,,
4,42,1030,,,,,,Live,10/24/24,,
26,305,1034,,,,,,Live,10/3/24,,
4,42,1035,,,,,,Live,11/12/24,,
4,294,1036,,,,,,Live,1/23/25,,
4,33,1037,,,,,,Live,10/7/24,,
6,65,1040,,,,,,Live,9/18/24,,
6,85,1042,,,,,,Live,9/9/24,,
2,20,1047,,,,,,Live,8/9/24,,
47,411,1054,,,,,,Live,11/6/24,,
5,583,1055,,,,,,Live,3/29/22,,
26,304,1060,,,,,,Live,10/14/24,,
26,304,1064,,,,,,Live,10/21/24,,
12,149,1075,,,,,,Live,1/13/25,,
3,98,1082,,,,,,Live,10/24/24,,
3,101,1083,,,,,,Live,11/5/24,,
13,143,1088,,,,,,Live,1/15/25,,
3,101,1090,,,,,,Live,10/30/24,,
40,361,1094,,,,,,Live,10/28/24,,
26,304,1096,,,,,,Live,11/7/24,,
44,409,1099,,,,,,Live,9/7/22,,
13,130,1102,,,,,,Live,1/17/25,,
6,59,1103,,,,,,Live,8/31/22,,
42,326,1105,,,,,,Live,8/29/24,,
5,55,1118,,,,,,Live,10/12/23,,
13,134,1128,,,,,,Live,1/13/25,,
7,82,1129,,,,,,Live,9/9/24,,
4,38,1135,,,,,,Live,10/23/24,,
13,131,1136,,,,,,Live,1/28/25,,
6,60,1137,,,,,,Live,12/12/24,,
4,42,1144,,,,,,Live,12/6/24,,
2,32,1153,,,,,,Live,1/6/25,,
26,306,1156,,,,,,Live,1/8/25,,
40,339,1161,,,,,,Live,10/24/24,,
13,125,1163,,,,,,Live,9/26/24,,
4,41,1164,,,,,,Live,10/28/24,,
53,435,1167,,,,,,Live,10/7/24,,
3,98,1172,,,,,,Live,10/25/24,,
58,364,1175,,,,,,Live,10/7/24,,
4,294,1179,,,,,,Live,12/12/24,,
2,26,1181,,,,,,Live,7/30/24,,
4,41,1183,,,,,,Live,11/13/24,,
7,83,1185,,,,,,Live,12/4/24,,
40,339,1188,,,,,,Live,10/3/24,,
42,135,1193,,,,,,Live,1/7/25,,
54,391,1200,,,,,,Live,9/9/22,,
13,66,1204,,,,,,Live,10/18/24,,
13,130,1206,,,,,,Live,1/20/25,,
26,305,1209,,,,,,Live,10/3/24,,
5,53,1216,,,,,,Live,11/5/24,,
3,101,1219,,,,,,Live,11/6/24,,
9,90,1220,,,,,,Live,10/17/24,,
44,409,1221,,,,,,Live,12/12/24,,
54,379,1231,,,,,,Live,9/5/24,,
26,302,1236,,,,,,Live,10/28/24,,
4,310,1238,,,,,,Live,11/12/24,,
52,418,1241,,,,,,Live,1/15/25,,
4,294,1242,,,,,,Live,12/4/24,,
4,35,1244,,,,,,Live,11/11/24,,
54,380,1252,,,,,,Live,9/6/24,,
7,82,1253,,,,,,Live,9/10/24,,
4,310,1261,,,,,,Live,11/5/24,,
41,254,1263,,,,,,Live,12/14/24,,
40,339,1265,,,,,,Live,10/4/24,,
13,130,1266,,,,,,Live,1/25/25,,
53,441,1267,,,,,,Live,10/15/24,,
4,42,1281,,,,,,Live,1/15/25,,
4,41,1286,,,,,,Live,11/5/24,,
46,367,1291,,,,,,Live,11/6/24,,
75,312,1292,,,,,,Live,1/9/25,,
2,30,1293,,,,,,Live,1/8/25,,
21,247,1294,,,,,,Live,11/4/24,,
26,302,1298,,,,,,Live,10/31/24,,
54,380,1308,,,,,,Live,9/5/24,,
75,312,1309,,,,,,Live,1/10/25,,
7,77,1313,,,,,,Live,9/17/24,,
26,299,1321,,,,,,Live,10/25/24,,
26,308,1322,,,,,,Live,10/18/24,,
21,246,1329,,,,,,Live,1/13/25,,
21,222,1330,,,,,,Live,12/13/24,,
52,426,1332,,,,,,Live,1/13/25,,
26,304,1337,,,,,,Live,11/5/24,,
4,41,1339,,,,,,Live,10/29/24,,
2,25,1340,,,,,,Live,8/2/24,,
75,315,1344,,,,,,Live,1/16/25,,
75,315,1350,,,,,,Live,1/15/25,,
4,33,1358,,,,,,Live,12/13/24,,
2,23,1373,,,,,,Live,8/9/24,,
14,97,1375,,,,,,Live,11/7/24,,
21,247,1378,,,,,,Live,11/7/24,,
46,372,1381,,,,,,Live,9/27/24,,
4,33,1383,,,,,,Live,12/12/24,,
26,305,1385,,,,,,Live,10/11/24,,
3,94,1391,,,,,,Live,10/22/24,,
53,435,1394,,,,,,Live,10/10/24,,
46,384,1397,,,,,,Live,9/13/24,,
6,65,1409,,,,,,Live,9/6/24,,
40,341,1418,,,,,,Live,10/22/24,,
47,406,1437,,,,,,Live,9/6/22,,
57,405,1439,,,,,,Live,10/25/24,,
21,221,1441,,,,,,Live,10/29/24,,
21,221,1443,,,,,,Live,10/7/24,,
5,44,1455,,,,,,Live,10/21/24,,
41,249,1459,,,,,,Live,9/17/24,,
26,305,1464,,,,,,Live,9/22/22,,
52,423,1472,,,,,,Live,10/14/24,,
52,421,1473,,,,,,Live,1/7/25,,
21,259,1478,,,,,,Live,9/19/22,,
52,413,1491,,,,,,Live,1/7/25,,
54,376,1492,,,,,,Live,8/29/24,,
52,415,1496,,,,,,Live,1/22/25,,
44,409,1507,,,,,,Live,12/17/24,,
46,371,1512,,,,,,Live,9/30/24,,
53,442,1515,,,,,,Live,10/11/24,,
41,482,1518,,,,,,Live,9/24/24,,
21,225,1521,,,,,,Live,10/4/24,,
52,415,1528,,,,,,Live,11/7/24,,
46,369,1533,,,,,,Live,9/15/22,,
47,427,1534,,,,,,Live,12/10/24,,
53,196,1542,,,,,,Live,9/8/22,,
21,246,1547,,,,,,Live,1/21/25,,
46,368,1549,,,,,,Live,9/20/24,,
26,308,1552,,,,,,Live,11/6/24,,
56,452,1554,,,,,,Live,9/27/24,,
41,482,1557,,,,,,Live,9/23/24,,
57,394,1559,,,,,,Live,10/24/24,,
57,396,1560,,,,,,Live,12/6/24,,
11,145,1561,,,,,,Live,10/16/24,,
52,424,1562,,,,,,Live,10/29/24,,
57,448,1563,,,,,,Live,10/18/24,,
57,447,1574,,,,,,Live,10/25/24,,
56,457,1575,,,,,,Live,10/3/24,,
41,249,1580,,,,,,Live,9/19/24,,
47,427,1581,,,,,,Live,1/16/25,,
57,449,1583,,,,,,Live,12/6/24,,
57,396,1584,,,,,,Live,9/12/22,,
2,26,1586,,,,,,Live,11/4/24,,
56,450,1587,,,,,,Live,10/19/24,,
58,445,1588,,,,,,Live,10/24/24,,
22,234,1591,,,,,,Live,1/15/25,,
57,447,1600,,,,,,Live,10/14/24,,
56,457,1608,,,,,,Live,9/13/24,,
26,297,1614,,,,,,Live,11/12/24,,
56,452,1615,,,,,,Live,9/13/24,,
19,238,1618,,,,,,Live,8/27/24,,
76,192,1619,,,,,,Live,9/9/24,,
17,226,1623,,,,,,Live,1/10/25,,
57,447,1624,,,,,,Live,10/16/24,,
52,424,1633,,,,,,Live,11/11/24,,
47,432,1637,,,,,,Live,1/20/25,,
53,444,1643,,,,,,Live,10/14/24,,
57,581,1645,,,,,,Live,10/23/24,,
56,452,1651,,,,,,Live,10/8/24,,
57,448,1660,,,,,,Live,9/25/24,,
26,304,1662,,,,,,Live,10/17/24,,
26,309,1666,,,,,,Live,8/26/22,,
47,432,1671,,,,,,Live,1/16/25,,
76,280,1674,,,,,,Live,11/6/24,,
53,438,1679,,,,,,Live,10/18/24,,
54,376,1689,,,,,,Live,8/29/24,,
40,362,1691,,,,,,Live,9/8/22,,
58,445,1692,,,,,,Live,10/30/24,,
58,445,1693,,,,,,Live,1/23/25,,
12,124,1694,,,,,,Live,11/13/24,,
47,427,1695,,,,,,Live,12/11/24,,
56,454,1697,,,,,,Live,10/1/24,,
58,459,1700,,,,,,Live,10/17/24,,
76,280,1703,,,,,,Live,10/23/24,,
56,453,1704,,,,,,Live,9/27/24,,
14,2,1711,,,,,,Live,11/13/24,,
75,508,1717,,,,,,Live,10/28/24,,
21,222,1718,,,,,,Live,12/16/24,,
52,421,1722,,,,,,Live,1/27/25,,
52,413,1723,,,,,,Live,1/27/25,,
52,414,1732,,,,,,Live,1/24/25,,
20,235,1739,,,,,,Live,10/15/24,,
22,165,1742,,,,,,Live,9/20/24,,
46,371,1746,,,,,,Live,9/23/24,,
58,461,1747,,,,,,Live,11/12/24,,
4,33,1748,,,,,,Live,10/11/24,,
21,222,1750,,,,,,Live,1/15/25,,
56,452,1755,,,,,,Live,10/17/24,,
58,462,1756,,,,,,Live,11/7/24,,
56,455,1760,,,,,,Live,9/13/24,,
40,341,1761,,,,,,Live,10/11/24,,
52,413,1764,,,,,,Live,12/13/24,,
19,202,1771,,,,,,Live,11/8/24,,
56,468,1772,,,,,,Live,10/30/24,,
60,478,1775,,,,,,Live,12/19/24,,
75,315,1780,,,,,,Live,1/20/25,,
60,477,1784,,,,,,Live,12/6/24,,
52,423,1786,,,,,,Live,10/11/24,,
52,414,1787,,,,,,Live,12/10/24,,
56,454,1789,,,,,,Live,10/1/24,,
60,477,1793,,,,,,Live,9/13/24,,
5,583,1800,,,,,,Live,11/13/24,,
5,44,1801,,,,,,Live,10/17/24,,
47,411,1802,,,,,,Live,12/9/24,,
7,87,1803,,,,,,Live,12/2/24,,
21,248,1804,,,,,,Live,12/11/24,,
58,463,1805,,,,,,Live,1/6/25,,
17,164,1810,,,,,,Live,1/6/25,,
76,192,1813,,,,,,Live,9/16/24,,
57,449,1815,,,,,,Live,11/8/24,,
60,475,1817,,,,,,Live,12/17/24,,
26,306,1821,,,,,,Live,9/25/24,,
57,581,1826,,,,,,Live,11/14/24,,
76,191,1831,,,,,,Live,12/9/24,,
58,463,1832,,,,,,Live,12/12/24,,
56,468,1834,,,,,,Live,12/11/24,,
17,190,1835,,,,,,Live,11/12/24,,
20,214,1839,,,,,,Live,11/11/24,,
56,450,1840,,,,,,Live,10/2/24,,
75,289,1841,,,,,,Live,6/5/23,,
9,109,1851,,,,,,Live,1/27/25,,
75,291,1852,,,,,,Live,10/30/24,,
58,461,1853,,,,,,Live,11/8/24,,
22,284,1860,,,,,,Live,1/24/25,,
52,422,1861,,,,,,Live,10/17/24,,
58,462,1862,,,,,,Live,11/14/24,,
20,209,1863,,,,,,Live,9/16/24,,
52,422,1864,,,,,,Live,10/24/24,,
57,581,1877,,,,,,Live,10/18/24,,
58,445,1879,,,,,,Live,10/29/24,,
56,468,1880,,,,,,Live,12/5/24,,
56,453,1881,,,,,,Live,9/10/24,,
57,581,1882,,,,,,Live,11/7/24,,
58,461,1899,,,,,,Live,12/3/24,,
56,457,1903,,,,,,Live,10/4/24,,
76,195,1909,,,,,,Live,12/3/24,,
56,468,1910,,,,,,Live,12/13/24,,
20,215,1911,,,,,,Live,9/23/24,,
58,461,1912,,,,,,Live,10/24/24,,
19,207,1913,,,,,,Live,9/5/22,,
58,445,1914,,,,,,Live,11/5/24,,
58,459,1917,,,,,,Live,10/11/24,,
60,477,1920,,,,,,Live,10/8/24,,
58,462,1922,,,,,,Live,12/6/24,,
19,200,1923,,,,,,Live,12/3/24,,
60,478,1925,,,,,,Live,11/6/24,,
25,268,1938,,,,,,Live,9/21/23,,
58,462,1941,,,,,,Live,10/8/24,,
47,433,1943,,,,,,Live,1/10/25,,
52,422,1952,,,,,,Live,10/23/24,,
53,263,1955,,,,,,Live,1/24/25,,
47,382,1956,,,,,,Live,11/12/24,,
17,164,1959,,,,,,Live,1/8/25,,
56,450,1963,,,,,,Live,10/16/24,,
47,432,1965,,,,,,Live,12/12/24,,
56,511,1972,,,,,,Live,11/4/24,,
56,457,1979,,,,,,Live,10/29/24,,
56,450,1983,,,,,,Live,10/17/24,,
76,283,1985,,,,,,Live,10/29/24,,
56,455,1988,,,,,,Live,10/4/24,,
57,447,1989,,,,,,Live,1/6/25,,
58,462,1992,,,,,,Live,1/21/25,,
56,400,1995,,,,,,Live,1/22/25,,
16,188,1997,,,,,,Live,1/6/25,,
52,424,1999,,,,,,Live,10/28/24,,
57,449,2001,,,,,,Live,11/5/24,,
56,451,2002,,,,,,Live,2/4/22,,
17,174,2003,,,,,,Live,10/14/24,,
52,415,2004,,,,,,Live,1/20/25,,
26,306,2005,,,,,,Live,10/2/24,,
17,162,2022,,,,,,Live,12/12/24,,
56,511,2025,,,,,,Live,11/6/24,,
58,461,2028,,,,,,Live,10/28/24,,
56,450,2030,,,,,,Live,10/22/24,,
56,511,2031,,,,,,Live,9/12/24,,
57,446,2032,,,,,,Live,12/17/24,,
20,317,2036,,,,,,Live,12/16/24,,
60,472,2037,,,,,,Live,11/14/24,,
56,450,2039,,,,,,Live,10/11/24,,
56,457,2044,,,,,,Live,9/11/24,,
56,453,2048,,,,,,Live,9/24/24,,
57,396,2050,,,,,,Live,9/10/24,,
56,457,2053,,,,,,Live,9/9/24,,
56,454,2054,,,,,,Live,9/9/24,,
16,188,2056,,,,,,Live,1/21/25,,
26,297,2058,,,,,,Live,1/22/25,,
76,231,2059,,,,,,Live,10/22/24,,
12,122,2065,,,,,,Live,12/17/24,,
6,64,2066,,,,,,Live,9/10/24,,
22,170,2068,,,,,,Live,9/7/24,,
56,468,2069,,,,,,Live,12/3/24,,
60,469,2070,,,,,,Live,10/3/24,,
60,469,2071,,,,,,Live,10/11/24,,
20,214,2073,,,,,,Live,9/24/24,,
60,469,2074,,,,,,Live,10/5/24,,
60,478,2075,,,,,,Live,12/16/24,,
58,460,2077,,,,,,Live,9/27/24,,
58,464,2082,,,,,,Live,10/11/24,,
47,383,2084,,,,,,Live,12/9/24,,
5,56,2086,,,,,,Live,11/6/24,,
52,422,2087,,,,,,Live,10/21/24,,
9,110,2091,,,,,,Live,9/17/24,,
58,460,2094,,,,,,Live,1/13/25,,
16,188,2097,,,,,,Live,1/20/25,,
21,219,2098,,,,,,Live,8/26/24,,
57,447,2099,,,,,,Live,12/17/24,,
60,475,2101,,,,,,Live,1/14/25,,
5,53,2105,,,,,,Live,11/8/24,,
56,392,2106,,,,,,Live,8/30/23,,
22,165,2108,,,,,,Live,9/23/24,,
57,465,2110,,,,,,Live,11/5/24,,
46,372,2112,,,,,,Live,10/2/24,,
46,370,2113,,,,,,Live,9/16/22,,
20,216,2115,,,,,,Live,11/12/24,,
56,451,2117,,,,,,Live,10/8/24,,
56,511,2119,,,,,,Live,2/4/22,,
60,472,2121,,,,,,Live,10/30/24,,
54,380,2125,,,,,,Live,9/4/24,,
57,470,2126,,,,,,Live,1/20/25,,
47,411,2131,,,,,,Live,1/13/25,,
13,131,2132,,,,,,Live,1/24/25,,
7,82,2133,,,,,,Live,9/13/24,,
26,306,2134,,,,,,Live,8/25/22,,
75,291,2136,,,,,,Live,10/29/24,,
16,157,2139,,,,,,Live,12/2/24,,
22,166,2141,,,,,,Live,9/4/24,,
16,184,2142,,,,,,Live,9/12/22,,
22,168,2145,,,,,,Live,10/30/24,,
16,188,2152,,,,,,Live,1/8/25,,
17,171,2156,,,,,,Live,9/10/24,,
16,156,2158,,,,,,Live,12/4/24,,
76,191,2166,,,,,,Live,12/10/24,,
58,459,2177,,,,,,Live,10/15/24,,
58,463,2181,,,,,,Live,1/9/25,,
56,392,2189,,,,,,Live,9/1/23,,
56,453,2190,,,,,,Live,10/1/24,,
22,178,2195,,,,,,Live,10/17/24,,
60,472,2196,,,,,,Live,10/25/24,,
52,423,2198,,,,,,Live,10/10/24,,
25,267,2204,,,,,,Live,8/29/24,,
22,233,2205,,,,,,Live,1/16/25,,
58,466,2206,,,,,,Live,11/11/24,,
20,216,2209,,,,,,Live,9/21/22,,
76,195,2210,,,,,,Live,12/5/24,,
40,340,2213,,,,,,Live,8/29/22,,
4,41,2214,,,,,,Live,11/14/24,,
58,466,2218,,,,,,Live,11/12/24,,
76,280,2233,,,,,,Live,11/4/24,,
19,200,2238,,,,,,Live,12/2/24,,
58,464,2242,,,,,,Live,10/3/24,,
58,460,2245,,,,,,Live,1/15/25,,
60,467,2249,,,,,,Live,11/8/24,,
21,221,2250,,,,,,Live,12/6/24,,
57,484,2251,,,,,,Live,9/10/24,,
6,67,2257,,,,,,Live,9/5/24,,
47,383,2259,,,,,,Live,11/4/24,,
20,214,2266,,,,,,Live,9/26/24,,
60,473,2269,,,,,,Live,1/9/25,,
52,424,2274,,,,,,Live,11/6/24,,
57,449,2277,,,,,,Live,10/23/24,,
56,451,2280,,,,,,Live,2/17/22,,
20,235,2281,,,,,,Live,10/21/24,,
17,162,2282,,,,,,Live,12/11/24,,
17,161,2283,,,,,,Live,12/12/24,,
17,171,2286,,,,,,Live,9/11/24,,
58,462,2288,,,,,,Live,11/12/24,,
58,458,2291,,,,,,Live,1/22/25,,
57,484,2292,,,,,,Live,9/13/24,,
57,448,2297,,,,,,Live,9/24/24,,
20,227,2300,,,,,,Live,10/14/24,,
11,11,2306,,,,,,Live,1/22/25,,
57,470,2308,,,,,,Live,1/24/25,,
12,122,2310,,,,,,Live,12/16/24,,
75,312,2312,,,,,,Live,1/13/25,,
57,470,2314,,,,,,Live,1/21/25,,
60,472,2317,,,,,,Live,10/29/24,,
56,468,2320,,,,,,Live,12/6/24,,
11,145,2322,,,,,,Live,10/17/24,,
60,472,2325,,,,,,Live,10/28/24,,
53,441,2335,,,,,,Live,10/16/24,,
21,246,2339,,,,,,Live,1/20/25,,
4,33,2348,,,,,,Live,1/10/25,,
52,424,2352,,,,,,Live,11/5/24,,
20,209,2362,,,,,,Live,9/17/24,,
52,419,2367,,,,,,Live,1/9/25,,
16,188,2370,,,,,,Live,1/14/25,,
60,514,2385,,,,,,Live,11/12/24,,
3,114,2387,,,,,,Live,10/7/24,,
57,484,2401,,,,,,Live,10/15/24,,
60,514,2403,,,,,,Live,10/25/24,,
20,235,2420,,,,,,Live,10/16/24,,
21,217,2426,,,,,,Live,8/27/24,,
5,53,2427,,,,,,Live,10/11/23,,
47,433,2432,,,,,,Live,1/7/25,,
64,561,2433,,,,,,Live,10/9/23,,
75,282,2435,,,,,,Live,8/29/22,,
6,60,2439,,,,,,Live,9/23/24,,
21,225,2441,,,,,,Live,10/8/24,,
22,170,2445,,,,,,Live,10/28/24,,
22,170,2446,,,,,,Live,7/15/23,,
21,225,2447,,,,,,Live,9/27/24,,
60,471,2450,,,,,,Live,10/18/24,,
53,444,2452,,,,,,Live,10/24/24,,
56,454,2457,,,,,,Live,9/12/24,,
56,451,2458,,,,,,Live,2/8/22,,
5,56,2463,,,,,,Live,11/7/24,,
56,454,2464,,,,,,Live,10/2/24,,
60,467,2469,,,,,,Live,11/5/24,,
57,470,2473,,,,,,Live,1/28/25,,
56,468,2477,,,,,,Live,11/12/24,,
58,459,2479,,,,,,Live,10/8/24,,
22,232,2481,,,,,,Live,1/14/25,,
46,372,2482,,,,,,Live,10/4/24,,
57,394,2483,,,,,,Live,10/4/24,,
40,362,2490,,,,,,Live,10/21/24,,
58,466,2495,,,,,,Live,1/15/25,,
57,447,2507,,,,,,Live,1/7/25,,
46,370,2515,,,,,,Live,10/1/24,,
60,514,2516,,,,,,Live,10/16/24,,
58,466,2517,,,,,,Live,1/13/25,,
58,464,2523,,,,,,Live,10/7/24,,
57,446,2526,,,,,,Live,11/5/24,,
22,232,2535,,,,,,Live,1/13/25,,
57,581,2536,,,,,,Live,10/22/24,,
56,457,2537,,,,,,Live,10/25/24,,
60,478,2538,,,,,,Live,11/13/24,,
60,474,2539,,,,,,Live,9/6/24,,
58,464,2546,,,,,,Live,10/1/24,,
60,474,2549,,,,,,Live,8/30/24,,
60,476,2550,,,,,,Live,8/29/24,,
56,457,2553,,,,,,Live,11/8/24,,
46,368,2554,,,,,,Live,9/19/24,,
22,284,2555,,,,,,Live,1/23/25,,
57,447,2556,,,,,,Live,1/9/25,,
57,447,2557,,,,,,Live,12/3/24,,
57,446,2568,,,,,,Live,10/29/24,,
60,514,2571,,,,,,Live,10/29/24,,
75,281,2577,,,,,,Live,11/8/24,,
4,300,2580,,,,,,Live,10/30/24,,
76,195,2586,,,,,,Live,12/6/24,,
20,227,2588,,,,,,Live,10/17/24,,
57,394,2592,,,,,,Live,10/23/24,,
57,396,2593,,,,,,Live,10/1/24,,
60,471,2594,,,,,,Live,10/24/24,,
60,471,2595,,,,,,Live,10/21/24,,
60,471,2596,,,,,,Live,10/30/24,,
56,453,2598,,,,,,Live,8/30/24,,
57,465,2609,,,,,,Live,10/29/24,,
57,446,2621,,,,,,Live,11/8/24,,
3,112,2627,,,,,,Live,1/29/25,,
41,260,2628,,,,,,Live,12/5/24,,
17,175,2633,,,,,,Live,10/8/24,,
58,466,2636,,,,,,Live,1/16/25,,
52,423,2642,,,,,,Live,10/7/24,,
52,422,2643,,,,,,Live,10/16/24,,
56,511,2648,,,,,,Live,7/17/23,,
5,50,2649,,,,,,Live,11/11/24,,
22,170,2650,,,,,,Live,9/4/24,,
46,375,2656,,,,,,Live,11/13/24,,
5,55,2667,,,,,,Live,10/12/23,,
53,435,2668,,,,,,Live,10/8/24,,
46,373,2671,,,,,,Live,10/1/24,,
19,201,2678,,,,,,Live,1/23/25,,
21,247,2679,,,,,,Live,11/6/24,,
41,243,2691,,,,,,Live,12/12/24,,
19,206,2692,,,,,,Live,1/6/25,,
40,340,2694,,,,,,Live,10/21/24,,
56,452,2697,,,,,,Live,9/11/24,,
4,38,2703,,,,,,Live,10/21/24,,
13,125,2706,,,,,,Live,9/27/24,,
58,460,2708,,,,,,Live,12/13/24,,
4,37,2712,,,,,,Live,8/12/24,,
52,415,2716,,,,,,Live,1/29/25,,
6,64,2718,,,,,,Live,9/6/24,,
