Store,Dept.,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
20,92,Bruce's Yams 40 oz,Half EC,1,37,
20,92,Idahoan Mashed Potatoes 26oz,Full EC,1,37,
20,92,KRUSTEAZ PANCAKE 10LB,Half EC,1,37,
20,92,Quaker SQO 42oz ,Full Stack,1,37,
20,92,SM COCOA CAN 45.68OZ,Half EC,2,37,
20,92,Taco Bell Mixed Pallet,Half Stack,1,37,
20,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,37,
20,92,Velveeta Shells & Cheese,Full EC,1,37,
20,95,120ct Cheetos Halloween Tins,Full Stack,1,37,
20,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
20,95,Martinelli Display 5 Flavor,Full Stack,1,37,
21,9,BB2 CUBE,Half Stack,1,37,
21,40,13PC ZzzQuil Mxd PDQ,Full EC,2,37,
21,40,24 pc Family Bag,SDK,2,37,
21,40,Afrin 14pc No Drip,SDK,2,37,
21,40,Claritin Adult 14pc PDQ,Full EC,2,37,
21,40,Coricidin HBP 18pc Max Strength,SDK,2,37,
21,40,Vicks Warm Mist Humidifier,Full EC,1,37,
21,92,GV Family Size Canned Green Beans,Half EC,1,37,
21,92,Taco Bell Mixed Pallet,Half Stack,1,37,
21,95,28 OZ UTZ CHEESEBALL BARREL,Full Stack,1,37,
21,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
22,7,Model Car Kits,Full Stack,1,37,
22,17,BHG/SCTS FP WAX BIN,Full Stack,1,37,
22,40,21pc GB Powder and Spray PDQ,Full EC,2,37,Cancel - supplier does not have product to ship due to supply issues
22,40,22PCEQ LORATADINE 4 (cf Claritin),Full EC,2,37,
22,40,Emergen-C Feature,4-way,3,37,
22,40,EQ Ibuprofen Tablet 2x250ct,Full EC,2,37,
22,40,PC42ALLNASXYZ PDQ,Full EC,1,37,
22,71,BHG 4 CUBE ORG WHT,Half EC,2,37,
22,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
22,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
22,90,Pillsbury Pie Crusts 2CT,Bunker,1,37,
22,92,Bruce's Yams 40 oz,Half EC,1,37,
22,92,Dry HV Salad Dressing Original Ranch,Half EC,1,37,
22,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,37,
22,95,120ct Cheetos Halloween Tins,Full Stack,1,37,
22,95,60ct Cheetos Holiday Tins,Full Stack,2,37,
23,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
23,9,Strategy Camo Tarp - 8x10,Half EC,1,37,
23,17,120PC YANKEE CNDL HP,Half Stack,1,37,
23,40,10PC ALLEGRA KIDS SK,SDK,1,37,
23,40,6PC Nervive 15in PDQ,Half EC,1,37,
23,40,Emergen-C Feature,4-way,1,37,
23,40,EQ Sinus Wash Kit 7ct PDQ,4-way,1,37,
23,82,Gushers Super Sour Berry,Full EC,1,37,
23,92,Del Monte Corn 4pk,Half EC,1,37,
23,92,Del Monte Green Beans 4pk,Half EC,1,37,
23,92,Hunts Best Ever 38oz,Half EC,1,37,
23,92,Taco Bell Mixed Pallet,Half Stack,1,37,
24,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
24,17,120PC YANKEE CNDL HP,Half Stack,1,37,
24,17,MS 54X72 REMNANT,Full Stack,1,37,
24,40,24 pc Family Bag,SDK,1,37,
24,40,Emergen-C Feature,4-way,1,37,
24,40,EQ Sinus Wash Kit 7ct PDQ,4-way,1,37,
24,40,Vicks Warm Mist Humidifier,Full EC,1,37,
24,71,"Kellum Media Fireplace Console for Tv's up to 58""",Full Stack,1,37,
24,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
24,90,Pillsbury Grands Cinnamon Rolls 5CT,Bunker,1,37,
24,90,Pillsbury Pie Crusts 2CT,Bunker,1,37,
24,92,Del Monte Corn 4pk,Half EC,1,37,
24,92,Del Monte Green Beans 4pk,Half EC,1,37,
24,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
25,72,2 PK Onn Surge,SDK,1,37,
25,72,ONN.65W CHARGER,SDK,1,37,
26,8,OUTBACK DOG HOUSE,Full Stack,2,37,
26,20,48PC Holiday Bath Set,Half Stack,1,37,
26,40,21pc GB Powder and Spray PDQ,Full EC,2,37,Cancel - supplier does not have product to ship due to supply issues
26,40,22PCEQ LORATADINE 4 (cf Claritin),Full EC,2,37,
26,40,Claritin Adult 14pc PDQ,Full EC,2,37,
26,40,Emergen-C Feature,4-way,3,37,
26,40,EQ Ibuprofen Tablet 2x250ct,Full EC,2,37,
26,40,PC42ALLNASXYZ PDQ,Full EC,1,37,
26,71,BHG 4 CUBE ORG WHT,Half EC,2,37,
26,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
26,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
26,92,Dry HV Salad Dressing Original Ranch,Half EC,1,37,
26,92,Idahoan Mashed Potatoes 26oz,Full EC,1,37,
26,95,120ct Cheetos Halloween Tins,Full Stack,3,37,
26,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
27,2,27pc 2.7oz Working Hands Jar,SDK,1,37,
27,9,MUDDY MAXIM DOUBLE,Eaches,2,37,
27,9,MUDDY SKYRISE LADDERSTAND,Eaches,1,37,
27,90,Pillsbury Grands Cinnamon Rolls 5CT,Bunker,1,37,
27,92,Del Monte Corn 4pk,Half EC,2,37,
27,92,Del Monte Green Beans 4pk,Half EC,2,37,
27,92,Idahoan Mashed Potatoes 26oz,Full EC,1,37,
27,92,KRUSTEAZ PANCAKE 10LB,Half EC,1,37,
27,92,Stove Top Chicken Stuffing Twin Pack,Full EC,1,37,
27,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,37,
27,95,Circus Time $1 Butter Popcorn,Full Stack,1,37,
28,8,OUTBACK DOG HOUSE,Full Stack,2,37,
28,9,Lone Howler Coyote,Eaches,2,37,
28,16,"18""SNOW SHOVEL",Full Stack,1,37,
28,23,TEC M CORE SKI BIB,Side-stack,1,37,
28,23,TEC M CORE SKI PANT,4-way,1,37,
28,23,TEC SOLID SKI JACKET,4-way,1,37,
28,32,Desert Sunset Western Jewelry,SDK,1,37,
28,34,Tec One Faux Fur Lined Leggings & Jacket,4-way,1,37,
28,34,Tec One Ski/Snow Boarding Jacket & Bib,4-way,1,37,
28,40,21pc GB Powder and Spray PDQ,Full EC,2,37,Cancel - supplier does not have product to ship due to supply issues
28,40,22PCEQ LORATADINE 4 (cf Claritin),Full EC,2,37,
28,40,24 pc Family Bag,SDK,1,37,
28,40,Carmex 3 Pk Qbin Display,Q-Bin,1,37,
28,40,Claritin Adult 14pc PDQ,Full EC,2,37,
28,40,Emergen-C Feature,4-way,3,37,
28,40,EQ Ibuprofen Tablet 2x250ct,Full EC,2,37,
28,40,PC42ALLNASXYZ PDQ,Full EC,1,37,
28,71,BHG 4 CUBE ORG WHT,Half EC,2,37,
28,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
28,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
28,90,Pillsbury Pie Crusts 2CT,Bunker,1,37,
28,92,Bottled HV Original Ranch 6/36fo,Half EC,1,37,
28,92,Del Monte Corn 4pk,Half EC,2,37,
28,92,Del Monte Green Beans 4pk,Half EC,2,37,
28,92,Dry HV Salad Dressing Original Ranch,Half EC,1,37,
28,92,VEL 2LB ORIG HP 240 CT,Half Stack,1,37,
28,92,Velveeta Shells & Cheese,Full EC,1,37,
28,95,120ct Cheetos Halloween Tins,Full Stack,2,37,
29,9,HOTHANDS HALF PALLET DUMP BIN,Half Stack,1,37,
29,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
29,92,Idahoan Mashed Potatoes 26oz,Full EC,1,37,
29,92,Stove Top Chicken Stuffing Twin Pack,Full EC,1,37,
30,2,Listerine Smart Rinse Bubble Blast & Mint 24pc SDK,SDK,1,37,
30,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
30,7,Model Car Kits,Full Stack,1,37,
30,9,9KBTU LP BUDDY HEAT,Full EC,1,37,
30,9,HOTHANDS HALF PALLET DUMP BIN,Half Stack,1,37,
30,17,120PC WW MED CANDLE HP,Half Stack,1,37,
30,17,120PC YC L CANDLE HP,Half Stack,1,37,
30,17,MANLY INDULGENCE SIG CANDLES 308PC HP,Half Stack,1,37,
30,40,Emergen-C Feature,4-way,1,37,
30,90,Pillsbury Grands Cinnamon Rolls 5CT,Bunker,1,37,
30,92,Del Monte Corn 4pk,Half EC,1,37,
30,92,Del Monte Green Beans 4pk,Half EC,1,37,
30,95,28 OZ UTZ CHEESEBALL BARREL,Full Stack,1,37,
30,95,CIRCUS TIME $1 BUTTER POPCORN,Full Stack,1,37,
30,95,Martinelli Display 5 Flavor,Full Stack,1,37,
31,9,16.4OZ PROPANE 2PK,Full EC,1,37,
31,14,MS 18OZ CUP BLK MRBL,Full EC,1,37,
31,40,15PC SLEEP GUMMY,SDK,1,37,
31,40,21pc GB Powder and Spray PDQ,Full EC,2,37,Cancel - supplier does not have product to ship due to supply issues
31,40,22PCEQ LORATADINE 4 (cf Claritin),Full EC,2,37,
31,40,Claritin Adult 14pc PDQ,Full EC,2,37,
31,40,Emergen-C Feature,4-way,3,37,
31,40,EQ Ibuprofen Tablet 2x250ct,Full EC,2,37,
31,40,PC42ALLNASXYZ PDQ,Full EC,1,37,
31,71,BHG 4 CUBE ORG WHT,Half EC,2,37,
31,72,ONN.10OZ 2PK,Full EC,1,37,
31,90,Pillsbury Cornbread 11 OZ,Bunker,1,37,
31,90,Pillsbury Grands Biscuits 16 OZ Asst,Bunker,1,37,
31,92,Bruce's Yams 40 oz,Half EC,1,37,
31,92,Dry HV Salad Dressing Original Ranch,Half EC,1,37,
31,92,Stove Top Chicken Stuffing Twin Pack,Full EC,1,37,
31,95,120ct Cheetos Halloween Tins,Full Stack,3,37,
31,95,28 OZ UTZ CHEESEBALL BARREL,Full Stack,1,37,
31,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
32,9,28QT Enviro Foam Cooler,Half Stack,2,37,
32,22,MS Every Day Pillow,Full Stack,1,37,
32,40,24 pc Family Bag,SDK,1,37,
32,40,EQ Ibuprofen Tablet 2x250ct,Full EC,1,37,
32,46,AUSSIE MXD 24CT TRAY,Full EC,2,37,
32,79,CS Umb Str Dragon,4-way,1,37,
32,79,OPP Umbrella Stroller,4-way,1,37,
32,95,120ct Cheetos Halloween Tins,Full Stack,1,37,
32,95,60ct Cheetos Holiday Tins,Full Stack,1,37,
32,95,LACROIX 8PK MIXED PALLET,Full Stack,1,37,
33,7,HW Monster Truck Dump Bin,Half Stack,1,37,Cancel - extreme inventory constraint
33,9,10PC-BLAZE-COVER VEST,4-way,6,37,
33,11,GE Foam Asst,4-way,2,37,
33,17,120PC YANKEE CNDL HP,Half Stack,1,37,
33,22,Eco Plush Blanket,Full EC,1,37,
