STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,2023 TOTAL Sales Projection,LY Total Sales,Right_STORE_NBR,2022 YTD SALES UNITS,2021 SALES UNITS,FYE21 SALES UNITS,FYE20 SALES UNITS,Right_REGION_NBR,CITY_NAME,STATE_PROV_CODE,REGION_NAME,Right_MARKET_AREA_NBR,FYE24 Modular,Total Items on FYE24 Store Modular,Store Set Expected Arrival Wk,DTS Shippments,F16,F17,F18,F19,F20,F21
2888,63,12,91,97,153,2888,91,154,34,49,22,PALMYRA,PA,"PA, NJ",233,Combo,16,No Store Set Use Cur Inventory was wk10,,,,,,,
2889,8,2,23,25,37,2889,23,38,31,53,52,CLINTON,IA,"MN, IA",415,LOW VOLUME/BASIC,6,10,,,,,,,
2890,5,4,27,33,11,2890,31,11,26,38,3,MACON,GA,"GA, FL",32,LOW VOLUME/BASIC,6,5,,,,,,,
2891,0,0,0,No Kayak Modular would need to Request Modular,0,2891,0,0,0,0,46,ODESSA,TX,Phoenix,73,No Modular,0,,,,,,,,
2892,21,11,30,32,68,2892,30,68,58,52,54,PARKER,CO,Rocky Mountain Region,376,MID TIER REC,10,No Store Set Use Cur Inventory was wk10,,,,,,,
2893,1,7,24,26,25,2893,24,24,38,49,44,INDEPENDENCE,KS,"Oklahoma, N TX",410,LOW VOLUME/BASIC,6,6,,,,,,,
2894,2,103,163,182,36,2894,170,36,60,77,75,OAKLAND,MD,"DC, VA",280,SOT,15,DTS 6,1 (Store Set Only),,,,,,
2897,0,0,0,No Kayak Modular would need to Request Modular,3,2897,0,2,0,0,17,SOUTHINGTON,CT,New York,173,No Modular,0,,,,,,,,
2898,1,7,22,24,24,2898,22,26,65,60,17,OLD SAYBROOK,CT,New York,162,LOW VOLUME/BASIC,6,7,,,,,,,
2899,0,0,0,No Kayak Modular would need to Request Modular,1,2899,0,1,0,0,17,AVON,CT,New York,163,No Modular,0,,,,,,,,
2900,0,0,0,No Kayak Modular would need to Request Modular,0,2900,0,0,0,0,17,ROCKY HILL,CT,New York,163,No Modular,0,,,,,,,,
2901,4,5,27,30,36,2901,28,41,24,84,16,NORTHAMPTON,MA,New England,154,LOW VOLUME/BASIC,6,10,,,,,,,
2902,6,3,26,28,23,2902,26,23,24,34,16,FRAMINGHAM,MA,New England,159,LOW VOLUME/BASIC,6,10,,,,,,,
2903,6,2,25,27,8,2903,25,8,10,17,16,CHELMSFORD,MA,New England,157,LOW VOLUME/BASIC,6,10,,,,,,,
2904,0,0,0,No Kayak Modular would need to Request Modular,0,2904,0,0,-1,0,16,BROCKTON,MA,New England,159,No Modular,0,,,,,,,,
2905,0,7,14,15,8,2905,14,9,9,7,17,SUFFERN,NY,New York,164,LOW VOLUME/BASIC,6,7,,,,,,,
2906,12,29,69,74,98,2906,69,99,62,120,17,RIVERHEAD,NY,New York,171,Angler - Mid to High Volume,16,7,,,,,,,
2907,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
2908,3,8,25,27,21,2908,25,22,39,52,26,BISCOE,NC,Southeast,309,LOW VOLUME/BASIC,6,6,,,,,,,
2909,0,0,0,No Kayak Modular would need to Request Modular,2,2909,2,2,1,-1,17,CORRY,PA,New York,228,No Modular,0,,,,,,,,
2910,10,16,57,61,38,2910,57,38,41,67,20,SALEM,OH,"VA, OH, PA, WV",208,Angler - Low Volume,10,10,,,,,,,
2911,9,24,75,85,104,2911,79,105,66,115,17,CENTRAL SQUARE,NY,New York,191,Angler - Mid to High Volume,16,10,,,,,,,
2912,6,4,19,20,20,2912,19,21,11,45,19,TAYLOR,MI,"Michigan, OH",197,LOW VOLUME/BASIC,6,11,,,,,,,
2913,21,3,16,17,3,2913,16,3,4,6,13,BOUTTE,LA,"LA, MS",129,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk4,,,,,,,
2914,1,7,18,19,31,2914,18,31,31,84,20,MASSILLON,OH,"VA, OH, PA, WV",215,LOW VOLUME/BASIC,6,7,,,,,,,
2915,15,2,16,17,30,2915,16,31,39,72,17,EAST SETAUKET,NY,New York,171,LOW VOLUME/BASIC,6,No Store Set Use Cur Inventory was wk7,,,,,,,
2916,0,0,0,No Kayak Modular would need to Request Modular,5,2916,0,5,0,0,17,EAST MEADOW,NY,New York,172,No Modular,0,,,,,,,,
2917,18,0,12,13,20,2917,12,20,23,27,17,ISLANDIA,NY,New York,171,BARE BONES,3,No Store Set Use Cur Inventory was wk7,,,,,,,
