Store Number,Current # of Locker Doors,Current # of 18 Door Units,Current # of 36 Door Lockers,Current # of Locker Units ,18- Door Lockers to Remove,36- Door Lockers to Remove,Total Locker Units to Remove,Total Locker Units Remaining
3626,126,1,3,4,1,3,4,0
3709,72,0,2,2,,2,2,0
3725,108,0,3,3,,3,3,0
3947,72,0,2,2,,2,2,0
3990,36,0,1,1,,1,1,0
4111,72,0,2,2,,2,2,0
4177,72,0,2,2,,2,2,0
4185,72,0,2,2,,2,2,0
4200,72,0,2,2,,2,2,0
4221,72,0,2,2,,2,2,0
4243,72,0,2,2,,2,2,0
4255,72,0,2,2,,2,2,0
4283,36,0,1,1,,1,1,0
4409,36,0,1,1,,1,1,0
4421,36,0,1,1,,1,1,0
4426,36,0,1,1,,1,1,0
4436,72,0,2,2,,2,2,0
4472,36,0,1,1,,1,1,0
4528,36,0,1,1,,1,1,0
4558,72,0,2,2,,2,2,0
4759,36,0,1,1,,1,1,0
5059,36,0,1,1,,1,1,0
5082,72,0,2,2,,2,2,0
5103,108,0,3,3,,3,3,0
5109,36,0,1,1,,1,1,0
5210,126,1,3,4,1,3,4,0
5254,108,0,3,3,,3,3,0
5275,72,0,2,2,,2,2,0
5276,72,0,2,2,,2,2,0
5320,108,0,3,3,,3,3,0
5376,72,0,2,2,,2,2,0
5397,72,0,2,2,,2,2,0
5462,72,0,2,2,,2,2,0
5609,36,0,1,1,,1,1,0
5627,36,0,1,1,,1,1,0
5638,36,0,1,1,,1,1,0
5795,108,0,3,3,,3,3,0
5815,36,0,1,1,,1,1,0
5935,72,0,2,2,,2,2,0
5938,72,0,2,2,,2,2,0
5979,36,0,1,1,,1,1,0
5980,36,0,1,1,,1,1,0
5981,36,0,1,1,,1,1,0
5993,36,0,1,1,,1,1,0
5994,36,0,1,1,,1,1,0
6078,36,0,1,1,,1,1,0
6789,108,0,3,3,,3,3,0
6849,36,0,1,1,,1,1,0
6998,72,0,2,2,,2,2,0
