Store,Format,Sub Division,Region,Market,City,State,Confirmed Delivery Date,Cash Vault,Amored Carrier, Pennies , Nickels , Dimes , Quarter , Total Dollar Value , Total Bag Count 
2068,WM Supercenter,E,22,170,LEVITTOWN,PA,2/9/2022,Pennsauken 1,Loomis, $100.00 , $800.00 ," $2,500.00 "," $4,000.00 "," $7,400.00 ",25
2096,WM Supercenter,E,22,170,WARMINSTER,PA,2/9/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
2141,WM Supercenter,E,22,166,PHILADELPHIA,PA,2/9/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,600.00 ",19
2252,WM Supercenter,E,22,168,EASTON,PA,2/9/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
2365,WM Supercenter,E,17,226,MOUNT POCONO,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2446,WM Supercenter,E,22,170,QUAKERTOWN,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2497,WM Supercenter,E,17,175,PHILLIPSBURG,NJ,2/9/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2543,WM Supercenter,E,17,226,PITTSTON,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $800.00 ," $2,500.00 "," $3,000.00 "," $6,375.00 ",22
2650,WM Supercenter,E,22,166,PHILADELPHIA,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $800.00 ," $2,500.00 "," $3,000.00 "," $6,375.00 ",22
3422,WM Supercenter,E,22,165,DEPTFORD,NJ,2/9/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
3564,WM Supercenter,E,22,170,WILLOW GROVE,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
4276,WM Supercenter,E,17,226,TAYLOR,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
4456,WM Supercenter,E,22,558,SOMERDALE,NJ,2/9/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
4722,Sam's Club,B,7,39,WILLIAMSTOWN,NJ,2/9/2022,Pennsauken 1,Loomis, $75.00 , $300.00 ," $2,000.00 "," $2,500.00 "," $4,875.00 ",15
5012,WM Supercenter,E,22,170,HAMILTON,NJ,2/9/2022,Pennsauken 1,Loomis, $75.00 , $700.00 ," $2,500.00 "," $3,000.00 "," $6,275.00 ",21
5103,Wal-Mart,E,22,166,PHILADELPHIA,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5131,Wal-Mart,E,22,170,BENSALEM,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5340,Wal-Mart,E,22,558,CHERRY HILL,NJ,2/9/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5649,WM Supercenter,E,22,170,WARRINGTON,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
6567,Sam's Club,B,7,39,EASTON,PA,2/9/2022,Pennsauken 1,Loomis, $75.00 , $200.00 ," $1,500.00 "," $1,500.00 "," $3,275.00 ",11
6676,Sam's Club,B,7,39,WILLOW GROVE,PA,2/9/2022,Pennsauken 1,Loomis, $50.00 , $200.00 ," $1,500.00 "," $2,000.00 "," $3,750.00 ",11
6693,Sam's Club,B,7,39,LANGHORNE,PA,2/9/2022,Pennsauken 1,Loomis, $50.00 , $200.00 ," $1,500.00 "," $2,000.00 "," $3,750.00 ",11
8191,Sam's Club,B,7,40,WILKES BARRE,PA,2/9/2022,Pennsauken 1,Loomis, $50.00 , $200.00 ," $1,500.00 "," $2,000.00 "," $3,750.00 ",11
1591,WM Supercenter,E,22,234,HARRISBURG,PA,2/10/2022,Pennsauken 1,Loomis, $100.00 , $800.00 ," $2,500.00 "," $3,000.00 "," $6,400.00 ",23
1607,WM Supercenter,E,22,237,LEWISTOWN,PA,2/10/2022,Pennsauken 1,Loomis, $100.00 , $600.00 ," $2,000.00 "," $4,000.00 "," $6,700.00 ",22
2023,WM Supercenter,E,22,233,LEBANON,PA,2/10/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
2108,WM Supercenter,E,22,165,MAYS LANDING,NJ,2/10/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $2,000.00 "," $4,000.00 "," $6,600.00 ",21
2109,Wal-Mart,E,22,165,MILLVILLE,NJ,2/10/2022,Pennsauken 1,Loomis, $100.00 , $700.00 ," $2,500.00 "," $3,000.00 "," $6,300.00 ",22
2254,Wal-Mart,E,22,165,HAMMONTON,NJ,2/10/2022,Pennsauken 1,Loomis, $100.00 , $500.00 ," $1,500.00 "," $2,500.00 "," $4,600.00 ",17
2460,WM Supercenter,E,75,285,SEAFORD,DE,2/10/2022,Pennsauken 1,Loomis, $75.00 , $800.00 ," $2,500.00 "," $3,000.00 "," $6,375.00 ",22
2518,Wal-Mart,E,22,558,HAMILTON,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $1,500.00 "," $2,500.00 "," $4,575.00 ",16
2555,Wal-Mart,E,75,284,NEW CASTLE,DE,2/10/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $1,500.00 "," $2,500.00 "," $4,575.00 ",16
2841,Wal-Mart,E,22,558,LUMBERTON,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
2871,WM Supercenter,E,22,558,CINNAMINSON,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $700.00 ," $2,500.00 "," $4,000.00 "," $7,275.00 ",23
2888,WM Supercenter,E,22,233,PALMYRA,PA,2/10/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
3212,WM Supercenter,E,22,178,EGG HBR TWP,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $500.00 ," $2,000.00 "," $3,000.00 "," $5,575.00 ",18
3252,Wal-Mart,E,22,167,BOOTHWYN,PA,2/10/2022,Pennsauken 1,Loomis, $75.00 , $700.00 ," $2,500.00 "," $3,000.00 "," $6,275.00 ",21
3412,WM Supercenter,E,22,232,ELIZABETHVILLE,PA,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
3541,WM Supercenter,E,22,167,KENNETT SQUARE,PA,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
3774,WM Supercenter,E,22,165,WILLIAMSTOWN,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
3802,WM Supercenter,E,75,284,MIDDLETOWN,DE,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
3830,WM Supercenter,E,22,178,LITTLE EGG HARBOR,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
4612,WM Supercenter,E,22,168,HAMBURG,PA,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5039,WM Supercenter,E,75,284,CAMDEN,DE,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5384,Wal-Mart,E,75,284,BRIDGETON,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5414,WM Supercenter,E,22,178,LANOKA HARBOR,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5436,Wal-Mart,E,75,284,WILMINGTON,DE,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5476,WM Supercenter,E,22,165,WOODBURY,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
5881,WM Supercenter,E,22,167,SPRINGFIELD,PA,2/10/2022,Pennsauken 1,Loomis, $75.00 , $400.00 ," $2,000.00 "," $3,000.00 "," $5,475.00 ",17
6332,Sam's Club,B,7,39,PHILADELPHIA,PA,2/10/2022,Pennsauken 1,Loomis, $75.00 , $200.00 ," $2,000.00 "," $2,000.00 "," $4,275.00 ",13
6670,Sam's Club,B,7,39,DEPTFORD,NJ,2/10/2022,Pennsauken 1,Loomis, $75.00 , $200.00 ," $1,500.00 "," $2,000.00 "," $3,775.00 ",12
8144,Sam's Club,B,7,39,PLEASANTVILLE,NJ,2/10/2022,Pennsauken 1,Loomis, $50.00 , $400.00 ," $1,500.00 "," $2,000.00 "," $3,950.00 ",13
8145,Sam's Club,B,7,39,CINNAMINSON,NJ,2/10/2022,Pennsauken 1,Loomis, $50.00 , $200.00 ," $1,500.00 "," $2,000.00 "," $3,750.00 ",11
5229,Wal-Mart,E,22,166,WYNCOTE,PA,2/7/2022,Pennsauken 1,Brink's, $75.00 , $400.00 ," $1,500.00 "," $2,500.00 "," $4,475.00 ",15
1,WM Supercenter,A,42,323,ROGERS,AR,2/9/2022,Fayetteville,Loomis, $250.00 ," $2,000.00 "," $7,000.00 "," $13,000.00 "," $22,250.00 ",70
31,WM Supercenter,M,44,351,POTEAU,OK,2/7/2022,Fayetteville,Loomis, $250.00 ," $1,600.00 "," $7,000.00 "," $9,000.00 "," $17,850.00 ",58
47,WM Supercenter,M,44,351,SALLISAW,OK,2/8/2022,Fayetteville,Loomis, $125.00 , $800.00 ," $3,500.00 "," $6,000.00 "," $10,425.00 ",32
47,WM Supercenter,M,44,351,SALLISAW,OK,2/11/2022,Fayetteville,Loomis, $125.00 , $800.00 ," $3,500.00 "," $6,000.00 "," $10,425.00 ",32
54,WM Supercenter,A,42,322,SPRINGDALE,AR,2/11/2022,Fayetteville,Loomis, $250.00 ," $2,000.00 "," $7,000.00 "," $10,000.00 "," $19,250.00 ",64
66,WM Supercenter,A,42,321,CLARKSVILLE,AR,2/7/2022,Fayetteville,Loomis, $250.00 ," $1,600.00 "," $7,000.00 "," $13,000.00 "," $21,850.00 ",66
76,WM Supercenter,A,42,322,BERRYVILLE,AR,2/10/2022,Fayetteville,Loomis, $200.00 ," $1,500.00 "," $5,500.00 "," $8,000.00 "," $15,200.00 ",50
81,WM Supercenter,M,44,347,STILWELL,OK,2/11/2022,Fayetteville,Loomis, $250.00 ," $2,000.00 "," $7,000.00 "," $12,000.00 "," $21,250.00 ",68
100,WM Supercenter,A,42,323,BENTONVILLE,AR,2/9/2022,Fayetteville,Loomis, $250.00 ," $2,000.00 "," $7,000.00 "," $10,000.00 "," $19,250.00 ",64
125,WM Supercenter,A,42,321,FORT SMITH,AR,2/7/2022,Fayetteville,Loomis, $250.00 ," $2,000.00 "," $7,000.00 "," $9,000.00 "," $18,250.00 ",62
141,WM Supercenter,A,42,321,FORT SMITH,AR,2/7/2022,Fayetteville,Loomis, $250.00 ," $2,000.00 "," $8,000.00 "," $10,000.00 "," $20,250.00 ",66
144,WM Supercenter,A,42,322,FAYETTEVILLE,AR,2/8/2022,Fayetteville,Loomis, $250.00 ," $2,000.00 "," $8,000.00 "," $13,000.00 "," $23,250.00 ",72
209,Wal-Mart,A,42,321,OZARK,AR,2/7/2022,Fayetteville,Loomis, $250.00 ," $1,600.00 "," $7,000.00 "," $12,000.00 "," $20,850.00 ",64
373,WM Supercenter,A,42,322,HUNTSVILLE,AR,2/10/2022,Fayetteville,Loomis, $200.00 ," $1,500.00 "," $5,500.00 "," $8,000.00 "," $15,200.00 ",50
2686,Neighborhood Market,O,72,534,BENTONVILLE,AR,2/9/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $5,000.00 "," $6,000.00 "," $12,000.00 ",38
2741,Neighborhood Market,O,72,534,BENTONVILLE,AR,2/9/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
2742,Neighborhood Market,O,72,534,SPRINGDALE,AR,2/11/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
2744,Neighborhood Market,O,72,537,FORT SMITH,AR,2/7/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
2745,Neighborhood Market,O,72,537,FAYETTEVILLE,AR,2/8/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
3164,Neighborhood Market,O,72,534,BENTONVILLE,AR,2/9/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $5,000.00 "," $10,000.00 ",34
3654,Neighborhood Market,O,72,534,ROGERS,AR,2/9/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
4108,WM Supercenter,A,42,323,SPRINGDALE,AR,2/11/2022,Fayetteville,Loomis, $300.00 ," $2,000.00 "," $8,000.00 "," $10,000.00 "," $20,300.00 ",68
4375,Neighborhood Market,O,72,534,SPRINGDALE,AR,2/11/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
4376,Neighborhood Market,O,72,534,BENTONVILLE,AR,2/9/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $5,000.00 "," $10,000.00 ",34
4516,Neighborhood Market,O,72,537,FAYETTEVILLE,AR,2/8/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
4579,Neighborhood Market,O,72,537,FORT SMITH,AR,2/7/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $5,000.00 "," $10,000.00 ",34
4686,Neighborhood Market,O,72,534,BENTONVILLE,AR,2/9/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $5,000.00 "," $10,000.00 ",34
4808,Sam's Club,B,3,16,SPRINGDALE,AR,2/11/2022,Fayetteville,Loomis, $125.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $10,925.00 ",33
4969,Sam's Club,B,3,16,BENTONVILLE,AR,2/9/2022,Fayetteville,Loomis, $125.00 , $800.00 ," $4,000.00 "," $5,000.00 "," $9,925.00 ",31
5260,WM Supercenter,A,42,323,ROGERS,AR,2/9/2022,Fayetteville,Loomis, $250.00 ," $2,000.00 "," $7,000.00 "," $13,000.00 "," $22,250.00 ",70
5737,Neighborhood Market,O,72,537,FAYETTEVILLE,AR,2/8/2022,Fayetteville,Loomis, $200.00 , $900.00 ," $4,000.00 "," $6,000.00 "," $11,100.00 ",37
5738,Neighborhood Market,O,72,534,SPRINGDALE,AR,2/11/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
5837,Neighborhood Market,O,72,534,ROGERS,AR,2/9/2022,Fayetteville,Loomis, $250.00 ," $1,200.00 "," $4,000.00 "," $7,000.00 "," $12,450.00 ",44
6953,Neighborhood Market,O,72,534,CENTERTON,AR,2/9/2022,Fayetteville,Loomis, $200.00 ," $1,600.00 "," $5,000.00 "," $8,000.00 "," $14,800.00 ",50
6960,Neighborhood Market,O,72,537,SILOAM SPRINGS,AR,2/11/2022,Fayetteville,Loomis, $200.00 ," $1,600.00 "," $5,000.00 "," $8,000.00 "," $14,800.00 ",50
6971,Neighborhood Market,O,72,538,PEA RIDGE,AR,2/10/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
7242,Neighborhood Market,O,72,537,FARMINGTON,AR,2/8/2022,Fayetteville,Loomis, $200.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",36
8134,Sam's Club,B,3,16,FORT SMITH,AR,2/7/2022,Fayetteville,Loomis, $100.00 , $900.00 ," $4,000.00 "," $6,000.00 "," $11,000.00 ",33
8209,Sam's Club,B,3,16,FAYETTEVILLE,AR,2/8/2022,Fayetteville,Loomis, $100.00 , $800.00 ," $4,000.00 "," $6,000.00 "," $10,900.00 ",32
