Region,Market,Store,BU,Final Tier,Comments
42,325,33,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,334,34,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
47,407,35,WEST BU,Tier 2 - GM Pause,
12,329,36,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,335,37,NORTH BU,Tier 2 - GM Pause,
44,47,38,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,410,39,SOUTWEST BU,Tier 2 - GM Pause,
40,359,40,NORTH BU,Tier 2 - GM Pause,
44,345,41,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,410,42,SOUTWEST BU,Tier 2 - GM Pause,
47,407,43,WEST BU,Tier 1 - ISA On in Total Store,
40,336,44,NORTH BU,Tier 1 - ISA On in Total Store,
12,329,45,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,357,46,NORTH BU,Tier 2 - GM Pause,
44,351,47,SOUTWEST BU,Tier 2 - GM Pause,
42,334,48,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,47,49,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,347,50,SOUTWEST BU,Tier 1 - ISA On in Total Store,
40,339,51,NORTH BU,Tier 1 - ISA On in Total Store,
42,325,52,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,322,54,SOUTHEAST BU,Tier 2 - GM Pause,
42,321,55,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,333,56,NORTH BU,Tier 1 - ISA On in Total Store,
42,328,57,SOUTHEAST BU,Tier 2 - GM Pause,
42,325,58,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,334,59,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,339,60,NORTH BU,Tier 1 - ISA On in Total Store,
40,361,61,NORTH BU,Tier 1 - ISA On in Total Store,
12,329,62,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,347,63,SOUTWEST BU,Tier 2 - GM Pause,
41,146,64,NORTH BU,Tier 2 - GM Pause,
40,336,65,NORTH BU,Tier 2 - GM Pause,
42,321,66,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,321,67,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,329,68,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,335,69,NORTH BU,Tier 2 - GM Pause,
12,329,70,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,328,71,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,410,72,SOUTWEST BU,Tier 2 - GM Pause,
44,356,73,SOUTWEST BU,Tier 2 - GM Pause,
12,329,74,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
13,134,75,SOUTWEST BU,Tier 2 - GM Pause,
42,322,76,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
5,83,77,SOUTWEST BU,Tier 2 - GM Pause,
40,357,78,NORTH BU,Tier 2 - GM Pause,
42,334,79,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,359,80,NORTH BU,Tier 2 - GM Pause,
44,347,81,SOUTWEST BU,Tier 1 - ISA On in Total Store,
40,335,82,NORTH BU,Tier 1 - ISA On in Total Store,
42,327,83,SOUTHEAST BU,Tier 2 - GM Pause,
42,324,85,SOUTHEAST BU,Tier 2 - GM Pause,
40,357,86,NORTH BU,Tier 2 - GM Pause,
42,127,87,SOUTHEAST BU,Tier 2 - GM Pause,
40,357,88,NORTH BU,Tier 2 - GM Pause,
40,336,89,NORTH BU,Tier 1 - ISA On in Total Store,
44,347,90,SOUTWEST BU,Tier 2 - GM Pause,Per RVP direction
12,329,91,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,334,92,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,145,93,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,145,94,SOUTHEAST BU,Tier 2 - GM Pause,
40,335,95,NORTH BU,Tier 2 - GM Pause,
40,361,96,NORTH BU,Tier 1 - ISA On in Total Store,
41,146,97,NORTH BU,Tier 1 - ISA On in Total Store,
42,135,98,SOUTHEAST BU,Tier 2 - GM Pause,
40,336,99,NORTH BU,Tier 1 - ISA On in Total Store,
42,323,100,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,336,101,NORTH BU,Tier 3 - Total Store ISA Pause,
42,327,102,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,351,103,SOUTWEST BU,Tier 2 - GM Pause,
41,146,104,NORTH BU,Tier 1 - ISA On in Total Store,
12,4,105,SOUTHEAST BU,Tier 2 - GM Pause,
41,146,106,NORTH BU,Tier 2 - GM Pause,
41,146,107,NORTH BU,Tier 1 - ISA On in Total Store,
44,344,108,SOUTWEST BU,Tier 2 - GM Pause,
40,360,109,NORTH BU,Tier 1 - ISA On in Total Store,
9,89,110,SOUTHEAST BU,Tier 2 - GM Pause,
44,410,111,SOUTWEST BU,Tier 2 - GM Pause,
14,138,112,SOUTHEAST BU,Tier 2 - GM Pause,
44,349,113,SOUTWEST BU,Tier 2 - GM Pause,
12,4,114,SOUTHEAST BU,Tier 2 - GM Pause,
14,138,115,SOUTHEAST BU,Tier 2 - GM Pause,
42,127,116,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,47,117,SOUTWEST BU,Tier 1 - ISA On in Total Store,
12,4,118,SOUTHEAST BU,Tier 2 - GM Pause,
42,328,119,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
41,146,120,NORTH BU,Tier 2 - GM Pause,
44,351,121,SOUTWEST BU,Tier 2 - GM Pause,
40,335,122,NORTH BU,Tier 1 - ISA On in Total Store,
44,351,123,SOUTWEST BU,Tier 2 - GM Pause,
42,324,124,SOUTHEAST BU,Tier 2 - GM Pause,
42,321,125,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,324,126,SOUTHEAST BU,Tier 2 - GM Pause,
42,325,127,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,329,128,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,350,129,SOUTWEST BU,Tier 2 - GM Pause,
44,347,130,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,47,131,SOUTWEST BU,Tier 2 - GM Pause,
44,344,132,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,325,133,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,344,134,SOUTWEST BU,Tier 2 - GM Pause,
40,360,135,NORTH BU,Tier 3 - Total Store ISA Pause,
44,345,136,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,352,137,SOUTWEST BU,Tier 2 - GM Pause,
40,357,138,NORTH BU,Tier 2 - GM Pause,
44,353,139,SOUTWEST BU,Tier 1 - ISA On in Total Store,
6,503,140,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,321,141,SOUTHEAST BU,Tier 2 - GM Pause,
41,253,143,NORTH BU,Tier 1 - ISA On in Total Store,
42,322,144,SOUTHEAST BU,Tier 2 - GM Pause,
40,339,145,NORTH BU,Tier 1 - ISA On in Total Store,
5,46,146,SOUTWEST BU,Tier 2 - GM Pause,
44,350,147,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,47,148,SOUTWEST BU,Tier 2 - GM Pause,
42,135,149,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,344,150,SOUTWEST BU,Tier 2 - GM Pause,
44,351,151,SOUTWEST BU,Tier 2 - GM Pause,
40,335,152,NORTH BU,Tier 2 - GM Pause,
12,4,153,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
20,311,154,NORTH BU,Tier 2 - GM Pause,
12,136,155,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,328,157,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,350,158,SOUTWEST BU,Tier 1 - ISA On in Total Store,
40,359,159,NORTH BU,Tier 3 - Total Store ISA Pause,
42,328,160,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,147,161,SOUTHEAST BU,Tier 2 - GM Pause,
44,349,162,SOUTWEST BU,Tier 2 - GM Pause,
6,503,163,SOUTWEST BU,Tier 3 - Total Store ISA Pause,
12,4,164,SOUTHEAST BU,Tier 2 - GM Pause,
5,46,165,SOUTWEST BU,Tier 2 - GM Pause,
40,357,166,NORTH BU,Tier 2 - GM Pause,
42,327,167,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,345,168,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per MM request
42,326,169,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
13,134,170,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,327,171,SOUTHEAST BU,Tier 2 - GM Pause,
40,336,172,NORTH BU,Tier 3 - Total Store ISA Pause,
40,357,173,NORTH BU,Tier 1 - ISA On in Total Store,
9,92,174,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,144,175,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,4,176,SOUTHEAST BU,Tier 2 - GM Pause,
41,146,177,NORTH BU,Tier 1 - ISA On in Total Store,
44,344,178,SOUTWEST BU,Tier 2 - GM Pause,
40,357,179,NORTH BU,Tier 1 - ISA On in Total Store,
5,46,180,SOUTWEST BU,Tier 2 - GM Pause,
44,47,181,SOUTWEST BU,Tier 1 - ISA On in Total Store,
12,136,182,SOUTHEAST BU,Tier 2 - GM Pause,
14,138,183,SOUTHEAST BU,Tier 2 - GM Pause,
40,361,184,NORTH BU,Tier 2 - GM Pause,
44,350,185,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,409,186,SOUTWEST BU,Tier 2 - GM Pause,
40,335,188,NORTH BU,Tier 2 - GM Pause,
40,359,189,NORTH BU,Tier 2 - GM Pause,
12,329,190,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,147,192,SOUTHEAST BU,Tier 2 - GM Pause,
6,60,194,SOUTWEST BU,Tier 2 - GM Pause,
40,360,195,NORTH BU,Tier 1 - ISA On in Total Store,
25,271,196,NORTH BU,Tier 2 - GM Pause,
25,278,197,NORTH BU,Tier 1 - ISA On in Total Store,
25,272,198,NORTH BU,Tier 2 - GM Pause,
25,278,199,NORTH BU,Tier 1 - ISA On in Total Store,
25,275,200,NORTH BU,Tier 1 - ISA On in Total Store,
25,341,201,NORTH BU,Tier 1 - ISA On in Total Store,
5,51,202,SOUTWEST BU,Tier 2 - GM Pause,
40,359,203,NORTH BU,Tier 2 - GM Pause,
41,253,204,NORTH BU,Tier 1 - ISA On in Total Store,
14,138,205,SOUTHEAST BU,Tier 2 - GM Pause,
5,52,206,SOUTWEST BU,Tier 2 - GM Pause,
44,345,207,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,321,209,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,351,210,SOUTWEST BU,Tier 2 - GM Pause,
5,76,211,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,353,212,SOUTWEST BU,Tier 2 - GM Pause,
25,272,213,NORTH BU,Tier 2 - GM Pause,
6,503,214,SOUTWEST BU,Tier 2 - GM Pause,
25,271,216,NORTH BU,Tier 3 - Total Store ISA Pause,
5,53,217,SOUTWEST BU,Tier 2 - GM Pause,
12,147,218,SOUTHEAST BU,Tier 2 - GM Pause,
40,359,219,NORTH BU,Tier 2 - GM Pause,
5,48,220,SOUTWEST BU,Tier 2 - GM Pause,
44,344,221,SOUTWEST BU,Tier 2 - GM Pause,
25,271,222,NORTH BU,Tier 3 - Total Store ISA Pause,
25,272,224,NORTH BU,Tier 2 - GM Pause,
44,350,225,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,47,226,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,344,227,SOUTWEST BU,Tier 1 - ISA On in Total Store,
5,48,228,SOUTWEST BU,Tier 2 - GM Pause,
12,329,229,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,321,230,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,350,231,SOUTWEST BU,Tier 2 - GM Pause,
44,350,232,SOUTWEST BU,Tier 1 - ISA On in Total Store,
25,271,233,NORTH BU,Tier 2 - GM Pause,
40,360,234,NORTH BU,Tier 2 - GM Pause,
6,503,236,SOUTWEST BU,Tier 1 - ISA On in Total Store,
25,271,237,NORTH BU,Tier 2 - GM Pause,
12,147,238,SOUTHEAST BU,Tier 2 - GM Pause,
14,138,239,SOUTHEAST BU,Tier 2 - GM Pause,
44,47,240,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,410,242,SOUTWEST BU,Tier 2 - GM Pause,
40,339,243,NORTH BU,Tier 1 - ISA On in Total Store,
42,135,244,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,345,246,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per MM request
44,351,247,SOUTWEST BU,Tier 1 - ISA On in Total Store,
5,76,248,SOUTWEST BU,Tier 2 - GM Pause,
6,503,249,SOUTWEST BU,Tier 1 - ISA On in Total Store,
40,336,250,NORTH BU,Tier 1 - ISA On in Total Store,
5,45,251,SOUTWEST BU,Tier 2 - GM Pause,
25,271,252,NORTH BU,Tier 1 - ISA On in Total Store,
25,272,253,NORTH BU,Tier 2 - GM Pause,
25,273,254,NORTH BU,Tier 2 - GM Pause,
25,341,256,NORTH BU,Tier 1 - ISA On in Total Store,
41,254,257,NORTH BU,Tier 1 - ISA On in Total Store,
12,4,258,SOUTHEAST BU,Tier 2 - GM Pause,
5,583,259,SOUTWEST BU,Tier 2 - GM Pause,
5,55,260,SOUTWEST BU,Tier 2 - GM Pause,
42,325,261,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
25,271,262,NORTH BU,Tier 2 - GM Pause,
12,149,264,SOUTHEAST BU,Tier 2 - GM Pause,
5,45,265,SOUTWEST BU,Tier 2 - GM Pause,
5,50,266,SOUTWEST BU,Tier 2 - GM Pause,
42,334,267,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,147,268,SOUTHEAST BU,Tier 2 - GM Pause,
44,349,269,SOUTWEST BU,Tier 2 - GM Pause,
44,349,271,SOUTWEST BU,Tier 2 - GM Pause,
12,153,272,SOUTHEAST BU,Tier 2 - GM Pause,
12,4,273,SOUTHEAST BU,Tier 2 - GM Pause,
12,4,274,SOUTHEAST BU,Tier 2 - GM Pause,
6,503,275,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,351,276,SOUTWEST BU,Tier 2 - GM Pause,
44,353,277,SOUTWEST BU,Tier 2 - GM Pause,
42,127,278,SOUTHEAST BU,Tier 2 - GM Pause,
42,321,279,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
5,83,280,SOUTWEST BU,Tier 2 - GM Pause,
42,328,281,SOUTHEAST BU,Tier 2 - GM Pause,
41,253,282,NORTH BU,Tier 2 - GM Pause,
13,66,283,SOUTWEST BU,Tier 2 - GM Pause,
5,44,284,SOUTWEST BU,Tier 2 - GM Pause,
6,503,285,SOUTWEST BU,Tier 2 - GM Pause,
5,55,286,SOUTWEST BU,Tier 2 - GM Pause,
14,11,287,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
6,503,288,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,327,289,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
6,77,290,SOUTWEST BU,Tier 1 - ISA On in Total Store,
6,87,292,SOUTWEST BU,Tier 1 - ISA On in Total Store,
6,85,293,SOUTWEST BU,Tier 1 - ISA On in Total Store,
41,253,294,NORTH BU,Tier 1 - ISA On in Total Store,
40,340,295,NORTH BU,Tier 1 - ISA On in Total Store,
42,325,296,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
6,59,297,SOUTWEST BU,Tier 2 - GM Pause,
12,5,298,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
41,254,299,NORTH BU,Tier 2 - GM Pause,
14,3,300,SOUTHEAST BU,Tier 2 - GM Pause,
14,3,301,SOUTHEAST BU,Tier 2 - GM Pause,
25,271,302,NORTH BU,Tier 2 - GM Pause,
12,4,303,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,149,304,SOUTHEAST BU,Tier 2 - GM Pause,
14,138,305,SOUTHEAST BU,Tier 2 - GM Pause,
12,5,306,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,135,307,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
41,152,308,NORTH BU,Tier 2 - GM Pause,
13,132,309,SOUTWEST BU,Tier 2 - GM Pause,
13,132,310,SOUTWEST BU,Tier 1 - ISA On in Total Store,
13,129,311,SOUTWEST BU,Tier 2 - GM Pause,
13,134,312,SOUTWEST BU,Tier 2 - GM Pause,
40,335,313,NORTH BU,Tier 2 - GM Pause,
12,151,314,SOUTHEAST BU,Tier 2 - GM Pause,
14,3,315,SOUTHEAST BU,Tier 2 - GM Pause,
14,3,316,SOUTHEAST BU,Tier 2 - GM Pause,
25,272,317,NORTH BU,Tier 2 - GM Pause,
42,325,318,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,361,319,NORTH BU,Tier 2 - GM Pause,
5,76,320,SOUTWEST BU,Tier 2 - GM Pause,
6,85,321,SOUTWEST BU,Tier 1 - ISA On in Total Store,
6,85,322,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,127,323,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,356,324,SOUTWEST BU,Tier 1 - ISA On in Total Store,
40,360,325,NORTH BU,Tier 1 - ISA On in Total Store,
40,361,326,NORTH BU,Tier 1 - ISA On in Total Store,
25,341,328,NORTH BU,Tier 1 - ISA On in Total Store,
14,10,329,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
6,84,330,SOUTWEST BU,Tier 2 - GM Pause,
13,66,331,SOUTWEST BU,Tier 2 - GM Pause,
12,5,332,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
41,254,333,NORTH BU,Tier 1 - ISA On in Total Store,
25,275,334,NORTH BU,Tier 1 - ISA On in Total Store,
41,146,335,NORTH BU,Tier 1 - ISA On in Total Store,
42,325,336,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,335,337,NORTH BU,Tier 1 - ISA On in Total Store,
42,334,338,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,327,339,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,351,340,SOUTWEST BU,Tier 2 - GM Pause,
47,407,341,WEST BU,Tier 1 - ISA On in Total Store,
47,411,342,WEST BU,Tier 1 - ISA On in Total Store,
25,275,343,NORTH BU,Tier 1 - ISA On in Total Store,
6,65,344,SOUTWEST BU,Tier 1 - ISA On in Total Store,
5,46,345,SOUTWEST BU,Tier 2 - GM Pause,
44,409,346,SOUTWEST BU,Tier 2 - GM Pause,
12,136,347,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,327,348,SOUTHEAST BU,Tier 2 - GM Pause,
47,433,350,WEST BU,Tier 1 - ISA On in Total Store,
6,68,351,SOUTWEST BU,Tier 1 - ISA On in Total Store,
25,271,352,NORTH BU,Tier 1 - ISA On in Total Store,
5,48,353,SOUTWEST BU,Tier 2 - GM Pause,
40,336,354,NORTH BU,Tier 1 - ISA On in Total Store,
14,10,355,SOUTHEAST BU,Tier 2 - GM Pause,
14,10,356,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,336,357,NORTH BU,Tier 1 - ISA On in Total Store,
42,321,358,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
42,322,359,SOUTHEAST BU,Tier 2 - GM Pause,
44,352,360,SOUTWEST BU,Tier 1 - ISA On in Total Store,
25,341,361,NORTH BU,Tier 1 - ISA On in Total Store,
14,11,362,SOUTHEAST BU,Tier 2 - GM Pause,
40,361,363,NORTH BU,Tier 1 - ISA On in Total Store,
6,503,364,SOUTWEST BU,Tier 1 - ISA On in Total Store,
13,140,365,SOUTWEST BU,Tier 3 - Total Store ISA Pause,
2,121,366,SOUTHEAST BU,Tier 2 - GM Pause,
44,410,368,SOUTWEST BU,Tier 2 - GM Pause,
47,406,369,WEST BU,Tier 1 - ISA On in Total Store,
47,406,370,WEST BU,Tier 1 - ISA On in Total Store,
5,48,371,SOUTWEST BU,Tier 2 - GM Pause,
47,406,372,WEST BU,Tier 2 - GM Pause,
42,322,373,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,347,374,SOUTWEST BU,Tier 3 - Total Store ISA Pause,
12,5,375,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
42,127,376,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
59,497,377,NHM BU,Tier 1 - ISA On in Total Store,
47,411,378,WEST BU,Tier 1 - ISA On in Total Store,
40,333,379,NORTH BU,Tier 2 - GM Pause,
5,81,381,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,410,382,SOUTWEST BU,Tier 2 - GM Pause,
13,66,383,SOUTWEST BU,Tier 2 - GM Pause,
13,66,384,SOUTWEST BU,Tier 1 - ISA On in Total Store,
6,84,385,SOUTWEST BU,Tier 1 - ISA On in Total Store,
13,132,386,SOUTWEST BU,Tier 1 - ISA On in Total Store,
44,352,387,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,321,388,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,352,389,SOUTWEST BU,Tier 1 - ISA On in Total Store,
12,149,390,SOUTHEAST BU,Tier 2 - GM Pause,
12,4,391,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
44,344,392,SOUTWEST BU,Tier 2 - GM Pause,
12,147,393,SOUTHEAST BU,Tier 2 - GM Pause,
12,137,394,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
6,80,395,SOUTWEST BU,Tier 2 - GM Pause,
2,39,396,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
6,80,397,SOUTWEST BU,Tier 2 - GM Pause,
5,46,398,SOUTWEST BU,Tier 1 - ISA On in Total Store,
5,46,399,SOUTWEST BU,Tier 2 - GM Pause,
6,68,400,SOUTWEST BU,Tier 1 - ISA On in Total Store,
13,131,401,SOUTWEST BU,Tier 1 - ISA On in Total Store,
13,132,402,SOUTWEST BU,Tier 2 - GM Pause,
12,137,403,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
6,87,404,SOUTWEST BU,Tier 2 - GM Pause,
13,134,405,SOUTWEST BU,Tier 2 - GM Pause,
12,153,406,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
5,81,407,SOUTWEST BU,Tier 1 - ISA On in Total Store,
13,66,408,SOUTWEST BU,Tier 2 - GM Pause,
12,137,409,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
41,146,410,NORTH BU,Tier 2 - GM Pause,
14,138,411,SOUTHEAST BU,Tier 2 - GM Pause,
5,45,412,SOUTWEST BU,Tier 2 - GM Pause,
6,569,413,SOUTWEST BU,Tier 2 - GM Pause,
44,349,414,SOUTWEST BU,Tier 2 - GM Pause,
13,132,415,SOUTWEST BU,Tier 2 - GM Pause,
12,151,416,SOUTHEAST BU,Tier 2 - GM Pause,
44,47,417,SOUTWEST BU,Tier 1 - ISA On in Total Store,
47,407,418,WEST BU,Tier 1 - ISA On in Total Store,
47,406,419,WEST BU,Tier 1 - ISA On in Total Store,
44,349,420,SOUTWEST BU,Tier 2 - GM Pause,
5,479,421,SOUTWEST BU,Tier 2 - GM Pause,
25,273,422,NORTH BU,Tier 2 - GM Pause,
14,13,423,SOUTHEAST BU,Tier 2 - GM Pause,
14,8,424,SOUTHEAST BU,Tier 2 - GM Pause,
14,11,425,SOUTHEAST BU,Tier 2 - GM Pause,
5,53,426,SOUTWEST BU,Tier 2 - GM Pause,
44,47,427,SOUTWEST BU,Tier 2 - GM Pause,
13,130,428,SOUTWEST BU,Tier 2 - GM Pause,
6,80,429,SOUTWEST BU,Tier 1 - ISA On in Total Store,
41,253,430,NORTH BU,Tier 1 - ISA On in Total Store,
41,253,431,NORTH BU,Tier 1 - ISA On in Total Store,
14,10,432,SOUTHEAST BU,Tier 2 - GM Pause,
12,5,433,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,5,434,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
25,272,435,NORTH BU,Tier 2 - GM Pause,
25,272,436,NORTH BU,Tier 1 - ISA On in Total Store,
6,84,437,SOUTWEST BU,Tier 2 - GM Pause,
5,74,438,SOUTWEST BU,Tier 1 - ISA On in Total Store,
6,78,440,SOUTWEST BU,Tier 1 - ISA On in Total Store,
6,78,442,SOUTWEST BU,Tier 1 - ISA On in Total Store,
46,88,443,SOUTWEST BU,Tier 2 - GM Pause,
40,333,444,NORTH BU,Tier 2 - GM Pause,
41,256,445,NORTH BU,Tier 1 - ISA On in Total Store,
6,85,446,SOUTWEST BU,Tier 1 - ISA On in Total Store,
46,88,447,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,127,448,SOUTHEAST BU,Tier 2 - GM Pause,
13,66,449,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,127,450,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
40,359,451,NORTH BU,Tier 2 - GM Pause,
6,80,452,SOUTWEST BU,Tier 1 - ISA On in Total Store,
12,329,453,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
25,273,454,NORTH BU,Tier 2 - GM Pause,
6,569,456,SOUTWEST BU,Tier 1 - ISA On in Total Store,
13,66,457,SOUTWEST BU,Tier 1 - ISA On in Total Store,
6,78,458,SOUTWEST BU,Tier 2 - GM Pause,
2,25,459,SOUTHEAST BU,Tier 2 - GM Pause,
46,88,461,SOUTWEST BU,Tier 2 - GM Pause,
6,61,462,SOUTWEST BU,Tier 2 - GM Pause,
6,84,463,SOUTWEST BU,Tier 2 - GM Pause,
6,78,464,SOUTWEST BU,Tier 2 - GM Pause,
6,77,465,SOUTWEST BU,Tier 1 - ISA On in Total Store,
12,147,466,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
5,52,467,SOUTWEST BU,Tier 2 - GM Pause,
