Store,Item Nbr,# of Whse Packs
417,676597873,7
417,676597874,7
421,676597872,6
421,676597873,7
421,676597874,7
422,676597872,6
422,676597873,5
422,676597874,6
426,676597872,6
426,676597873,5
426,676597874,6
427,676597872,6
427,676597873,7
427,676597874,8
431,676597872,6
431,676597873,6
431,676597874,7
434,676597872,6
434,676597873,6
434,676597874,7
445,676597872,6
445,676597873,7
445,676597874,8
447,676597872,6
447,676597873,6
447,676597874,7
457,676597872,6
457,676597873,5
457,676597874,6
462,676597872,6
462,676597873,5
462,676597874,6
464,676597872,6
464,676597873,5
464,676597874,6
465,676597872,6
465,676597873,5
465,676597874,6
467,676597872,6
467,676597873,5
467,676597874,6
470,676597872,6
470,676597873,5
470,676597874,6
472,676597872,6
472,676597873,6
472,676597874,7
476,676597872,6
476,676597873,5
476,676597874,6
479,676597872,6
479,676597873,5
479,676597874,6
481,676597872,6
481,676597873,6
481,676597874,7
483,676597872,6
483,676597873,5
483,676597874,6
489,676597872,6
489,676597873,5
489,676597874,6
490,676597872,6
490,676597873,5
490,676597874,6
492,676597872,6
492,676597873,5
492,676597874,6
494,676597872,6
494,676597873,7
494,676597874,7
495,676597872,6
495,676597873,5
495,676597874,6
500,676597872,6
500,676597873,7
500,676597874,7
501,676597872,6
501,676597873,7
501,676597874,8
505,676597872,6
505,676597873,5
505,676597874,6
508,676597872,6
508,676597873,5
508,676597874,6
511,676597872,6
511,676597873,7
511,676597874,8
513,676597872,6
513,676597873,5
513,676597874,6
518,676597872,6
518,676597873,7
518,676597874,7
521,676597872,6
521,676597873,5
521,676597874,6
525,676597872,6
525,676597873,5
525,676597874,6
529,676597872,6
529,676597873,6
529,676597874,7
530,676597872,6
530,676597873,5
530,676597874,6
532,676597872,6
532,676597873,7
532,676597874,7
533,676597872,6
533,676597873,5
533,676597874,6
537,676597872,6
537,676597873,5
537,676597874,6
541,676597872,6
541,676597873,6
541,676597874,7
543,676597872,6
543,676597873,5
543,676597874,6
546,676597872,6
546,676597873,5
546,676597874,6
548,676597872,6
548,676597873,6
548,676597874,7
549,676597872,6
549,676597873,6
549,676597874,7
557,676597872,6
557,676597873,7
557,676597874,7
558,676597872,6
558,676597873,7
558,676597874,7
563,676597872,6
563,676597873,7
563,676597874,8
564,676597872,6
564,676597873,7
564,676597874,7
571,676597872,6
571,676597873,6
571,676597874,7
574,676597872,6
574,676597873,6
574,676597874,7
576,676597872,6
576,676597873,7
576,676597874,7
577,676597872,6
577,676597873,7
577,676597874,7
578,676597872,6
578,676597873,7
578,676597874,7
579,676597872,6
579,676597873,7
579,676597874,8
582,676597872,6
582,676597873,7
582,676597874,7
583,676597872,6
583,676597873,5
583,676597874,6
586,676597872,6
586,676597873,7
586,676597874,7
587,676597872,6
587,676597873,5
587,676597874,6
588,676597872,6
588,676597873,5
588,676597874,6
589,676597872,6
589,676597873,5
589,676597874,6
590,676597872,6
590,676597873,5
590,676597874,6
592,676597872,6
592,676597873,5
592,676597874,6
595,676597872,6
595,676597873,5
595,676597874,6
604,676597872,6
604,676597873,5
604,676597874,6
605,676597872,6
605,676597873,5
605,676597874,6
608,676597872,6
608,676597873,6
608,676597874,7
610,676597872,6
610,676597873,5
610,676597874,6
611,676597872,6
611,676597873,5
611,676597874,6
614,676597872,6
614,676597873,7
614,676597874,7
618,676597872,6
618,676597873,5
618,676597874,6
619,676597872,6
619,676597873,7
619,676597874,7
620,676597872,6
620,676597873,7
620,676597874,7
623,676597872,6
623,676597873,7
623,676597874,7
629,676597872,6
629,676597873,5
629,676597874,6
634,676597872,6
634,676597873,6
634,676597874,7
638,676597872,6
638,676597873,6
638,676597874,7
640,676597872,6
640,676597873,7
640,676597874,7
644,676597872,6
644,676597873,5
644,676597874,6
645,676597872,6
645,676597873,7
645,676597874,8
652,676597872,6
652,676597873,5
652,676597874,6
653,676597872,6
653,676597873,7
653,676597874,8
656,676597872,6
656,676597873,5
656,676597874,6
657,676597872,6
657,676597873,7
657,676597874,7
659,676597872,6
659,676597873,5
659,676597874,6
660,676597872,6
660,676597873,7
660,676597874,8
661,676597872,6
661,676597873,5
661,676597874,6
664,676597872,6
664,676597873,7
664,676597874,8
665,676597872,6
665,676597873,5
665,676597874,6
666,676597872,6
666,676597873,7
666,676597874,7
668,676597872,6
668,676597873,5
668,676597874,6
672,676597872,6
672,676597873,5
672,676597874,6
674,676597872,6
674,676597873,7
674,676597874,7
675,676597872,6
675,676597873,5
675,676597874,6
676,676597872,6
676,676597873,5
676,676597874,6
677,676597872,6
677,676597873,5
677,676597874,6
680,676597872,6
680,676597873,6
680,676597874,7
684,676597872,6
684,676597873,5
684,676597874,6
687,676597872,6
687,676597873,7
687,676597874,8
689,676597872,6
689,676597873,6
689,676597874,7
691,676597872,6
691,676597873,7
691,676597874,7
692,676597872,6
692,676597873,7
692,676597874,8
698,676597872,6
698,676597873,7
698,676597874,8
699,676597872,6
699,676597873,7
699,676597874,7
701,676597872,6
701,676597873,7
701,676597874,7
702,676597872,6
702,676597873,5
702,676597874,6
708,676597872,6
708,676597873,5
708,676597874,6
709,676597872,6
709,676597873,7
709,676597874,8
710,676597872,6
710,676597873,5
710,676597874,6
712,676597872,6
712,676597873,7
712,676597874,8
715,676597872,6
715,676597873,5
715,676597874,6
718,676597872,6
718,676597873,6
718,676597874,7
719,676597872,6
719,676597873,5
719,676597874,6
721,676597872,6
721,676597873,5
721,676597874,6
722,676597872,6
722,676597873,5
722,676597874,6
726,676597872,6
726,676597873,5
726,676597874,6
733,676597872,6
733,676597873,5
733,676597874,6
734,676597872,6
734,676597873,7
734,676597874,8
739,676597872,6
739,676597873,5
739,676597874,6
740,676597872,6
740,676597873,5
740,676597874,6
741,676597872,6
741,676597873,7
741,676597874,8
742,676597872,6
742,676597873,7
742,676597874,7
743,676597872,6
743,676597873,5
743,676597874,6
744,676597872,6
744,676597873,5
744,676597874,6
745,676597872,6
745,676597873,5
745,676597874,6
746,676597872,6
746,676597873,5
746,676597874,6
757,676597872,6
757,676597873,5
757,676597874,6
766,676597872,6
766,676597873,7
766,676597874,7
770,676597872,6
770,676597873,7
770,676597874,7
771,676597872,6
771,676597873,5
771,676597874,6
772,676597872,6
772,676597873,5
772,676597874,6
774,676597872,6
774,676597873,5
774,676597874,6
775,676597872,6
775,676597873,5
775,676597874,6
777,676597872,6
777,676597873,7
777,676597874,7
778,676597872,6
778,676597873,7
778,676597874,7
781,676597872,6
781,676597873,5
781,676597874,6
784,676597872,6
784,676597873,5
784,676597874,6
785,676597872,6
785,676597873,5
785,676597874,6
786,676597872,6
786,676597873,6
786,676597874,7
789,676597872,6
789,676597873,6
789,676597874,7
794,676597872,6
794,676597873,7
794,676597874,7
795,676597872,6
795,676597873,5
795,676597874,6
797,676597872,6
797,676597873,7
797,676597874,8
799,676597872,6
799,676597873,5
799,676597874,6
808,676597872,6
808,676597873,5
808,676597874,6
809,676597872,6
809,676597873,7
809,676597874,7
813,676597872,6
813,676597873,5
813,676597874,6
816,676597872,6
816,676597873,5
816,676597874,6
819,676597872,6
819,676597873,7
819,676597874,7
821,676597872,6
821,676597873,7
821,676597874,7
822,676597872,6
822,676597873,5
822,676597874,6
826,676597872,6
826,676597873,7
826,676597874,7
838,676597872,6
838,676597873,7
838,676597874,8
842,676597872,6
842,676597873,7
842,676597874,8
844,676597872,6
844,676597873,7
844,676597874,7
846,676597872,6
846,676597873,5
846,676597874,6
848,676597872,6
848,676597873,5
848,676597874,6
850,676597872,6
850,676597873,7
850,676597874,7
851,676597872,6
851,676597873,5
851,676597874,6
852,676597872,6
852,676597873,5
852,676597874,6
856,676597872,6
856,676597873,7
856,676597874,7
859,676597872,6
859,676597873,5
859,676597874,6
860,676597872,6
860,676597873,7
860,676597874,7
861,676597872,6
861,676597873,5
861,676597874,6
865,676597872,6
865,676597873,7
865,676597874,8
866,676597872,6
866,676597873,5
866,676597874,6
868,676597872,6
868,676597873,7
868,676597874,7
869,676597872,6
869,676597873,7
869,676597874,8
874,676597872,6
874,676597873,5
874,676597874,6
877,676597872,6
877,676597873,7
877,676597874,8
879,676597872,6
879,676597873,7
879,676597874,8
884,676597872,6
884,676597873,5
884,676597874,6
885,676597872,6
885,676597873,5
885,676597874,6
886,676597872,6
886,676597873,5
886,676597874,6
890,676597872,6
890,676597873,5
890,676597874,6
891,676597872,6
891,676597873,5
891,676597874,6
899,676597872,6
899,676597873,7
899,676597874,7
903,676597872,6
903,676597873,5
903,676597874,6
904,676597872,6
904,676597873,7
904,676597874,7
905,676597872,6
905,676597873,7
905,676597874,7
906,676597872,6
906,676597873,7
906,676597874,7
910,676597872,6
910,676597873,7
910,676597874,7
913,676597872,6
913,676597873,5
913,676597874,6
919,676597872,6
919,676597873,7
919,676597874,7
922,676597872,6
922,676597873,7
922,676597874,7
924,676597872,6
924,676597873,7
924,676597874,7
928,676597872,6
928,676597873,7
928,676597874,8
929,676597872,6
929,676597873,5
929,676597874,6
931,676597872,6
931,676597873,5
931,676597874,6
934,676597872,6
934,676597873,5
934,676597874,6
937,676597872,6
937,676597873,7
937,676597874,7
939,676597872,6
939,676597873,5
939,676597874,6
942,676597872,6
942,676597873,5
942,676597874,6
944,676597872,6
944,676597873,7
944,676597874,8
953,676597872,6
953,676597873,7
953,676597874,8
958,676597872,6
958,676597873,5
958,676597874,6
962,676597872,6
962,676597873,7
962,676597874,7
964,676597872,6
964,676597873,6
964,676597874,7
966,676597872,6
966,676597873,7
966,676597874,8
967,676597872,6
967,676597873,5
967,676597874,6
970,676597872,6
970,676597873,7
970,676597874,8
972,676597872,6
972,676597873,5
972,676597874,6
978,676597872,6
978,676597873,5
978,676597874,6
984,676597872,6
984,676597873,7
984,676597874,7
988,676597872,6
988,676597873,7
988,676597874,8
989,676597872,6
989,676597873,6
989,676597874,7
990,676597872,6
990,676597873,7
990,676597874,8
993,676597872,6
993,676597873,5
993,676597874,6
1001,676597872,6
1001,676597873,7
1001,676597874,8
1003,676597872,6
1003,676597873,7
1003,676597874,7
1004,676597872,6
1004,676597873,5
1004,676597874,6
1007,676597872,6
1007,676597873,5
1007,676597874,6
1009,676597872,6
1009,676597873,7
1009,676597874,8
1014,676597872,6
1014,676597873,7
1014,676597874,8
1015,676597872,6
1015,676597873,7
1015,676597874,7
1016,676597872,6
1016,676597873,5
1016,676597874,6
1018,676597872,6
1018,676597873,5
1018,676597874,6
1019,676597872,6
1019,676597873,7
1019,676597874,7
1021,676597872,6
1021,676597873,5
1021,676597874,6
1022,676597872,6
1022,676597873,5
1022,676597874,6
1023,676597872,6
1023,676597873,7
1023,676597874,8
1024,676597872,6
1024,676597873,5
1024,676597874,6
1025,676597872,6
1025,676597873,5
1025,676597874,6
1027,676597872,6
1027,676597873,7
1027,676597874,7
1032,676597872,6
1032,676597873,7
1032,676597874,7
1053,676597872,6
1053,676597873,5
1053,676597874,6
1058,676597872,7
1058,676597873,7
1058,676597874,8
1064,676597872,6
1064,676597873,5
1064,676597874,6
1066,676597872,6
1066,676597873,7
1066,676597874,8
1072,676597872,6
1072,676597873,6
1072,676597874,7
1074,676597872,6
1074,676597873,5
1074,676597874,6
1080,676597872,6
1080,676597873,5
1080,676597874,6
1083,676597872,6
1083,676597873,6
1083,676597874,7
1086,676597872,6
1086,676597873,7
1086,676597874,7
1088,676597872,6
1088,676597873,5
1088,676597874,6
1089,676597872,6
1089,676597873,6
1089,676597874,7
1094,676597872,6
1094,676597873,5
1094,676597874,6
1097,676597872,6
1097,676597873,7
1097,676597874,7
1099,676597872,6
1099,676597873,5
1099,676597874,6
1104,676597872,6
1104,676597873,7
1104,676597874,8
1105,676597872,6
1105,676597873,7
1105,676597874,8
1113,676597872,6
1113,676597873,7
1113,676597874,7
1120,676597872,6
1120,676597873,5
1120,676597874,6
1121,676597872,6
1121,676597873,7
1121,676597874,7
1134,676597872,6
1134,676597873,7
1134,676597874,7
1140,676597872,6
1140,676597873,7
1140,676597874,7
1146,676597872,6
1146,676597873,7
1146,676597874,8
1151,676597872,6
1151,676597873,5
1151,676597874,6
1156,676597872,6
1156,676597873,5
1156,676597874,6
1158,676597872,6
1158,676597873,5
1158,676597874,6
1160,676597872,6
1160,676597873,5
1160,676597874,6
1165,676597872,6
1165,676597873,7
1165,676597874,7
1168,676597872,6
1168,676597873,5
1168,676597874,6
1172,676597872,6
1172,676597873,5
1172,676597874,6
1177,676597872,6
1177,676597873,7
1177,676597874,7
1178,676597872,6
1178,676597873,6
1178,676597874,7
1179,676597872,6
1179,676597873,7
1179,676597874,7
1180,676597872,6
1180,676597873,6
1180,676597874,7
1182,676597872,6
1182,676597873,7
1182,676597874,8
1186,676597872,6
1186,676597873,5
1186,676597874,6
1191,676597872,6
1191,676597873,6
1191,676597874,7
1194,676597872,6
1194,676597873,7
1194,676597874,7
1199,676597872,6
1199,676597873,5
1199,676597874,6
1209,676597872,6
1209,676597873,7
1209,676597874,8
1217,676597872,6
1217,676597873,5
1217,676597874,6
1218,676597872,6
1218,676597873,7
1218,676597874,8
1221,676597872,6
1221,676597873,7
1221,676597874,7
1222,676597872,6
1222,676597873,6
1222,676597874,7
1223,676597872,6
1223,676597873,5
1223,676597874,6
1224,676597872,6
1224,676597873,7
1224,676597874,8
1225,676597872,6
1225,676597873,5
1225,676597874,6
1228,676597872,6
1228,676597873,5
1228,676597874,6
1229,676597872,6
1229,676597873,5
1229,676597874,6
1230,676597872,6
1230,676597873,7
1230,676597874,8
1231,676597872,6
1231,676597873,5
1231,676597874,6
1232,676597872,6
1232,676597873,5
1232,676597874,6
1233,676597872,6
1233,676597873,5
1233,676597874,6
1236,676597872,6
1236,676597873,5
1236,676597874,6
1237,676597872,6
1237,676597873,5
1237,676597874,6
1238,676597872,6
1238,676597873,5
1238,676597874,6
1240,676597872,6
1240,676597873,7
1240,676597874,8
1241,676597872,6
1241,676597873,7
1241,676597874,7
1243,676597872,6
1243,676597873,5
1243,676597874,6
1252,676597872,6
1252,676597873,7
1252,676597874,8
1254,676597872,6
1254,676597873,5
1254,676597874,6
1259,676597872,6
1259,676597873,7
1259,676597874,7
1263,676597872,6
1263,676597873,5
1263,676597874,6
1266,676597872,6
1266,676597873,5
1266,676597874,6
1268,676597872,6
1268,676597873,5
1268,676597874,6
1270,676597872,6
1270,676597873,5
1270,676597874,6
1273,676597872,6
1273,676597873,7
1273,676597874,8
1275,676597872,6
1275,676597873,5
1275,676597874,6
1279,676597872,6
1279,676597873,5
1279,676597874,6
1280,676597872,6
1280,676597873,7
1280,676597874,8
1284,676597872,6
1284,676597873,7
1284,676597874,7
1286,676597872,6
1286,676597873,5
1286,676597874,6
1287,676597872,6
1287,676597873,7
1287,676597874,8
1289,676597872,6
1289,676597873,5
1289,676597874,6
1292,676597872,6
1292,676597873,7
1292,676597874,7
1294,676597872,6
1294,676597873,6
1294,676597874,7
1297,676597872,6
1297,676597873,7
1297,676597874,8
1298,676597872,6
1298,676597873,5
1298,676597874,6
1301,676597872,6
1301,676597873,7
1301,676597874,7
1304,676597872,6
1304,676597873,7
1304,676597874,7
1305,676597872,6
1305,676597873,7
1305,676597874,7
1306,676597872,6
1306,676597873,7
1306,676597874,8
1312,676597872,6
1312,676597873,5
1312,676597874,6
1315,676597872,6
1315,676597873,7
1315,676597874,8
1319,676597872,6
1319,676597873,5
1319,676597874,6
1322,676597872,6
1322,676597873,7
1322,676597874,7
1327,676597872,6
1327,676597873,7
1327,676597874,8
1329,676597872,6
1329,676597873,5
1329,676597874,6
1335,676597872,6
1335,676597873,5
1335,676597874,6
1340,676597872,6
1340,676597873,5
1340,676597874,6
1345,676597872,6
1345,676597873,5
1345,676597874,6
1346,676597872,6
1346,676597873,7
1346,676597874,8
1347,676597872,6
1347,676597873,5
1347,676597874,6
1350,676597872,6
1350,676597873,6
1350,676597874,7
1351,676597872,6
1351,676597873,7
1351,676597874,7
1353,676597872,6
1353,676597873,7
1353,676597874,8
1355,676597872,6
1355,676597873,6
1355,676597874,7
1356,676597872,6
1356,676597873,5
1356,676597874,6
1357,676597872,6
1357,676597873,7
1357,676597874,8
1358,676597872,6
1358,676597873,5
1358,676597874,6
1362,676597872,6
1362,676597873,7
1362,676597874,7
1364,676597872,6
1364,676597873,7
1364,676597874,8
1369,676597872,6
1369,676597873,7
1369,676597874,8
1375,676597872,6
1375,676597873,6
1375,676597874,7
1376,676597872,6
1376,676597873,7
1376,676597874,7
1377,676597872,6
1377,676597873,7
1377,676597874,8
1378,676597872,6
1378,676597873,5
1378,676597874,6
1383,676597872,6
1383,676597873,5
1383,676597874,6
1384,676597872,6
1384,676597873,5
1384,676597874,6
1386,676597872,6
1386,676597873,5
1386,676597874,6
1388,676597872,6
1388,676597873,5
1388,676597874,6
1390,676597872,6
1390,676597873,7
1390,676597874,7
1400,676597872,6
1400,676597873,6
1400,676597874,7
1401,676597872,6
1401,676597873,5
1401,676597874,6
1406,676597872,6
1406,676597873,5
1406,676597874,6
1409,676597872,6
1409,676597873,5
1409,676597874,6
1414,676597872,6
1414,676597873,7
1414,676597874,7
1417,676597872,6
1417,676597873,7
1417,676597874,7
1419,676597872,6
1419,676597873,5
1419,676597874,6
1420,676597872,6
1420,676597873,5
1420,676597874,6
1422,676597872,6
1422,676597873,7
1422,676597874,7
1424,676597872,6
1424,676597873,5
1424,676597874,6
1431,676597872,6
1431,676597873,6
1431,676597874,7
1433,676597872,6
1433,676597873,5
1433,676597874,6
1438,676597872,7
1438,676597873,7
1438,676597874,8
1439,676597872,6
1439,676597873,7
1439,676597874,8
1440,676597872,6
1440,676597873,7
1440,676597874,8
1445,676597872,6
1445,676597873,5
1445,676597874,6
1447,676597872,6
1447,676597873,7
1447,676597874,7
1449,676597872,6
1449,676597873,7
1449,676597874,8
1450,676597872,6
1450,676597873,5
1450,676597874,6
1452,676597872,6
1452,676597873,5
1452,676597874,6
1453,676597872,6
1453,676597873,7
1453,676597874,8
1458,676597872,6
1458,676597873,7
1458,676597874,7
1460,676597872,6
1460,676597873,5
1460,676597874,6
1464,676597872,6
1464,676597873,5
1464,676597874,6
1466,676597872,6
1466,676597873,7
1466,676597874,7
1472,676597872,6
1472,676597873,6
1472,676597874,7
1473,676597872,6
1473,676597873,7
1473,676597874,7
1475,676597872,6
1475,676597873,5
1475,676597874,6
1477,676597872,6
1477,676597873,7
1477,676597874,7
1481,676597872,6
1481,676597873,5
1481,676597874,6
1483,676597872,6
1483,676597873,7
1483,676597874,7
1488,676597872,6
1488,676597873,7
1488,676597874,8
1491,676597872,6
1491,676597873,5
1491,676597874,6
1494,676597872,6
1494,676597873,5
1494,676597874,6
1495,676597872,6
1495,676597873,5
1495,676597874,6
1498,676597872,6
1498,676597873,7
1498,676597874,8
1505,676597872,6
1505,676597873,6
1505,676597874,7
1508,676597872,7
1508,676597873,7
1508,676597874,8
1516,676597872,6
1516,676597873,5
1516,676597874,6
1519,676597872,6
1519,676597873,5
1519,676597874,6
1520,676597872,6
1520,676597873,7
1520,676597874,7
1523,676597872,6
1523,676597873,5
1523,676597874,6
1532,676597872,6
1532,676597873,6
1532,676597874,7
1538,676597872,6
1538,676597873,5
1538,676597874,6
1542,676597872,6
1542,676597873,7
1542,676597874,8
1547,676597872,6
1547,676597873,6
1547,676597874,7
1552,676597872,6
1552,676597873,7
1552,676597874,7
1560,676597872,6
1560,676597873,7
1560,676597874,7
1567,676597872,6
1567,676597873,7
1567,676597874,8
1569,676597872,6
1569,676597873,7
1569,676597874,7
1571,676597872,6
1571,676597873,7
1571,676597874,7
1572,676597872,6
1572,676597873,7
1572,676597874,8
1573,676597872,6
1573,676597873,7
1573,676597874,7
1574,676597872,6
1574,676597873,5
1574,676597874,6
1577,676597872,6
1577,676597873,5
1577,676597874,6
1585,676597872,6
1585,676597873,7
1585,676597874,8
1586,676597872,6
1586,676597873,5
1586,676597874,6
1588,676597872,6
1588,676597873,7
1588,676597874,7
1591,676597872,6
1591,676597873,5
1591,676597874,6
1592,676597872,6
1592,676597873,6
1592,676597874,7
1593,676597872,6
1593,676597873,5
1593,676597874,6
1601,676597872,6
1601,676597873,6
1601,676597874,7
1604,676597872,6
1604,676597873,7
1604,676597874,8
1605,676597872,6
1605,676597873,7
1605,676597874,7
1607,676597872,6
1607,676597873,5
1607,676597874,6
1608,676597872,6
1608,676597873,5
1608,676597874,6
1612,676597872,6
1612,676597873,7
1612,676597874,8
1617,676597872,6
1617,676597873,7
1617,676597874,8
1618,676597872,6
1618,676597873,5
1618,676597874,6
1620,676597872,6
1620,676597873,5
1620,676597874,6
1623,676597872,6
1623,676597873,5
1623,676597874,6
1626,676597872,6
1626,676597873,7
1626,676597874,7
1633,676597872,6
1633,676597873,7
1633,676597874,8
1634,676597872,6
1634,676597873,5
1634,676597874,6
1635,676597872,6
1635,676597873,5
1635,676597874,6
1637,676597872,6
1637,676597873,5
1637,676597874,6
1638,676597872,6
1638,676597873,5
1638,676597874,6
1640,676597872,6
1640,676597873,5
1640,676597874,6
1651,676597872,6
1651,676597873,5
1651,676597874,6
1656,676597872,6
1656,676597873,5
1656,676597874,6
1659,676597872,6
1659,676597873,7
1659,676597874,7
1660,676597872,6
1660,676597873,7
1660,676597874,7
1661,676597872,6
1661,676597873,5
1661,676597874,6
1664,676597872,6
1664,676597873,5
1664,676597874,6
1665,676597872,6
1665,676597873,5
1665,676597874,6
1673,676597872,6
1673,676597873,6
1673,676597874,6
1674,676597872,6
1674,676597873,7
1674,676597874,7
1677,676597872,6
1677,676597873,7
1677,676597874,7
1680,676597872,6
1680,676597873,7
1680,676597874,7
1685,676597872,6
1685,676597873,5
1685,676597874,6
1688,676597872,6
1688,676597873,6
1688,676597874,6
1689,676597872,6
1689,676597873,5
1689,676597874,6
1694,676597872,6
1694,676597873,7
1694,676597874,8
1696,676597872,6
1696,676597873,7
1696,676597874,7
1700,676597872,6
1700,676597873,7
1700,676597874,8
1702,676597872,6
1702,676597873,5
1702,676597874,6
1703,676597872,6
1703,676597873,7
1703,676597874,7
1705,676597872,6
1705,676597873,5
1705,676597874,6
1707,676597872,6
1707,676597873,5
1707,676597874,6
1708,676597872,6
1708,676597873,7
1708,676597874,7
1710,676597872,6
1710,676597873,7
1710,676597874,7
1722,676597872,6
1722,676597873,5
1722,676597874,6
1723,676597872,6
1723,676597873,5
1723,676597874,6
1730,676597872,6
1730,676597873,5
1730,676597874,6
1731,676597872,6
1731,676597873,5
1731,676597874,6
1733,676597872,6
