DC #,3/26/2022,3/27/2022,3/28/2022,3/29/2022,3/30/2022,3/31/2022,4/1/2022,4/2/2022,4/3/2022,4/4/2022,4/5/2022,4/6/2022,4/7/2022,4/8/2022,4/9/2022,4/10/2022,4/11/2022,4/12/2022,4/13/2022,4/14/2022,4/15/2022,Grand Total
7018,"2,961","2,553","4,002","4,860","5,277","4,647","4,186","2,506","2,786","2,901","4,538","5,481","5,918","4,648","5,380","3,663","3,388","5,092","8,162","4,798","1,539","89,286"
7019,"2,347","2,511","2,986","3,247","4,238","3,978","2,947","1,947","2,546","2,698","3,424","4,186","4,155","4,103","4,072","3,382","2,214","4,083","6,351","5,253","1,061","71,729"
7021,"4,032","5,064","5,985","7,737","6,634","6,852","5,234","4,816","5,206","4,609","7,992","7,617","8,791","7,107","6,926","5,425","4,501","10,347","9,977","5,042","2,355","132,249"
7023,"3,212","3,228","4,596","5,989","6,673","6,122","4,646","3,754","3,582","4,682","4,339","7,204","7,273","6,544","5,517","6,375","3,188","6,047","9,566","6,534","2,804","111,875"
7024,"3,154","3,736","3,759","4,813","6,479","4,951","4,270","3,081","3,949","3,556","4,247","6,172","6,612","5,618","6,005","5,306","3,481","3,921","9,058","6,426","1,596","100,190"
7030,"3,470","3,649","4,637","6,626","6,925","5,094","3,868","3,012","3,782","4,245","5,657","6,833","6,885","6,308","6,602","4,325","3,551","7,921","8,994","4,097","1,648","108,129"
7048,"2,840","2,288","3,719","4,297","3,756","3,751","2,366","2,346","3,279","2,602","4,125","5,236","4,043","4,255","3,595","3,301","3,389","5,903","5,988","1,872","1,300","74,251"
7055,"2,643","2,868","3,348","4,710","5,574","3,570","3,396","2,472","3,022","3,264","4,450","4,898","5,668","4,601","5,555","3,867","3,380","4,649","7,762","4,693","1,582","85,972"
7077,"1,949","2,312","2,209","3,192","2,622","2,551","2,188","1,525","1,751","2,077","3,154","3,328","2,765","3,166","2,899","1,891","2,227","4,180","3,799","1,549",818,"52,152"
7079,"2,326","2,445","2,953","4,393","4,239","3,741","2,645","2,435","2,348","2,833","3,429","4,957","4,601","3,615","4,923","2,993","2,890","3,659","6,558","3,711","1,309","73,003"
7084,"3,319","2,873","2,932","4,547","5,197","4,189","4,396","3,112","2,954","3,296","3,649","5,990","5,530","4,556","5,637","3,580","4,425","3,888","7,969","5,123","1,279","88,441"
8851,"1,631","1,803","2,270","2,585","3,193","2,499","2,003","1,514","1,785","1,887","2,342","3,617","2,903","2,668","3,013","2,206","1,838","2,971","4,200","2,782","1,228","50,938"
8852,"2,940","3,087","3,683","4,578","4,792","4,332","3,981","2,909","3,050","3,470","4,104","5,158","5,266","4,214","3,910","4,193","4,316","5,272","7,395","4,049","1,577","86,276"
