Store Nbr,Assorted Pallet Train,Milk Pallet Train,Summer Seasonal Aisle,4-WAY
158,0,0,0,4-WAY
159,ASSORTMENT PALLET,0,0,4-WAY
160,0,0,0,4-WAY
161,0,0,0,4-WAY
162,0,0,0,4-WAY
163,0,0,0,4-WAY
164,0,0,0,4-WAY
165,0,0,0,4-WAY
166,ASSORTMENT PALLET,0,0,0
167,0,0,0,4-WAY
168,ASSORTMENT PALLET,0,0,0
169,0,0,0,4-WAY
170,0,0,0,4-WAY
171,ASSORTMENT PALLET,0,0,0
172,ASSORTMENT PALLET,0,0,0
173,ASSORTMENT PALLET,0,0,0
174,0,0,0,4-WAY
175,0,0,0,4-WAY
176,0,0,0,4-WAY
177,ASSORTMENT PALLET,0,0,0
178,ASSORTMENT PALLET,0,0,0
179,0,0,0,4-WAY
180,0,0,0,4-WAY
181,0,0,0,4-WAY
182,0,0,0,4-WAY
183,0,0,0,4-WAY
184,ASSORTMENT PALLET,0,0,0
185,ASSORTMENT PALLET,0,0,0
186,ASSORTMENT PALLET,0,0,0
188,ASSORTMENT PALLET,0,0,0
189,ASSORTMENT PALLET,MILK PALLET,0,0
190,0,0,0,4-WAY
192,ASSORTMENT PALLET,0,0,0
194,0,0,0,4-WAY
195,ASSORTMENT PALLET,0,0,0
196,0,0,0,4-WAY
197,ASSORTMENT PALLET,0,0,0
198,0,0,0,4-WAY
199,ASSORTMENT PALLET,0,0,0
200,ASSORTMENT PALLET,0,0,0
201,ASSORTMENT PALLET,0,0,0
202,0,0,Summer Seasonal Aisle,4-WAY
203,ASSORTMENT PALLET,0,0,0
204,ASSORTMENT PALLET,0,0,0
205,0,0,0,4-WAY
206,0,0,0,4-WAY
207,0,0,0,4-WAY
209,0,0,0,4-WAY
210,0,0,0,4-WAY
211,0,0,0,4-WAY
212,ASSORTMENT PALLET,0,0,0
213,ASSORTMENT PALLET,0,0,4-WAY
214,0,0,0,4-WAY
216,ASSORTMENT PALLET,0,0,0
217,0,0,0,4-WAY
218,ASSORTMENT PALLET,0,0,0
219,ASSORTMENT PALLET,MILK PALLET,0,0
220,ASSORTMENT PALLET,0,0,0
221,ASSORTMENT PALLET,0,0,0
222,ASSORTMENT PALLET,0,0,0
224,ASSORTMENT PALLET,0,0,0
225,0,0,0,4-WAY
226,0,0,0,4-WAY
227,ASSORTMENT PALLET,0,0,0
228,ASSORTMENT PALLET,0,0,0
229,0,0,0,4-WAY
230,0,0,0,4-WAY
231,ASSORTMENT PALLET,0,0,0
232,0,0,0,4-WAY
233,0,0,0,4-WAY
234,ASSORTMENT PALLET,0,Summer Seasonal Aisle,0
236,0,0,0,4-WAY
237,ASSORTMENT PALLET,0,0,0
238,0,0,0,4-WAY
239,0,0,0,4-WAY
240,0,0,0,4-WAY
242,ASSORTMENT PALLET,0,0,0
243,ASSORTMENT PALLET,MILK PALLET,0,0
244,0,0,0,4-WAY
246,ASSORTMENT PALLET,0,0,0
247,0,0,0,4-WAY
248,0,0,0,4-WAY
249,0,0,0,4-WAY
250,ASSORTMENT PALLET,0,0,4-WAY
251,0,0,0,4-WAY
252,0,0,0,4-WAY
253,ASSORTMENT PALLET,0,0,0
254,ASSORTMENT PALLET,0,0,0
256,ASSORTMENT PALLET,0,0,4-WAY
257,ASSORTMENT PALLET,0,0,0
258,0,0,0,4-WAY
259,0,0,0,4-WAY
260,ASSORTMENT PALLET,0,0,0
261,ASSORTMENT PALLET,0,0,0
262,ASSORTMENT PALLET,0,0,0
264,ASSORTMENT PALLET,0,0,0
265,ASSORTMENT PALLET,0,0,0
266,0,0,0,4-WAY
267,ASSORTMENT PALLET,0,0,0
268,ASSORTMENT PALLET,0,0,0
269,0,0,0,4-WAY
271,0,0,0,4-WAY
272,ASSORTMENT PALLET,0,Summer Seasonal Aisle,0
273,0,0,0,4-WAY
274,0,0,0,4-WAY
275,ASSORTMENT PALLET,0,0,0
276,ASSORTMENT PALLET,0,0,0
277,ASSORTMENT PALLET,0,0,0
278,0,0,0,4-WAY
279,0,0,0,4-WAY
280,0,0,0,4-WAY
281,ASSORTMENT PALLET,0,0,4-WAY
282,ASSORTMENT PALLET,0,0,0
283,0,0,0,4-WAY
284,ASSORTMENT PALLET,0,0,0
285,0,0,0,4-WAY
286,ASSORTMENT PALLET,0,0,0
287,ASSORTMENT PALLET,0,0,0
288,0,0,0,4-WAY
289,0,0,0,4-WAY
290,0,0,0,4-WAY
292,0,0,0,4-WAY
293,0,0,0,4-WAY
294,ASSORTMENT PALLET,0,0,0
295,ASSORTMENT PALLET,0,0,0
296,ASSORTMENT PALLET,0,0,0
297,0,0,0,4-WAY
298,ASSORTMENT PALLET,0,0,0
299,ASSORTMENT PALLET,0,0,0
300,0,0,0,4-WAY
301,0,0,0,4-WAY
302,ASSORTMENT PALLET,0,0,0
303,0,0,0,4-WAY
304,0,0,0,4-WAY
305,0,0,0,4-WAY
306,0,0,0,4-WAY
307,0,0,0,4-WAY
308,0,0,0,4-WAY
309,0,0,0,4-WAY
310,0,0,0,4-WAY
311,0,0,0,4-WAY
312,0,0,0,4-WAY
313,ASSORTMENT PALLET,0,0,0
314,ASSORTMENT PALLET,0,0,0
315,0,0,0,4-WAY
316,0,0,0,4-WAY
317,ASSORTMENT PALLET,0,0,0
318,ASSORTMENT PALLET,0,0,0
319,ASSORTMENT PALLET,0,0,0
320,0,0,0,4-WAY
321,0,0,0,4-WAY
322,0,0,0,4-WAY
323,0,0,0,4-WAY
324,0,0,0,4-WAY
325,0,0,0,4-WAY
326,0,0,0,4-WAY
328,ASSORTMENT PALLET,0,0,0
329,0,0,Summer Seasonal Aisle,4-WAY
330,0,0,0,4-WAY
331,ASSORTMENT PALLET,0,0,0
332,ASSORTMENT PALLET,0,0,0
333,ASSORTMENT PALLET,0,0,0
334,ASSORTMENT PALLET,0,0,0
335,ASSORTMENT PALLET,0,0,0
336,0,0,0,4-WAY
337,ASSORTMENT PALLET,0,0,0
338,0,0,0,4-WAY
339,0,0,0,4-WAY
340,ASSORTMENT PALLET,0,0,0
341,ASSORTMENT PALLET,0,0,0
342,0,0,0,4-WAY
343,ASSORTMENT PALLET,0,0,0
344,0,0,0,4-WAY
345,0,0,0,4-WAY
346,0,0,0,4-WAY
347,0,0,0,4-WAY
348,0,0,0,4-WAY
350,ASSORTMENT PALLET,0,0,0
351,0,0,0,4-WAY
352,0,0,0,4-WAY
353,0,0,0,4-WAY
354,0,0,0,4-WAY
355,ASSORTMENT PALLET,0,0,0
356,0,0,0,4-WAY
357,ASSORTMENT PALLET,0,0,0
358,0,0,0,4-WAY
359,ASSORTMENT PALLET,0,0,4-WAY
360,ASSORTMENT PALLET,0,0,0
361,ASSORTMENT PALLET,0,0,0
362,0,0,0,4-WAY
363,ASSORTMENT PALLET,0,0,0
364,0,0,0,4-WAY
365,0,0,0,4-WAY
366,ASSORTMENT PALLET,0,0,0
368,0,0,0,4-WAY
369,0,0,0,4-WAY
370,ASSORTMENT PALLET,0,0,0
371,ASSORTMENT PALLET,0,0,0
372,0,0,0,4-WAY
373,ASSORTMENT PALLET,0,0,0
374,ASSORTMENT PALLET,0,0,0
375,0,0,0,4-WAY
376,0,0,0,4-WAY
377,0,0,0,4-WAY
378,0,0,0,4-WAY
379,ASSORTMENT PALLET,0,0,0
381,0,0,0,4-WAY
382,ASSORTMENT PALLET,0,0,0
383,0,0,0,4-WAY
384,0,0,0,4-WAY
385,0,0,0,4-WAY
386,0,0,0,4-WAY
387,0,0,0,4-WAY
388,0,0,0,4-WAY
389,ASSORTMENT PALLET,0,0,0
390,0,0,0,4-WAY
391,0,0,0,4-WAY
392,ASSORTMENT PALLET,0,0,0
393,0,0,0,4-WAY
394,0,0,0,4-WAY
395,0,0,Summer Seasonal Aisle,4-WAY
396,ASSORTMENT PALLET,0,0,0
397,0,0,0,4-WAY
398,0,0,0,4-WAY
399,0,0,0,4-WAY
400,0,0,0,4-WAY
401,0,0,0,4-WAY
402,0,0,0,4-WAY
403,0,0,0,4-WAY
404,0,0,0,4-WAY
405,0,0,0,4-WAY
406,0,0,0,4-WAY
407,0,0,Summer Seasonal Aisle,4-WAY
408,0,0,0,4-WAY
409,0,0,0,4-WAY
410,ASSORTMENT PALLET,0,Summer Seasonal Aisle,0
411,0,0,0,4-WAY
412,0,0,0,4-WAY
413,0,0,0,4-WAY
414,ASSORTMENT PALLET,0,0,0
415,0,0,0,4-WAY
416,0,0,0,4-WAY
417,ASSORTMENT PALLET,0,0,0
418,ASSORTMENT PALLET,0,0,0
419,0,0,0,4-WAY
420,ASSORTMENT PALLET,0,0,0
421,ASSORTMENT PALLET,0,0,0
422,ASSORTMENT PALLET,0,0,0
423,0,0,0,4-WAY
424,0,0,0,4-WAY
425,0,0,0,4-WAY
426,0,0,0,4-WAY
427,0,0,0,4-WAY
428,0,0,0,4-WAY
429,ASSORTMENT PALLET,0,0,0
430,ASSORTMENT PALLET,0,0,0
431,ASSORTMENT PALLET,0,0,0
432,0,0,0,4-WAY
433,0,0,0,4-WAY
434,0,0,0,4-WAY
435,ASSORTMENT PALLET,0,0,0
436,ASSORTMENT PALLET,0,0,0
437,0,0,0,4-WAY
438,0,0,0,4-WAY
440,0,0,0,4-WAY
442,0,0,0,4-WAY
443,0,0,0,4-WAY
444,ASSORTMENT PALLET,0,0,0
445,ASSORTMENT PALLET,0,0,4-WAY
446,0,0,0,4-WAY
447,0,0,Summer Seasonal Aisle,4-WAY
448,0,0,0,4-WAY
449,0,0,0,4-WAY
450,0,0,0,4-WAY
451,ASSORTMENT PALLET,0,0,0
452,0,0,0,4-WAY
453,0,0,0,4-WAY
454,0,0,0,4-WAY
456,0,0,0,4-WAY
457,0,0,0,4-WAY
458,0,0,0,4-WAY
459,0,0,0,4-WAY
461,0,0,0,4-WAY
462,0,0,0,4-WAY
463,0,0,0,4-WAY
464,0,0,0,4-WAY
465,0,0,0,4-WAY
466,0,0,0,4-WAY
467,0,0,0,4-WAY
468,0,0,0,4-WAY
469,0,0,0,4-WAY
470,0,0,0,4-WAY
471,0,0,Summer Seasonal Aisle,4-WAY
472,ASSORTMENT PALLET,0,0,0
473,0,0,0,4-WAY
475,0,0,0,4-WAY
476,0,0,0,4-WAY
477,ASSORTMENT PALLET,0,0,0
478,0,0,0,4-WAY
479,ASSORTMENT PALLET,0,0,0
480,0,0,0,4-WAY
481,ASSORTMENT PALLET,0,0,0
482,0,0,0,4-WAY
483,0,0,0,4-WAY
484,ASSORTMENT PALLET,0,0,0
485,0,0,0,4-WAY
486,ASSORTMENT PALLET,0,0,0
488,0,0,0,4-WAY
489,0,0,0,4-WAY
490,0,0,0,4-WAY
491,ASSORTMENT PALLET,MILK PALLET,0,0
492,ASSORTMENT PALLET,0,0,0
493,ASSORTMENT PALLET,0,0,0
494,0,0,0,4-WAY
495,0,0,0,4-WAY
497,ASSORTMENT PALLET,0,0,0
498,0,0,0,4-WAY
499,ASSORTMENT PALLET,0,0,0
500,0,0,0,4-WAY
501,0,0,0,4-WAY
502,0,0,0,4-WAY
503,0,0,0,4-WAY
504,0,0,Summer Seasonal Aisle,4-WAY
505,0,0,0,4-WAY
506,ASSORTMENT PALLET,0,0,0
507,ASSORTMENT PALLET,0,0,0
508,0,0,0,4-WAY
510,0,0,0,4-WAY
511,ASSORTMENT PALLET,0,0,0
512,0,0,0,4-WAY
513,0,0,0,4-WAY
514,0,0,0,4-WAY
515,0,0,0,4-WAY
516,ASSORTMENT PALLET,0,0,0
517,ASSORTMENT PALLET,0,0,0
518,ASSORTMENT PALLET,0,0,0
519,ASSORTMENT PALLET,0,0,0
520,ASSORTMENT PALLET,0,0,0
521,0,0,0,4-WAY
522,0,0,0,4-WAY
523,0,0,0,4-WAY
524,0,0,0,4-WAY
525,0,0,0,4-WAY
526,0,0,0,4-WAY
527,0,0,0,4-WAY
528,0,0,0,4-WAY
529,0,0,0,4-WAY
530,0,0,0,4-WAY
531,0,0,0,4-WAY
532,0,0,Summer Seasonal Aisle,4-WAY
533,0,0,Summer Seasonal Aisle,4-WAY
535,ASSORTMENT PALLET,0,0,0
536,0,0,0,4-WAY
537,0,0,0,4-WAY
538,0,0,0,4-WAY
539,0,0,0,4-WAY
540,0,0,0,4-WAY
541,0,0,0,4-WAY
542,0,0,0,4-WAY
543,0,0,0,4-WAY
544,ASSORTMENT PALLET,0,Summer Seasonal Aisle,0
545,0,0,0,4-WAY
546,0,0,0,4-WAY
547,ASSORTMENT PALLET,0,0,0
548,0,0,Summer Seasonal Aisle,4-WAY
549,ASSORTMENT PALLET,0,0,0
550,ASSORTMENT PALLET,0,0,0
551,ASSORTMENT PALLET,0,0,0
552,0,0,0,4-WAY
553,0,0,0,4-WAY
554,0,0,0,4-WAY
555,0,0,0,4-WAY
556,0,0,0,4-WAY
557,ASSORTMENT PALLET,0,0,0
558,ASSORTMENT PALLET,0,0,0
559,ASSORTMENT PALLET,0,0,0
560,ASSORTMENT PALLET,0,0,0
561,0,0,0,4-WAY
562,0,0,0,4-WAY
563,0,0,0,4-WAY
564,ASSORTMENT PALLET,0,0,0
565,0,0,0,4-WAY
566,ASSORTMENT PALLET,0,0,0
567,0,0,0,4-WAY
568,ASSORTMENT PALLET,0,0,0
569,ASSORTMENT PALLET,0,0,0
571,ASSORTMENT PALLET,0,0,4-WAY
572,0,0,0,4-WAY
573,ASSORTMENT PALLET,0,0,0
574,0,0,Summer Seasonal Aisle,4-WAY
575,ASSORTMENT PALLET,0,0,0
576,ASSORTMENT PALLET,0,0,0
577,ASSORTMENT PALLET,0,0,0
578,ASSORTMENT PALLET,MILK PALLET,0,0
579,0,0,Summer Seasonal Aisle,4-WAY
580,0,0,0,4-WAY
581,ASSORTMENT PALLET,0,0,4-WAY
582,ASSORTMENT PALLET,0,0,0
583,ASSORTMENT PALLET,0,0,0
584,ASSORTMENT PALLET,0,0,0
585,ASSORTMENT PALLET,0,0,0
586,ASSORTMENT PALLET,0,0,0
587,ASSORTMENT PALLET,0,0,0
588,0,0,0,4-WAY
589,ASSORTMENT PALLET,0,0,0
590,ASSORTMENT PALLET,0,0,0
591,ASSORTMENT PALLET,0,0,0
592,ASSORTMENT PALLET,0,0,0
593,0,0,0,4-WAY
594,0,0,0,4-WAY
595,0,0,0,4-WAY
596,0,0,0,4-WAY
598,ASSORTMENT PALLET,MILK PALLET,0,0
599,ASSORTMENT PALLET,0,0,0
600,ASSORTMENT PALLET,0,0,0
601,0,0,0,4-WAY
602,0,0,0,4-WAY
603,ASSORTMENT PALLET,0,0,4-WAY
604,ASSORTMENT PALLET,0,0,0
605,0,0,0,4-WAY
606,0,0,0,4-WAY
607,0,0,0,4-WAY
608,ASSORTMENT PALLET,0,0,0
609,ASSORTMENT PALLET,0,0,0
610,0,0,0,4-WAY
611,ASSORTMENT PALLET,0,0,0
612,0,0,0,4-WAY
613,0,0,0,4-WAY
614,ASSORTMENT PALLET,0,0,0
615,0,0,0,4-WAY
616,0,0,0,4-WAY
617,0,0,0,4-WAY
618,ASSORTMENT PALLET,0,0,0
619,0,0,0,4-WAY
620,ASSORTMENT PALLET,0,0,0
621,0,0,0,4-WAY
622,ASSORTMENT PALLET,0,0,0
623,0,0,0,4-WAY
624,0,0,0,4-WAY
625,0,0,0,4-WAY
626,0,0,0,4-WAY
627,0,0,0,4-WAY
628,0,0,0,4-WAY
629,0,0,0,4-WAY
630,0,0,0,4-WAY
631,ASSORTMENT PALLET,0,0,0
632,ASSORTMENT PALLET,0,0,0
633,ASSORTMENT PALLET,0,0,0
634,0,0,0,4-WAY
635,0,0,Summer Seasonal Aisle,4-WAY
636,ASSORTMENT PALLET,0,0,0
637,ASSORTMENT PALLET,0,0,0
638,0,0,0,4-WAY
639,0,0,0,4-WAY
640,0,0,0,4-WAY
641,0,0,0,4-WAY
642,0,0,0,4-WAY
643,ASSORTMENT PALLET,0,0,0
644,0,0,0,4-WAY
645,ASSORTMENT PALLET,MILK PALLET,0,0
646,ASSORTMENT PALLET,0,0,0
647,ASSORTMENT PALLET,0,0,0
648,ASSORTMENT PALLET,0,0,0
649,0,0,0,4-WAY
651,0,0,0,4-WAY
652,ASSORTMENT PALLET,0,0,0
653,ASSORTMENT PALLET,0,0,0
655,0,0,0,4-WAY
656,0,0,0,4-WAY
657,0,0,0,4-WAY
658,0,0,0,4-WAY
659,0,0,Summer Seasonal Aisle,4-WAY
660,ASSORTMENT PALLET,0,0,0
661,ASSORTMENT PALLET,0,0,0
662,0,0,0,4-WAY
663,ASSORTMENT PALLET,0,0,0
664,ASSORTMENT PALLET,0,0,0
665,ASSORTMENT PALLET,0,0,0
666,0,0,0,4-WAY
667,ASSORTMENT PALLET,0,0,0
668,ASSORTMENT PALLET,0,0,0
669,0,0,0,4-WAY
670,0,0,0,4-WAY
671,ASSORTMENT PALLET,0,0,0
672,ASSORTMENT PALLET,0,Summer Seasonal Aisle,0
673,ASSORTMENT PALLET,0,0,0
674,ASSORTMENT PALLET,0,0,0
675,ASSORTMENT PALLET,0,0,0
676,0,0,0,4-WAY
677,ASSORTMENT PALLET,0,0,0
678,ASSORTMENT PALLET,0,0,0
680,ASSORTMENT PALLET,0,0,0
681,0,0,0,4-WAY
682,0,0,Summer Seasonal Aisle,4-WAY
683,ASSORTMENT PALLET,0,0,0
684,ASSORTMENT PALLET,0,0,0
685,ASSORTMENT PALLET,0,0,0
686,0,0,0,4-WAY
687,ASSORTMENT PALLET,0,0,0
688,0,0,0,4-WAY
689,ASSORTMENT PALLET,0,0,0
690,ASSORTMENT PALLET,0,0,0
691,ASSORTMENT PALLET,0,0,0
692,ASSORTMENT PALLET,0,0,4-WAY
693,0,0,0,4-WAY
694,0,0,0,4-WAY
695,ASSORTMENT PALLET,0,0,0
696,0,0,0,4-WAY
697,ASSORTMENT PALLET,0,0,0
698,ASSORTMENT PALLET,0,0,0
699,0,0,0,4-WAY
700,0,0,0,4-WAY
701,ASSORTMENT PALLET,0,0,0
702,ASSORTMENT PALLET,0,0,4-WAY
703,0,0,0,4-WAY
705,0,0,0,4-WAY
706,0,0,0,4-WAY
707,0,0,0,4-WAY
708,0,0,0,4-WAY
709,ASSORTMENT PALLET,0,0,0
710,0,0,0,4-WAY
711,ASSORTMENT PALLET,0,0,0
712,ASSORTMENT PALLET,0,0,0
713,0,0,0,4-WAY
714,0,0,0,4-WAY
715,0,0,0,4-WAY
716,0,0,0,4-WAY
718,ASSORTMENT PALLET,0,0,4-WAY
719,ASSORTMENT PALLET,0,0,0
720,ASSORTMENT PALLET,0,0,0
721,ASSORTMENT PALLET,0,0,0
722,0,0,0,4-WAY
723,0,0,0,4-WAY
724,ASSORTMENT PALLET,0,0,0
725,0,0,0,4-WAY
726,0,0,0,4-WAY
727,0,0,0,4-WAY
728,0,0,0,4-WAY
729,ASSORTMENT PALLET,0,0,4-WAY
730,0,0,0,4-WAY
731,0,0,0,4-WAY
733,0,0,0,4-WAY
734,0,0,0,4-WAY
735,0,0,0,4-WAY
736,0,0,0,4-WAY
737,0,0,0,4-WAY
738,0,0,0,4-WAY
739,ASSORTMENT PALLET,0,0,0
740,0,0,0,4-WAY
741,ASSORTMENT PALLET,0,0,0
742,ASSORTMENT PALLET,0,0,0
743,0,0,0,4-WAY
744,0,0,0,4-WAY
745,0,0,Summer Seasonal Aisle,4-WAY
746,0,0,0,4-WAY
748,ASSORTMENT PALLET,0,0,0
749,ASSORTMENT PALLET,MILK PALLET,0,0
750,ASSORTMENT PALLET,MILK PALLET,0,0
751,ASSORTMENT PALLET,0,0,0
752,0,0,0,4-WAY
753,ASSORTMENT PALLET,MILK PALLET,0,0
754,0,0,0,4-WAY
755,ASSORTMENT PALLET,0,0,0
756,0,0,0,4-WAY
757,0,0,0,4-WAY
758,0,0,0,4-WAY
759,0,0,0,4-WAY
760,0,0,0,4-WAY
761,0,0,0,4-WAY
762,0,0,0,4-WAY
764,0,0,0,4-WAY
765,0,0,0,4-WAY
766,0,0,0,4-WAY
767,ASSORTMENT PALLET,0,0,0
768,0,0,0,4-WAY
769,0,0,Summer Seasonal Aisle,4-WAY
770,ASSORTMENT PALLET,0,0,0
771,0,0,Summer Seasonal Aisle,4-WAY
772,0,0,0,4-WAY
773,0,0,0,4-WAY
774,ASSORTMENT PALLET,MILK PALLET,Summer Seasonal Aisle,0
775,ASSORTMENT PALLET,0,0,0
776,ASSORTMENT PALLET,0,0,0
777,0,0,0,4-WAY
778,0,0,0,4-WAY
779,ASSORTMENT PALLET,0,0,0
780,0,0,0,4-WAY
781,0,0,0,4-WAY
782,0,0,0,4-WAY
783,0,0,0,4-WAY
784,ASSORTMENT PALLET,0,0,0
785,0,0,0,4-WAY
786,ASSORTMENT PALLET,0,0,0
787,0,0,0,4-WAY
788,ASSORTMENT PALLET,0,0,0
789,ASSORTMENT PALLET,0,0,0
790,ASSORTMENT PALLET,MILK PALLET,0,0
791,0,0,0,4-WAY
792,0,0,0,4-WAY
793,0,0,0,4-WAY
794,ASSORTMENT PALLET,0,0,4-WAY
795,0,0,0,4-WAY
796,ASSORTMENT PALLET,MILK PALLET,0,0
797,ASSORTMENT PALLET,0,0,0
798,ASSORTMENT PALLET,0,0,0
799,0,0,0,4-WAY
800,0,0,0,4-WAY
801,ASSORTMENT PALLET,0,0,0
802,ASSORTMENT PALLET,0,0,0
803,0,0,0,4-WAY
804,0,0,0,4-WAY
805,ASSORTMENT PALLET,0,0,0
806,ASSORTMENT PALLET,0,0,0
807,0,0,Summer Seasonal Aisle,4-WAY
808,0,0,0,4-WAY
809,ASSORTMENT PALLET,0,0,0
810,ASSORTMENT PALLET,MILK PALLET,0,0
811,0,0,0,4-WAY
812,0,0,0,4-WAY
813,ASSORTMENT PALLET,0,0,0
814,0,0,0,4-WAY
815,ASSORTMENT PALLET,0,0,4-WAY
816,0,0,0,4-WAY
817,0,0,0,4-WAY
818,0,0,0,4-WAY
