Old Item ,New Item Number
980169104,"971034361 RBK 4PKPERBB P16 S
971034357 4PK PERF BOXER BRIEF
971034354 4PK PERF BOXER BRIEF
971034349 4PK PERF BOXER BRIEF
971034347 4PK PERF BOXER BRIEF
971034346 4PK PERF BOXER BRIEF
980295102 RBK 4PKPERBB P19 S
980295092 RBK 4PKPERBB P17 S
980189500 PRFM BB BBB S
971034364 RBK 4PKPERBB P16 S
971034362 RBK 4PKPERBB P16 S
971034358 4PK PERF BOXER BRIEF
971034356 4PK PERF BOXER BRIEF
971034355 4PK PERF BOXER BRIEF
971034353 4PK PERF BOXER BRIEF
971034352 4PK PERF BOXER BRIEF
971034350 4PK PERF BOXER BRIEF
971034348 4PK PERF BOXER BRIEF
971034345 4PK PERF BOXER BRIEF
980295097 RBK 4PKPERBB P18 S
980295087 RBK 4PKPERBB P16 S
971034363 RBK 4PKPERBB P16 S
971034359 4PK PERF BOXER BRIEF
971034351 4PK PERF BOXER BRIEF"
980169107,"971034374 4PK PERF BOXER BRIEF
980295094 RBK 4PKPERBB P17 L
971034371 4PK PERF BOXER BRIEF
971034372 4PK PERF BOXER BRIEF
980189502 PRFM BB BBB L
971034391 RBK 4PKPERBB P16 S
971034389 RBK 4PKPERBB P16 S
971034387 PDQ (CASE) UPC
971034385 4PK PERF BOXER BRIEF
971034383 4PK PERF BOXER BRIEF
971034382 4PK PERF BOXER BRIEF
971034380 4PK PERF BOXER BRIEF
971034379 4PK PERF BOXER BRIEF
971034377 4PK PERF BOXER BRIEF
971034375 4PK PERF BOXER BRIEF
971034373 4PK PERF BOXER BRIEF
980295099 RBK 4PKPERBB P18 L
980189512 PRFM BB BGBG L
971034390 RBK 4PKPERBB P16 S
971034388 RBK 4PKPERBB P16 S
971034386 4PK PERF BOXER BRIEF
971034384 4PK PERF BOXER BRIEF
971034381 4PK PERF BOXER BRIEF
971034378 4PK PERF BOXER BRIEF
971034376 4PK PERF BOXER BRIEF
980295104 RBK 4PKPERBB P19 L"
980169108,"971020357 4PK PERF BOXER BRIEF
980295095 RBK 4PKPERBB P17 XL
971034394 RBK 4PKPERBB P16 S
971020368 4PK PERF BOXER BRIEF
971020366 4PK PERF BOXER BRIEF
971020365 4PK PERF BOXER BRIEF
971020363 4PK PERF BOXER BRIEF
971020360 4PK PERF BOXER BRIEF
971020358 4PK PERF BOXER BRIEF
971020356 4PK PERF BOXER BRIEF
971020354 4PK PERF BOXER BRIEF
980295100 RBK 4PKPERBB P18 XL
980295090 RBK 4PKPERBB P16 XL
971034396 RBK 4PKPERBB P16 S
971034395 RBK 4PKPERBB P16 S
971034393 RBK 4PKPERBB P16 S
971020369 4PK PERF BOXER BRIEF
971020367 4PK PERF BOXER BRIEF
971020364 4PK PERF BOXER BRIEF
971020362 4PK PERF BOXER BRIEF
971020361 4PK PERF BOXER BRIEF
971020359 4PK PERF BOXER BRIEF
971020355 4PK PERF BOXER BRIEF
980295105 RBK 4PKPERBB P19 XL
980272852 4PK BB BL/MAG XL
980189503 PRFM BB BBB XL"
980169109,"980273075 4PK BB BLK XXL
971034399 RBK 4PKPERBB P16 S
971020384 4PK PERF BOXER BRIEF
971020382 4PK PERF BOXER BRIEF
971020379 4PK PERF BOXER BRIEF
971020376 4PK PERF BOXER BRIEF
971020374 4PK PERF BOXER BRIEF
971020371 4PK PERF BOXER BRIEF
980295101 RBK 4PKPERBB P18 XXL
980295091 RBK 4PKPERBB P16 XXL
971034401 RBK 4PKPERBB P16 S
971034400 RBK 4PKPERBB P16 S
971034398 RBK 4PKPERBB P16 S
971020386 4PK PERF BOXER BRIEF
971020385 4PK PERF BOXER BRIEF
971020383 4PK PERF BOXER BRIEF
971020381 4PK PERF BOXER BRIEF
971020380 4PK PERF BOXER BRIEF
971020378 4PK PERF BOXER BRIEF
971020377 4PK PERF BOXER BRIEF
971020375 4PK PERF BOXER BRIEF
971020373 4PK PERF BOXER BRIEF
971020372 4PK PERF BOXER BRIEF
980295106 RBK 4PKPERBB P19 XXL
980295096 RBK 4PKPERBB P17 XXL
980189504 4PK PERF BB"
980437602,"971034407 4PK KNIT BOXER
971034406 4PK KNIT BOXER
990296358 4PK KNIT BOXER
990296353 4PK KNIT BOXER"
980437603,"971034411 4PK KNIT BOXER
971034408 4PK KNIT BOXER
971034410 4PK KNIT BOXER
990296359 4PK KNIT BOXER
990296354 4PK KNIT BOXER"
980437604,"971034415 4PK KNIT BOXER
971034412 4PK KNIT BOXER
971034414 4PK KNIT BOXER
990296360 4PK KNIT BOXER
990296355 4PK KNIT BOXER"
980437605,"971034419 4PK KNIT BOXER
971034416 4PK KNIT BOXER
971034418 4PK KNIT BOXER
990296361 4PK KNIT BOXER
990296356 4PK KNIT BOXER"
980437606,"971034423 4PK KNIT BOXER
971034422 4PK KNIT BOXER
971034420 4PK KNIT BOXER
990296362 4PK KNIT BOXER
990296357 4PK KNIT BOXER"
984218813,"990375609 5PK SEAMLESS HIPSTER
990375613 5PK SEAMLESS HIPSTER
990375605 5PK SEAMLESS HIPSTER"
984218822,"990375611 5PK SEAMLESS HIPSTER
990375604 5PK SEAMLESS HIPSTER
990375606 5PK SEAMLESS HIPSTER"
984218828,"990375616 5PK SEAMLESS HIPSTER
990375607 5PK SEAMLESS HIPSTER
990375602 5PK SEAMLESS HIPSTER"
984218830,"990375614 5PK SEAMLESS HIPSTER
990375601 5PK SEAMLESS HIPSTER
990375608 5PK SEAMLESS HIPSTER"
984218835,"990375615 5PK SEAMLESS HIPSTER
990375610 5PK SEAMLESS HIPSTER
990375600 5PK SEAMLESS HIPSTER"
980431817,"990358523 5PK BRIEF
990358530 5PK BRIEF
990037380 5PK GIRLS BRIEF
990037363 5PK GIRLS BRIEF
990037370 5PK GIRLS BRIEF
990037375 5PK GIRLS BRIEF
990037365 5PK GIRLS BRIEF
990037379 5PK GIRLS BRIEF
990037372 5PK GIRLS BRIEF
990037367 5PK GIRLS BRIEF
990037364 5PK GIRLS BRIEF
990037368 5PK GIRLS BRIEF
990037373 5PK GIRLS BRIEF
980431817 5PK GIRLS BRIEF
990037376 5PK GIRLS BRIEF
990358527 5PK BRIEF
990358537 5PK BRIEF
990358544 5PK BRIEF
990358512 5PK BRIEF
990358507 5PK BRIEF
990358510 5PK BRIEF
990358520 5PK BRIEF
990358516 5PK BRIEF
990358518 5PK BRIEF
990358528 5PK BRIEF
990358525 5PK BRIEF
990358536 5PK BRIEF
990358531 5PK BRIEF
990358534 5PK BRIEF
990358515 5PK BRIEF
990358546 5PK BRIEF
990358541 5PK BRIEF"
980431819,"990358502 4PK BOXER BRIEF
990037293 4PK BOY BOXER BRIEF
990037302 4PK BOY BOXER BRIEF
980431819 4PK BOYS BOXER BRIEF
990037297 4PK BOY BOXER BRIEF
990035571 4PK BOY BOXER BRIEF
990036009 4PK BOY BOXER BRIEF
990037304 4PK BOY BOXER BRIEF
990036414 4PK BOY BOXER BRIEF
990037301 4PK BOY BOXER BRIEF
990037296 4PK BOY BOXER BRIEF
990037299 4PK BOY BOXER BRIEF
990037300 4PK BOY BOXER BRIEF
990358472 4PK BOXER BRIEF
990358468 4PK BOXER BRIEF
990358471 4PK BOXER BRIEF
990358474 4PK BOXER BRIEF
990359512 4PK BOXER BRIEF
990359510 4PK BOXER BRIEF
990359511 4PK BOXER BRIEF
990358486 4PK BOXER BRIEF
990358483 4PK BOXER BRIEF
990358485 4PK BOXER BRIEF
990358494 4PK BOXER BRIEF
990358491 4PK BOXER BRIEF
990358492 4PK BOXER BRIEF
990358504 4PK BOXER BRIEF
990358479 4PK BOXER BRIEF
990358505 4PK BOXER BRIEF
990037292 4PK BOY BOXER BRIEF"
