CLUB,ITEM #,CASES,22-Jun,24-Jun,26-Jun,28-Jun,30-Jun
4818,304626,172,26,34,34,34,44
4820,304626,161,24,32,32,32,41
4828,304626,121,18,24,24,24,31
4852,304626,101,15,20,20,20,26
4857,304626,142,21,28,28,28,37
4861,304626,187,28,37,37,37,48
4972,304626,127,19,25,25,25,33
4991,304626,106,16,21,21,21,27
4998,304626,112,17,22,22,22,29
6189,304626,130,19,26,26,26,33
6204,304626,121,18,24,24,24,31
6212,304626,147,22,29,29,29,38
6217,304626,181,27,36,36,36,46
6218,304626,192,29,38,38,38,49
6335,304626,152,23,30,30,30,39
6341,304626,101,15,20,20,20,26
6363,304626,222,33,44,44,44,57
6364,304626,104,15,21,21,21,26
6387,304626,121,18,24,24,24,31
6401,304626,141,21,28,28,28,36
6403,304626,190,28,38,38,38,48
6420,304626,125,18,25,25,25,32
6441,304626,99,14,20,20,20,25
6445,304626,79,11,16,16,16,20
6448,304626,123,18,25,25,25,30
6520,304626,132,19,27,27,27,32
6582,304626,123,18,25,25,25,30
6637,304626,92,13,19,19,19,22
7658,304626,85,12,17,17,17,22
8116,304626,169,25,34,34,34,42
8120,304626,183,27,37,37,37,45
8130,304626,163,24,33,33,33,40
8138,304626,198,29,40,40,40,49
8141,304626,80,12,16,16,16,20
8150,304626,117,17,24,24,24,28
8155,304626,218,32,44,44,44,54
8157,304626,328,49,66,66,66,81
8173,304626,208,31,42,42,42,51
8201,304626,223,33,45,45,45,55
8202,304626,254,38,51,51,51,63
8252,304626,194,29,39,39,39,48
8253,304626,203,30,41,41,41,50
8290,304626,119,18,24,24,24,29
4755,304626,105,30,40,35,0,0
6410,304626,90,30,30,30,0,0
4732,304626,44,6,9,9,9,11
4768,304626,51,8,10,10,10,13
4829,304626,41,6,8,8,8,11
4830,304626,101,14,20,21,21,25
4915,304626,20,3,4,4,4,5
4955,304626,40,6,8,8,8,10
4974,304626,99,14,20,20,20,25
4983,304626,88,12,18,18,17,23
6205,304626,44,7,9,8,9,11
6213,304626,45,7,9,8,9,12
6257,304626,68,10,13,14,14,17
6261,304626,64,9,13,13,13,16
6382,304626,65,10,13,13,13,16
6604,304626,92,14,17,19,19,23
6605,304626,44,6,9,9,9,11
6606,304626,69,10,14,14,14,17
6608,304626,35,5,7,7,7,9
6692,304626,73,11,14,15,14,19
8177,304626,64,10,12,14,12,16
4704,984170947,67,11,13,13,13,17
4709,984170947,61,10,12,12,12,15
4735,984170947,71,11,14,14,14,18
4767,984170947,84,12,17,17,17,21
4799,984170947,62,10,12,12,12,16
4819,984170947,89,13,18,18,18,22
4822,984170947,84,12,17,17,17,21
4824,984170947,37,6,7,7,8,9
6235,984170947,62,10,12,12,12,16
6240,984170947,61,9,12,12,13,15
6378,984170947,100,15,20,20,20,25
6405,984170947,64,9,13,13,13,16
6433,984170947,45,6,9,9,10,11
6455,984170947,60,9,12,12,12,15
6609,984170947,40,6,8,8,8,10
6610,984170947,54,8,11,11,11,13
6612,984170947,61,9,12,12,12,16
6613,984170947,68,11,13,13,13,18
6614,984170947,86,13,17,17,17,22
6615,984170947,64,9,13,13,13,16
6616,984170947,55,8,11,11,11,14
6617,984170947,149,23,30,30,30,36
6619,984170947,75,11,15,15,15,19
6620,984170947,43,6,9,9,9,10
6621,984170947,62,9,13,13,12,15
6622,984170947,84,13,17,17,16,21
6624,984170947,77,11,16,16,15,19
6626,984170947,69,10,14,14,14,17
6628,984170947,66,10,13,13,13,17
4778,304626,64,9,13,13,13,16
4781,304626,60,9,12,12,12,15
4944,304626,67,10,13,13,13,18
4982,304626,34,4,7,7,7,9
6313,304626,116,17,23,23,23,30
6315,304626,56,8,11,11,11,15
6319,304626,55,8,11,11,11,14
6359,304626,42,6,8,8,8,12
6412,304626,75,11,15,15,15,19
6417,304626,52,8,10,10,10,14
6419,304626,34,4,7,7,7,9
6424,304626,45,6,9,9,9,12
6429,304626,33,4,7,7,7,8
6454,304626,125,18,25,25,25,32
6562,304626,53,8,10,10,10,15
6657,304626,39,5,8,8,8,10
6658,304626,39,5,8,8,8,10
6659,304626,87,13,17,17,17,23
6660,304626,34,4,7,7,7,9
6661,304626,33,5,6,6,6,10
6662,304626,101,15,20,20,20,26
6663,304626,37,6,7,7,7,10
6664,304626,52,8,10,10,10,14
6666,304626,81,12,16,16,16,21
6667,304626,46,7,9,9,9,12
8139,304626,72,11,14,14,14,19
8174,304626,101,15,20,20,20,26
8291,304626,86,13,17,17,17,22
4775,304626,130,19,26,26,26,33
4790,304626,255,38,51,51,51,64
4837,304626,75,10,15,15,15,20
4871,304626,99,14,20,20,20,25
4874,304626,52,7,10,10,10,15
4990,304626,139,20,28,28,28,35
6220,304626,70,10,14,14,14,18
6329,304626,56,8,11,11,11,15
6361,304626,115,17,23,23,23,29
6503,304626,104,15,21,21,21,26
6521,304626,50,6,10,10,10,14
6527,304626,90,13,18,18,18,23
8102,304626,213,31,43,43,43,53
8114,304626,70,10,14,14,14,18
8119,304626,215,32,43,43,43,54
8151,304626,110,16,22,22,22,28
8181,304626,95,14,19,19,19,24
8221,304626,120,18,24,24,24,30
8236,304626,113,16,23,23,23,28
8237,304626,148,21,30,30,30,37
8261,304626,104,15,21,21,21,26
8265,304626,89,13,18,18,18,22
8271,304626,253,37,51,51,51,63
4707,304626,59,8,12,12,12,15
4749,304626,59,8,12,12,12,15
4808,304626,70,10,14,14,14,18
4870,304626,149,22,30,30,30,37
4873,304626,51,7,10,10,10,14
4920,304626,50,7,10,10,10,13
4969,304626,98,14,20,20,20,24
4985,304626,60,9,12,12,12,15
6181,304626,53,8,10,10,10,15
6247,304626,51,7,10,10,10,14
6275,304626,53,8,10,10,10,15
6413,304626,51,7,10,10,10,14
6415,304626,70,10,14,14,14,18
6418,304626,116,17,23,23,23,30
6426,304626,51,7,10,10,10,14
6461,304626,51,7,10,10,10,14
6472,304626,61,9,12,12,12,16
8104,304626,166,25,33,33,33,42
8176,304626,77,12,15,15,15,20
8207,304626,92,14,18,18,18,24
8208,304626,81,12,16,16,16,21
8209,304626,49,6,10,10,10,13
8243,304626,104,15,21,21,21,26
8254,304626,99,14,20,20,20,25
8266,304626,119,17,24,24,24,30
8293,304626,135,20,27,27,27,34
8296,304626,58,8,12,12,12,14
4710,304626,81,11,16,16,16,22
4711,304626,113,16,23,23,23,28
4797,304626,79,11,16,16,16,20
4798,304626,79,11,16,16,16,20
4831,304626,110,16,22,22,22,28
4917,304626,49,6,10,10,10,13
4946,304626,115,17,23,23,23,29
4996,304626,45,6,9,9,9,12
6216,304626,54,7,11,11,11,14
6236,304626,98,14,20,20,20,24
6343,304626,58,8,12,12,12,14
6348,304626,84,12,17,17,17,21
6351,304626,85,12,17,17,17,22
6353,304626,98,14,20,20,20,24
6354,304626,75,11,15,15,15,19
6355,304626,113,16,23,23,23,28
6365,304626,75,11,15,15,15,19
6368,304626,84,12,17,17,17,21
6402,304626,139,20,28,28,28,35
6414,304626,109,16,22,22,22,27
6443,304626,70,10,14,14,14,18
6452,304626,66,9,13,13,13,18
6458,304626,45,6,9,9,9,12
6518,304626,41,5,8,8,8,12
6524,304626,138,20,28,28,28,34
6540,304626,104,15,21,21,21,26
6570,304626,95,14,19,19,19,24
6571,304626,179,26,36,36,36,45
6573,304626,76,11,15,15,15,20
6976,304626,85,12,17,17,17,22
8129,304626,56,8,11,11,11,15
8218,304626,144,21,29,29,29,36
8219,304626,119,17,24,24,24,30
8220,304626,71,10,14,14,14,19
8222,304626,56,8,11,11,11,15
8223,304626,81,12,16,16,16,21
8228,304626,89,12,18,18,18,23
4774,304626,143,21,29,29,29,35
6201,304626,52,7,11,11,11,12
6333,304626,60,9,12,12,12,15
6352,304626,70,10,14,14,14,18
6356,304626,112,17,22,22,22,29
6366,304626,55,8,11,11,11,14
6369,304626,180,27,36,36,36,45
6386,304626,45,6,9,9,9,12
6423,304626,80,12,16,16,16,20
6428,304626,114,17,23,23,23,28
6431,304626,44,6,9,9,9,11
6440,304626,52,8,10,10,10,14
6456,304626,44,6,9,9,9,11
6462,304626,44,6,9,9,9,11
6539,304626,49,7,10,10,10,12
6636,304626,106,16,21,21,21,27
6671,304626,95,14,19,19,19,24
6673,304626,88,12,18,18,18,22
6674,304626,160,24,32,32,32,40
8186,304626,76,11,15,15,15,20
4736,304626,71,11,14,14,14,18
4738,304626,61,9,12,12,12,16
4787,304626,101,15,20,20,20,26
4933,304626,82,12,16,16,16,22
6254,304626,111,17,22,22,22,28
6309,304626,220,33,44,44,44,55
6310,304626,175,26,35,35,35,44
6311,304626,75,11,15,15,15,19
6312,304626,120,18,24,24,24,30
6320,304626,44,6,9,9,9,11
6344,304626,76,12,15,15,15,19
6385,304626,51,8,10,10,10,13
6427,304626,49,7,10,10,10,12
6432,304626,42,6,8,8,8,12
6436,304626,42,6,8,8,8,12
6510,304626,54,8,11,11,11,13
6514,304626,36,5,7,7,7,10
6535,304626,46,7,9,9,9,12
6568,304626,42,6,8,8,8,12
6979,304626,74,11,15,15,15,18
8146,304626,76,12,15,15,15,19
8165,304626,94,14,19,19,19,23
8172,304626,109,16,22,22,22,27
8183,304626,69,10,14,14,14,17
8185,304626,42,6,8,8,8,12
4724,304626,120,17,24,24,24,31
4739,304626,165,24,33,33,33,42
4776,304626,185,27,37,37,37,47
4780,304626,74,10,15,15,15,19
4789,304626,141,21,28,28,28,36
4802,304626,110,16,22,22,22,28
4804,304626,226,33,45,45,45,58
4817,304626,208,30,42,42,42,52
4836,304626,76,10,16,16,16,18
4872,304626,114,16,23,23,23,29
4879,304626,105,15,21,21,21,27
4901,304626,88,12,18,18,18,22
4950,304626,68,8,14,14,14,18
4989,304626,109,15,22,22,22,28
6203,304626,105,15,21,21,21,27
6409,304626,230,34,46,46,46,58
6435,304626,101,15,20,20,20,26
6463,304626,76,10,15,15,15,21
6506,304626,100,14,20,20,20,26
6509,304626,61,8,12,12,12,17
6572,304626,85,12,17,17,17,22
6643,304626,85,12,17,17,17,22
6644,304626,77,11,15,15,15,21
6646,304626,60,8,12,12,12,16
8106,304626,165,24,33,33,33,42
8107,304626,75,10,15,15,15,20
8112,304626,134,19,27,27,27,34
8115,304626,225,33,45,45,45,57
8142,304626,100,14,20,20,20,26
8158,304626,67,9,13,13,13,19
8166,304626,85,12,17,17,17,22
8192,304626,74,10,15,15,15,19
8194,304626,100,14,20,20,20,26
8196,304626,66,9,13,13,13,18
8203,304626,106,15,21,21,21,28
8211,304626,157,23,31,31,31,41
8213,304626,166,24,33,33,33,43
8225,304626,192,28,38,38,38,50
8247,304626,176,26,35,35,35,45
8256,304626,70,9,14,14,14,19
8278,304626,84,11,17,17,17,22
8283,304626,112,16,22,22,22,30
8287,304626,306,45,61,61,61,78
4740,304626,265,39,53,53,53,67
4741,304626,45,6,9,9,9,12
4851,304626,76,11,15,15,15,20
4875,304626,70,10,14,14,14,18
4876,304626,50,7,10,10,10,13
4878,304626,60,8,12,12,12,16
4908,304626,33,4,6,6,6,11
4926,304626,51,7,10,10,10,14
4930,304626,40,5,8,8,8,11
4992,304626,46,6,9,9,9,13
6249,304626,71,10,14,14,14,19
6252,304626,46,6,9,9,9,13
6256,304626,159,23,32,32,32,40
6260,304626,90,13,18,18,18,23
6304,304626,159,23,32,32,32,40
6325,304626,90,13,18,18,18,23
6334,304626,42,5,8,8,8,13
6377,304626,57,8,11,11,11,16
6437,304626,37,5,7,7,7,11
6449,304626,50,7,10,10,10,13
6474,304626,134,19,27,27,27,34
6479,304626,41,5,8,8,8,12
6501,304626,81,11,16,16,16,22
6505,304626,38,5,7,7,7,12
6507,304626,77,11,15,15,15,21
6512,304626,122,18,24,24,24,32
8123,304626,81,11,16,16,16,22
8125,304626,172,25,34,34,34,45
8135,304626,37,4,7,7,7,12
8163,304626,62,8,12,12,12,18
8168,304626,153,22,31,31,31,38
8169,304626,61,8,12,12,12,17
8180,304626,50,6,10,10,10,14
8182,304626,49,6,10,10,10,13
8197,304626,86,12,17,17,17,23
8205,304626,63,8,13,13,13,16
8251,304626,89,12,18,18,18,23
8257,304626,96,14,19,19,19,25
8276,304626,150,22,30,30,30,38
8285,304626,119,17,24,24,24,30
8292,304626,151,22,30,30,30,39
8294,304626,150,22,30,30,30,38
4703,304626,71,12,14,14,14,17
4731,304626,77,12,15,15,15,20
4761,304626,75,12,15,15,15,18
4791,304626,60,10,12,12,12,14
4839,304626,123,18,25,25,25,30
4938,304626,76,12,15,15,15,19
4961,304626,51,8,10,10,10,13
6238,304626,83,12,17,17,17,20
6267,304626,91,14,18,18,18,23
6342,304626,105,16,21,21,21,26
6408,304626,60,10,12,12,12,14
6672,304626,80,12,16,16,16,20
6779,304626,79,12,16,16,16,19
7189,304626,106,16,21,21,21,27
7676,304626,99,15,20,20,20,24
8117,304626,87,12,18,18,18,21
8134,304626,91,14,18,18,18,23
8224,304626,61,10,12,12,12,15
8239,304626,91,14,18,18,18,23
8241,304626,140,21,28,28,28,35
8263,304626,132,21,26,26,26,33
8270,304626,96,15,19,19,19,24
8279,304626,93,14,19,19,19,22
8289,304626,103,18,20,20,20,25
4722,304626,108,17,21,21,21,28
4771,304626,75,11,15,15,15,19
4855,304626,40,6,8,8,8,10
4994,304626,35,5,7,7,7,9
6239,304626,46,7,9,9,9,12
6330,304626,89,13,18,18,18,22
6332,304626,89,13,18,18,18,22
6383,304626,89,13,18,18,18,22
6536,304626,111,17,22,22,22,28
6547,304626,31,5,6,6,6,8
6567,304626,49,7,10,10,10,12
6581,304626,55,8,11,11,11,14
6650,304626,76,12,15,15,15,19
6651,304626,95,14,19,19,19,24
6670,304626,86,13,17,17,17,22
6676,304626,95,14,19,19,19,24
6693,304626,55,8,11,11,11,14
8144,304626,121,18,24,24,24,31
8145,304626,113,17,23,23,23,27
8160,304626,66,10,13,13,13,17
8161,304626,41,6,8,8,8,11
8175,304626,51,8,10,10,10,13
8191,304626,66,10,13,13,13,17
4815,304626,62,10,12,12,12,16
4840,304626,57,10,11,11,11,14
4942,304626,69,10,14,14,14,17
4973,304626,39,5,8,8,8,10
4999,304626,44,7,9,9,9,10
6228,304626,41,7,8,8,8,10
6321,304626,60,10,12,12,12,14
6324,304626,223,32,45,45,45,56
6328,304626,93,13,19,19,19,23
6331,304626,73,10,15,15,15,18
6339,304626,44,7,9,9,9,10
6349,304626,172,24,35,35,35,43
6358,304626,112,18,22,22,22,28
6384,304626,60,10,12,12,12,14
6388,304626,93,13,19,19,19,23
6444,304626,56,10,11,11,11,13
6464,304626,49,7,10,10,10,12
6485,304626,109,15,22,22,22,28
6487,304626,49,7,10,10,10,12
6489,304626,252,36,51,51,51,63
8128,304626,91,15,18,18,18,22
8149,304626,64,10,13,13,13,15
8162,304626,72,12,14,14,14,18
8164,304626,67,12,13,13,13,16
8167,304626,99,15,20,20,20,24
8184,304626,99,15,20,20,20,24
8215,304626,61,10,12,12,12,15
8238,304626,92,15,18,18,18,23
8297,304626,142,20,29,29,29,35
8298,304626,96,15,19,19,19,24
4109,304626,92,14,18,18,18,24
4702,304626,61,9,12,12,12,16
4712,304626,39,6,7,7,7,12
4713,304626,48,7,9,9,9,14
4720,304626,39,6,7,7,7,12
4721,304626,66,10,13,13,13,17
4742,304626,112,17,22,22,22,29
4743,304626,38,5,7,7,7,12
4763,304626,67,10,13,13,13,18
4764,304626,87,13,17,17,17,23
4769,304626,48,7,9,9,9,14
4783,304626,81,12,16,16,16,21
4784,304626,47,7,9,9,9,13
4795,304626,42,6,8,8,8,12
4825,304626,72,11,14,14,14,19
4843,304626,106,16,21,21,21,27
4850,304626,42,6,8,8,8,12
4905,304626,66,10,13,13,13,17
4906,304626,51,7,10,10,10,14
4911,304626,92,14,18,18,18,24
4914,304626,37,6,7,7,7,10
4925,304626,6,1,1,1,1,2
4939,304626,61,9,12,12,12,16
4948,304626,32,5,6,6,6,9
4958,304626,45,6,9,9,9,12
6188,304626,41,6,8,8,8,11
6202,304626,32,5,6,6,6,9
6244,304626,81,12,16,16,16,21
6245,304626,112,17,22,22,22,29
6246,304626,45,6,9,9,9,12
6255,304626,41,6,8,8,8,11
6259,304626,76,11,15,15,15,20
6262,304626,56,8,11,11,11,15
6265,304626,50,7,10,10,10,13
6269,304626,75,11,15,15,15,19
6336,304626,50,7,10,10,10,13
6338,304626,47,7,9,9,9,13
6350,304626,107,16,21,21,21,28
6367,304626,105,15,21,21,21,27
6372,304626,46,7,9,9,9,12
6376,304626,50,7,10,10,10,13
6381,304626,56,8,11,11,11,15
6421,304626,61,9,12,12,12,16
6422,304626,66,10,13,13,13,17
6439,304626,86,13,17,17,17,22
6453,304626,66,10,13,13,13,17
6471,304626,67,10,13,13,13,18
6482,304626,216,32,43,43,43,55
6502,304626,41,6,8,8,8,11
6781,304626,47,7,9,9,9,13
6867,304626,37,6,7,7,7,10
8126,304626,32,5,6,6,6,9
8153,304626,41,6,8,8,8,11
8156,304626,36,5,7,7,7,10
8190,304626,62,9,12,12,12,17
8210,304626,90,13,18,18,18,23
8226,304626,44,6,9,9,9,11
8227,304626,61,9,12,12,12,16
8242,304626,96,14,19,19,19,25
8244,304626,52,8,10,10,10,14
8245,304626,81,12,16,16,16,21
8246,304626,86,13,17,17,17,22
8248,304626,77,11,15,15,15,21
8250,304626,50,7,10,10,10,13
8259,304626,61,9,12,12,12,16
8262,304626,66,9,13,13,13,18
8264,304626,61,9,12,12,12,16
8267,304626,70,10,14,14,14,18
8268,304626,87,13,17,17,17,23
8269,304626,165,24,33,33,33,42
8273,304626,180,27,36,36,36,45
8274,304626,85,12,17,17,17,22
8275,304626,85,12,17,17,17,22
8277,304626,64,9,13,13,13,16
8280,304626,59,8,12,12,12,15
8281,304626,77,12,15,15,15,20
8282,304626,261,39,52,52,52,66
8284,304626,96,14,19,19,19,25
8286,304626,84,12,17,17,17,21
8288,304626,76,11,15,15,15,20
8295,304626,56,7,12,12,12,13
8299,304626,38,4,8,8,8,10
4728,304626,50,6,10,10,10,14
4750,304626,85,12,17,17,17,22
4846,304626,111,16,22,22,22,29
4860,304626,30,3,6,6,6,9
4947,304626,35,4,7,7,7,10
4962,304626,45,6,9,9,9,12
4963,304626,35,4,7,7,7,10
6242,304626,48,6,10,10,10,12
6251,304626,49,6,10,10,10,13
6302,304626,154,22,31,31,31,39
6305,304626,159,23,32,32,32,40
6307,304626,79,11,16,16,16,20
6308,304626,60,8,12,12,12,16
6314,304626,96,14,19,19,19,25
6317,304626,74,10,15,15,15,19
6322,304626,65,9,13,13,13,17
6326,304626,85,12,17,17,17,22
6327,304626,54,7,11,11,11,14
6373,304626,48,6,10,10,10,12
6375,304626,56,8,11,11,11,15
6380,304626,65,9,13,13,13,17
6404,304626,74,10,15,15,15,19
6407,304626,40,5,8,8,8,11
6450,304626,65,9,13,13,13,17
6457,304626,40,5,8,8,8,11
6517,304626,44,5,9,9,9,12
6528,304626,33,3,7,7,7,9
6556,304626,44,6,9,9,9,11
6569,304626,25,3,5,5,5,7
6675,304626,60,8,12,12,12,16
8111,304626,56,8,11,11,11,15
8132,304626,76,11,15,15,15,20
8133,304626,42,5,9,9,9,10
8136,304626,38,4,8,8,8,10
8152,304626,45,6,9,9,9,12
8188,304626,71,10,14,14,14,19
8189,304626,50,6,10,10,10,14
