BU,store,Region,Market,Set Week
A,623,9,118,TBD
F,627,4,38,Week 1
F,631,4,35,TBD
F,644,4,39,Week 14
A,657,12,152,TBD
A,663,12,119,TBD
A,671,12,152,Week 14
A,675,11,146,Week 14
A,678,12,123,Week 1
A,680,12,123,Week 14
A,682,12,151,Week 1
A,690,12,124,Week 1
A,695,12,149,TBD
B,703,6,67,TBD
A,707,11,136,TBD
A,708,11,140,Week 1
E,709,41,256,Week 1
A,723,14,7,Week 14
A,724,12,123,Week 14
A,727,2,22,Week 14
A,737,12,151,Week 14
B,746,5,76,TBD
M,748,52,414,TBD
A,756,12,120,Week 14
A,771,9,92,TBD
B,773,13,134,TBD
M,776,47,432,Week 1
A,780,2,21,Week 14
B,782,7,88,Week 14
M,784,52,418,Week 1
A,787,2,19,Week 14
B,789,5,583,TBD
B,791,6,78,Week 1
B,793,7,70,TBD
M,797,52,418,TBD
E,801,40,360,Week 1
B,804,5,48,TBD
B,807,5,50,TBD
B,808,6,61,Week 1
A,811,9,118,Week 1
B,813,7,81,Week 1
E,815,40,336,Week 1
B,822,7,70,Week 14
B,826,46,375,Week 14
B,827,5,45,Week 1
E,833,41,271,Week 1
B,835,46,385,Week 1
E,854,21,246,Week 1
A,855,2,20,Week 14
A,856,2,22,Week 1
A,858,14,97,Week 14
B,861,7,71,Week 1
A,863,14,10,Week 1
M,867,47,429,Week 1
B,868,46,387,Week 1
B,873,46,375,Week 1
B,874,13,141,Week 14
A,876,42,127,Week 1
B,880,5,50,Box Original
F,881,4,41,Week 1
E,882,53,425,Week 1
B,887,13,141,Week 14
B,896,5,49,TBD
B,897,7,73,Week 14
A,903,11,140,TBD
A,930,14,8,Week 14
A,932,14,16,Week 1
B,939,5,76,TBD
B,940,5,479,TBD
A,944,14,15,TBD
A,952,3,27,Week 1
B,954,13,141,Week 1
B,963,5,48,TBD
B,972,5,479,TBD
E,982,53,425,TBD
E,995,41,251,Week 1
B,1000,6,569,TBD
E,1003,25,262,Week 14
M,1005,52,426,TBD
E,1007,53,438,TBD
E,1014,40,361,TBD
E,1021,40,339,Week 14
B,1022,5,45,TBD
A,1032,14,15,TBD
E,1038,53,425,Week 1
B,1042,6,85,Week 1
B,1044,5,45,TBD
A,1047,2,20,Week 14
E,1048,41,257,Week 1
B,1051,7,71,TBD
A,1052,11,11,TBD
B,1055,5,583,TBD
B,1056,44,353,Week 1
A,1061,3,28,Week 1
A,1065,42,325,Week 14
A,1069,11,138,Week 1
B,1073,7,81,Week 1
A,1076,2,32,Week 14
A,1080,12,124,Week 1
A,1081,3,93,Week 1
A,1084,9,91,Week 1
A,1100,11,137,Week 1
B,1106,13,141,TBD
A,1112,14,16,Week 14
E,1113,20,258,TBD
B,1117,5,51,TBD
B,1118,5,55,TBD
E,1120,40,360,Week 14
A,1122,2,18,Week 1
F,1123,4,35,Week 14
A,1124,11,137,TBD
B,1137,6,60,TBD
B,1150,6,85,Week 1
A,1153,2,32,Week 14
A,1158,14,2,Week 14
E,1160,41,243,Week 14
F,1164,4,41,Week 14
B,1178,5,50,TBD
A,1184,2,23,Week 1
A,1194,12,122,Week 1
B,1196,13,131,TBD
E,1202,53,439,TBD
B,1216,5,53,TBD
A,1223,14,97,TBD
A,1227,2,30,Week 14
B,1235,7,86,Week 1
F,1236,26,302,Week 1
F,1237,26,299,TBD
B,1240,46,367,Week 1
F,1243,75,312,Week 1
F,1244,4,35,Week 1
E,1247,20,258,TBD
B,1249,7,74,Week 1
B,1254,5,76,TBD
F,1255,26,309,Week 1
E,1259,20,258,Week 14
E,1263,41,254,TBD
A,1271,11,138,Week 1
B,1272,7,74,TBD
B,1279,6,59,TBD
M,1282,47,407,TBD
F,1288,26,296,Week 1
F,1290,26,304,Week 1
B,1291,46,367,Week 1
B,1295,44,350,Week 1
B,1296,6,569,Week 14
F,1317,4,294,TBD
A,1318,12,122,Week 1
B,1324,46,366,Week 14
M,1328,58,364,TBD
E,1329,21,246,Week 1
M,1332,52,426,Week 1
F,1337,26,304,TBD
A,1338,14,16,Week 1
F,1352,4,300,TBD
B,1380,46,375,Week 1
F,1383,4,29,TBD
E,1395,40,272,Week 14
A,1408,14,97,Week 1
M,1415,52,421,Week 1
E,1419,21,248,Week 1
F,1424,75,290,TBD
E,1426,21,259,TBD
E,1427,21,218,Week 1
E,1428,19,204,TBD
M,1437,47,406,TBD
F,1452,26,309,Week 1
B,1455,5,44,TBD
A,1462,14,7,Week 1
A,1466,12,121,TBD
A,1468,11,136,Week 14
E,1480,21,239,Week 1
F,1486,75,314,Week 1
M,1491,52,413,Week 14
A,1493,14,14,Week 1
M,1506,52,415,Week 1
E,1515,53,442,Week 1
E,1519,21,218,Week 1
F,1524,75,290,TBD
F,1529,22,233,Week 1
F,1558,26,298,Week 14
A,1561,11,145,Week 14
M,1567,47,427,TBD
E,1569,21,259,TBD
M,1583,57,449,Week 14
E,1599,40,362,TBD
M,1600,57,447,Week 1
F,1603,4,42,Week 1
M,1604,47,430,Week 14
F,1614,26,297,Week 14
M,1617,47,381,Week 1
M,1621,52,418,TBD
E,1622,19,213,Week 1
M,1630,56,468,TBD
F,1631,75,288,TBD
A,1638,14,7,TBD
E,1639,21,247,Week 14
B,1646,46,372,TBD
A,1658,2,30,TBD
E,1676,41,254,Week 14
M,1683,52,413,Week 1
F,1688,75,289,TBD
M,1692,58,445,Week 1
M,1693,58,445,Week 14
A,1694,12,124,TBD
M,1696,52,412,Week 1
M,1697,56,454,Week 1
A,1701,2,21,Week 1
M,1708,54,401,TBD
A,1710,11,140,Week 14
A,1711,14,2,Week 14
E,1713,25,278,Week 14
F,1716,75,508,Week 14
F,1717,75,508,Week 1
E,1724,20,216,Week 1
E,1728,21,239,Week 1
M,1732,52,414,Week 14
E,1737,25,268,Week 1
M,1755,56,452,TBD
E,1761,40,341,Week 1
F,1780,75,315,Week 14
B,1800,5,583,TBD
B,1801,5,44,TBD
M,1805,58,463,TBD
F,1807,22,558,Week 1
I,1822,29,811,Week 1
F,1831,76,191,TBD
E,1836,19,202,Week 1
M,1838,57,394,Week 1
E,1839,20,214,Week 1
I,1854,29,801,Week 14
M,1855,52,423,TBD
M,1858,52,421,TBD
F,1867,75,293,Week 1
M,1872,47,383,TBD
F,1873,17,161,Week 1
M,1877,57,581,Week 1
F,1890,22,285,TBD
E,1894,20,215,Week 1
M,1896,54,391,TBD
M,1905,56,400,Week 1
F,1906,16,160,Week 1
M,1915,58,463,Week 1
E,1923,19,200,TBD
F,1924,16,179,Week 1
F,1930,16,184,Week 14
E,1936,53,196,TBD
E,1948,20,227,Week 1
F,1953,26,297,TBD
M,1956,47,382,Week 1
B,1958,6,80,Week 14
M,1965,47,432,Week 14
M,1979,56,457,Week 1
F,1980,17,162,Week 1
E,1998,25,267,Week 1
F,2000,26,301,Week 1
M,2004,52,415,Week 1
E,2010,19,201,Week 14
F,2015,76,292,TBD
E,2020,21,246,Week 1
F,2022,17,162,Week 1
M,2031,56,511,Week 1
F,2040,22,558,TBD
M,2051,57,405,Week 1
F,2059,76,231,Week 1
I,2067,29,811,Week 1
M,2071,60,469,Week 1
I,2072,29,811,Week 14
B,2086,5,56,TBD
E,2089,20,311,Week 1
F,2096,22,170,Week 1
B,2105,5,53,Week 1
A,2111,14,13,Week 1
B,2112,46,372,TBD
F,2118,16,156,Week 14
M,2119,56,511,Week 1
E,2124,21,223,Week 14
E,2127,53,440,Week 1
M,2131,47,411,Week 14
F,2145,22,168,Week 1
F,2155,16,156,Week 1
F,2160,75,290,TBD
F,2163,17,173,Week 1
F,2164,76,194,Week 1
F,2166,76,191,Week 1
F,2178,16,179,Week 1
F,2183,16,180,Week 1
F,2184,16,160,Week 1
F,2185,22,232,Week 1
E,2204,25,267,Week 1
F,2205,22,233,Week 1
E,2221,40,333,Box Original
F,2228,16,154,Week 14
F,2233,76,280,TBD
F,2236,22,167,Week 1
A,2237,9,118,TBD
F,2248,75,293,Week 1
E,2250,21,225,TBD
M,2251,57,484,Week 14
B,2257,6,67,Week 14
F,2258,76,283,Week 1
F,2265,4,35,Week 1
M,2269,60,473,Week 1
E,2273,19,205,Week 1
E,2276,19,238,Week 1
M,2292,57,484,Week 1
F,2295,75,287,TBD
I,2302,29,811,Week 1
E,2311,21,247,TBD
F,2312,75,312,Week 1
M,2314,57,470,Week 1
M,2320,56,468,Week 1
M,2321,57,470,Week 1
F,2329,16,156,TBD
M,2333,58,445,Week 1
F,2334,22,233,Week 1
E,2339,21,246,TBD
I,2346,29,801,Week 1
M,2367,52,419,TBD
E,2400,21,218,TBD
B,2404,7,87,TBD
B,2427,5,53,TBD
F,2437,76,286,Week 1
E,2447,21,225,Week 1
M,2457,56,454,Week 1
B,2463,5,56,TBD
M,2469,60,467,TBD
M,2476,60,475,TBD
M,2479,58,459,Week 1
M,2492,60,475,Week 14
A,2496,12,124,Week 1
F,2503,17,174,TBD
A,2513,2,18,Week 1
M,2517,58,466,Week 1
F,2530,16,181,Week 1
F,2531,17,164,Week 1
F,2535,22,232,TBD
M,2536,57,581,Week 14
E,2542,21,222,Week 1
F,2564,76,286,Week 1
F,2566,76,280,Week 14
M,2579,47,429,Week 14
F,2583,17,172,Week 1
A,2584,2,23,Week 1
E,2588,20,227,Week 1
E,2603,20,229,Week 14
M,2608,47,382,Week 14
E,2611,20,235,TBD
E,2613,19,213,Week 1
M,2617,56,399,Week 1
E,2619,19,204,TBD
F,2629,16,156,TBD
M,2636,58,466,TBD
F,2639,16,181,TBD
M,2648,56,511,Week 1
B,2649,5,50,TBD
F,2651,17,175,Week 1
B,2652,46,384,Week 14
B,2653,7,71,Week 1
E,2654,41,257,Week 1
F,2659,16,183,Week 14
F,2663,76,231,Week 1
B,2667,5,55,TBD
M,2672,54,389,Week 1
F,2687,4,35,TBD
B,2688,5,45,TBD
M,2697,56,452,TBD
E,2700,19,203,Week 1
M,2711,60,469,Week 1
A,2713,14,3,TBD
B,2715,13,143,TBD
B,2717,13,141,Week 14
A,2720,11,140,TBD
F,2747,17,161,Week 1
M,2751,54,380,Week 1
A,2754,2,30,Week 14
A,2760,14,14,TBD
B,2763,6,569,Week 14
B,2767,46,372,TBD
E,2771,21,246,Week 14
B,2777,46,368,TBD
F,2785,76,192,Week 1
E,2787,41,249,TBD
F,2797,16,154,Week 1
F,2805,75,314,Week 1
F,2807,75,315,Week 1
E,2810,20,316,TBD
A,2811,2,21,Week 1
E,2812,53,425,TBD
E,2815,25,268,Week 1
E,2818,19,238,Week 1
E,2823,20,216,Week 1
F,2833,76,320,Week 1
B,2834,5,50,Week 14
F,2845,26,296,Week 1
E,2849,20,316,Week 14
E,2856,40,361,Week 14
F,2859,76,194,Week 1
E,2869,19,203,Week 1
E,2873,19,206,TBD
M,2882,52,422,TBD
B,2883,5,56,Week 14
F,2897,17,173,Week 1
F,2903,16,157,TBD
F,2904,16,159,Week 1
F,2908,26,309,Week 14
E,2912,19,197,TBD
B,2913,13,129,Week 1
F,2915,17,171,Week 1
B,2918,5,51,TBD
M,2921,54,401,TBD
B,2924,46,384,TBD
B,2926,5,56,Week 1
M,2927,60,476,Week 1
M,2935,52,413,Week 14
M,2947,60,476,Week 14
E,2955,40,362,Week 1
A,2963,9,108,TBD
E,2968,41,243,Week 1
B,2973,5,51,TBD
B,2978,5,44,Week 1
B,2980,5,479,TBD
A,2988,12,120,Week 1
E,2994,40,360,Week 14
B,2996,5,53,TBD
B,3014,5,49,TBD
F,3035,76,283,Week 14
B,3044,5,50,TBD
M,3053,60,471,Week 1
B,3055,44,345,Week 14
B,3057,7,506,TBD
B,3058,7,86,TBD
A,3060,11,140,Week 1
A,3067,2,23,Week 14
M,3087,57,446,Week 14
B,3106,7,86,Week 1
B,3112,7,77,TBD
M,3151,47,432,Week 1
B,3167,13,125,TBD
A,3188,2,23,Week 14
F,3191,4,35,Week 1
F,3200,16,159,Week 1
M,3217,60,473,Week 1
B,3224,5,583,TBD
B,3225,5,583,TBD
A,3234,12,123,Week 14
E,3245,53,436,Week 1
E,3268,53,440,TBD
F,3269,16,180,Week 1
A,3271,14,13,Week 1
B,3274,5,50,TBD
B,3284,5,44,TBD
B,3285,5,44,TBD
B,3286,5,52,TBD
B,3302,6,64,TBD
E,3303,20,311,Week 1
M,3313,54,376,TBD
B,3320,6,80,Week 14
E,3328,19,200,TBD
A,3347,9,116,Week 1
E,3362,41,253,Week 1
M,3364,52,422,Week 1
F,3367,4,36,TBD
M,3380,60,475,Week 1
B,3381,7,74,Week 1
B,3384,7,70,Week 14
A,3386,14,3,TBD
A,3388,2,25,TBD
A,3389,2,25,Week 1
B,3406,5,51,TBD
B,3431,5,48,Week 14
B,3432,5,49,TBD
B,3433,5,49,TBD
E,3445,19,207,Week 1
E,3453,19,200,Week 1
E,3458,19,200,Week 1
E,3476,19,197,Week 1
B,3482,5,51,TBD
F,3489,75,281,Week 14
F,3491,16,184,Week 1
F,3503,26,308,TBD
E,3505,53,441,Week 14
B,3518,7,88,Week 14
M,3524,58,458,Week 1
A,3526,3,104,Week 1
E,3529,41,249,Week 1
F,3543,17,173,Week 14
F,3563,22,168,Week 1
B,3567,6,80,Week 14
E,3580,21,219,Week 1
M,3582,54,391,Week 1
B,3616,13,128,Week 1
B,3623,7,88,TBD
B,3631,5,44,TBD
E,3632,19,205,Week 1
E,3641,21,223,Week 14
M,3650,57,446,Week 1
F,3658,26,298,Week 1
F,3700,26,309,Week 1
A,3710,2,20,Week 1
M,3712,56,455,Week 1
M,3734,47,430,TBD
E,3738,20,227,TBD
M,3742,60,476,TBD
M,3754,60,473,Week 1
B,3764,5,45,TBD
B,3771,46,371,Week 1
B,3773,5,479,TBD
B,3777,5,56,TBD
M,3794,60,514,Week 1
M,3801,60,471,TBD
F,3802,22,284,TBD
B,3807,46,367,Week 1
B,3828,13,46,Week 1
M,3847,57,405,Week 1
M,3853,47,430,Week 1
F,3869,75,287,Week 1
B,3886,6,80,TBD
F,3912,17,176,Week 1
B,4102,7,86,Week 1
B,4103,7,77,TBD
E,4118,41,256,Week 14
B,4130,7,82,Week 1
B,4131,7,506,Week 1
B,4162,7,506,TBD
B,4164,5,55,Box Original
B,4165,5,479,Week 1
A,4166,12,121,Week 14
B,4183,6,85,TBD
B,4194,6,84,Week 1
A,4200,14,16,Week 1
B,4215,5,55,TBD
M,4221,60,477,Week 1
E,4235,41,251,TBD
B,4240,5,53,Box Original
E,4243,19,205,TBD
B,4279,5,44,TBD
M,4284,54,380,Week 1
B,4336,46,368,TBD
M,4355,58,364,Week 1
F,4372,76,320,Week 1
M,4393,56,453,Week 1
A,4427,14,97,Week 1
A,4435,12,149,Week 1
F,4457,4,38,Week 1
A,4460,42,324,Week 14
A,4472,2,25,Week 1
F,4476,75,290,TBD
M,4488,56,451,Week 1
A,4497,14,13,Week 14
F,4499,26,299,Week 1
B,4503,5,44,TBD
B,4508,6,80,Week 14
B,4509,5,48,Week 14
B,4512,6,65,TBD
B,4538,6,67,Week 14
B,4554,7,82,Week 1
F,4564,26,299,TBD
M,4568,47,432,Week 1
A,4588,9,91,Week 1
F,4594,26,305,Week 1
M,4606,52,413,Week 1
A,4616,2,18,Week 1
F,4623,75,288,TBD
B,4627,5,52,Box Original
F,4636,75,314,Week 14
E,4644,20,227,TBD
M,4653,47,381,Week 1
M,4678,57,405,Week 1
M,4689,54,582,Week 1
A,4690,3,111,Week 1
M,4696,54,582,Week 1
M,4734,54,585,Week 1
F,5039,22,284,Week 1
M,5051,54,378,Week 1
E,5064,19,201,TBD
E,5065,19,201,Week 1
B,5080,5,50,Box Original
B,5092,5,53,TBD
F,5095,17,163,Week 1
E,5097,19,204,TBD
F,5105,76,286,TBD
B,5124,46,369,TBD
F,5129,76,283,Week 14
F,5142,22,178,Week 1
B,5144,7,77,Week 1
B,5147,5,44,Week 1
B,5155,46,387,Week 1
E,5157,25,278,Week 1
A,5173,12,120,Week 1
B,5191,5,55,Box Original
A,5197,12,5,Week 1
E,5199,25,269,TBD
E,5203,21,217,TBD
B,5210,5,51,Week 1
B,5211,5,52,TBD
M,5219,47,411,Week 1
F,5229,22,166,Week 1
B,5247,5,479,TBD
A,5261,42,323,Week 1
M,5273,60,472,TBD
B,5288,5,49,TBD
B,5311,5,52,Box Original
B,5312,5,479,TBD
B,5316,5,479,TBD
F,5345,75,508,Week 1
F,5346,26,296,Week 14
E,5355,21,222,Week 14
F,5356,76,231,Week 1
B,5359,5,48,TBD
M,5370,54,379,Week 1
E,5374,21,239,Week 1
E,5379,20,235,Week 14
E,5387,20,209,Week 1
B,5389,5,76,TBD
A,5392,3,28,TBD
E,5403,25,273,TBD
E,5411,19,202,TBD
B,5416,5,50,Box Original
E,5417,41,242,Week 1
E,5418,41,242,TBD
M,5424,56,468,TBD
A,5433,42,325,Week 1
M,5441,47,411,Week 14
E,5443,41,249,TBD
F,5445,76,228,Week 1
E,5446,20,235,Week 14
F,5447,17,176,TBD
B,5460,6,78,Week 1
E,5466,21,219,Week 1
F,5481,26,305,Week 14
A,5482,2,21,Week 14
F,5488,75,289,TBD
B,5492,46,384,Week 1
F,5495,22,166,Week 14
M,5629,56,468,TBD
M,5632,57,449,TBD
E,5668,53,435,Week 1
E,5669,53,442,TBD
B,5672,5,51,TBD
B,5673,5,51,TBD
M,5676,54,380,Week 14
B,5707,5,52,TBD
F,5731,75,291,Week 1
M,5751,56,451,Week 1
B,5764,5,479,TBD
M,5766,56,451,Week 14
F,5777,17,162,TBD
F,5787,4,310,Week 14
I,5793,29,811,Week 14
B,5799,46,367,Week 1
I,5802,29,811,TBD
M,5807,57,465,Week 1
B,5808,6,569,Week 14
B,5810,5,49,Week 1
A,5812,2,18,Week 1
B,5823,5,583,Week 1
M,5839,56,468,TBD
E,5844,19,206,Week 1
B,5858,46,367,Week 1
B,5866,5,56,TBD
F,5879,26,306,TBD
B,5889,5,53,Week 1
E,5927,40,339,TBD
M,5929,60,476,TBD
F,5944,22,558,Week 1
A,5964,3,112,Week 1
F,5969,76,292,TBD
B,5987,5,583,TBD
M,5996,58,459,Week 1
B,6286,7,81,Week 14
B,6300,5,56,Week 1
A,6370,12,123,TBD
M,6392,47,411,Week 14
B,6467,5,45,Week 14
B,6579,6,59,TBD
F,6789,26,308,Week 1
A,6807,11,145,Week 1
B,6929,5,76,Week 14
A,6932,42,127,Week 14
B,6963,5,52,TBD
A,6964,11,144,TBD
A,6998,2,20,Week 14
F,7009,26,302,Week 1
E,7087,41,243,Week 1
B,7156,5,76,TBD
B,7178,5,56,TBD
F,7243,4,300,TBD
A,7324,12,5,TBD
B,7326,44,353,Week 14
B,8930,5,583,Week 14
,,,,
