Market,Academy Store #,City,State,Sup Intern HC,NHM Intern HC,Sup Emerging Coach HC,NHM Emerging Coach HC,Total
369,1533,PEORIA,AZ,2,,2,,4
371,2482,MESA,AZ,2,,2,,4
505,3136,HORIZON CITY,TX,2,,2,,4
366,3379,ORO VALLEY,AZ,2,1,2,1,6
70,3383,AMARILLO,TX,0,,0,,0
364,3730,PRESCOTT VALLEY,AZ,2,,2,,4
373,3861,GILBERT,AZ,2,,2,,4
379,1045,LAFAYETTE,CO,0,,5,,5
433,1671,PAPILLION,NE,0,,5,,5
411,2131,TOPEKA,KS,0,,5,,5
389,3382,PUEBLO WEST,CO,0,,5,,5
429,3395,GRAND ISLAND,NE,0,,5,,5
376,5137,AURORA,CO,0,,5,,5
423,1472,HASTINGS,MN,3,,2,,5
419,1634,LITTLE FALLS,MN,3,,2,,5
422,2882,MAPLE GROVE,MN,3,,2,,5
424,3624,MONTICELLO,MN,3,,2,,5
415,3630,MARION,IA,3,,2,,5
414,4256,AMES,IA,3,,2,,5
435,1394,GREENFIELD,WI,3,,2,,5
196,1542,GAYLORD,MI,5,,0,,5
439,1828,PLOVER,WI,3,,2,,5
441,3857,MONONA,WI,3,,2,,5
438,5373,CHIPPEWA FALLS,WI,3,,2,,5
381,1315,CHEYENNE,WY,2,,2,,4
427,1627,DILWORTH,MN,2,,2,,4
383,1872,HELENA,MT,2,,3,,5
582,2511,AMERICAN FORK,UT,2,,3,1,6
430,4865,SIOUX FALLS,SD,2,,3,,5
403,5233,WEST VALLEY CITY,UT,2,2,3,,7
511,2025,TRACY,CA,0,,5,,5
453,2048,FAIRFIELD,CA,0,,5,,5
450,2117,LOS BANOS,CA,0,,5,,5
399,2508,BOISE,ID,0,,5,,5
455,3587,ROCKLIN,CA,0,,5,,5
392,4370,FERNLEY,NV,0,,5,,5
459,1700,POWAY,CA,2,,3,,5
463,1805,LA QUINTA,CA,2,,3,,5
466,2218,FOOTHILL RANCH,CA,1,1,3,1,6
484,2886,PICO RIVERA,CA,1,1,3,1,6
394,3350,LAS VEGAS,NV,1,2,3,1,7
448,3523,SANTA CLARITA,CA,3,,3,,6
462,3796,ONTARIO,CA,3,,3,,6
581,5394,DINUBA,CA,2,,3,,5
461,5425,SAN JACINTO,CA,2,,3,,5
477,1784,SALEM,OR,3,,2,,5
469,2070,ANCHORAGE,AK,2,,3,,5
470,2126,MILILANI,HI,3,,2,,5
476,2550,VANCOUVER,WA,2,,3,,5
478,3239,SPRINGFIELD,OR,2,,3,,5
474,4394,SPOKANE,WA,2,,3,,5
514,5041,BONNEY LAKE,WA,2,,3,,5
472,5272,POULSBO,WA,3,,2,,5
286,1406,WINCHESTER,VA,0,,0,,0
320,1714,FAIRMONT,WV,0,,2,,2
291,1833,FREDERICKSBURG,VA,0,,0,,0
284,1860,ELKTON,MD,0,,0,,0
282,2279,GLEN BURNIE,MD,0,,5,,5
312,2312,ROANOKE,VA,0,,4,2,6
288,3219,WILLIAMSBURG,VA,0,,5,1,6
292,3639,DULLES,VA,0,,5,,5
289,3644,CHESAPEAKE,VA,0,2,2,,4
,,,,,,,,
,,,,359,29,537,20,945
