Region ,Region Average ,Market ,Average Returns volume ,Average Return Units Per day ,Average DotCom Return Units Per Day ,Average Marketplace Return Units  ,Average Marketplace Return Units Per Day,Average NPS ,Average Wait Time 
9,Region Average ,,32642,430,31,789,10,58,9
9,,90,35388,466,33,752,10,48,10
9,,91,30488,401,32,782,10,58,9
9,,92,30974,408,28,765,10,57,8
9,,105,29882,393,27,759,10,61,8
9,,107,35419,466,33,867,11,63,8
9,,108,31970,421,30,758,10,51,10
9,,109,38529,507,36,876,12,55,9
9,,110,38687,509,47,1132,15,62,10
9,,115,31594,416,28,771,10,65,7
9,,116,29068,382,30,678,9,63,8
9,,118,26368,347,21,611,8,61,7
9,,553,33632,443,28,734,10,55,11
11,Region Average ,,16778,221,15,372,5,58,7
11,,4,14017,184,12,294,4,64,6
11,,11,16653,219,16,368,5,41,8
11,,136,14723,194,10,262,3,63,10
11,,137,20719,273,20,479,6,65,7
11,,138,13445,177,11,263,3,61,8
11,,140,19328,254,18,434,6,58,7
11,,144,23233,306,24,611,8,45,9
11,,145,21266,280,20,607,8,44,7
11,,146,16508,217,15,349,5,62,7
11,,147,14042,185,11,298,4,60,6
11,,329,14324,188,13,296,4,54,7
12,Region Average ,,22558,297,23,542,7,60,7
12,,5,20129,265,18,440,6,66,6
12,,119,21689,285,24,536,7,68,6
12,,120,22822,300,23,530,7,61,7
12,,121,17847,235,16,405,5,59,6
12,,122,30986,408,38,876,12,57,6
12,,123,22034,290,21,570,8,60,7
12,,124,23096,304,23,520,7,69,6
12,,149,19969,263,20,447,6,57,6
12,,151,25552,336,26,590,8,60,7
12,,152,20616,271,21,461,6,60,7
12,,153,25136,331,28,679,9,46,9
13,Region Average ,,20824,274,19,461,6,60,7
13,,46,17233,227,14,352,5,58,6
13,,66,19500,257,17,406,5,67,7
13,,68,35546,468,44,845,11,59,7
13,,125,24917,328,19,534,7,53,8
13,,128,26789,352,28,726,10,54,7
13,,129,15469,204,13,357,5,63,6
13,,130,23135,304,19,468,6,51,10
13,,131,18060,238,17,314,4,56,8
13,,132,22213,292,22,534,7,66,8
13,,134,13843,182,10,289,4,55,8
13,,141,17046,224,14,346,5,65,8
13,,143,25288,333,24,586,8,63,6
13,,503,17314,228,15,366,5,68,6
14,Region Average ,,20775,273,20,491,6,59,7
14,,1,25507,336,25,611,8,57,7
14,,2,18068,238,16,451,6,54,7
14,,3,19546,257,19,481,6,58,8
14,,7,17396,229,16,369,5,69,6
14,,8,20544,270,18,413,5,57,8
14,,10,15766,207,14,363,5,57,6
14,,13,24638,324,28,611,8,46,9
14,,14,20535,270,19,493,6,69,7
14,,15,23053,303,25,555,7,64,6
14,,16,25329,333,26,656,9,54,7
14,,97,17895,235,15,394,5,58,7
16,Region Average ,,20110,265,23,645,8,56,7
16,,154,19601,258,20,577,8,51,7
16,,156,21907,288,24,634,8,55,7
16,,157,27396,360,34,1038,14,53,8
16,,159,24677,325,33,1001,13,55,8
16,,160,24700,325,27,779,10,59,7
16,,179,14172,186,15,400,5,61,6
16,,180,15101,199,16,430,6,56,7
16,,181,13033,171,15,404,5,52,7
16,,183,20700,272,23,612,8,59,7
16,,184,22210,292,24,681,9,55,7
16,,187,15336,202,18,492,6,57,5
16,,188,24637,324,33,847,11,55,7
16,,189,20310,267,24,596,8,58,6
17,Region Average ,,28979,381,39,1122,15,59,7
17,,161,23910,315,26,716,9,62,7
17,,162,21577,284,24,655,9,61,7
17,,163,25374,334,28,715,9,54,8
17,,164,31798,418,45,1254,16,58,8
17,,171,39515,520,55,1586,21,59,8
17,,172,48920,644,93,3131,41,55,10
17,,173,28327,373,35,955,13,57,8
17,,174,25142,331,30,799,11,65,6
17,,175,36882,485,56,1605,21,57,8
17,,176,31101,409,48,1400,18,55,8
17,,190,19442,256,25,637,8,60,7
17,,226,23126,304,27,751,10,58,7
17,,577,39729,523,65,1914,25,64,7
19,Region Average ,,20067,264,22,659,9,52,7
19,,197,26672,351,28,1055,14,50,8
19,,200,16883,222,21,582,8,55,7
19,,201,15291,201,15,436,6,45,8
19,,202,15834,208,16,450,6,53,6
19,,203,22657,298,29,832,11,54,7
19,,204,18536,244,18,561,7,53,7
19,,205,21983,289,25,735,10,59,7
19,,206,30390,400,38,1075,14,43,9
19,,207,17023,224,18,481,6,55,7
19,,213,14929,196,16,404,5,58,6
19,,238,23886,314,25,781,10,52,7
20,Region Average ,,20756,273,23,588,8,60,7
20,,208,21766,286,24,662,9,58,6
20,,209,20714,273,24,668,9,59,7
20,,214,25221,332,34,909,12,51,8
20,,215,23959,315,30,776,10,60,6
20,,216,18036,237,17,453,6,53,6
20,,227,26434,348,33,844,11,56,7
20,,229,24143,318,29,681,9,55,6
20,,235,23166,305,25,648,9,65,6
20,,258,17859,235,16,419,6,63,7
20,,311,18409,242,16,384,5,67,7
20,,316,16148,212,16,370,5,59,7
20,,317,15982,210,15,410,5,77,6
21,Region Average ,,18394,242,19,510,7,54,7
21,,217,19501,257,26,614,8,53,7
21,,218,16145,212,14,362,5,56,6
21,,219,21960,289,25,734,10,54,8
21,,221,22356,294,27,686,9,48,8
21,,222,15782,208,16,412,5,53,6
21,,223,19299,254,20,531,7,53,8
21,,225,22906,301,26,769,10,49,8
21,,239,14902,196,13,360,5,54,7
21,,246,16344,215,17,417,5,61,6
21,,247,15091,199,14,350,5,55,6
21,,248,18796,247,21,505,7,60,7
21,,259,18278,240,17,425,6,53,7
22,Region Average ,,22833,300,28,744,10,59,7
22,,165,22352,294,25,698,9,59,7
22,,166,20214,266,23,759,10,58,9
22,,167,23297,307,32,827,11,61,6
22,,168,22590,297,30,714,9,56,8
22,,170,28899,380,41,1108,15,57,8
22,,178,31227,411,43,1207,16,58,8
22,,232,18801,247,22,494,7,59,7
22,,233,23508,309,32,749,10,59,7
22,,234,21650,285,28,684,9,57,7
22,,237,19468,256,22,533,7,65,7
22,,284,22653,298,27,681,9,58,7
22,,285,18320,241,18,464,6,60,7
22,,558,24043,316,28,808,11,58,8
25,Region Average ,,21900,288,24,631,8,54,7
25,,262,18168,239,20,460,6,63,7
25,,264,27810,366,32,873,11,49,8
25,,265,29609,390,36,882,12,48,8
25,,266,26181,344,27,750,10,54,8
25,,267,30761,405,36,1146,15,49,7
25,,268,32345,426,35,1118,15,54,7
25,,269,27058,356,31,796,10,60,6
25,,270,22843,301,26,578,8,54,6
25,,273,11849,156,11,283,4,53,7
25,,275,16575,218,15,389,5,57,8
25,,278,18197,239,19,471,6,46,7
25,,279,13736,181,12,326,4,57,7
26,Region Average ,,22446,295,23,542,7,57,8
26,,296,18044,237,17,354,5,49,8
26,,297,23575,310,26,656,9,54,10
26,,298,20492,270,21,494,7,57,7
26,,299,26152,344,31,707,9,55,7
26,,301,17733,233,17,377,5,58,6
26,,302,19121,252,18,407,5,65,7
26,,304,22165,292,21,508,7,65,7
26,,305,24379,321,25,595,8,49,9
26,,306,28588,376,33,786,10,57,8
26,,308,24385,321,25,561,7,52,7
26,,309,22781,300,25,538,7,60,9
40,Region Average ,,19164,252,19,473,6,58,7
40,,272,13226,174,12,310,4,69,6
40,,333,17295,228,17,399,5,57,6
40,,335,19979,263,18,447,6,61,6
40,,336,15215,200,15,342,5,53,6
40,,339,24837,327,27,736,10,54,7
40,,340,27319,359,31,792,10,54,8
40,,341,22896,301,23,631,8,49,8
40,,357,13481,177,11,264,3,63,6
40,,359,14774,194,13,292,4,64,7
40,,360,17856,235,17,422,6,52,7
40,,361,20260,267,21,470,6,58,7
40,,362,23933,315,29,608,8,58,7
41,Region Average ,,18879,248,18,480,6,58,7
41,,242,23504,309,24,678,9,54,8
41,,243,17824,235,16,476,6,54,7
41,,249,20649,272,20,526,7,50,9
41,,251,16056,211,15,392,5,46,7
41,,253,17850,235,16,414,5,69,6
41,,254,22749,299,25,606,8,59,6
41,,256,19487,256,17,542,7,66,7
41,,257,19113,251,18,440,6,60,7
41,,260,20228,266,19,469,6,57,9
41,,271,12834,169,10,257,3,64,7
41,,482,22610,297,27,675,9,42,8
41,,580,15763,207,14,362,5,68,6
42,Region Average ,,16001,211,16,377,5,59,7
42,,127,14440,190,11,289,4,60,8
42,,135,12324,162,9,260,3,69,8
42,,321,12281,162,12,300,4,67,7
42,,322,19828,261,21,448,6,57,7
42,,323,36284,477,58,1228,16,62,6
42,,324,20911,275,22,499,7,53,7
42,,325,14840,195,13,335,4,67,7
42,,326,18964,250,20,426,6,54,6
42,,327,11492,151,8,220,3,43,9
42,,328,13529,178,11,312,4,61,6
42,,334,13648,180,12,278,4,55,7
44,Region Average ,,16510,217,15,338,4,58,7
44,,47,16022,211,13,334,4,60,7
44,,344,14771,194,14,292,4,60,6
44,,345,16623,219,14,365,5,52,8
44,,347,15984,210,12,291,4,55,5
44,,349,14107,186,12,266,3,69,6
44,,350,15336,202,12,278,4,57,7
44,,351,12144,160,9,235,3,60,8
44,,352,19203,253,20,440,6,56,7
44,,353,19720,259,18,429,6,58,8
44,,356,24022,316,26,538,7,65,6
44,,409,20601,271,20,421,6,60,8
44,,410,11047,145,10,218,3,43,7
46,Region Average ,,25892,341,23,552,7,54,8
46,,366,30073,396,25,709,9,57,7
46,,367,23088,304,21,563,7,56,7
46,,368,33600,442,33,787,10,59,7
46,,369,30962,407,25,634,8,52,8
46,,370,28047,369,29,666,9,52,8
46,,371,26329,346,27,598,8,56,8
46,,372,32224,424,30,674,9,60,8
46,,373,35635,469,42,848,11,63,6
46,,375,15301,201,9,197,3,33,12
46,,384,19931,262,13,335,4,49,7
46,,385,20873,275,16,402,5,50,7
46,,387,17197,226,13,291,4,56,7
47,Region Average ,,16186,213,18,373,5,54,7
47,,381,13673,180,12,234,3,47,7
47,,382,16679,219,17,351,5,52,7
47,,383,17391,229,17,372,5,61,7
47,,406,12485,164,10,236,3,59,7
47,,407,11903,157,12,264,3,53,9
47,,411,14580,192,15,316,4,44,8
47,,427,17742,233,23,418,5,55,7
47,,429,13210,174,13,312,4,56,7
47,,430,19324,254,22,474,6,58,6
47,,432,20635,272,25,540,7,46,9
47,,433,19833,261,26,547,7,57,6
52,Region Average ,,17199,226,20,446,6,55,7
52,,412,12347,162,17,303,4,60,7
52,,413,14510,191,14,339,4,57,7
52,,414,16145,212,18,410,5,57,7
52,,415,17885,235,19,451,6,68,5
52,,418,16594,218,16,385,5,58,7
52,,419,16477,217,17,421,6,53,8
52,,421,13497,178,16,312,4,54,8
52,,422,23788,313,29,766,10,43,9
52,,423,22327,294,29,688,9,48,8
52,,424,21705,286,28,564,7,51,7
52,,426,15059,198,17,341,4,56,6
53,Region Average ,,18171,239,19,493,6,53,6
53,,196,18061,238,19,540,7,58,7
53,,263,16317,215,16,406,5,46,6
53,,425,16737,220,18,381,5,57,7
53,,435,19829,261,21,579,8,52,8
53,,436,13640,179,14,324,4,60,6
53,,438,17774,234,18,419,6,51,5
53,,439,21051,277,23,592,8,55,6
53,,440,19940,262,22,587,8,59,6
53,,441,17565,231,19,518,7,43,7
53,,442,19528,257,22,558,7,48,7
53,,444,19016,250,21,509,7,52,6
54,Region Average ,,24105,317,27,545,7,49,8
54,,376,25827,340,29,602,8,46,8
54,,378,21285,280,21,443,6,59,7
54,,379,24255,319,24,566,7,61,6
54,,380,23365,307,23,606,8,37,8
54,,388,16770,221,12,280,4,53,7
54,,389,16502,217,13,315,4,45,9
54,,391,26271,346,27,562,7,53,6
54,,401,29192,384,39,757,10,47,8
54,,403,29081,383,38,705,9,52,8
54,,582,30137,397,45,706,9,46,7
54,,585,20287,267,16,386,5,37,10
56,Region Average ,,23122,304,28,670,9,51,8
56,,392,16845,222,16,335,4,46,8
56,,399,25662,338,30,575,8,52,8
56,,400,23335,307,29,542,7,59,6
56,,450,24809,326,27,646,9,51,8
56,,451,26286,346,38,1047,14,52,8
56,,452,27005,355,32,921,12,51,10
56,,453,20500,270,20,522,7,48,10
56,,454,24831,327,29,689,9,55,7
56,,455,23296,307,30,689,9,49,8
56,,457,19129,252,19,472,6,48,9
56,,468,15698,207,14,383,5,58,7
56,,511,32255,424,50,1347,18,40,11
57,Region Average ,,30995,408,35,844,11,52,8
57,,394,28700,378,28,731,10,51,8
57,,396,34961,460,32,864,11,53,8
57,,405,23057,303,24,485,6,50,6
57,,446,33920,446,44,1332,18,52,9
57,,447,26783,352,32,722,10,49,9
57,,448,39184,516,47,1244,16,47,9
57,,449,28057,369,33,741,10,60,8
57,,465,32717,430,43,1210,16,54,9
57,,470,40645,535,38,503,7,51,8
57,,484,34377,452,43,1168,15,54,9
57,,581,21692,285,23,518,7,49,9
58,Region Average ,,31628,416,34,864,11,54,9
58,,364,19419,256,15,367,5,55,8
58,,365,25939,341,19,506,7,66,8
58,,445,26782,352,28,653,9,50,9
58,,458,34875,459,30,776,10,56,9
58,,459,36255,477,46,1195,16,55,9
58,,460,35051,461,42,977,13,56,8
58,,461,34836,458,34,944,12,51,10
58,,462,33624,442,42,1043,14,53,9
58,,463,33858,445,31,763,10,55,7
58,,464,31237,411,41,946,12,52,8
58,,466,39859,524,59,1542,20,48,11
59,Region Average ,,1781,23,4,85,1,42,8
59,,485,1884,25,5,80,1,35,7
59,,494,1491,20,3,67,1,47,8
59,,496,1704,22,3,51,1,14,8
59,,497,1863,25,5,104,1,34,8
59,,498,1758,23,5,102,1,40,13
59,,499,1876,25,4,83,1,64,6
59,,500,1905,25,5,93,1,53,6
59,,502,2274,30,7,137,2,42,11
59,,509,2065,27,6,116,2,30,10
59,,516,1472,19,3,74,1,40,4
59,,546,1669,22,3,48,1,51,11
59,,554,1574,21,4,79,1,64,4
59,,566,1547,20,3,62,1,30,9
60,Region Average ,,20427,269,21,477,6,53,8
60,,467,20434,269,20,482,6,51,8
60,,469,14493,191,10,146,2,52,7
60,,471,22161,292,25,665,9,47,10
60,,472,18047,237,15,372,5,57,10
60,,473,17082,225,18,326,4,58,7
60,,474,24142,318,24,562,7,57,7
60,,475,22279,293,22,458,6,59,7
60,,476,19025,250,19,471,6,49,6
60,,477,22247,293,26,638,8,45,9
60,,478,18062,238,18,463,6,52,7
60,,514,26293,346,29,666,9,48,8
61,Region Average ,,2355,31,7,190,3,41,9
61,,9,2083,27,4,59,1,51,10
61,,397,2280,30,5,117,2,52,9
61,,481,2896,38,11,329,4,38,11
61,,490,1884,25,3,76,1,27,10
61,,491,1494,20,4,79,1,27,7
61,,510,2078,27,4,80,1,49,12
61,,512,3134,41,15,376,5,43,9
61,,515,2889,38,8,222,3,37,13
61,,550,2614,34,16,524,7,31,7
61,,551,2658,35,6,164,2,73,9
61,,552,2386,31,6,160,2,48,7
61,,557,1930,25,6,89,1,24,6
64,Region Average ,,2017,27,5,70,1,47,7
64,,58,2178,29,6,61,1,39,7
64,,504,2669,35,7,119,2,65,8
64,,507,1988,26,5,95,1,48,5
64,,526,2605,34,6,89,1,78,7
64,,528,1478,19,3,33,0,48,3
64,,533,1641,22,4,57,1,27,7
64,,541,1588,21,3,31,0,38,7
64,,542,1504,20,4,58,1,57,9
64,,543,2110,28,4,82,1,27,7
64,,561,2337,31,4,55,1,67,6
64,,562,2433,32,7,113,1,50,7
64,,570,1771,23,3,39,1,29,5
72,Region Average ,,2640,35,7,118,2,43,7
72,,96,3083,41,7,97,1,38,9
72,,102,3224,42,8,166,2,57,5
72,,103,4165,55,11,203,3,55,9
72,,488,4198,55,8,147,2,44,8
72,,492,1886,25,4,49,1,40,8
72,,534,2037,27,8,135,2,17,8
72,,537,1509,20,5,79,1,51,4
72,,538,1615,21,5,84,1,42,8
72,,544,1867,25,5,61,1,28,6
72,,545,1864,25,5,64,1,26,6
72,,548,3165,42,8,201,3,56,6
72,,549,2493,33,6,101,1,46,6
72,,559,3243,43,9,154,2,54,9
75,Region Average ,,23271,306,26,635,8,54,8
75,,281,24458,322,30,797,10,52,11
75,,282,28164,371,35,959,13,54,7
75,,287,21280,280,23,570,8,53,8
75,,288,23207,305,23,574,8,53,9
75,,289,23302,307,26,602,8,54,8
75,,290,24370,321,26,580,8,55,8
75,,291,27285,359,31,702,9,56,8
75,,293,26324,346,30,716,9,44,8
75,,312,20844,274,21,538,7,57,6
75,,314,14292,188,13,310,4,53,7
75,,315,21743,286,24,549,7,53,8
75,,508,26682,351,32,906,12,56,8
76,Region Average ,,23167,305,29,701,9,59,7
76,,191,20864,275,27,620,8,61,6
76,,192,21479,283,25,682,9,62,7
76,,194,19700,259,24,671,9,51,7
76,,195,25478,335,33,877,12,55,8
76,,228,16456,217,17,392,5,58,6
76,,231,25329,333,29,673,9,64,6
76,,280,31389,413,40,1009,13,57,7
76,,283,27720,365,37,988,13,51,9
76,,286,19508,257,21,424,6,59,8
76,,292,38062,501,61,1368,18,60,8
76,,320,16816,221,17,394,5,64,6
