Market,Club Number,PRIMARY TEAM,AVG $PCPW 1,SECONDARY TEAM,AVG $PCPW 2,TERTIARY TEAM,AVG $PCPW 3
2,4822,N/A, $-   ,N/A, $-   ,N/A, N/A 
2,6235,LOS ANGELES CHARGERS, $-   ,N/A, $-   ,N/A, N/A 
2,6615,LOS ANGELES CHARGERS," $1,286 ",LOS ANGELES RAMS, $-   ,N/A, N/A 
1,4824,UCLA, $-   ,USC TROJANS, $583 ,N/A, N/A 
2,6626,LOS ANGELES RAMS," $1,386 ",N/A, $-   ,N/A, N/A 
2,6610,LOS ANGELES LAKERS," $1,274 ",LOS ANGELES RAMS," $1,342 ",LAS VEGAS RAIDERS, N/A 
4,4983,LAS VEGAS KNIGHTS," $1,663 ",LAS VEGAS RAIDERS," $1,622 ",UNLV , $517 
2,6628,LAS VEGAS RAIDERS," $1,857 ",LOS ANGELES LAKERS," $1,509 ",USC TROJANS, $547 
3,6684,LAS VEGAS RAIDERS, $306 ,UTAH JAZZ, $849 ,UTAH, N/A 
2,4735,LAS VEGAS RAIDERS," $1,770 ",CAL STATE FULLERTON, $651 ,N/A , N/A 
2,6616,CAL STATE FULLERTON," $1,537 ",LAS VEGAS RAIDERS, $-   ,N/A , N/A 
2,6619,LOS ANGELES RAMS," $1,814 ",LAS VEGAS RAIDERS, $-   ,N/A, N/A 
4,8177,LAS VEGAS KNIGHTS," $1,392 ",LAS VEGAS RAIDERS," $1,426 ",N/A, N/A 
4,6382,LAS VEGAS KNIGHTS," $1,007 ",LAS VEGAS RAIDERS, $880 ,N/A, N/A 
4,6257,LAS VEGAS KNIGHTS," $3,175 ",LAS VEGAS RAIDERS, $-   ,N/A, N/A 
4,4974,LAS VEGAS KNIGHTS, $904 ,LAS VEGAS RAIDERS, $-   ,N/A, N/A 
2,6613,LAS VEGAS RAIDERS," $1,542 ",LOS ANGELES LAKERS," $1,178 ",N/A, N/A 
2,6240,LAS VEGAS RAIDERS," $1,567 ",LOS ANGELES LAKERS, $848 ,N/A, N/A 
2,6614,LAS VEGAS RAIDERS," $1,606 ",LOS ANGELES LAKERS, $917 ,N/A, N/A 
2,6609,LAS VEGAS RAIDERS, $-   ,LOS ANGELES LAKERS, $231 ,N/A, N/A 
2,6617,LAS VEGAS RAIDERS," $2,237 ",LOS ANGELES RAMS, $-   ,N/A, N/A 
1,6622,LAS VEGAS RAIDERS," $2,578 ",SACRAMENTO KINGS," $1,864 ",N/A, N/A 
4,6261,LAS VEGAS KNIGHTS," $2,119 ",UNLV , $961 ,N/A, N/A 
1,6455,LAS VEGAS RAIDERS," $1,892 ",USC TROJANS, $-   ,N/A, N/A 
2,6378,LAS VEGAS RAIDERS," $2,239 ",USC TROJANS, $-   ,N/A, N/A 
2,6624,LAS VEGAS RAIDERS," $2,446 ",N/A, $-   ,N/A, N/A 
4,4915,LAS VEGAS RAIDERS, $-   ,LAS VEGAS KNIGHTS, $393 ,N/A, N/A 
34,6458,LIBERTY, $406 ,WASHINGTON COMMANDRS, $747 ,N/A , N/A 
22,8276,LOUISVILLE," $3,476 ",KENTUCKY, $115 ,N/A , N/A 
15,8265,LSU," $2,544 ",MCNEESE STATE, $547 ,N/A , N/A 
17,8181,LSU," $2,684 ",NEW ORLEANS SAINTS, $745 ,N/A , N/A 
17,8273,LSU," $1,796 ",NEW ORLEANS SAINTS, $533 ,N/A , N/A 
17,6521,LSU," $1,899 ",NEW ORLEANS SAINTS," $1,089 ",N/A , N/A 
17,4874,LSU," $1,762 ",NEW ORLEANS SAINTS," $1,270 ",N/A , N/A 
17,4109,LSU," $1,028 ",NEW ORLEANS SAINTS, $871 ,N/A , N/A 
17,6220,NEW ORLEANS SAINTS," $2,596 ",LSU, $509 ,N/A, N/A 
17,4837,LSU," $2,771 ",NEW ORLEANS SAINTS, $703 ,SOUTHERN, N/A 
40,6333,MAINE," $2,115 ",NEW ENGLAND PATRIOTS, $333 ,BOSTON BRUINS, $977 
27,8152,MARSHALL ," $3,640 ",OHIO STATE," $2,002 ",N/A , N/A 
38,6652,WASHINGTON CAPITALS, $831 ,BALTIMORE RAVENS, $-   ,N/A, N/A 
32,6217,MIAMI DOLPHINS," $1,077 ",MIAMI, $303 ,N/A, N/A 
32,6637,MIAMI DOLPHINS," $1,318 ",FLORIDA PANTHERS, $725 ,N/A, N/A 
32,8173,MIAMI DOLPHINS, $973 ,FLORIDA STATE, $300 ,N/A, N/A 
32,4972,MIAMI DOLPHINS," $1,402 ",MIAMI HEAT, $304 ,N/A, N/A 
32,6341,MIAMI DOLPHINS," $2,240 ",N/A, $-   ,N/A, N/A 
32,8130,MIAMI DOLPHINS," $1,421 ",N/A, $-   ,N/A, N/A 
32,6364,MIAMI DOLPHINS," $1,410 ",N/A, $-   ,N/A, N/A 
32,8150,N/A, $-   ,N/A, $-   ,N/A, N/A 
32,4857,TAMPA BAY BUCCANEERS," $1,021 ",N/A, $-   ,N/A, N/A 
26,6412,MICHIGAN ," $2,496 ",DETROIT LIONS," $2,485 ",DETROIT RED WINGS," $1,479 "
25,6661,MICHIGAN ," $1,587 ",WESTERN MICHIGAN," $1,569 ",DETROIT LIONS, $390 
26,6666,MICHIGAN ," $2,214 ",DETROIT LIONS," $1,841 ",N/A , N/A 
25,6429,MICHIGAN , $945 ,DETROIT LIONS, $-   ,N/A , N/A 
25,8291,MICHIGAN , $900 ,DETROIT LIONS, $612 ,N/A , N/A 
26,6660,DETROIT LIONS," $3,508 ",MICHIGAN , $607 ,N/A , N/A 
26,6657,MICHIGAN ," $1,341 ",MICHIGAN STATE ," $1,244 ",N/A , N/A 
25,6658,MICHIGAN ," $1,732 ",MICHIGAN STATE ," $1,248 ",N/A , N/A 
25,6359,MICHIGAN ," $1,303 ",DETROIT LIONS, $-   ,N/A, N/A 
25,6417,MICHIGAN ," $1,887 ",DETROIT LIONS, $474 ,N/A, N/A 
26,6667,MICHIGAN ," $2,758 ",DETROIT LIONS," $1,097 ",N/A, N/A 
25,6663,MICHIGAN , $-   ,DETROIT LIONS, $-   ,N/A, N/A 
26,6664,MICHIGAN ," $1,597 ",DETROIT LIONS," $2,278 ",N/A, N/A 
25,4944,DETROIT RED WINGS," $1,041 ",MICHIGAN , $-   ,N/A, N/A 
25,4781,MICHIGAN STATE ," $3,580 ",DETROIT LIONS," $1,005 ",N/A , N/A 
26,6454,DETROIT LIONS," $3,251 ",MICHIGAN STATE , $388 ,N/A, N/A 
25,6319,DETROIT LIONS," $1,665 ",MICHIGAN STATE , $574 ,N/A, N/A 
18,6309,MINNESOTA VIKINGS," $1,773 ",MINNESOTA, $830 ,MINNESOTA WILD, $572 
18,4736,MINNESOTA," $2,215 ",MINNESOTA VIKINGS, $985 ,MINNESOTA WILD, $900 
18,6311,MINNESOTA," $1,464 ",MINNESOTA VIKINGS," $1,539 ",MINNESOTA WILD," $1,021 "
18,6312,MINNESOTA," $1,609 ",MINNESOTA WILD," $1,469 ",MINNESOTA VIKINGS, $950 
8,6427,MINNESOTA," $1,332 ",MINNESOTA VIKINGS," $1,622 ",N/A , N/A 
7,4933,N DAKOTA STATE, $754 ,MINNESOTA VIKINGS," $1,077 ",N/A , N/A 
18,6254,MINNESOTA," $1,564 ",MINNESOTA VIKINGS," $1,752 ",N/A , N/A 
18,4787,MINNESOTA," $1,560 ",MINNESOTA VIKINGS," $1,167 ",N/A , N/A 
18,4738,MINNESOTA VIKINGS," $1,482 ",MINNESOTA," $1,059 ",N/A, N/A 
8,6514,IOWA," $1,988 ",MINNESOTA VIKINGS, $-   ,N/A, N/A 
18,6310,MINNESOTA, $887 ,MINNESOTA VIKINGS," $1,434 ",N/A, N/A 
8,6510,MINNESOTA VIKINGS," $2,767 ",MINNESOTA WILD, $890 ,N/A, N/A 
18,8183,MINNESOTA VIKINGS," $3,166 ",MINNESOTA WILD," $1,268 ",N/A, N/A 
7,6320,MINNESOTA VIKINGS," $1,853 ",MINNESOTA-DULUTH," $1,027 ",N/A, N/A 
7,6565,N/A, $-   ,N/A, $-   ,N/A, N/A 
23,6329,MISSISSIPPI STATE," $2,614 ",OLE MISS, $903 ,N/A , N/A 
3,4805,MONTANA STATE," $1,497 ",MONTANA, $240 ,N/A , N/A 
3,6379,MONTANA STATE," $1,954 ",MONTANA," $1,613 ",N/A , N/A 
38,6357,MARYLAND, $853 ,WASHINGTON CAPITALS," $1,807 ",N/A, N/A 
35,6570,N CAROLINA A&T STATE," $1,129 ",N CAROLINA CENTRAL, $783 ,N/A , N/A 
35,4831,N CAROLINA," $2,372 ",N CAROLINA CENTRAL," $2,011 ",N/A , N/A 
35,6976,N CAROLINA STATE," $1,979 ",N CAROLINA," $1,433 ",N/A , N/A 
35,8223,N CAROLINA STATE," $2,271 ",N/A , $-   ,N/A , N/A 
8,8146,NEBRASKA," $2,826 ",CREIGHTON," $1,485 ",N/A , N/A 
8,4873,NEBRASKA," $2,984 ",KANSAS CITY CHIEFS," $1,349 ",N/A , N/A 
8,6181,NEBRASKA," $2,882 ",KANSAS CITY CHIEFS," $1,037 ",N/A , N/A 
8,6413,NEBRASKA," $2,826 ",N/A, $-   ,N/A , N/A 
8,6461,NEBRASKA," $3,156 ",N/A, $-   ,N/A, N/A 
1,4768,NEVADA," $3,643 ",N/A, $-   ,N/A, N/A 
40,6386,NEW ENGLAND PATRIOTS, $873 ,BOSTON BRUINS, $758 ,N/A, N/A 
40,6352,NEW ENGLAND PATRIOTS," $1,283 ",BOSTON BRUINS, $793 ,N/A, N/A 
40,8186,BOSTON BRUINS, $516 ,MAINE, $487 ,N/A, N/A 
40,6462,MAINE, $759 ,NEW ENGLAND PATRIOTS, $826 ,N/A, N/A 
6,4961,N/A, $-   ,N/A, $-   ,N/A, N/A 
6,4938,NEW MEXICO," $2,777 ",N/A, $-   ,N/A, N/A 
6,4703,NEW MEXICO," $2,403 ",N/A, $-   ,N/A, N/A 
6,6408,NEW MEXICO," $1,312 ",N/A, $-   ,N/A, N/A 
6,6672,NEW MEXICO," $2,741 ",N/A, $-   ,N/A, N/A 
6,4784,NEW MEXICO STATE," $3,982 ",N/A, $-   ,N/A, N/A 
17,8261,NEW ORLEANS SAINTS," $1,904 ",NEW ORLEANS PELICANS, $655 ,LSU, $510 
17,8114,LA AT LAFAYETTE," $1,048 ",NEW ORLEANS SAINTS," $1,283 ",LSU, $638 
24,8236,NEW ORLEANS SAINTS," $1,988 ",LSU, $-   ,N/A, N/A 
17,8221,NEW ORLEANS SAINTS," $2,118 ",NEW ORLEANS PELICANS, $910 ,SOUTHERN, $432 
17,4775,NEW ORLEANS SAINTS," $3,564 ",LSU, $443 ,XAVIER, $310 
40,6369,RUTGERS," $1,555 ",NEW YORK GIANTS, $370 ,N/A, N/A 
40,4774,NEW YORK GIANTS, $889 ,NEW YORK JETS, $242 ,N/A, N/A 
37,6201,N/A, $-   ,N/A, $-   ,N/A, N/A 
40,6356,NEW YORK GIANTS," $1,136 ",N/A, $-   ,N/A, N/A 
40,6423,N/A, $-   ,N/A, $-   ,N/A, N/A 
37,6456,N/A, $-   ,N/A, $-   ,N/A, N/A 
40,6428,NEW YORK ISLANDERS, $756 ,NEW YORK GIANTS, $859 ,NEW YORK JETS, N/A 
37,6440,NEW YORK GIANTS," $1,231 ",NEW YORK JETS, $-   ,N/A, N/A 
34,6368,NORFOLK STATE," $1,234 ",ELIZABETH CITY STATE, $560 ,N/A , N/A 
34,4711,N/A, $-   ,N/A, $-   ,N/A, N/A 
30,6355,APPALACHIAN STATE," $2,609 ",N CAROLINA, $453 ,N/A , N/A 
30,6452,N CAROLINA," $1,321 ",CAROLINA PANTHERS, $97 ,N/A , N/A 
30,4917,N CAROLINA, $829 ,CAROLINA PANTHERS, $218 ,N/A, N/A 
34,6402,N CAROLINA A&T STATE," $3,186 ",N CAROLINA," $1,408 ",BENNETT COLLEGE, N/A 
7,6385,MINNESOTA VIKINGS," $1,731 ",N DAKOTA, $849 ,N/A , N/A 
7,8172,N DAKOTA STATE," $2,140 ",MINNESOTA VIKINGS, $546 ,N/A , N/A 
25,6315,NOTRE DAME," $2,229 ",N/A, $-   ,N/A, N/A 
33,6317,OHIO STATE," $3,385 ",CLEVELAND BROWNS," $2,079 ",CLEVELAND CAVALIERS," $1,421 "
22,6517,OHIO STATE," $4,092 ",CINCINNATI BENGALS, $775 ,N/A , N/A 
33,6327,OHIO STATE," $1,987 ",CLEVELAND BROWNS, $998 ,N/A , N/A 
27,6407,OHIO STATE," $3,214 ",CLEVELAND BROWNS, $503 ,N/A , N/A 
27,4947,OHIO STATE," $2,178 ",CLEVELAND BROWNS, $364 ,N/A , N/A 
33,6404,OHIO STATE," $1,645 ",CLEVELAND BROWNS," $1,765 ",N/A , N/A 
26,8139,OHIO STATE," $3,415 ",TOLEDO," $2,182 ",N/A , N/A 
27,4963,OHIO STATE," $3,941 ",CLEVELAND BROWNS, $313 ,N/A, N/A 
27,6307,OHIO STATE," $3,060 ",CLEVELAND BROWNS, $132 ,N/A, N/A 
27,6556,OHIO STATE," $2,304 ",W VIRGINIA, $-   ,N/A, N/A 
33,6322,OHIO STATE," $2,641 ",PITTSBURGH STEELERS, $636 ,N/A, N/A 
26,4962,OHIO STATE," $4,960 ",N/A, $-   ,N/A, N/A 
27,6375,OHIO STATE," $5,792 ",N/A, $-   ,N/A, N/A 
27,6242,OHIO STATE," $4,943 ",N/A, $-   ,N/A, N/A 
27,6308,OHIO STATE," $5,324 ",N/A, $-   ,N/A, N/A 
27,6326,OHIO STATE," $6,382 ",N/A, $-   ,N/A, N/A 
22,6380,OHIO STATE," $4,854 ",DAYTON," $1,028 ",CENTRAL STATE, N/A 
10,6267,OKLAHOMA," $1,485 ",OKLAHOMA STATE, $532 ,KANSAS CITY CHIEFS, $791 
10,4839,OKLAHOMA," $1,929 ",OKLAHOMA STATE, $900 ,N/A , N/A 
10,6238,OKLAHOMA," $1,338 ",OKLAHOMA STATE, $809 ,N/A , N/A 
10,8117,OKLAHOMA," $1,503 ",OKLAHOMA STATE, $611 ,OKC THUNDER," $1,391 "
10,8241,OKLAHOMA," $2,704 ",KANSAS CITY CHIEFS, $589 ,N/A , N/A 
10,8263,OKLAHOMA," $1,190 ",KANSAS CITY CHIEFS," $1,248 ",N/A , N/A 
10,6342,OKLAHOMA," $2,184 ",OKLAHOMA STATE," $1,408 ",N/A , N/A 
10,7189,OKLAHOMA," $1,701 ",DALLAS COWBOYS, $-   ,N/A, N/A 
10,6779,OKLAHOMA," $3,153 ",DAYTON, $-   ,N/A, N/A 
10,8239,OKLAHOMA," $1,969 ",OKLAHOMA STATE, $-   ,N/A, N/A 
10,8289,OKLAHOMA," $2,056 ",N/A, $-   ,N/A, N/A 
10,4761,OKLAHOMA," $4,007 ",N/A, $-   ,N/A, N/A 
23,4740,OLE MISS," $1,569 ",MEMPHIS GRIZZLIES," $1,340 ",N/A , N/A 
37,6460,PENN STATE," $3,443 ",PITTSBURGH STEELERS, $457 ,PITTSBURGH PENGUINS," $1,130 "
37,6675,PENN STATE," $2,842 ",PITTSBURGH PENGUINS," $1,164 ",PITTSBURGH STEELERS, $661 
39,8160,PHILADELPHIA EAGLES," $2,503 ",PENN STATE," $1,073 ",N/A , N/A 
37,6533,PENN STATE," $5,452 ",N/A, $-   ,N/A, N/A 
40,8191,PENN STATE," $3,053 ",PITTSBURGH STEELERS, $292 ,N/A, N/A 
39,8175,PENN STATE," $2,034 ",PITTSBURGH STEELERS, $386 ,N/A, N/A 
39,4994,PENN STATE," $1,951 ",PITTSBURGH STEELERS, $386 ,N/A, N/A 
39,6330,PHILADELPHIA EAGLES," $1,768 ",MARYLAND, $-   ,N/A , N/A 
39,6536,PHILADELPHIA EAGLES, $800 ,NEW YORK GIANTS, $757 ,N/A, N/A 
39,6693,PHILADELPHIA EAGLES," $2,357 ",N/A, $-   ,N/A, N/A 
39,6567,PHILADELPHIA EAGLES," $2,058 ",N/A, $-   ,N/A, N/A 
39,6332,PHILADELPHIA EAGLES," $3,168 ",N/A, $-   ,N/A, N/A 
39,8145,PHILADELPHIA EAGLES," $2,670 ",N/A, $-   ,N/A, N/A 
39,8144,PHILADELPHIA EAGLES," $2,710 ",N/A, $-   ,N/A, N/A 
39,4722,PHILADELPHIA EAGLES," $3,731 ",N/A, $-   ,N/A, N/A 
39,6676,PHILADELPHIA EAGLES," $4,238 ",N/A, $-   ,N/A, N/A 
39,6670,PHILADELPHIA EAGLES," $3,497 ",N/A, $-   ,N/A, N/A 
33,6575,PITTSBURGH STEELERS," $2,559 ",PITTSBURGH," $1,161 ",PITTSBURGH PENGUINS," $1,843 "
33,6677,PITTSBURGH," $1,656 ",PITTSBURGH STEELERS," $1,362 ",PITTSBURGH PENGUINS, $384 
33,6679,PITTSBURGH PENGUINS, $648 ,PITTSBURGH STEELERS," $1,630 ",N/A, N/A 
40,6581,PITTSBURGH STEELERS," $1,784 ",PENN STATE, $740 ,N/A , N/A 
27,6251,PITTSBURGH STEELERS," $2,064 ",PITTSBURGH PENGUINS," $1,435 ",N/A, N/A 
37,4859,PITTSBURGH STEELERS," $2,781 ",PITTSBURGH PENGUINS," $1,292 ",N/A, N/A 
37,4952,PITTSBURGH STEELERS," $1,639 ",PITTSBURGH PENGUINS," $1,220 ",N/A, N/A 
33,6678,PITTSBURGH STEELERS," $2,922 ",PITTSBURGH PENGUINS," $1,431 ",N/A, N/A 
33,4847,PITTSBURGH STEELERS," $2,858 ",PITTSBURGH PENGUINS," $1,415 ",N/A, N/A 
37,6547,PENN STATE," $3,978 ",N/A, $-   ,N/A, N/A 
38,4855,N/A, $-   ,N/A, $-   ,N/A, N/A 
13,4721,PRAIRIE VIEW A&M," $1,294 ",HOUSTON TEXANS, $750 ,N/A , N/A 
15,8274,HOUSTON," $1,306 ",HOUSTON TEXANS, $863 ,PRAIRIE VIEW A&M, N/A 
21,6424,NOTRE DAME, CLUB REQUEST ,INDIANA, $370 ,N/A , N/A 
21,8169,PURDUE," $9,559 ",N/A, $-   ,N/A, N/A 
39,6671,RUTGERS, $724 ,NEW YORK RANGERS, $444 ,N/A, N/A 
1,4819,SAN FRANCISCO 49ERS, $-   ,N/A, $-   ,N/A , N/A 
1,4767,LOS ANGELES LAKERS," $1,272 ",SAN FRANCISCO 49ERS, $-   ,N/A, N/A 
1,6405,SAN FRANCISCO 49ERS," $2,214 ",N/A, $-   ,N/A, N/A 
1,6612,SAN FRANCISCO 49ERS," $2,637 ",N/A, $-   ,N/A, N/A 
1,6433,SAN FRANCISCO 49ERS," $3,031 ",N/A, $-   ,N/A, N/A 
1,6620,SAN FRANCISCO 49ERS," $1,562 ",N/A, $-   ,N/A, N/A 
1,6621,SAN FRANCISCO 49ERS," $2,651 ",N/A, $-   ,N/A, N/A 
1,4799,SAN FRANCISCO 49ERS," $2,476 ",N/A, $-   ,N/A, N/A 
29,4820,GEORGIA," $3,670 ",GEORGIA SOUTHERN," $1,125 ",SAVANNAH STATE, N/A 
29,4879,S CAROLINA," $1,850 ",CLEMSON," $1,137 ",N/A , N/A 
35,6203,S CAROLINA," $3,367 ",CLEMSON," $1,171 ",N/A , N/A 
30,6236,S CAROLINA," $2,004 ",CLEMSON," $1,718 ",N/A , N/A 
35,4872,S CAROLINA," $3,147 ",CLEMSON," $1,449 ",N/A , N/A 
35,6571,S CAROLINA," $2,640 ",CLEMSON, $-   ,N/A, N/A 
29,6582,S CAROLINA, $722 ,SAVANNAH STATE, $-   ,N/A, N/A 
35,8283,S CAROLINA," $2,992 ",S CAROLINA STATE, $800 ,BENEDICT COLLEGE, N/A 
7,8165,S DAKOTA STATE," $1,295 ",MINNESOTA VIKINGS," $2,191 ",N/A , N/A 
19,8180,SOUTHERN ILLINOIS," $3,652 ",N/A, $-   ,N/A, N/A 
17,6503,SOUTHERN MISSISSIPPI," $3,884 ",N/A, $-   ,N/A , N/A 
17,6527,SOUTHERN," $2,865 ",LSU," $1,890 ",N/A , N/A 
31,4852,TAMPA BAY BUCCANEERS," $1,929 ",SOUTH FLORIDA, $878 ,N/A , N/A 
32,6520,TAMPA BAY BUCCANEERS, $617 ,MIAMI DOLPHINS, $741 ,N/A, N/A 
36,8290,CENTRAL FLORIDA, $573 ,TAMPA BAY BUCCANEERS, $128 ,N/A, N/A 
31,6387,TAMPA BAY BUCCANEERS," $2,733 ",TAMPA BAY LIGHTNING," $1,127 ",N/A, N/A 
31,6403,TAMPA BAY BUCCANEERS," $1,757 ",TAMPA BAY LIGHTNING, $902 ,N/A, N/A 
31,6401,TAMPA BAY BUCCANEERS," $2,729 ",TAMPA BAY LIGHTNING," $1,259 ",N/A, N/A 
31,6420,TAMPA BAY BUCCANEERS," $1,930 ",TAMPA BAY LIGHTNING, $995 ,N/A, N/A 
31,4801,TAMPA BAY BUCCANEERS," $2,127 ",TAMPA BAY LIGHTNING, $622 ,N/A, N/A 
31,6448,TAMPA BAY BUCCANEERS," $2,109 ",N/A, $-   ,N/A, N/A 
31,8201,TAMPA BAY BUCCANEERS," $1,612 ",N/A, $-   ,N/A, N/A 
31,4861,N/A, $-   ,N/A, $-   ,N/A, N/A 
31,4772,TAMPA BAY BUCCANEERS," $1,225 ",N/A, $-   ,N/A, N/A 
11,6244,TEXAS," $1,298 ",DALLAS COWBOYS, CLUB REQUEST ,N/A , N/A 
23,6501,TENNESSEE," $4,274 ",NASHVILLE PREDATORS," $1,507 ",N/A , N/A 
23,6249,TENNESSEE," $2,157 ",NASHVILLE PREDATORS, $991 ,N/A , N/A 
23,4930,TENNESSEE," $4,252 ",N/A, $-   ,N/A, N/A 
23,6507,TENNESSEE," $4,689 ",N/A, $-   ,N/A, N/A 
27,8256,TENNESSEE," $14,827 ",N/A, $-   ,N/A, N/A 
23,8112,TENNESSEE," $4,168 ",N/A, $-   ,N/A, N/A 
27,6572,TENNESSEE," $15,370 ",N/A, $-   ,N/A, N/A 
27,8222,E TENNESSEE STATE," $2,931 ",N/A, $-   ,N/A, N/A 
23,6256,MEMPHIS," $2,407 ",TENNESSEE TITANS, $-   ,MEMPHIS GRIZZLIES," $1,055 "
23,6260,MEMPHIS," $4,753 ",TENNESSEE TITANS, $144 ,MEMPHIS GRIZZLIES," $2,600 "
23,8257,TENNESSEE," $3,944 ",NASHVILLE PREDATORS," $1,164 ",N/A , N/A 
23,8292,MEMPHIS," $2,562 ",TENNESSEE TITANS, $-   ,N/A, N/A 
23,6512,NASHVILLE PREDATORS," $1,356 ",TENNESSEE TITANS," $1,452 ",N/A, N/A 
27,6518,N/A, $-   ,N/A, $-   ,N/A, N/A 
23,8294,NASHVILLE PREDATORS, $984 ,TENNESSEE TITANS," $1,281 ",TENNESSEE STATE, $559 
13,4720,TEXAS," $2,127 ",DALLAS COWBOYS, $619 ,N/A , N/A 
14,4795,DALLAS COWBOYS, $-   ,TEXAS, $-   ,N/A, N/A 
12,6262,DALLAS COWBOYS," $2,312 ",UTSA, $377 ,SAN ANTONIO SPURS," $1,308 "
13,6338,TEXAS A&M," $5,251 ",N/A, $-   ,N/A, N/A 
15,4769,HOUSTON TEXANS," $1,252 ",TEXAS SOUTHERN, $699 ,N/A , N/A 
12,4958,TEXAS," $2,255 ",TEXAS STATE," $1,455 ",N/A , N/A 
6,8270,TEXAS TECH," $5,155 ",N/A, $-   ,N/A, N/A 
2,4709,N/A, $-   ,N/A, $-   ,N/A, N/A 
40,6636,UCONN, $421 ,N/A , $-   ,N/A , N/A 
40,6674,NEW YORK GIANTS, $860 ,NEW YORK JETS, $-   ,N/A, N/A 
3,4730,UTAH," $1,992 ",LAS VEGAS RAIDERS, $-   ,UTAH JAZZ, $269 
3,4718,UTAH," $3,315 ",BYU, $703 ,N/A , N/A 
3,6683,UTAH," $1,258 ",UTAH JAZZ, $319 ,N/A , N/A 
3,6682,UTAH," $1,574 ",N/A, $-   ,N/A, N/A 
3,6686,UTAH," $2,035 ",N/A, $-   ,N/A, N/A 
3,4786,UTAH STATE ," $2,408 ",N/A, $-   ,N/A, N/A 
34,6365,VIRGINIA," $1,650 ",WASHINGTON COMMANDRS, $146 ,N/A, N/A 
34,6524,VIRGINIA STATE," $1,921 ",N/A, $-   ,N/A, N/A 
34,8220,VIRGINIA TECH," $2,849 ",N/A, $-   ,N/A, N/A 
34,4996,WASHINGTON COMMANDRS, $609 ,DUKE, $637 ,N/A , N/A 
38,6371,WASHINGTON COMMANDRS," $1,385 ",VIRGINIA TECH, $528 ,N/A, N/A 
34,6343,N/A, $-   ,N/A, $-   ,N/A, N/A 
34,4710,N/A, $-   ,N/A, $-   ,N/A, N/A 
38,4729,N/A, $-   ,N/A, $-   ,N/A, N/A 
38,6655,N/A, $-   ,N/A, $-   ,N/A, N/A 
34,6354,N/A, $-   ,N/A, $-   ,N/A, N/A 
38,8193,W VIRGINIA, $996 ,BALTIMORE RAVENS," $1,016 ",N/A , N/A 
34,6569,VIRGINIA TECH," $1,609 ",W VIRGINIA, $216 ,N/A , N/A 
27,6457,W VIRGINIA," $2,038 ",W VIRGINIA STATE, $-   ,N/A, N/A 
27,6373,W VIRGINIA," $2,401 ",N/A, $-   ,N/A, N/A 
34,4860,W VIRGINIA," $2,884 ",N/A, $-   ,N/A, N/A 
33,8189,W VIRGINIA," $2,813 ",N/A, $-   ,N/A, N/A 
33,4936,W VIRGINIA," $4,278 ",N/A, $-   ,N/A, N/A 
22,4876,WESTERN KENTUCKY," $4,691 ",N/A, $-   ,N/A, N/A 
34,8228,WINSTON-SALEM STATE, $861 ,CAROLINA PANTHERS, $324 ,N/A , N/A 
18,6321,GREEN BAY PACKERS," $3,684 ",WISCONSIN, $225 ,MILWAUKEE BUCKS," $1,347 "
20,4840,WISCONSIN," $1,887 ",GREEN BAY PACKERS," $1,488 ",N/A , N/A 
18,8185,GREEN BAY PACKERS," $1,820 ",WISCONSIN, $804 ,N/A , N/A 
18,6436,GREEN BAY PACKERS," $2,365 ",WISCONSIN, $859 ,N/A , N/A 
7,6430,WYOMING," $4,939 ",N/A, $-   ,N/A, N/A 
7,6425,WYOMING," $2,417 ",N/A, $-   ,N/A, N/A 
36,6225,N/A, $-   ,N/A, $-   ,N/A, N/A 
36,6680,N/A, $-   ,N/A, $-   ,N/A, N/A 
36,6270,N/A, $-   ,N/A, $-   ,N/A, N/A 
36,6543,N/A, $-   ,N/A, $-   ,N/A, N/A 
36,6690,N/A, $-   ,N/A, $-   ,N/A, N/A 
36,4866,N/A, $-   ,N/A, $-   ,N/A, N/A 
36,6689,N/A, $-   ,N/A, $-   ,N/A, N/A 
32,6445,N/A, $-   ,N/A, $-   ,N/A, N/A 
