Store #,Store Type,Shipping City,State,Zip Code,Tier Name,Article #
495,Supercenter,Columbus,MS,39705,Tier 02 ,100673606
497,Supercenter,Shelbyville,KY,40065,Tier 05,100673609
498,Supercenter,Jena,LA,71342,Tier 03,100673607
499,Supercenter,Enid,OK,73703,Tier 05,100673609
500,Supercenter,El Paso,TX,79924,Tier 05,100673609
501,Supercenter,Laurel,MS,39440,Tier 01 ,100673605
502,Supercenter,Galliano,LA,70345,Tier 05,100673609
503,Wal-Mart,Columbus,TX,78934,Tier 04,100673608
504,Supercenter,Galveston,TX,77551,Tier 04,100673608
505,Supercenter,Deridder,LA,70634,Tier 05,100673609
506,Supercenter,Flora,IL,62839,Tier 05,100673609
507,Supercenter,Lawrenceburg,KY,40342,Tier 04,100673608
508,Supercenter,Kerrville,TX,78028,Tier 03,100673607
510,Supercenter,Gainsville,GA,30504,Tier 01 ,100673605
511,Supercenter,Sumter,SC,29150,Tier 03,100673607
512,Supercenter,El Paso,TX,79935,Tier 05,100673609
513,Supercenter,Big Spring,TX,79720,Tier 05,100673609
514,Supercenter,Aiken,SC,29803,Tier 04,100673608
515,Supercenter,Murphy,NC,28906,Tier 03,100673607
516,Supercenter,Gun Barrel City,TX,75156,Tier 03,100673607
517,Supercenter,Mustang,OK,73169,Tier 03,100673607
518,Supercenter,Canton,GA,30114,Tier 01 ,100673605
519,Supercenter,Harrodsburg,KY,40330,Tier 04,100673608
520,Supercenter,Winder,GA,30680,Tier 01 ,100673605
521,Supercenter,Lake Charles,LA,70601,Tier 05,100673609
522,Supercenter,Crosby,TX,77532,Tier 04,100673608
523,Supercenter,Carthage,TX,75633,Tier 03,100673607
524,Supercenter,Kenedy,TX,78119,Tier 03,100673607
525,Neighborhood Market,Lake Mary,FL,32746,Tier 02 ,100673606
526,Supercenter,Louisville,KY,40241,Tier 04,100673608
527,Supercenter,Angleton,TX,77515,Tier 04,100673608
528,Supercenter,Braden River,FL,34203,Tier 01 ,100673605
529,Supercenter,La Marque,TX,77568,Tier 04,100673608
530,Supercenter,El Dorado,AR,71730,Tier 03,100673607
531,Supercenter,Lafayette,LA,70506,Tier 05,100673609
532,Supercenter,Gonzales,LA,70737,Tier 05,100673609
533,Supercenter,New Iberia,LA,70560,Tier 05,100673609
535,Supercenter,Abilene,TX,79606,Tier 05,100673609
536,Supercenter,Abilene,TX,79601,Tier 05,100673609
537,Supercenter,Odessa,TX,79762,Tier 05,100673609
538,Supercenter,Gainesville,FL,32653,Tier 01 ,100673605
539,Supercenter,Alexandria,LA,71301,Tier 03,100673607
540,Supercenter,Morgan City,LA,70380,Tier 05,100673609
541,Supercenter,Covington,LA,70433,Tier 04,100673608
542,Supercenter,Houma,LA,70360,Tier 05,100673609
543,Supercenter,Opelousas,LA,70570,Tier 05,100673609
544,Supercenter,Oklahoma City,OK,73115,Tier 03,100673607
545,Wal-Mart,Manchester,KY,40962,Tier 04,100673608
546,Supercenter,Richmond,TX,77469,Tier 03,100673607
547,Supercenter,Plant City,FL,33566,Tier 02 ,100673606
548,Supercenter,Lawrenceville,GA,30046,Tier 01 ,100673605
549,Supercenter,Hobbs,NM,88240,Tier 05,100673609
550,Supercenter,Lawrenceville,IL,62439,Tier 05,100673609
551,Supercenter,Palatka,FL,32177,Tier 01 ,100673605
552,Wal-Mart,Whitesburg,KY,41858,Tier 05,100673609
553,Supercenter,Slidell,LA,70461,Tier 05,100673609
554,Wal-Mart,Laredo,TX,78041,Tier 03,100673607
555,Supercenter,Dublin,GA,31021,Tier 01 ,100673605
556,Supercenter,Waycross,GA,31503,Tier 01 ,100673605
557,Supercenter,Emporia,KS,66801,Tier 05,100673609
558,Supercenter,Salina,KS,67401,Tier 05,100673609
559,Supercenter,Muscatine,IA,52761,Tier 04,100673608
560,Supercenter,Saint Joseph,MO,64506,Tier 05,100673609
561,Supercenter,Eastland,TX,76448,Tier 05,100673609
562,Supercenter,Leeds,AL,35094,Tier 01 ,100673605
563,Supercenter,Orange City,FL,32763,Tier 01 ,100673605
564,Supercenter,Oklahoma City,OK,73127,Tier 03,100673607
565,Supercenter,Corsicana,TX,75110,Tier 03,100673607
566,Supercenter,Boonville,IN,47601,Tier 04,100673608
567,Wal-Mart,Caldwell,TX,77836,Tier 03,100673607
568,Supercenter,Carthage,TN,37030,Tier 02 ,100673606
569,Supercenter,Columbia,KY,42728,Tier 04,100673608
571,Supercenter,Georgetown,KY,40324,Tier 03,100673607
572,Supercenter,Kilgore,TX,75662,Tier 03,100673607
573,Supercenter,Lees Summit,MO,64086,Tier 05,100673609
574,Supercenter,Surfiside Beach,SC,29575,Tier 04,100673608
575,Supercenter,Woodstock,GA,30188,Tier 02 ,100673606
576,Supercenter,Tulsa,OK,74112,Tier 03,100673607
577,Supercenter,Olathe,KS,66062,Tier 05,100673609
578,Supercenter,Sevierville,TN,37862,Tier 02 ,100673606
579,Supercenter,St Augustine,FL,32086,Tier 02 ,100673606
580,Supercenter,Bartow,FL,33830,Tier 01 ,100673605
