Store Number,Patio Set Week,Parking Lot Set
727,6,6
728,51,No Set
729,2,2
730,1,1
731,52,52
733,52,52
734,52,52
735,2,2
736,2,No Set
737,2,No Set
738,2,No Set
739,5,5
740,1,No Set
741,2,2
742,6,6
743,3,3
744,2,2
745,4,No Set
746,4,4
747,5,5
748,7,7
749,7,7
750,7,7
751,5,No Set
752,52,52
753,7,7
754,2,2
755,2,2
756,6,6
757,1,1
758,2,2
759,52,No Set
760,2,No Set
761,51,51
762,52,No Set
764,52,No Set
765,3,3
766,1,No Set
767,52,No Set
768,4,4
769,52,No Set
770,5,5
771,52,52
772,52,No Set
773,52,No Set
774,11,11
775,7,7
776,11,11
777,4,4
778,52,52
779,49,49
780,4,No Set
781,1,1
782,2,2
783,2,No Set
784,7,7
785,1,No Set
786,7,7
787,4,No Set
788,2,2
789,52,52
790,11,11
791,52,52
792,5,5
793,52,52
794,5,5
795,2,2
796,7,7
797,7,7
798,7,7
799,5,5
800,52,52
801,4,4
802,8,8
803,51,No Set
804,2,2
805,4,4
806,6,6
807,1,1
808,52,52
809,52,52
810,7,7
811,52,52
812,52,52
813,52,52
814,49,No Set
815,4,4
816,1,1
817,49,No Set
818,51,No Set
819,52,No Set
820,4,4
821,6,6
822,2,2
823,4,4
824,8,8
825,5,5
826,No Set,No Set
827,52,52
828,6,6
829,11,11
830,5,5
831,No Set,No Set
833,5,5
834,4,4
835,8,8
836,50,No Set
837,6,6
838,4,4
839,51,No Set
840,3,No Set
841,5,No Set
842,11,11
843,2,2
844,7,7
845,3,3
846,52,52
847,8,8
848,1,1
849,52,52
850,No Set,No Set
851,13,13
852,7,7
853,52,52
854,5,5
855,4,No Set
856,6,6
857,50,No Set
858,2,2
859,52,No Set
860,50,50
861,1,1
862,52,52
863,52,52
864,2,2
865,2,2
866,5,5
867,11,11
868,6,6
869,13,13
870,5,5
871,4,4
872,52,52
873,13,13
874,1,1
875,52,No Set
876,1,No Set
877,6,No Set
878,6,6
879,2,2
880,1,No Set
881,4,4
882,8,8
884,6,6
885,11,11
886,7,7
887,52,52
888,3,3
889,4,4
890,52,No Set
891,7,7
892,7,7
893,1,No Set
894,2,No Set
895,6,6
896,1,1
897,2,2
898,2,No Set
899,2,No Set
900,52,52
901,4,4
902,5,5
903,52,No Set
904,52,52
905,11,11
906,11,11
907,4,4
908,52,No Set
909,50,No Set
910,8,8
911,50,No Set
912,50,No Set
913,7,7
914,6,6
915,1,1
916,52,52
917,3,No Set
918,1,1
919,52,No Set
920,3,No Set
921,13,13
922,5,5
923,5,5
924,11,11
925,49,No Set
927,52,52
928,3,3
929,49,No Set
930,52,No Set
931,52,52
932,4,4
933,7,7
934,52,52
935,52,No Set
936,7,7
937,6,6
938,52,No Set
939,1,1
940,5,5
941,52,52
942,52,No Set
943,52,No Set
944,52,52
945,1,1
947,52,52
948,6,6
950,2,2
951,52,52
952,2,2
953,11,11
954,52,No Set
955,52,No Set
956,49,49
957,7,7
958,8,8
959,52,52
960,52,No Set
961,51,No Set
962,11,11
963,4,4
964,52,52
965,9,9
966,13,13
967,49,49
968,49,No Set
969,52,52
970,52,52
971,9,9
972,3,3
973,52,52
974,49,49
975,3,3
976,1,1
977,52,52
978,5,5
979,9,9
980,11,11
981,52,52
982,9,No Set
984,11,11
985,7,7
986,15,15
987,52,No Set
988,52,No Set
989,50,No Set
990,52,52
991,52,52
992,2,No Set
993,5,5
994,52,No Set
995,5,5
996,5,5
998,3,No Set
999,52,52
1000,52,No Set
1001,11,11
1002,5,5
1003,7,7
1004,52,52
1005,7,7
1006,2,2
1007,9,9
1008,11,11
1009,4,4
1010,2,No Set
1011,52,52
1012,8,8
1013,6,6
1014,5,5
1015,52,52
1016,51,No Set
1017,4,4
1018,4,4
1019,11,11
1020,12,12
1021,4,4
1022,4,4
1023,8,8
1024,2,2
1025,1,1
1026,5,5
1027,6,6
1028,7,7
1029,52,No Set
1030,6,No Set
1032,51,No Set
1033,5,5
1034,6,6
1035,6,6
1036,6,6
1037,52,52
1038,12,12
1039,6,6
1040,1,1
1041,52,No Set
1042,52,52
1043,3,3
1044,4,4
1045,11,11
1046,52,No Set
1047,4,No Set
1048,4,4
1051,1,1
1052,52,52
1053,6,6
1054,5,5
1055,2,No Set
1056,3,3
1057,52,52
1058,13,13
1059,52,52
1060,6,6
1061,2,No Set
1062,4,4
1063,52,52
1064,6,6
1065,1,1
1066,5,5
1067,52,52
1068,52,52
1069,52,52
1070,6,6
1071,4,4
1072,2,2
1073,1,1
1074,1,1
1075,2,2
1076,2,No Set
1077,52,No Set
1078,3,No Set
1079,52,52
1080,6,6
1081,52,No Set
1082,51,No Set
1083,52,No Set
1084,49,No Set
1085,52,No Set
1086,52,No Set
1087,49,No Set
1088,52,52
1089,4,No Set
1090,51,No Set
1091,1,1
1093,7,No Set
1094,5,5
1095,13,13
1096,6,6
1097,4,4
1098,2,2
1099,3,No Set
1100,52,No Set
1101,52,No Set
1102,51,No Set
1103,1,1
1104,52,52
1105,1,1
1106,1,1
1107,51,No Set
1108,52,No Set
1109,52,No Set
1110,52,No Set
1111,6,6
1112,4,4
1113,5,5
1114,2,2
1115,2,No Set
1116,3,3
1117,2,2
1118,1,No Set
1119,49,No Set
1120,4,4
1121,4,No Set
1122,6,6
1123,6,6
1124,52,No Set
1125,7,7
1126,52,52
1128,1,No Set
1129,52,52
1130,6,No Set
1131,6,6
1132,6,No Set
1133,4,4
1134,52,No Set
1135,4,4
1136,52,No Set
1137,52,No Set
1138,8,8
1139,6,6
1140,6,6
1141,6,6
1142,5,5
1143,2,2
1144,6,6
1146,52,52
1147,2,2
1148,3,No Set
1149,1,No Set
1150,52,No Set
1151,5,5
1152,7,7
1153,2,No Set
1154,2,2
1155,4,4
1156,6,6
1157,5,5
1158,52,No Set
1159,6,6
1160,5,5
1161,4,4
1162,5,5
1163,50,No Set
1164,2,No Set
1165,7,7
1166,4,No Set
1167,6,No Set
1168,1,1
1169,52,No Set
1170,4,4
1171,52,No Set
1172,52,No Set
1173,51,No Set
1174,1,1
1175,2,No Set
1176,8,8
1177,4,4
1178,52,52
1179,8,8
1180,5,5
1181,4,No Set
1182,52,52
1183,4,4
1184,6,No Set
1185,52,52
1186,1,1
1187,5,5
1188,4,4
1189,4,No Set
1190,2,2
1191,4,No Set
1192,1,1
1193,52,No Set
1194,2,2
1195,52,52
1196,52,No Set
1197,6,No Set
1198,52,No Set
1199,15,15
1200,13,13
1201,1,No Set
1202,9,9
1203,52,52
1204,51,No Set
1205,52,No Set
1206,51,No Set
1207,52,No Set
1209,6,6
1210,6,6
1211,7,7
1212,52,52
1213,52,No Set
1214,5,5
1215,6,6
1216,52,No Set
1217,8,8
1218,52,No Set
1219,52,No Set
1220,49,No Set
1221,5,5
1222,52,No Set
1223,52,No Set
1224,52,No Set
1225,52,No Set
1226,2,No Set
1227,2,No Set
1228,7,7
1229,52,No Set
1230,2,2
1231,11,11
1232,52,52
1233,6,6
1234,2,2
1235,1,No Set
1236,2,2
1237,4,4
1238,4,No Set
1239,6,6
1240,4,No Set
1241,7,7
1242,8,8
1243,6,6
1244,6,6
1245,52,No Set
1247,6,6
1248,2,No Set
1249,3,No Set
1252,11,11
1253,52,No Set
1254,52,No Set
1255,2,No Set
1256,7,7
1257,3,No Set
1259,5,5
1260,1,1
1261,4,No Set
1263,5,5
1264,6,6
1265,5,No Set
1266,51,No Set
1267,8,8
1268,2,2
1270,2,No Set
1271,52,No Set
1272,4,4
1273,11,11
1274,8,8
1275,5,5
1276,8,8
1277,9,9
1279,1,No Set
1280,10,10
1281,6,6
1282,5,5
1283,52,No Set
1284,1,1
1285,7,7
1286,2,No Set
