STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,2023 TOTAL Sales Projection,LY Total Sales
83,0,0,0,No Kayak Modular would need to Request Modular,1
85,1,2,27,30,32
86,10,8,51,55,72
87,12,0,40,44,23
88,0,2,32,35,32
89,111,11,310,333,266
90,16,8,187,203,135
91,0,0,0,No Kayak Modular would need to Request Modular,0
92,6,10,70,75,54
93,11,2,19,20,13
94,0,0,0,No Kayak Modular would need to Request Modular,1
95,2,6,184,198,159
96,2,2,27,29,21
97,0,0,0,No Kayak Modular would need to Request Modular,1
98,2,0,13,14,19
99,1,2,33,35,28
100,5,10,69,74,90
101,7,6,239,258,250
102,0,0,0,No Kayak Modular would need to Request Modular,0
103,2,4,39,42,17
104,10,4,44,48,30
105,16,4,69,74,47
106,0,0,0,No Kayak Modular would need to Request Modular,0
107,14,4,46,49,37
108,3,2,31,33,21
109,7,2,29,32,38
110,0,0,0,No Kayak Modular would need to Request Modular,-1
111,0,0,1,No Kayak Modular would need to Request Modular,0
112,10,2,25,27,27
113,9,4,57,61,38
114,24,4,36,41,48
115,0,0,0,No Kayak Modular would need to Request Modular,1
116,0,0,0,No Kayak Modular would need to Request Modular,1
117,61,11,127,138,187
118,6,2,25,27,7
119,54,6,306,330,268
120,0,0,0,No Kayak Modular would need to Request Modular,0
121,4,2,24,26,25
122,20,4,41,44,35
123,0,0,0,No Kayak Modular would need to Request Modular,3
124,1,0,0,No Kayak Modular would need to Request Modular,0
125,12,10,43,46,79
126,6,2,17,18,30
127,2,2,24,28,31
128,3,2,24,26,34
129,85,4,80,92,67
130,1,0,0,No Kayak Modular would need to Request Modular,0
131,23,6,128,143,81
132,0,0,0,No Kayak Modular would need to Request Modular,0
133,0,0,0,No Kayak Modular would need to Request Modular,1
134,56,0,49,54,74
135,17,2,35,37,69
136,0,0,0,No Kayak Modular would need to Request Modular,2
137,7,4,48,52,58
138,17,4,118,129,79
139,0,2,43,46,47
140,22,4,45,48,65
141,3,4,35,40,38
143,30,12,175,188,196
144,3,10,83,89,105
145,0,0,-1,No Kayak Modular would need to Request Modular,0
146,14,4,46,55,50
147,21,11,101,112,103
148,14,6,132,146,67
149,9,0,22,25,28
150,0,0,0,No Kayak Modular would need to Request Modular,0
151,3,9,73,78,103
152,0,11,116,124,131
153,16,2,20,21,31
154,64,12,124,135,180
155,2,2,22,24,36
157,24,4,152,165,35
158,27,6,45,48,73
159,16,2,22,24,31
160,49,8,498,540,376
161,94,9,87,94,90
162,0,0,0,No Kayak Modular would need to Request Modular,0
163,11,4,50,55,65
164,0,0,0,No Kayak Modular would need to Request Modular,0
165,14,0,30,34,41
166,4,8,137,147,125
167,3,2,29,31,37
168,4,10,84,92,34
169,0,0,0,No Kayak Modular would need to Request Modular,2
170,16,0,23,25,20
171,0,0,0,No Kayak Modular would need to Request Modular,1
172,6,4,47,50,39
173,17,4,39,42,42
174,4,0,10,13,3
175,0,0,0,No Kayak Modular would need to Request Modular,0
176,0,0,0,No Kayak Modular would need to Request Modular,0
177,31,12,176,188,139
178,1,0,1,No Kayak Modular would need to Request Modular,50
179,5,4,45,48,60
180,25,4,41,47,72
181,20,0,11,13,15
182,10,2,16,17,41
183,1,0,1,No Kayak Modular would need to Request Modular,0
184,1,4,43,46,31
185,2,4,45,49,73
186,0,4,43,46,30
188,38,12,106,113,48
189,14,4,56,61,48
190,2,2,17,18,14
192,44,5,56,60,49
194,28,0,2,No Kayak Modular would need to Request Modular,8
195,0,4,33,35,25
196,23,2,29,33,18
197,0,0,0,No Kayak Modular would need to Request Modular,0
198,0,0,0,No Kayak Modular would need to Request Modular,0
199,0,0,11,No Kayak Modular would need to Request Modular,72
200,0,0,0,No Kayak Modular would need to Request Modular,0
201,0,0,0,No Kayak Modular would need to Request Modular,-1
202,0,0,0,16,0
203,0,0,0,No Kayak Modular would need to Request Modular,0
204,5,4,39,45,48
205,27,4,33,36,48
206,16,2,30,31,38
207,0,2,22,24,24
209,0,0,0,No Kayak Modular would need to Request Modular,0
210,0,0,0,No Kayak Modular would need to Request Modular,2
211,16,4,43,49,59
212,20,2,27,29,50
213,8,2,30,33,31
214,53,2,113,124,96
216,2,2,28,31,41
217,11,2,26,29,41
218,0,0,0,No Kayak Modular would need to Request Modular,0
219,4,14,36,40,113
220,20,4,59,67,50
221,9,0,16,17,25
222,5,2,15,17,25
224,0,0,0,No Kayak Modular would need to Request Modular,0
225,44,8,80,87,81
226,29,2,24,26,41
227,0,0,0,No Kayak Modular would need to Request Modular,12
228,6,2,35,39,66
229,0,0,0,No Kayak Modular would need to Request Modular,1
230,6,2,23,25,15
231,5,2,43,46,46
232,23,11,90,100,38
233,0,0,0,No Kayak Modular would need to Request Modular,0
234,4,4,36,40,30
236,8,0,14,15,14
237,5,2,33,36,39
238,37,11,213,234,127
239,0,0,0,No Kayak Modular would need to Request Modular,15
240,0,0,0,No Kayak Modular would need to Request Modular,0
241,0,0,0,,0
242,5,10,81,87,38
243,6,2,20,21,22
244,0,0,0,No Kayak Modular would need to Request Modular,16
245,0,0,0,,0
246,11,0,18,19,17
247,1,2,23,25,30
248,29,2,30,36,44
249,17,4,60,64,56
250,10,6,209,224,140
251,28,6,63,70,72
252,2,2,22,26,21
253,0,0,0,No Kayak Modular would need to Request Modular,0
254,0,0,0,No Kayak Modular would need to Request Modular,0
256,2,2,23,25,13
257,0,2,26,27,28
258,5,2,26,28,38
259,25,2,51,57,51
260,20,0,27,32,47
261,4,2,67,76,29
262,8,4,51,55,29
264,20,12,192,207,138
265,6,0,15,16,24
266,8,2,30,34,39
267,8,4,50,54,24
268,25,14,67,74,64
269,0,0,0,No Kayak Modular would need to Request Modular,0
271,4,0,0,No Kayak Modular would need to Request Modular,5
272,9,2,26,28,29
273,7,0,14,16,39
274,14,2,44,47,37
275,21,4,67,80,62
276,0,0,0,No Kayak Modular would need to Request Modular,2
277,0,0,0,No Kayak Modular would need to Request Modular,0
278,0,0,0,No Kayak Modular would need to Request Modular,0
279,7,4,36,39,54
280,0,0,0,No Kayak Modular would need to Request Modular,0
281,50,6,369,401,302
282,1,0,1,No Kayak Modular would need to Request Modular,34
283,0,0,0,No Kayak Modular would need to Request Modular,2
284,13,2,36,41,45
285,7,0,20,26,21
286,4,0,29,29,31
287,0,4,100,109,84
288,15,2,31,35,52
289,0,0,0,No Kayak Modular would need to Request Modular,1
290,0,0,0,No Kayak Modular would need to Request Modular,1
292,0,0,0,No Kayak Modular would need to Request Modular,2
293,0,0,0,No Kayak Modular would need to Request Modular,0
294,0,0,0,No Kayak Modular would need to Request Modular,11
295,1,2,14,15,26
296,1,1,24,26,36
297,9,0,32,39,36
298,23,4,62,67,56
299,10,4,52,59,40
300,27,11,90,96,72
301,21,4,139,150,43
302,0,0,0,No Kayak Modular would need to Request Modular,0
303,0,0,0,No Kayak Modular would need to Request Modular,2
304,0,0,0,No Kayak Modular would need to Request Modular,12
305,0,0,0,No Kayak Modular would need to Request Modular,1
306,17,2,25,31,30
307,12,2,47,51,39
308,32,8,209,228,128
309,4,0,12,18,16
310,27,0,11,12,23
311,0,0,0,No Kayak Modular would need to Request Modular,3
312,2,0,0,No Kayak Modular would need to Request Modular,1
313,9,4,56,58,38
314,28,4,63,67,76
315,15,2,25,29,28
316,19,4,44,49,50
317,0,0,0,No Kayak Modular would need to Request Modular,0
318,4,2,14,21,32
319,2,4,34,37,15
320,0,0,0,No Kayak Modular would need to Request Modular,1
321,17,0,15,16,43
322,0,0,0,No Kayak Modular would need to Request Modular,0
323,0,0,0,No Kayak Modular would need to Request Modular,1
324,0,0,0,No Kayak Modular would need to Request Modular,2
325,0,0,0,No Kayak Modular would need to Request Modular,0
326,0,0,0,No Kayak Modular would need to Request Modular,0
328,0,0,0,No Kayak Modular would need to Request Modular,-1
329,16,2,28,31,36
330,25,0,28,32,45
331,4,0,23,28,31
332,16,0,6,9,7
333,0,0,0,No Kayak Modular would need to Request Modular,4
334,0,0,0,No Kayak Modular would need to Request Modular,0
335,11,2,28,30,33
336,0,2,28,31,15
337,19,8,118,131,50
338,3,2,22,24,20
339,0,0,0,No Kayak Modular would need to Request Modular,0
340,1,10,93,102,105
341,0,0,0,No Kayak Modular would need to Request Modular,0
342,1,2,31,33,17
343,0,0,-1,No Kayak Modular would need to Request Modular,2
344,0,0,0,No Kayak Modular would need to Request Modular,0
345,13,4,42,47,57
346,0,0,0,No Kayak Modular would need to Request Modular,2
347,2,0,0,No Kayak Modular would need to Request Modular,4
348,1,2,22,24,19
350,2,4,48,51,27
351,0,0,0,No Kayak Modular would need to Request Modular,0
352,1,2,23,26,16
353,10,4,38,43,52
354,2,2,26,29,31
355,8,2,32,35,41
356,0,0,0,No Kayak Modular would need to Request Modular,2
357,5,8,66,73,105
358,0,0,0,No Kayak Modular would need to Request Modular,2
359,3,2,52,56,38
360,12,2,24,26,29
361,0,0,0,No Kayak Modular would need to Request Modular,0
362,0,0,0,No Kayak Modular would need to Request Modular,4
363,0,0,0,No Kayak Modular would need to Request Modular,0
364,6,0,26,34,40
365,7,0,11,12,34
366,3,11,57,62,126
368,0,0,0,No Kayak Modular would need to Request Modular,4
369,5,1,38,43,18
370,0,0,0,No Kayak Modular would need to Request Modular,5
371,23,6,215,234,237
372,22,2,42,46,57
373,48,9,158,167,129
374,0,0,0,No Kayak Modular would need to Request Modular,2
375,0,0,0,No Kayak Modular would need to Request Modular,0
376,11,0,38,43,36
377,0,0,0,,0
378,0,0,0,No Kayak Modular would need to Request Modular,23
379,37,6,379,409,278
381,25,2,32,37,48
382,0,4,41,44,28
383,12,0,22,27,45
384,19,0,28,31,20
385,0,0,0,No Kayak Modular would need to Request Modular,0
386,13,0,12,14,28
387,7,2,29,32,23
388,0,0,0,No Kayak Modular would need to Request Modular,2
389,4,2,24,27,21
390,6,4,57,61,45
391,9,2,39,42,36
392,0,0,0,No Kayak Modular would need to Request Modular,0
393,0,0,0,No Kayak Modular would need to Request Modular,-2
394,15,2,26,28,38
395,0,0,0,No Kayak Modular would need to Request Modular,2
396,15,2,33,35,46
397,0,0,0,No Kayak Modular would need to Request Modular,2
398,7,0,34,36,32
399,12,4,46,54,49
400,8,0,27,30,38
401,0,0,0,No Kayak Modular would need to Request Modular,1
402,0,0,0,No Kayak Modular would need to Request Modular,2
403,19,4,42,45,48
404,3,2,47,59,95
405,3,0,33,35,33
406,5,4,51,55,29
407,24,0,85,92,66
408,6,0,13,16,18
409,3,2,29,31,26
410,10,12,341,367,299
411,0,0,0,No Kayak Modular would need to Request Modular,0
412,2,4,38,41,51
413,10,2,34,42,62
414,6,0,17,No Kayak Modular would need to Request Modular,27
415,0,0,0,No Kayak Modular would need to Request Modular,1
416,16,4,38,41,26
417,19,4,63,70,55
418,0,0,0,No Kayak Modular would need to Request Modular,0
419,6,2,29,32,17
420,0,0,0,No Kayak Modular would need to Request Modular,0
421,35,13,102,109,53
422,0,0,1,No Kayak Modular would need to Request Modular,24
423,11,2,21,26,34
424,16,2,31,34,28
425,0,0,1,No Kayak Modular would need to Request Modular,0
426,5,2,25,28,41
427,5,2,26,29,59
428,8,0,12,15,10
429,0,0,0,No Kayak Modular would need to Request Modular,1
430,3,0,17,19,11
431,16,4,52,56,41
432,0,0,0,No Kayak Modular would need to Request Modular,5
433,0,0,0,No Kayak Modular would need to Request Modular,4
434,11,2,22,26,43
435,0,0,0,No Kayak Modular would need to Request Modular,0
436,4,4,53,57,37
437,0,0,0,No Kayak Modular would need to Request Modular,0
438,0,0,0,No Kayak Modular would need to Request Modular,15
440,31,6,67,78,57
442,1,0,6,6,16
443,12,0,17,18,24
444,33,3,279,299,156
445,5,12,88,95,118
446,0,0,0,No Kayak Modular would need to Request Modular,1
447,22,2,37,42,59
448,0,0,0,No Kayak Modular would need to Request Modular,0
449,0,0,0,No Kayak Modular would need to Request Modular,2
450,3,0,24,26,3
451,1,2,26,28,25
452,2,0,0,No Kayak Modular would need to Request Modular,1
453,0,0,0,No Kayak Modular would need to Request Modular,1
454,0,0,0,No Kayak Modular would need to Request Modular,0
456,0,0,0,No Kayak Modular would need to Request Modular,0
457,7,0,20,24,32
458,21,2,25,27,61
459,8,4,42,46,40
461,0,0,0,No Kayak Modular would need to Request Modular,2
462,3,0,12,13,17
463,0,0,0,No Kayak Modular would need to Request Modular,7
464,22,0,13,16,24
465,0,0,0,No Kayak Modular would need to Request Modular,-1
466,0,0,0,No Kayak Modular would need to Request Modular,0
467,1,2,18,19,40
468,0,0,0,No Kayak Modular would need to Request Modular,0
469,17,0,13,,10
470,13,0,6,7,6
471,0,0,0,No Kayak Modular would need to Request Modular,0
472,0,0,0,No Kayak Modular would need to Request Modular,0
473,0,0,0,No Kayak Modular would need to Request Modular,-1
475,23,0,24,28,15
476,0,0,0,No Kayak Modular would need to Request Modular,1
477,3,4,50,54,49
478,0,0,0,No Kayak Modular would need to Request Modular,7
479,15,4,47,50,59
480,0,0,0,No Kayak Modular would need to Request Modular,0
481,9,4,66,71,52
482,0,0,0,No Kayak Modular would need to Request Modular,0
483,10,2,35,37,35
484,4,4,35,39,27
485,0,0,1,No Kayak Modular would need to Request Modular,1
486,0,0,0,No Kayak Modular would need to Request Modular,0
488,0,0,0,No Kayak Modular would need to Request Modular,0
489,14,0,16,18,17
490,13,7,49,59,50
491,0,0,7,No Kayak Modular would need to Request Modular,31
492,0,0,0,No Kayak Modular would need to Request Modular,0
493,16,2,28,31,36
494,5,0,32,34,34
495,2,2,21,22,27
497,3,0,14,15,38
498,6,0,15,17,13
499,0,0,0,No Kayak Modular would need to Request Modular,-1
500,0,0,0,No Kayak Modular would need to Request Modular,0
501,22,0,19,20,87
502,12,4,52,56,34
503,0,0,0,No Kayak Modular would need to Request Modular,0
504,25,0,36,39,37
505,13,0,31,35,33
506,0,0,-1,No Kayak Modular would need to Request Modular,0
507,0,0,15,No Kayak Modular would need to Request Modular,15
508,65,6,263,282,289
509,0,0,0,,0
510,27,0,158,169,118
511,21,2,31,34,63
512,0,0,0,No Kayak Modular would need to Request Modular,0
513,0,0,0,No Kayak Modular would need to Request Modular,0
514,0,0,5,5,33
515,35,14,313,339,254
516,86,6,136,154,179
517,7,2,27,29,19
518,29,2,246,291,140
519,2,0,22,24,41
520,22,2,28,31,44
521,13,0,12,14,23
522,0,0,0,No Kayak Modular would need to Request Modular,0
523,20,4,44,47,44
524,0,0,0,No Kayak Modular would need to Request Modular,0
525,0,0,0,,0
526,26,0,16,18,47
527,0,0,0,No Kayak Modular would need to Request Modular,0
528,7,0,29,35,51
529,8,0,20,24,21
530,0,0,0,No Kayak Modular would need to Request Modular,0
531,6,0,15,19,8
532,7,0,22,25,12
533,15,0,14,17,18
535,21,2,49,54,58
536,30,4,35,39,64
537,0,0,0,No Kayak Modular would need to Request Modular,1
538,0,4,12,13,28
539,15,0,17,19,27
540,0,0,0,No Kayak Modular would need to Request Modular,3
541,14,4,45,54,49
542,3,0,17,19,15
543,11,0,11,13,9
544,8,2,19,21,27
545,2,0,21,22,34
546,0,0,0,No Kayak Modular would need to Request Modular,0
547,4,0,12,12,18
548,18,4,35,36,41
549,0,0,0,No Kayak Modular would need to Request Modular,0
550,0,0,0,No Kayak Modular would need to Request Modular,0
551,15,7,40,48,35
552,28,8,54,59,109
553,9,0,24,27,38
554,0,0,0,No Kayak Modular would need to Request Modular,2
555,7,0,11,12,15
556,15,0,25,28,49
557,1,2,31,33,21
558,3,2,32,35,14
559,9,2,46,49,58
560,4,2,34,36,22
561,62,12,54,61,141
562,12,2,18,20,37
563,19,3,31,39,65
564,7,2,35,41,15
565,41,4,46,49,47
566,0,0,0,No Kayak Modular would need to Request Modular,0
567,0,0,0,No Kayak Modular would need to Request Modular,0
568,22,4,43,47,44
569,44,12,204,221,146
571,7,5,45,49,40
572,15,0,25,28,35
573,8,4,44,48,26
574,17,4,45,51,50
575,0,0,0,No Kayak Modular would need to Request Modular,1
576,0,0,0,No Kayak Modular would need to Request Modular,0
577,1,2,32,34,15
578,69,13,117,125,130
579,18,9,64,73,51
580,14,0,36,39,39
581,0,0,0,No Kayak Modular would need to Request Modular,0
582,23,4,33,35,72
583,25,11,69,76,103
584,13,5,43,46,55
585,7,2,19,20,27
586,16,12,110,119,71
587,8,5,37,41,49
588,18,4,45,48,44
589,7,0,20,21,20
590,0,0,0,No Kayak Modular would need to Request Modular,0
591,0,0,0,No Kayak Modular would need to Request Modular,0
592,10,2,21,24,32
593,26,0,19,22,19
594,0,0,0,No Kayak Modular would need to Request Modular,16
595,0,0,0,No Kayak Modular would need to Request Modular,0
596,0,2,28,31,24
598,42,12,275,302,163
599,10,2,54,60,42
600,0,0,0,No Kayak Modular would need to Request Modular,0
601,4,2,52,56,72
602,1,0,0,No Kayak Modular would need to Request Modular,0
603,0,4,113,125,64
604,15,0,13,14,33
605,14,0,19,19,31
606,12,0,14,16,23
607,0,0,0,No Kayak Modular would need to Request Modular,0
608,0,0,0,No Kayak Modular would need to Request Modular,0
609,10,2,38,42,59
610,21,4,56,64,56
611,0,0,0,No Kayak Modular would need to Request Modular,0
612,0,0,0,No Kayak Modular would need to Request Modular,0
613,20,0,18,20,48
614,19,2,40,43,34
615,1,4,36,47,27
616,12,0,21,22,16
617,0,2,14,17,28
618,0,0,0,No Kayak Modular would need to Request Modular,0
619,8,8,72,77,50
620,16,4,49,57,38
621,26,4,35,39,54
622,0,0,0,No Kayak Modular would need to Request Modular,0
623,14,8,47,50,44
624,1,2,29,31,52
625,29,11,45,51,76
626,0,0,0,No Kayak Modular would need to Request Modular,0
627,0,0,0,No Kayak Modular would need to Request Modular,0
628,27,0,8,9,14
629,0,0,0,No Kayak Modular would need to Request Modular,0
630,11,2,24,26,32
631,0,2,24,26,21
632,33,2,32,34,32
633,0,0,0,No Kayak Modular would need to Request Modular,0
634,11,4,42,48,67
635,16,8,52,59,75
636,29,0,9,10,37
637,2,2,59,63,62
638,7,4,34,37,44
639,26,0,27,30,23
640,0,2,19,20,38
641,0,0,0,No Kayak Modular would need to Request Modular,0
642,8,2,15,16,40
643,55,2,31,34,27
644,18,4,43,46,62
645,35,4,89,93,133
646,1,0,28,30,51
647,0,0,3,No Kayak Modular would need to Request Modular,2
648,2,0,10,12,21
649,23,5,35,37,40
651,1,0,0,No Kayak Modular would need to Request Modular,0
652,8,2,59,66,44
653,46,8,135,149,236
655,0,0,0,No Kayak Modular would need to Request Modular,0
656,20,4,63,68,46
657,31,12,76,86,57
658,17,4,42,47,30
659,8,2,28,30,31
660,39,4,148,158,83
661,11,2,36,39,43
662,9,2,38,45,30
663,24,13,58,66,89
664,1,2,44,47,24
665,47,10,297,324,345
666,16,0,28,31,37
667,27,13,74,81,111
668,40,4,226,242,128
669,18,4,36,39,44
670,14,3,55,59,75
671,4,4,43,47,27
672,9,2,47,51,36
673,10,4,56,60,52
674,72,11,293,325,198
675,1,4,41,46,44
676,35,12,269,291,205
677,10,2,33,35,29
678,10,22,169,205,142
680,28,4,170,187,127
681,12,2,123,132,40
682,5,2,33,34,39
683,65,8,374,403,277
684,58,13,86,93,165
685,30,12,269,289,273
686,4,0,23,26,13
687,7,5,59,64,46
688,3,2,21,22,22
689,112,8,310,334,292
690,14,6,306,345,263
691,16,2,16,19,22
692,15,11,61,66,113
693,0,0,0,No Kayak Modular would need to Request Modular,7
694,3,2,19,21,20
695,0,0,0,No Kayak Modular would need to Request Modular,-2
696,14,2,22,25,37
697,17,3,32,33,55
698,32,10,160,174,145
699,8,2,30,33,31
700,0,0,0,No Kayak Modular would need to Request Modular,0
701,13,2,24,26,28
702,20,5,34,37,29
703,0,0,0,No Kayak Modular would need to Request Modular,0
705,9,6,67,74,58
706,0,0,0,No Kayak Modular would need to Request Modular,0
707,0,0,0,No Kayak Modular would need to Request Modular,0
708,15,0,10,11,28
709,7,8,45,48,97
710,13,2,21,22,42
711,30,11,136,151,142
712,27,13,89,96,108
713,0,0,-1,No Kayak Modular would need to Request Modular,-1
714,0,0,0,No Kayak Modular would need to Request Modular,0
715,10,2,28,31,14
716,13,0,11,12,19
717,0,0,0,,0
718,0,0,0,No Kayak Modular would need to Request Modular,-1
719,24,2,43,46,49
720,6,0,28,30,32
721,1,4,39,43,35
722,7,2,102,116,22
723,22,0,17,22,17
724,7,10,147,157,73
725,0,0,0,No Kayak Modular would need to Request Modular,-2
726,14,6,71,78,32
727,21,2,37,43,2
728,36,2,19,20,48
729,17,7,50,55,90
730,12,2,45,48,41
731,0,0,8,9,8
733,0,0,0,No Kayak Modular would need to Request Modular,0
734,14,4,46,54,40
735,31,12,81,89,53
736,0,0,0,No Kayak Modular would need to Request Modular,0
737,14,12,42,46,134
738,72,10,203,223,284
739,140,10,233,249,254
740,26,0,34,40,31
741,14,10,72,78,67
742,183,8,178,192,335
743,0,0,0,No Kayak Modular would need to Request Modular,0
744,15,0,10,12,23
745,0,0,0,No Kayak Modular would need to Request Modular,0
746,32,0,11,12,32
747,0,0,0,No Kayak Modular would need to Request Modular,0
748,0,0,0,No Kayak Modular would need to Request Modular,0
749,0,0,0,No Kayak Modular would need to Request Modular,40
750,1,0,30,32,25
751,6,4,41,44,42
752,0,0,0,No Kayak Modular would need to Request Modular,0
753,9,4,59,63,52
754,21,2,35,41,37
755,0,0,0,No Kayak Modular would need to Request Modular,0
756,17,4,51,57,42
757,0,0,0,No Kayak Modular would need to Request Modular,1
758,14,0,31,33,21
759,0,0,-1,No Kayak Modular would need to Request Modular,0
760,0,0,0,No Kayak Modular would need to Request Modular,3
761,18,0,9,10,7
762,0,0,0,No Kayak Modular would need to Request Modular,0
764,0,0,0,No Kayak Modular would need to Request Modular,0
765,18,0,2,2,7
766,8,2,33,35,21
767,8,13,78,92,63
768,0,0,0,No Kayak Modular would need to Request Modular,0
769,1,5,36,43,51
770,7,2,40,45,30
771,5,11,81,89,71
772,0,0,0,No Kayak Modular would need to Request Modular,1
773,0,0,0,No Kayak Modular would need to Request Modular,2
774,15,6,66,71,138
775,0,0,0,No Kayak Modular would need to Request Modular,0
776,5,2,46,49,60
777,3,0,16,19,24
778,20,10,95,107,44
779,0,0,0,No Kayak Modular would need to Request Modular,1
780,0,0,0,No Kayak Modular would need to Request Modular,1
781,125,2,390,431,226
782,16,2,39,46,46
783,0,0,0,No Kayak Modular would need to Request Modular,0
784,2,0,39,42,0
785,33,0,81,88,80
786,0,0,0,No Kayak Modular would need to Request Modular,0
787,2,0,0,No Kayak Modular would need to Request Modular,0
788,46,6,179,199,254
789,9,0,5,5,40
790,0,0,4,No Kayak Modular would need to Request Modular,20
791,0,0,0,No Kayak Modular would need to Request Modular,6
792,0,0,0,No Kayak Modular would need to Request Modular,0
793,0,0,0,No Kayak Modular would need to Request Modular,0
794,8,2,29,31,8
795,0,0,30,40,24
796,0,0,0,No Kayak Modular would need to Request Modular,0
797,0,0,34,36,45
798,0,0,0,No Kayak Modular would need to Request Modular,0
799,0,0,0,No Kayak Modular would need to Request Modular,0
800,2,5,28,31,34
801,0,2,34,36,34
802,3,2,24,27,36
803,5,0,22,24,29
804,43,4,59,70,71
805,5,0,14,18,18
806,4,0,14,15,24
807,13,2,31,37,36
808,7,0,21,27,23
809,9,1,120,124,88
810,1,0,29,31,49
811,9,8,52,59,28
812,0,0,0,No Kayak Modular would need to Request Modular,0
813,0,0,0,No Kayak Modular would need to Request Modular,54
814,4,1,16,21,15
815,30,6,347,371,249
816,15,4,45,50,55
817,14,0,13,14,12
818,14,4,52,61,38
819,4,9,75,86,52
820,0,0,0,No Kayak Modular would need to Request Modular,2
821,0,0,0,No Kayak Modular would need to Request Modular,0
822,0,0,0,No Kayak Modular would need to Request Modular,0
823,0,0,0,No Kayak Modular would need to Request Modular,-1
824,0,0,-1,No Kayak Modular would need to Request Modular,0
825,0,0,19,No Kayak Modular would need to Request Modular,4
826,18,109,143,155,71
827,13,0,26,28,49
828,0,0,0,No Kayak Modular would need to Request Modular,0
829,9,0,13,15,17
830,0,0,0,No Kayak Modular would need to Request Modular,0
831,0,0,0,No Kayak Modular would need to Request Modular,0
833,0,0,0,No Kayak Modular would need to Request Modular,0
834,0,0,0,No Kayak Modular would need to Request Modular,0
835,5,0,22,24,49
836,4,2,36,46,15
837,66,8,218,238,297
838,6,5,46,50,48
839,11,0,0,No Kayak Modular would need to Request Modular,0
840,0,0,0,,0
841,0,0,0,No Kayak Modular would need to Request Modular,0
842,6,4,160,171,86
843,0,0,0,No Kayak Modular would need to Request Modular,0
844,2,5,62,66,53
845,0,0,15,No Kayak Modular would need to Request Modular,22
846,7,0,18,21,31
847,10,4,49,52,49
848,12,2,16,18,28
849,15,0,5,5,17
850,0,0,0,No Kayak Modular would need to Request Modular,-1
851,0,0,0,No Kayak Modular would need to Request Modular,0
852,0,0,0,No Kayak Modular would need to Request Modular,0
853,12,0,12,16,21
854,0,0,0,No Kayak Modular would need to Request Modular,-1
855,1,0,0,No Kayak Modular would need to Request Modular,1
856,1,0,77,86,22
857,5,0,7,10,15
858,0,0,0,No Kayak Modular would need to Request Modular,6
859,7,0,25,30,33
860,1,0,0,No Kayak Modular would need to Request Modular,0
861,0,0,0,No Kayak Modular would need to Request Modular,0
862,20,0,18,19,5
863,6,0,38,41,27
864,11,2,24,26,48
865,12,2,173,193,180
866,7,0,22,24,34
867,24,4,54,58,155
