Store #,Expected Delivery Date,Quantity
1699,08/26/2024,2
1686,08/26/2024,2
7249,08/26/2024,2
5313,08/26/2024,1
5150,08/26/2024,2
2856,08/26/2024,2
2702,08/26/2024,2
2694,08/26/2024,2
2616,08/26/2024,2
1177,08/26/2024,2
871,08/26/2024,1
801,08/26/2024,2
783,08/26/2024,2
573,08/26/2024,1
453,08/26/2024,1
363,08/26/2024,2
338,08/26/2024,1
189,08/26/2024,2
88,08/26/2024,2
82,08/26/2024,1
78,08/26/2024,1
48,08/26/2024,1
40,08/26/2024,2
34,08/26/2024,1
25,08/26/2024,1
17,08/26/2024,2
14,08/26/2024,1
1660,08/23/2024,2
1651,08/23/2024,2
1645,08/23/2024,2
1630,08/23/2024,2
1624,08/23/2024,2
1616,08/23/2024,2
1615,08/23/2024,2
1608,08/23/2024,2
1600,08/23/2024,1
1588,08/23/2024,2
1587,08/23/2024,2
1583,08/23/2024,2
1575,08/23/2024,1
1574,08/23/2024,2
1712,08/23/2024,2
1702,08/23/2024,2
1680,08/23/2024,2
6469,08/23/2024,2
6500,08/23/2024,1
5927,08/23/2024,2
5477,08/23/2024,1
4553,08/23/2024,2
4478,08/23/2024,1
4470,08/23/2024,1
4057,08/23/2024,1
2955,08/23/2024,2
2442,08/23/2024,1
1120,08/23/2024,2
1014,08/23/2024,1
805,08/23/2024,1
609,08/23/2024,2
337,08/23/2024,1
326,08/23/2024,2
313,08/23/2024,2
295,08/23/2024,2
234,08/23/2024,1
195,08/23/2024,1
190,08/23/2024,2
96,08/23/2024,1
79,08/23/2024,1
69,08/23/2024,1
51,08/23/2024,2
37,08/23/2024,1
29,08/23/2024,2
1584,08/22/2024,2
1637,08/22/2024,2
1585,08/22/2024,1
1573,08/22/2024,2
4381,08/22/2024,1
2600,08/22/2024,1
2175,08/22/2024,1
1188,08/22/2024,1
914,08/22/2024,1
895,08/22/2024,2
888,08/22/2024,2
845,08/22/2024,2
820,08/22/2024,2
451,08/22/2024,2
203,08/22/2024,1
188,08/22/2024,1
159,08/22/2024,1
152,08/22/2024,1
145,08/22/2024,2
135,08/22/2024,2
109,08/22/2024,2
95,08/22/2024,1
89,08/22/2024,1
80,08/22/2024,2
44,08/22/2024,2
32,08/22/2024,2
30,08/22/2024,1
20,08/22/2024,2
13,08/22/2024,2
1560,08/21/2024,2
1559,08/21/2024,2
1460,08/21/2024,1
1563,08/21/2024,2
1555,08/21/2024,2
1554,08/21/2024,2
1572,08/21/2024,2
1438,08/21/2024,2
5149,08/21/2024,1
1514,08/21/2024,2
834,08/21/2024,2
184,08/21/2024,1
92,08/21/2024,2
56,08/21/2024,2
46,08/21/2024,1
1605,08/20/2024,2
1590,08/20/2024,2
1589,08/20/2024,2
5135,08/20/2024,1
4118,08/20/2024,2
2654,08/20/2024,2
2548,08/20/2024,1
1233,08/20/2024,2
1165,08/20/2024,2
1048,08/20/2024,2
825,08/20/2024,1
736,08/20/2024,1
719,08/20/2024,1
702,08/20/2024,2
696,08/20/2024,2
689,08/20/2024,1
552,08/20/2024,2
497,08/20/2024,1
493,08/20/2024,2
491,08/20/2024,2
204,08/20/2024,2
6931,08/19/2024,2
5418,08/19/2024,2
5417,08/19/2024,2
5297,08/19/2024,1
4524,08/19/2024,1
4450,08/19/2024,2
3363,08/19/2024,2
3362,08/19/2024,2
3294,08/19/2024,2
1569,08/19/2024,2
1234,08/19/2024,2
1210,08/19/2024,1
1170,08/19/2024,2
1140,08/19/2024,2
1139,08/19/2024,2
739,08/19/2024,1
701,08/19/2024,2
545,08/19/2024,2
431,08/19/2024,1
430,08/19/2024,1
410,08/19/2024,2
257,08/19/2024,2
1541,08/16/2024,2
1536,08/16/2024,2
1517,08/16/2024,2
1513,08/16/2024,2
1511,08/16/2024,2
1501,08/16/2024,2
1482,08/16/2024,2
1444,08/16/2024,2
1436,08/16/2024,2
1408,08/16/2024,2
1398,08/16/2024,2
1391,08/16/2024,2
5183,08/16/2024,1
5059,08/16/2024,1
4607,08/16/2024,1
4461,08/16/2024,1
4413,08/16/2024,1
3894,08/16/2024,2
2967,08/16/2024,2
2783,08/16/2024,2
2628,08/16/2024,2
1743,08/16/2024,2
1675,08/16/2024,2
1247,08/16/2024,2
1053,08/16/2024,1
760,08/16/2024,2
711,08/16/2024,2
694,08/16/2024,2
693,08/16/2024,2
655,08/16/2024,2
653,08/16/2024,1
589,08/16/2024,1
571,08/16/2024,1
519,08/16/2024,2
507,08/16/2024,2
445,08/16/2024,2
5991,08/16/2024,1
369,08/16/2024,2
1332,08/15/2024,2
1326,08/15/2024,2
1439,08/15/2024,1
7290,08/15/2024,2
2968,08/15/2024,1
2638,08/15/2024,2
1961,08/15/2024,1
1510,08/15/2024,2
1426,08/15/2024,2
1259,08/15/2024,2
1190,08/15/2024,2
1189,08/15/2024,2
729,08/15/2024,2
720,08/15/2024,1
709,08/15/2024,2
692,08/15/2024,2
665,08/15/2024,2
591,08/15/2024,1
584,08/15/2024,1
569,08/15/2024,2
333,08/15/2024,2
299,08/15/2024,1
294,08/15/2024,2
143,08/15/2024,2
6585,08/15/2024,1
6392,08/15/2024,2
5990,08/15/2024,1
5855,08/15/2024,1
5791,08/15/2024,1
5441,08/15/2024,2
5308,08/15/2024,1
4611,08/15/2024,2
4321,08/15/2024,2
3492,08/15/2024,2
3283,08/15/2024,2
2855,08/15/2024,1
2490,08/15/2024,2
2131,08/15/2024,2
1802,08/15/2024,2
1507,08/15/2024,2
1221,08/15/2024,2
1099,08/15/2024,1
998,08/15/2024,1
558,08/15/2024,2
419,08/15/2024,2
370,08/15/2024,2
368,08/15/2024,2
72,08/15/2024,1
2223,08/14/2024,2
6172,08/14/2024,1
5219,08/14/2024,2
5207,08/14/2024,1
4626,08/14/2024,1
4475,08/14/2024,1
4198,08/14/2024,1
3273,08/14/2024,1
2893,08/14/2024,1
2428,08/14/2024,2
1691,08/14/2024,1
1599,08/14/2024,2
1187,08/14/2024,2
1151,08/14/2024,2
993,08/14/2024,2
799,08/14/2024,2
794,08/14/2024,2
664,08/14/2024,1
577,08/14/2024,1
378,08/14/2024,2
342,08/14/2024,2
341,08/14/2024,2
242,08/14/2024,2
43,08/14/2024,1
35,08/14/2024,2
26,08/14/2024,2
3824,08/14/2024,2
3805,08/14/2024,2
1808,08/13/2024,2
1231,08/13/2024,2
1058,08/13/2024,2
1008,08/13/2024,2
1001,08/13/2024,2
962,08/13/2024,2
953,08/13/2024,2
924,08/13/2024,1
921,08/13/2024,2
905,08/13/2024,2
842,08/13/2024,2
5307,08/13/2024,2
4625,08/13/2024,1
3155,08/13/2024,1
3103,08/13/2024,2
2562,08/13/2024,1
1282,08/13/2024,2
1214,08/13/2024,1
1054,08/13/2024,2
978,08/13/2024,2
770,08/13/2024,2
652,08/13/2024,2
592,08/13/2024,2
557,08/13/2024,2
486,08/13/2024,2
372,08/13/2024,1
346,08/13/2024,2
186,08/13/2024,1
111,08/13/2024,1
42,08/13/2024,1
39,08/13/2024,2
5828,08/13/2024,1
5370,08/13/2024,2
5232,08/13/2024,2
5049,08/13/2024,2
5003,08/13/2024,2
4747,08/13/2024,1
4599,08/13/2024,2
3382,08/13/2024,2
3227,08/13/2024,2
3019,08/13/2024,1
2892,08/13/2024,2
1390,08/12/2024,2
1387,08/12/2024,2
1375,08/12/2024,1
1374,08/12/2024,2
1362,08/12/2024,2
1349,08/12/2024,2
1297,08/12/2024,2
1245,08/12/2024,2
1224,08/12/2024,1
1223,08/12/2024,1
1222,08/12/2024,2
1220,08/12/2024,2
1219,08/12/2024,2
1213,08/12/2024,2
1207,08/12/2024,2
1205,08/12/2024,1
1203,08/12/2024,2
1182,08/12/2024,2
1173,08/12/2024,2
2125,08/12/2024,2
1550,08/12/2024,1
1384,08/12/2024,2
1308,08/12/2024,2
1280,08/12/2024,2
1273,08/12/2024,2
1252,08/12/2024,2
1095,08/12/2024,2
1045,08/12/2024,2
986,08/12/2024,2
980,08/12/2024,2
5957,08/12/2024,2
5099,08/12/2024,2
5051,08/12/2024,2
5033,08/12/2024,2
4491,08/12/2024,1
4284,08/12/2024,2
3177,08/12/2024,2
3018,08/12/2024,1
2729,08/12/2024,2
2672,08/12/2024,2
885,08/09/2024,2
867,08/09/2024,2
774,08/09/2024,2
2270,08/09/2024,2
1434,08/09/2024,2
1200,08/09/2024,2
984,08/09/2024,2
966,08/09/2024,2
5676,08/09/2024,2
5458,08/09/2024,2
5123,08/09/2024,2
4639,08/09/2024,2
4377,08/09/2024,2
3582,08/09/2024,2
3566,08/09/2024,2
3533,08/09/2024,2
3313,08/09/2024,2
3176,08/09/2024,1
3175,08/09/2024,1
3128,08/09/2024,1
3127,08/09/2024,1
3083,08/09/2024,1
3082,08/09/2024,1
2752,08/09/2024,2
2751,08/09/2024,2
2293,08/09/2024,1
1172,08/08/2024,2
1171,08/08/2024,2
1134,08/08/2024,2
1119,08/08/2024,2
1104,08/08/2024,2
1090,08/08/2024,2
1087,08/08/2024,2
1086,08/08/2024,1
1085,08/08/2024,2
1084,08/08/2024,2
1083,08/08/2024,2
1082,08/08/2024,1
1081,08/08/2024,2
1079,08/08/2024,2
1077,08/08/2024,2
1068,08/08/2024,2
1029,08/08/2024,2
1004,08/08/2024,2
994,08/08/2024,2
990,08/08/2024,2
988,08/08/2024,1
1689,08/08/2024,2
1659,08/08/2024,2
1492,08/08/2024,2
1199,08/08/2024,2
1019,08/08/2024,2
869,08/08/2024,2
7320,08/08/2024,1
5858,08/08/2024,2
5799,08/08/2024,2
5342,08/08/2024,1
4325,08/08/2024,2
1474,08/08/2024,2
1328,08/08/2024,2
6178,08/08/2024,1
5341,08/08/2024,2
5334,08/08/2024,2
5137,08/08/2024,2
4734,08/08/2024,1
4567,08/08/2024,2
4288,08/08/2024,2
4196,08/08/2024,1
3740,08/08/2024,1
3126,08/08/2024,1
987,08/06/2024,2
977,08/06/2024,2
974,08/06/2024,2
973,08/06/2024,2
968,08/06/2024,1
967,08/06/2024,2
960,08/06/2024,2
959,08/06/2024,1
956,08/06/2024,2
955,08/06/2024,2
944,08/06/2024,2
943,08/06/2024,2
942,08/06/2024,2
941,08/06/2024,1
931,08/06/2024,2
929,08/06/2024,2
928,08/06/2024,1
925,08/06/2024,2
919,08/06/2024,2
908,08/06/2024,2
890,08/06/2024,1
860,08/06/2024,2
859,08/06/2024,2
857,08/06/2024,2
819,08/06/2024,2
818,08/06/2024,1
817,08/06/2024,2
814,08/06/2024,2
811,08/06/2024,2
800,08/06/2024,2
779,08/06/2024,1
778,08/06/2024,2
771,08/06/2024,2
769,08/06/2024,2
767,08/06/2024,1
759,08/06/2024,2
6878,08/05/2024,2
4497,08/05/2024,2
4189,08/05/2024,1
4188,08/05/2024,1
4187,08/05/2024,1
3185,08/05/2024,1
3184,08/05/2024,1
2748,08/05/2024,2
1481,08/05/2024,2
1462,08/05/2024,2
1229,08/05/2024,2
1201,08/05/2024,2
1124,08/05/2024,1
1063,08/05/2024,2
904,08/05/2024,2
766,08/05/2024,1
691,08/05/2024,2
681,08/05/2024,1
434,08/05/2024,2
433,08/05/2024,2
409,08/05/2024,2
375,08/05/2024,2
332,08/05/2024,2
301,08/05/2024,1
5726,08/05/2024,1
5166,08/05/2024,2
5155,08/05/2024,2
4601,08/05/2024,2
3427,08/05/2024,2
2653,08/05/2024,2
1357,08/05/2024,2
1306,08/05/2024,2
851,08/05/2024,2
821,08/05/2024,1
611,08/05/2024,2
549,08/05/2024,2
7280,08/02/2024,1
7247,08/02/2024,2
5769,08/02/2024,1
5126,08/02/2024,1
5100,08/02/2024,1
5062,08/02/2024,1
4673,08/02/2024,1
4504,08/02/2024,1
4333,08/02/2024,2
4330,08/02/2024,1
3424,08/02/2024,1
3271,08/02/2024,2
2739,08/02/2024,2
2713,08/02/2024,2
2534,08/02/2024,1
2488,08/02/2024,1
2111,08/02/2024,2
1711,08/02/2024,2
1638,08/02/2024,2
1620,08/02/2024,2
1158,08/02/2024,2
1052,08/02/2024,2
934,08/02/2024,2
764,08/02/2024,2
762,08/02/2024,2
734,08/02/2024,2
731,08/02/2024,2
726,08/02/2024,2
662,08/02/2024,1
604,08/02/2024,2
425,08/02/2024,2
424,08/02/2024,2
356,08/02/2024,2
329,08/02/2024,1
316,08/02/2024,1
5782,08/02/2024,1
5492,08/02/2024,2
5491,08/02/2024,2
5430,08/02/2024,2
4676,08/02/2024,1
4341,08/02/2024,2
3732,08/02/2024,2
3517,08/02/2024,1
3428,08/02/2024,2
3423,08/02/2024,2
3385,08/02/2024,1
3317,08/02/2024,1
2924,08/02/2024,2
2656,08/02/2024,2
1397,08/02/2024,2
1380,08/02/2024,2
906,08/02/2024,2
873,08/02/2024,2
835,08/02/2024,2
829,08/02/2024,2
826,08/02/2024,2
806,08/02/2024,2
5768,08/01/2024,2
5725,08/01/2024,1
5626,08/01/2024,2
5429,08/01/2024,2
5031,08/01/2024,2
4603,08/01/2024,1
4490,08/01/2024,1
4473,08/01/2024,1
4355,08/01/2024,2
4218,08/01/2024,1
3884,08/01/2024,2
3377,08/01/2024,1
3357,08/01/2024,1
3143,08/01/2024,1
3049,08/01/2024,1
2922,08/01/2024,2
2777,08/01/2024,2
2766,08/01/2024,2
1746,08/01/2024,2
1612,08/01/2024,2
1325,08/01/2024,2
1291,08/01/2024,2
1240,08/01/2024,2
1230,08/01/2024,2
5675,08/01/2024,1
4201,08/01/2024,2
3731,08/01/2024,2
3596,08/01/2024,2
3512,08/01/2024,1
2652,08/01/2024,2
2451,08/01/2024,1
1414,08/01/2024,2
850,08/01/2024,2
824,08/01/2024,2
975,07/31/2024,2
387,07/31/2024,2
231,07/31/2024,1
210,07/31/2024,2
136,07/31/2024,1
123,07/31/2024,2
117,07/31/2024,2
103,07/31/2024,1
81,07/31/2024,2
49,07/31/2024,2
47,07/31/2024,2
38,07/31/2024,2
31,07/31/2024,1
6477,07/30/2024,1
5331,07/30/2024,2
5330,07/30/2024,2
5303,07/30/2024,2
5190,07/30/2024,2
5189,07/30/2024,2
4451,07/30/2024,2
4337,07/30/2024,2
4293,07/30/2024,1
4232,07/30/2024,2
3896,07/30/2024,2
3771,07/30/2024,2
2632,07/30/2024,1
2515,07/30/2024,2
2512,07/30/2024,2
2113,07/30/2024,2
2112,07/30/2024,2
1598,07/30/2024,2
1549,07/30/2024,2
1417,07/30/2024,2
1149,07/30/2024,2
6170,07/30/2024,1
3723,07/30/2024,1
3457,07/30/2024,1
3340,07/30/2024,1
2880,07/30/2024,1
2395,07/30/2024,1
1597,07/30/2024,2
992,07/30/2024,2
894,07/30/2024,2
823,07/30/2024,2
374,07/30/2024,1
340,07/30/2024,2
276,07/30/2024,2
247,07/30/2024,2
232,07/30/2024,2
151,07/30/2024,2
130,07/30/2024,2
121,07/30/2024,2
90,07/30/2024,1
63,07/30/2024,2
50,07/30/2024,2
28,07/30/2024,2
22,07/30/2024,1
10,07/30/2024,2
5428,07/29/2024,1
5349,07/29/2024,1
5332,07/29/2024,1
5304,07/29/2024,1
5257,07/29/2024,1
4543,07/29/2024,2
4430,07/29/2024,2
4275,07/29/2024,1
4264,07/29/2024,1
3846,07/29/2024,1
3833,07/29/2024,2
3799,07/29/2024,2
3604,07/29/2024,1
3379,07/29/2024,2
2768,07/29/2024,2
2767,07/29/2024,2
2482,07/29/2024,2
2051,07/29/2024,2
1646,07/29/2024,2
1533,07/29/2024,2
1442,07/29/2024,2
1369,07/29/2024,2
1364,07/29/2024,2
1324,07/29/2024,2
6942,07/29/2024,1
5840,07/29/2024,1
5364,07/29/2024,1
5336,07/29/2024,1
5093,07/29/2024,1
4655,07/29/2024,1
4585,07/29/2024,1
4241,07/29/2024,2
3508,07/29/2024,1
3295,07/29/2024,1
1437,07/29/2024,2
838,07/29/2024,2
607,07/29/2024,2
576,07/29/2024,2
472,07/29/2024,2
360,07/29/2024,1
324,07/29/2024,2
246,07/29/2024,2
207,07/29/2024,1
178,07/29/2024,1
150,07/29/2024,1
137,07/29/2024,1
134,07/29/2024,2
132,07/29/2024,2
73,07/29/2024,2
41,07/29/2024,2
12,07/29/2024,1
4474,07/26/2024,2
6480,07/26/2024,1
5369,07/26/2024,2
5186,07/26/2024,2
5124,07/26/2024,2
4336,07/26/2024,2
4324,07/26/2024,1
4252,07/26/2024,2
4233,07/26/2024,1
3861,07/26/2024,2
3845,07/26/2024,1
3844,07/26/2024,1
3465,07/26/2024,2
3360,07/26/2024,1
3315,07/26/2024,1
3314,07/26/2024,1
3241,07/26/2024,2
2778,07/26/2024,2
2671,07/26/2024,1
1846,07/26/2024,2
1532,07/26/2024,2
1411,07/26/2024,2
1334,07/26/2024,2
1299,07/26/2024,2
1175,07/26/2024,2
7326,07/26/2024,1
5863,07/26/2024,1
5323,07/26/2024,1
5314,07/26/2024,1
5286,07/26/2024,1
5071,07/26/2024,1
4390,07/26/2024,1
3637,07/26/2024,1
3615,07/26/2024,1
3430,07/26/2024,2
3327,07/26/2024,1
3202,07/26/2024,1
2984,07/26/2024,1
2878,07/26/2024,1
2877,07/26/2024,1
2875,07/26/2024,1
2804,07/26/2024,1
2394,07/26/2024,1
2393,07/26/2024,1
1626,07/26/2024,1
1295,07/26/2024,1
1116,07/26/2024,2
1043,07/26/2024,1
743,07/26/2024,1
622,07/26/2024,2
564,07/26/2024,1
544,07/26/2024,2
392,07/26/2024,1
269,07/26/2024,2
139,07/26/2024,2
129,07/26/2024,2
4560,07/24/2024,1
5835,07/24/2024,2
5329,07/24/2024,2
4203,07/24/2024,1
3807,07/24/2024,2
3730,07/24/2024,2
3407,07/24/2024,2
2554,07/24/2024,2
1512,07/24/2024,2
1381,07/24/2024,2
1370,07/24/2024,2
1218,07/24/2024,2
7308,07/24/2024,1
7294,07/24/2024,1
5805,07/24/2024,1
3275,07/24/2024,1
2876,07/24/2024,1
2803,07/24/2024,1
2734,07/24/2024,1
1056,07/24/2024,1
893,07/24/2024,2
517,07/24/2024,1
389,07/24/2024,2
227,07/24/2024,1
212,07/24/2024,1
162,07/24/2024,2
113,07/24/2024,2
108,07/24/2024,1
4579,07/24/2024,1
3231,07/24/2024,1
2744,07/24/2024,1
388,07/24/2024,2
358,07/24/2024,1
230,07/24/2024,2
209,07/24/2024,2
141,07/24/2024,2
125,07/24/2024,2
66,07/24/2024,2
55,07/24/2024,2
16,07/24/2024,1
4756,07/23/2024,1
423,07/23/2024,2
7242,07/23/2024,1
6960,07/23/2024,1
6953,07/23/2024,1
5837,07/23/2024,1
5738,07/23/2024,1
5737,07/23/2024,1
5260,07/23/2024,1
4686,07/23/2024,1
4516,07/23/2024,1
4376,07/23/2024,1
4375,07/23/2024,1
4128,07/23/2024,1
3654,07/23/2024,1
3479,07/23/2024,1
3164,07/23/2024,1
2745,07/23/2024,1
2742,07/23/2024,1
2741,07/23/2024,1
2686,07/23/2024,1
1147,07/23/2024,2
1114,07/23/2024,2
373,07/23/2024,2
359,07/23/2024,2
296,07/23/2024,1
144,07/23/2024,2
76,07/23/2024,1
58,07/23/2024,1
54,07/23/2024,1
11,07/23/2024,1
1,07/23/2024,2
1687,07/22/2024,2
5256,07/22/2024,1
4580,07/22/2024,1
1174,07/22/2024,2
1101,07/22/2024,2
1057,07/22/2024,2
733,07/22/2024,2
730,07/22/2024,2
723,07/22/2024,2
715,07/22/2024,2
432,07/22/2024,2
6943,07/22/2024,1
6876,07/22/2024,1
5780,07/22/2024,1
5706,07/22/2024,2
5244,07/22/2024,2
714,07/22/2024,2
336,07/22/2024,2
281,07/22/2024,2
229,07/22/2024,2
128,07/22/2024,2
126,07/22/2024,2
124,07/22/2024,2
119,07/22/2024,1
102,07/22/2024,2
91,07/22/2024,2
74,07/22/2024,2
71,07/22/2024,1
70,07/22/2024,2
68,07/22/2024,2
62,07/22/2024,2
57,07/22/2024,1
45,07/22/2024,1
36,07/22/2024,2
7317,07/19/2024,1
6975,07/19/2024,1
5433,07/19/2024,2
4654,07/19/2024,1
4460,07/19/2024,2
4168,07/19/2024,2
3230,07/19/2024,2
3168,07/19/2024,1
2743,07/19/2024,1
2575,07/19/2024,1
1105,07/19/2024,2
788,07/19/2024,2
318,07/19/2024,2
261,07/19/2024,1
169,07/19/2024,2
157,07/19/2024,1
127,07/19/2024,2
85,07/19/2024,2
67,07/19/2024,1
52,07/19/2024,2
24,07/19/2024,1
18,07/19/2024,2
8,07/19/2024,2
7,07/19/2024,1
5,07/19/2024,2
5903,07/18/2024,1
5744,07/18/2024,1
5653,07/18/2024,1
5348,07/18/2024,2
5262,07/18/2024,2
5248,07/18/2024,1
5197,07/18/2024,2
5174,07/18/2024,2
5113,07/18/2024,2
4691,07/18/2024,1
3386,07/18/2024,2
2723,07/18/2024,2
1284,07/18/2024,2
1212,07/18/2024,2
863,07/18/2024,2
809,07/18/2024,1
740,07/18/2024,1
712,07/18/2024,2
700,07/18/2024,2
660,07/18/2024,2
483,07/18/2024,2
394,07/18/2024,1
355,07/18/2024,2
315,07/18/2024,1
1128,07/18/2024,2
1107,07/18/2024,2
1106,07/18/2024,2
876,07/18/2024,2
405,07/18/2024,2
244,07/18/2024,2
170,07/18/2024,2
75,07/18/2024,2
5790,07/18/2024,1
3331,07/18/2024,2
1065,07/18/2024,2
530,07/18/2024,1
468,07/18/2024,2
348,07/18/2024,1
339,07/18/2024,2
289,07/18/2024,2
279,07/18/2024,2
171,07/18/2024,1
167,07/18/2024,1
133,07/18/2024,2
83,07/18/2024,2
33,07/18/2024,2
6932,07/17/2024,2
5204,07/17/2024,1
4577,07/17/2024,1
4295,07/17/2024,2
3752,07/17/2024,1
3745,07/17/2024,1
3743,07/17/2024,1
3736,07/17/2024,1
3727,07/17/2024,1
2940,07/17/2024,1
2919,07/17/2024,1
1193,07/17/2024,2
1110,07/17/2024,2
1109,07/17/2024,2
1108,07/17/2024,1
976,07/17/2024,2
539,07/17/2024,2
498,07/17/2024,2
450,07/17/2024,2
448,07/17/2024,2
376,07/17/2024,2
307,07/17/2024,2
149,07/17/2024,2
98,07/17/2024,1
23,07/17/2024,2
7262,07/16/2024,1
7233,07/16/2024,1
5328,07/16/2024,1
5327,07/16/2024,1
5310,07/16/2024,1
5056,07/16/2024,2
4683,07/16/2024,2
4659,07/16/2024,1
3868,07/16/2024,2
3746,07/16/2024,1
3288,07/16/2024,2
2822,07/16/2024,2
2132,07/16/2024,2
1266,07/16/2024,2
1206,07/16/2024,2
1169,07/16/2024,2
1136,07/16/2024,2
839,07/16/2024,2
428,07/16/2024,2
401,07/16/2024,2
323,07/16/2024,2
278,07/16/2024,1
116,07/16/2024,2
87,07/16/2024,1
7241,07/15/2024,1
5773,07/15/2024,1
5125,07/15/2024,1
4679,07/15/2024,2
4048,07/15/2024,1
1204,07/15/2024,2
1196,07/15/2024,2
1102,07/15/2024,2
935,07/15/2024,2
773,07/15/2024,2
543,07/15/2024,2
