Store_Number,Event_Code,Flow Week,Set Week,Flow Type
20,GCCMASWK41,40,41,Replenishment
20,GMCMASWK40,39,40,Set
20,GCCMASWK42,41,42,Replenishment
20,GCCMASWK40,39,40,Replenishment
20,GCCMASWK45,44,45,Replenishment
20,GMCMASWK42,41,42,Replenishment
20,HFGMCMAS34,33,34,Set
20,GCCMASWK43,42,43,Replenishment
20,GCCMASWK34,33,34,Set
20,GCCMASWK39,38,39,Replenishment
20,GMCMASWK44,43,44,Replenishment
21,GCCMASWK40,39,40,Replenishment
21,GCCMASWK43,42,43,Replenishment
21,WOWCMAS_40,39,40,Set
21,GCCMASWK34,33,34,Set
21,GMCMASWK40,39,40,Set
21,GMCMASWK44,43,44,Replenishment
21,HFGMCMAS34,33,34,Set
21,DIWALIWK37,36,37,Set
21,GCCMASWK37,36,37,Set/Replenishment
21,GCCMASWK41,40,41,Replenishment
21,GMCMASWK43,42,43,Replenishment
21,GMCMASWK42,41,42,Replenishment
21,GCCMASWK39,38,39,Replenishment
21,GCCMASWK45,44,45,Replenishment
21,GCCMASWK42,41,42,Replenishment
21,GCCMASWK38,37,38,Replenishment
22,GMCMASWK43,42,43,Replenishment
22,GCCMASWK41,40,41,Replenishment
22,GCCMASWK39,38,39,Replenishment
22,GCCMASWK38,37,38,Replenishment
22,HFGMCMAS34,33,34,Set
22,GMCMASWK42,41,42,Replenishment
22,GCCMASWK37,36,37,Set/Replenishment
22,GMCMASWK44,43,44,Replenishment
22,GCCMASWK42,41,42,Replenishment
22,GMCMASWK40,39,40,Set
22,GCCMASWK45,44,45,Replenishment
22,GCCMASWK43,42,43,Replenishment
22,GCCMASWK40,39,40,Replenishment
22,GCCMASWK34,33,34,Set
23,GCCMASWK43,42,43,Replenishment
23,GCCMASWK37,36,37,Set/Replenishment
23,GMCMASWK43,42,43,Replenishment
23,GCCMASWK34,33,34,Set
23,WOWCMAS_40,39,40,Set
23,GCCMASWK39,38,39,Replenishment
23,GCCMASWK41,40,41,Replenishment
23,GMCMASWK42,41,42,Replenishment
23,GMCMASWK40,39,40,Set
23,GCCMASWK38,37,38,Replenishment
23,HFGMCMAS34,33,34,Set
23,GMCMASWK44,43,44,Replenishment
23,GCCMASWK45,44,45,Replenishment
23,GCCMASWK42,41,42,Replenishment
23,GCCMASWK40,39,40,Replenishment
24,GCCMASWK42,41,42,Replenishment
24,GMCMASWK44,43,44,Replenishment
24,GMCMASWK40,39,40,Set
24,HFGMCMAS34,33,34,Set
24,GCCMASWK34,33,34,Set
24,GMCMASWK43,42,43,Replenishment
24,GMCMASWK42,41,42,Replenishment
24,GCCMASWK40,39,40,Replenishment
24,GCCMASWK45,44,45,Replenishment
24,GCCMASWK41,40,41,Replenishment
24,GCCMASWK43,42,43,Replenishment
24,GCCMASWK37,36,37,Set/Replenishment
24,GCCMASWK39,38,39,Replenishment
24,GCCMASWK38,37,38,Replenishment
25,HFGMCMAS34,33,34,Set
25,GMCMASWK40,39,40,Set
25,GCCMASWK42,41,42,Replenishment
25,GCCMASWK45,44,45,Replenishment
25,GCCMASWK41,40,41,Replenishment
25,WOWCMAS_40,39,40,Set
25,GCCMASWK43,42,43,Replenishment
25,GCCMASWK38,37,38,Replenishment
25,GCCMASWK34,33,34,Set
25,GMCMASWK44,43,44,Replenishment
25,GCCMASWK39,38,39,Replenishment
25,GCCMASWK40,39,40,Replenishment
25,GCCMASWK37,36,37,Set/Replenishment
25,GMCMASWK43,42,43,Replenishment
25,GMCMASWK42,41,42,Replenishment
26,GMCMASWK44,43,44,Replenishment
26,HFGMCMAS34,33,34,Set
26,GMCMASWK42,41,42,Replenishment
26,GCCMASWK37,36,37,Set/Replenishment
26,WOWCMAS_40,39,40,Set
26,GCCMASWK40,39,40,Replenishment
26,GCCMASWK41,40,41,Replenishment
26,GMCMASWK40,39,40,Set
26,GCCMASWK43,42,43,Replenishment
26,GMCMASWK43,42,43,Replenishment
26,GCCMASWK34,33,34,Set
26,GCCMASWK42,41,42,Replenishment
26,GCCMASWK38,37,38,Replenishment
26,GCCMASWK39,38,39,Replenishment
26,GCCMASWK45,44,45,Replenishment
27,GCCMASWK45,44,45,Replenishment
27,GMCMASWK42,41,42,Replenishment
27,GMCMASWK43,42,43,Replenishment
27,GMCMASWK40,39,40,Set
27,GMCMASWK44,43,44,Replenishment
27,GCCMASWK38,37,38,Replenishment
27,GCCMASWK41,40,41,Replenishment
27,GCCMASWK43,42,43,Replenishment
27,GCCMASWK40,39,40,Replenishment
27,GCCMASWK42,41,42,Replenishment
27,GCCMASWK39,38,39,Replenishment
27,HFGMCMAS34,33,34,Set
27,GCCMASWK37,36,37,Set/Replenishment
27,GCCMASWK34,33,34,Set
28,GCCMASWK40,39,40,Replenishment
28,GCCMASWK38,37,38,Replenishment
28,GMCMASWK44,43,44,Replenishment
28,GCCMASWK41,40,41,Replenishment
28,GMCMASWK40,39,40,Set
28,GCCMASWK42,41,42,Replenishment
28,GCCMASWK39,38,39,Replenishment
28,GMCMASWK43,42,43,Replenishment
28,HFGMCMAS34,33,34,Set
28,GCCMASWK37,36,37,Set/Replenishment
28,GCCMASWK45,44,45,Replenishment
28,GCCMASWK43,42,43,Replenishment
28,GCCMASWK34,33,34,Set
28,GMCMASWK42,41,42,Replenishment
29,GMCMASWK43,42,43,Replenishment
29,GCCMASWK37,36,37,Set/Replenishment
29,GCCMASWK38,37,38,Replenishment
29,GCCMASWK39,38,39,Replenishment
29,HFGMCMAS34,33,34,Set
29,GMCMASWK42,41,42,Replenishment
29,GCCMASWK34,33,34,Set
29,GCCMASWK41,40,41,Replenishment
29,GCCMASWK42,41,42,Replenishment
29,GCCMASWK40,39,40,Replenishment
29,GMCMASWK44,43,44,Replenishment
29,GCCMASWK45,44,45,Replenishment
29,WOWCMAS_40,39,40,Set
29,GMCMASWK40,39,40,Set
29,GCCMASWK43,42,43,Replenishment
30,GCCMASWK39,38,39,Replenishment
30,GCCMASWK41,40,41,Replenishment
30,GCCMASWK45,44,45,Replenishment
30,GMCMASWK44,43,44,Replenishment
30,GCCMASWK37,36,37,Set/Replenishment
30,GMCMASWK43,42,43,Replenishment
30,GCCMASWK42,41,42,Replenishment
30,GMCMASWK42,41,42,Replenishment
30,GMCMASWK40,39,40,Set
30,GCCMASWK40,39,40,Replenishment
30,GCCMASWK43,42,43,Replenishment
30,GCCMASWK34,33,34,Set
30,GCCMASWK38,37,38,Replenishment
30,WOWCMAS_40,39,40,Set
30,HFGMCMAS34,33,34,Set
31,GMCMASWK42,41,42,Replenishment
31,GCCMASWK43,42,43,Replenishment
31,GCCMASWK39,38,39,Replenishment
31,GMCMASWK40,39,40,Set
31,HFGMCMAS34,33,34,Set
31,GMCMASWK43,42,43,Replenishment
31,GCCMASWK41,40,41,Replenishment
31,GCCMASWK40,39,40,Replenishment
31,GCCMASWK34,33,34,Set
31,WOWCMAS_40,39,40,Set
31,GMCMASWK44,43,44,Replenishment
31,GCCMASWK42,41,42,Replenishment
31,GCCMASWK37,36,37,Set/Replenishment
31,GCCMASWK38,37,38,Replenishment
31,GCCMASWK45,44,45,Replenishment
32,GMCMASWK43,42,43,Replenishment
32,GCCMASWK37,36,37,Set/Replenishment
32,GMCMASWK44,43,44,Replenishment
32,GCCMASWK40,39,40,Replenishment
32,GCCMASWK43,42,43,Replenishment
32,GCCMASWK38,37,38,Replenishment
32,GCCMASWK34,33,34,Set
32,HFGMCMAS34,33,34,Set
32,GCCMASWK41,40,41,Replenishment
32,GCCMASWK45,44,45,Replenishment
32,GMCMASWK40,39,40,Set
32,GCCMASWK39,38,39,Replenishment
32,GCCMASWK42,41,42,Replenishment
33,GMCMASWK40,39,40,Set
33,GCCMASWK34,33,34,Set
33,GCCMASWK39,38,39,Replenishment
33,GMCMASWK43,42,43,Replenishment
33,GCCMASWK45,44,45,Replenishment
33,GCCMASWK43,42,43,Replenishment
33,HFGMCMAS34,33,34,Set
33,GCCMASWK41,40,41,Replenishment
33,GCCMASWK37,36,37,Set/Replenishment
33,GMCMASWK44,43,44,Replenishment
33,GCCMASWK40,39,40,Replenishment
33,GCCMASWK42,41,42,Replenishment
33,GCCMASWK38,37,38,Replenishment
34,GCCMASWK37,36,37,Set/Replenishment
34,GCCMASWK41,40,41,Replenishment
34,GCCMASWK38,37,38,Replenishment
34,GMCMASWK42,41,42,Replenishment
34,GMCMASWK44,43,44,Replenishment
34,GMCMASWK43,42,43,Replenishment
34,GCCMASWK45,44,45,Replenishment
34,GCCMASWK39,38,39,Replenishment
34,GCCMASWK34,33,34,Set
34,GCCMASWK40,39,40,Replenishment
34,GCCMASWK42,41,42,Replenishment
34,GMCMASWK40,39,40,Set
34,GCCMASWK43,42,43,Replenishment
34,HFGMCMAS34,33,34,Set
35,GCCMASWK38,37,38,Replenishment
35,GCCMASWK39,38,39,Replenishment
35,GMCMASWK40,39,40,Set
35,GCCMASWK37,36,37,Set/Replenishment
35,GCCMASWK41,40,41,Replenishment
35,GCCMASWK43,42,43,Replenishment
35,GCCMASWK34,33,34,Set
35,GMCMASWK44,43,44,Replenishment
35,GCCMASWK45,44,45,Replenishment
35,HFGMCMAS34,33,34,Set
35,GMCMASWK42,41,42,Replenishment
35,GCCMASWK40,39,40,Replenishment
35,GMCMASWK43,42,43,Replenishment
35,GCCMASWK42,41,42,Replenishment
36,GCCMASWK45,44,45,Replenishment
36,GCCMASWK41,40,41,Replenishment
36,GMCMASWK44,43,44,Replenishment
36,GCCMASWK43,42,43,Replenishment
36,GMCMASWK43,42,43,Replenishment
36,GCCMASWK39,38,39,Replenishment
36,GMCMASWK42,41,42,Replenishment
36,GMCMASWK40,39,40,Set
36,HFGMCMAS34,33,34,Set
36,GCCMASWK37,36,37,Set/Replenishment
36,GCCMASWK34,33,34,Set
36,GCCMASWK38,37,38,Replenishment
36,GCCMASWK40,39,40,Replenishment
36,GCCMASWK42,41,42,Replenishment
37,GCCMASWK45,44,45,Replenishment
37,GCCMASWK38,37,38,Replenishment
37,GMCMASWK44,43,44,Replenishment
37,WOWCMAS_40,39,40,Set
37,GCCMASWK39,38,39,Replenishment
37,GMCMASWK43,42,43,Replenishment
37,HFGMCMAS34,33,34,Set
37,GMCMASWK40,39,40,Set
37,GCCMASWK40,39,40,Replenishment
37,GCCMASWK43,42,43,Replenishment
37,GCCMASWK41,40,41,Replenishment
37,GCCMASWK42,41,42,Replenishment
37,GCCMASWK34,33,34,Set
37,GCCMASWK37,36,37,Set/Replenishment
37,GMCMASWK42,41,42,Replenishment
38,GCCMASWK43,42,43,Replenishment
38,GCCMASWK40,39,40,Replenishment
38,GCCMASWK39,38,39,Replenishment
38,GMCMASWK43,42,43,Replenishment
38,GCCMASWK34,33,34,Set
38,GCCMASWK42,41,42,Replenishment
38,GMCMASWK44,43,44,Replenishment
38,HFGMCMAS34,33,34,Set
38,GCCMASWK45,44,45,Replenishment
38,GCCMASWK38,37,38,Replenishment
38,GCCMASWK41,40,41,Replenishment
38,GCCMASWK37,36,37,Set/Replenishment
38,GMCMASWK42,41,42,Replenishment
38,GMCMASWK40,39,40,Set
39,GCCMASWK41,40,41,Replenishment
39,GMCMASWK44,43,44,Replenishment
39,GCCMASWK38,37,38,Replenishment
39,GCCMASWK45,44,45,Replenishment
39,GCCMASWK34,33,34,Set
39,GCCMASWK40,39,40,Replenishment
39,GCCMASWK42,41,42,Replenishment
39,GCCMASWK43,42,43,Replenishment
39,GCCMASWK37,36,37,Set/Replenishment
39,WOWCMAS_40,39,40,Set
39,GMCMASWK42,41,42,Replenishment
39,GCCMASWK39,38,39,Replenishment
39,HFGMCMAS34,33,34,Set
39,GMCMASWK43,42,43,Replenishment
39,GMCMASWK40,39,40,Set
40,GMCMASWK42,41,42,Replenishment
40,HFGMCMAS34,33,34,Set
40,GCCMASWK45,44,45,Replenishment
40,GCCMASWK34,33,34,Set
40,GCCMASWK42,41,42,Replenishment
40,GCCMASWK37,36,37,Set/Replenishment
40,GMCMASWK43,42,43,Replenishment
40,GCCMASWK41,40,41,Replenishment
40,GMCMASWK44,43,44,Replenishment
40,GCCMASWK39,38,39,Replenishment
40,GCCMASWK43,42,43,Replenishment
40,GCCMASWK38,37,38,Replenishment
40,GCCMASWK40,39,40,Replenishment
40,GMCMASWK40,39,40,Set
41,HFGMCMAS34,33,34,Set
41,GCCMASWK43,42,43,Replenishment
41,GMCMASWK40,39,40,Set
41,GMCMASWK44,43,44,Replenishment
41,GCCMASWK39,38,39,Replenishment
41,GCCMASWK38,37,38,Replenishment
41,GMCMASWK43,42,43,Replenishment
41,GCCMASWK34,33,34,Set
41,GCCMASWK42,41,42,Replenishment
41,GCCMASWK45,44,45,Replenishment
41,GCCMASWK37,36,37,Set/Replenishment
41,GCCMASWK40,39,40,Replenishment
41,GMCMASWK42,41,42,Replenishment
41,GCCMASWK41,40,41,Replenishment
42,GCCMASWK43,42,43,Replenishment
42,GCCMASWK40,39,40,Replenishment
42,GMCMASWK43,42,43,Replenishment
42,GCCMASWK38,37,38,Replenishment
42,GMCMASWK40,39,40,Set
42,GMCMASWK44,43,44,Replenishment
42,GMCMASWK42,41,42,Replenishment
42,GCCMASWK41,40,41,Replenishment
42,GCCMASWK37,36,37,Set/Replenishment
42,GCCMASWK45,44,45,Replenishment
42,GCCMASWK42,41,42,Replenishment
42,GCCMASWK34,33,34,Set
42,GCCMASWK39,38,39,Replenishment
42,HFGMCMAS34,33,34,Set
43,GCCMASWK41,40,41,Replenishment
43,GMCMASWK40,39,40,Set
43,GMCMASWK42,41,42,Replenishment
43,GCCMASWK40,39,40,Replenishment
43,GMCMASWK43,42,43,Replenishment
43,GMCMASWK44,43,44,Replenishment
43,GCCMASWK43,42,43,Replenishment
43,GCCMASWK42,41,42,Replenishment
43,GCCMASWK45,44,45,Replenishment
43,GCCMASWK38,37,38,Replenishment
43,GCCMASWK37,36,37,Set/Replenishment
43,HFGMCMAS34,33,34,Set
43,GCCMASWK34,33,34,Set
43,GCCMASWK39,38,39,Replenishment
44,GCCMASWK37,36,37,Set/Replenishment
44,GCCMASWK39,38,39,Replenishment
44,GCCMASWK34,33,34,Set
44,GMCMASWK40,39,40,Set
44,GCCMASWK42,41,42,Replenishment
44,GMCMASWK43,42,43,Replenishment
44,GCCMASWK45,44,45,Replenishment
44,GMCMASWK44,43,44,Replenishment
44,GCCMASWK38,37,38,Replenishment
44,GCCMASWK41,40,41,Replenishment
44,GCCMASWK43,42,43,Replenishment
44,GCCMASWK40,39,40,Replenishment
44,HFGMCMAS34,33,34,Set
45,GMCMASWK43,42,43,Replenishment
45,GMCMASWK42,41,42,Replenishment
45,GCCMASWK43,42,43,Replenishment
45,GCCMASWK45,44,45,Replenishment
45,GCCMASWK39,38,39,Replenishment
45,GMCMASWK40,39,40,Set
45,GCCMASWK41,40,41,Replenishment
45,GCCMASWK38,37,38,Replenishment
45,GCCMASWK40,39,40,Replenishment
45,GCCMASWK34,33,34,Set
45,HFGMCMAS34,33,34,Set
45,GCCMASWK42,41,42,Replenishment
45,GCCMASWK37,36,37,Set/Replenishment
45,GMCMASWK44,43,44,Replenishment
46,GMCMASWK44,43,44,Replenishment
46,GCCMASWK42,41,42,Replenishment
46,GCCMASWK45,44,45,Replenishment
46,WOWCMAS_40,39,40,Set
46,GCCMASWK43,42,43,Replenishment
46,GMCMASWK42,41,42,Replenishment
46,GMCMASWK40,39,40,Set
46,GCCMASWK39,38,39,Replenishment
46,GCCMASWK37,36,37,Set/Replenishment
46,GCCMASWK40,39,40,Replenishment
46,HFGMCMAS34,33,34,Set
46,GCCMASWK41,40,41,Replenishment
46,GCCMASWK38,37,38,Replenishment
46,GCCMASWK34,33,34,Set
46,GMCMASWK43,42,43,Replenishment
47,GCCMASWK34,33,34,Set
47,GCCMASWK42,41,42,Replenishment
47,GCCMASWK40,39,40,Replenishment
47,GMCMASWK43,42,43,Replenishment
47,GCCMASWK45,44,45,Replenishment
47,HFGMCMAS34,33,34,Set
47,GCCMASWK43,42,43,Replenishment
47,GCCMASWK39,38,39,Replenishment
47,GMCMASWK44,43,44,Replenishment
47,GCCMASWK41,40,41,Replenishment
47,GCCMASWK38,37,38,Replenishment
47,GCCMASWK37,36,37,Set/Replenishment
47,GMCMASWK40,39,40,Set
48,GCCMASWK43,42,43,Replenishment
48,GCCMASWK39,38,39,Replenishment
48,GMCMASWK40,39,40,Set
48,HFGMCMAS34,33,34,Set
48,GCCMASWK45,44,45,Replenishment
48,GMCMASWK42,41,42,Replenishment
48,GCCMASWK34,33,34,Set
48,GMCMASWK44,43,44,Replenishment
48,WOWCMAS_40,39,40,Set
48,GCCMASWK41,40,41,Replenishment
48,GCCMASWK40,39,40,Replenishment
48,GCCMASWK42,41,42,Replenishment
48,GCCMASWK38,37,38,Replenishment
48,GCCMASWK37,36,37,Set/Replenishment
48,GMCMASWK43,42,43,Replenishment
49,GCCMASWK41,40,41,Replenishment
49,GCCMASWK43,42,43,Replenishment
49,GCCMASWK42,41,42,Replenishment
49,HFGMCMAS34,33,34,Set
49,GCCMASWK39,38,39,Replenishment
49,GMCMASWK40,39,40,Set
