Store,Market,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
2281,235,Half Pallet,39
2330,183,Half Pallet,39
2331,162,Half Pallet,39
2334,233,Half Pallet,39
2338,196,Half Pallet,39
2351,188,Half Pallet,39
2366,160,Half Pallet,39
2385,514,Half Pallet,39
2386,154,Half Pallet,39
2387,114,Half Pallet,39
2403,514,Half Pallet,39
2405,194,Half Pallet,39
2417,196,Half Pallet,39
2434,196,Half Pallet,39
2436,293,Half Pallet,39
2443,430,Half Pallet,39
2445,170,Half Pallet,39
2448,423,Half Pallet,39
2463,56,Half Pallet,39
2482,371,Half Pallet,39
2483,394,Half Pallet,39
2491,273,Half Pallet,39
2492,475,Half Pallet,39
2507,447,Half Pallet,39
2512,369,Half Pallet,39
2522,196,Half Pallet,39
2527,460,Half Pallet,39
2531,164,Half Pallet,39
2537,457,Half Pallet,39
2538,478,Half Pallet,39
2539,474,Half Pallet,39
2544,238,Half Pallet,39
2546,464,Half Pallet,39
2553,453,Half Pallet,39
2594,471,Half Pallet,39
2596,471,Half Pallet,39
2619,204,Half Pallet,39
2621,446,Half Pallet,39
2640,157,Half Pallet,39
2641,168,Half Pallet,39
2671,373,Half Pallet,39
2678,201,Half Pallet,39
2681,180,Half Pallet,39
2687,35,Half Pallet,39
2688,45,Half Pallet,39
2692,206,Half Pallet,39
2693,205,Half Pallet,39
2708,460,Half Pallet,39
2724,63,Half Pallet,39
2756,280,Half Pallet,39
2757,151,Half Pallet,39
2764,414,Half Pallet,39
2766,370,Half Pallet,39
2767,372,Half Pallet,39
2774,217,Half Pallet,39
2777,368,Half Pallet,39
2780,399,Half Pallet,39
2781,399,Half Pallet,39
2788,482,Half Pallet,39
2808,290,Half Pallet,39
2811,21,Half Pallet,39
2812,425,Half Pallet,39
2814,110,Half Pallet,39
2819,248,Half Pallet,39
2825,175,Half Pallet,39
2834,50,Half Pallet,39
2871,558,Half Pallet,39
2882,422,Half Pallet,39
2886,484,Half Pallet,39
2890,32,Half Pallet,39
2902,159,Half Pallet,39
2903,157,Half Pallet,39
2917,171,Half Pallet,39
2924,384,Half Pallet,39
2927,476,Half Pallet,39
2929,310,Half Pallet,39
2945,233,Half Pallet,39
2946,109,Half Pallet,39
2952,460,Half Pallet,39
2957,412,Half Pallet,39
2958,439,Half Pallet,39
2973,51,Half Pallet,39
2986,439,Half Pallet,39
2990,430,Half Pallet,39
3035,283,Half Pallet,39
3159,577,Half Pallet,39
3209,424,Half Pallet,39
3219,288,Half Pallet,39
3227,391,Half Pallet,39
3233,419,Half Pallet,39
3239,478,Half Pallet,39
3255,273,Half Pallet,39
3259,383,Half Pallet,39
3273,362,Half Pallet,39
3274,50,Half Pallet,39
3277,392,Half Pallet,39
3293,209,Half Pallet,39
3322,442,Half Pallet,39
3332,191,Half Pallet,39
3352,452,Half Pallet,39
3360,373,Half Pallet,39
3366,401,Half Pallet,39
3380,475,Half Pallet,39
3387,118,Half Pallet,39
3407,368,Half Pallet,39
3417,105,Half Pallet,39
3418,112,Half Pallet,39
3422,165,Half Pallet,39
3435,249,Half Pallet,39
3439,15,Half Pallet,39
3443,577,Half Pallet,39
3460,278,Half Pallet,39
3463,114,Half Pallet,39
3464,462,Half Pallet,39
3469,175,Half Pallet,39
3477,465,Half Pallet,39
3486,218,Half Pallet,39
3488,435,Half Pallet,39
3498,422,Half Pallet,39
3500,60,Half Pallet,39
3520,577,Half Pallet,39
3522,484,Half Pallet,39
3523,448,Half Pallet,39
3534,425,Half Pallet,39
3535,157,Half Pallet,39
3547,173,Half Pallet,39
3564,170,Half Pallet,39
3583,188,Half Pallet,39
3584,64,Half Pallet,39
3585,68,Half Pallet,39
3587,455,Half Pallet,39
3624,424,Half Pallet,39
3630,415,Half Pallet,39
3765,223,Half Pallet,39
3777,56,Half Pallet,39
3780,281,Half Pallet,39
3784,221,Half Pallet,39
3786,25,Half Pallet,39
3794,514,Half Pallet,39
3795,577,Half Pallet,39
3823,433,Half Pallet,39
3830,178,Half Pallet,39
3833,372,Half Pallet,39
3835,119,Half Pallet,39
3840,222,Half Pallet,39
3867,379,Half Pallet,39
4065,300,Half Pallet,39
4108,323,Half Pallet,39
4118,256,Half Pallet,39
4156,181,Half Pallet,39
4176,477,Half Pallet,39
4216,580,Half Pallet,39
4219,82,Half Pallet,39
4240,53,Half Pallet,39
4243,205,Half Pallet,39
4274,305,Half Pallet,39
4332,90,Half Pallet,39
4352,427,Half Pallet,39
4389,181,Half Pallet,39
4412,382,Half Pallet,39
4417,251,Half Pallet,39
4438,403,Half Pallet,39
4458,299,Half Pallet,39
4475,362,Half Pallet,39
4512,65,Half Pallet,39
4529,266,Half Pallet,39
4590,361,Half Pallet,39
4599,378,Half Pallet,39
4612,168,Half Pallet,39
4637,356,Half Pallet,39
4644,227,Half Pallet,39
4660,206,Half Pallet,39
4695,341,Half Pallet,39
4849,419,Half Pallet,39
4865,430,Half Pallet,39
5032,464,Half Pallet,39
5045,67,Half Pallet,39
5048,203,Half Pallet,39
5055,105,Half Pallet,39
5056,131,Half Pallet,39
5070,396,Half Pallet,39
5073,514,Half Pallet,39
5077,577,Half Pallet,39
5078,473,Half Pallet,39
5082,214,Half Pallet,39
5085,305,Half Pallet,39
5111,176,Half Pallet,39
5133,457,Half Pallet,39
5134,447,Half Pallet,39
5136,455,Half Pallet,39
5141,432,Half Pallet,39
5154,484,Half Pallet,39
5156,463,Half Pallet,39
5157,278,Half Pallet,39
5160,202,Half Pallet,39
5178,176,Half Pallet,39
5184,219,Half Pallet,39
5185,217,Half Pallet,39
5186,373,Half Pallet,39
5190,370,Half Pallet,39
5191,55,Half Pallet,39
5200,233,Half Pallet,39
5214,90,Half Pallet,39
5227,292,Half Pallet,39
5233,403,Half Pallet,39
5234,401,Half Pallet,39
5235,403,Half Pallet,39
5242,191,Half Pallet,39
5245,77,Half Pallet,39
5252,25,Half Pallet,39
5253,289,Half Pallet,39
5270,582,Half Pallet,39
5272,472,Half Pallet,39
5278,154,Half Pallet,39
5294,173,Half Pallet,39
5295,172,Half Pallet,39
5313,339,Half Pallet,39
5317,82,Half Pallet,39
5334,376,Half Pallet,39
5337,449,Half Pallet,39
5343,291,Half Pallet,39
5346,296,Half Pallet,39
5369,368,Half Pallet,39
5373,438,Half Pallet,39
5385,207,Half Pallet,39
5386,200,Half Pallet,39
5388,61,Half Pallet,39
5391,105,Half Pallet,39
5394,581,Half Pallet,39
5417,242,Half Pallet,39
5425,461,Half Pallet,39
5428,372,Half Pallet,39
5432,436,Half Pallet,39
5435,451,Half Pallet,39
5443,249,Half Pallet,39
5450,284,Half Pallet,39
5461,476,Half Pallet,39
5469,234,Half Pallet,39
5471,213,Half Pallet,39
5476,165,Half Pallet,39
5480,83,Half Pallet,39
5494,400,Half Pallet,39
5495,166,Half Pallet,39
5499,221,Half Pallet,39
5628,471,Half Pallet,39
5649,170,Half Pallet,39
5707,52,Half Pallet,39
5717,505,Half Pallet,39
5727,115,Half Pallet,39
5728,254,Half Pallet,39
5745,305,Half Pallet,39
5764,479,Half Pallet,39
5795,233,Half Pallet,39
5806,412,Half Pallet,39
5839,468,Half Pallet,39
5841,399,Half Pallet,39
5842,197,Half Pallet,39
5854,110,Half Pallet,39
5996,459,Half Pallet,39
6300,56,Half Pallet,39
6370,123,Half Pallet,39
6579,59,Half Pallet,39
6789,308,Half Pallet,39
6807,145,Half Pallet,39
6898,71,Half Pallet,39
6929,76,Half Pallet,39
6958,310,Half Pallet,39
6963,52,Half Pallet,39
7156,76,Half Pallet,39
7179,302,Half Pallet,39
7185,24,Half Pallet,39
7199,383,Half Pallet,39
7280,2,Half Pallet,39
7290,242,Half Pallet,39
7301,132,Half Pallet,39
8331,171,Half Pallet,39
12,347,Endcap,39
14,357,Endcap,39
19,335,Endcap,39
21,336,Endcap,39
22,347,Endcap,39
35,407,Endcap,39
45,329,Endcap,39
79,334,Endcap,39
94,145,Endcap,39
110,89,Endcap,39
113,349,Endcap,39
134,344,Endcap,39
143,253,Endcap,39
154,311,Endcap,39
163,503,Endcap,39
200,275,Endcap,39
206,52,Endcap,39
256,341,Endcap,39
261,325,Endcap,39
264,149,Endcap,39
275,503,Endcap,39
287,11,Endcap,39
307,135,Endcap,39
410,146,Endcap,39
431,253,Endcap,39
435,272,Endcap,39
462,61,Endcap,39
501,141,Endcap,39
505,134,Endcap,39
510,21,Endcap,39
516,45,Endcap,39
623,118,Endcap,39
656,151,Endcap,39
662,137,Endcap,39
691,3,Endcap,39
709,256,Endcap,39
757,77,Endcap,39
810,426,Endcap,39
812,70,Endcap,39
816,141,Endcap,39
916,141,Endcap,39
919,15,Endcap,39
941,116,Endcap,39
953,378,Endcap,39
970,143,Endcap,39
1021,339,Endcap,39
1053,242,Endcap,39
1064,304,Endcap,39
1075,149,Endcap,39
1096,304,Endcap,39
1112,16,Endcap,39
1140,259,Endcap,39
1150,85,Endcap,39
1199,388,Endcap,39
1202,438,Endcap,39
1244,35,Endcap,39
1261,310,Endcap,39
1287,296,Endcap,39
1310,251,Endcap,39
1342,128,Endcap,39
1344,315,Endcap,39
1360,317,Endcap,39
1361,426,Endcap,39
1382,39,Endcap,39
1491,413,Endcap,39
1494,78,Endcap,39
1503,221,Endcap,39
1526,426,Endcap,39
1542,196,Endcap,39
1547,246,Endcap,39
1554,452,Endcap,39
1568,229,Endcap,39
1570,248,Endcap,39
1649,427,Endcap,39
1667,247,Endcap,39
1707,208,Endcap,39
1748,36,Endcap,39
1775,478,Endcap,39
1793,477,Endcap,39
1834,468,Endcap,39
1878,400,Endcap,39
1880,468,Endcap,39
1896,391,Endcap,39
1903,455,Endcap,39
1905,400,Endcap,39
1973,194,Endcap,39
1986,213,Endcap,39
1997,188,Endcap,39
2035,239,Endcap,39
2037,472,Endcap,39
2064,226,Endcap,39
2084,382,Endcap,39
2092,187,Endcap,39
2093,189,Endcap,39
2119,451,Endcap,39
2138,181,Endcap,39
2149,216,Endcap,39
2161,511,Endcap,39
2195,178,Endcap,39
2218,466,Endcap,39
2230,237,Endcap,39
2265,35,Endcap,39
2348,36,Endcap,39
2352,424,Endcap,39
2370,188,Endcap,39
2400,218,Endcap,39
2426,217,Endcap,39
2464,454,Endcap,39
2471,217,Endcap,39
2472,308,Endcap,39
2476,475,Endcap,39
2504,188,Endcap,39
2508,399,Endcap,39
2528,232,Endcap,39
2586,195,Endcap,39
2597,228,Endcap,39
2643,422,Endcap,39
2702,333,Endcap,39
2729,378,Endcap,39
2758,181,Endcap,39
2806,42,Endcap,39
2807,315,Endcap,39
2836,299,Endcap,39
2854,162,Endcap,39
2889,415,Endcap,39
2914,215,Endcap,39
2921,401,Endcap,39
2923,382,Endcap,39
2964,156,Endcap,39
2966,215,Endcap,39
3017,151,Endcap,39
3081,454,Endcap,39
3208,582,Endcap,39
3213,68,Endcap,39
3220,405,Endcap,39
3232,403,Endcap,39
3237,430,Endcap,39
3262,216,Endcap,39
3283,409,Endcap,39
3307,97,Endcap,39
3394,413,Endcap,39
3454,401,Endcap,39
3487,206,Endcap,39
3501,233,Endcap,39
3515,218,Endcap,39
3732,385,Endcap,39
3748,26,Endcap,39
3802,284,Endcap,39
3827,64,Endcap,39
3850,467,Endcap,39
3872,430,Endcap,39
3896,368,Endcap,39
4230,248,Endcap,39
4277,316,Endcap,39
4295,134,Endcap,39
4333,1,Endcap,39
4335,391,Endcap,39
4410,304,Endcap,39
4600,433,Endcap,39
4609,225,Endcap,39
5036,112,Endcap,39
5167,582,Endcap,39
5197,5,Endcap,39
5309,213,Endcap,39
5470,237,Endcap,39
5752,577,Endcap,39
5845,15,Endcap,39
100,323,Endcap,39
4068,582,Endcap,39
1794,232,Endcap,39
3056,506,Endcap,39
2006,475,Endcap,39
5260,323,Endcap,39
1476,243,Endcap,39
1977,178,Endcap,39
657,152,Endcap,39
2560,285,Endcap,39
2336,159,Endcap,39
2007,473,Endcap,39
1303,81,Endcap,39
1438,405,Endcap,39
5025,248,Endcap,39
2967,225,Endcap,39
2159,194,Endcap,39
2549,474,Endcap,39
1785,184,Endcap,39
1572,582,Endcap,39
1440,403,Endcap,39
2827,418,Endcap,39
491,253,Endcap,39
2519,233,Endcap,39
1304,247,Endcap,39
674,152,Endcap,39
3511,474,Endcap,39
1026,580,Endcap,39
1753,184,Endcap,39
299,254,Endcap,39
2128,159,Endcap,39
1016,129,Endcap,39
1995,400,Endcap,39
1148,349,Endcap,39
3851,246,Endcap,39
2450,471,Endcap,39
220,48,Endcap,39
3531,467,Endcap,39
125,321,Endcap,39
1975,181,Endcap,39
2844,188,Endcap,39
3726,205,Endcap,39
1215,120,Endcap,39
4235,251,Endcap,39
2300,227,Endcap,39
2269,473,Endcap,39
4483,149,Endcap,39
2595,471,Endcap,39
2511,582,Endcap,39
1458,120,Endcap,39
3294,242,Endcap,39
719,257,Endcap,39
2419,285,Endcap,39
277,353,Endcap,39
464,78,Endcap,39
4627,52,Endcap,39
219,336,Endcap,39
1597,356,Endcap,39
5202,171,Endcap,39
2557,447,Endcap,39
2460,285,Endcap,39
5959,63,Endcap,39
1607,237,Endcap,39
947,350,Endcap,39
1888,401,Endcap,39
1920,477,Endcap,39
5293,172,Endcap,39
665,257,Endcap,39
1439,405,Endcap,39
3848,401,Endcap,39
2259,383,Endcap,39
3495,149,Endcap,39
3525,514,Endcap,39
1514,340,Endcap,39
2325,472,Endcap,39
1263,254,Endcap,39
1852,291,Endcap,39
3472,474,Endcap,39
1001,389,Endcap,39
5387,209,Endcap,39
5041,514,Endcap,39
673,149,Endcap,39
1728,239,Endcap,39
2049,237,Endcap,39
894,356,Endcap,39
3492,409,Endcap,39
1981,508,Endcap,39
2046,180,Endcap,39
1623,226,Endcap,39
192,147,Endcap,39
1141,249,Endcap,39
923,482,Endcap,39
3429,228,Endcap,39
1945,226,Endcap,39
5247,479,Endcap,39
5898,78,Endcap,39
371,48,Endcap,39
3390,68,Endcap,39
4153,175,Endcap,39
753,415,Endcap,39
1820,229,Endcap,39
3729,392,Endcap,39
5031,366,Endcap,39
3897,400,Endcap,39
5027,194,Endcap,39
2399,184,Endcap,39
177,146,Endcap,39
1902,400,Endcap,39
5175,152,Endcap,39
661,137,Endcap,39
2284,173,Endcap,39
1644,232,Endcap,39
2121,472,Endcap,39
711,257,Endcap,39
653,253,Endcap,39
5987,583,Endcap,39
2278,228,Endcap,39
2402,392,Endcap,39
2910,208,Endcap,39
3261,475,Endcap,39
2283,161,Endcap,39
3363,254,Endcap,39
497,242,Endcap,39
2174,154,Endcap,39
3281,228,Endcap,39
130,347,Endcap,39
416,151,Endcap,39
2208,226,Endcap,39
5039,284,Endcap,39
3705,467,Endcap,39
2019,235,Endcap,39
2604,174,Endcap,39
328,341,Endcap,39
2439,60,Endcap,39
2224,181,Endcap,39
1765,231,Endcap,39
2169,232,Endcap,39
3751,373,Endcap,39
298,5,Endcap,39
517,353,Endcap,39
2222,157,Endcap,39
2991,82,Endcap,39
335,146,Endcap,39
5091,67,Endcap,39
1162,580,Endcap,39
720,260,Endcap,39
1329,246,Endcap,39
2261,161,Endcap,39
3568,403,Endcap,39
1884,226,Endcap,39
699,136,Endcap,39
5123,391,Endcap,39
838,345,Endcap,39
4482,153,Endcap,39
2147,383,Endcap,39
687,121,Endcap,39
3514,228,Endcap,39
2628,260,Endcap,39
1044,45,Endcap,39
4381,333,Endcap,39
1994,187,Endcap,39
472,356,Endcap,39
1823,234,Endcap,39
4055,87,Endcap,39
5460,78,Endcap,39
4130,82,Endcap,39
5116,60,Endcap,39
2021,160,Endcap,39
1230,364,Endcap,39
1221,409,Endcap,39
16,321,Endcap,39
2715,143,Endcap,39
3739,399,Endcap,39
2001,449,Endcap,39
610,76,Endcap,39
1993,195,Endcap,39
41,345,Endcap,39
1924,179,Endcap,39
1294,247,Endcap,39
212,353,Endcap,39
3295,356,Endcap,39
5462,476,Endcap,39
2574,234,Endcap,39
2183,180,Endcap,39
470,78,Endcap,39
1520,430,Endcap,39
4423,280,Endcap,39
5099,388,Endcap,39
1940,188,Endcap,39
4597,195,Endcap,39
1739,227,Endcap,39
4272,401,Endcap,39
3248,464,Endcap,39
259,583,Endcap,39
984,391,Endcap,39
608,73,Endcap,39
1305,441,Endcap,39
499,344,Endcap,39
3218,467,Endcap,39
1876,476,Endcap,39
3223,229,Endcap,39
1014,361,Endcap,39
2047,179,Endcap,39
4115,87,Endcap,39
5763,403,Endcap,39
1978,247,Endcap,39
2326,194,Endcap,39
1745,239,Endcap,39
3541,167,Endcap,39
4299,71,Endcap,39
1690,275,Endcap,39
813,81,Endcap,39
3570,30,Endcap,39
2637,164,Endcap,39
2530,181,Endcap,39
427,47,Endcap,39
5429,368,Endcap,39
2282,162,Endcap,39
3801,471,Endcap,39
648,339,Endcap,39
4208,401,Endcap,39
3409,156,Endcap,39
1872,383,Endcap,39
1543,430,Endcap,39
345,46,Endcap,39
5023,458,Endcap,39
1510,225,Endcap,39
2587,326,Endcap,39
3403,26,Endcap,39
2599,86,Endcap,39
1045,379,Endcap,39
1426,259,Endcap,39
258,4,Endcap,39
119,328,Endcap,39
1801,44,Endcap,39
2294,174,Endcap,39
2056,188,Endcap,39
157,328,Endcap,39
3267,432,Endcap,39
1663,294,Endcap,39
1951,399,Endcap,39
2554,368,Endcap,39
3762,413,Endcap,39
541,128,Endcap,39
878,24,Endcap,39
3543,173,Endcap,39
712,5,Endcap,39
1636,427,Endcap,39
5275,26,Endcap,39
702,259,Endcap,39
2012,156,Endcap,39
15,333,Endcap,39
2231,279,Endcap,39
3391,87,Endcap,39
2319,471,Endcap,39
1252,380,Endcap,39
1604,430,Endcap,39
1982,439,Endcap,39
3241,369,Endcap,39
2888,233,Endcap,39
2540,229,Endcap,39
2479,459,Endcap,39
1180,243,Endcap,39
1485,382,Endcap,39
1991,251,Endcap,39
2185,232,Endcap,39
399,46,Endcap,39
2446,170,Endcap,39
683,147,Endcap,39
1770,229,Endcap,39
284,49,Endcap,39
744,59,Endcap,39
26,411,Endcap,39
2087,422,Endcap,39
105,4,Endcap,39
1873,161,Endcap,39
1209,305,Endcap,39
1528,415,Endcap,39
1980,162,Endcap,39
304,149,Endcap,39
2197,208,Endcap,39
2561,228,Endcap,39
1674,280,Endcap,39
2874,189,Endcap,39
536,74,Endcap,39
3763,505,Endcap,39
994,104,Endcap,39
3712,455,Endcap,39
1400,21,Endcap,39
1894,215,Endcap,39
184,361,Endcap,39
1015,505,Endcap,39
2340,233,Endcap,39
2533,14,Endcap,39
2095,160,Endcap,39
1760,455,Endcap,39
1042,85,Endcap,39
5115,418,Endcap,39
1989,447,Endcap,39
3595,310,Endcap,39
381,81,Endcap,39
1680,110,Endcap,39
359,322,Endcap,39
1428,204,Endcap,39
1534,427,Endcap,39
4356,396,Endcap,39
185,350,Endcap,39
3549,184,Endcap,39
4440,41,Endcap,39
2209,216,Endcap,39
1363,21,Endcap,39
2090,174,Endcap,39
1937,216,Endcap,39
5046,299,Endcap,39
2207,403,Endcap,39
168,345,Endcap,39
2051,405,Endcap,39
1714,320,Endcap,39
2616,339,Endcap,39
2285,189,Endcap,39
5929,476,Endcap,39
755,70,Endcap,39
1172,98,Endcap,39
36,329,Endcap,39
573,361,Endcap,39
