Market Number,Store Number,Total Season Pallet Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
23,1720,10,8,9
23,2584,4,3,3
23,3067,3,3,3
23,3188,6,5,6
23,3621,4,3,3
24,518,6,5,6
24,878,4,3,4
24,1314,6,4,5
24,1578,4,3,3
24,1766,2,2,2
24,2154,4,3,4
24,2941,2,1,1
24,3462,5,4,4
24,4185,2,2,2
24,4436,3,2,2
24,5814,4,4,4
25,459,13,10,12
25,548,6,5,6
25,1340,8,7,8
25,2475,10,9,10
25,3388,6,5,5
25,3389,7,6,7
25,3786,6,5,6
25,4472,7,6,7
25,4558,8,7,8
25,5252,14,11,11
26,575,5,4,4
26,618,10,9,10
26,937,4,3,4
26,1181,3,3,3
26,1586,9,7,8
26,3403,11,9,10
26,3471,5,4,5
26,3611,7,6,6
26,3748,7,6,6
26,5275,8,7,7
26,5390,5,4,5
27,588,9,8,9
27,843,4,3,3
27,889,9,7,8
27,899,14,12,12
27,952,8,7,8
27,1006,9,8,8
27,1072,9,8,8
27,2615,11,9,10
27,5797,4,4,4
27,7194,8,6,7
27,7245,8,7,7
28,556,14,12,13
28,593,10,8,9
28,639,13,11,13
28,686,7,6,7
28,836,11,10,11
28,862,15,12,14
28,864,13,11,12
28,1018,7,6,6
28,1061,7,6,6
28,2630,10,9,10
28,5392,7,6,6
29,605,9,7,8
29,635,10,8,8
29,728,3,2,2
29,1011,8,7,8
29,1383,8,7,8
29,2832,5,4,4
29,2860,8,7,8
29,4556,4,4,4
29,6395,5,4,4
29,7181,5,4,4
30,754,16,13,14
30,1024,9,8,9
30,1143,9,6,7
30,1227,11,8,9
30,1293,10,9,10
30,1658,10,9,9
30,2754,6,5,6
30,3570,11,10,11
30,4144,7,6,7
30,5735,8,6,7
32,555,13,10,11
32,758,9,8,9
32,907,10,8,9
32,1076,10,8,9
32,1153,11,8,9
32,1367,18,16,16
32,2733,9,8,9
32,2890,10,8,9
32,3750,9,8,9
32,7246,4,4,4
35,631,10,8,10
35,640,7,6,6
35,641,5,5,5
35,1123,18,16,16
35,1244,6,5,6
35,2265,13,10,11
35,2687,11,8,8
35,3191,8,7,7
35,3192,5,4,5
35,3222,7,6,6
35,4583,4,3,4
35,5487,9,8,9
36,628,10,8,8
36,632,1,1,1
36,1037,12,9,10
36,1146,8,7,8
36,1358,18,15,15
36,1359,3,3,3
36,1748,9,6,6
36,2348,3,2,2
36,2928,12,10,10
36,3367,6,5,5
36,4384,3,3,3
37,574,7,6,6
37,586,12,10,11
