Store Number,Outpost in Week 20,Outpost in March,Had an Outpost,Have an Organic Table,Have a Nut Rack,
144,Yes,,,Yes,Yes,
146,Yes,,,Yes,,
147,Yes,,,Yes,,
148,Yes,,,Yes,Yes,
149,Yes,,,,,
150,Yes,,,Yes,Yes,
151,Yes,,,Yes,,
152,,,Yes,Yes,,
153,,Yes,,Yes,Yes,
154,Yes,,,Yes,Yes,
155,Yes,,,Yes,,
157,Yes,,,Yes,Yes,
158,Yes,,,Yes,,
159,Yes,,,Yes,Yes,
160,Yes,,,Yes,,
161,Yes,,,,,
162,Yes,,,,,
163,Yes,,,Yes,Yes,
164,,Yes,,Yes,,
165,Yes,,,Yes,,
167,Yes,,,,,
168,,,Yes,Yes,Yes,
169,Yes,,,,,
170,Yes,,,Yes,,
171,Yes,,,Yes,,
172,Yes,,,Yes,Yes,
174,,,Yes,Yes,,
175,,,Yes,Yes,Yes,
177,Yes,,,Yes,,
178,Yes,,,,,
179,Yes,,,Yes,Yes,
180,Yes,,,Yes,Yes,
181,Yes,,,Yes,,
182,,,Yes,Yes,Yes,
183,,,Yes,,,
184,Yes,,,Yes,,
185,Yes,,,Yes,Yes,
186,Yes,,,,,
188,Yes,,,Yes,Yes,
189,Yes,,,Yes,,
190,Yes,,,,,
192,,Yes,,Yes,Yes,
194,,,Yes,Yes,,
195,Yes,,,Yes,Yes,
196,Yes,,,Yes,,
197,Yes,,,Yes,Yes,
199,Yes,,,Yes,,
200,Yes,,,Yes,,
201,Yes,,,Yes,Yes,
202,,,Yes,Yes,Yes,
204,Yes,,,Yes,,
205,Yes,,,Yes,Yes,
206,,,Yes,Yes,,
207,Yes,,,,,
211,Yes,,,Yes,,
212,Yes,,,Yes,Yes,
213,Yes,,,Yes,,
214,Yes,,,Yes,,
216,Yes,,,Yes,Yes,
217,Yes,,,Yes,Yes,
218,Yes,,,,,
219,Yes,,,Yes,Yes,
220,,,Yes,Yes,,
221,Yes,,,Yes,,
224,Yes,,,Yes,Yes,
225,Yes,,,,,
226,,,Yes,Yes,,
227,Yes,,,Yes,,
228,,,Yes,Yes,Yes,
229,Yes,,,,,
231,Yes,,,Yes,,
234,,,Yes,Yes,Yes,
236,Yes,,,,,
238,,,Yes,Yes,Yes,
239,Yes,,,,,
240,Yes,,,,,
242,Yes,,,Yes,Yes,
243,Yes,,,Yes,Yes,
244,Yes,,,,,
246,Yes,,,Yes,,
248,Yes,,,,,
249,Yes,,,Yes,,
250,Yes,,,Yes,Yes,
251,,,Yes,Yes,,
795,,,Yes,,,
256,Yes,,,Yes,Yes,
1214,,,Yes,,,
258,,Yes,,Yes,,
259,Yes,,,Yes,Yes,
260,,,Yes,Yes,Yes,
261,Yes,,,Yes,,
262,Yes,,,Yes,Yes,
263,Yes,,,,,
264,,,Yes,Yes,,
265,,,Yes,Yes,,
266,,,Yes,Yes,Yes,
267,Yes,,,,,
268,,,Yes,Yes,Yes,
269,,,Yes,Yes,,
271,,,Yes,,,
272,Yes,,,Yes,,
273,Yes,,,,,
275,Yes,,,Yes,,
276,Yes,,,,,
277,Yes,,,Yes,Yes,
278,Yes,,,Yes,Yes,
279,Yes,,,,,
280,Yes,,,,,
281,Yes,,,Yes,,
282,Yes,,,Yes,Yes,
284,Yes,,,Yes,Yes,
285,Yes,,,Yes,,
286,Yes,,,,,
287,,Yes,,Yes,,
288,Yes,,,,,
290,Yes,,,,,
292,Yes,,,,Yes,
1282,,,Yes,,,
295,Yes,,,Yes,,
296,,,Yes,Yes,Yes,
297,Yes,,,Yes,,
298,,,Yes,Yes,Yes,
299,Yes,,,Yes,Yes,
300,,Yes,,Yes,Yes,
301,,,Yes,Yes,Yes,
303,Yes,,,,,
304,,,Yes,Yes,,
305,Yes,,,,,
306,,Yes,,Yes,,
307,Yes,,,Yes,,
308,,,Yes,Yes,,
309,,,Yes,Yes,Yes,
310,Yes,,,Yes,,
312,Yes,,,,,
313,Yes,,,Yes,Yes,
314,,Yes,,Yes,,
315,,Yes,,Yes,,
316,Yes,,,,,
318,Yes,,,Yes,,
319,Yes,,,Yes,,
321,Yes,,,,,
322,Yes,,,Yes,,
323,Yes,,,,,
324,,,Yes,,,
1431,,,Yes,,,
328,Yes,,,Yes,,
329,,,Yes,Yes,Yes,
330,Yes,,,,,
331,Yes,,,Yes,Yes,
332,,Yes,,Yes,,
333,Yes,,,Yes,,
335,Yes,,,Yes,,
336,,,Yes,,,
338,,,Yes,,,
340,Yes,,,Yes,Yes,
344,Yes,,,,,
345,Yes,,,Yes,Yes,
346,Yes,,,,,
347,Yes,,,,,
348,,,Yes,Yes,,
350,Yes,,,Yes,Yes,
351,Yes,,,,,
353,Yes,,,,,
355,,,Yes,Yes,Yes,
356,Yes,,,Yes,Yes,
358,Yes,,,,,
359,Yes,,,Yes,,
360,Yes,,,,,
361,Yes,,,Yes,Yes,
362,Yes,,,,,
363,Yes,,,Yes,,
364,,,Yes,Yes,Yes,
365,,Yes,,Yes,Yes,
366,Yes,,,,,
368,Yes,,,,,
371,,,Yes,Yes,Yes,
372,Yes,,,Yes,Yes,
373,Yes,,,,,
374,Yes,,,Yes,,
375,,,Yes,Yes,,
376,Yes,,,Yes,,
379,Yes,,,Yes,,
381,Yes,,,Yes,Yes,
382,Yes,,,Yes,Yes,
383,,,Yes,Yes,,
384,Yes,,,Yes,,
386,Yes,,,Yes,,
387,Yes,,,,,
388,Yes,,,Yes,Yes,
389,,,Yes,Yes,Yes,
390,,,Yes,,,
391,,Yes,,Yes,,
392,Yes,,,Yes,,
393,,,Yes,Yes,Yes,
394,Yes,,,,,
395,Yes,,,,,
396,Yes,,,Yes,,
397,Yes,,,,,
398,Yes,,,Yes,Yes,
399,Yes,,,Yes,Yes,
400,Yes,,,Yes,Yes,
401,Yes,,,,,
402,Yes,,,Yes,Yes,
403,Yes,,,,,
404,Yes,,,,,
405,Yes,,,Yes,,
406,,,Yes,Yes,,
407,Yes,,,Yes,,
408,,,Yes,Yes,,
409,Yes,,,,,
410,Yes,,,Yes,Yes,
412,,,Yes,Yes,Yes,
413,Yes,,,,,
414,Yes,,,Yes,Yes,
415,Yes,,,Yes,,
416,,Yes,,Yes,Yes,
417,Yes,,,Yes,Yes,
420,,,Yes,Yes,Yes,
421,,,Yes,Yes,,
423,,,Yes,Yes,Yes,
424,,Yes,,Yes,,
425,Yes,,,,,
426,Yes,,,Yes,,
427,,,Yes,Yes,Yes,
428,,,Yes,Yes,,
429,Yes,,,,,
430,Yes,,,Yes,,
431,Yes,,,Yes,Yes,
432,Yes,,,,,
433,Yes,,,,,
434,,,Yes,Yes,Yes,
435,Yes,,,Yes,Yes,
437,,,Yes,Yes,,
438,Yes,,,,,
440,Yes,,,,,
442,Yes,,,,,
443,Yes,,,,,
444,,,Yes,Yes,Yes,
445,Yes,,,Yes,Yes,
447,Yes,,,,,
448,Yes,,,Yes,Yes,
449,Yes,,,Yes,,
450,Yes,,,Yes,,
451,Yes,,,Yes,,
452,Yes,,,,,
456,Yes,,,,,
457,Yes,,,Yes,,
458,Yes,,,,,
459,,Yes,,Yes,Yes,
461,Yes,,,,,
462,Yes,,,,,
463,Yes,,,,,
464,Yes,,,,,
465,Yes,,,,,
466,,,Yes,,,
467,Yes,,,Yes,Yes,
468,Yes,,,Yes,Yes,
469,,,Yes,Yes,,
470,Yes,,,,,
471,,,Yes,Yes,Yes,
472,Yes,,,Yes,,
475,Yes,,,Yes,Yes,
476,Yes,,,,,
477,,,Yes,,,
479,Yes,,,Yes,,
481,Yes,,,Yes,,
483,,Yes,,Yes,Yes,
484,,,Yes,Yes,Yes,
485,Yes,,,,,
488,Yes,,,,,
489,Yes,,,Yes,Yes,
490,Yes,,,,,
491,Yes,,,Yes,Yes,
492,,,Yes,Yes,,
494,,,Yes,Yes,Yes,
495,,,Yes,Yes,,
497,Yes,,,Yes,,
498,Yes,,,,,
499,Yes,,,Yes,,
500,Yes,,,,,
501,Yes,,,Yes,Yes,
502,Yes,,,Yes,,
504,Yes,,,Yes,Yes,
505,,,Yes,Yes,,
508,Yes,,,Yes,,
510,,Yes,,Yes,,
511,,,Yes,Yes,Yes,
512,Yes,,,,,
513,Yes,,,,Yes,
514,Yes,,,Yes,,
515,,,Yes,Yes,,
516,,,Yes,Yes,,
517,Yes,,,Yes,,
518,,Yes,,Yes,Yes,
520,,,Yes,Yes,Yes,
521,Yes,,,Yes,,
522,Yes,,,Yes,,
523,Yes,,,,,
524,Yes,,,,,
527,Yes,,,,,
528,,,Yes,Yes,Yes,
529,Yes,,,Yes,,
530,Yes,,,Yes,Yes,
531,Yes,,,Yes,Yes,
532,,,Yes,Yes,,
533,Yes,,,Yes,Yes,
535,Yes,,,Yes,,
536,Yes,,,Yes,,
537,Yes,,,,,
538,,,Yes,Yes,,
539,,,Yes,Yes,Yes,
540,Yes,,,Yes,,
541,Yes,,,Yes,,
542,Yes,,,Yes,,
543,Yes,,,Yes,,
544,,,Yes,Yes,Yes,
546,Yes,,,,,
547,,,Yes,Yes,,
548,,Yes,,Yes,Yes,
549,Yes,,,,,
551,,,Yes,Yes,Yes,
553,Yes,,,Yes,,
555,Yes,,,,,
556,,,Yes,Yes,Yes,
557,,,Yes,Yes,Yes,
558,Yes,,,Yes,,
559,Yes,,,Yes,Yes,
560,Yes,,,Yes,Yes,
561,Yes,,,,,
562,,,Yes,Yes,,
563,,,Yes,Yes,,
564,Yes,,,Yes,Yes,
565,Yes,,,Yes,,
566,Yes,,,Yes,Yes,
568,,,Yes,,,
571,Yes,,,Yes,,
572,Yes,,,Yes,Yes,
573,Yes,,,Yes,,
574,Yes,,,Yes,,
575,,Yes,,Yes,,
576,Yes,,,Yes,Yes,
577,,,Yes,Yes,Yes,
578,,Yes,,Yes,Yes,
579,,,Yes,Yes,Yes,
580,,,Yes,Yes,,
581,Yes,,,Yes,,
582,,Yes,,Yes,,
583,Yes,,,,,
2696,,,Yes,,,
586,Yes,,,Yes,,
587,,,Yes,Yes,,
588,,Yes,,Yes,Yes,
589,Yes,,,Yes,Yes,
590,Yes,,,Yes,Yes,
592,Yes,,,Yes,,
593,,,Yes,Yes,Yes,
594,,Yes,,Yes,,
595,Yes,,,,,
598,Yes,,,Yes,,
599,Yes,,,Yes,,
600,,,Yes,,,
601,Yes,,,Yes,Yes,
602,Yes,,,Yes,,
603,Yes,,,Yes,,
604,,Yes,,Yes,Yes,
605,Yes,,,Yes,,
608,Yes,,,,,
609,Yes,,,Yes,Yes,
610,Yes,,,Yes,,
611,Yes,,,,,
612,,,Yes,Yes,,
613,,,Yes,Yes,,
614,,Yes,,Yes,,
615,,Yes,,Yes,,
616,Yes,,,Yes,,
618,,Yes,,Yes,Yes,
619,,,Yes,Yes,,
620,,,Yes,,,
622,Yes,,,Yes,Yes,
623,,Yes,,Yes,,
624,,,Yes,Yes,Yes,
625,Yes,,,Yes,Yes,
628,Yes,,,Yes,,
630,Yes,,,Yes,,
631,,,Yes,Yes,,
633,Yes,,,Yes,,
634,Yes,,,Yes,,
635,Yes,,,Yes,Yes,
636,Yes,,,Yes,Yes,
637,Yes,,,Yes,,
639,Yes,,,Yes,,
640,Yes,,,Yes,Yes,
641,Yes,,,Yes,,
643,Yes,,,Yes,,
645,Yes,,,Yes,Yes,
648,Yes,,,Yes,Yes,
649,,,Yes,Yes,,
651,,,Yes,Yes,,
652,Yes,,,Yes,Yes,
653,Yes,,,Yes,Yes,
655,Yes,,,Yes,,
656,,Yes,,Yes,Yes,
657,,,Yes,Yes,Yes,
658,,,Yes,Yes,Yes,
659,Yes,,,Yes,Yes,
660,,,Yes,Yes,Yes,
661,,,Yes,Yes,,
662,,,Yes,Yes,,
663,,,Yes,Yes,Yes,
664,Yes,,,Yes,Yes,
666,,,Yes,Yes,Yes,
667,,,Yes,Yes,Yes,
668,,,Yes,Yes,Yes,
669,,,Yes,Yes,Yes,
670,,Yes,,Yes,Yes,
671,,,Yes,Yes,Yes,
672,,Yes,,Yes,Yes,
673,,Yes,,Yes,Yes,
674,,,Yes,Yes,,
675,Yes,,,Yes,Yes,
676,,,Yes,,Yes,
677,Yes,,,Yes,Yes,
678,,Yes,,Yes,,
680,,Yes,,Yes,Yes,
681,,Yes,,Yes,,
682,,Yes,,Yes,Yes,
683,Yes,,,Yes,,
684,Yes,,,Yes,Yes,
685,,,Yes,Yes,Yes,
686,,,Yes,,,
687,Yes,,,Yes,Yes,
688,,,Yes,Yes,,
689,Yes,,,Yes,,
690,,,Yes,Yes,Yes,
691,,Yes,,Yes,Yes,
692,Yes,,,Yes,,
694,Yes,,,Yes,,
695,,,Yes,,,
697,,,Yes,Yes,Yes,
698,Yes,,,Yes,Yes,
699,Yes,,,Yes,,
700,,,Yes,Yes,Yes,
701,Yes,,,Yes,Yes,
703,Yes,,,Yes,Yes,
705,,,Yes,Yes,Yes,
706,,,Yes,Yes,Yes,
707,Yes,,,,,
708,,Yes,,Yes,,
709,Yes,,,Yes,Yes,
710,Yes,,,Yes,Yes,
711,Yes,,,Yes,Yes,
712,,Yes,,Yes,Yes,
714,,,Yes,,,
715,,Yes,,Yes,Yes,
716,Yes,,,Yes,,
718,,,Yes,Yes,Yes,
719,Yes,,,Yes,Yes,
720,Yes,,,Yes,Yes,
721,,Yes,,Yes,Yes,
722,,Yes,,Yes,Yes,
723,,,Yes,Yes,,
724,,Yes,,Yes,,
725,,Yes,,Yes,Yes,
726,Yes,,,Yes,,
727,Yes,,,,,
728,Yes,,,Yes,,
729,Yes,,,Yes,Yes,
730,,,Yes,Yes,Yes,
731,,Yes,,Yes,,
733,,,Yes,,,
734,,,Yes,Yes,Yes,
735,,,Yes,Yes,,
736,Yes,,,Yes,Yes,
737,,,Yes,,,
738,Yes,,,,,
739,Yes,,,Yes,,
740,,Yes,,Yes,,
741,,,Yes,Yes,Yes,
742,,,Yes,Yes,Yes,
743,,,Yes,Yes,Yes,
744,,,Yes,Yes,,
745,,,Yes,Yes,,
746,Yes,,,,,
749,Yes,,,Yes,,
752,Yes,,,,,
753,Yes,,,Yes,Yes,
754,,Yes,,Yes,Yes,
755,Yes,,,Yes,Yes,
756,,,Yes,,,
757,Yes,,,,,
758,Yes,,,Yes,,
759,,,Yes,,,
761,Yes,,,,,
762,,Yes,,Yes,,
764,,Yes,,Yes,Yes,
765,Yes,,,,,
766,Yes,,,Yes,Yes,
767,,,Yes,Yes,,
768,Yes,,,,,
769,,,Yes,Yes,,
770,Yes,,,Yes,Yes,
771,,,Yes,Yes,Yes,
772,Yes,,,,,
773,Yes,,,Yes,Yes,
774,Yes,,,Yes,Yes,
775,Yes,,,Yes,,
776,Yes,,,Yes,Yes,
777,Yes,,,Yes,,
778,,Yes,,Yes,,
779,,,Yes,Yes,Yes,
780,,,Yes,Yes,Yes,
781,Yes,,,Yes,Yes,
782,Yes,,,,,
3734,,,Yes,,,
785,Yes,,,,,
786,Yes,,,Yes,Yes,
787,,,Yes,Yes,Yes,
788,Yes,,,,,
789,,,Yes,Yes,Yes,
790,,,Yes,Yes,,
791,Yes,,,,,
793,Yes,,,Yes,Yes,
794,Yes,,,Yes,Yes,
796,Yes,,,Yes,Yes,
797,Yes,,,Yes,Yes,
3792,,,Yes,,,
799,Yes,,,Yes,,
800,,Yes,,Yes,Yes,
802,Yes,,,Yes,,
803,Yes,,,,,
804,,,Yes,Yes,Yes,
805,Yes,,,Yes,Yes,
806,Yes,,,,,
807,Yes,,,Yes,Yes,
808,Yes,,,,,
809,,,Yes,Yes,,
810,Yes,,,Yes,,
811,,Yes,,Yes,,
812,Yes,,,Yes,,
813,Yes,,,Yes,,
814,,,Yes,Yes,,
815,Yes,,,Yes,,
816,Yes,,,Yes,Yes,
817,,,Yes,,,
818,,,Yes,Yes,,
819,,,Yes,Yes,Yes,
820,Yes,,,Yes,,
821,Yes,,,Yes,Yes,
822,Yes,,,Yes,,
823,Yes,,,Yes,,
824,Yes,,,Yes,,
826,Yes,,,Yes,,
827,Yes,,,Yes,Yes,
828,Yes,,,Yes,Yes,
835,Yes,,,Yes,Yes,
836,,,Yes,Yes,,
838,,,Yes,Yes,,
839,Yes,,,Yes,Yes,
842,Yes,,,Yes,,
843,,,Yes,,,
844,Yes,,,Yes,Yes,
846,Yes,,,,,
847,Yes,,,Yes,,
848,,,Yes,Yes,,
849,Yes,,,Yes,,
850,Yes,,,Yes,Yes,
851,Yes,,,Yes,,
852,Yes,,,Yes,Yes,
853,,,Yes,Yes,,
855,,Yes,,Yes,Yes,
856,,Yes,,Yes,Yes,
857,,,Yes,Yes,Yes,
858,Yes,,,,,
859,,,Yes,Yes,,
860,,,Yes,Yes,Yes,
861,Yes,,,Yes,,
862,,,Yes,Yes,Yes,
863,Yes,,,,,
864,Yes,,,Yes,Yes,
865,Yes,,,Yes,,
866,,Yes,,Yes,Yes,
867,Yes,,,Yes,,
868,Yes,,,,,
869,Yes,,,Yes,,
870,Yes,,,Yes,Yes,
872,Yes,,,Yes,Yes,
874,Yes,,,Yes,Yes,
875,Yes,,,,,
876,Yes,,,,,
877,Yes,,,Yes,Yes,
878,,Yes,,Yes,Yes,
879,,,Yes,Yes,,
880,Yes,,,,Yes,
881,Yes,,,Yes,,
882,Yes,,,Yes,,
884,Yes,,,Yes,,
886,Yes,,,Yes,Yes,
887,Yes,,,Yes,,
888,,,Yes,,,
889,,,Yes,Yes,,
890,,,Yes,Yes,Yes,
891,Yes,,,Yes,Yes,
892,Yes,,,Yes,,
894,Yes,,,Yes,,
896,Yes,,,Yes,Yes,
897,Yes,,,,,
899,,,Yes,Yes,Yes,
900,Yes,,,,,
901,Yes,,,,,
903,Yes,,,,Yes,
904,,,Yes,Yes,,
905,Yes,,,Yes,Yes,
906,Yes,,,Yes,Yes,
907,Yes,,,,,
908,,,Yes,Yes,,
909,Yes,,,Yes,,
910,Yes,,,Yes,,
911,,,Yes,Yes,Yes,
912,Yes,,,Yes,Yes,
913,Yes,,,Yes,Yes,
914,,,Yes,,,
915,Yes,,,,,
916,Yes,,,Yes,Yes,
917,Yes,,,,,
918,Yes,,,Yes,,
919,,,Yes,Yes,,
921,,,Yes,Yes,,
922,Yes,,,Yes,,
923,Yes,,,Yes,,
924,Yes,,,Yes,Yes,
927,Yes,,,,,
928,,,Yes,Yes,,
929,,,Yes,Yes,,
930,,Yes,,Yes,Yes,
931,,Yes,,Yes,,
932,,,Yes,Yes,Yes,
933,Yes,,,Yes,,
934,,,Yes,Yes,Yes,
935,Yes,,,Yes,,
936,Yes,,,Yes,Yes,
937,,Yes,,Yes,,
938,,Yes,,Yes,Yes,
939,Yes,,,,,
940,,,Yes,Yes,,
941,,,Yes,Yes,,
942,,Yes,,Yes,Yes,
943,,Yes,,Yes,Yes,
944,,,Yes,Yes,Yes,
945,,,Yes,Yes,Yes,
947,Yes,,,Yes,,
948,Yes,,,Yes,Yes,
950,Yes,,,Yes,,
952,,,Yes,Yes,,
953,Yes,,,Yes,,
954,Yes,,,,,
955,,Yes,,Yes,Yes,
958,,,Yes,Yes,,
959,,Yes,,Yes,,
960,,Yes,,Yes,,
961,Yes,,,Yes,Yes,
962,Yes,,,Yes,Yes,
963,,,Yes,Yes,Yes,
964,Yes,,,,,
965,Yes,,,Yes,,
966,Yes,,,Yes,,
967,,,Yes,Yes,,
968,,Yes,,Yes,Yes,
969,Yes,,,Yes,,
970,Yes,,,Yes,,
971,Yes,,,Yes,,
972,Yes,,,Yes,Yes,
973,,Yes,,Yes,,
974,,Yes,,Yes,Yes,
975,Yes,,,Yes,,
976,Yes,,,,,
5170,,,Yes,,,
979,Yes,,,Yes,,
980,Yes,,,Yes,Yes,
981,,,Yes,Yes,Yes,
984,Yes,,,Yes,,
987,,Yes,,Yes,Yes,
988,,Yes,,Yes,,
989,Yes,,,Yes,,
990,Yes,,,Yes,Yes,
991,,Yes,,Yes,Yes,
992,Yes,,,Yes,,
993,Yes,,,Yes,,
994,,,Yes,Yes,,
995,Yes,,,Yes,Yes,
999,Yes,,,,,
1000,Yes,,,,,
1001,Yes,,,Yes,Yes,
1002,,,Yes,Yes,,
1003,Yes,,,Yes,Yes,
1004,,Yes,,Yes,,
1006,,,Yes,Yes,,
1007,Yes,,,Yes,Yes,
1008,Yes,,,Yes,Yes,
1009,Yes,,,Yes,,
1011,Yes,,,Yes,,
1012,Yes,,,Yes,Yes,
1014,,,Yes,Yes,,
1015,Yes,,,,,
1016,Yes,,,Yes,,
1017,Yes,,,Yes,Yes,
1018,Yes,,,,,
1019,Yes,,,Yes,Yes,
1020,Yes,,,Yes,,
1021,Yes,,,Yes,,
1022,Yes,,,Yes,Yes,
1023,Yes,,,Yes,Yes,
1024,Yes,,,,,
1025,Yes,,,Yes,Yes,
1026,Yes,,,Yes,Yes,
1027,Yes,,,Yes,Yes,
1028,Yes,,,Yes,,
1029,,,Yes,Yes,,
1030,Yes,,,Yes,,
1032,,,Yes,Yes,Yes,
1033,Yes,,,Yes,Yes,
1034,Yes,,,Yes,,
1035,,,Yes,Yes,,
1036,Yes,,,Yes,,
1037,,,Yes,Yes,,
1039,Yes,,,Yes,,
1040,Yes,,,,,
1041,Yes,,,,,
1042,Yes,,,Yes,Yes,
1043,Yes,,,Yes,,
1044,,,Yes,Yes,Yes,
1045,Yes,,,Yes,Yes,
1047,,Yes,,Yes,,
1051,Yes,,,,,
1052,Yes,,,,,
1053,Yes,,,Yes,Yes,
1055,Yes,,,Yes,,
1056,Yes,,,Yes,,
1057,Yes,,,,,
1058,Yes,,,Yes,Yes,
1059,,,Yes,,,
1060,Yes,,,Yes,,
1061,Yes,,,,,
1062,Yes,,,Yes,Yes,
1064,Yes,,,Yes,,
1065,,,Yes,,,
1066,Yes,,,Yes,Yes,
1068,,,Yes,Yes,Yes,
1069,,,Yes,,,
1070,,,Yes,Yes,,
1071,,,Yes,Yes,Yes,
1072,,,Yes,Yes,Yes,
1073,Yes,,,,,
1074,Yes,,,Yes,,
1075,,Yes,,Yes,,
1076,Yes,,,,,
1077,,Yes,,Yes,Yes,
1079,,,Yes,Yes,,
1080,,,Yes,Yes,Yes,
1081,,Yes,,Yes,,
1082,,,Yes,Yes,Yes,
1083,,Yes,,Yes,Yes,
1085,,,Yes,Yes,,
1086,Yes,,,,,
1087,,,Yes,Yes,,
1088,Yes,,,Yes,Yes,
1089,,,Yes,Yes,Yes,
1090,,Yes,,Yes,Yes,
1091,,,Yes,Yes,,
1094,Yes,,,Yes,Yes,
1096,Yes,,,Yes,,
1097,,,Yes,Yes,Yes,
1098,Yes,,,,,
1099,Yes,,,Yes,,
1100,,,Yes,,,
1101,,Yes,,Yes,Yes,
1102,Yes,,,Yes,,
1103,Yes,,,Yes,,
1104,,Yes,,Yes,,
1105,Yes,,,Yes,Yes,
1106,Yes,,,,,
1107,Yes,,,,,
1108,Yes,,,,,
1109,Yes,,,,,
1110,Yes,,,,,
1111,,Yes,,Yes,,
1112,,,Yes,Yes,Yes,
1113,Yes,,,Yes,Yes,
1114,Yes,,,,,
1115,,,Yes,,,
1116,Yes,,,Yes,,
1117,,,Yes,Yes,,
1118,,,Yes,,,
1120,Yes,,,Yes,Yes,
1121,,Yes,,Yes,Yes,
1122,,,Yes,Yes,Yes,
1123,Yes,,,Yes,Yes,
1124,Yes,,,,,
1125,Yes,,,Yes,,
1126,Yes,,,,,
1128,Yes,,,Yes,,
1129,Yes,,,Yes,,
1132,Yes,,,Yes,,
1133,Yes,,,Yes,Yes,
1134,,Yes,,Yes,Yes,
1135,Yes,,,Yes,,
1136,Yes,,,Yes,,
1137,Yes,,,,,
1139,Yes,,,Yes,,
1140,Yes,,,Yes,,
1141,Yes,,,Yes,Yes,
5853,,,Yes,,,
1143,,,Yes,,,
1146,Yes,,,Yes,Yes,
1147,Yes,,,,,
1148,Yes,,,Yes,Yes,
1149,Yes,,,Yes,Yes,
1150,Yes,,,Yes,Yes,
1151,,,Yes,Yes,,
1152,Yes,,,Yes,Yes,
1153,Yes,,,,,
1154,Yes,,,,,
1155,Yes,,,Yes,,
1156,Yes,,,Yes,,
1158,,Yes,,Yes,Yes,
3412,,,Yes,,,
