Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
16,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
16,Dept 11,".65 FIREWOOD BUNDLE, 65 units",Full Stack,1,,
16,Dept 14,Holiday Time Gadgets,Full Stack,1,,
16,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,1,,
16,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,2,,Item Replacement due to tariffs: 48in USA sled
16,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,1,,
19,Dept 07,Hot Wheels Mario Kart Bowser Castle,Full Endcap,1,,
19,Dept 09,"Packed Party $30 Pickleball 2-Player Sets, 36 units",Full Endcap,1,,
19,Dept 11,Command value Pack Sidekick,Sidekick,1,,
19,Dept 14,Anchor Hocking Pie Plate Endcap 84pcs,Half Endcap,2,,
19,Dept 14,Holiday Time Gadgets,Full Stack,1,,
19,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,2,,
19,Dept 22,"Flannel Sheet Half Pallet 44 pcs (F, Q, K)",Half Stack,1,,
19,Dept 22,Oversize Realtree & Mossy Oak Throws,Full Stack,1,,
19,Dept 31,216pc Licensed CW - Half Pallet - AI,Half Stack,1,,
19,Dept 34,Quilted Down Outerwear Vests (2 pricepoints),4-way,1,,
19,Dept 71,"MS 4ft Folding Table, Black, 20 Unit",Full Endcap,1,,Cancel due to tariffs.
19,Dept 71,"MS 5PC Folding Chairs & Table Set, 9 Unit",Full Endcap,1,,Cancel due to tariffs.
19,Dept 71,"MS 6FT FLD TABLE BLK, 10 units",Full Endcap,1,,Cancel due to tariffs.
19,Dept 71,"MS Fabric Folding Chair, Black, 24Units",Full Endcap,1,,Cancel due to tariffs.
19,Dept 74,"Frigidaire 6.5cu ft Upright Freezer, 4 units",Full Stack,2,,
19,Dept 74,"Hamilton Beach 10.1 Upright Freezer, 4 units",Full Stack,2,,
19,Dept 95,Keebler Export Soda Crackers 28oz,Full Endcap,1,,
21,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
21,Dept 14,Anchor Hocking Pie Plate Endcap 84pcs,Half Endcap,1,,
21,Dept 14,"Hamilton Beach 3-in-1 Electronic Kitchen System, 8",Full Endcap,1,,
21,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,6,,
21,Dept 16,27IN SNOW ROLLER,PDQ,2,,
21,Dept 16,"BABY SLED, 24 units",PDQ,1,,
21,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,6,,Item Replacement due to tariffs: 48in USA sled
21,Dept 74,"Hamilton Beach 10.1 Upright Freezer, 4 units",Full Stack,1,,
22,Dept 14,Holiday Time Gadgets,Full Stack,1,,
22,Dept 16,27IN SNOW ROLLER,PDQ,2,,
22,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,2,,Item Replacement due to tariffs: 48in USA sled
22,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,2,,
22,Dept 71,"MS 5PC Folding Chairs & Table Set, 9 Unit",Full Endcap,2,,Cancel due to tariffs.
22,Dept 71,"MS 6FT FLD TABLE BLK, 10 units",Full Endcap,2,,Cancel due to tariffs.
24,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,3,,
24,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,3,,
24,Dept 16,27IN SNOW ROLLER,PDQ,3,,
24,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,3,,Item Replacement due to tariffs: 48in USA sled
24,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,6,,
24,Dept 31,174pc Ozark Trail Ski Acc - Half Pallet,Half Stack,1,,
24,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,1,,
25,Dept 08,"6 Qt Round Heated Pet Bowl, Blue, 40 units",Full Endcap,1,,
