,900,901,902,903,904,905,584 (SPRING 27'),804
152,Yes,No,Yes,Yes,Yes,Yes,No,No
153,Yes,No,Yes,Yes,Yes,Yes,No,No
154,Yes,No,Yes,Yes,Yes,Yes,Yes,No
155,Yes,No,Yes,Yes,Yes,Yes,Yes,No
157,Yes,No,Yes,Yes,Yes,Yes,Yes,No
158,No,No,No,No,No,No,Yes,No
159,Yes,No,Yes,Yes,Yes,Yes,Yes,No
160,Yes,No,Yes,Yes,Yes,Yes,Yes,No
161,Yes,No,Yes,Yes,Yes,Yes,No,No
162,Yes,No,Yes,Yes,Yes,Yes,Yes,No
163,No,No,No,No,No,No,No,No
164,Yes,No,Yes,Yes,Yes,Yes,Yes,No
165,No,No,No,No,No,No,Yes,No
166,Yes,No,Yes,Yes,Yes,Yes,No,No
167,Yes,No,Yes,Yes,Yes,Yes,No,No
168,Yes,No,Yes,Yes,Yes,Yes,Yes,No
169,Yes,No,Yes,Yes,Yes,Yes,No,No
170,No,No,No,No,No,No,Yes,No
171,Yes,No,Yes,Yes,Yes,Yes,Yes,No
172,Yes,No,Yes,Yes,Yes,Yes,Yes,No
173,Yes,No,Yes,Yes,Yes,Yes,Yes,No
174,No,No,No,No,No,No,Yes,No
175,Yes,No,Yes,Yes,Yes,Yes,Yes,No
176,No,No,No,No,No,No,No,No
177,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
178,Yes,No,Yes,Yes,Yes,Yes,No,No
179,Yes,No,Yes,Yes,Yes,Yes,Yes,No
180,No,No,No,No,No,No,Yes,No
181,Yes,No,Yes,Yes,Yes,Yes,No,No
182,Yes,No,Yes,Yes,Yes,Yes,No,No
183,Yes,No,Yes,Yes,Yes,Yes,Yes,No
184,Yes,No,Yes,Yes,Yes,Yes,Yes,No
185,Yes,No,Yes,Yes,Yes,Yes,No,Yes
186,Yes,No,Yes,Yes,Yes,Yes,Yes,No
188,Yes,No,Yes,Yes,Yes,Yes,Yes,No
189,No,No,No,No,No,No,No,No
190,Yes,No,Yes,Yes,Yes,Yes,Yes,No
192,Yes,No,Yes,Yes,Yes,Yes,Yes,No
194,Yes,No,Yes,Yes,Yes,Yes,Yes,No
195,Yes,No,Yes,Yes,Yes,Yes,Yes,No
196,No,No,No,No,No,No,No,No
197,Yes,No,Yes,Yes,Yes,Yes,Yes,No
198,Yes,No,Yes,Yes,Yes,Yes,No,No
199,No,No,No,No,No,No,No,No
200,Yes,No,Yes,Yes,Yes,Yes,Yes,No
201,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
202,Yes,No,Yes,Yes,Yes,Yes,No,No
203,Yes,No,Yes,Yes,Yes,Yes,No,No
204,No,No,No,No,No,No,No,No
205,Yes,No,Yes,Yes,Yes,Yes,Yes,No
206,Yes,No,Yes,Yes,Yes,Yes,Yes,No
207,Yes,No,Yes,Yes,Yes,Yes,No,No
209,Yes,No,Yes,Yes,Yes,No,No,No
210,Yes,No,Yes,Yes,Yes,No,No,No
211,Yes,No,Yes,Yes,Yes,Yes,Yes,No
212,Yes,No,Yes,Yes,Yes,Yes,Yes,No
213,Yes,No,Yes,Yes,Yes,Yes,Yes,No
214,Yes,No,Yes,Yes,Yes,Yes,Yes,No
216,Yes,No,Yes,Yes,Yes,Yes,Yes,No
217,Yes,No,Yes,Yes,Yes,Yes,Yes,No
218,Yes,No,Yes,Yes,Yes,Yes,No,No
219,No,No,No,No,No,No,Yes,No
220,Yes,No,Yes,Yes,Yes,Yes,Yes,No
221,Yes,No,Yes,Yes,Yes,Yes,Yes,No
222,Yes,No,Yes,Yes,Yes,Yes,No,No
224,No,No,No,No,No,No,No,No
225,Yes,No,Yes,Yes,Yes,Yes,Yes,No
226,Yes,No,Yes,Yes,Yes,Yes,Yes,No
227,Yes,No,Yes,Yes,Yes,Yes,No,No
228,Yes,No,Yes,Yes,Yes,Yes,Yes,No
229,Yes,No,Yes,Yes,Yes,Yes,No,No
230,Yes,No,Yes,Yes,No,No,No,No
231,No,No,No,No,No,No,Yes,No
232,No,No,No,No,No,No,No,No
233,Yes,No,Yes,Yes,Yes,Yes,No,No
234,Yes,No,Yes,Yes,Yes,Yes,Yes,No
236,Yes,No,Yes,Yes,No,No,No,No
237,Yes,No,Yes,Yes,Yes,Yes,Yes,No
238,Yes,No,Yes,Yes,Yes,Yes,No,No
239,Yes,No,Yes,Yes,Yes,Yes,Yes,No
240,No,No,No,No,No,No,No,No
242,No,No,No,No,No,No,Yes,No
243,Yes,No,Yes,Yes,Yes,Yes,Yes,No
244,Yes,No,Yes,Yes,Yes,Yes,No,No
246,Yes,No,Yes,Yes,Yes,Yes,No,No
247,Yes,No,Yes,Yes,Yes,No,No,No
248,Yes,No,Yes,Yes,Yes,Yes,Yes,No
249,No,No,No,No,No,No,No,No
250,Yes,No,Yes,Yes,Yes,Yes,No,No
251,Yes,No,Yes,Yes,Yes,Yes,Yes,No
252,Yes,No,Yes,Yes,Yes,Yes,No,No
253,No,No,No,No,No,No,No,No
254,Yes,No,Yes,Yes,Yes,Yes,Yes,No
256,Yes,No,Yes,Yes,Yes,Yes,Yes,No
257,Yes,No,Yes,Yes,Yes,Yes,No,No
258,No,No,No,No,No,No,Yes,No
259,No,No,No,No,No,No,No,No
260,Yes,No,Yes,Yes,Yes,Yes,Yes,No
261,Yes,No,Yes,Yes,Yes,Yes,Yes,No
262,Yes,No,Yes,Yes,Yes,Yes,No,No
264,No,No,No,No,No,No,Yes,No
265,Yes,No,Yes,Yes,Yes,Yes,Yes,No
266,Yes,No,Yes,Yes,Yes,Yes,Yes,No
267,Yes,No,Yes,Yes,Yes,Yes,Yes,No
268,Yes,No,Yes,Yes,Yes,Yes,Yes,No
269,Yes,No,Yes,Yes,Yes,Yes,Yes,No
271,Yes,No,Yes,Yes,Yes,Yes,No,No
272,Yes,No,Yes,Yes,Yes,Yes,Yes,No
273,No,No,No,No,No,No,No,No
274,No,No,No,No,No,No,No,No
275,Yes,No,Yes,Yes,Yes,Yes,Yes,No
276,Yes,No,Yes,Yes,Yes,Yes,No,No
277,Yes,No,Yes,Yes,Yes,Yes,Yes,No
278,No,No,No,No,No,No,No,No
279,Yes,No,Yes,Yes,Yes,Yes,No,No
280,Yes,No,Yes,Yes,Yes,Yes,No,No
281,Yes,No,Yes,Yes,Yes,Yes,No,No
282,Yes,No,Yes,Yes,Yes,Yes,No,No
283,No,No,No,No,No,No,Yes,No
284,Yes,No,Yes,Yes,Yes,Yes,Yes,No
285,No,No,No,No,No,No,Yes,No
286,Yes,No,Yes,Yes,Yes,Yes,No,No
287,No,No,No,No,No,No,No,No
288,Yes,No,Yes,Yes,Yes,Yes,No,No
289,Yes,No,Yes,Yes,Yes,Yes,No,No
290,Yes,No,Yes,Yes,Yes,Yes,Yes,No
292,Yes,No,Yes,Yes,Yes,Yes,Yes,No
293,Yes,No,Yes,Yes,Yes,No,No,No
294,Yes,No,Yes,Yes,Yes,Yes,Yes,No
295,Yes,No,Yes,Yes,Yes,Yes,No,No
296,Yes,No,Yes,Yes,Yes,Yes,No,No
297,No,No,No,No,No,No,No,No
298,Yes,No,Yes,Yes,Yes,Yes,Yes,No
299,Yes,No,Yes,Yes,Yes,Yes,Yes,No
300,Yes,No,Yes,Yes,Yes,Yes,No,No
301,No,No,No,No,No,No,No,No
302,No,No,No,No,No,No,Yes,No
303,No,No,No,No,No,No,No,No
304,Yes,No,Yes,Yes,Yes,Yes,Yes,No
305,Yes,No,Yes,Yes,Yes,Yes,Yes,No
306,Yes,No,Yes,Yes,Yes,Yes,Yes,No
307,Yes,No,Yes,Yes,Yes,Yes,Yes,No
308,No,No,No,No,No,No,No,No
309,Yes,No,Yes,Yes,Yes,Yes,Yes,No
310,Yes,No,Yes,Yes,Yes,Yes,Yes,No
311,Yes,No,Yes,Yes,Yes,Yes,No,No
312,Yes,No,Yes,Yes,No,No,No,No
313,Yes,No,Yes,Yes,Yes,Yes,Yes,No
314,No,No,No,No,No,No,No,No
315,Yes,No,Yes,Yes,Yes,Yes,No,No
316,No,No,No,No,No,No,No,No
317,Yes,No,Yes,Yes,Yes,Yes,Yes,No
318,Yes,No,Yes,Yes,Yes,Yes,Yes,No
319,Yes,No,Yes,Yes,Yes,Yes,Yes,No
320,Yes,No,Yes,Yes,Yes,No,No,No
321,No,No,No,No,No,No,Yes,No
322,No,No,No,No,No,No,Yes,No
323,No,No,No,No,No,No,No,No
324,Yes,No,Yes,Yes,Yes,Yes,No,No
325,Yes,No,Yes,Yes,Yes,Yes,Yes,No
326,No,No,No,No,No,No,No,No
328,Yes,No,Yes,Yes,Yes,Yes,Yes,No
329,Yes,No,Yes,Yes,Yes,Yes,Yes,No
330,No,No,No,No,No,No,Yes,No
331,Yes,No,Yes,Yes,Yes,Yes,Yes,No
332,No,No,No,No,No,No,No,No
333,No,No,No,No,No,No,Yes,No
334,Yes,No,Yes,Yes,Yes,Yes,No,No
335,No,No,No,No,No,No,No,No
336,Yes,No,Yes,Yes,Yes,Yes,No,No
337,Yes,No,Yes,Yes,Yes,Yes,No,No
338,Yes,No,Yes,Yes,Yes,Yes,No,No
339,Yes,No,Yes,Yes,Yes,No,No,No
340,Yes,No,Yes,Yes,Yes,Yes,No,No
341,Yes,No,Yes,Yes,Yes,Yes,No,No
342,Yes,No,Yes,Yes,Yes,Yes,No,No
343,Yes,No,Yes,Yes,Yes,Yes,Yes,No
344,Yes,No,Yes,Yes,Yes,Yes,No,No
345,No,No,No,No,No,No,Yes,No
346,Yes,No,Yes,Yes,Yes,Yes,No,No
347,No,No,No,No,No,No,No,No
348,Yes,No,Yes,Yes,Yes,Yes,Yes,No
350,Yes,No,Yes,Yes,Yes,Yes,Yes,No
351,Yes,No,Yes,Yes,Yes,Yes,Yes,No
352,Yes,No,Yes,Yes,Yes,No,No,No
353,No,No,No,No,No,No,Yes,No
354,Yes,No,Yes,Yes,Yes,Yes,No,No
355,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
356,Yes,No,Yes,Yes,Yes,Yes,Yes,No
357,Yes,No,Yes,Yes,Yes,Yes,No,No
358,Yes,No,Yes,Yes,Yes,Yes,No,No
359,Yes,No,Yes,Yes,Yes,Yes,Yes,No
360,Yes,No,Yes,Yes,Yes,Yes,Yes,No
361,Yes,No,Yes,Yes,Yes,Yes,Yes,No
362,Yes,No,Yes,Yes,Yes,Yes,No,No
363,Yes,No,Yes,Yes,Yes,Yes,No,No
364,Yes,No,Yes,Yes,Yes,Yes,No,No
365,Yes,No,Yes,Yes,Yes,Yes,Yes,No
366,Yes,No,Yes,Yes,Yes,Yes,Yes,No
368,Yes,No,Yes,Yes,Yes,Yes,Yes,No
369,Yes,No,Yes,Yes,Yes,Yes,Yes,No
370,Yes,No,Yes,Yes,Yes,Yes,Yes,No
371,Yes,No,Yes,Yes,Yes,Yes,Yes,No
372,Yes,No,Yes,Yes,Yes,Yes,Yes,No
373,Yes,No,Yes,Yes,No,No,No,No
374,No,No,No,No,No,No,No,No
375,Yes,No,Yes,Yes,Yes,Yes,No,No
376,Yes,No,Yes,Yes,Yes,Yes,Yes,No
378,Yes,No,Yes,Yes,Yes,Yes,No,No
379,Yes,No,Yes,Yes,Yes,Yes,Yes,No
381,Yes,No,Yes,Yes,Yes,Yes,Yes,No
382,Yes,No,Yes,Yes,Yes,Yes,Yes,No
383,No,No,No,No,No,No,No,No
384,Yes,No,Yes,Yes,Yes,Yes,Yes,No
385,Yes,No,Yes,Yes,Yes,No,No,No
386,No,No,No,No,No,No,No,No
387,Yes,No,Yes,Yes,Yes,Yes,No,No
388,Yes,No,Yes,Yes,Yes,Yes,Yes,No
389,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
390,Yes,No,Yes,Yes,Yes,Yes,No,No
391,No,No,No,No,No,No,No,No
392,Yes,No,Yes,Yes,Yes,Yes,Yes,No
393,No,No,No,No,No,No,No,No
394,Yes,No,Yes,Yes,Yes,Yes,No,No
395,Yes,No,Yes,Yes,Yes,Yes,Yes,No
396,Yes,No,Yes,Yes,Yes,Yes,Yes,No
397,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
398,Yes,No,Yes,Yes,Yes,Yes,Yes,No
399,No,No,No,No,No,No,Yes,No
400,Yes,No,Yes,Yes,Yes,Yes,Yes,No
401,Yes,No,Yes,Yes,Yes,Yes,No,No
402,Yes,No,Yes,Yes,Yes,Yes,Yes,No
403,Yes,No,Yes,Yes,Yes,Yes,No,No
404,Yes,No,Yes,Yes,Yes,Yes,Yes,No
405,Yes,No,Yes,Yes,Yes,Yes,Yes,No
406,Yes,No,Yes,Yes,Yes,Yes,Yes,No
407,No,No,No,No,No,No,Yes,No
408,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
409,Yes,No,Yes,Yes,No,No,No,No
410,Yes,No,Yes,Yes,Yes,Yes,Yes,No
411,Yes,No,Yes,Yes,Yes,No,No,No
412,Yes,No,Yes,Yes,Yes,Yes,Yes,No
413,Yes,No,Yes,Yes,Yes,Yes,Yes,No
414,Yes,No,Yes,Yes,Yes,Yes,Yes,No
415,No,No,No,No,No,No,No,No
416,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
417,Yes,No,Yes,Yes,Yes,Yes,Yes,No
418,Yes,No,Yes,Yes,Yes,Yes,No,No
419,No,No,No,No,No,No,Yes,No
420,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
421,Yes,No,Yes,Yes,Yes,Yes,Yes,No
422,Yes,No,Yes,Yes,Yes,Yes,No,No
423,Yes,No,Yes,Yes,Yes,Yes,Yes,No
424,Yes,No,Yes,Yes,Yes,Yes,Yes,No
425,No,No,No,No,No,No,No,No
426,Yes,No,Yes,Yes,Yes,Yes,Yes,No
427,Yes,No,Yes,Yes,Yes,Yes,Yes,No
428,Yes,No,Yes,Yes,Yes,Yes,No,No
429,Yes,No,Yes,Yes,Yes,Yes,Yes,No
430,Yes,No,Yes,Yes,Yes,Yes,Yes,No
431,No,No,No,No,No,No,No,No
432,No,No,No,No,No,No,No,No
433,Yes,No,Yes,Yes,Yes,Yes,Yes,No
434,No,No,No,No,No,No,Yes,No
435,Yes,No,Yes,Yes,Yes,Yes,No,No
436,Yes,No,Yes,Yes,Yes,Yes,No,No
437,Yes,No,Yes,Yes,Yes,Yes,No,No
438,Yes,No,Yes,Yes,No,No,No,No
440,Yes,No,Yes,Yes,Yes,Yes,No,No
442,Yes,No,Yes,Yes,Yes,Yes,Yes,No
443,Yes,No,Yes,Yes,Yes,Yes,No,No
444,Yes,No,Yes,Yes,Yes,Yes,Yes,No
445,Yes,No,Yes,Yes,Yes,Yes,Yes,No
446,Yes,No,Yes,Yes,Yes,No,No,No
447,Yes,No,Yes,Yes,Yes,Yes,Yes,No
448,Yes,No,Yes,Yes,Yes,Yes,Yes,No
449,No,No,No,No,No,No,Yes,No
450,Yes,No,Yes,Yes,Yes,Yes,Yes,No
451,Yes,No,Yes,Yes,Yes,Yes,Yes,No
452,No,No,No,No,No,No,No,No
453,Yes,No,Yes,Yes,Yes,No,No,No
454,Yes,No,Yes,Yes,Yes,Yes,Yes,No
456,Yes,No,Yes,Yes,Yes,Yes,Yes,No
457,No,No,No,No,No,No,No,No
458,Yes,No,Yes,Yes,Yes,Yes,Yes,No
459,Yes,No,Yes,Yes,Yes,Yes,Yes,No
461,Yes,No,Yes,Yes,Yes,Yes,Yes,No
462,Yes,No,Yes,Yes,Yes,Yes,Yes,No
463,Yes,No,Yes,Yes,Yes,Yes,Yes,No
464,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
465,Yes,No,Yes,Yes,Yes,Yes,Yes,No
466,Yes,No,Yes,Yes,Yes,Yes,Yes,No
467,Yes,No,Yes,Yes,Yes,Yes,Yes,No
468,Yes,No,Yes,Yes,Yes,Yes,Yes,No
469,No,No,No,No,No,No,Yes,No
470,Yes,No,Yes,Yes,Yes,Yes,Yes,No
471,Yes,No,Yes,Yes,Yes,Yes,Yes,No
472,Yes,No,Yes,Yes,Yes,Yes,Yes,No
473,Yes,No,Yes,Yes,Yes,No,No,No
475,Yes,No,Yes,Yes,Yes,Yes,Yes,No
476,Yes,No,Yes,Yes,Yes,Yes,Yes,No
477,Yes,No,Yes,Yes,Yes,Yes,Yes,No
478,Yes,No,Yes,Yes,Yes,No,No,No
479,Yes,No,Yes,Yes,Yes,Yes,Yes,No
480,Yes,No,Yes,Yes,Yes,No,No,No
481,No,No,No,No,No,No,Yes,No
482,Yes,No,Yes,Yes,Yes,No,No,No
483,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
484,Yes,No,Yes,Yes,Yes,Yes,Yes,No
485,Yes,No,Yes,Yes,Yes,Yes,No,No
486,Yes,No,Yes,Yes,Yes,Yes,Yes,No
488,Yes,No,Yes,Yes,Yes,Yes,No,No
489,Yes,No,Yes,Yes,Yes,Yes,Yes,No
490,No,No,No,No,No,No,No,No
491,Yes,No,Yes,Yes,Yes,Yes,Yes,No
492,No,No,No,No,No,No,No,No
493,Yes,No,Yes,Yes,Yes,Yes,No,No
494,Yes,No,Yes,Yes,Yes,Yes,Yes,No
495,Yes,No,Yes,Yes,Yes,Yes,Yes,No
497,Yes,No,Yes,Yes,Yes,Yes,Yes,No
498,Yes,No,Yes,Yes,Yes,Yes,No,No
499,No,No,No,No,No,No,Yes,No
500,Yes,No,Yes,Yes,Yes,Yes,Yes,No
501,No,No,No,No,No,No,Yes,No
502,Yes,No,Yes,Yes,Yes,Yes,No,No
503,Yes,No,Yes,Yes,Yes,Yes,No,No
504,Yes,No,Yes,Yes,Yes,Yes,Yes,No
505,Yes,No,Yes,Yes,Yes,Yes,Yes,No
506,Yes,No,Yes,Yes,Yes,Yes,No,No
507,Yes,No,Yes,Yes,Yes,Yes,Yes,No
508,No,No,No,No,No,No,Yes,No
510,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
511,Yes,No,Yes,Yes,Yes,Yes,Yes,No
512,Yes,No,Yes,Yes,Yes,Yes,Yes,No
513,No,No,No,No,No,No,No,No
514,No,No,No,No,No,No,No,No
515,Yes,No,Yes,Yes,Yes,Yes,Yes,No
516,No,No,No,No,No,No,No,No
517,Yes,No,Yes,Yes,Yes,Yes,Yes,No
518,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
519,Yes,No,Yes,Yes,Yes,Yes,Yes,No
520,Yes,No,Yes,Yes,Yes,Yes,Yes,No
521,No,No,No,No,No,No,Yes,No
522,Yes,No,Yes,Yes,Yes,Yes,Yes,No
523,Yes,No,Yes,Yes,No,No,No,No
524,No,No,No,No,No,No,Yes,No
526,Yes,No,Yes,Yes,Yes,Yes,No,No
527,No,No,No,No,No,No,No,No
528,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
529,No,No,No,No,No,No,Yes,No
530,Yes,No,Yes,Yes,Yes,Yes,Yes,No
531,No,No,No,No,No,No,Yes,No
532,Yes,No,Yes,Yes,Yes,Yes,Yes,No
533,Yes,No,Yes,Yes,Yes,Yes,Yes,No
535,Yes,No,Yes,Yes,Yes,Yes,Yes,No
536,Yes,No,Yes,Yes,Yes,Yes,Yes,No
537,Yes,No,Yes,Yes,Yes,Yes,Yes,No
538,Yes,No,Yes,Yes,Yes,Yes,Yes,No
539,Yes,No,Yes,Yes,Yes,Yes,Yes,No
540,Yes,No,Yes,Yes,Yes,Yes,Yes,No
541,Yes,No,Yes,Yes,Yes,Yes,Yes,No
542,No,No,No,No,No,No,Yes,No
