Market Number,Store Number,Total Season Pallet Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
11,764,14,13,14
11,1052,8,7,8
11,2306,13,11,13
13,423,11,9,11
13,1229,10,9,9
13,1481,11,10,10
13,2111,10,8,9
13,3271,15,12,14
13,4330,11,10,11
13,4497,16,14,15
13,5262,9,8,9
14,990,28,26,28
14,1174,13,10,12
14,1222,21,17,19
14,1224,19,16,17
14,1493,14,11,12
14,1605,18,15,17
14,1620,16,14,15
14,2533,13,10,12
14,2739,13,11,11
14,2760,13,11,12
14,3484,16,14,16
14,3785,9,7,8
14,7247,11,10,10
15,818,9,8,8
15,919,14,12,13
15,944,21,20,22
15,1032,16,15,16
15,1207,17,16,17
15,1362,8,7,8
15,3075,10,9,10
15,3119,8,7,9
15,3439,15,14,16
15,5845,13,11,13
15,5872,6,5,5
16,494,17,14,16
16,614,17,13,15
16,932,16,15,16
16,1112,16,15,15
16,1284,20,17,19
16,1311,12,11,13
16,1338,10,10,11
16,3461,13,12,13
16,4200,14,12,14
16,4283,13,11,13
16,5363,12,10,11
18,515,22,17,19
18,1070,12,11,11
18,1122,15,13,14
18,1403,17,16,16
18,2513,11,10,10
18,2753,11,9,10
18,3485,14,13,13
18,3874,11,10,10
18,4616,14,13,13
18,5786,10,10,10
18,5812,14,13,14
18,7185,9,7,7
19,594,15,14,14
19,745,11,10,11
19,787,14,11,13
19,3201,16,13,15
19,3402,12,10,12
19,3609,16,13,13
19,5709,16,15,16
20,855,10,9,10
20,1047,16,13,14
20,3118,6,5,6
20,3401,9,8,9
20,3709,8,9,9
20,3710,8,7,8
20,6998,14,12,12
21,3,14,13,14
21,510,11,9,10
21,520,17,15,16
21,780,18,17,17
21,1111,14,12,13
21,1121,17,15,17
21,1363,11,9,10
21,1400,13,11,12
21,2811,11,10,11
21,3627,13,11,12
21,5482,11,9,9
22,615,18,16,18
22,722,17,17,19
22,727,12,12,13
22,856,16,15,17
22,1488,18,15,17
22,2732,15,14,15
22,3205,13,11,13
22,3741,13,11,13
22,4409,13,12,13
23,1184,9,8,9
23,1373,6,6,6
23,1720,13,12,12
23,2584,6,5,6
23,3067,5,4,4
23,3188,8,6,8
23,3621,7,6,6
24,518,9,9,10
24,878,7,5,6
24,1314,8,7,7
24,1578,6,6,6
24,1766,4,3,3
24,2154,6,6,6
24,2941,3,3,4
24,3462,8,6,7
24,4185,4,4,4
24,4436,5,4,4
24,5814,7,6,6
25,459,18,14,16
25,548,9,8,9
25,1340,11,10,11
25,2475,13,12,14
25,3388,8,7,7
25,3389,9,8,9
25,3786,9,8,9
25,4472,9,9,9
25,4558,12,11,12
25,5252,19,15,15
26,575,7,6,8
26,618,14,13,14
26,937,6,6,6
26,1181,6,5,5
26,1586,13,10,11
26,3403,15,13,15
26,3471,7,7,7
26,3611,10,8,9
26,3748,9,9,9
26,5275,11,9,11
26,5390,7,7,7
27,588,14,13,14
27,843,6,5,6
27,889,12,11,11
27,899,17,15,14
27,952,12,11,11
27,1006,12,11,11
27,1072,13,12,12
27,2615,14,13,14
27,5797,7,6,6
27,7194,11,11,11
27,7245,11,10,9
28,556,17,16,17
28,593,14,12,14
28,639,17,16,18
28,686,10,9,10
28,836,17,14,17
28,862,19,17,19
28,864,17,16,17
28,1018,10,9,9
28,1061,10,9,9
28,2630,14,13,14
28,5392,10,9,9
29,605,13,11,13
29,635,13,12,13
29,728,4,3,3
29,1011,14,13,15
29,1383,11,10,11
29,2832,7,6,7
29,2860,12,11,12
29,4556,7,6,6
29,6395,7,6,7
29,7181,9,7,8
30,754,20,17,18
30,1024,12,11,11
30,1143,12,9,10
30,1227,14,12,13
30,1293,14,13,14
30,1658,15,13,14
30,2754,8,8,9
30,3570,16,14,16
30,4144,11,10,11
30,5735,11,9,10
32,555,15,13,14
32,758,13,12,13
32,907,13,12,12
32,1076,13,12,12
32,1153,14,11,11
32,1367,24,21,22
32,2733,12,12,12
32,2890,13,11,11
32,3750,12,11,12
32,7246,7,6,6
35,631,14,13,13
35,640,10,9,8
35,641,8,6,7
35,1123,22,20,20
35,1244,10,9,9
35,2265,17,14,15
35,2687,14,11,11
35,3191,10,9,10
35,3192,7,7,7
35,3222,11,10,10
35,4583,7,6,6
35,5487,14,12,13
36,628,15,12,11
36,632,4,3,4
36,1037,16,13,14
36,1146,15,13,15
36,1358,20,18,17
36,1359,6,5,5
36,1748,12,9,9
36,2348,4,4,4
36,2928,17,15,15
36,3367,8,7,8
36,4384,6,5,6
37,574,12,10,11
37,586,16,15,15
37,621,7,6,7
37,625,9,8,8
37,643,7,7,7
37,1829,5,5,5
37,2712,8,7,7
37,4664,9,7,9
37,5087,12,11,12
37,5705,9,7,7
38,511,11,10,11
38,616,13,10,12
38,627,8,7,7
38,630,11,10,10
38,634,15,14,15
38,642,15,12,12
38,1017,7,6,7
38,1030,21,15,14
38,1135,11,9,10
38,2703,9,8,8
38,4457,7,6,6
38,7188,10,8,8
39,396,14,12,13
39,514,13,12,12
39,624,14,12,11
39,644,15,13,14
39,795,8,7,7
39,1130,12,10,11
39,1270,15,13,13
39,1382,12,10,12
39,4487,8,8,8
39,6576,15,13,12
39,6887,11,9,10
41,881,14,12,12
41,1164,12,9,10
41,1183,12,9,9
41,1286,12,9,10
41,1339,19,15,16
41,2214,10,9,9
41,4420,16,13,14
41,4440,15,12,13
41,4506,12,8,9
41,4521,19,16,17
42,585,10,9,9
42,629,12,9,9
42,638,17,13,15
42,1035,15,12,13
42,1144,11,9,10
42,1281,16,12,13
42,1603,7,6,7
42,2806,15,12,13
42,3733,8,6,6
42,4237,7,5,5
42,4593,12,9,10
44,1455,13,12,13
44,1801,12,11,12
44,2978,17,11,13
44,3284,13,11,12
44,3285,16,15,16
44,3631,17,12,13
44,4279,19,14,14
44,4503,20,15,16
44,5147,16,14,15
45,251,11,10,11
45,265,12,11,11
45,412,17,13,13
45,516,21,19,19
45,827,14,13,14
45,1022,12,11,11
45,1044,13,11,12
45,2688,16,13,14
45,3764,12,11,12
45,6467,10,9,10
46,146,12,11,11
46,165,16,11,11
46,180,14,13,14
46,345,17,15,16
46,398,14,12,14
46,399,13,12,13
46,523,8,7,7
46,572,10,9,11
46,918,10,9,10
46,3828,9,9,9
47,38,13,11,12
47,49,8,8,8
47,131,12,11,13
47,148,16,15,16
47,181,10,9,10
47,226,9,7,9
47,240,7,6,7
47,417,18,15,18
47,427,15,13,15
47,468,11,10,11
47,2123,17,14,17
48,220,20,15,16
48,228,21,15,16
48,353,12,9,8
48,371,19,14,15
48,590,16,11,12
48,804,19,14,15
48,963,24,18,20
48,3431,18,14,14
48,4509,15,11,11
48,5359,24,19,20
49,284,18,13,13
49,471,17,14,15
49,896,23,17,19
49,3014,12,9,11
49,3432,11,10,10
49,3433,18,13,14
49,5288,16,14,15
49,5810,11,10,10
50,266,7,7,7
50,807,9,7,9
50,880,18,12,13
50,1178,9,8,9
50,2649,9,8,9
50,2834,13,9,10
50,3044,14,8,8
50,3274,8,8,8
50,5080,7,7,8
50,5416,12,7,8
51,202,3,3,3
51,1117,7,7,7
51,2918,6,5,6
51,2973,5,5,6
51,3406,5,5,5
51,3482,6,6,6
51,5210,12,10,12
51,5672,6,6,6
51,5673,8,8,8
52,206,10,8,9
52,467,8,7,8
52,3286,8,8,9
52,4627,13,12,13
52,5211,7,6,7
52,5311,8,5,5
52,5707,13,10,12
52,6963,15,13,13
53,217,8,6,8
53,426,7,6,7
53,1216,8,7,8
53,2105,9,7,7
53,2427,4,4,4
53,2996,5,4,5
53,4240,11,10,11
53,5092,7,7,7
53,5889,4,3,4
55,260,12,11,12
55,286,10,10,10
55,565,12,10,11
55,1118,15,12,14
55,2667,12,11,12
55,4164,15,14,15
55,4215,11,11,12
55,5191,17,15,15
56,2086,5,4,4
56,2463,6,5,5
56,2883,7,5,6
56,2926,4,3,4
56,3777,8,7,7
56,5866,6,4,5
56,6300,9,6,6
56,7178,11,9,11
58,2979,6,4,5
58,2981,4,3,4
58,3043,3,3,3
58,3135,5,4,5
58,3341,3,3,3
58,3392,4,3,4
58,3419,4,3,3
58,3594,5,5,5
58,3653,5,4,5
58,5613,4,4,4
58,5614,3,3,3
58,5624,4,3,4
58,6578,4,4,5
58,7251,5,4,4
58,7347,4,4,4
59,297,11,9,10
59,744,12,11,11
59,849,10,8,9
59,1103,10,9,11
59,1279,12,9,9
59,1837,10,9,9
59,4298,12,9,10
59,6579,14,11,12
60,194,12,9,10
60,522,14,13,13
60,1137,13,12,12
60,1186,13,10,11
60,2439,10,8,9
60,3298,8,7,8
60,3500,15,11,13
60,5116,10,9,9
61,462,12,10,11
61,504,10,8,9
61,527,7,6,6
61,529,11,11,11
61,808,11,9,10
61,1405,6,4,5
61,5388,8,6,7
62,546,10,8,9
62,872,9,7,7
62,915,8,7,7
62,2505,8,6,6
62,2993,7,4,5
62,3510,8,7,7
62,3572,10,9,9
62,5449,6,6,6
63,752,10,8,8
63,1062,8,6,7
63,2724,9,8,8
63,3425,8,5,7
63,4526,13,10,11
63,5612,9,7,8
63,5959,7,6,7
64,772,6,5,5
64,2066,6,3,3
64,3296,6,5,6
64,3302,5,3,3
64,3584,6,4,5
64,3827,5,5,5
65,344,4,3,3
65,768,9,7,8
65,1040,10,8,9
65,1409,6,4,4
65,3226,7,6,6
65,3640,5,3,3
65,4111,6,4,5
65,4512,8,6,8
65,5246,4,3,3
66,331,10,9,10
66,383,13,11,12
66,384,13,11,12
66,408,11,9,9
66,449,8,6,7
66,457,15,13,13
66,469,9,7,9
66,521,9,7,8
66,651,8,8,8
66,777,14,10,12
66,1204,13,11,12
67,703,10,7,8
67,2257,8,6,6
67,3297,9,6,7
67,4416,9,7,8
67,4538,8,6,6
67,5045,9,7,9
67,5091,10,7,9
67,6930,4,3,3
68,351,5,3,3
68,400,12,10,11
68,602,6,4,5
68,3213,9,7,8
68,3390,7,5,6
68,3585,7,6,6
68,3591,8,8,10
68,5287,9,7,8
70,600,11,9,10
70,755,17,13,13
70,793,10,7,8
70,812,9,7,8
70,822,14,10,11
70,900,7,5,5
70,1516,10,8,9
70,3383,16,10,12
70,3384,11,7,8
70,5216,18,14,15
71,549,28,24,23
71,821,21,17,18
71,861,13,9,9
71,927,14,10,9
71,945,16,11,12
71,1051,11,7,7
71,2653,10,8,7
71,3826,10,6,6
71,4299,16,10,11
71,6898,12,8,8
73,513,10,8,8
73,537,22,18,17
73,608,16,13,13
73,897,11,9,9
73,2891,13,10,11
73,3645,18,10,11
74,438,9,4,4
74,535,19,13,15
74,536,16,11,11
74,601,11,8,9
74,1249,8,7,7
74,1257,9,5,5
74,1272,9,7,7
74,3381,7,6,7
74,7281,8,6,6
76,211,11,9,9
76,248,9,8,8
76,561,8,6,6
76,610,16,11,12
76,746,8,7,8
76,939,7,6,6
76,1254,11,8,9
76,5389,9,7,6
76,6929,10,9,9
76,7156,7,6,6
77,290,4,3,3
77,465,4,3,3
77,757,5,4,5
77,901,10,7,8
77,1313,6,4,5
77,3112,7,5,5
77,3279,7,6,6
77,4103,5,4,4
77,5144,7,6,6
77,5245,6,4,5
78,440,5,4,4
78,442,6,5,5
78,458,5,3,4
78,464,10,7,8
78,470,6,4,4
78,490,5,4,4
78,791,6,5,5
78,1494,5,4,4
78,5460,5,4,5
78,5898,6,5,5
80,395,6,3,3
80,397,4,3,3
80,429,7,4,4
80,452,4,3,3
80,1958,5,3,3
80,3320,5,4,4
80,3567,5,4,4
80,3886,6,6,6
80,4508,4,3,3
80,5165,5,4,4
80,5809,7,5,5
81,381,12,10,11
81,407,12,9,11
81,476,7,5,5
81,781,7,7,7
81,813,18,14,16
81,917,6,4,5
81,1073,6,5,5
81,1232,9,6,7
81,1303,10,7,7
81,3319,12,10,11
81,6286,10,9,9
82,1129,5,3,4
82,1253,4,3,4
82,2133,4,3,3
82,2991,7,6,6
82,4130,7,6,6
82,4163,4,3,4
82,4219,5,4,4
82,4554,3,2,2
82,5317,5,3,4
83,77,5,4,4
83,280,7,5,5
83,475,4,3,3
83,1185,5,3,3
83,3169,5,4,5
83,3170,4,3,3
83,3569,5,3,3
83,5479,6,5,5
83,5480,6,5,5
84,330,6,5,6
84,437,9,7,7
84,463,6,4,5
84,524,3,2,2
84,1098,5,3,3
84,4194,6,4,4
85,321,8,5,5
85,322,10,8,8
85,846,6,4,5
85,1042,8,7,7
85,1150,7,6,6
85,4183,6,5,5
86,999,7,5,6
86,1235,4,2,2
86,2239,7,6,6
86,2599,5,4,4
86,3058,5,3,3
86,3106,9,5,6
86,3888,9,7,8
86,4102,5,4,5
86,5145,5,3,3
87,292,4,3,4
87,404,6,6,6
87,765,7,6,6
87,865,9,8,8
87,1347,4,3,4
87,1803,5,3,3
87,2404,3,3,3
87,2769,5,4,5
87,3391,6,4,5
87,4055,7,7,7
87,4115,8,6,7
88,443,4,3,3
88,447,8,7,7
88,461,9,8,8
88,782,12,9,9
88,3518,6,5,5
88,3623,5,3,3
88,5713,5,4,4
89,110,9,8,9
89,705,22,19,19
89,800,15,14,16
89,942,17,14,15
89,959,11,11,12
89,2695,20,17,18
89,2843,15,13,14
89,4262,15,14,16
89,5299,13,11,13
90,817,12,9,9
90,908,11,7,7
90,1086,16,12,14
90,1220,11,8,8
90,2881,13,11,11
90,4332,7,5,4
90,4365,11,9,10
90,5214,8,7,8
90,5250,19,16,18
90,5420,7,5,5
91,890,15,14,13
91,943,14,13,12
91,955,17,14,15
91,3782,10,8,9
91,4588,13,10,11
91,5871,5,5,5
91,5894,9,8,8
92,174,15,13,14
92,649,19,18,20
92,771,8,7,7
92,931,14,11,13
92,973,15,13,13
92,974,18,15,17
92,1068,11,10,10
92,1702,14,12,13
92,3538,13,11,12
92,5455,20,18,17
93,538,12,11,12
93,551,22,21,23
93,697,23,20,21
93,960,16,14,16
93,1081,14,12,14
93,1283,15,14,15
93,1297,19,18,18
93,1847,18,17,18
93,3877,10,9,11
93,4368,14,14,15
93,5326,17,17,18
94,563,16,13,15
94,579,11,11,12
94,582,12,12,13
94,613,15,14,14
94,857,13,10,11
94,860,17,14,16
94,1079,12,10,11
94,1182,16,14,16
94,1391,13,11,13
94,3207,12,11,12
94,3310,17,14,16
96,2499,3,3,3
96,3162,8,7,7
96,4142,6,6,6
96,4160,5,5,5
96,4197,5,5,5
96,4211,5,4,4
96,4425,7,5,5
96,5106,5,5,5
96,5132,5,5,5
96,5179,5,4,5
96,5365,5,4,5
96,5366,6,4,6
96,6894,7,5,6
97,488,8,7,8
97,858,8,6,7
97,1077,12,10,11
97,1223,9,8,8
97,1375,19,17,19
97,1408,12,11,11
97,3307,13,12,13
97,4427,9,7,8
97,4520,8,7,7
97,5172,9,9,9
97,5422,16,12,13
98,928,12,11,12
98,1082,8,7,8
98,1172,8,7,8
98,1173,10,8,9
98,1444,14,12,13
98,3309,9,8,8
98,3702,16,15,17
98,4444,10,9,10
98,5037,17,16,17
98,5054,12,10,11
101,767,21,20,20
101,1083,18,16,18
101,1090,10,9,9
101,1205,13,13,13
101,1219,18,15,16
101,1225,12,11,13
101,2626,14,14,14
101,2920,14,12,14
101,3308,20,19,20
101,6978,15,14,15
102,2392,3,3,3
102,3066,4,4,4
102,4354,3,3,3
102,5321,4,3,4
102,5451,5,4,4
102,5453,6,6,6
102,5622,7,6,6
102,5826,4,4,4
102,6937,4,4,4
102,6941,5,5,5
102,6968,9,7,8
102,7221,4,4,4
102,7298,4,3,3
102,7307,3,3,3
103,2907,7,6,7
103,2930,3,3,3
103,3183,5,4,5
103,3935,4,4,4
103,4140,3,3,3
103,4498,3,2,2
103,4563,4,4,4
103,4595,4,3,4
103,4617,4,4,4
103,4826,4,4,4
103,5615,3,3,3
103,5719,5,4,4
103,5945,4,3,4
104,967,19,15,16
104,988,17,14,15
104,994,19,15,16
104,1029,14,11,11
104,1085,17,13,13
104,1104,17,14,13
104,1213,19,17,19
104,3415,9,7,8
104,3526,13,11,11
104,5266,19,17,17
104,5772,13,12,12
105,819,10,9,9
105,987,7,7,7
105,1957,3,3,3
105,3417,5,4,4
105,4063,5,5,5
105,5034,10,9,10
105,5055,6,6,6
105,5347,7,7,7
105,5391,7,7,7
107,814,13,13,14
107,929,14,11,13
107,1087,13,11,12
107,1436,8,6,6
107,1541,19,12,14
107,2176,7,6,7
107,3348,13,11,12
107,3527,16,14,15
107,4260,15,14,15
107,4446,13,11,11
107,5301,8,6,8
108,1387,10,8,9
108,1398,7,5,6
108,1517,4,4,4
108,1589,6,3,5
108,1916,5,5,5
108,2789,9,8,8
108,2962,11,9,10
108,2963,7,6,7
108,3858,4,3,4
108,5882,3,3,3
108,5911,6,4,4
109,1349,9,8,8
109,1845,5,5,5
109,1851,10,9,10
109,2151,5,5,5
109,2591,10,9,10
109,2946,12,11,12
109,2987,10,9,9
109,3625,9,8,9
109,5325,5,5,5
109,5932,9,8,9
110,1680,7,6,7
110,2091,8,7,8
110,2727,16,13,15
110,2814,11,9,9
110,4161,4,4,4
110,5671,12,10,10
110,5854,5,5,5
110,5912,10,9,10
110,6397,13,10,10
111,1390,17,14,13
111,1513,9,6,7
111,1536,14,11,11
111,1712,12,10,11
111,2081,11,8,8
111,2796,12,9,9
111,3372,11,9,9
111,4690,12,8,8
111,5218,15,11,12
112,1960,11,8,9
112,2627,11,8,8
112,2740,14,10,10
112,3197,12,9,10
112,3418,16,13,15
112,4681,12,9,9
112,5036,15,11,12
112,5220,6,5,6
112,5964,16,14,14
114,547,17,13,13
114,706,30,18,17
114,718,22,18,20
114,725,19,15,17
114,779,12,11,11
114,1245,23,20,22
114,2387,18,15,16
114,3463,21,16,17
115,528,11,9,9
115,666,17,13,14
115,769,6,6,6
115,1004,11,10,11
115,1171,7,7,7
115,2459,6,5,6
115,3370,14,12,13
115,3474,10,8,10
115,3887,13,12,14
115,5264,5,4,5
115,5727,7,5,7
116,580,18,14,15
116,759,6,5,6
116,859,17,13,14
116,941,14,11,12
116,968,18,14,15
116,1203,19,15,17
116,3347,18,15,14
116,5035,21,18,19
116,5300,16,11,12
118,623,14,11,12
118,721,12,10,11
118,778,9,9,9
118,811,7,7,7
118,1874,6,6,6
118,2237,14,12,13
118,2484,12,10,10
118,3349,9,8,9
118,3387,9,9,9
118,6190,12,10,11
119,477,12,11,12
119,619,17,16,16
119,663,20,16,18
119,698,19,17,19
119,1089,15,12,14
119,1606,14,13,13
119,3659,10,7,7
119,3835,14,11,13
119,4226,15,13,13
119,5263,19,17,19
120,658,16,13,15
120,669,15,14,15
120,756,14,11,13
120,1215,19,16,18
120,1458,22,19,21
120,1469,12,8,10
120,2988,14,12,14
120,3660,9,8,9
120,5151,15,14,15
120,5173,18,15,17
120,5251,12,8,9
121,366,17,14,15
121,583,14,12,13
121,676,20,18,18
121,687,21,19,21
121,741,15,12,13
121,1466,22,19,20
121,1467,14,13,12
121,4166,14,12,12
121,4635,17,15,15
122,672,17,14,15
122,1194,16,14,14
122,1318,14,11,12
122,1319,19,15,16
122,1320,16,13,15
122,2065,12,10,10
122,2932,10,8,8
122,4223,18,17,17
123,578,12,11,11
123,678,19,18,20
123,680,19,17,18
123,685,20,16,18
123,724,17,15,16
123,2310,13,11,12
123,3234,16,14,15
123,6370,15,13,14
124,599,22,18,19
124,620,16,13,15
124,690,24,22,23
124,742,23,18,20
124,1080,16,14,15
124,1694,17,15,17
124,2749,17,17,17
124,3289,14,12,14
124,3829,15,14,14
124,3852,9,7,8
125,553,17,13,15
125,909,22,17,19
125,912,19,15,17
125,1163,17,13,15
125,2665,19,15,17
125,2706,18,16,16
125,3167,13,10,11
125,5022,18,12,12
127,87,12,10,12
127,278,12,10,11
127,323,6,5,6
127,376,12,11,11
127,448,14,12,12
127,450,13,11,12
127,876,12,9,10
127,1169,6,6,6
127,3868,8,7,8
127,6932,11,10,11
128,489,21,17,19
128,541,20,15,17
128,803,12,11,12
128,911,26,20,22
128,989,18,15,15
128,1342,14,12,12
128,1353,27,18,18
128,3616,20,16,18
128,4129,24,18,19
129,485,9,6,7
129,502,10,7,7
129,540,13,11,11
129,542,10,8,9
129,761,12,8,9
129,961,16,12,14
129,1016,13,10,10
129,2913,15,12,13
129,3483,13,9,9
130,428,17,12,13
130,532,21,16,17
130,839,21,17,19
130,935,20,17,18
130,1102,20,13,15
130,1206,16,10,11
130,1266,13,9,10
130,4683,10,7,7
131,401,5,4,4
131,1136,10,8,9
131,1196,11,7,8
131,2132,16,12,12
131,2822,18,13,15
131,3288,16,12,13
131,4679,16,13,13
131,5056,13,10,10
132,309,12,10,12
132,310,13,12,12
132,386,13,12,13
132,402,10,9,10
132,415,9,8,9
132,531,13,12,14
132,533,12,10,12
132,543,15,13,15
132,2938,8,8,8
132,7301,16,15,16
134,75,19,14,15
134,170,11,10,11
134,312,9,8,9
134,405,15,14,15
134,498,12,11,11
134,505,20,19,19
134,539,13,11,13
134,773,13,12,13
134,1107,12,10,11
134,1128,16,12,13
134,4295,14,12,12
135,23,12,10,10
135,98,12,7,8
135,149,6,6,6
135,244,6,5,5
135,307,16,11,13
135,976,14,10,10
135,1108,9,8,9
135,1109,10,7,8
135,1110,9,6,6
135,1193,15,10,11
136,155,18,16,18
136,182,18,16,17
136,347,10,8,8
136,699,12,11,11
136,707,13,10,12
136,716,12,9,10
136,1074,17,14,16
136,1468,13,12,12
136,1530,11,10,11
137,394,15,12,13
137,403,10,10,10
137,409,8,7,8
137,660,17,14,16
137,661,22,20,21
137,662,15,12,13
137,766,18,16,17
137,1100,8,8,9
137,1124,13,11,12
137,2690,10,7,9
137,4187,17,13,14
137,5703,14,12,13
138,112,13,11,11
138,115,8,7,7
138,183,10,9,10
138,205,14,13,13
138,239,13,12,12
138,305,11,9,9
138,495,22,20,20
138,981,21,17,19
138,1059,9,9,9
138,1069,11,9,9
138,1271,12,10,10
140,365,18,16,16
140,708,22,20,21
140,875,11,8,10
140,903,16,13,13
140,1710,14,11,12
140,2720,16,13,15
140,2755,18,14,14
140,2939,14,11,13
140,3059,11,8,9
140,3060,11,10,11
140,6469,16,14,16
141,501,25,22,24
141,785,19,16,16
141,816,28,23,24
141,874,18,13,14
141,887,16,14,15
141,916,20,16,18
141,954,14,10,11
141,1025,30,25,27
141,1106,14,11,11
141,1168,21,16,17
141,1192,19,14,15
141,2717,13,11,12
143,969,20,16,18
143,970,24,18,21
143,1066,18,17,19
143,1088,13,9,10
143,1195,19,14,16
143,1260,18,17,19
143,1346,17,16,17
143,2715,20,16,18
143,3528,16,13,13
143,5079,17,14,14
144,175,16,13,14
144,848,19,16,18
144,1248,14,11,11
144,2846,21,16,18
144,5196,13,10,10
144,5419,15,14,15
144,6964,17,14,14
145,94,22,19,21
145,950,16,12,12
145,1561,11,10,10
145,2322,10,8,10
145,4533,11,10,10
145,6807,10,9,9
146,64,9,8,8
146,93,15,13,15
146,97,10,10,10
146,104,15,12,14
146,106,7,7,7
146,107,15,12,12
146,120,14,11,13
146,177,15,14,15
146,335,16,13,15
146,410,15,14,15
146,675,14,12,13
146,677,22,18,20
147,161,11,10,10
147,218,11,10,11
147,238,16,13,13
147,268,18,17,18
147,393,18,17,17
147,466,11,9,9
147,683,19,16,18
147,684,20,19,21
147,738,12,11,11
147,1115,12,11,11
149,264,21,19,21
149,304,18,14,14
149,390,10,9,10
149,673,17,16,17
149,695,11,10,10
149,1075,17,14,15
149,1226,11,10,10
149,3137,12,9,11
149,3495,19,18,19
149,4435,9,7,7
149,4483,10,9,10
151,192,19,17,18
151,406,15,13,14
151,416,12,9,11
151,656,17,14,16
151,667,14,11,13
151,682,11,9,11
151,735,18,16,16
151,737,13,11,12
151,2757,13,10,11
151,3017,11,9,11
151,5057,21,19,18
152,308,17,13,15
152,568,10,8,9
152,587,15,12,14
152,657,16,14,16
152,668,21,20,20
152,671,17,15,16
152,674,16,14,15
152,879,15,14,15
152,1376,11,9,10
152,4414,10,8,9
152,5175,18,15,17
153,272,9,8,8
153,659,8,7,7
153,688,8,6,6
153,710,12,10,11
153,3717,5,3,4
153,4482,12,8,9
153,5058,7,5,6
153,5616,5,3,3
153,7020,13,11,11
154,1967,11,8,9
154,1984,10,8,7
154,2174,10,8,7
154,2289,8,7,7
154,2386,12,9,9
154,5278,15,12,12
156,2012,9,7,7
156,2155,8,5,5
156,2158,6,4,4
156,2329,5,3,4
156,2629,10,7,7
156,2964,7,5,5
156,3409,9,7,8
156,4387,8,7,7
157,1762,7,6,6
157,2222,5,3,3
157,3114,6,4,4
157,3535,7,5,5
159,1970,5,3,3
159,2103,7,6,6
159,2122,11,8,8
159,2128,7,6,6
159,2336,7,5,5
160,2021,13,10,11
160,2095,12,9,9
160,2157,15,12,12
160,2366,10,7,8
160,2953,13,11,12
160,3560,14,10,10
160,5448,9,7,6
161,1873,9,7,7
161,1964,8,7,7
161,2225,12,10,10
161,2261,7,5,5
161,2283,10,9,9
162,1891,9,8,7
162,1980,11,8,8
162,2022,10,9,8
162,2282,14,10,9
162,2331,11,9,10
162,2854,12,12,11
162,5777,12,10,10
163,2299,9,8,7
163,2371,12,9,10
163,5095,10,8,8
163,5439,11,7,8
164,1810,8,7,7
164,1959,8,7,7
164,2104,10,7,8
164,2547,7,6,6
164,2637,7,5,5
164,2905,0,0,0
164,4570,6,4,4
165,1742,9,8,8
165,2108,6,5,5
165,3212,6,6,6
165,3337,6,5,5
165,3339,8,6,7
165,3774,8,7,8
165,5476,10,8,8
166,2141,11,8,8
166,5881,7,6,5
166,5891,9,7,7
167,2263,7,6,6
167,2945,8,7,7
167,3475,6,4,4
167,3501,7,6,6
167,3541,7,5,5
167,4687,5,4,4
167,5239,8,6,7
168,1777,8,6,6
168,2145,9,7,8
168,2252,9,7,7
168,2614,9,7,7
168,2641,8,8,8
