Store Number,Start (Night),End (Morning)
1805,10/18/2022,10/19/2022
2591,10/18/2022,10/19/2022
4681,10/18/2022,10/19/2022
290,10/18/2022,10/19/2022
2765,10/18/2022,10/19/2022
1626,10/18/2022,10/19/2022
8224,10/18/2022,10/19/2022
8153,10/18/2022,10/19/2022
1403,10/18/2022,10/19/2022
4303,10/18/2022,10/19/2022
5299,10/19/2022,10/20/2022
1349,10/19/2022,10/20/2022
941,10/19/2022,10/20/2022
2769,10/19/2022,10/20/2022
397,10/19/2022,10/20/2022
8239,10/19/2022,10/20/2022
2051,10/20/2022,10/21/2022
3650,10/20/2022,10/21/2022
110,10/20/2022,10/21/2022
1851,10/20/2022,10/21/2022
4063,10/20/2022,10/21/2022
3418,10/20/2022,10/21/2022
4512,10/20/2022,10/21/2022
429,10/20/2022,10/21/2022
392,10/20/2022,10/21/2022
5616,10/20/2022,10/21/2022
5671,10/20/2022,10/21/2022
5612,10/23/2022,10/24/2022
3518,10/23/2022,10/24/2022
134,10/23/2022,10/24/2022
6238,10/23/2022,10/24/2022
4770,10/23/2022,10/24/2022
5122,10/23/2022,10/24/2022
5347,10/23/2022,10/24/2022
3082,10/24/2022,10/25/2022
2978,10/25/2022,10/26/2022
3730,10/25/2022,10/26/2022
1563,10/25/2022,10/26/2022
1517,10/25/2022,10/26/2022
623,10/25/2022,10/26/2022
4368,10/25/2022,10/26/2022
5959,10/25/2022,10/26/2022
752,10/25/2022,10/26/2022
6932,10/25/2022,10/26/2022
3789,10/26/2022,10/27/2022
2946,10/26/2022,10/27/2022
1205,10/26/2022,10/27/2022
2439,10/26/2022,10/27/2022
5764,10/26/2022,10/27/2022
876,10/26/2022,10/27/2022
4288,10/26/2022,10/27/2022
4355,10/27/2022,10/28/2022
4356,10/27/2022,10/28/2022
3163,10/27/2022,10/28/2022
811,10/27/2022,10/28/2022
6978,10/27/2022,10/28/2022
