Market,Region,Store,BU,Final Tier,Details
321,42,67,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
329,12,68,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
335,40,69,NORTH BU,Tier 2 - GM Pause,
329,12,70,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
328,42,71,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
410,44,72,SOUTWEST BU,Tier 2 - GM Pause,
356,44,73,SOUTWEST BU,Tier 2 - GM Pause,
329,12,74,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
134,13,75,SOUTWEST BU,Tier 2 - GM Pause,
322,42,76,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
83,5,77,SOUTWEST BU,Tier 2 - GM Pause,
357,40,78,NORTH BU,Tier 2 - GM Pause,
334,42,79,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
359,40,80,NORTH BU,Tier 2 - GM Pause,
347,44,81,SOUTWEST BU,Tier 1 - ISA On in Total Store,
335,40,82,NORTH BU,Tier 1 - ISA On in Total Store,
327,42,83,SOUTHEAST BU,Tier 2 - GM Pause,
324,42,85,SOUTHEAST BU,Tier 2 - GM Pause,
357,40,86,NORTH BU,Tier 2 - GM Pause,
127,42,87,SOUTHEAST BU,Tier 2 - GM Pause,
357,40,88,NORTH BU,Tier 2 - GM Pause,
336,40,89,NORTH BU,Tier 1 - ISA On in Total Store,
347,44,90,SOUTWEST BU,Tier 2 - GM Pause,
329,12,91,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
334,42,92,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
145,12,93,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
145,12,94,SOUTHEAST BU,Tier 2 - GM Pause,
335,40,95,NORTH BU,Tier 2 - GM Pause,
361,40,96,NORTH BU,Tier 1 - ISA On in Total Store,
146,41,97,NORTH BU,Tier 1 - ISA On in Total Store,
135,42,98,SOUTHEAST BU,Tier 2 - GM Pause,
336,40,99,NORTH BU,Tier 1 - ISA On in Total Store,
323,42,100,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
336,40,101,NORTH BU,Tier 3 - Total Store ISA Pause,
327,42,102,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
351,44,103,SOUTWEST BU,Tier 2 - GM Pause,
146,41,104,NORTH BU,Tier 1 - ISA On in Total Store,
4,12,105,SOUTHEAST BU,Tier 2 - GM Pause,
146,41,106,NORTH BU,Tier 1 - ISA On in Total Store,
146,41,107,NORTH BU,Tier 1 - ISA On in Total Store,
344,44,108,SOUTWEST BU,Tier 2 - GM Pause,
360,40,109,NORTH BU,Tier 1 - ISA On in Total Store,
89,9,110,SOUTHEAST BU,Tier 2 - GM Pause,
410,44,111,SOUTWEST BU,Tier 2 - GM Pause,
138,14,112,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
349,44,113,SOUTWEST BU,Tier 2 - GM Pause,
4,12,114,SOUTHEAST BU,Tier 2 - GM Pause,
138,14,115,SOUTHEAST BU,Tier 2 - GM Pause,
127,42,116,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
47,44,117,SOUTWEST BU,Tier 1 - ISA On in Total Store,
4,12,118,SOUTHEAST BU,Tier 2 - GM Pause,
328,42,119,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
146,41,120,NORTH BU,Tier 1 - ISA On in Total Store,
351,44,121,SOUTWEST BU,Tier 2 - GM Pause,
335,40,122,NORTH BU,Tier 1 - ISA On in Total Store,
351,44,123,SOUTWEST BU,Tier 2 - GM Pause,
324,42,124,SOUTHEAST BU,Tier 2 - GM Pause,
321,42,125,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
324,42,126,SOUTHEAST BU,Tier 2 - GM Pause,
325,42,127,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
329,12,128,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
350,44,129,SOUTWEST BU,Tier 2 - GM Pause,
347,44,130,SOUTWEST BU,Tier 1 - ISA On in Total Store,
47,44,131,SOUTWEST BU,Tier 2 - GM Pause,
344,44,132,SOUTWEST BU,Tier 1 - ISA On in Total Store,
325,42,133,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
344,44,134,SOUTWEST BU,Tier 2 - GM Pause,
360,40,135,NORTH BU,Tier 3 - Total Store ISA Pause,
345,44,136,SOUTWEST BU,Tier 1 - ISA On in Total Store,
352,44,137,SOUTWEST BU,Tier 2 - GM Pause,
357,40,138,NORTH BU,Tier 2 - GM Pause,
353,44,139,SOUTWEST BU,Tier 1 - ISA On in Total Store,
503,6,140,SOUTWEST BU,Tier 1 - ISA On in Total Store,
321,42,141,SOUTHEAST BU,Tier 2 - GM Pause,
253,41,143,NORTH BU,Tier 1 - ISA On in Total Store,
322,42,144,SOUTHEAST BU,Tier 2 - GM Pause,
339,40,145,NORTH BU,Tier 1 - ISA On in Total Store,
46,5,146,SOUTWEST BU,Tier 2 - GM Pause,
350,44,147,SOUTWEST BU,Tier 1 - ISA On in Total Store,
47,44,148,SOUTWEST BU,Tier 2 - GM Pause,
135,42,149,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
344,44,150,SOUTWEST BU,Tier 2 - GM Pause,
351,44,151,SOUTWEST BU,Tier 2 - GM Pause,
335,40,152,NORTH BU,Tier 2 - GM Pause,
4,12,153,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
311,20,154,NORTH BU,Tier 2 - GM Pause,
136,12,155,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
328,42,157,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
350,44,158,SOUTWEST BU,Tier 1 - ISA On in Total Store,
359,40,159,NORTH BU,Tier 3 - Total Store ISA Pause,
328,42,160,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
147,12,161,SOUTHEAST BU,Tier 2 - GM Pause,
349,44,162,SOUTWEST BU,Tier 2 - GM Pause,
503,6,163,SOUTWEST BU,Tier 1 - ISA On in Total Store,
4,12,164,SOUTHEAST BU,Tier 2 - GM Pause,
46,5,165,SOUTWEST BU,Tier 2 - GM Pause,
357,40,166,NORTH BU,Tier 2 - GM Pause,
327,42,167,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
345,44,168,SOUTWEST BU,Tier 1 - ISA On in Total Store,
326,42,169,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
134,13,170,SOUTWEST BU,Tier 1 - ISA On in Total Store,
327,42,171,SOUTHEAST BU,Tier 2 - GM Pause,
336,40,172,NORTH BU,Tier 3 - Total Store ISA Pause,
357,40,173,NORTH BU,Tier 2 - GM Pause,
92,9,174,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
144,12,175,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
4,12,176,SOUTHEAST BU,Tier 2 - GM Pause,
146,41,177,NORTH BU,Tier 1 - ISA On in Total Store,
344,44,178,SOUTWEST BU,Tier 2 - GM Pause,
357,40,179,NORTH BU,Tier 1 - ISA On in Total Store,
46,5,180,SOUTWEST BU,Tier 2 - GM Pause,
47,44,181,SOUTWEST BU,Tier 1 - ISA On in Total Store,
136,12,182,SOUTHEAST BU,Tier 2 - GM Pause,
138,14,183,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
361,40,184,NORTH BU,Tier 1 - ISA On in Total Store,
350,44,185,SOUTWEST BU,Tier 1 - ISA On in Total Store,
409,44,186,SOUTWEST BU,Tier 2 - GM Pause,
335,40,188,NORTH BU,Tier 2 - GM Pause,
359,40,189,NORTH BU,Tier 2 - GM Pause,
329,12,190,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
147,12,192,SOUTHEAST BU,Tier 2 - GM Pause,
60,6,194,SOUTWEST BU,Tier 2 - GM Pause,
360,40,195,NORTH BU,Tier 1 - ISA On in Total Store,
271,25,196,NORTH BU,Tier 1 - ISA On in Total Store,
278,25,197,NORTH BU,Tier 1 - ISA On in Total Store,
272,25,198,NORTH BU,Tier 2 - GM Pause,
278,25,199,NORTH BU,Tier 1 - ISA On in Total Store,
275,25,200,NORTH BU,Tier 1 - ISA On in Total Store,
341,25,201,NORTH BU,Tier 1 - ISA On in Total Store,
51,5,202,SOUTWEST BU,Tier 2 - GM Pause,
359,40,203,NORTH BU,Tier 2 - GM Pause,
253,41,204,NORTH BU,Tier 1 - ISA On in Total Store,
138,14,205,SOUTHEAST BU,Tier 2 - GM Pause,
52,5,206,SOUTWEST BU,Tier 2 - GM Pause,
345,44,207,SOUTWEST BU,Tier 1 - ISA On in Total Store,
321,42,209,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
351,44,210,SOUTWEST BU,Tier 2 - GM Pause,
76,5,211,SOUTWEST BU,Tier 1 - ISA On in Total Store,
353,44,212,SOUTWEST BU,Tier 2 - GM Pause,
272,25,213,NORTH BU,Tier 2 - GM Pause,
503,6,214,SOUTWEST BU,Tier 2 - GM Pause,
271,25,216,NORTH BU,Tier 1 - ISA On in Total Store,
53,5,217,SOUTWEST BU,Tier 2 - GM Pause,
147,12,218,SOUTHEAST BU,Tier 2 - GM Pause,
359,40,219,NORTH BU,Tier 2 - GM Pause,
48,5,220,SOUTWEST BU,Tier 2 - GM Pause,
344,44,221,SOUTWEST BU,Tier 2 - GM Pause,
271,25,222,NORTH BU,Tier 1 - ISA On in Total Store,
272,25,224,NORTH BU,Tier 2 - GM Pause,
350,44,225,SOUTWEST BU,Tier 1 - ISA On in Total Store,
47,44,226,SOUTWEST BU,Tier 1 - ISA On in Total Store,
344,44,227,SOUTWEST BU,Tier 1 - ISA On in Total Store,
48,5,228,SOUTWEST BU,Tier 2 - GM Pause,
329,12,229,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
321,42,230,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
350,44,231,SOUTWEST BU,Tier 2 - GM Pause,
350,44,232,SOUTWEST BU,Tier 1 - ISA On in Total Store,
271,25,233,NORTH BU,Tier 1 - ISA On in Total Store,
360,40,234,NORTH BU,Tier 2 - GM Pause,
503,6,236,SOUTWEST BU,Tier 1 - ISA On in Total Store,
271,25,237,NORTH BU,Tier 1 - ISA On in Total Store,
147,12,238,SOUTHEAST BU,Tier 2 - GM Pause,
138,14,239,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
47,44,240,SOUTWEST BU,Tier 1 - ISA On in Total Store,
410,44,242,SOUTWEST BU,Tier 2 - GM Pause,
339,40,243,NORTH BU,Tier 1 - ISA On in Total Store,
135,42,244,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
345,44,246,SOUTWEST BU,Tier 1 - ISA On in Total Store,
351,44,247,SOUTWEST BU,Tier 1 - ISA On in Total Store,
76,5,248,SOUTWEST BU,Tier 2 - GM Pause,
503,6,249,SOUTWEST BU,Tier 1 - ISA On in Total Store,
336,40,250,NORTH BU,Tier 1 - ISA On in Total Store,
45,5,251,SOUTWEST BU,Tier 2 - GM Pause,
271,25,252,NORTH BU,Tier 1 - ISA On in Total Store,
272,25,253,NORTH BU,Tier 2 - GM Pause,
273,25,254,NORTH BU,Tier 1 - ISA On in Total Store,
341,25,256,NORTH BU,Tier 1 - ISA On in Total Store,
254,41,257,NORTH BU,Tier 1 - ISA On in Total Store,
4,12,258,SOUTHEAST BU,Tier 2 - GM Pause,
583,5,259,SOUTWEST BU,Tier 2 - GM Pause,
55,5,260,SOUTWEST BU,Tier 2 - GM Pause,
325,42,261,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
271,25,262,NORTH BU,Tier 1 - ISA On in Total Store,
149,12,264,SOUTHEAST BU,Tier 2 - GM Pause,
45,5,265,SOUTWEST BU,Tier 2 - GM Pause,
50,5,266,SOUTWEST BU,Tier 2 - GM Pause,
334,42,267,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
147,12,268,SOUTHEAST BU,Tier 2 - GM Pause,
349,44,269,SOUTWEST BU,Tier 2 - GM Pause,
349,44,271,SOUTWEST BU,Tier 2 - GM Pause,
153,12,272,SOUTHEAST BU,Tier 2 - GM Pause,
4,12,273,SOUTHEAST BU,Tier 2 - GM Pause,
4,12,274,SOUTHEAST BU,Tier 2 - GM Pause,
503,6,275,SOUTWEST BU,Tier 1 - ISA On in Total Store,
351,44,276,SOUTWEST BU,Tier 2 - GM Pause,
353,44,277,SOUTWEST BU,Tier 2 - GM Pause,
127,42,278,SOUTHEAST BU,Tier 2 - GM Pause,
321,42,279,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
83,5,280,SOUTWEST BU,Tier 2 - GM Pause,
328,42,281,SOUTHEAST BU,Tier 2 - GM Pause,
253,41,282,NORTH BU,Tier 1 - ISA On in Total Store,
66,13,283,SOUTWEST BU,Tier 2 - GM Pause,
44,5,284,SOUTWEST BU,Tier 2 - GM Pause,
503,6,285,SOUTWEST BU,Tier 2 - GM Pause,
55,5,286,SOUTWEST BU,Tier 2 - GM Pause,
11,14,287,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
503,6,288,SOUTWEST BU,Tier 1 - ISA On in Total Store,
327,42,289,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
77,6,290,SOUTWEST BU,Tier 1 - ISA On in Total Store,
87,6,292,SOUTWEST BU,Tier 1 - ISA On in Total Store,
85,6,293,SOUTWEST BU,Tier 1 - ISA On in Total Store,
253,41,294,NORTH BU,Tier 1 - ISA On in Total Store,
340,40,295,NORTH BU,Tier 1 - ISA On in Total Store,
325,42,296,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
59,6,297,SOUTWEST BU,Tier 1 - ISA On in Total Store,
5,12,298,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
254,41,299,NORTH BU,Tier 2 - GM Pause,
3,14,300,SOUTHEAST BU,Tier 2 - GM Pause,
3,14,301,SOUTHEAST BU,Tier 2 - GM Pause,
271,25,302,NORTH BU,Tier 1 - ISA On in Total Store,
4,12,303,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
149,12,304,SOUTHEAST BU,Tier 2 - GM Pause,
138,14,305,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
5,12,306,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
135,42,307,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
152,41,308,NORTH BU,Tier 2 - GM Pause,
132,13,309,SOUTWEST BU,Tier 2 - GM Pause,
132,13,310,SOUTWEST BU,Tier 1 - ISA On in Total Store,
129,13,311,SOUTWEST BU,Tier 2 - GM Pause,
134,13,312,SOUTWEST BU,Tier 2 - GM Pause,
335,40,313,NORTH BU,Tier 2 - GM Pause,
151,12,314,SOUTHEAST BU,Tier 2 - GM Pause,
3,14,315,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
3,14,316,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
272,25,317,NORTH BU,Tier 2 - GM Pause,
325,42,318,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
361,40,319,NORTH BU,Tier 2 - GM Pause,
76,5,320,SOUTWEST BU,Tier 2 - GM Pause,
85,6,321,SOUTWEST BU,Tier 1 - ISA On in Total Store,
85,6,322,SOUTWEST BU,Tier 1 - ISA On in Total Store,
127,42,323,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
356,44,324,SOUTWEST BU,Tier 1 - ISA On in Total Store,
360,40,325,NORTH BU,Tier 1 - ISA On in Total Store,
361,40,326,NORTH BU,Tier 1 - ISA On in Total Store,
341,25,328,NORTH BU,Tier 1 - ISA On in Total Store,
10,14,329,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
84,6,330,SOUTWEST BU,Tier 2 - GM Pause,
66,13,331,SOUTWEST BU,Tier 2 - GM Pause,
5,12,332,SOUTHEAST BU,Tier 2 - GM Pause,
254,41,333,NORTH BU,Tier 1 - ISA On in Total Store,
275,25,334,NORTH BU,Tier 1 - ISA On in Total Store,
146,41,335,NORTH BU,Tier 1 - ISA On in Total Store,
325,42,336,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
335,40,337,NORTH BU,Tier 1 - ISA On in Total Store,
334,42,338,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
327,42,339,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
351,44,340,SOUTWEST BU,Tier 2 - GM Pause,
407,47,341,WEST BU,Tier 1 - ISA On in Total Store,
411,47,342,WEST BU,Tier 1 - ISA On in Total Store,
275,25,343,NORTH BU,Tier 1 - ISA On in Total Store,
65,6,344,SOUTWEST BU,Tier 1 - ISA On in Total Store,
46,5,345,SOUTWEST BU,Tier 2 - GM Pause,
409,44,346,SOUTWEST BU,Tier 2 - GM Pause,
136,12,347,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
327,42,348,SOUTHEAST BU,Tier 2 - GM Pause,
433,47,350,WEST BU,Tier 1 - ISA On in Total Store,
68,6,351,SOUTWEST BU,Tier 1 - ISA On in Total Store,
271,25,352,NORTH BU,Tier 1 - ISA On in Total Store,
48,5,353,SOUTWEST BU,Tier 2 - GM Pause,
336,40,354,NORTH BU,Tier 1 - ISA On in Total Store,
10,14,355,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
10,14,356,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
336,40,357,NORTH BU,Tier 1 - ISA On in Total Store,
321,42,358,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
322,42,359,SOUTHEAST BU,Tier 2 - GM Pause,
352,44,360,SOUTWEST BU,Tier 1 - ISA On in Total Store,
341,25,361,NORTH BU,Tier 1 - ISA On in Total Store,
11,14,362,SOUTHEAST BU,Tier 2 - GM Pause,
361,40,363,NORTH BU,Tier 1 - ISA On in Total Store,
503,6,364,SOUTWEST BU,Tier 1 - ISA On in Total Store,
140,13,365,SOUTWEST BU,Tier 3 - Total Store ISA Pause,
121,2,366,SOUTHEAST BU,Tier 2 - GM Pause,
410,44,368,SOUTWEST BU,Tier 2 - GM Pause,
406,47,369,WEST BU,Tier 1 - ISA On in Total Store,
406,47,370,WEST BU,Tier 1 - ISA On in Total Store,
48,5,371,SOUTWEST BU,Tier 2 - GM Pause,
406,47,372,WEST BU,Tier 2 - GM Pause,
322,42,373,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
347,44,374,SOUTWEST BU,Tier 2 - GM Pause,
5,12,375,SOUTHEAST BU,Tier 2 - GM Pause,
127,42,376,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
497,59,377,NHM BU,Tier 1 - ISA On in Total Store,
411,47,378,WEST BU,Tier 1 - ISA On in Total Store,
333,40,379,NORTH BU,Tier 2 - GM Pause,
81,5,381,SOUTWEST BU,Tier 1 - ISA On in Total Store,
410,44,382,SOUTWEST BU,Tier 2 - GM Pause,
66,13,383,SOUTWEST BU,Tier 2 - GM Pause,
66,13,384,SOUTWEST BU,Tier 1 - ISA On in Total Store,
84,6,385,SOUTWEST BU,Tier 1 - ISA On in Total Store,
132,13,386,SOUTWEST BU,Tier 1 - ISA On in Total Store,
352,44,387,SOUTWEST BU,Tier 1 - ISA On in Total Store,
321,42,388,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
352,44,389,SOUTWEST BU,Tier 1 - ISA On in Total Store,
149,12,390,SOUTHEAST BU,Tier 2 - GM Pause,
4,12,391,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
344,44,392,SOUTWEST BU,Tier 2 - GM Pause,
147,12,393,SOUTHEAST BU,Tier 2 - GM Pause,
137,12,394,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
80,6,395,SOUTWEST BU,Tier 2 - GM Pause,
39,2,396,SOUTHEAST BU,Tier 2 - GM Pause,
80,6,397,SOUTWEST BU,Tier 2 - GM Pause,
46,5,398,SOUTWEST BU,Tier 1 - ISA On in Total Store,
46,5,399,SOUTWEST BU,Tier 2 - GM Pause,
68,6,400,SOUTWEST BU,Tier 1 - ISA On in Total Store,
131,13,401,SOUTWEST BU,Tier 1 - ISA On in Total Store,
132,13,402,SOUTWEST BU,Tier 2 - GM Pause,
137,12,403,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
87,6,404,SOUTWEST BU,Tier 2 - GM Pause,
134,13,405,SOUTWEST BU,Tier 2 - GM Pause,
153,12,406,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
81,5,407,SOUTWEST BU,Tier 1 - ISA On in Total Store,
66,13,408,SOUTWEST BU,Tier 2 - GM Pause,
137,12,409,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
146,41,410,NORTH BU,Tier 1 - ISA On in Total Store,
138,14,411,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
45,5,412,SOUTWEST BU,Tier 2 - GM Pause,
569,6,413,SOUTWEST BU,Tier 2 - GM Pause,
349,44,414,SOUTWEST BU,Tier 2 - GM Pause,
132,13,415,SOUTWEST BU,Tier 2 - GM Pause,
151,12,416,SOUTHEAST BU,Tier 2 - GM Pause,
47,44,417,SOUTWEST BU,Tier 1 - ISA On in Total Store,
407,47,418,WEST BU,Tier 1 - ISA On in Total Store,
406,47,419,WEST BU,Tier 1 - ISA On in Total Store,
349,44,420,SOUTWEST BU,Tier 2 - GM Pause,
479,5,421,SOUTWEST BU,Tier 1 - ISA On in Total Store,
273,25,422,NORTH BU,Tier 1 - ISA On in Total Store,
13,14,423,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
8,14,424,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
11,14,425,SOUTHEAST BU,Tier 2 - GM Pause,
53,5,426,SOUTWEST BU,Tier 2 - GM Pause,
47,44,427,SOUTWEST BU,Tier 2 - GM Pause,
130,13,428,SOUTWEST BU,Tier 2 - GM Pause,
80,6,429,SOUTWEST BU,Tier 1 - ISA On in Total Store,
253,41,430,NORTH BU,Tier 1 - ISA On in Total Store,
253,41,431,NORTH BU,Tier 1 - ISA On in Total Store,
10,14,432,SOUTHEAST BU,Tier 2 - GM Pause,
5,12,433,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
5,12,434,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
272,25,435,NORTH BU,Tier 2 - GM Pause,
272,25,436,NORTH BU,Tier 1 - ISA On in Total Store,
84,6,437,SOUTWEST BU,Tier 2 - GM Pause,
74,5,438,SOUTWEST BU,Tier 1 - ISA On in Total Store,
78,6,440,SOUTWEST BU,Tier 1 - ISA On in Total Store,
78,6,442,SOUTWEST BU,Tier 1 - ISA On in Total Store,
88,46,443,SOUTWEST BU,Tier 2 - GM Pause,
333,40,444,NORTH BU,Tier 2 - GM Pause,
256,41,445,NORTH BU,Tier 1 - ISA On in Total Store,
85,6,446,SOUTWEST BU,Tier 1 - ISA On in Total Store,
88,46,447,SOUTWEST BU,Tier 1 - ISA On in Total Store,
127,42,448,SOUTHEAST BU,Tier 2 - GM Pause,
66,13,449,SOUTWEST BU,Tier 1 - ISA On in Total Store,
127,42,450,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
359,40,451,NORTH BU,Tier 3 - Total Store ISA Pause,
80,6,452,SOUTWEST BU,Tier 1 - ISA On in Total Store,
329,12,453,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
273,25,454,NORTH BU,Tier 1 - ISA On in Total Store,
569,6,456,SOUTWEST BU,Tier 1 - ISA On in Total Store,
66,13,457,SOUTWEST BU,Tier 1 - ISA On in Total Store,
78,6,458,SOUTWEST BU,Tier 1 - ISA On in Total Store,
25,2,459,SOUTHEAST BU,Tier 2 - GM Pause,
88,46,461,SOUTWEST BU,Tier 2 - GM Pause,
61,6,462,SOUTWEST BU,Tier 1 - ISA On in Total Store,
84,6,463,SOUTWEST BU,Tier 2 - GM Pause,
78,6,464,SOUTWEST BU,Tier 1 - ISA On in Total Store,
77,6,465,SOUTWEST BU,Tier 1 - ISA On in Total Store,
147,12,466,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
