Store,Receiving feature?
3777,Yes
3827,Yes
3828,Yes
3835,Yes
3868,Yes
3870,Yes
3886,Yes
3888,Yes
3990,Yes
4046,Yes
4048,Yes
4055,Yes
4056,Yes
4057,Yes
4102,Yes
4103,Yes
4104,Yes
4108,Yes
4111,Yes
4112,Yes
4114,Yes
4115,Yes
4128,Yes
4129,Yes
4130,Yes
4131,Yes
4162,Yes
4163,Yes
4164,Yes
4165,Yes
4168,Yes
4182,Yes
4183,Yes
4187,Yes
4188,Yes
4193,Yes
4194,Yes
4195,Yes
4215,Yes
4219,Yes
4226,Yes
4240,Yes
4241,Yes
4279,Yes
4295,Yes
4298,Yes
4321,Yes
4367,Yes
4371,Yes
4373,Yes
4375,Yes
4376,Yes
4381,Yes
4390,Yes
4414,Yes
4416,Yes
4435,Yes
4453,Yes
4460,Yes
4465,Yes
4466,Yes
4468,Yes
4469,Yes
4470,Yes
4478,Yes
4482,Yes
4483,Yes
4503,Yes
4508,Yes
4509,Yes
4512,Yes
4516,Yes
4526,Yes
4533,Yes
4538,Yes
4554,Yes
4577,Yes
4579,Yes
4585,Yes
4586,Yes
4589,Yes
4591,Yes
4605,Yes
4615,Yes
4618,Yes
4619,Yes
4627,Yes
4637,Yes
4654,Yes
4655,Yes
4659,Yes
4674,Yes
4679,Yes
4683,Yes
4686,Yes
4692,Yes
5021,Yes
5022,Yes
5043,Yes
5045,Yes
5056,Yes
5057,Yes
5058,Yes
5059,Yes
5071,Yes
5079,Yes
5080,Yes
5081,Yes
5091,Yes
5092,Yes
5093,Yes
5094,Yes
5102,Yes
5107,Yes
5116,Yes
5119,Yes
5122,Yes
5125,Yes
5143,Yes
5144,Yes
5145,Yes
5146,Yes
5147,Yes
5148,Yes
5165,Yes
5173,Yes
5175,Yes
5182,Yes
5188,Yes
5191,Yes
5196,Yes
5197,Yes
5204,Yes
5210,Yes
5211,Yes
5224,Yes
5226,Yes
5236,Yes
5244,Yes
5245,Yes
5246,Yes
5247,Yes
5248,Yes
5251,Yes
5256,Yes
5260,Yes
5261,Yes
5263,Yes
5286,Yes
5287,Yes
5288,Yes
5290,Yes
5310,Yes
5311,Yes
5312,Yes
5314,Yes
5316,Yes
5317,Yes
5323,Yes
5327,Yes
5328,Yes
5336,Yes
5353,Yes
5359,Yes
5364,Yes
5388,Yes
5389,Yes
5416,Yes
5419,Yes
5433,Yes
5449,Yes
5459,Yes
5460,Yes
5464,Yes
5479,Yes
5480,Yes
5490,Yes
5612,Yes
5613,Yes
5614,Yes
5616,Yes
5624,Yes
5657,Yes
5672,Yes
5673,Yes
5700,Yes
5703,Yes
5706,Yes
5707,Yes
5713,Yes
5715,Yes
5716,Yes
5722,Yes
5737,Yes
5738,Yes
5764,Yes
5773,Yes
5774,Yes
5780,Yes
5789,Yes
5790,Yes
5791,Yes
5805,Yes
5808,Yes
5809,Yes
5810,Yes
5823,Yes
5824,Yes
5832,Yes
5837,Yes
5840,Yes
5855,Yes
5863,Yes
5866,Yes
5889,Yes
5898,Yes
5925,Yes
5959,Yes
5963,Yes
5987,Yes
5990,Yes
5991,Yes
6078,Yes
6098,Yes
6159,Yes
6170,Yes
6286,Yes
6300,Yes
6323,Yes
6459,Yes
6467,Yes
6469,Yes
6577,Yes
6578,Yes
6579,Yes
6583,Yes
6588,Yes
6590,Yes
6786,Yes
6807,Yes
6850,Yes
6851,Yes
6876,Yes
6878,Yes
6929,Yes
6932,Yes
6942,Yes
6943,Yes
6953,Yes
6960,Yes
6963,Yes
6964,Yes
6966,Yes
6971,Yes
6975,Yes
7020,Yes
7099,Yes
7127,Yes
7156,Yes
7178,Yes
7220,Yes
7224,Yes
7232,Yes
7233,Yes
7240,Yes
7241,Yes
7242,Yes
7249,Yes
7251,Yes
7262,Yes
7280,Yes
7281,Yes
7294,Yes
7301,Yes
7308,Yes
7309,Yes
7311,Yes
7317,Yes
7324,Yes
7326,Yes
7342,Yes
7347,Yes
7357,Yes
7361,Yes
8930,Yes
