Store,Invoice Date,Store Invoice Period,Invoice #,Machine,Total,OOS Billing Category,Area of Machine,Memo
4260,12/20/2021,Feb 2022,542933,8000 - BCR2,$454.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#refused"">REFUSED ACCESS TO DEVICE</a>",OTHER,
896,12/20/2021,Feb 2022,542955,8000,$936.10,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#gas"">IMPROPER HANDLING - GAS SPRING</a>",OTHER,
957,12/20/2021,Feb 2022,542957,7000 - BCR2,$318.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#declined"">SITE DECLINED TROUBLESHOOTING</a>",OTHER,"User ""Heather"" was unable to complete troubleshooting."
3183,12/20/2021,Feb 2022,542960,7000,$454.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",BCR,
2015,12/20/2021,Feb 2022,542962,8000 - BCR2,$486.31,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#maintenance"">MAINTENANCE & CLEANING</a>",BCR,
3208,12/20/2021,Feb 2022,542966,8000 - BCR2,$580.65,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
2753,12/20/2021,Feb 2022,542968,8000 - BCR2,$579.84,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1266,12/20/2021,Feb 2022,542971,8000 - BCR2,"$1,245.74","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1659,12/20/2021,Feb 2022,542974,8000 - BCR2,$512.32,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
1341,12/20/2021,Feb 2022,542976,8000 - BCR2,$398.25,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
622,12/20/2021,Feb 2022,542978,8000 - BCR2,$404.30,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
1453,12/20/2021,Feb 2022,542981,8000 - BCR2,$392.67,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
5240,12/20/2021,Feb 2022,542984,8000 - BCR2,$803.96,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#cassettes"">IMPROPER HANDLING - CASSETTES</a>",BNR,
5033,12/20/2021,Feb 2022,542985,8000 - BCR2,"$2,805.04","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#coin"">IMPROPER HANDLING - COIN SORTER</a>",BCR,Coin sorter physically damaged.
517,12/20/2021,Feb 2022,542986,8000 - BCR2,"$1,128.32","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
491,12/20/2021,Feb 2022,542987,8000 - BCR2,$574.41,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
969,12/20/2021,Feb 2022,542991,8000,$556.27,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#gas"">IMPROPER HANDLING - GAS SPRING</a>",OTHER,
659,12/20/2021,Feb 2022,542993,8000 - BCR2,"$1,175.63",IMPROPER HANDLING - SHUTTER,BNR,
298,12/20/2021,Feb 2022,542995,8000 - BCR2,$364.49,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
715,12/20/2021,Feb 2022,542996,8000 - BCR2,"$1,214.12","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
790,12/20/2021,Feb 2022,542997,8000 - BCR2,$579.84,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
731,12/20/2021,Feb 2022,542998,8000 - BCR2,$599.38,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1617,12/20/2021,Feb 2022,542999,8000 - BCR2,$639.16,IMPROPER HANDLING - SHUTTER,BNR,
2757,12/20/2021,Feb 2022,543000,8000 - BCR2,"$3,027.57","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#coin"">IMPROPER HANDLING - COIN SORTER</a>",BCR,Coin sorter physically damaged.
1229,12/20/2021,Feb 2022,543001,8000 - BCR2,"$1,178.32","<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
3331,12/20/2021,Feb 2022,543005,8000,$669.59,IMPROPER HANDLING - SHUTTER,BNR,
850,12/20/2021,Feb 2022,543006,8000 - BCR2,"$1,061.37",IMPROPER HANDLING - SHUTTER,BNR,
2002,12/20/2021,Feb 2022,543011,8000 - BCR2,$390.37,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",OTHER,
2842,12/20/2021,Feb 2022,543018,DUAL - 7000 - BCR2,$462.19,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#failed"">CUSTOMER FAILED TO CANCEL CALL</a>",OTHER,
2102,12/20/2021,Feb 2022,543019,8000 - BCR2,$712.83,IMPROPER HANDLING - SHUTTER,BNR,
4374,12/20/2021,Feb 2022,543020,8000 - BCR2,$589.40,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#gas"">IMPROPER HANDLING - GAS SPRING</a>",OTHER,
1650,12/20/2021,Feb 2022,543022,DUAL - 7000 - BCR2,$542.28,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
741,12/20/2021,Feb 2022,543023,8000 - BCR2,$517.00,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#hopper"">IMPROPER HANDLING - HOPPERS</a>",BCR,
2609,12/20/2021,Feb 2022,543024,8000 - BCR2,$330.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
3286,12/20/2021,Feb 2022,543025,8000 - BCR2,$324.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
4407,12/20/2021,Feb 2022,543026,8000 - BCR2,$881.92,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#other"">IMPROPER HANDLING - OTHER</a>",BNR,
1614,12/20/2021,Feb 2022,543027,8000 - BCR2,"$1,102.16",IMPROPER HANDLING - SHUTTER,BNR,
351,12/20/2021,Feb 2022,543028,8000 - BCR2,$324.75,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#non"">NON DEVICE RELATED ISSUES</a>",OTHER,
5965,12/20/2021,Feb 2022,543029,8000 - BCR2,$552.37,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/frontend/cash-management/cash-recycler/out-of-scope-charges-lookup.html#gas"">IMPROPER HANDLING - GAS SPRING</a>",OTHER,
