Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
5,479,2980,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,479,2980,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
5,479,2980,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
5,479,2980,233,Tablets,,,4 feet,Moved tablets to the table
5,479,3773,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
5,479,3773,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,479,3773,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
5,479,3773,221,Chromebook,24 feet,8 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
5,479,3773,233,Tablets,,,8 feet,Moved tablets to the table
5,479,4165,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
5,479,4165,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
5,479,5247,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,479,5247,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
5,479,5247,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
5,479,5247,233,Tablets,,,4 feet,Moved tablets to the table
5,479,5312,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,479,5312,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
5,479,5312,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
5,479,5312,233,Tablets,,,4 feet,Moved tablets to the table
5,479,5316,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,479,5316,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
5,479,5316,233,Tablets,,,4 feet,Moved tablets to the table
5,479,5316,267,Tonies,,,4 feet,Repurposed tablet – footage
5,479,5316,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
5,479,5764,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
5,479,5764,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,479,5764,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
5,479,5764,221,Chromebook,24 feet,8 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
5,479,5764,233,Tablets,,,8 feet,Moved tablets to the table
5,583,259,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
5,583,259,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
5,583,789,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
5,583,1055,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,583,1055,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
5,583,1055,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
5,583,1055,233,Tablets,,,4 feet,Moved tablets to the table
5,583,1800,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,583,1800,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
5,583,1800,233,Tablets,,,4 feet,Moved tablets to the table
5,583,1800,267,Tonies,,,4 feet,Repurposed tablet – footage
5,583,1800,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
5,583,3224,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
5,583,3224,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,583,3224,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
5,583,3224,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
5,583,3224,233,Tablets,,,4 feet,Moved tablets to the table
5,583,3225,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
5,583,3225,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
5,583,3225,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
5,583,5823,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
5,583,5823,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
5,583,5987,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
5,583,5987,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
5,583,8930,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,59,297,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,59,297,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,59,297,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,59,297,233,Tablets,,,4 feet,Moved tablets to the table
6,59,744,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,59,744,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
6,59,744,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,59,744,233,Tablets,,,4 feet,Moved tablets to the table
6,59,849,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,59,849,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,59,1103,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,59,1103,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,59,1103,233,Tablets,,,4 feet,Moved tablets to the table
6,59,1103,267,Tonies,,,4 feet,Repurposed tablet – footage
6,59,1103,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,59,1279,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,59,1837,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,59,1837,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
6,59,1837,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,59,1837,233,Tablets,,,4 feet,Moved tablets to the table
6,59,4298,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,59,4298,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,59,4298,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,59,4298,233,Tablets,,,4 feet,Moved tablets to the table
6,59,6579,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,60,194,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,60,194,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,60,194,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,60,194,233,Tablets,,,4 feet,Moved tablets to the table
6,60,522,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,60,522,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,60,1137,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,60,1137,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,60,1137,233,Tablets,,,4 feet,Moved tablets to the table
6,60,1137,267,Tonies,,,4 feet,Repurposed tablet – footage
6,60,1137,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,60,1186,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,60,1186,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,60,1186,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,60,1186,233,Tablets,,,4 feet,Moved tablets to the table
6,60,1186,267,Tonies,,,4 feet,Repurposed tablet – footage
6,60,1186,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,60,2439,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,60,2439,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,60,3298,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
6,60,3298,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,60,3298,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,60,3298,221,Chromebook,20 feet,4 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
6,60,3298,233,Tablets,,,4 feet,Moved tablets to the table
6,60,3500,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,60,3500,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,60,3500,233,Tablets,,,4 feet,Moved tablets to the table
6,60,3500,267,Tonies,,,4 feet,Repurposed tablet – footage
6,60,3500,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,61,462,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
6,61,462,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
6,61,462,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,61,504,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,61,504,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
6,61,504,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,61,504,233,Tablets,,,8 feet,Moved tablets to the table
6,61,527,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,61,808,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,61,808,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,61,808,233,Tablets,,,4 feet,Moved tablets to the table
6,61,808,267,Tonies,,,4 feet,Repurposed tablet – footage
6,61,808,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,61,1405,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,61,1405,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,61,5388,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,61,5388,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,61,5388,233,Tablets,,,8 feet,Moved tablets to the table
6,61,5388,267,Tonies,,,8 feet,Repurposed tablet – footage
6,61,5388,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,62,546,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,62,546,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,62,872,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
6,62,872,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,62,915,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,62,915,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,62,915,233,Tablets,,,4 feet,Moved tablets to the table
6,62,915,267,Tonies,,,4 feet,Repurposed tablet – footage
6,62,915,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,62,2505,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,62,2505,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,62,2505,233,Tablets,,,4 feet,Moved tablets to the table
6,62,2505,267,Tonies,,,4 feet,Repurposed tablet – footage
6,62,2505,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,62,2993,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,62,2993,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,62,2993,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,62,2993,233,Tablets,,,4 feet,Moved tablets to the table
6,62,3510,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,62,3510,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,62,5449,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
6,62,5449,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,63,752,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,63,1062,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,63,1062,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,63,1062,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,63,1062,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,63,1062,233,Tablets,,,4 feet,Moved tablets to the table
6,63,3425,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,63,3425,217,Refurbished Hardware,,,8 feet,Repurposed tablet – fixtures/footage
6,63,3425,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,63,3425,233,Tablets,,,8 feet,Moved tablets to the table
6,63,4526,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,63,5612,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
6,63,5612,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,63,5959,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,63,5959,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,64,772,100,Laptops,24 feet,44,20 feet,Increasing laptop footage
6,64,772,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,64,2066,100,Laptops,20 feet,44,24 feet,Increasing laptop footage
6,64,2066,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,64,2718,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,64,2718,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,64,2718,233,Tablets,,,4 feet,Moved tablets to the table
6,64,2718,267,Tonies,,,4 feet,Repurposed tablet – footage
6,64,2718,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,64,3296,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,64,3296,104,Samsung Ecosystem,,,8 feet,Repurposed tablet – fixtures/footage
6,64,3296,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,64,3296,233,Tablets,,,8 feet,Moved tablets to the table
6,64,3302,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,64,3302,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
6,64,3302,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,64,3302,233,Tablets,,,4 feet,Moved tablets to the table
6,64,3584,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
6,64,3584,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,64,3827,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,64,3827,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,64,3827,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,64,3827,233,Tablets,,,4 feet,Moved tablets to the table
6,65,768,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,65,768,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,65,768,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,65,768,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,65,768,233,Tablets,,,4 feet,Moved tablets to the table
6,65,1040,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,65,1040,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,65,1040,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,65,1040,233,Tablets,,,4 feet,Moved tablets to the table
6,65,1409,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,65,1409,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
6,65,1409,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,65,1409,233,Tablets,,,4 feet,Moved tablets to the table
6,65,3226,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,65,3226,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,65,3226,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,65,3226,233,Tablets,,,4 feet,Moved tablets to the table
6,65,3640,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,65,3640,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,65,3640,233,Tablets,,,4 feet,Moved tablets to the table
6,65,3640,267,Tonies,,,4 feet,Repurposed tablet – footage
6,65,3640,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,65,4111,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,65,4111,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,65,4111,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,65,4111,233,Tablets,,,4 feet,Moved tablets to the table
6,65,4512,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,67,703,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,67,703,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,67,703,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,67,703,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,67,703,233,Tablets,,,4 feet,Moved tablets to the table
6,67,2257,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,67,2257,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,67,2257,233,Tablets,,,4 feet,Moved tablets to the table
6,67,2257,267,Tonies,,,4 feet,Repurposed tablet – footage
6,67,2257,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,67,3297,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,67,3297,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
6,67,3297,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,67,3297,233,Tablets,,,4 feet,Moved tablets to the table
6,67,4416,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,67,4538,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,67,4538,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,67,4538,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,67,4538,233,Tablets,,,4 feet,Moved tablets to the table
6,67,5045,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,67,5045,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
6,67,5045,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,67,5045,233,Tablets,,,8 feet,Moved tablets to the table
6,67,5091,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,67,5091,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,67,5091,233,Tablets,,,4 feet,Moved tablets to the table
6,67,5091,267,Tonies,,,4 feet,Repurposed tablet – footage
6,67,5091,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,82,1129,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,82,1129,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,82,1129,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
6,82,1129,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,82,1129,233,Tablets,,,4 feet,Moved tablets to the table
6,82,1253,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,82,1253,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,82,1253,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,82,1253,233,Tablets,,,4 feet,Moved tablets to the table
6,82,2133,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,82,2133,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,82,2133,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,82,2133,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,82,2133,233,Tablets,,,4 feet,Moved tablets to the table
6,82,2991,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,82,2991,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,82,2991,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,82,2991,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,82,2991,233,Tablets,,,4 feet,Moved tablets to the table
6,82,4130,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,82,4130,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,82,4163,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,82,4163,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,82,4163,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,82,4219,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,82,4219,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,82,4219,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,82,4219,233,Tablets,,,4 feet,Moved tablets to the table
6,82,4554,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,82,4554,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,82,5317,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,82,5317,217,Refurbished Hardware,,,8 feet,Repurposed tablet – fixtures/footage
6,82,5317,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,82,5317,233,Tablets,,,8 feet,Moved tablets to the table
6,83,77,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,83,77,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,83,475,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,83,475,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,83,1185,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,83,1185,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
6,83,1185,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,83,1185,233,Tablets,,,4 feet,Moved tablets to the table
6,83,3169,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,83,3169,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,83,3170,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,83,3569,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,83,3569,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,83,3569,233,Tablets,,,4 feet,Moved tablets to the table
6,83,3569,267,Tonies,,,4 feet,Repurposed tablet – footage
6,83,3569,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,83,5479,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,83,5479,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,83,5479,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,83,5479,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,83,5479,233,Tablets,,,4 feet,Moved tablets to the table
6,83,5480,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
6,83,5480,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
6,83,5480,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,84,330,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
6,84,330,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,84,330,221,Chromebook,12 feet,0 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,84,437,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,84,437,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
6,84,437,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,84,503,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,84,1098,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,84,1098,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,84,4194,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
6,84,4194,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,85,321,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,85,321,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,85,322,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,85,322,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,85,322,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,85,322,233,Tablets,,,4 feet,Moved tablets to the table
6,85,846,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
6,85,846,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,85,1042,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,85,1042,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
6,85,1150,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
6,85,1150,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
6,85,1150,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,85,1150,233,Tablets,,,4 feet,Moved tablets to the table
6,87,292,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
6,87,292,100,Laptops,24 feet,48,24 feet,Increasing laptop footage
6,87,292,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,87,404,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,87,404,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
6,87,404,233,Tablets,,,4 feet,Moved tablets to the table
6,87,404,267,Tonies,,,4 feet,Repurposed tablet – footage
6,87,404,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
6,87,765,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,87,765,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,87,765,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,87,765,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,87,765,233,Tablets,,,4 feet,Moved tablets to the table
6,87,865,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,87,865,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,87,865,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,87,865,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,87,865,233,Tablets,,,4 feet,Moved tablets to the table
6,87,1347,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,87,1347,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,87,1347,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
6,87,1347,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
6,87,1347,233,Tablets,,,4 feet,Moved tablets to the table
6,87,3391,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
6,87,3391,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
6,87,3391,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
6,87,3391,221,Chromebook,24 feet,8 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
6,87,3391,233,Tablets,,,8 feet,Moved tablets to the table
6,87,4115,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
