Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
2,21,1121,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
2,21,1121,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,21,1121,233,Tablets,,,8 feet,Moved tablets to the table
2,21,1363,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,21,1400,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,21,1400,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,21,1400,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,21,1400,233,Tablets,,,4 feet,Moved tablets to the table
2,21,2811,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,21,2811,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,21,2811,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,21,2811,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,21,2811,233,Tablets,,,4 feet,Moved tablets to the table
2,21,3627,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,21,3627,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
2,21,3627,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,21,3627,233,Tablets,,,4 feet,Moved tablets to the table
2,21,5482,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,22,594,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,22,594,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,22,594,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,22,594,233,Tablets,,,4 feet,Moved tablets to the table
2,22,722,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,22,722,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,22,722,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,22,722,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,22,722,233,Tablets,,,4 feet,Moved tablets to the table
2,22,727,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,22,727,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,22,727,233,Tablets,,,4 feet,Moved tablets to the table
2,22,727,267,Tonies,,,4 feet,Repurposed tablet – footage
2,22,727,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,22,787,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,22,787,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,22,787,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,22,855,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,22,855,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,22,855,233,Tablets,,,4 feet,Moved tablets to the table
2,22,855,267,Tonies,,,4 feet,Repurposed tablet – footage
2,22,855,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,22,856,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,22,856,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,22,1047,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
2,22,1047,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,22,1488,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,22,1488,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,22,1488,233,Tablets,,,4 feet,Moved tablets to the table
2,22,1488,267,Tonies,,,4 feet,Repurposed tablet – footage
