Store #,PO#,City,State,Quantity,Ship Date,Estimated Deliv Date,,,,,,,,,
2975,39060201,Garland,TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
3224,39060189,GARLAND,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
3287,39060193,LEWISVILLE,TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
4046,39060205,GARLAND,TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
4164,39060203,KAUFMAN,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
4279,39060197,MIDLOTHIAN,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
4453,39060195,GREENVILLE,TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
4503,39060188,GRAND PRAIRIE (Pioneer Pkwy),TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
5092,39060190,LEWISVILLE,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
5211,39060194,MCKINNEY,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
5311,39060200,MCKINNEY,TX,2,"May 16, 2024","May 21, 2024",,,,,,,,,
6966,39060206,MCKINNEY,TX,1,"May 16, 2024","May 21, 2024",,,,,,,,,
265,39060213,TERRELL,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
417,39060221,SULPHUR SPRINGS,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
804,39060217,MINERAL WELLS,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
947,39060216,SHERMAN,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
963,39060218,WEATHERFORD,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
1117,39060215,PLANO,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
2086,39060209,PLANO,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
2883,39060220,PLANO,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
2926,39060207,PLANO,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
2974,39060208,RICHARDSON,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
2995,39060214,PLANO,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
3199,39060227,PLANO,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
3225,39060212,ROWLETT,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
3482,39060219,PLANO,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
3521,39060223,SHERMAN,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
4182,39060228,PLANO,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
5210,39060222,Wylie,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
5288,39060210,SEAGOVILLE,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
5657,39060225,PLANO,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
5673,39060226,SACHSE,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
5824,39060211,MESQUITE ( PEACHTREE),TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
5987,39060224,ROYSE CITY,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
6078,39060229,WYLIE,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
6851,39060230,SACHSE,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
7178,39060231,PRINCETON,TX,2,"May 21, 2024","May 24, 2024",,,,,,,,,
7240,39060232,Rowlett,TX,1,"May 21, 2024","May 24, 2024",,,,,,,,,
,,,,195,,,,,,,,,,,
